Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
Bond Market Volatility,What is the US Federal Reserve doing?,2024-09-14,2017-09-20,By Andrew Walker,https://www.bbc.com/news/business-41320675,"The US Federal Reserve has decided to start running down the stock of financial assets it bought in its quantitative easing scheme. Quantitative easing was a policy that the Fed, and other central banks, used to prevent the recession that followed the financial crisis from becoming an even deeper downturn.  It involved buying financial assets with money newly created by the central bank. In the US the assets were bonds or debts issued by the Federal government and by official agencies that support lending to home buyers. One aim of the policy was to reduce the interest rates paid by businesses and households borrowing money.  Normally central banks try to do that by using their own interest rate policies, which in the case of the Fed means a target it sets for overnight borrowing between commercial banks, known as the Federal Funds Rate. But when that official rate got to almost zero, as it did in December 2008, the Fed's policy makers thought that it couldn't, or shouldn't go any lower.  The Fed's own research suggests that its QE policy has helped reduce long term interest rates. The consequence of all that QE is that the Fed now holds about four and a half trillion dollars of assets. Before it started the programme the figure was less than a quarter of that amount.  Assessments of the impact of QE vary, but many economists take the view that it has helped the US economy.  Many also fear it has created a new danger of financial market instability.  Share and bond prices are high. Some argue that there is a bubble that could burst and trigger a new financial crisis.  The Fed's asset purchases mean there has been more demand for the assets it is buying which tends to push the prices up. In addition, the sellers of those assets need to do something with the money they receive. They may repay debt, but in many cases they buy other assets, often assets with more risk of losing money - such as shares or assets in emerging economies. That in turn tends to push their prices up.  That is what lies behind the concerns about possible financial instability.  All the major developed world central banks, apart from Canada's, have used quantitative easing and several are still actively buying financial assets. In the US however, the Fed stopped in 2014.  But that doesn't mean that it stopped buying assets at the time.   Bonds are debts which (mostly) have a repayment or maturity date when the holder receives the face value of the bond from the borrower or issuer of the bond.  The debt is in effect repaid to whoever owns the bond on the date it matures. In the case of US government bond, it's the Treasury that would repay the central bank.  So far, the Fed has used the proceeds of these repayments to buy more bonds in the financial markets keeping its holdings roughly constant.  Now it is going to reduce the amount that it 'reinvests' in that way. So over time, as more bonds mature its holdings of them will decline.  It also means that over time the extra money it created in the first place to buy the bonds will decline.  As an aside it's worth emphasising that the newly created money is not something that can be spent on goods and services. It is money called reserves, which is held in accounts owned by commercial banks at the central bank.  It's used for transactions between banks and is an important part of the financial and monetary system. But other types of business and households can't use this type of money. Having said that, adding to the total amount of reserves can lead to an increase in money held by the public but it is an indirect effect.  Running down the Fed's holdings of assets will also mean that the amount of reserves held by the banks will decline too.  As with interest rate increases the Fed's approach is cautious. There is no hurry to get things back to what might be considered normal. The decline in its bond holdings in the first month will be no more than ten billion dollars, rising gradually over the course of the following year.  We haven't been told what the ultimate level will be. But the Fed has said that the amount of reserves held by the banks when this process is complete is likely to be higher than before the crisis. All the time there is a degree of wariness among central bankers in the US and other developed economies that they could set back the recovery if they were to raise interest rates or change their QE policies too quickly.  There was a warning in 2013 with an episode that came to be known as the ""taper tantrum"". That was a time when the Fed's QE bond purchases were in full swing. The then Chair of the Fed, Ben Bernanke suggested that it might start to slow down the purchases - or taper its QE. That led to significant volatility in financial markets.  It most likely didn't too much lasting economic damage, but it has probably reinforced the cautious instincts of the current Fed Chair Janet Yellen. She certainly doesn't want to see another tantrum. She has said she wants the Fed's unwinding of its QE to be like ""watching paint dry"". "
Bond Market Volatility,Shares of India's 'family silverware' go on sale,2024-09-14,2022-05-04,By Nikhil Inamdar,https://www.bbc.com/news/world-asia-india-61296184,"Shares in the Indian state-run insurance giant Life Insurance Corporation (LIC) went on sale this week in a $2.75bn (£2.18bn) initial public offering, witnessing strong demand from investors. The government is offering a 3.5% stake in what will be India's largest share sale, despite both the size and valuation of the issue being slashed significantly to reflect current market conditions. The issue was fully subscribed on Thursday, a day after it opened for sale to retail investors, employees and policy holders. The date for share listing is 17 May, the government's Department of Investment and Public Asset Management said. Bids for anchor investors opened on 2 May but share sale for the public opened on 4 May and would close on 9 May. General investors can buy equity shares at a price band set at $11.75-12.36 (£9.38-9.87) per share. The company's policyholders, employees as well as small mom and pop investors will be entitled to an additional discount of up to 60 rupees, according to papers filed by the company with India's securities watchdog.Broking firm Zerodha expects at least 8-12 million additional online trading accounts to be opened by investors keen to apply for the IPO, a 10-15% bump up from the 80 million accounts currently in operation. LIC is nearly as old as independent India. Formed by nationalising and merging 245 private insurance companies, it started issuing policies in 1956, holding a monopoly on India's insurance sector until the turn of the millennium.   More than two decades after private competition was allowed, LIC continues to hold a leadership position, with 66% market share as of 2021.   Its sheer size makes the insurance behemoth a systemically important company for India.    At over $500bn, its asset base is bigger than the GDP of several countries. And with nearly 280 million policies in force, it manages four times more policies than the entire population of the UK.   It is also India's largest asset manager, with massive investments in state and central securities as well as the stock market.   According to the ratings agency CRISIL, LIC's equity investments in listed companies represented 4% of the total market capitalisation of the National Stock Exchange. It has also been the default financier of the government in trying times, bailing out flailing state-run companies.   LIC also owns a sprawling portfolio of real estate across India.   With 1.3 million distributors selling policies across pretty much every nook and corner in India, the ubiquitous ""LIC agent"" has held a unique place in independent India's public consciousness.   Srinivasalu Naidu, a septuagenarian who has sold policies door to door for the past 30 years, told the BBC he was known in his heyday as ""LIC Naidu"", a much revered figure in his village in the southern Indian state of Andhra Pradesh.    Agents like him have been critical to the company's growth and mission to build trust and create a savings culture across the remote corners of the country.   ""People didn't buy policies from me just as insurance, they did it as an investment. For their kids' education or wedding. They trusted their life savings with me,"" said Naidu.   Private banking giant UBS estimates 10 out of every 100 rupees saved by Indian households go into LIC, a much larger amount than even the deposits attracted by India's largest bank, the State Bank of India.   Given LIC's social relevance and scaled-down valuation, India's opposition politicians have accused the government of selling ""family silverware"" and prioritising shareholders over politicians.  According to analysts, even at the upper price band, LIC's issue has been valued far lower by the government than its three listed private peers - HDFC Life Insurance Co., SBI Life Insurance Co. and ICICI Prudential Life Insurance Co.   ""It is not justified at all. You should also involve the opposition (in deliberations), when you are disinvesting something like the LIC which is a social security net,"" Dr Shama Mohamed, a spokesperson of the Congress party, told the BBC.   Last month, PM Narendra Modi's government decided to defer the mega IPO amid global stock market volatility due to the Russian invasion of Ukraine. It had initially planned to raise about $8b by selling 5% of LIC to fund its widening fiscal deficit - the gap between earnings and expenditure.   Amid surging fuel costs and lower growth projections, the pruned fundraising target is expected to put additional pressure on New Delhi's already stretched finances.  But analysts say the size and price are appropriate given the current environment, with foreign investors pulling out nearly $20bn from Indian equities since October 2021. And the government is confident that LIC's dominant leadership position and fair valuation will attract significant investor interest.    ""Even if we have a bit of a constrained environment, we can still pull it off because that's the kind of optimum demand scenario which exists,"" Tuhin Kanta Pandey, secretary at the Department of Investment and Public Asset Management, told journalists in Mumbai last week.   In the long run, a stock market listing is expected to improve how the firm is run and bring in more transparency.  But at a time when its competitors have all gone digital, LIC's overt dependence on physical distributors has been flagged as a cause of concern by analysts, who believe it will continue losing market share in the years ahead.   ""On the margin front, it will be kind of hard for LIC to compete if it sticks to the distributor model. They will have to re-innovate the company and become relevant for what the insurance market will be tomorrow,"" says Nikhil Kamath, co-founder of Zerodha.   According to economic commentator Vivek Kaul, LIC pays agents twice as much in commissions in the first year, compared to private insurers, which is not sustainable in the longer run.   Covid-19 has also had an impact on the company. Its growth in new business premiums declined significantly as lockdowns disrupted operations, reiterating the need for LIC to significantly leverage technology to drive operating efficiency.   But analysts expect India's young population and massive under-penetration of life insurance to give LIC a long runway for expansion.   According to analysis from the broking firm Anand Rathi, India's protection gap - or the difference between the insurance required and actually available - was 83% or US$16.5 trillion in 2019, the highest in Asia-Pacific, ""thereby presenting a huge potential for growth""."
Bond Market Volatility,Goldman Sachs results beat expectations,2024-09-14,2017-10-17,BBC News,https://www.bbc.com/news/business-41648796,"US banking giant Goldman Sachs has reported a fall in third-quarter profits following a further fall in bond trading revenue. However, the 26% drop in bond trading revenue was smaller than expected, following a slump of 40% in the second quarter.    Goldman's net income for the quarter fell by 3% from a year earlier to $2.04bn (£1.55bn).   Rival Morgan Stanley posted a stronger-than-expected rise in profits. Net income rose 11% to $1.69bn in the third quarter, helped by record revenues in its wealth management division which offset the decline in trading activity.  ""Our third quarter results reflected the stability our wealth management, investment banking and investment management businesses bring when our sales and trading business faces a subdued environment,"" said Morgan Stanley chief executive James Gorman. Goldman's bond-trading division has seen three consecutive quarters of declines as a result of low volatility in the market for trading fixed income, commodities and currencies.  However, Oppenheimer analyst Chris Kotowski said: ""After two quarters in a row severely missing Wall Street's bond trading estimates, Goldman's 26% decline did not look so bad. ""While we did not see a sharp rebound in (bond) trading, one can, at a minimum, say that this quarter Goldman looked pretty much like everyone else.""   Goldman's bond trading results were of particular interest because it is more dependent on trading than rivals and it does not have a significant retail operation to offset recent declines. The bank's better-than-expected overall results were also fuelled by its performance in private equity investments and from higher fees that it earned through dealmaking."
Bond Market Volatility,Botticelli painting fetches record $92m at auction,2024-09-14,2021-01-28,BBC News,https://www.bbc.com/news/entertainment-arts-55839330,"A portrait by Sandro Botticelli has sold for $92m (£67m) at auction, breaking a new record for the Italian renaissance painter. Young Man Holding a Roundel is believed to have been painted in the 1470s or 1480s and is considered one of Botticelli's finest portraits. It sold on Thursday at a Sotheby's auction in New York. The sale marks the first major indicator of the state of the art market this year. Prior to its sale, questions hung over the willingness of global art collectors to pay nine-figure sums for trophy works amid the coronavirus pandemic and market volatility. The successful sale of the Botticelli piece could help boost prices for other such paintings at a time when many art collectors are chasing newer works from post-war and contemporary artists. Sotheby's senior vice president Christopher Apostle described Young Man Holding a Roundel as a ""masterpiece"" ahead of the auction. ""This Botticelli is so much more spectacular in every way than anything we've seen coming to the market,"" he told the AFP news agency. ""This image symbolises and exemplifies the Renaissance in Florence. We haven't seen anything like it in my lifetime,"" he added. The painting shows a man in his late teenage years with long golden hair sitting holding a disc - the roundel - which features a bearded saint with his right hand raised. The roundel is an original 14th Century artwork attributed to Sienese painter Bartolommeo Bulgarini. Sotheby's displayed the painting around the world to collectors and potential bidders in advance of the auction in an effort to increase demand. ""The young man in the painting has done more travel during Covid than probably anybody we know,"" joked Charles Stewart, CEO of Sotheby's. It was displayed in Los Angeles, London and Dubai and accompanied by a catalogue with scholarly essays and technical analysis. The painting sold for $80m (£58.2), but the final price will be $92.2m (£67.1m) when fees and commissions are added. The auction was live streamed from New York and lasted less than five minutes with only two competitors for the painting, according to The New York Times. The selling price establishes the work as one of the most significant portraits to have ever sold at auction. The previous record for a Botticelli was set in 2013 when Madonna and Child with Young Saint John the Baptist sold for $10.4m (£7.6m). Other paintings which have sold for prices in this range include Gustav Klimt's Portrait of Adele Bloch-Bauer II, which sold for $87.9m (£64m) in 2006 and Vincent Van Gogh's Portrait of Dr Gachet, which fetched $82.5m (£60m) 1990. It is understood Young Man Holding a Roundel has been handed down through several generations of an aristocratic family in Wales for about 200 years. Art scholars were unaware of the painting's existence until it first appeared on the market in the early 20th Century. It has spent much of the last 40 years on public display since its current owner acquired it in 1982 for just £810,000. The painting has appeared at New York's Metropolitan Museum of Art, the National Gallery in London and elsewhere. Botticelli, who lived from the 1440s to 1510, is one of the most celebrated painters of the early Renaissance period, but only about a dozen examples of his work survive today. Botticelli was forgotten for centuries after his death, but his work was rediscovered in the 19th Century, and the artist has since become one of the biggest names in art history. His best-known works are The Birth of Venus and Primavera. In 2016, an exhibition at London's V&A Museum, Botticelli Reimagined, explored the artist's enduring impact, particularly on today's pop culture.  The exhibition included a 2009 recreation of The Birth of Venus by photographer David LaChapelle, as well as interpretations of the same painting by Andy Warhol. The front cover of Lady Gaga's 2013 album Artpop also incorporated elements of the The Birth of Venus, and the painting inspired one of the lead singles from the album, Venus. Follow us on Facebook or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk."
Bond Market Volatility,China pumps billions into economy as coronavirus hits,2024-09-14,2020-02-02,BBC News,https://www.bbc.com/news/business-51347497,"China is to pump a net 150 billion yuan ($22bn; £16.3bn) into its economy on Monday to help protect it from the impact of the coronavirus outbreak.  China's central bank said the move would ensure there was enough liquidity in the banking system and help provide a stable currency market. The virus has so far infected more than 14,000 people and claimed 305 lives - all but one inside China. The money will be deployed when China's markets reopen on Monday.  It comes after a holiday to mark the Lunar New Year was extended in the hope of reducing the spread of the virus. Financial regulators in the country have said they believe the impact on China's already slowing economy will be ""short term"".  But analysts say the impact of the virus - which has left major cities in full or partial lockdown - could harm growth if it lasts for a prolonged period. China's travel and tourism sectors have already taken a hit over an unusually quiet Spring Festival break, while cinemas were forced to close to try to contain the virus.  Meanwhile, numerous factories have suspended production while companies have instructed employees to work from home  Foxconn, Toyota, Starbucks, McDonald's and Volkswagen are just a few of the corporate giants to have paused operations or shuttered outlets across China. The country saw economic growth of 6.1% last year - the slowest in around three decades, in part because of its prolonged trade war with the US. A partial trade deal easing tensions was struck earlier this month, but most tariffs remain in place. Economist George Magnus, associate at Oxford University's China Centre, told the BBC the size of central bank's injection reflected ""policymakers' concerns about the state of the economy"". ""The coronavirus repercussions on the economy mark the latest in a series of setbacks in the economy over the past year, including a handful of bank failures sparking contagion fears, forcing the central bank to become ever more generous with the provision of liquidity to markets."" In total, the central bank will inject 1.2 trillion yuan into the financial system on Monday - the largest single day addition on record.  The net figure will be considerably lower, however, although the bank said it could make more cash available throughout the week.  China's central bank has announced other economic measures in the face of a deepening coronavirus epidemic, including providing banks with 300 billion yuan to lend to affected companies. Authorities have also relaxed tariffs on goods imported for use in the virus fight - including those from the US. Investors are bracing for volatility when Chinese markets reopen on Monday. The country's stock, currency and bond markets have all been closed since 23 January and were due to reopen last Friday.  Global markets have been rattled by the epidemic, with the US S&P 500 notching up its worst week since October on Friday. "
Bond Market Volatility,Apple iPhone sales fears rock Wall Street,2024-09-14,2018-11-12,BBC News,https://www.bbc.com/news/business-46186131,"Apple shares sank by 5% on Monday, dragging down US markets and wiping more than $40bn (£31bn; €35bn) off the tech giant's market value. The fall followed a profit warning from some of the firm's suppliers, which exacerbated concerns that demand for iPhones is slowing. The declines made the company one of the biggest losers on the Dow, which closed down 2.3%. The wider S&P 500 ended about 2% lower, while the Nasdaq fell more than 2.75%. Technology stocks led the Wall Street sell-off which saw shares in most sectors tumble.  Tech firms helped drive many of the stock market gains earlier in the year but now face rising calls for regulatory and tax changes that could hurt their growth. Amazon shares lost more than 4%, Alphabet dropped over 2.5% while Facebook fell 2.3%. Apple's share price fall came after Lumentum, a US manufacturer of facial recognition technology and Apple supplier, said one of its major customers had reduced its shipments. As a result, Lumentum downgraded its sales and profit outlook, sending its shares down over 30%. Lumentum's warning came shortly after another Apple supplier, Japan Display, also cut its full-year guidance blaming ""volatile customer demand"". The warnings from Apple suppliers extended a slide in Apple shares that started earlier this month after the firm's sales forecast disappointed investors. The shares closed at about $194, down 5% for the day and more than 15% below their peak in October. Apple has insisted that it is optimistic about its Christmas season outlook, attributing the weaker than expected forecast to one-off changes, such as the timing of the release of new phones, and temporary supply chain issues. It continues to make record profits, thanks to higher prices and growing income from its services business, which includes services such as the App Store, Apple Pay, Apple Music. But analysts have remained sceptical, especially after the firm said it would stop sharing the number of iPhones, iPads and Macs it sells with investors. They have warned that Apple's reliance on higher prices could also make it especially vulnerable if there is a broader pullback in consumer spending. Meanwhile, Goldman Sachs, which has been embroiled in a corruption scandal at Malaysia's state-backed development fund, also dragged Wall Street indexes lower.  Shares in the investment bank ended down about 7.5%, after a Malaysian official said the country wanted a refund of the fees Goldman earned for work on bond sales for the 1MDB fund. A former Goldman executive this month pleaded guilty to US charges that he had participated in a scheme to use some of the money raised in those offerings for bribes. The US market declines come amid an extended period of volatility on Wall Street, with investors wary due to warnings of a slowdown in global growth, trade tensions, falling oil prices and rising interest rates. US companies are also facing a rising dollar, which hurts sales overseas.  The combination of factors has helped fuel speculation that corporate profits may be at their peak, especially after several companies, including Apple and Amazon, issued weaker than expected sales forecasts for the months ahead."
Bond Market Volatility,Recession fears prompt selling in global stocks,2024-09-14,2019-08-14,By Russell Hotten,https://www.bbc.com/news/business-49352760,"Global stock markets fell around the world as concerns about the US-China trade war and the global economy prompted investors to dump shares. The three main US stock markets closed 3% lower overnight, European stocks fell across the board, while Asian stock markets opened lower. Weak data from Germany and China on Wednesday helped fuel a rush for safe assets like bonds and gold. Bond market moves pointed to possible recessions in major economies. The US central bank also came under renewed pressure from US President Donald Trump for not doing enough to support the world's largest economy.  There are concerns that renewed attacks by Mr Trump on the Federal Reserve could erode investor confidence on its ability to make independent decisions. Analyst Oliver Pursche, from financial services company Bruderman, said the global picture was precarious. ""What's happening in Hong Kong, what's happening with Brexit and the trade war, it's all a mess,"" the chief market strategist said. ""Every central bank around the world is trying to prop up economies and every politician around the world is trying to destroy economies."" News that Germany's GDP contracted in the second quarter, and that China's industrial growth in July hit a 17-year low, had already spooked markets in Europe. The FTSE 100 closed more than 1% lower, while in Germany and France the markets finished more than 2% lower. Japan's benchmark Nikkei 225 dropped some 2% in early trading on Thursday, while Hong Kong's Hang Seng index opened 1.4% lower. Both later regained some ground. Disruptions related to pro-democracy protests have also weighed on the stock market in Hong Kong.  Another worry was that bond markets are flashing recession warnings.  The yield on two-year and 10-year Treasury bonds inverted for the first time since June 2007.  This means investor appetite for safety is such that they are willing to get lower returns for holding bonds for a longer period. Usually investors demand higher returns for holding bonds for longer due to the risks involved with parking your money away for a long time. Historically, such bond movements have been a reliable indicator of possible recessions, and preceded the last global downturn more than 10 years ago. The UK bond yield curve also inverted for the first time since 2008, while the yield gap between 10-year and 2-year German government bonds was at its tightest since the financial crisis. Meanwhile, the CBOE volatility index - the so-called fear index - jumped higher, and spot gold prices rose. On Wednesday, Mr Trump again attempted to deflect the market turmoil onto the US Federal Reserve and its interest rate policy, calling Fed chief Jerome Powell ""clueless"". In raising interest rates four times last year ""the Federal Reserve acted far too quickly, and now is very, very late"" in cutting borrowing costs, the president tweeted. ""Too bad, so much to gain on the upside!"" Recent presidents have avoided commenting on Fed policy, in a sign of respect for the bank's independence. Michelle Fleury, New York business correspondent The recession signal from the bond market will only heap pressure on the Federal Reserve to give the president what he wants - more rate cuts. Wall Street certainly thinks it's inevitable, pricing in a cut in September. Last month, America's central bank reduced its benchmark interest rate for the first time since 2008. That failed to impress Donald Trump who berated Fed Chair Jay Powell for not cutting rates quickly enough. And as the havoc on the financial markets was unfolding, President Trump was back on twitter defending his administration's tariff war with China and attacking the Fed, calling the chairman clueless.  But if Mr Trump gets what he wants, it may come at a steep price.  The Fed's recent rate cut didn't buoy the markets like it used to. So it's not clear that more rate cuts will blunt the damage from his ongoing trade war with China which is creating uncertainty and raising costs for businesses and consumers. Earlier on Wednesday, White House trade adviser Peter Navarro told Fox Business Network the central bank should cut rates by half a percentage point ""as soon as possible"", an action he claimed would lead to stock markets soaring. Despite the US delaying the 1 September imposition of tariffs on some Chinese imports into the US, it has done little to ease concerns.  ""The challenge is that Trump's trade policy has proven so erratic that you cannot relieve the sense of uncertainty,"" said Tim Duy, an economics professor at the University of Oregon.  As of September last year, the US central bank had a relatively rosy outlook for the economy, expecting that the stimulus from the Trump administration's massive $1.5tn tax cut package and spending in 2018 would sustain growth and justify steadily higher interest rates. Mr Trump wants to make the economy a central part of his case for his 2020 re-election campaign. In an interview scheduled to air on Fox Business Network on Friday, former Fed chief Janet Yellen said she felt the US economy remained ""strong enough"" to avoid a downturn, but ""the odds have clearly risen and they are higher than I'm frankly comfortable with""."
Bond Market Volatility,Holyrood Budget: growing pains,2024-09-14,2017-12-15,By Douglas Fraser,https://www.bbc.com/news/uk-scotland-42363801,"A good budget requires a rabbit to be pulled from the finance minister's hat. That's ""good"" in the journalist's sense that it's at least interesting. As a financial magician, Derek Mackay still has plodding patter. Last year's budget speech from the finance secretary, likened to a pupil reading a lesson at the school carol service but only under protest, had improved to the point of sounding a bit like Jackanory. But when he reached into his hat of magic tricks to give his budget a bit of wizardry, it seemed as if said rodents had been breeding. Like rabbits. Not one new tax band, but two. A rate hike here, a cut there, contriving to make Scotland both the highest and lowest taxed part of the UK. By the time he sat down, Mr Mackay's bunnies were hopping all over Holyrood and beyond, their whiskers twitching at the prospect of some green shoots for a nibble.  Unfortunately, those are the frosty winter shoots on which an economic recovery depends. At first glance, this looked a politically astute budget. Going further than expected for the NHS. A raft of measures to please the business lobbyists. A big wad for rural broadband.  Most of those who speak for business were willing to welcome most measures, particularly on business rates. The tourist sector was particularly positive about both business rates being linked to a lower inflation index, and broadband reaching hotels on the periphery. Housebuilders like the business rate changes too, and a small cut to the Land and Buildings Transaction Tax levied on first time buyers. But the rest of the property sector was disappointed there wasn't more change to the LBTT, which has put a dampener on things towards the upper end of the market. Engineering Scotland liked the look of more research funding. The Scottish National Investment Bank is seen positively. The Federation of Small Businesses saw some positives, but remarked that it had sought ""ballast in choppy markets, but instead the Scottish government steered into uncharted economic waters"". Experts and analysts have more doubts than business. Reform Scotland, the think tank, thinks the tax cuts bring unnecessary risk and could lead to lower revenue.   IPPR Scotland reckons a lot of the tax cut on low earners will go to second, part-time earners in better off households, who may not be the most deserving. The Chartered Institute of Taxation noted the potential for some anomalies, as the new starter rate becomes entangled with the tapering of Westminster's benefits system. Hargreaves Lansdowne, the wealth managers, note that tax relief on pensions may now require a lot more paperwork. Politically, the tax reform showed Scotland can go its own way, without necessarily frightening the horses. With a bit of take and give, the reform is expected to bring in an extra £164m - merely 1.3% up on an income tax take of nearly £12bn. It had most of what will be needed to win over the Scottish Green MSPs with whom Mr Mackay hopes to get his budget over the line at Holyrood. But economically, the seismic change to Scotland's income tax is likely to overshadow one very small, very significant number that wasn't even in the budget speech: 0.7%. That's the amount by which the Scottish Fiscal Commission (SFC) expects the economy to grow next year.   For three years after that, growth is forecast to remain below 1%. Way off in 2022, it rises to the unimpressive heights of 1.1%. The UK growth forecast, from the Office for Budget Responsibility, was the main, unwelcome surprise of Phillip Hammond's November budget. Conceding it had been over-optimistic about Britain's return to productivity growth, it adjusted to the reality of very slow improvements. That delivered a growth forecast for next year of a dismal 1.4%. So using parallel assumptions about Scotland's productivity, which has been going backwards of late, the SFC forecasts a growth rate of only half as much. Some of that gap can be explained by faster population growth south of the Border, but not all.  In a cautiously worded document from the SFC, the warnings are stark: ""The growth that has been achieved in recent years has been driven by factors which include a boom in the construction industry, strong labour market growth, a falling savings ration and support form the oil and gas industry. These factors are unlikely to continue to support growth to the same extent in the coming years. ""Future downside risks include the UK's changing relationship with the EU, a weakening outlook for global trade, Scotland's industrial and demographic structure and weak onshore demand linked to activity in the oil and gas sector."" On earnings, it's starker still: ""Real household disposable income [that's the useful stuff that matters, including tax and benefits] is not expected to see any growth until 2020-21 because of a combination of slow wage growth, very limited employment growth and inflation"". And much of this has to do with productivity being so weak, having ""a profound impact on GDP and the Scottish economy as a whole"". This downgrade in growth forecast is measurable when compared with the Scottish government's forecast last February. Things have taken such a downward lurch that the increase in tax rates is wiped out by the reduction in tax revenue. Next year, Derek Mackay's income tax changes are expected to add £164m to the total revenue, yet total revenue is down more than £200m on expectations in February. That gap widens rapidly over subsequent years. By 2021-22, contrasting February's estimate with this month's figures adds £188m from the change to tax bands and rates, yet the total tax take is down by more than £900m - from £14.59bn to £13.66bn. Welcome to the world of tax revenue volatility, or what they sometimes like to call buoyancy. It's an exciting new world for MSPs, but forces them to think much harder about the ways in which growth can be increased. One last question that puzzled me about Derek Mackay's speech. Was this tax rise a one-off or not? Taxpayers who are being asked to pay more might well be willing to accept such incremental change this year, but probably want to know the big picture and the further horizon.  Will higher earners still be paying to counter Westminster's spending squeeze - which is expected to last into the mid-2020s - with further, unending tax hikes?"
Bond Market Volatility,Markets up after Bank of England bond-buying pledge,2024-09-14,2022-09-29,BBC News,https://www.bbc.com/news/business-63070445,"Stock markets in Asia and the US have risen after the Bank of England said it would buy £65bn of UK government bonds. The announcement came after Friday's mini-budget sparked financial market turmoil and the pound plunged. Investors also demanded higher returns on government bonds, or ""gilts,"" causing some to slide in value. Speaking in New York on Wednesday, new UK trade secretary Kemi Badenoch defended the government's economic policies. However, gains early in the trading day tapered off towards the close with Japan's benchmark Nikkei index ending 0.9% higher, Australia's ASX 200 up by 1.4% and the Kospi in South Korea less than 0.1% higher. Hong Kong's Hang Seng reversed earlier gains to trade 0.8% lower. That came after New York's main stock indexes rebounded from a six-day losing streak to end Wednesday's trading day around 2% higher. The pound was down by around 1% at below $1.08, after earlier making strong gains on Wednesday after the Bank of England's bond-buying announcement. The currency hit a record low on Monday after chancellor Kwasi Kwarteng unveiled plans to tax cuts, funded by borrowing, in a push to boost economic growth. Analysts said the Bank's pledge to buy government bonds at an ""urgent pace"" to help restore ""orderly market conditions"" had helped to calm market volatility. ""The Bank of England's intervention has supported market optimism,"" Jun Bei Liu, portfolio manager at Tribeca Investment Partners in Sydney, told the BBC. ""It reversed a previous view of the UK going into a hard landing and debt spiralling out of control,"" she said. Yeap Jun Rong, market strategist at online trading platform IG, said the move had ""provided some much-needed relief to recent market jitters."" In New York, the UK's international trade secretary used her first visit to the US since taking the role to try to shore up investor confidence. ""You would by now have heard the Bank of England is taking short-term measures to provide stability, as is their job,"" Ms Badenoch said. ""And we must look at all of this in the context of the fundamentals, which are that the UK economy is strong and we have a plan, a growth plan to cut taxes, promote enterprise, and cut red tape for business,"" she added."
Bond Market Volatility,Goldman Sachs results beat expectations,2024-09-14,2017-10-17,BBC News,https://www.bbc.com/news/business-41648796,"US banking giant Goldman Sachs has reported a fall in third-quarter profits following a further fall in bond trading revenue. However, the 26% drop in bond trading revenue was smaller than expected, following a slump of 40% in the second quarter.    Goldman's net income for the quarter fell by 3% from a year earlier to $2.04bn (£1.55bn).   Rival Morgan Stanley posted a stronger-than-expected rise in profits. Net income rose 11% to $1.69bn in the third quarter, helped by record revenues in its wealth management division which offset the decline in trading activity.  ""Our third quarter results reflected the stability our wealth management, investment banking and investment management businesses bring when our sales and trading business faces a subdued environment,"" said Morgan Stanley chief executive James Gorman. Goldman's bond-trading division has seen three consecutive quarters of declines as a result of low volatility in the market for trading fixed income, commodities and currencies.  However, Oppenheimer analyst Chris Kotowski said: ""After two quarters in a row severely missing Wall Street's bond trading estimates, Goldman's 26% decline did not look so bad. ""While we did not see a sharp rebound in (bond) trading, one can, at a minimum, say that this quarter Goldman looked pretty much like everyone else.""   Goldman's bond trading results were of particular interest because it is more dependent on trading than rivals and it does not have a significant retail operation to offset recent declines. The bank's better-than-expected overall results were also fuelled by its performance in private equity investments and from higher fees that it earned through dealmaking."
