Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
Debt Market Sentiment,Why this US jobs report matters and what to watch,2024-09-14,2024-09-05,Natalie Sherman,https://www.bbc.com/news/articles/clyne60ln20o,"If you care about where the US economy is headed, you might want to keep an eye on events on Friday. At 08:30 ET (13.30 BST), the US Labor Department will release the results of its monthly jobs surveys of employers and households. The report is one of the most important gauges of the state of the world's largest economy - and it is coming at a critical time. The US presidential campaign, in which voters have identified the economy as a top concern, is under way. And after several years focused on inflation worries, attention is starting to turn to the job market. Last month, the Labor Department reported the unemployment rate had hit 4.3% in July, up from 3.5% a year earlier, as jobs growth slowed. The news helped to fuel several days of stock market turmoil. If Friday's report shows further cracks forming in the job market that would be bad news for Democrats, undermining the story they have been telling of an economy that is healthy, if slowing, and returning to sustainable growth, after a post-pandemic boom.  How much we should worry is still up for debate.  Such an increase in unemployment often signals an economic recession - but forecasters say that prediction is less certain this time, noting factors like a surge in immigration that have complicated the picture.  Other data suggest the rise in unemployment rate has been driven by more people looking for work, rather than a sharp rise in job cuts.  Friday's report will help to flesh out that puzzle, offering a key piece of evidence as voters' impressions start to cement ahead of the November vote.  Republicans have been keen to point to any bad news – a stock market stumble, lower growth figures, slowing business investment and a dip in hiring – as evidence that a change of leadership in Washington is necessary. Part of what has kept Democrats on the defensive about the economy is the unusual mix of forces at play right now.  The US central bank raised borrowing costs sharply two years ago, responding to prices that were jumping at the fastest rate since the 1980s.  The Federal Reserve said the moves - which brought its key lending rate to a roughly two decade high of 5.3% - would help get inflation under control.  But the way they do that is by discouraging business expansions and other big spending and dampening the pressures pushing up prices.  Put more simply, the Fed is deliberately slowing the economy. That often doesn't end well.  Historically, a big jump in rates typically ends in a recession - and the stock market has been jittery over any signs that the economy is headed for a ""hard landing"". Donald Trump has fanned the fears, for months predicting an economic ""crash"" - especially if his opponent is elected. Polls suggest a majority of Americans have already spent much of the last few years believing the economy is in recession - a downbeat assessment at odds with the country's 2.5% growth last year. Many analysts blame the disconnect on inflation, as households balk at prices that have jumped nearly 20% over four years.  But the urgency of that issue has abated, as wages rise and inflation subsides, dropping to 2.9% in the most recent official reading - the slowest pace since March 2021. That has set the stage for the Fed to lower interest rates for the first time in four years, which could bring further financial relief, leading to lower borrowing costs for mortgages, car loans, credit cards and other forms of debt. Friday's job report will be key to confirming the timing and size of the cut - and if it is actually likely to end up boosting sentiment and helping Democrats, as expected.  For now, most analysts expect a cut of 0.25 percentage points, which would signal an ongoing, orderly slowdown.  If the figures fuel worries about the economy, however, a bigger cut might be in order - though a cut driven by a stuttering economy and Americans losing jobs would hardly prove a benefit to Democrats.  Conversely, booming jobs numbers might make the bank rethink whether the economy is still running too hot and a cut is necessary at all.  That has left the Harris campaign in a peculiar position - hoping for a good jobs report, but not a great one.  In a closely watched speech last month, Federal Reserve chairman Jerome Powell left his options for how big a cut might be on the table.  Friday's jobs report may start closing some doors. "
Debt Market Sentiment,"High mortgage rates pricing out buyers, says Nationwide",2024-09-14,2024-07-01,Nick Edser,https://www.bbc.com/news/articles/cp081z9vre4o,"High mortgage rates mean affordability is still ""stretched"" for many home buyers, according to the Nationwide. The building society said that while earnings had been rising faster than house prices in recent years, this had not been enough to offset the impact of more expensive mortgages. Its comments came as it said house price growth had been ""broadly stable"" in June, with prices up 0.2% from the previous month. The average house price is now £266,064, the lender said. Prices were up 1.5% from a year earlier, but Nationwide said activity in the housing market had been ""broadly flat"" over the past 12 months, with transactions down by about 15% compared with 2019. The lender said the market was still being affected by the increase in mortgage rates, which started climbing after the Bank of England began to raise its key interest rate in late 2021. Robert Gardner, Nationwide's chief economist, said that mortgage rates are ""still well above the record lows prevailing in 2021 in the wake of the pandemic"". ""For example, the interest rate on a five-year fixed rate mortgage for a borrower with a 25% deposit was 1.3% in late 2021, but in recent months this has been nearer to 4.7%. ""As a result, housing affordability is still stretched."" Nationwide's figures are based on the building society's own mortgage lending, which does not include buyers who purchase homes with cash, or buy-to-let deals. Cash buyers account for about a third of housing sales. The impact of higher borrowing costs can be seen in the fact that transactions involving a mortgage are down by nearly 25% over the past year, Nationwide said. Meanwhile the number of cash transactions for properties is about 5% higher than pre-pandemic levels. Across the UK, Northern Ireland saw the biggest price increases, up 4.1% from a year earlier. Wales and Scotland both saw a 1.4% annual rise. Prices in England climbed by 0.6%, with northern regions seeing bigger increases in general than the south. Despite some major lenders cutting their mortgage rates last week, home loan costs remain far higher than pre-pandemic levels. According to financial information service Moneyfacts, the average rate on a two-year fixed mortgage deal stands at 5.95%, while for a five-year deal the average is  5.53%. The focus is now on the Bank of England's Monetary Policy Committee (MPC), which sets interest rates, to see if it decides to cut at its next meeting on 1 August. June's MPC meeting saw a change in tone from policymakers, with suggestions that the Bank could vote for a rate cut next month. ""Buyers may find their mojo again when we get a rate cut from the Bank of England,"" said Sarah Coles, head of personal finance at Hargreaves Lansdown. ""This could come as early as August, although sticky services inflation and higher wages could mean we need to wait until the autumn. ""Either way, we’re not expecting massive overnight drops in mortgage rates, so the reaction is more likely to be a muted upturn in sentiment than an overwhelming wave of optimism."" Last week, the Bank said that about three million households are set to see their mortgage payments rise in the next two years. These are homeowners who arranged mortgage deals before the Bank started to lift rates in 2021. These deals are now expiring, and the Bank said the majority will finish before the end of 2026. For the typical household looking for a new deal, monthly mortgage repayments are forecast to increase by about £180, or about 28%, the Bank said. However, for around 400,000 households, monthly payments could jump by 50% or more. Bank of England figures released on Monday showed a small fall in the number of mortgages approved in May, down to 60,000 from 60,800 in April. However, the data also showed the amount borrowed through mortgages dropped sharply to £1.2bn in May, from £2.2bn the month before, although this does not include those remortgaging with the same lender. Read more here"
Debt Market Sentiment,Stratford market traders: 'It's good to be back',2024-09-14,2024-05-17,Barry Caffrey & James W Kelly,https://www.bbc.com/news/articles/cnkekl1nj23o,"Traders at an east London market saved from closure have expressed their relief at being able to reopen. Stratford's Market Village was forced to close in January after the company that ran the site went into administration. Newham Council has now agreed to take on a 15-year lease for the site thanks to a £700,000 grant from the mayor of London's Good Growth Fund. The market, which has about 60 traders, reopened last Friday. Caribbean takeaway owner Samantha Scott said she was ""grateful and thankful"" to be able to reopen. ""It's good to be back - it feels like we were taken away from our home,"" she said. As part of the agreement, the council will be able to operate the market itself or assign the lease to another market operator. The market has been serving customers out of Stratford Centre since 1974. Abdul Qadir, who has run a phone shop in the market for 24 years, said: ""The feeling is good.  ""I'm soon going to be out of debt, I can pay my staff and my livelihood is going to be good."" He added: ""We feel like [the closure] was a bad dream."" Angela Akbas, who has run the Centre Cafe for more than 20 years, said the market acts as a community hub for many people.  ""This would have been a big loss to the community,"" she said.  ""This market brings entrepreneurship, diversity, it's multicultural and caters for everybody's needs."" ""We get people that come in with no families and nobody to talk to. They come in and have a chat with me and it makes them feel good,"" she added. The sentiment is echoed by some of Ms Akbas's customers. Maureen told BBC London she was ""very glad"" the market had reopened and gave Ms Akbas ""a cuddle"" when the cafe returned to business. ""This shopping centre is vital because these are small independent businesses,"" adds Michelle, another market customer. ""They depend on locals to support them."" Listen to the best of BBC Radio London on Sounds and follow BBC London on Facebook, X and Instagram. Send your story ideas to hello.bbclondon@bbc.co.uk"
Debt Market Sentiment,How it went wrong for Project Sunak,2024-09-14,2024-05-15,Laura Kuenssberg,https://www.bbc.com/news/articles/cy6332vx5n8o,"""He's like a children’s TV presenter - the more people see, the more they don't like."" This comment comes not from an opponent of Prime Minister Rishi Sunak but a supporter, who acknowledges things have not gone as they would have liked. In a wide-ranging speech earlier this week, the prime minister attempted to draw vivid dividing lines between his government and Labour. It was a reminder that we are hurtling towards an election sooner rather than later. The Conservatives had hoped they'd be closing the gap by now. So why has project Sunak failed to fire? Is it his personality, is it the battered party he took over or is it that the public has simply had enough? I've spent the past fortnight speaking to 20 people who have worked up close with Rishi Sunak. These are not disgruntled MPs or those who wished him ill from the start. They are ministers, staffers and officials (either current or former), who believed the Sunak project had a chance of turning things around, however slim that chance. A few genuinely believe Mr Sunak may yet be his party's saviour and others stress that he inherited appalling political gravity. But others are not so kind. Sign up for the Off Air with Laura K newsletter to get Laura Kuenssberg's expert insight and insider stories every week, emailed directly to you. After the meltdown of the Liz Truss administration, he formed a government, kept the markets happy and worked out Northern Ireland, one insider points out. If you think back to the wild moments of autumn 2022, that is no mean feat. ""He followed advice to treat it like a coalition government at the start, to stabilise the ship,"" a former minister tells me. One Whitehall insider said they ""slept easier"" when he moved into No 10. ""He is a decent man who is not in it for himself. He is all duty and hard work. I never saw him try to play the upside to gather power."" Many of the sources I spoke to told me he is ""the cleverest person in the room"", or the ""smartest person in the meeting"". One of his colleagues reckons he is ""frighteningly well briefed... he's unmatched"". Rishi Sunak is an unusual politician. One example is the story of Carol and Jo.  During the early part of the pandemic, Rishi Sunak made almost hourly calls to them. They were relatively junior civil servants working on designing and building the new system for furlough. This was the chancellor taking personal and painstaking care with the details of an important new policy. He'd host massive Zoom calls, and ask for tiny details from the desk officers directly responsible for particular pieces of policy, rather than rely on more senior civil servants. I can't emphasise enough, for a top level politician, this is not normal behaviour. They normally prefer making decisions to trying to master all the details. But his style of including officials no matter their status, meant ""the Treasury loved him from day one"", according to a senior figure. When Rishi Sunak arrived in No 10, the details man, apparently shorn of the ego of so many at Westminster, made politics a little more normal again. His style had made him extremely popular as the Chancellor. There was a point when he ""had net favourability in every part of the country"", one insider recalls. He was more popular than the Tory Party and the hope was that he could pull the party's ratings up to his level. But it is the opposite that has happened. One of Rishi Sunak’s mantras is ""Politics is like the stockmarket – believe in the fundamentals, not the noise"", a hangover from his past as a hedge fund manager. He reckons the small ups and downs of Westminster don't matter compared with the long-term trends. And after three months in office, in January 2023, it was time for Mr Sunak to define the substance. He announced his now famous five pledges: he vowed to halve inflation, grow the economy, reduce national debt, cut waiting lists and stop the small boats. The thinking was to show an unflashy politician who would calmly make vows and keep them. He would under-promise and over-deliver, in his typical mashup of political and management speak. ""The people's priorities are the Government's priorities,"" the PM said. There are those who insist this wasn't merely politics by polling metrics. According to one Cabinet minister: ""It was a bit of both - what focus groups wanted and what he believed in."" But others point to this moment as where things started to go wrong. Some colleagues believe it was a shopping list of pledges that was never going to excite or persuade. ""The five pledges were rushed out the door in January,"" a party veteran tells me. ""He should have gone harder and bolder."" Others reckon Mr Sunak picked the right issues, but that his central message has failed because while inflation has halved, he hasn't yet been able to tick all five things off his list. ""He chose hard things, and he sticks to his guns, even if it’s harder and takes longer,"" a defender says. After Boris Johnson’s bluster, and Liz Truss' hundred-mile-an-hour ideological experiment, Rishi Sunak’s business-like, non-ideological approach could have seemed like an advantage – thank God for a grown up, eh? But for some, there's the problem. ""The most successful politicians at the very top level are the ones who have very strong beliefs and instincts – his approach looks like a series of transactions or problems to be solved,"" a former official who admires Sunak told me. Another source who worked closely with him said: ""He thinks that working really hard and being good is enough. Being PM is art, not science - and he is no artist."" ""We’re like a government of civil servants,"" a serving minister tells me. What started out as Rishi Sunak’s advantage now often seems like a negative. It's not been an easy journey for a prime minister whose life has been defined until now by hard work and success. With those sky-high ratings as chancellor came ""a belief that you are amazing and good"", according to one insider. There is a sense of frustration around his operation that somehow it's not quite fair that his hard work hasn't come good. ""He is thin skinned, he can't cope with people disagreeing with him,"" one source said. ""He’s surrounded himself with people who are friends and think he's great. So they all just reinforce each other."" ""There's an awful bunker mentality – it's a very weird time,"" another minister says. The lack of political progress is not for want of trying. In the summer of 2023, No 10 decided to try to set a new narrative: the country would see the ""real Rishi"". It would be a chance to create his own agenda rather than be just the PM who cleared up the mess. It was always a stretch to bill Mr Sunak as the ""change"" candidate, when the Conservatives had been in power for so long, but Boris Johnson had pulled it off. Sunak ""sat down in the summer to think about what his legacy should be"", a minister at the time tells me. He came up with what the minister described as a series of ""eclectic ideas"" that included banning smoking, long-term reform of A-Levels in England and scrapping a major chunk of HS2, all co-ordinated with a big conference rebrand. Despite weeks of build-up, it fell flat. ""I don’t know a single MP who wanted to put any of those things on their leaflets. It just showed he didn't really know where he wanted to go."" ""It was one of those moments where you look at it,"" another current cabinet minister told me, ""and think I'm not sure I object to any of it, but I'm not sure I see the point of it."" There was a palpable sense that week among Conservative ranks, if this is the real Rishi, is that really it? It's not even clear it made the main man himself happy. ""He started to sound a bit more self-pitying,"" another politician who knows him well tells me. ""He felt like the world was on his shoulders. He had nobly stepped up to do it when no-one else wanted it. No-one is forcing you to do it. That’s just an annoying approach."" What nobody disputes is that Rishi Sunak inherited a political party in a huge mess. Many of the sources I've spoken to say the state of the Conservative Party is Rishi Sunak's number one problem. There's a whole generation of MPs who learned the habit of sniping at each other in public. ""The number of scars that everyone carries, that’s been the hardest thing to overcome,"" one No 10 insider says. Another former minister suggests Sunak's appeal for discipline and order in the party was destined to fall on deaf ears because many believe he was part of the effort to unseat Boris Johnson. One cabinet minister talks me through all the factions in the party, none of them tied particularly to Rishi Sunak, each more grumpy than the last. ""The red wall lot who are proper panickers; 100 or so ex-ministers on the backbenches, most of whom think they should be PM; the Truss gang who just want Rishi to be embarrassed; and the Johnson gang who still blame Sunak for their hero’s downfall."" One minister tells me the prime minister is not particularly a creature of the party: ""No-one feels Rishi is a leader, even if he is trying his best."" But has he done enough to try? Rishi Sunak's choices at his autumn reshuffle last year might have been a moment when he had a chance to shake the party out of its doldrums. Bringing back David Cameron grabbed plentiful headlines and reassured some parts of the Tory party that ""the grown ups are back"". He hung on to Jeremy Hunt, and experienced ministers like Grant Shapps and Steve Barclay. He promoted a few younger allies, like Clare Coutinho and Laura Trott. But in terms of public perception, did the return of David Cameron achieve much other than undermining Rishi Sunak’s claim to be the ""change candidate""? ""It was the turning point,"" one cabinet minister tells me - but not in a good way. ""If you are going to show change and reset and refresh, you have to appoint more people like Clare Coutinho, not Grant Shapps."" The diplomatic way of describing the atmosphere in the Tory party in 2024 according to a loyal Sunak insider is this: ""We have to work to counter a lot of noise from lots of bits of the party. ""When you are in charge during a difficult time, people are frustrated, the leader will always get some blame for that. I think people think he is a decent guy who is trying hard."" By any measure, the party has been consumed by grudges and unhappiness. There's a joke doing the rounds in Westminster. Have you heard the one about the Conservative MP who has just published a letter? It says he is standing at the general election! More than 60 Conservative MPs have announced they're not standing again, sometimes because of retirement or the prospect of losing, but many of them are simply exhausted by the tensions and the tantrums. And here’s the irony: one of Rishi Sunak’s strengths early in his political career was that he wasn’t identified with one particular political faction or tribe. He was seen as highly competent, pleasant, destined for high office, not invested in the nonsensical game-playing of SW1. Yet while he has a strong and powerful group of loyal advisers and officials, and a core of the party who thinks he is highly capable, there is no sense of a political army who will battle to win. The broad coalition of voters that Boris Johnson was able to create was a stretch that perhaps no-one would have been able to hold together. ""You can’t dump Theresa, Boris, Liz and install another leader and expect the public to go 'thanks very much, you’ve done a great job',"" says one of those I spoke to. ""That has created utter carnage."" Mr Sunak's most ardent backers say that after the Tory party’s many bouts of political madness in the past few years, ""the public just doesn’t want to listen"". ""It's just about the pendulum swing - it is not about the party, and the PM's personality is fine,"" one loyalist tells me. Another felt things were negative, despite progress on those early pledges. ""There is just a cynicism, which applies to all parties."" Nobody is claiming that turning the mood of a public that feels hard up and cross is easy. But Mr Sunak's style, one of his admirers says, has felt like an uncomfortable clash with that: ""You see a very happy, wealthy person - in a national context that is not appropriate."" One source told me: ""You can't blame the public, if you voted for us in 2019 and you thought we'd build you a new hospital and you look across your road and we haven't, then that's not on the public. They are disappointed."" So what happens next? Mr Sunak and his team are putting a lot of stock in being able to show the economy is shifting for the better. They need that to cut through. ""He's happiest when he’s doing stuff,"" one of his confidants tells me. He has a spring in his step with recent announcements on welfare, defence, and much better numbers on the economy, they tell me. Mr Sunak’s set piece speech on Monday marked another attempt to shift the argument, to turn the fire on Labour, inviting comparisons between himself and Keir Starmer. It is true that a lot could go wrong for Keir Starmer. The economy going ""gangbusters"" (not my word, that was the ONS Chief Economist Grant Fitzner last week) may yet carry real sway with the public. Voters in the 2020s are volatile. But does the eternally outwardly cheerful Rishi Sunak really think he can pull it back? ""I think he is fairly sure that going from where he is now to winning is a stretch,"" says one source. Other Conservatives hope that under the crazy pressure of a general election campaign, the public will be less impressed with Keir Starmer than the polls currently suggest. ""He’s like a plastic tree - he looks good from a distance but the closer you get, you realise he’s not the real thing,"" they snipe. As things stand though, there is no doubt the initial hopes of Project Sunak have been dashed. Remember that by this stage they reckoned they would have been closing the gap on Labour, and looking competitive in an election. That may yet come. But the sense that Rishi Sunak could have represented a powerful fresh start has gone. ""He could have been that game-changer leader,"" one of those who believed in him told me. ""The Tories choosing an Asian leader is such an amazing opportunity potentially, and perhaps it's yet again another example,"" adding with a brutal comparison ""that as with Gordon Brown, the guy who is the number two is actually the number two."" Rishi Sunak will not give up without a fight. The shopping list of demands was always a hefty one - a leader required to settle the nerves of the financial markets and the country after weeks of market chaos, to pull together a political party after years of fighting amongst itself, and then to win over a cynical and exhausted public after waves of crises and self-inflicted calamity. The common denominator of political events in the last five years is they have been hard to predict. Despite the polls it is way too soon to say it's game over for Project Sunak. Some reflect it was a job that was perhaps always going to be bigger than just one man. Others still wonder if that had to be the case. But in the end, politics is not like the stock market. Its fundamentals are a tangle of philosophy, sentiment, emotion and argument about what has gone before, as well as the now. Put like that, for many around Rishi Sunak, the fundamentals don't look so good after all. BBC InDepth is the new home on the website and app for the best analysis and expertise from our top journalists. Under a distinctive new brand, we’ll bring you fresh perspectives that challenge assumptions, and deep reporting on the biggest issues to help you make sense of a complex world. And we’ll be showcasing thought-provoking content from across BBC Sounds and iPlayer too. We’re starting small but thinking big, and we want to know what you think - you can send us your feedback by clicking on the button below."
Debt Market Sentiment,Domestic tourism soars in China but foreigners stay away,2024-09-14,2024-05-09,By Stephen McDonell,https://www.bbc.com/news/world-asia-china-68982645,"With the Chinese economy facing massive challenges, there have been concerns over its growth potential, at least in the immediate future. Yet a key exception is emerging in the form of domestic tourism. Last week's five-day public holiday to mark labour day saw 295 million trips made within China, according to figures from the Ministry of Culture and Tourism. This was 28% higher than pre-pandemic figures recorded in 2019. The Transport Ministry's figures are also staggering: 92 million rail trips; almost 10 million air trips and 1.25 billion highway journeys. However, this comes as international arrivals continue to lag, with foreigners currently entering China at barely 30% of 2019 levels. Why the disparity? The beautiful historical river town of Wuzhen, a short drive from Shanghai, is considered one of China's top visitor sites for travellers of all types. When we arrive the little pathways and old bridges which cross narrow waterways are filled with visitors. A popular thing to do in Wuzhen is to pose for photos dressed in traditional hanfu clothing - as if you have really been transported back hundreds of years. Two women in their 20s, friends since high school, are visiting from Jilin Province in the north east. After arriving, they spend an hour getting their hair done in an elaborate imperial-era style - and they are full of praise for Wuzhen's classical beauty.  We ask if, following the post-Covid opening up, many of their family and other friends have been travelling much? ""Of course, after the pandemic, we're all visiting other places."" Nearby a local man who is selling ice-creams also says tourist numbers are ""not that bad lately"". As good as before Covid? ""Almost the same,"" he replies. Shopkeeper Wang Ying, who sells traditional snacks, echoes this sentiment with a big smile on her face. ""Business is going well, and it'll only get better."" All this will be seen as good news for the Chinese government. It's been saying that a push on domestic consumption can counter the significant faltering portions of the economy. Major players in the once-mighty property sector are struggling to stay afloat, local government debt continues to rise, and persistent youth unemployment has left highly qualified university graduates uncertain of their future. Amid all these challenges, the Communist Party has set a target of ""around 5%"" GDP growth for this year. Apart from the fact that analysts have long questioned the veracity of the country's official growth figures, economists are also asking how such a target can be reached, in any genuine sense, in 2024 without significant extra stimulus. One lifeline could be a more buoyant travel scene which could bring broader business opportunities and greater service industry employment. Schubert Lou, chief operating officer at travel agency Trip.com, told the BBC: ""We've seen very strong domestic travel demand with search volumes in hotels up 67% compared to last year, and flight volumes up 80%."" Tourism industry consultant Peng Han from Travel Daily is following the investment trail to see how the business community really views the possibilities in the sector. ""With famous international hotel brands - like Intercontinental, Marriott and Hilton - you just have to look at their growth in China in 2023,"" he says. ""Then check the performance goals for these large hotel groups in 2024 which have also been set relatively high. This shows that they are very optimistic about the growth potential of the Chinese market."" But, while the volume of local travellers might be up, Mr Peng does point to the problem of per capita consumption which remains persistently low. He says general uncertainty about the Chinese economy is putting more emphasis on saving, so people are looking for good value options. They are going on holidays and paying for things but doing so much more frugally. This is where an increase in big-spending foreigners could help. But they are simply not travelling to China in the numbers they used to.  In 2019, nearly 98 million international visitors came to the country. Last year it was only 35 million - including business trips, students and the like. Mr Lou describes the domestic versus international market as ""uneven"". For many in the tourism industry here specialising in services for foreign travellers, ""uneven"" would be an understatement. Three years of harsh Covid prevention measures drove down arrivals from other countries, but that alone can't account for the current situation. Huang Songshan, the head of the Centre for Tourism Research in the School of Business and Law at Australia's Edith Cowan University, blames this weakness in part to ""the shifting geopolitical landscape globally"". In the peer-reviewed East Asia Forum, he pointed to a 2023 survey carried out by the Pew Research Centre, writing that, ""Most individuals in Western nations hold unfavourable views towards China. The Chinese government's tightening grip on societal regulations could potentially cause discomfort for foreign travellers in China."" Official travel advice from some governments echo this sentiment, at times quite harshly. Washington warns potential travellers to ""reconsider travel to Mainland China due to the arbitrary enforcement of local laws, including in relation to exit bans, and the risk of wrongful detentions"". Australia advises ""a high degree of caution"" warning that ""Australians may be at risk of arbitrary detention or harsh enforcement of local laws, including broadly defined National Security Laws"". The political environment has also taken a toll on flight availability and price. This is especially the case with connections to and from North America. Last month's 332 scheduled round trips between China and the US contrasts with 1,506 in April 2019. As a result, finding a seat on a direct flight can be extremely difficult and those that are available are very expensive. President Xi Jinping made a speech at a dinner on the sidelines of the Asia-Pacific Economic Cooperation conference in San Francisco last November addressing this point. ""Today, President Biden and I reached important consensus,"" he told the crowd. ""Our two countries will roll out more measures to facilitate travels and promote people-to-people exchanges, including increasing direct passenger flights, holding a high-level dialogue on tourism, and streamlining visa application procedures. We hope that our two peoples will make more visits, contacts and exchanges and write new stories of friendship in the new era."" Washington has since increased the number of Chinese airline flights permitted to land - but only from 35 per week to 50. It is still well short of the 150 weekly trips pre-Covid. The Biden administration is coming under pressure from unions and US airlines to not increase this any further because, they argue, Chinese airlines have an unfair advantage over them as they have state support; don't face the same onerous Chinese regulations; and, crucially, can fly over Russian airspace, making trips shorter and cheaper. A letter to the US government from the Chair of the House Committee on China, Mike Gallagher, and the committee's top Democrat representative, Raja Krishnamoorthi, reads: ""Should the US-China passenger carrier market expand without the US government addressing these significant issues, US aviation workers, travellers and airlines will pay a hefty price tag."" Mr Lou says the frequency of international flight connections is definitely having an impact. ""What we are seeing right now, based on civil aviation data, is that inbound flight capacity won't get back to even 80% of 2019 [levels] by the end of 2024."" Then there are other potential turnoffs for those considering travelling in China, like the country's state-of-the-art phone app payment and booking systems which work very smoothly for Chinese citizens and residents, but which can be an enormous headache if you have just arrived. There are certain sites, transport options, and purchases which can only be accessed via Chinese electronic apps which are, at times, only available in Chinese. Professor Chen Yong at Switzerland's EHL Hospitality Business School is an authority on the economics of tourism in China. He thinks that hurdles relating to payment and booking apps can pose a real problem. ""Technologies such as social network websites, online maps, payment apps, among others, which foreigners have long been accustomed to using, are either unavailable or inaccessible when they travel to China,"" he says.  ""On the other hand, there are Chinese alternatives to these technologies that remain inaccessible to foreigners due to language barriers and differences in user habits. We need to bridge this divide because it affects the tourist industry badly."" Back in Wuzhen, the presence of international travellers is much smaller than in years gone by, but there are still a few foreign faces in the crowd. An Italian couple says the process of linking up to and using China's payment apps was a challenge but that it was not insurmountable, though they add, with a laugh, that it is ""much, much, much easier"" if you have a Chinese friend to help you. Eliseo, from California, says he has had problems making payments to small vendors who don't accept credit cards and really no longer deal with cash. Another hurdle for him has been his bank at home which has blocked some payments, flagging them as potentially fraudulent coming from China. Chinese officials have acknowledged that the foreign traveller numbers have been low but they are now trying to turn this around. One way they're attempting to attract more foreign visitors is by increasing the number of countries whose citizens don't need a visa to enter. Trip.com says this resulted in an almost immediate increase in passenger arrivals from Southeast Asia. In 23 Chinese cities, transit passengers from more than 50 countries are also able to stay for a few days visa free if they have an onward ticket. In Shanghai, hotels above a three-star level have been told that they should prepare to deal with international credit cards and an initial batch of 50 taxis have also started accepting them. However, Professor Chen says ""it would be too optimistic to envision a long-term growth in China's inbound tourism"". ""The key is to establish a culture that puts service providers in the shoes of foreign tourists. They should imagine themselves being a foreigner who can't speak or read Chinese and who doesn't have a Chinese mobile number, payments apps and so on."" He says that the culture around this can't be changed overnight. Yet, in places like Wuzhen - where the local travellers have already returned - the tourism companies are hoping that incredible sites like theirs will eventually be too much for foreigners to resist as well."
