Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
Fixed Income Market Sentiment,Foxtons hit by 'prolonged downturn',2024-09-14,2019-02-28,BBC News,https://www.bbc.com/news/business-47389160,"London-focused estate agent Foxtons has swung to a loss and says the housing market in the capital is in a ""prolonged downturn"". The company reported a loss of £17.2m for last year, partly due to the costs of closing six offices. It made a profit of £6.5m in 2017. Foxtons added that Brexit uncertainty was ""impacting consumer confidence"". Separately, the Nationwide said the UK market remained ""subdued"", with prices up 0.4% in February from a year ago. Foxtons said annual revenues fell 5% to £111.5m, with the weakness in property sales being offset slightly by a ""resilient lettings performance"". The estate agent was pushed into the red by one-off charges of £15.7m, which included the costs of closing six offices: Beckenham, Enfield, Loughton, Ruislip, Park Lane and Barnes.  Foxtons said it was able to cover 85% of London from 61 branches and had no current plans for further closures. ""Our performance in 2018 was impacted by a further deterioration in the sales market, with transaction levels falling for another year from their already low levels,"" said chief executive Nic Budden. However, the company said that in the long term, London remained ""a highly attractive property market"". The Nationwide said that house prices in February dipped 0.1% from the month before, with the average property now costing £211,304. The Nationwide's chief economist, Robert Gardner, said: ""Indicators of housing market activity, such as the number of property transactions and the number of mortgages approved for house purchase, have remained broadly stable in recent months, but survey data suggests that sentiment has softened. ""Measures of consumer confidence weakened around the turn of the year and surveyors reported a further fall in new buyer enquiries over the same period. ""While the number of properties coming onto the market also slowed, this doesn't appear to have been enough to prevent a modest shift in the balance of demand and supply in favour of buyers in recent months."""
Fixed Income Market Sentiment,Moving home can be stressful for Fido too,2024-09-14,2017-12-22,By Kevin Peachey,https://www.bbc.com/news/business-42402920,"Move into your dream home and the dog immediately chews the new sofa.  The result: more stress which, according to an expert, was probably the cause of the furniture destruction in the first place. ""Dogs will pick up on your stress when moving house,"" says Gwen Bailey, founder of Puppy School, a network of canine training classes. ""It is best to leave them with relatives for a couple of weeks so they can move into a more settled house."" One in four UK households own a dog. More than a million homes are expected to be bought next year. That is a lot of hounds on the move. So, given that 2018 is the Chinese Year of the Dog (beginning in February), perhaps the UK's favourite pet should get a little more consideration during the upheaval of moving home. At least property-buying dog lovers will have something to help them in 2018 - time to prepare. The ongoing income squeeze means experts do not expect a surge in demand among potential buyers next year. Prices will only creep up. So, nobody need buy and move in a rush.  Ms Bailey, whose book The Perfect Puppy has been in print for 21 years, says that dogs can become more territorial, aggressive, keen to chew anything, or docile - depending on their personality - during the stress of moving home. She suggests that making up the dog's bed, making sure they have their water bowl, and establishing a routine, should be priorities, however untidy the new home. The new home offers everyone the chance of a fresh start, even the dog, she says, while her seven-month-old Vizsla, Otto, plays around her. ""This is a perfect opportunity to start again, to introduce some new rules and new routines. So if, say, you do not want your dog to go upstairs, then a new home is a good time to make that change,"" she says. She also suggests that dog owners consider their new neighbours when moving home, particularly if there are cats or children next door. But what are the chances of many people getting new neighbours in 2018? Simon Rubinsohn, chief economist at the Royal Institution of Chartered Surveyors (RICS), says the housing market in many areas will be muted owing to a constraint on affordability. The RICS prediction, drawn from surveyors across the UK, has one of the best track records for accuracy. In 2018, the expectation is for house prices to be unchanged, and for the cost of renting to rise by 1%. However, this masks a big regional difference. Prices might well fall in London and the South East of England, RICS predicts, while rising fastest in Northern Ireland, Scotland, Wales and the North West of England. House prices compared to earnings are still lower than before the financial crisis in these areas where property values are expected to increase. It is not only geography that housing market analysts believe will be important in 2018, but also the type of property. Property portal Rightmove, which tracks asking prices, expects homes with two bedrooms or fewer to rise in price by 3%, compared with a 2% rise in three- and four-bedroom homes.  But the jump in price remains the greatest when moving from a three- to a four-bedroom home, rather than moving between smaller homes.  Housing commentator Henry Pryor, whose previous prediction of a 4% fall in house prices in 2017 is looking well wide of the mark, says house price predictions are a folly. The effect of interest rates, government schemes to assist first-time buyers, and the sentiment of lenders, can have a big effect on prices and are difficult to foresee. In 2018, the B word (Brexit) might make buyers delay any potential purchase, he says, but the D words (debt, divorce, and death) will continue to drive some activity in the housing market. Again, he expects house prices to fall in 2018. Ed Stansfield, chief property economist at Capital Economics, who is predicting a 2% rise, agrees that buyers and lenders will be cautious in 2018. This, he says, will be the effect of interest rates. The Bank of England recently raised its benchmark rate for the first time for 10 years. It now stands at 0.5%. For Ray Boulger of John Charcol mortgage brokers the impact of any further rises in interest rates would not create too much of a struggle for those who have taken out a home loan recently. These homeowners would already have been tested to ensure they could cope with larger interest rate rises, and most are on fixed-rate deals. Where it could have an effect, he suggests, is by reducing the maximum mortgage available to new applicants. First-time buyers need to find an average deposit of about £33,000, according to Russell Galley, of mortgage lender Halifax. At least this group will be cheered by predictions of small rises, or even falls in house prices. This leads to what, for many people, is the deciding factor on whether to buy their first home,  move to a bigger one, or stay put. It is not potential interest rate rises, not the accessibility of mortgages, and certainly not the welfare of the family pet. It is how well off people feel. So, experts agree, a predicted ongoing squeeze on incomes will probably mean a somewhat static UK housing market in 2018. That might be good news for Fido at least."
Fixed Income Market Sentiment,Fake bookings hit Asian ride-hailing firm,2024-09-14,2018-06-29,BBC News,https://www.bbc.com/news/technology-44655668,"Hundreds of fake accounts making ""phantom bookings"" have recently plagued Singapore-based firm Ryde Technologies, the company has said. In recent weeks, nearly 300 such accounts have made 2,000 bogus bookings, costing drivers $50,000 (£37,900). The start-up investigated the problem after drivers complained. Uber, which offers a similar service, has in the past reported cases of fake bookings in other countries. Ryde has filed a report with local police who are now investigating the matter, according to Reuters. ""Such manipulations of the app have distressed affected drivers, as their means of livelihood have been impacted,"" the firm said in a statement. ""On top of causing drivers to lose money on fuel, these acts severely limit the drivers' availability to take on more jobs as it sends them driving around in vain when they could have been picking up legitimate riders.""  A spokeswoman confirmed to the BBC that the $50,000 lost by drivers refers to income they would have earned from bookings had they been real. Ryde added that it has begun conducting user audits to try to eliminate fake accounts and it has encouraged drivers to report phantom booking incidents. The practice of lodging fake bookings is especially problematic for a young company in such a competitive market, said analyst Hanish Bhatia at Counterpoint. ""It definitely hurts the business,"" he told the BBC. ""It creates a very negative sentiment among drivers who have just joined."" Notably, the Asian ride-hailing market, in which giants like Didi and Grab also operate, is highly ""price-sensitive"", said Mr Bhatia. Firms competing on price may be particularly affected by lost business, he added. Mr Bhatia also suggested that ride-hailing firms, as they grow, gather data on all drivers and passengers that may reveal when unusual activity is occurring or when fake bookings are being made. "
