Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
Yield Spread Sentiment,The eerie story behind the newest US national park,2024-09-14,2024-05-07,Heather Mundt,https://www.bbc.com/travel/article/20240506-the-amache-national-historic-site-how-an-abandoned-prison-became-the-newest-us-national-park,"During World War Two, this haunting site was home to more than 7,500 interned Japanese Americans and was 50% more crowded than New York City. Situated in on the barren, windy plains near the Colorado-Kansas border, about a 3.5-hour drive south-east of Denver and its famous Rocky Mountain skyline, the Granada Relocation Center isn't a place where many travellers go. But that may soon change.  Abandoned in 1945 at the end of World War Two, the centre (officially called the Amache National Historic Site) only includes a handful of reconstructed and restored army-style barracks, a water tower and a guard tower sprouting from the prairie's dry shortgrass and sagebrush. But look closely, and you'll find traces of the more than 10,000 Japanese Americans who were either incarcerated or processed here from 1942-1945. ""It might seem like there's not much out there,"" said Dr Bonnie J Clark, a professor and curator of archaeology at the University of Denver who co-directs the Amache Project, which researches and helps preserve the site. ""But the more time you spend, it's just a really powerful and evocative place.""  In February 2024, these haunting ruins located just outside the 400-person hamlet of Granada,  Colorado, officially became the newest (and perhaps most unlikely) US national park. According to Secretary of the Interior Deb Haaland, the site's establishment as federally protected land is a critical step in remembering the painful history that Japanese Americans endured. ""As a nation, we must face the wrongs of our past in order to build a more just and equitable future,"" Haaland said in a statement. ""The Interior Department has the tremendous honour of stewarding America's public lands and natural and cultural resources to tell a complete and honest story of our nation's history."" Following Japan's Pearl Harbor attack on 7 December 1941, a wave of anti-Japanese sentiment spread across the nation, with many suspecting that Japanese and Japanese Americans might act as espionage agents and enemies of the state. In March 1942, US President Franklin Roosevelt authorised military commanders to forcibly remove all persons deemed a threat to national security.  The order didn't specify one ethnic group. But it paved the way for the US to order the removal of Japanese nationals and US citizens of Japanese ancestry to remote incarceration centres  across the Western US – including Amache. The mass expulsion impacted more than 120,000 men, women and children of Japanese ancestry – two-thirds of whom were US citizens. Given only between four days and two weeks' notice, residents were ordered to pack their belongings and abandon their homes for incarceration. Initially, some people were sent to temporary ""assembly centres"" that were cobbled together on fairgrounds and racetracks until permanent camps could be constructed (many by incarcerees themselves). Because these incarceration camps were rarely discussed among the Japanese American community after the war ended in 1945, descendants, like Dr Kirsten Leong, often knew very little about their family's history. ""The fact that I didn't know a lot about the experience is pretty common for my generation,"" said Leong, whose maternal grandmother's family was held at Amache.  As a child, Leong recalls hearing just one story about her relatives being forced from their Los Angeles home to an assembly centre just 13 miles away in city of Arcadia. Here at the famous Santa Anita Racetrack, where champion thoroughbred Seabiscuit had raced to victory only two years prior, people were forced to live in converted horse stalls.  ""My grandmother always wrinkled up her nose and made a face,"" Leong said. ""I never understood that until I learned that three days before, the horses were living in the horse stalls.""  Leong's family was transferred after a few months to Amache, one of the US' 10 confinement sites, named ""relocation centres"". From Tule Lake in California to Heart Mountain in Wyoming and Minidoka in Idaho, the centres were built on isolated public land far from cities and towns. The country's smallest incarceration camp, Amache was the only relocation centre constructed on private land seized by eminent domain (which empowers the US government to take private property and convert it for public use). It opened on 27 August 1942 and quickly ballooned into Colorado's 10th-largest city, with roughly 7,500 people confined to just one square mile during its peak – making it 50% more densely populated than New York City at the time, according to the National Park Service.  In many ways, Amache's unlikely evolution from abandoned prison to US national park is thanks to a former Granada High School teacher and current principal named John Hopper. In 1993, Hopper began documenting Amache's history as a class project and established the Amache Preservation Society (APS). With the help of volunteer students and organisations like the town of Granada and the University of Denver, the APS reconstructed the site's buildings, renovated its cemetery and established the Amache Museum and research centre in Granada. More like this: • The samurai who forever changed California • How the Transcontinental railroad forever changed the US • The sweet symbol of Japanese America ""The mostly Japanese American internees lived for more than three years within the one square mile that stretches out before you now to the south,"" said a guide on the free self-driving tour, which offered historical context as I moved through each stop.  Despite the camp's harsh circumstances, the internees worked together to survive and created an active community. Organised like a military camp, there were 29 residential blocks, each containing 12 barracks used for living quarters, plus a mess hall and recreation hall. Six families lived in one barrack and shared bathroom facilities, allowing little privacy. In addition, there were hospitals and schools, social activities and sports programmes, even Boy Scouts and Girl Scouts. Families grew crops, created a successful silk-screen shop and established a co-op with barber shops, shoe stores and more. Detainees living behind the barbed wire did their best to maintain a sense of normalcy, even as armed guards patrolled the camp and manned the eight guard towers surrounding the perimeter.  Amache closed after WW2, and once the last people left in October 1945, its buildings were demolished or sold off to the public.  Every two years since 2008 (minus 2020), Clark conducts archaeological field work and research at the site alongside students and Amache survivors and descendants. At the end of each summer, she presents her findings at open houses for Amache families  and the general public. Over the years, she has found evidence that residents planted gardens and uncovered the remains of a sumo pit, Japanese baths, footpaths and baseball fields. Thousands of cottonwood and Siberian elm trees they planted are reminders of life at Amache.  ""That investment in a place [where] people didn't choose to live, I think, really speaks to an insistence on your own humanity and also on taking care of one another,"" Clark said. Although Leong still knows very little about her family's life at Amache, other than hearing one uncle had graduated from the prison's high school and the other taught there, she learned more when she began volunteering with Clark in 2012.  What's evident to her is how the prejudice that sought to disband Japanese communities following WW2 has rippled into modern times. Not only did incarceration affect Japanese American family structures, it also created generational trauma beyond WW2, when people were given incentives to start new lives away from the Japanese American communities that no longer existed across much of the West Coast.  ""They were allowed to go back 'home', but there was no home to go back to,"" Leong said. ""My generation [is] now discovering, 'Oh, so that's why I don't know any other Japanese people. That's why we don't talk about our heritage.""  Today, visitors to the newest US national park can see the three decades of APS' preservation efforts, like the restored towers and recreation hall, as well as the cemetery and ""monument house"". Originally built as a columbarium, the monument house was supposed to protect cremated remains. But because the incarcerees didn't want to leave behind ashes after being released in 1945, it now houses a memorial to honour those who passed away while incarcerated at Amache. A second memorial inscribed with US military casualties from Amache was erected in the cemetery in 1983. According to Amache site manager Christopher Mather, it will take a few years for the NPS to implement more educational programming and a dedicated visitor's centre. But by late summer 2024, Mather says staff will be on site to escort visitors on free tours inside the recreation hall and barracks. (Check the NPS site for updated information.) In the meantime, the NPS says that the self-driving tour created by the APS is the best way for visitors to learn about the site's history. Mather suggests that visitors start at the Amache Museum, located about 1.5 miles from the Amache National Historic Site. There, visitors can see historical photographs and documents of the prisons - as well as archaeological finds from the site and objects donated by survivors – from an intricate kimono to a simple suitcase that held the precious few personal belongings people were allowed. It’s also where to get maps and historical fact from NPS staff, who work inside its offices, before visiting the actual/physical camp. ""The museum is where a lot of people will get the information that they'll need to then go out and really get the best experience on site,"" Mather said.  Mather recognises that Amache's new designation as a national park is the culmination of decades of work. But by sharing the stories of survival and pain, he hopes that their experiences will echo into the future. ""It's a story that needs to be told,"" he said, ""so that it doesn't happen again."" -- If you liked this story, sign up for The Essential List newsletter – a handpicked selection of features, videos and can't-miss news, delivered to your inbox twice a week. If you would like to comment on this story or anything else you have seen on BBC Culture, head over to our Facebook page or message us on X."
Yield Spread Sentiment,'Raised to hate tourists' - Fires fan tensions on Maui,2024-09-14,2023-08-15,By Holly Honderich & Max Matza in Maui,https://www.bbc.com/news/world-us-canada-66507019,"After wildfires devastated parts of the Hawaiian island of Maui, one of the most popular tourist destinations in the US, officials warned visitors to stay away. But thousands remained and others continued to fly in, angering residents in the wake of the tragedy. At Maui's Wailea Beach on Monday the skies were bright and clear. Luxury hotels lined the beachfront, their guests spread on the sand. Some waded in the ocean, while others sat under umbrellas with white monogrammed towels on their chairs.   Inside one of the hotels, beyond a pool, a two-tiered fountain and a glass-walled habitat for the resident parrot, was a wooden-framed screen advertising a relief fund for the resort's employees - the first sign of the destruction in Lahaina, just 30 miles (48km) up the coast. In the wake of the wildfires, the deadliest in modern US history, frustration at tourists who have chosen to carry on with their holidays has grown. Many in Maui say the devastation has highlighted what is known as the ""two Hawaiis"" - one built for the comfort of visitors and another, harsher Hawaii left to Hawaiians.  ""It's all butterflies and rainbows when it comes to the tourism industry,"" said a 21-year-old Maui native and an employee at the hotel who asked to remain anonymous. ""But what's really under it is kind of scary.""  Last Wednesday, a day after the wildfires, the county asked visitors to leave Lahaina and the island as a whole as soon as possible.  Officials soon urged people to avoid the island entirely, except for essential travel. ""In the days and weeks ahead, our collective resources and attention must be focused on the recovery of residents and communities that were forced to evacuate,"" the Hawaii Tourism Authority said. Many travellers heeded the advice. In the immediate aftermath of the fires, some 46,000 people left the island. The grass field separating the airport from the surrounding highway is now lined with rows upon rows of suddenly surplus rental cars. But thousands did not. Some ignored requests to leave Maui immediately, while others flew in after the fire - decisions that have angered some. ""If this was happening to your hometown, would you want us to come?"" said resident Chuck Enomoto. ""We need to take care of our own first.""  Another Maui local told the BBC that tourists were swimming in the ""same waters that our people died in three days ago"" - an apparent reference to a snorkelling excursion on Friday just 11 miles from Lahaina. The snorkelling company later apologised for running the tour, saying it had first ""offered our vessel throughout the week to deliver supplies and rescue people but its design wasn't appropriate for the task"".  But the opposition to tourists is not without complications given the island is economically reliant on those travellers. The Maui Economic Development Board has estimated that the island's ""visitor industry"" accounts for roughly four out of every five dollars generated here, calling those visitors the ""economic engine"" of the county.  ""You're kind of raised to hate tourists,"" said the young hotel worker. ""But that's really the only way to work on the islands. If it's not hospitality then it's construction.""  Several business owners expressed concern that the growing anti-tourist sentiment could hurt Maui further.  ""What I'm afraid of is that if people keep seeing 'Maui's closed', and 'don't come to Maui', what little business is left is going to be gone,"" said Daniel Kalahiki, who owns a food truck in Wailuku. Sales have already dropped by 50% since the fire, he said. ""And then the island is going to lose everything."" Still, in the days after the fire, the disparity between Maui residents - reeling from catastrophic loss - and the insulated tourist hotspots has been laid bare.  In one Hawaii, locals face an acute housing crisis. Many live in modest one-storey homes in neighbourhoods like Kahului and Kīhei, some in multi-family dwellings, with each family separated by a curtain or a thin plywood wall. And working a number of jobs is common, locals told the BBC, to keep up with rising costs. Jen Alcantara shrugged off surprise that she worked for a Canadian airline in addition to a senior administrative position at Maui's hospital. ""That's Hawaii,"" she said.  In this Hawaii, the effects of the fires are everywhere. At shops and grocery stores, evacuees look for essentials, trying to replace their lost possessions with whatever money they have. At restaurants, workers can be seen in kitchens and behind bars holding back tears and making phone calls to co-ordinate relief efforts.  Here, collections were being taken for the survivors nearly everywhere you look. An upscale coffee shop in Kahului was offering to refrigerate donated breast milk. Food truck owners were volunteering their services to the front line and farmers were carrying bunches of bananas to shelters. Things are different in the other Hawaii.  As you reach the end of the 30-minute drive from the island's urban centre to Wailea, home to Maui's high-end holiday rentals and resorts, the earth suddenly changes, dry brown grasses become a rich, watered green.   ""It's a blunt line,"" one local said, another hotel employee who did not want to be named.  Inside Wailea, gated communities border golf courses, that are connected to luxury hotels. Inside those hotels, obliging staff provide surf lessons and pool-side meals, including a $29 burger.  Staff told the BBC that many of the guests were sympathetic to the crisis on the west of the island. Others had complained about scheduled activities in Lahaina - horse-riding, ziplining - being cancelled, said Brittany Pounder, 34, an employee at the Four Seasons.  The day after the fires, one guest visiting from California, asked if he could still get to his dinner reservation at the Lahaina Grill - a restaurant in one of the hardest-hit areas of the town. ""It's not OK,"" Ms Pounder said.  There is mounting concern that the eventual rebuild of Lahaina will further cater to this second Hawaii.  Already, wealthy visitors have contributed to exorbitant house prices, buying land and property in a place where homeownership is out of reach for many permanent residents. Famous billionaires Peter Thiel and Jeff Bezos both have homes in Maui. Oprah Winfrey is the island's largest landowner.  Rumours have spread of estate agents approaching Hawaiian property owners in Lahaina, asking about possible deals.  Several locals told the BBC they worried Lahaina would be refashioned into another Waikiki, the ritzy waterfront of Honolulu, dominated by oceanfront high-rises and branded luxury shopping. ""We don't need another Waikiki,"" said Chuck Enomoto. ""But it's inevitable.""  How have you been affected by the fires in Maui? Please share your story by emailing haveyoursay@bbc.co.uk. Please include a contact number if you are willing to speak to a BBC journalist. You can also get in touch in the following ways: If you are reading this page and can't see the form you will need to visit the mobile version of the BBC website to submit your question or comment or you can email us at HaveYourSay@bbc.co.uk. Please include your name, age and location with any submission. "
Yield Spread Sentiment,US commemorates 19th anniversary of 9/11,2024-09-14,2020-09-11,BBC News,https://www.bbc.com/news/world-us-canada-54123146,"Rivals for the White House have displayed a moment of unity as the US marks the 19th anniversary of the 11 September 2001 terrorist attacks. Democratic presidential nominee Joe Biden greeted Vice-President Mike Pence at the Ground Zero memorial in New York, where each attended ceremonies. Mr Biden then travelled to Shanksville, Pennsylvania - the site of the Flight 93 memorial - to pay respects.  President Donald Trump spoke there earlier on Friday. However Mr Biden and Mr Trump did not cross paths because their schedules did not overlap. Nearly 3,000 people died when four hijacked airliners were crashed into the World Trade Center in New York, the Pentagon and - after passengers fought back - the field in Shanksville, on what is the worst terrorist attack in US history. Joined by First Lady Melania Trump, Mr Trump attended a morning service at the Shanksville memorial, where Flight 93 crashed after its 40 passengers and crew prevented al-Qaeda hijackers from reaching the US Capitol building. ""To the family members of Flight 93: today every heartbeat in America is wedded to yours,"" Mr Trump said.  ""Your pain and anguish is the shared grief of our whole nation."" ""The memory of your treasured loved ones will inspire America for all time to come. The heroes of Flight 93 are an everlasting reminder that no matter the danger, no matter the threat, no matter the odds, America will always rise up, stand tall and fight back."" Although both Mr Trump and Mr Biden will refrain from overt campaigning, their separate visits to Pennsylvania are being watched closely, as the state is seen as a key battleground in the 3 November election.  Before his Shanksville visit, Mr Trump made a brief stop in Johnstown, Pennsylvania, to greet members of the state Army National Guard. The iron-and-steel town is in Cambria County - the heart of what has been known as 'Trump country' - in the southwest of the state.  Mr Trump spoke with three officers about local military and thanked them for their service, local media reported.  Mr Trump narrowly beat Hillary Clinton in the state in 2016 and with the election less than eight weeks away, the president is fighting hard to keep towns like Johnstown on his side, says BBC's Tara McKelvey.  Mr Biden and his wife, Jill, attended a memorial service and commemoration ceremony at the 9/11 museum in New York City. They travelled to Shanksville in the afternoon to visit the same memorial as Mr Trump. Mr Biden was seen greeting family members of those killed in the attack. He and his wife laid a wreath on the memorial as well. Mr Biden told reporters earlier on Friday he would not talk about anything other than 9/11 and that his campaign had withdrawn political adverts from airing on television. ""We took all our advertising down, it's a solemn day, and that's how we're going to keep it,"" he said. Mr Biden greeted Mr Pence at the World Trade Center site in New York earlier in the day, and the pair touched elbows in lieu of a handshake to observe protocols aimed at preventing the spread of coronavirus. Mr Biden referenced the pandemic in a series of tweets later in the day, saying: ""This year, we mark the anniversary of 9/11 in the midst of another crisis that compels us to summon the best of the American people in the face of unconscionable, inconceivable loss."" Mr Pence delivered short remarks in New York City and read passages from the Bible, saying: ""I pray these ancient words will comfort your hearts and ours."" New York Governor Andrew Cuomo, a Democrat, also joined Mr Pence and Mr Biden at the memorial service. On US Twitter, hashtags relating to 9/11 are trending, with people remembering the day and sharing stories of loved ones lost in the attacks. Some on social media have also drawn attention to the anti-Muslim sentiment that spread across the country in the wake of 9/11, noting how they were bullied, stereotyped, or policed.  Hate crimes rose against Muslims after the 2001 attacks, FBI data found. The 9/11 attacks were a series of four coordinated attacks on the US by the Islamist terror group al-Qaeda.  As well as the 3,000 people killed on 11 September 2001, some 400,000 people were injured or exposed to other contaminants in the aftermath of the attacks, according to the US Centers for Disease Control. Hundreds of first responders and survivors have died in the years since due to related illnesses, like cancer. Weeks after the attack, the US sent troops to Afghanistan to combat al-Qaeda. The so-called 'War on Terror' has stretched decades and American intervention in the Middle East continues to be a quagmire of US foreign policy. "
