Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
risk appetite,Meeting next week to discuss Glasgow's 2026 Commonwealth Games bid,2024-09-15,2024-09-14,BBC News,https://www.bbc.com/news/articles/c5yj8pe2180o,"A meeting will be held next week about Glasgow's bid to host the 2026 Commonwealth Games.  The Scottish government confirmed it would discuss the proposal with Commonwealth Games Australia.  Australian authorities have promised ""a multi-million pound investment"" to help finalise Glasgow's offer to rescue the 2026 Games. It comes after the Australian state of Victoria withdrew as hosts last year due to rising costs. A Scottish government spokesman said talks were ""ongoing"" but no decision had been taken. They added: ""As part of these discussions, the health secretary will meet with Commonwealth Games Australia next week."" Glasgow hosted the Games in 2014, but the 2026 event would be scaled down after years of difficulty for the competition.  It would feature between 10 and 13 sports, compared to 18 in 2014. Earlier this week, it emerged that the UK government offered £2.3m to help cover safety and security costs associated with the privately-funded event, but asked the Scottish government to match that figure. However, Holyrood politicians remain concerned by what cabinet minister Neil Gray called the ""reputational risk and financial risk"" of the bid. Gray stressed that this would not be a replica of the 2014 games.  ""This is a smaller version, with fewer sports over fewer sites, so therefore there is a reputation risk as well as financial risk,"" he said. Commonwealth Games Australia have offered to bridge any shortfall.  They have told both their Scottish counterparts and the Scottish government that they are prepared to invest some of the compensation they received when the Australian state of Victoria cancelled its plans. Commonwealth Games Australia's president, Ben Houston, said: ""We appreciate that the model is different and that that creates perceived financial and reputational challenges, but we have every confidence in the model."" Commonwealth Games Scotland - who are behind the Glasgow bid - have already welcomed the offer. In a statement released earlier this week they said the Australians' ""willingness to invest, to further alleviate concerns of perceived financial and reputational risk, shows the high regard on which our cost-effective proposal is held within the global sport and events community."" To save money only four venues would be used – including Scotstoun Stadium and the Tollcross International Swimming Centre. However, Glasgow City Council is currently trying to manage budget cuts, raising questions over whether there is an appetite among people in the city to host the event again."
risk appetite,UK government offers to share financial risk for Glasgow Games,2024-09-15,2024-09-11,BBC News,https://www.bbc.com/news/articles/cx2x01ex48no,"The UK government has offered to share the financial risk for Glasgow's Commonwealth Games bid in 2026. However, it has rejected a request by the Scottish government to underwrite the entire cost of the Games. BBC Scotland has seen a letter from UK sports minister Stephanie Peacock to the Scottish health secretary Neil Gray which outlines her backing for ""an additional contribution of up to £2.3m"" to be provided for the event. She then states it would be her ""strong preference"" that the Scottish government match that figure, which would help cover any increase in safety and security costs if terror threat levels rise before the games. According to the letter, Gray told the UK government in August that Glasgow hosting the Games would be ""contingent on the UK government providing a full, uncapped underwrite of financial risk connected to the event"". In her response, Peacock writes that the ""justification for your request... is less clear"" and that the UK government ""cannot commit to fully underwriting the risk for an event the Scottish government has committed to host"". She added an underwrite had not been requested by Commonwealth Games Scotland and that around £27m is already earmarked as a contingency fund.  Peacock's letter also stated none of the proposed funding could be used ""to enhance the concept or ambition of the Games"", seemingly in response to a  suggestion from Neil Gray that some of the extra money could go towards bolstering the stripped-back event. Gray told BBC Scotland News that he would ""leave no stone unturned"" to fund the Games but reiterated previous comments that there was both a ""reputational risk and a financial risk"" to the bid. He said: ""We've set out very clearly that there cannot be a financial risk - we do not have that cover, particularly in an in-year position when the Games are being held, because we do not have the same opportunity, as the UK government does, to vary our budget in-year. We would have to find savings elsewhere."" He added that this Friday would not be a cut-off point for a final decision being made but that ""time was of the essence"" regarding the proposal, which he described as ""very ambitious"".  The first minister John Swinney previously told newspapers that public funds would not be used on the Games. Glasgow hosted the Games in 2014, but the 2026 event would be scaled down after years of difficulty for the competition. It would feature between 10-13 sports, instead of the 18 that took place in the 2014 edition. Victoria in Australia was originally slated to host but pulled out in 2023 due to financial issues. Organisers have since scrambled to find a replacement, with Glasgow suggested earlier this year. Commonwealth Games Scotland previously stated their proposal would involve ""no significant ask of public funds"" and that to save money only four venues would be used – including Scotstoun Stadium and the swimming pool at Tollcross. However, Glasgow City Council is currently trying to manage budget cuts, raising questions over whether there is an appetite among people in the city to host the event again.  Last month, Commonwealth Games Scotland warned that it would be a ""a travesty"" if the competition was not hosted in Scotland, saying turning down the opportunity  could also impact the future of high-performance sport in the country. "
risk appetite,'Small number' of hepatitis A cases probed in Lanarkshire,2024-09-15,2024-09-11,BBC News,https://www.bbc.com/news/articles/cy0rx278lkdo,"NHS Lanarkshire is investigating ""a small number"" of confirmed cases of hepatitis A in the Cumbernauld area. Two of the cases are children - one who attends a local school and another who attends a local nursery. Hepatitis A is a viral infection which leads to inflammation of the liver and can cause mild to severe illness.  It is usually spread by poor hygiene after using the toilet, especially in young children or people who do not maintain good personal hygiene. But it can also be spread through contaminated food. Staff and children at the school and nursery, as well as their close family members and people they live with, are being strongly encouraged to receive the hepatitis A vaccine. Dr Alison Smith-Palmer, consultant in public health, said: “We are working with the school and the nursery and we are in regular contact with the cases and their families.  ""To protect patient confidentiality, we will not be providing any further information about the school, nursery or any of the cases. “We are strongly recommending that the staff and children who attend the school and nursery and their close family members, those who live in the same household, receive the hepatitis A vaccine.” Symptoms of acute hepatitis A disease include a flu-like illness, loss of appetite, nausea, fever, diarrhoea, dark urine, pale stools, abdominal pains, and/or jaundice. Dr Smith-Palmer added: “As a precautionary measure, we are offering the vaccine to not only the children and staff who attend or work at the school or nursery, but also their close family members. “Good hand hygiene is important in reducing the risk of spread of the virus.”"
risk appetite,Manx import ban continues amid UK bluetongue cases,2024-09-15,2024-08-30,Rebecca Brahde,https://www.bbc.com/news/articles/c8rx12pg65no,"A ban on the importation of livestock to the Isle of Man will remain in place amid new cases of the bluetongue virus in the UK, the government's chief vet has said.  Livestock imports were suspended in November 2023 following an initial outbreak of the virus, which was the first since 2007. Amy Beckett said that by continuing to ""restrict the import of susceptible animals"" from the UK, it would ""significantly reduce the risk"" of a Manx outbreak. Four cases of bluetongue, which can cause infertility and breeding problems in animals and can be fatal, were confirmed in Norfolk and Suffolk this week. The cases are the first in the UK since March and livestock transportation around affected farms has been halted. The Department of Environment, Food and Agriculture said bluetongue did not affect people or food safety, meaning that animal products were safe to consume. Dr Beckett said it was important for farmers to ""monitor their animals frequently for signs such as lameness, lesions in and around the mouth, and a loss of appetite"" and report any concerns to the department ""immediately"". The import ban applies to animals classified as a ruminant, which includes cows, sheep, goats and deer, and restricts the import of their germinal products such as semen and embryos. Those looking to import those products must contact the department ""to ensure they comply with the requirements"", Dr Beckett said. Why not follow BBC Isle of Man on Facebook and X? You can also send story ideas to IsleofMan@bbc.co.uk"
risk appetite,"Ozempic could delay ageing, researchers suggest",2024-09-15,2024-08-31,Sam Hancock,https://www.bbc.com/news/articles/ce81j919gdjo,"A drug used to treat Type 2 diabetes and obesity could also slow down the process of ageing, researchers believe. Semaglutide, better known as Ozempic, ""has far-reaching benefits beyond what we initially imagined,"" Prof Harlan Krumholz, from the Yale School of Medicine, said following the publication of several new studies. They found that the drug could be used to treat a wide range of illnesses linked to heart failure, arthritis, Alzheimer's and even cancer. ""It wouldn't surprise me that improving people's health this way actually slows down the ageing process,"" Prof Krumholz was quoted on Friday as telling the European Society of Cardiology Conference 2024, where the studies were presented. The new data has been published in a number of medical journals, including the Journal of the American College of Cardiology (JACC), which Prof Krumholz edits. ""These ground-breaking medications are poised to revolutionise cardiovascular care and could dramatically enhance cardiovascular health,"" he said. The studies - part of the Select trial - tracked more than 17,600 people, aged 45 or older, as they were given either 2.4 mg of semaglutide or a placebo for more than three years.  Participants were obese or overweight and had cardiovascular disease but not diabetes. Those who took the drug died at a lower rate from all causes, including cardiovascular issues and Covid-19, researchers found. People using the weight-loss drug were just as likely to catch Covid but they were less likely to die from it, with 2.6% dying among those on semaglutide compared with 3.1% on the placebo. And while women experienced fewer major adverse cardiovascular events, the drug ""consistently reduced the risk"" of adverse cardiovascular outcomes regardless of sex. It also improved heart failure symptoms and cut levels of inflammation in the body regardless of whether or not people lost weight. Dr Benjamin Scirica, lead author of one of the studies and a professor of cardiovascular medicine at Harvard Medical School, said the findings ""reinforce that overweight and obesity increases the risk of death due to many etiologies"". But, he told the PA news agency, this ""can be modified with potent incretin-based therapies like semaglutide"". The medication is a prescription drug offered by the NHS, which supresses appetite and is sold under the brand names Wegovy - used to treat obesity - and Ozempic, for diabetes. It comes in the form of an injection and mimics the hormone GLP-1, making people feel fuller and less hungry. Experts have warned in the past that the drug is not a quick fix or a replacement for eating well and exercising, and should only be offered under medical supervision. Like any medication, there can be side effects and risks - the most common being nausea, an upset stomach, bloating and gas."
risk appetite,Nurses working in fear: BBC visits mpox epicentre,2024-09-15,2024-09-10,Simi Jolaoso,https://www.bbc.com/news/articles/c4gen21ln7go,"Medical staff on the front line of the battle against mpox in eastern Democratic Republic of Congo have told the BBC they are desperate for vaccines to arrive so they can stem the rate of new infections. At a treatment centre in South Kivu province that the BBC visited in the epicentre of the outbreak, they say more patients are arriving every day - especially babies - and there is a shortage of essential equipment. Mpox - formerly known as monkeypox - is a highly contagious disease and has killed at least 635 people in DR Congo this year. Even though 200,000 vaccines, donated by the European Commission, were flown into the capital, Kinshasa, last week, they are yet to be transported across this vast country - and it could be several weeks before they reach South Kivu. “We've learned from social media that the vaccine is already available,” Emmanuel Fikiri, a nurse working at the clinic that has been turned into a specialist centre to tackle the virus, told the BBC. He said this was the first time he had treated patients with mpox and every day he feared catching it and passing it on to his own children - aged seven, five and one. “You saw how I touched the patients because that's my job as a nurse. So, we're asking the government to help us by first giving us the vaccines.” The reason it will take time to transport the vaccines is that they need to be stored at a precise temperature  - below freezing - to maintain their potency, plus they need to be sent to rural areas of South Kivu, like Kamituga, Kavumu and Lwiro, where the outbreak is rife. The lack of infrastructure and bad roads mean that helicopters could possibly be used to drop some of the vaccines, which will further drive up costs in a country that is already struggling financially. At the community clinic, Dr Pacifique Karanzo appeared fatigued and downbeat having been rushed off his feet all morning. Although he wore a face shield, I could see the sweat running down his face. He said he was saddened to see patients sharing beds. “You will even see that the patients are sleeping on the floor,” he told me, clearly exasperated. “The only support we have already had is a little medicine for the patients and water. As far as other challenges are concerned, there's still no staff motivation.” Another problem, he said, was that there was not enough personal protective equipment [PPE] for the medics. “We try to do what we can to look after the sick and not put ourselves at risk either. We're not spared from disease.” As you enter Lwiro community hospital, which is about an hour’s drive north of South Kivu’s main city of Bukavu, two main things hit you. First the resounding and loud cries of babies. The second is the stench - a mix of urine and stagnant water. The clinic is running out of clean water, meaning they have to ration what they have in the small jerrycans underneath their beds. Within the last three weeks, the clinic, which usually treats about 80 patients a month, has been inundated with nearly 200 patients - who are getting younger. “It’s sad to see my firstborn suffering from this strange disease. I have a lot of pain in my heart,” 18-year-old Faraja Rukara said. Her son, Murhula, is currently the youngest mpox case at the clinic - at only four weeks old.  This is the first time she, like many others here, have encountered mpox, which is caused by a virus in the same family as smallpox. The disease causes a loss of appetite, leaving many of the children malnourished. In an adjacent room, several women and children - nearly 20 - were crammed inside, sharing only seven beds and two mattresses that were laid on the floor. The hospital’s first mpox case did recover - 10-month-old Amenipa Kabuya. But not long after being discharged, her mother, Yvette Kabuya, returned as she too has fallen ill with mpox. Witnessing what the disease does to the body - the painful puss-filled lesions, the fever and the weight loss - means people are keen for the vaccines - unusual in an area that has witnessed vaccine hesitancy in the past. Beatrice Kachera, 50, gently caressed the cheek of her three-year-old granddaughter who she had rushed here in a panic: “I just saw the child get sick, I didn’t even know the name of the disease. “We can't wait for children and even adults to die. Bring on the vaccines,” she told the BBC. But some fear the ongoing armed conflict in eastern DR Congo between the army and several armed groups, most notably the M23 rebels, is not going to make this easy. ""The conflict is having a profound effect on the vaccination programme in general,” Dr Gaston Bulambo, head of North Kivu Provincial Health Division, told the BBC. “It's not just vaccination against mpox, but all vaccination programmes are suffering because of difficulties in getting vaccines to health zones. This is due to the insecurity."" South Kivu’s governor, who hails from Lwiro himself, told the BBC the intense fighting was driving many from their homes to his province, which was exacerbating the spread of the disease. “We are accommodating thousands of IDPs [internally displaced people], and still struggling with many issues,” Jean-Jacques Purusi Sadiki said. “Most of the money is being injected in tackling the war which is going on, to buy military equipment, to feed the military,” he said. “The country is losing a lot of money in trying to address this war, rather than injecting [this money] into social development including the health sector.” However, the governor believed that the rebel groups would not disrupt vaccine deliveries as mpox was also affecting people in the areas they controlled. He said the government was doing its best to get medics what they need: “In the next two days, I am going to Lwiro myself. I will deliver definitely what is available in terms of urgent assistance for the population, until the government in Kinshasa can offer more support.” The authorities say vaccinations will begin in October, with children under the age of 17, as well as those who have been in close contact with infected patients, first in line. Governor Purusi Sadiki is convinced the outbreak in his province will be contained: “It’s a matter of political will. I am confident that we will succeed.” It is a sentiment not yet shared by exhausted medics, like Dr Karanzo, at Lwiro hospital - but they are at least heartened that mpox awareness appears to be growing in their region. People appear to be coming to the clinic as soon as they get symptoms rather than first going to traditional healers, which means the hospital is yet to experience an mpox fatality. Yet with 5,049 confirmed cases since the start of the year in DR Congo, the clinic’s staff say speed is of the essence - only with a combination of vaccines, medicine and other supplies to allow for better hygiene, will the outbreak be curbed. Go to BBCAfrica.com for more news from the African continent.  Follow us on Twitter @BBCAfrica, on Facebook at BBC Africa or on Instagram at bbcafrica"
risk appetite,Actors demand action over 'disgusting' explicit video game scenes,2024-09-15,2024-08-16,Chris Vallance,https://www.bbc.com/news/articles/c23l4ml51jmo,"Performers working in the games industry have spoken of their distress at being asked to work on explicit content without notice, including a scene featuring a sexual assault. Sex scenes are common in modern games - and are often made by filming human actors who are then digitised into game characters. But performers have told the BBC a culture of secrecy around projects - where scripts are often not shared until the last moment - means they frequently do not know in advance that scenes may involve intimate acts. They describe feeling ""shaken"" and ""upset"" after acting them out. Performing arts union Equity is demanding action from the industry - it has published guides on minimum pay, and working conditions in games, including on intimate or explicit scenes. Jessica Jefferies is a professional casting director, who works mainly in video games and enjoys the medium. Prior to that she was a motion capture performer - part of a small group who worked regularly for studios used by game developers. Dressed in a skin-tight body suit, covered in markers, motion capture performers act-out the movements of characters in games on a large unfurnished set, where their motions are recorded digitally. She said performers were often left in the dark about the nature of the game, or the scene, by developers. ""We'd get an email or a call from a studio saying we need you on these days for a shoot,"" she said.  ""That was all the information we'd get."" Ms Jefferies told the BBC she was once asked to act out a scene with a male performer involving a sexual assault with no prior warning. ""I turned up and was told what I would be filming would be a graphic rape scene,"" she said.  ""This act could be watched for as long or as little time as the player wanted through a window, and then a player would be able to shoot this character in the head. ""It was just purely gratuitous in my opinion."" She refused to act out the ""disgusting"" scene - which was made worse as she was the only female on set. ""There's no nudity involved, but its still an act and there's an intimacy in that act and also a violence in this situation,"" she said.  ""So yes there may be a layer of Lycra between us, but you are still there and still having to truly immerse yourself in this scene."" In the end her concerns were listened to and the scene was not recorded. But it reinforces her belief that performers should know in advance about explicit scenes so they don't have to ""kick up a fuss"" on set or feel pressure to do something which makes them feel uncomfortable. Ms Jefferies was consulted by Equity in the development of their guidance which requires that when recording explicit or intimate scenes: She argues giving actors more information will help them deliver better performances and argues ""there is an appetite for change"". Ms Jefferies stresses the guidelines are not trying to put boundaries on storytelling. In the ten years since that incident there have also been major improvements, she says - and ""these guidelines are just to bring it even more in line with the best practices in the film and TV industry"". She says the studios she now works with are generally very open to being educated on good practices, and agree that treating people well leads to better performances. One voice actor and Equity member who supports the guidelines, speaking on condition of anonymity, also told the BBC of problems she had encountered.  She ""absolutely loves the industry"" but argues the limited information shared with actors before a performance needs to change. ""We have to sign NDAs [non-disclosure agreements], we're told almost nothing,"" she said.  In one recording for a major game she first learned it was explicit only when she turned up for work.  ""This was actually a full-on sex scene,"" she said.  ""I had to [vocally] match the scene and through the glass in the booth was the entire team, all male, watching me. ""It was excruciating... at that stage I had been in the games industry a while, and I had never felt so shaken"". She compared the experience to unexpectedly being required to perform for a premium rate phone-sex line.  ""What upset me so much about the situation is I was put on the spot, nobody thought to ask me if I was ok with it, and nobody checked to see if I was ok afterwards,"" she said. And as a freelancer, she feared being labelled as a troublemaker by refusing.  ""Nobody has to justify why they're not hiring you,"" she said. Like Ms Jefferies, she wants games to move closer to standards in film and TV. Rhiannon Bevan of game news site The Gamer has covered the steps last year's gaming blockbuster Baldur's Gate 3 took in dealing with explicit scenes as an example of a modern game ""getting it right"". She says games are increasingly taking explicit scenes seriously ""and not just using them for titillation"". But it came with the risk that performers may not be comfortable with the work. Baldur's Gate 3 addressed this by employing intimacy co-ordinators - dedicated members of staff tasked with ensuring the well-being of performers in explicit scenes. Its developer used one intimacy co-ordinator to look after performers voicing intimate scenes, while another looked after those who were also miming actions to be digitised into the game. As well as intimate scenes, the Equity guidelines also cover the overuse of NDAs, safety during motion and performance capture, avoiding harmful vocal stress for artists and the protections around the use of artificial intelligence. AI use is one of the key issues behind a continuing strike by games performers in the US. UKIE, the trade body for the games industry, did not respond directly to the issue of the treatment of performers working on explicit material, but said in relation to Equity's guidelines that its focus ""remains on fostering a supportive environment for all stakeholders in the UK video game sector, ensuring it remains the best place to create, play, and sell video games""."
risk appetite,Daisy Ridley reveals Graves' disease diagnosis,2024-09-15,2024-08-07,Ian Youngs,https://www.bbc.com/news/articles/cy0rl8kpvz2o,"Actress Daisy Ridley has spoken for the first time about being diagnosed with Graves' disease, an autoimmune condition that mainly affects young and middle-aged women. Ridley, 32, known for playing Rey in the later Star Wars films, initially put symptoms including a racing heart rate, weight loss, fatigue and hand tremors down to the effects of making a recent film. ""I thought, well, I’ve just played a really stressful role, presumably that’s why I feel poorly,"" she told Women's Health.  But she was then diagnosed after a doctor suggested it could be Graves', which he told her often makes people feel ""tired but wired"". Ridley realised she had been feeling particularly irritable, she said. ""It was funny. I was like, oh, I just thought I was annoyed at the world, but turns out everything is functioning so quickly, you can’t chill out."" She told the magazine that women should not be prepared to accept feeling unwell. ""We all read the stats about women being undiagnosed or underdiagnosed and [it's about] sort of coming to terms with saying, 'I really, actually don't feel good' and not going, 'I'm fine, I’m fine, I’m fine, I’m fine.' ""It’s just normalised to not feel good."" Graves' disease is related to an overactive thyroid and is ""much less severe than what a lot of people go through"", Ridley said. But she added: ""Even if you can deal with it, you shouldn’t have to. If there’s a problem, you shouldn’t have to just [suffer through it]."" After getting her diagnosis almost a year ago and making other lifestyle and diet changes, she said she became aware of the difference they had made. ""I didn’t realise how bad I felt before,"" she said. ""Then I looked back and thought, How did I do that?"" The British actress is known for appearing in Star Wars films including The Force Awakens and The Last Jedi, as well as the recent dramas Magpie and Young Woman and The Sea. Graves' disease is an autoimmune condition where your immune system produces antibodies that cause the thyroid to produce too much thyroid hormone, according to the NHS. About 80% of people with an overactive thyroid gland have it. The cause is unknown, but it mostly affects young or middle-aged women and often runs in families. Smoking can also increase your risk of getting it. Symptoms can include: In 2011, US rapper Missy Elliott, then 39, said she had it, and that it had made her hair fall out and shut down her nervous system."
risk appetite,Pharmacists warn over fake weight-loss jabs,2024-09-15,2024-08-05,André Rhoden-Paul,https://www.bbc.com/news/articles/c0qeee33883o,"Pharmacists have warned people not to buy fake weight-loss jabs online as a shortage of Ozempic is expected to stretch into next year.  The National Pharmacy Association (NPA) suggested there could be a possible ""explosion in the unlicensed sale of medication online"" as a result. Weight-loss injections have been popularised with celebrity endorsements and before and after pictures online, but fake versions can be dangerous. Ozempic is a brand of semaglutides which help people with type 2 diabetes regulate their blood sugar levels, but are increasingly being prescribed for weight loss in some countries. Currently there is a shortage of Ozempic due to high demand and some doctors prescribing off-label, as it is not licensed for weight loss.  While Ozempic, available on the NHS, helps people with type 2 diabetes, its ability to suppress appetite has led to people using it to lose weight.  This has led to a shortage of the drug as well as an increase in counterfeit jabs.  Wegovy, another brand of semaglutide, is licensed for weight management and is also available on the NHS.  The NPA, which represents 5,000 independent community pharmacies across the UK, is urging people to speak to a pharmacist or GP instead of buying medicines online from sellers who are not registered or regulated in the UK.  It also warned the shortage of Ozempic, made by pharmaceutical company Novo Nordisk, is likely to continue into next year.  NPA chairman Nick Kaye said: “Pharmacists remain deeply concerned that the current medicine shortages crisis could lead to an explosion in the unlicensed sale of medication online. “Stocks of Ozempic are very depleted in community pharmacy in the UK and it is important that these remain prioritised for those in the most clinical need. “Given the precarious state of supply of this and other vital medication, there is a much greater risk of people looking to order in supplies from disreputable online vendors."" Last year the Medicines and Healthcare products Regulatory Agency (MHRA) reported a very small number of people being hospitalised, including for hypoglycaemic shock and coma, after using potentially fake pens.   In January, the Department of Health and Social Care told healthcare providers not to prescribe the drugs off-label for weight loss and said existing stock must be reserved for patients with type 2 diabetes.  It said the supply issues were being caused by increased demand and off-label use.  ""We don’t know how prevalent off-label prescribing is but we do know [it happens],"" Mr Kaye said.  He suggested people can check to see if an online provider is registered by the General Pharmaceutical Council or Pharmaceutical Society of Northern Ireland.  A Department of Health and Social Care spokesman said: ""We strongly advise the public not to buy regulated medicines from unauthorised online retailers or beauty salons as they could be dangerous."" It added the MHRA would continue to take action against those unlawfully trading in medicines, and said that the government was trying to tackle the obesity crisis by shifting the focus from treatment to prevention. "
risk appetite,Me-ow! Kenyan feline lovers fret over cat-tax plan,2024-09-15,2024-08-02,Basillioh Rukanga,https://www.bbc.com/news/articles/cp4wgddkey2o,"Feline lovers in Kenya’s capital have been twitching over the threat of what is perceived as a “cat tax” - and any talk of tax in the East African nation raises the hackles. The proposal comes via the Nairobi City County which wants all cats to be registered by their owners – which some are moaning is a “cat-astrophe”. It would require cat owners in Nairobi to purchase an annual licence - costing 200 Kenyan shillings ($1.50; £1.20) along with proof that the animal has had a rabies vaccination. Not only that, but “purrents” - as cat owners are known - would need to take responsibility for their furry friend’s behaviour, and we all know that a cat does not take direction well. According to the city’s Animal Control and Welfare Bill, they would have to ensure their pets do not ""scream or cry in a manner that disturbs the peace"" of residents. They would also be required to confine cats on heat. The proposed legislation is aimed at improving cat welfare, but some jaundiced city residents need convincing. Kenyans recently forced the government to withdraw a finance bill introducing a raft of contentious taxes - and this plan by Nairobi county is seen by some as part of the government’s appetite for raising more revenue. “First taxes on period products, now taxing cat owners. Leave my pussy alone!” Khadijah M Farah said on X, referencing the now-dropped finance bill. Some Kenyans are also raising questions about how enforceable it is, given the high population of stray or feral cats. The city's feline population - lions in the Nairobi National Park excluded - is not known, but they are ubiquitous: prowling on streets, lounging in shops, and foraging at rubbish tips and restaurants. Yowling from various cats in different registers can often punctuate the hush of night, especially during mating season. Naomi Mutua, who with more than a dozen cats calls herself Nairobi’s ""mother of cats"", told the BBC the county authorities should have checked with cat owners, rescue organisations and veterinary groups before coming up with the draft law. She runs a Facebook group of about 25,000 cat lovers and says the introduction of mandatory rabies vaccinations is a good thing but queries how it will be achieved in reality. About 2,000 Kenyans die every year from rabies caused by dog or cat bites, according to the health ministry. And Ms Mutua says the first premise of any new law should start with improving “standards of care that are lacking”. She wonders whether confining a cat on heat would be “restricting them from their natural behaviour”. A public consultation is being organised by the county - to begin this Friday. City residents will be able to give their views about the bill - which may inform further amendments to be considered by the county assembly. For the head of the Kenya Society for the Protection and Care of Animals (KSPCA), Emma Ngugi, the draft legislation is a welcome move given that animal welfare in the city is a “huge problem”. But licences, she feels, are probably not the answer as people may not want to claim ownership of cats. Some people may end up throwing out their cats if they are forced to pay for them, which would defeat the purpose of the bill. “If you introduce what is essentially a tax on cats, then it's going to be even harder for organisations like us working in communities to get people to take responsibility,” she told the BBC. Ms Ngugi also points out that there is already legislation on dog ownership that is ignored as most people do not bother to get licences for them - even those who can afford to do so. Under the proposed bill, cat owners who fail to comply with the licensing and welfare standards would be guilty of an offence and liable to penalties including jail terms. Yet many people are scoffing at the idea of anyone checking up. “Nairobi cats are restless. You cannot own Nairobi cats,” a panellist said on a youth TV show over the weekend. But the KSPCA director says “the overpopulation of cats"" is a big issue, with rabid ones posing a risk to human health and the environment. She would prefer low-cost veterinary services to be introduced for those who can pay and mass sterilisation campaigns for stray cats and dogs - as the cost of sterilising a cat, for instance, can be the equivalent of a month's wages for some Kenyans. “That’s a proven methodology from all over the world, and it works,” she says. In the meantime the bill has got many talking excitedly on the subject, even prompting one Nairobi resident to poetry. In his “ode to cats in Kenya” on X, Innocent Ouko ends his verse with the words: “Seems like we're in a cat-ch 22 situation.” Go to BBCAfrica.com for more news from the African continent.  Follow us on Twitter @BBCAfrica, on Facebook at BBC Africa or on Instagram at bbcafrica"
