Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
Dovish,"Polish, parasols and paint: Africa's top shots",2024-09-25,2024-09-13,BBC News,https://www.bbc.com/news/articles/cg4y45z5zk3o,"A selection of the week's best photos from across the African continent and beyond: Go to BBCAfrica.com for more news from the African continent.  Follow us on Twitter @BBCAfrica, on Facebook at BBC Africa or on Instagram at bbcafrica"
Dovish,Renaming of locomotive to honour Polish war heroes,2024-09-25,2024-09-01,Stuart Maisner,https://www.bbc.com/news/articles/c1ep925lglgo,"A Kent-based steam locomotive is being temporarily renamed after a Polish squadron that defended Britain during World War Two.  Sir Keith Park, a Bulleid Pacific engine dating from 1947 and based in Tunbridge Wells, is changing its name to 303 Squadron for one year as a mark of respect to serviceman who fought in the Battle of Britain. The ceremony, at Eridge Station in East Sussex on Sunday, is the first time a UK-based locomotive has been named after a World War Two Polish air force squadron, according to the company which owns and restores the engine. Peter Spowage, from Southern Locomotives, said he was ""delighted"" and ""proud"" the event was happening.  The vice-consul from the Polish embassy is attending the ceremony at 13:00 BST as well as senior figures from the Polish military. Sir Keith Park, after whom the engine is currently named, was Air Vice Marshall of 11 Group and was in charge of protecting south-east England and London during the Battle of Britain. The Polish 303 Squadron, after whom the engine is to be renamed, flew under his command. It was one of the most successful squadrons during the Battle of Britain. Mr Spowage said: ""We have been working hard to make this event happen for some time and we are going to be proud to dedicate this locomotive to the memory of those Polish heroes. ""It's important to remember the sacrifice made by those Polish airmen for us to live safely in this country.""  On the 85th anniversary of the Battle of Britain in September 2025 the original plates will be returned and the locomotive will return to its original name.  Follow BBC Sussex on Facebook, on X, and on Instagram. Send your story ideas to southeasttoday@bbc.co.uk  or WhatsApp us on 08081 002250."
Dovish,"We haven't spoken to JoJo Siwa, say Polish Eurovision bosses",2024-09-25,2024-09-03,Pete Allison,https://www.bbc.com/news/articles/cy5425k7e4eo,"The people in charge of Poland's Eurovision entry say they haven't spoken to reality TV star JoJo Siwa about representing the country. In a post on TikTok, the 21-year-old claimed she'd had ""real"" discussions about performing at the contest next year. But Polish broadcaster TVP, which is involved in choosing the country's Eurovision acts, said it wasn't speaking to artists and hadn't made any decisions about 2025. BBC Newsbeat has approached the singer's management for clarification. In her video, JoJo describes Poland as a ""massive part"" of her ancestry, saying she's ""1,000%"" willing to participate. ""I actually happen to be Polish,"" she says. She says an early, joking response to a comment about participating had since ""become a real conversation"". JoJo goes on to say she is ""talking with the people in Poland"" but there are ""a lot of logistics"" to navigate. ""I have a project that I'm actually committed to when Eurovision is happening but I might be able to make both work if Poland wants me to,"" she says. ""If Poland wants me to represent, I will be there. I will make it happen."" JoJo, who was born in the US, became famous as a child star on reality TV series Dance Moms. The Karma singer has regularly gone viral on social media for dance routines, interviews and live performances.  It isn't uncommon for countries competing at Eurovision to send artists from elsewhere. Canadian superstar Celine Dion won the contest for Switzerland in 1988. More recently, US rapper and singer Flo Rida was part of San Marino's entry in 2021. Fans backed JoJo to represent Poland after her song Yesterday's Tomorrow's Today began climbing streaming charts there. Eurovision rules require acts to perform a previously unreleased song - something JoJo says wouldn't be a problem for her. ""I did come up with an idea for a song that I 100% would do and I can't wait,"" she told followers. ""I think it would be so freaking fun."" Any act chosen to represent Poland would compete in one of two semi-finals for a place in May's final. Switzerland is hosting next year after Nemo's song The Code won 2024's contest in Swedish city Malmö. Listen to Newsbeat live at 12:45 and 17:45 weekdays - or listen back here."
Dovish,Norwich sign 'exciting' Danish teenager Schwartau,2024-09-25,2024-08-24,BBC Sport,https://www.bbc.com/sport/football/articles/clyw4e80jr1o,"Oscar Schwartau played for Brondby IF in the Uefa Conference League qualifying match against Legia Warsaw Norwich City have signed Denmark Under-19 international Oscar Schwartau on a four-year contract. The 18-year-old arrives from Brondby IF, where he was the club's youngest debutant at the age of 16 years and 61 days in 2022, and later became their youngest goalscorer. The attacking midfielder, who says his move to Carrow Road is a ""big moment"" in his career, has made 46 appearances and scored six goals over two seasons for Brondby and his deal includes an option for an extra year. Canaries sporting director Ben Knapper told the club website, external: “Oscar is one of the most exciting talents in Danish football, and we’re delighted to be able to bring him here to Norwich City. “Despite being just 18 years old, he already has some great experience in senior football, in both domestic and European competition. We are sure that in our environment, we can continue to develop him to realise his full potential. ""He’ll need time of course, but we’re looking forward to working with him and integrating him into our first-team group.”  Latest Norwich City news and analysis Listen to BBC Radio Norfolk's The Scrimmage podcast"
Dovish,QPR sign Danish midfielder Madsen,2024-09-25,2024-08-23,BBC Sport,https://www.bbc.com/sport/football/articles/cx2gr1gg8ygo,"Nicolas Madsen made 71 appearances for Westerlo, scoring 16 goals QPR have signed Danish midfielder Nicolas Madsen from Belgian club Westerlo for an undisclosed fee.  The 24-year-old is the west London club's eighth summer signing. The length of the contract has not been specified and the transfer is subject to him obtaining a visa. Madsen began his career in Denmark at Midtjylland, where he made 35 appearances, and spent the 2021-22 season on loan at Heerenveen in the Netherlands. He moved to Westerlo in 2022, scoring 16 goals in 71 appearances. ""I am a very technical player even though I am also quite tall,"" he told the club's website., external ""Last season I played as a six, eight and 10, and it gives me the flexibility to perform in all these positions."" The R's have one point from their opening two Championship games and host Plymouth Argyle at Loftus Road on Saturday. Transfers - August 2024"
Dovish,Polish family quits England after boy attacked,2024-09-25,2024-08-20,Jessica Lane,https://www.bbc.com/news/articles/cr40w3nk09ro,"A mother claims she and some of her children have had to leave their Lincolnshire home and return to Poland after her son was beaten. The woman, who has asked to remain anonymous to protect remaining relatives in England, said her 16-year-old son was assaulted by a group, at least one of whom was from his school. She said the family was ""too scared"" to remain in their home of 18 years and police had ""not done enough"" to deal with those involved. Lincolnshire Police denied the claims and said a suspect was detained, interviewed and the matter passed to the Justice Diversionary Panel (JDP), a collaboration between Lincolnshire Children's services and Lincolnshire Police aimed at dealing with youth offences. The boy's mother said her son lost two teeth in the assault in February. He claimed he was lured to a park before school where he was attacked by a gang of 10 people, who punched and kicked him. The family said it was scared to report the matter to police and instead told Haven High Academy, which put the boy in a ""dedicated safe learning zone"". The boy's mother said it was a private room for lessons that made her son feel isolated and more of a target. He told the BBC: ""When we saw [the attackers], they'd shout abuse and swear at my mum in Polish. ""I was scared to go out without my parents. I didn't have a life. I felt isolated and just wanted to stay home. [The assault] changed my life."" The family has criticised the school, which said it was ""committed to safeguarding and promoting the welfare of every young person in our care"". A statement added: ""Where the school becomes aware of incidents which take place outside of school grounds, it will do all it can to protect its students to ensure they are safe and free from fear. The school has done this on a number of occasions."" The boy's mother was also critical of police. She said: ""The main complaint concerned the slowness of the policewoman handling the case.  ""When they [police] did not provide me with an interpreter and closed the case, I threatened them with filing a complaint and they reinstated the case."" Lincolnshire Police said the family had initially signed documents to say they did not wish to make a complaint, then later requested the case be reopened. A statement said: ""Once their decision had been clarified the matter was dealt with and the incident in question was duly investigated."" The force said the complaint was then withdrawn by the family. It added: ""We have not received a formal complaint about the investigation."" The JDP was meeting on Wednesday to hear the case against the boy's attacker.  Follow BBC Lincolnshire on Facebook, X (formerly Twitter), and Instagram. Send your story ideas to eastyorkslincs.news@bbc.co.uk"
Dovish,Preston sign Danish winger Okkels from Utrecht,2024-09-25,2024-08-13,BBC Sport,https://www.bbc.com/sport/football/articles/c4gl395vp1po,"Jeppe Okkels only played five games for Utrecht Preston North End have completed the signing of Jeppe Okkels from Eredivisie club Utrecht for an undisclosed fee. Danish winger Okkels has agreed a three-year deal at Deepdale, with the club having the option of an extra 12 months. The 25-year-old scored 11 goals in 30 games in the 2023 league season for Elfsborg before his move to the Netherlands in January. Preston are currently without a manager after Ryan Lowe departed on Monday following their opening day defeat by Sheffield United. ""It’s a dream come true to get the chance to play for Preston in the Championship,"" he told the club's website.  ""I look forward to getting started."" Football Transfers Preston part company with Lowe after he asked to leave Relegated Blades make great start with Preston win Okkels will hope to receive international clearance to be eligible for the league match away to Swansea City on Saturday. He is North End's fourth signing of the summer after Iceland midfielder Stefan Teitur Thordarson and the loan arrivals of Sam Greenwood and Kaine Kessler-Hayden.  Football Championship Preston North End"
Dovish,Man dies after single vehicle crash in Drumquin,2024-09-25,2024-08-08,BBC News,https://www.bbc.com/news/articles/cn49yk0wlwjo,"A man in his 60s has died following a single vehicle crash in Drumquin, County Tyrone. The man was driving alone on the Dooish Road on the evening of Monday 29 July when the crash occurred. Emergency services attended the scene and provided first aid to the man who was taken to hospital, where he later died of his injuries. Police have said they are investigating the incident and have appealed for anyone who was in the area at the time of the crash to contact them."
Dovish,James McAvoy: Extreme opinions are everywhere,2024-09-25,2024-09-10,Alex Taylor,https://www.bbc.com/news/articles/c51yn6q29e7o,"James McAvoy is in no mood to hold back. Ahead of the release of his new film, Speak No Evil, the Scottish actor is happy to speak frankly to journalists about what drew him to the psychological thriller, and how he feels its themes of  toxic masculinity and manipulation reflect the way society is changing.  ""It seems to be OK to be more extreme, to be more fundamental, to be less nuanced, to be less compromising,"" he tells BBC News. When asked about the impact of social media, and the rise of influencers such as Andrew Tate in fuelling what national police chiefs describe as the ""quite terrifying"" misogynistic radicalisation of boys and young men, he is equally straightforward. ""It's no surprise that it's happening within the conversation of masculinity,"" he explains. ""I do think that there's a malaise happening across society. People are looking for answers, and sometimes uncompromising, unapologetic, strong-appearing people are easy to gravitate towards,"" McAvoy says. That’s what makes his character, Paddy, compelling - a charming, confident yet darkly calculating individual who uses the cloak of social norms and politeness to tighten his toxic grip on those he exploits. The film is based on Christian Tafdrup's dread-inducing 2022 Danish horror film of the same name, which left audiences squirming. It follows two families with children, including a mute boy, who grow close on holiday and meet up for a weekend on their return. But the seemingly innocuous reunion is undone by a creeping unease that spirals from the edges of deceit into a nightmare of chilling intention. Critics praised the ambition of Tafdrup's film, which the New York Times called ""utterly fearless in its mission to unsettle"", underpinned by its shocking final scenes.  Its simmering tension and unflinching social commentary on modern apathy, complicity and abused ideals earned a flurry of nominations at Denmark's award season. Two years on, the Hollywood remake sees Eden Lake director James Watkins reimagine the film through the lens of insidious masculinity. McAvoy's Paddy, a passionate, gregarious husband to wife Ciara (Aisling Franciosi), exudes an apparent rugged self-assuredness that appeals to American couple Ben (Scoot McNairy) and Louise Dalton (Mackenzie Davis). Struggling with work worries, marriage difficulties and anxiety over their daughter Agnes (Alix West Lefler), Ben and Louise fail to communicate effectively.  This makes the allure of Paddy particularly strong for Ben, who is struggling to meet traditional masculine expectations. McAvoy suggests this is how influencers like Tate, who the actor previously told Empire was a direct influence on his performance, can offer an apparent solution to disaffected young men who often feel forgotten or vilified in today's landscape. ""They seem to have the answer,"" he says. ""They seem to have success. They seem to be capable of great happiness, which is what Paddy is kind of selling [in Speak No Evil]. ""When you're lost, you're looking for somebody who's clearly found themselves and found their own way. So why wouldn't you go with them and try and get the answers?"". But McAvoy makes clear this ""simplistic, selfish, fundamental approach to life"" is, to him, ultimately ""unrealistic... and barbaric"". The film's tension between the values we preach and our intentions is one of its central themes. McAvoy says ""walking the tightrope"" between public acceptability and the dark self-obsessed ""animal version of humanity"" is what attracted him to the role. In a four-star review, the Independent's Clarisse Loughrey wrote that while the remake is ""cleaner and less daring"" than the original, McAvoy's performance is one of the ""most impressively repugnant of the year"". She said its ""viscerally, uncomfortably familiar take on entitled masculinity"" is ""delivered with a self-satisfied smile, as a gossamer cover to the violent rage below"". NME's James Mottram similarly praised the ""gloriously unhinged... off-the-leash"" McAvoy as the highlight of a ""top-notch"" horror-thriller, also awarding four stars. And Total Film's Jamie Graham said Watkins' ""shrewd, engrossing and pleasingly nasty"" imagining is unafraid to push the source material in new directions, with McAvoy ""perfect... for this particular brand of Alpha male brute"". The 45-year-old's varied career is littered with roles that push at the depths of psychology - from playing Macbeth on London’s West End to starring in the film adaptation of Irvine Welsh's Filth and portraying multiple personalities in M Night Shyamalan’s horrors Split and Glass. But Speak No Evil is his first to take place in a claustrophobic family setting. Of course, Hollywood has a long history of exploring crises in masculinity and the family unit, namely 1955's Rebel Without A Cause, starring James Dean as an angst-ridden misunderstood teenager adrift from his parents' pre-war values.  But Speak No Evil goes further, delving deeper into the reasons for, and impact of, toxic male behaviour - more openly discussed within the past decade. Unlike the Danish original, which McAvoy avoided watching before shooting to stay free from influence, Watkins' script addresses how familial cycles of abuse form - explicitly referencing Paddy's trauma at the hands of his father. This repeats through his own violent behaviour towards his mute son, Ant, played by newcomer Dan Hough. Watkins' version also gives the children a hugely expanded role as part of this exploration - resulting in a markedly different ending to Tafdrup's. Davis explains that Agnes and Ant embody a ""clear channel through which their instincts can flow."" This openness allows them to find ways to communicate and work together in sharp contrast to their parents. Davis feels it acts as a mirror for the importance of adults getting ""back to that place"" where they can be as honest and unfiltered as children, who simply say: ""'No, I know what's wrong here. And I don't feel safe.'"" The film's touchstones of communication and breaking through barriers of superficiality are ultimately pulled together through Ant's relationship with his disability and his father's abuse. The trailer reveals he is mute due to an apparent tongue defect, but the reason for his silence is not as it seems. Ant still attempts to communicate the truth, dropping non-verbal clues wherever possible. Paddy, as well as being abusive, exploits his son's disability to cover his own tracks by appearing a saintly figure - playing on society's attitudes toward disability. For McAvoy, this resonates on a personal level, shaped by his understanding of disability through his previous work. The actor has twice played characters who use a wheelchair, most famously as a young Professor Xavier in the X-Men franchise. However, when, as a wheelchair user myself, I ask him what he learned from the experience, he points me to his first role: portraying Rory O'Shea, a young man with the life-limiting condition Duchenne Muscular Dystrophy in 2004's Inside I'm Dancing. Today, the film would likely be questioned within the complex debate over non-disabled actors taking on disabled characters. McAvoy explains he would stay in his wheelchair all day when filming, even off-set, to gain a more authentic awareness of the physical and social obstacles disabled people face. He says this exposed him to disingenuous attitudes from many people, who seemed more interested in appearing compassionate rather than genuinely engaging with him. ""I found it was really jarring,"" he says, ""because I just thought: 'OK, I'm sitting here in a wheelchair, but I can talk to you and we can talk about anything you want'. ""Instead of people engaging with somebody who's different or has more physical obstacles in their life than they do, they get almost... scared, and just have the sheen of 'I'm a good person because I can pity you'."" His frustration is clear: ""It's a complete barrier to getting anywhere in a relationship or having a conversation that actually means anything."" The heart of these issues remain in Speak No Evil - a film remade for a social media age in which everybody is speaking but nobody is truly listening."
Dovish,Watford striker Rajovic joins Brondby on loan,2024-09-25,2024-09-02,BBC Sport,https://www.bbc.com/sport/football/articles/cx2g1l9dgpko,"Mileta Rajovic scored 14 goals for Watford, including a late winner at Millwall in the Championship last month Watford striker Mileta Rajovic has joined Danish side Brondby IF on a season-long loan deal. Rajovic was the club's top scorer last season, with 11 goals in 43 appearances in all competitions, after signing from Swedish team Kalmar FF last August. He had already scored three goals in five appearances this term, including a 90th-minute winner at Millwall in the Hornets' season-opening Championship game. The 25-year-old also netted twice in Watford's Carabao Cup second-round win over Plymouth. Rajovic, who is from Denmark, came through Brondby's academy as a junior. ""This is only a loan and we see this as part of a development plan for Mileta - not an exit plan,"" said Hornets head coach Tom Cleverley. ""I wanted to be fair to Mileta and have him get a lot more game time than is likely on offer if he stays with us right now, given the other options we've been able to add and, to a degree, our preferred formation."" Defender Joao Ferreira has also left Watford, joining Portuguese side SC Braga on a season-long loan with a view to a permanent move. The 23-year-old right-back came through Benfica's academy in his native Portugal and joined the Hornets in January 2023. He made five appearances in the Championship during the 2022-23 season and spent last term on loan at Italian Serie A team Udinese. There is an option to buy included in the deal for Ferreira, but not in the loan agreement for Rajovic."
