Keyword,Title,Scrapping Date,Article Date,Author,Link,Content
Hawkish,Amateur jockey Keen-Hawkins in critical care after fall,2024-09-25,2024-09-02,BBC Sport,https://www.bbc.com/sport/horse-racing/articles/c07e25ylm50o,"Lauren Keen-Hawkins suffered an injury at Worcester on Sunday Amateur jockey Lauren Keen-Hawkins is in critical care with a serious head injury after falling in a handicap hurdle at Worcester Racecourse on Sunday. She came down aboard Faerie Cutlass at the third-last in the 2m4f handicap hurdle and was knocked out from the fall, with screens put up while she was attended to. The Injured Jockeys Fund said she was taken by ambulance to the Queen Elizabeth Hospital in Birmingham after her fall. ""Lauren has suffered a serious head injury and is now in Critical Care,"" it's statement read. ""Her parents and partner are with her and they kindly ask for privacy at this difficult time."" Trainer Kim Bailey said Faerie Cutlass, the horse Keen-Hawkins was riding, is ""thankfully fine"". The Amateur Jockey Association said it would ""hope and pray for Lauren's speedy recovery"". Its statement said: ""It is good to know that she is receiving the best possible medical care and we are most grateful as always for the support of Dr Jerry Hill and also The Injured Jockeys Fund.   ""Thanks also to Libby O'Flagherty and the medics at Worcester Racecourse for their expert attention. ""Please say a prayer for Lauren before you go to sleep tonight"" Latest horse racing results"
Hawkish,RNLI reduces patrols as peak season ends,2024-09-25,2024-09-01,Elliot Ball,https://www.bbc.com/news/articles/cly9z1d484eo,"Beachgoers have been warned to choose a lifeguarded beach as patrols end at a number of beaches in Devon and Cornwall later as the peak summer season finishes. The RNLI said there would be a reduced lifeguarding service at some beaches and there would be no more patrols at others this year. It advised people to only swim between red and yellow flags. Guy Botterill, the RNLI's regional lifeguard lead for the South West, said: ""I would like to remind people that if you are planning on going to the coast to do so at a lifeguarded beach."" The RNLI said patrols would end at 11 beaches in Cornwall including Northcott, Crackington Haven, Marazion, Carbis Bay, Mexico Towans, Porthkidney, Lusty Glaze, Porthleven, Gunwalloe, Freathy and Polurrian Cove. Seven patrols would end at Devon beaches including Bigbury-On-Sea, Slapton Sands, Blackpool Sands, Hope Cove, Teignmouth, Dawlish Warren and Sandy Bay. Mr Botterill advised people to ""float to live"" if they get in trouble by lying flat on your back with your ears submerged. Follow BBC Cornwall on X (formerly Twitter), Facebook and Instagram. Follow BBC Devon on X (formerly Twitter), Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk."
Hawkish,Exmouth beach pollution sparks no swim warning,2024-09-25,2024-09-02,George Thorpe,https://www.bbc.com/news/articles/c4gz0rz6pleo,"People have been told not to swim at a Devon beach after pollution was detected there for the second time in three days. The Environment Agency (EA) said it had issued advice against bathing at Exmouth on Monday following a discharge at a South West Water (SWW) sewage storm overflow. It followed a separate incident at Exmouth on Saturday reported by East Devon District Council (EDDC) which led to no swim advice being issued at Exmouth for several hours. A SWW spokesperson said heavy rainfall had caused its Maer Road pumping station storm overflow to operate and apologised to those impacted. The EA added warnings had also been put in place on Monday in Seaton, Budleigh Salterton and Dawlish, but these were not linked to the Exmouth incident. In August, people were also advised not to swim at Exmouth on 15 August and the weekend of 17 August. The EA said the discharge in Exmouth on Monday coincided with heavy overnight rain. It added a site controller was sent to the beach to carry out an investigation. ""The advice will remain in place for two tidal cycles and we are reviewing whether or not the discharge was in line with SWW’s permit to discharge,"" the EA said. EDDC leader Paul Arnott said SWW's handling of pollution issues in recent weeks had been ""unacceptable"". He added the council would be working with the EA to monitor bathing water quality. ""These sewage spillages risk the health of residents and visitors, as well as impacting the wider environment,"" Mr Arnott said. SWW said sudden and heavy rainfall overnight on Monday led to the storm overflow in Maer Road to operate to ""protect homes and businesses from flooding"". ""We are fully investigating what happened, but we are sorry that a pollution incident occurred,"" a SWW spokesperson said. ""One pollution is one too many and we are doing everything we can to protect the environment as we work around the clock to complete a very complex work in Exmouth."" Speaking about Saturday's incident, SWW said on Facebook the spillage came from a temporary tank feeding an overland pipeline. The post said: ""The cause was due to human error, and the new processes were immediately put in place to make sure this doesn't happen again. ""We're truly sorry for the disruption this has caused the local community."" Follow BBC Devon on X (formerly Twitter), Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk."
Hawkish,Walz has history with China - it's more hawkish than critics claim,2024-09-25,2024-08-07,John Sudworth,https://www.bbc.com/news/articles/cvgewpzyd91o,"Within hours of Tim Walz being declared winner of the Democratic ""veepstakes"", Republican accusations that he is pro-China came thick and fast. ""Communist China is very happy,"" Donald Trump's former ambassador to Germany, Richard Grenell, said on Twitter/X. ""No one is more pro-China than Marxist Walz."" Tom Cotton, a Republican senator, said Mr Walz owed an explanation ""about his unusual, 35-year relationship with Communist China"". MAGA War Room, an influential X account supporting Donald Trump, unearthed a 2016 video in which Mr Walz told the farming policy outlet Agri-Pulse that the US and China did not need to have an ""adversarial relationship"". But what does the record show? Republicans may want to weaponise Mr Walz's links to China, but it's pretty slim pickings. Mr Walz's personal relationship with China does indeed extend back decades.  It began in 1989 when, fresh out of college, Mr Walz began a Harvard University volunteer programme teaching American history and English at the Foshan No 1 High School in southern China. He later set up a business with his wife Gwen organising annual summer educational trips to China. The venture lasted more than a decade and by his own estimation, Mr Walz returned to the country around 30 times.  But if anything, Mr Walz has been pretty hawkish towards its government, particularly on human rights. As a congressman, he met the Dalai Lama and – before his jailing – the high-profile Hong Kong democracy activist, Joshua Wong. Both men would place at the top of the Chinese government’s list of public enemies. In terms of his congressional record, there is not much for China to like. He spent over a decade on the Congressional-Executive Commission on China – a body focused on scrutinising the Chinese government’s human rights abuses. In 2016, the same year he met the Dalai Lama, he also invited the then leader of Tibet's government in exile, Lobsang Sangay, into his congressional office to meet a group of Minnesota high-schoolers. Mr Walz lent his strong backing to the Hong Kong Human Rights and Democracy Act, which imposed sanctions on Chinese and Hong Kong officials for human rights abuses during the city's democracy protests. Jeffrey Ngo, a democracy activist now based in the US, has praised Mr Walz's commitment to getting the legislation passed in 2019. ""We knocked on every door when the #HKHRDA lacked momentum,"" he wrote on X after Mr Walz was confirmed as the Harris VP choice. ""Only Walz answered his.""  Mr Ngo praised Mr Walz as ""the sole House Democrat willing to keep co-sponsoring the bill"". Republican Chris Smith was the bill's other sponsor. Mr Walz's elevation to the Democratic ticket has prompted interest on Chinese social media. He once described his decision to teach in China as ""one of the best things I've ever done"", and there were signs of hope in some of the comments that, if he wins, it may signal better US-China ties. One Weibo user pointed out that Walz's ""unique background gives him a real perspective on China"", and he could ""promote cultural exchanges when... relations are extremely difficult"". But others wondered whether that may be assuming too much. The fact that his teaching posting took place in 1989 - the year of the Tiananmen Square massacre in Beijing - was not lost on some. The Chinese cannot say much about the massacre for risk of getting censored. They refer to it obliquely - one comment simply said ""if you know, you know"". Foreigners who were in China at that time ""are the most anti-China"", said another user. Indeed, Mr Walz has often spoken publicly about his horror at the crushing of the Tiananmen protests, and in 2009 he co-sponsored a resolution in Congress marking its 20th anniversary. His wife Gwen has said that the events had such an effect on Walz, that he chose 4 June - the day Beijing sent the troops in - as the date of their wedding five years later. She said that ""he wanted to have a date he'll always remember"". For more than two decades after Tiananmen, America's foreign policy was founded on a deep, bipartisan agreement that trade and engagement with China was broadly a good thing. It is no surprise that evidence can be found of Mr Walz expressing views that align with that consensus. On the flip side, Donald Trump's own-brand suits and ties were made in China, and he and his daughter Ivanka registered dozens of trademarks there. Far from being pro-China, Mr Walz's record marks him out as someone who has taken a more nuanced view.  He has spoken of the need for dialogue and cooperation on issues such as trade and climate change - but remains fiercely critical when it comes to human rights. That stance was in evidence from the very start of the relationship. When returning to Nebraska after his year in China, he told a local newspaper that there were ""no limits"" to what the Chinese could accomplish. ""If they had proper leadership,"" he added."
Hawkish,Sadness as 'shabby' brook blights town's look,2024-09-25,2024-08-15,George Thorpe,https://www.bbc.com/news/articles/c624g473m4yo,"A Devon seaside town is losing its ""picture postcard"" look due to the state of a stream running through it, locals have said. Residents are unhappy as the Dawlish Water stream, which goes through the town and into the sea, has had piles of silt build up since it was last dredged several years ago. They want Teignbridge District Council (TDC) and the Environment Agency (EA) to dredge the waterway and to cut back vegetation. TDC and EA said dredging had limited benefits and were working on solutions for the issues raised. Dredging is done to remove silt from waterways and to help prevent flooding. Linda Stubbs said she had spent the majority of her life living in Dawlish and the brook - which is home to animals including black swans - was in the worst state she had ever seen it. She added: ""You could never, do what you can do and, walk on the river - it was always kept clean. ""It's really sad to see that my hometown is going downhill."" Wendy Chadwick, owner of the Puzzled Sweet Shop, said she feared tourists would stop coming to the town due to the poor state of the brook. ""You couldn't put this on a postcard now - this is not postcard material,"" she said. Rosie Dawson, TDC chair and a member of Dawlish Town Council, said locals wanted to see action taken: ""I think there's a really strong feeling that the place is looking shabby."" EA officials said they were working with TDC and other partners on solutions, but dredging was not necessarily the answer. An EA spokesperson said: ""The removal of silt through dredging is very costly and investigations have shown it offers very little benefit to Dawlish in terms of flood protection or value for money."" A TDC spokesperson said dredging was an ""extremely complex and costly operation"" that had limited flood risk benefits. Follow BBC Devon on X (formerly Twitter), Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk."
Hawkish,Man charged a year after woman's death in motorbike crash,2024-09-25,2024-09-06,BBC News,https://www.bbc.com/news/articles/c1w712ryre1o,A 21-year-old man has been charged with a road traffic offence more than a year after a motorcyclist died in a crash in West Lothian. Mother-of-two Natalie Hawkins died at the scene on the A89 between Armadale and Westrigg on 11 August 2023. The driver of a Toyota Celica involved in the crash was arrested at the time and later released after being taken to hospital as a precaution. The man has been charged with a road traffic offence and is due to appear in court at a later date.
Hawkish,Chance to chat over concerns on community sofa,2024-09-25,2024-08-21,BBC News,https://www.bbc.com/news/articles/ckg5lepyy2do,"People are being offered friendly advice while relaxing on a sofa which will be found at various locations around Teignbridge over the coming months. The Sofa initiative has been launched by Teignbridge Community and Voluntary Service (CVS) to provide a comfortable and relaxing area where people can chat over issues such as housing, benefits and community concerns. Experts from Citizens Advice and Teignbridge District Council will be on hand to chat, Teignbridge CVS said.  A spokesman said that if the advisers could not offer immediate support they would be able to point people in the right direction.  They added: ""Sometimes people find it challenging to get the right support, speak to the right person, or just don’t want to sit on the phone waiting to be put through to someone.""  The Sofa will be in Newton Abbot, Dawlish, Bovey Tracey, Ashburton and Buckfastleigh over the coming months.  Follow BBC Devon on X (formerly Twitter), Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk."
Hawkish,Teenage girl sexually assaulted near seaside,2024-09-25,2024-08-13,BBC News,https://www.bbc.com/news/articles/ckgw7p7ggqqo,"A teenage girl was sexually assaulted while walking near the seaside in Devon, police have said. The 14-year-old was assaulted ""over her clothing"" by a man near the Boat Cove area of Dawlish at about 20:30 BST on 2 August, Devon and Cornwall Police said. Police described the suspect as a white man with a dark brown stubbly moustache, about 50 years old, 5ft 11in or 6ft tall and having a deep voice. He was wearing all black clothing, a Nike cap and carrying a black man bag. Anyone with information was asked to contact police. Follow BBC Devon on X (formerly Twitter), Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk."
Hawkish,Mobility scooter thief who left man to die is jailed,2024-09-25,2024-08-29,Steve Knibbs,https://www.bbc.com/news/articles/cj62dkekz74o,"A woman who stole a disabled man's mobility scooter, dragged him along the ground, and left him for dead has been jailed. Kimberley Ann Hawkins, 41, pleaded guilty to the manslaughter of Neil Shadwick, 63, in Gloucestershire, following the incident in January 2023. Mr Shadwick's eldest daughter, Victoria Bentley, said her ""incredibly vulnerable"" father must have been ""terrified"" at being left to die in a supermarket car park in sub-zero temperatures. Hawkins, of no fixed address, was sentenced at Gloucester Crown Court to six and a half years in jail.   Mr Shadwick was found unresponsive in a Tesco car park on Stratford Road in Stroud on 22 January, when the Met Office had forecast temperatures as low as -6°C overnight. CCTV footage showed Hawkins and Mr Shadwick, who had severe Parkinson’s,  arriving at the supermarket at about 02:30 GMT to use the cash machine. When Mr Shadwick appeared unable to withdraw money for Hawkins, she became ""frustrated"" and took his mobility scooter while he was still partially on it. She dragged him along the road for just under a minute before he eventually let go, then she rode away, leaving him on the ground.  He was found by supermarket staff who arrived for work at about 05:45 GMT. Mr Shadwick had severe hypothermia, pneumonia and lung injuries. In the ambulance, all he was able to say was ""robbed"" and ""Kim"". He later died in hospital. In a statement, his daughter, Mrs Bentley, said it was ""horrific"" to identify her dad ""under such terrible circumstances"". ""Kimberley Hawkins knew by leaving Dad in that car park, on a freezing cold night, that she was leaving an incredibly vulnerable man who had no way of communicating as he could barely talk,"" Mrs Bentley said. ""He didn't have a phone and he had no way of getting any help. ""He must have been terrified realising that he'd been abandoned and not knowing when or if help would arrive."" The court heard the pair had gone to the cashpoint after Hawkins provided ""sexual services"" for Mr Shadwick. Mr Shadwick’s younger sister, who lost both of her brothers within three months, said he ""did not deserve to be treated and abandoned in this way"". Tania Rickards said her brother had health problems ""from a young age"", and eventually had to give up his career as a HGV driver in 2003 following a Parkinson's diagnosis in his early 30s. Mr Shadwick's brother, Kevin, had been diagnosed with terminal cancer in August 2022, and was given six months to live that November. ""After Christmas 2022, we had said that we will get January over and then we would try and get Neil transport to come down and meet up with Kevin, but we never got the chance to do that,"" Mrs Rickards said. ""It would have been the last time we were all together but Kimberley Hawkins robbed us of being able to do that."" Mary Cowe, prosecuting, told the court Mr Shadwick was “extremely vulnerable” and lived in supported accommodation, relying on carers visiting him four times a day. Describing the incident that led to his death, Miss Cowe said: “It was selfish and spiteful but not premeditated. “She [Hawkins] told a friend she had performed sexual favours for Mr Shadwick and he couldn’t pay.” Hawkins was jailed for six years for the manslaughter of Mr Shadwick.  A further six months was added consecutively for related offences of aggravated vehicle taking and assault occasioning actual bodily harm plus other charges of theft, drug possession and breach of previous suspended sentences. Det Insp Adam Stacey, who led the investigation, said: “Hawkins’ actions were callous, and they had fatal consequences for a man whom she knew was extremely vulnerable. “The footage from the early hours of that morning is heartbreaking to watch, as Neil Shadwick was abandoned in sub-zero temperatures in the street without his mobility scooter and therefore unable to seek shelter or help. “The family feel robbed that they didn’t get the chance to say goodbye to Neil, as he was cruelly taken away from them.” Follow BBC Gloucestershire on Facebook, X, and Instagram. Send your story ideas to us on email or via WhatsApp on 0800 313 4630."
Hawkish,"What to know about US election hacking, Iran and other countries",2024-09-25,2024-08-16,Gordon Corera,https://www.bbc.com/news/articles/c86ljyv38vxo,"The recent claim by Donald Trump's campaign that they were hacked by Iran is one sign that foreign interference may become a prominent issue in this year's US election. The election result will have major implications around the world, meaning many countries have an incentive to try and interfere to either support a particular candidate or just to destabilise America.  And the nature of America’s open democracy and media, coupled with new forms of technology, provides many potential avenues to try and shape the eventual outcome. “Our adversaries do look at American elections as points to try to influence, to try to undermine confidence in our democracy, to try to put their thumb on the scale,” National Security Adviser Jake Sullivan said last month. “We are clear eyed about that. And we are doing a lot to push back against it"". So who might be trying to interfere? Three countries are most widely cited: Iran, Russia and China. “Iran is becoming increasingly aggressive in their foreign influence efforts, seeking to stoke discord and undermine confidence in our democratic institutions,” US Director of National Intelligence Avril Haines said in July.  The Trump campaign says it was hacked by Iran, although it has not been confirmed that an offer of stolen campaign documents to news outlets was definitely linked to this. Microsoft recently said it had seen ""the emergence of significant influence activity"" by groups linked to Iran, and Google has said Iranian hackers targeted the Biden campaign (before he dropped out of the race) as well as that of Donald Trump. The assessment is that the Iranians are more likely to be opposed to a return of Trump to the White House.  He and his advisers are seen as more hawkish in their rhetoric as well as in their past actions, which include pulling out of the Iran nuclear deal and killing top Iranian General Qasem Soleimani in January 2020.  On social media, Iran has also been accused of stoking tensions over Gaza. “Russia remains the predominant threat to US elections,” according to the most recent assessment by US intelligence.  But so far it has been less visible than Iran. Russia has a long track record of using what it calls ""active measures"" to influence public opinion back through the Cold War.  And in 2016, the US was caught largely unaware by a Russian operation which saw the Democratic Party as well as Hillary Clinton's campaign operatives have their emails hacked and then leaked. Russian hackers – likely from both the foreign intelligence agency the SVR and the military intelligence agency the GRU – are among the most skilled and may try to compromise accounts.  Russian social media campaigns have also moved on from 2016 when fake profiles were used to organise real-world demonstrations against Hillary Clinton during the campaign. Moscow is thought to be outsourcing some efforts to commercial firms in order to distance itself and look for more effective ways of reaching audiences. If Moscow does get involved, security analysts believe it it would most likely be to favour Trump. The former president has been more friendly to Moscow and more critical of the NATO defence alliance. Russia's Vladimir Putin recently denied he was backing Trump, but even that was seen as a diversionary tactic. China is the wildcard in terms of interference.  It has hacked US campaigns to gather intelligence all the way back to 2008. But it tends to be less active than the other two in trying to influence a particular result. US intelligence currently believe it ""probably does not plan to influence the outcome"" of the election. There is also less confidence as to who China’s preferred candidate might be should it decide to do anything.  Donald Trump can be unpredictable and confrontational with Beijing but is less likely to continue the Biden administration’s policy of building a web of alliances, which has worried Beijing.  Beijing may also be wary of antagonising the US at this point by being seen to interfere, something neither Iran nor Russia worry so much about. But China is accused of trying to target candidates at a local or congressional level because of their backgrounds or positions on issues of concern to China. In the 2022 mid-terms it was assessed of doing so in a handful of races involving both Democrats and Republicans. All three countries have consistently denied carrying out election interference operations. Back in 2016, material hacked by Russia received extensive media coverage. But that seems to have changed now with media outlets more cautious about giving prominence to stolen data.  And there there are more people now looking for influence operations as well as improved cybersecurity defences around campaigns. But despite this, the challenge has evolved. One complexity is that it can be harder to disentangle foreign interference from domestic free speech. Some countries may use Americans to seed or spread their messages. Sometimes those Americans will be willing collaborators, but sometimes they will be unwitting, perhaps even engaged to write for websites which they do not know work for Moscow or someone else. And there are new worries because there has been a step change in the technology on offer to those seeking to interfere thanks to artificial intelligence and deepfakes. These potentially allow more tailored approaches to individuals over social media, and the creation of more convincing faked content. This could lead people to doubt what is real and what is not.  However, in other elections around the world this year, the general consensus is that these techniques have not been deployed as much as some feared.  But America’s election is by far the most consequential globally (and also likely a tight race) meaning new techniques might be deployed for the first time. And given the political atmosphere this time is more combustible and polarised than in the past. A further risk, too, is that even the claim that there has been foreign interference can be politicised and used to cast doubt on an election result. "
