Title,Scrapping Date,Article Date,Author,Link,Content
INSTRUMEN INVESTASI : Magnet Pasar Obligasi,2024-09-25T04:41:11.004Z,12 September 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240912%2F244%2F1798916%2Finstrumen-investasi-magnet-pasar-obligasi,
Strategi Investasi MSIG Life (LIFE) Saat Kebijakan Bunga Higher for Longer,2024-09-25T04:41:11.439Z,09 December 2023 09:47 WIB,Pernita Hestin Untari,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20231209%2F215%2F1722252%2Fstrategi-investasi-msig-life-life-saat-kebijakan-bunga-higher-for-longer,"Bisnis.com, JAKARTA — PT MSIG Life Insurance Indonesia Tbk. (LIFE) mengungkap strategi investasi di tengah kebijakan suku bunga tinggi bank sentral. Bank Indonesia (BI) telah menetapkan bunga acuan 6% sejak Agustus 2023. 
Hadi Setiawan, Head of Investment MSIG Life melihat bahwa kenaikan tersebut dilakukan oleh BI untuk menjaga nilai tukar rupiah di tengah tingginya suku bunga dunia. “Menghadapi kondisi ini, MSIG Life pun senantiasa melakukan pengawasan pada setiap kondisi ekonomi guna menentukan strategi investasi yang optimal bagi perusahaan dan nasabah,” kata Hadi kepada Bisnis, Jumat (8/12/2023). 
Ke depannya, Hadi mengatakan perseroan melihat prospek pertumbuhan ekonomi yang cenderung stabil serta ekspektasi akan penurunan suku bunga BI. Dengan demikian, lanjut dia, perusahaan memandang situasi tersebut sebagai kesempatan untuk mengakumulasi pembelian Surat Utang Negara (SUN) baik jangka pendek maupun panjang.
Adapun per September 2023, MSIG Life menempatkan instrumen investasi paling banyak ke obligasi pemerintah dengan proporsi sebesar 49%. Ini juga sudah termasuk dengan investasi Produk Asuransi yang Dikaitkan dengan Investasi (PAYDI) atau unit linked. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
“Sementaras selebihnya adalah pada instrumen saham 18%, obligasi korporasi 16%, deposito berjangka 9%, reksa dana 8%,” ungkap Hadi. 
Dalam laporan keuangan MSIG Life per Oktober 2023, perseroan memiliki jumlah aset investasi sebanyak Rp12,07 triliun.Baca JugaLaba Makin Moncer, Intip Rekomendasi Saham Big Caps (BBCA, BMRI, BBNI, dan BBRI)Update jadi 99, Ini Daftar Pinjol Legal Aman Berizin OJK Desember 2023Langkah Validasi Nik Jadi NPWP Sebelum 31 Desember, Simak Caranya
Investasi tersebut terdiri dari Surat Berharga Negara (SBN) yang diterbitkan RI sebanyak Rp6 triliun, kemudian Rp2,1 triliun saham. Lalu ada obligasi korporasi sebanyak Rp1,9 triliun, deposito berjangka Rp963 miliar, serta reksadana Rp920 miliar.  


 LIFE Chart  by TradingView

				new TradingView.widget({""width"": ""100%"",					""height"": 460,					""symbol"": ""IDX:LIFE"",					""interval"": ""D"",					""timezone"": ""Asia/Bangkok"",					""theme"": ""light"",					""style"": ""1"",					""locale"": ""en"",					""toolbar_bg"": ""#f1f3f6"",					""enable_publishing"": false,					""container_id"": ""tradingview_1702091142914""				});			



                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Ketar-ketir Kenaikan Suku Bunga The Fed, Ini Pengaruhnya ke SUN dan Rupiah",2024-09-25T04:41:11.782Z,11 April 2023 13:16 WIB,Mutiara Nabila,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230411%2F92%2F1645700%2Fketar-ketir-kenaikan-suku-bunga-the-fed-ini-pengaruhnya-ke-sun-dan-rupiah,"Bisnis.com, JAKARTA – Perkiraan pelaku pasar bahwa Federal Reserve (The Fed) akan kembali menaikkan suku bunganya pada Mei mendatang semakin kuat. Hal ini berpotensi memengaruhi minat investor pada surat utang negara (SUN), serta melemahkan rupiah.Macro Equity Strategist Samuel Sekuritas Indonesia Lionel Priyadi mengatakan, ekspektasi inflasi konsumen di Amerika Serikat naik di luar dugaan pada Maret 2023, yang menyebabkan ekspektasi pasar terhadap kemungkinan the Fed menaikkan suku bunga acuannya pada Mei mendatang menguat menjadi 72 persen.Fed New York mencatat kenaikan ekspektasi inflasi konsumen pada bulan Maret menjadi 4,7 persen secara tahunan (year-on-year/yoy) lebih tinggi dari capaian pada Februari 4,2 persen yoy, kenaikan ini di luar dugaan pasar.“Oleh sebab itu, pelaku pasar merespon kenaikan ekspektasi inflasi dengan kenaikan probabilitas suku bunga the Fed naik 25 bps di bulan Mei menjadi 72 persen, dari sebelumnya 62 persen,” ungkap Lionel dalam riset, Selasa (11/4/2023).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Merespons hal ini, investor mengambil tindakan berhati-hati, seperti yang tercermin dari pergerakan saham AS yang cenderung flat dan kenaikan tipis imbal hasil (yield) obligasi pemerinta AS tenor 10 tahun sebesar 3 bps menjadi 3,42 persen.Menurut Samuel Sekuritas Indonesia, kondisi ini bisa mengurangi antusiasme investor asing terhadap lelang SUN hari ini.Baca JugaThe Fed Kembali Fokus ke Pasar Tenaga Kerja untuk Tekan InflasiLelang Surat Utang Negara (SUN) 11 April 2023, Target Rp25,5 TriliunMelonjak! Cadangan Devisa RI Tembus US$145,2 Miliar pada Maret 2023“Kami memperkirakan yield Obligasi Negara Indonesia [INDOGB] tenor 10 tahun akan melanjutkan konsolidasi dalam rentang 6,7-6,8 persen hari ini. Kami juga memperkirakan permintaan pada lelang SUN hari ini berpotensi melemah akibat berbaliknya sentimen para pelaku pasar terhadap potensi kenaikan suku bunga Fed bulan depan,” jelasnya.Pemerintah akan melakukan lelang SUN hari ini dengan target sebesar Rp17 triliun. Target tersebut lebih rendah dari lelang sebelumnya pada (28/3/2023) yang memiliki target indikatif sebesar Rp20 triliun dan target maksimal sebesar Rp30 triliun.Adapun, rupiah juga diperkirakan akan melanjutkan konsolidasi dalam rentang Rp14.900-Rp15.000 per dolar AS. Pada perdagangan Selasa (11/4/2023) pukul 12.47 WIB, rupiah terpantau dalam penguatan, naik 15 poin atau 0,10 persen ke Rp14.887 per dolar AS.Lionel menyebutkan cadangan devisa Bank Indonesia naik pada Maret menjadi US$145,2 miliar, dibandingkan pada Februari Rp140,3 miliar. Menurut estimasinya, nilai cadangan devisa likuid BI juga naik menjadi US$131,7 miliar, dibandingkan dengan pada Februari sebesae US$127,3 miliar.Cadangan devisa likuid adalah cadangan devisa yang dapat digunakan sewaktu-waktu untuk operasi pasar di pasar nilai tukar demi menjaga stabilitas rupiah.“Kami melihat perkembangan ini sebagai hal positif bagi daya tahan rupiah terhadap potensi gejolak nilai tukar di pasar finansial global akibat berbaliknya sentimen pasar terhadap prospek kenaikan suku bunga the Fed bulan depan,” ungkapnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Prediksi Imbal Hasil SUN dan Ekspektasi Suku Bunga The Fed,2024-09-25T04:41:12.133Z,20 March 2023 17:55 WIB,Artha Adventy,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230320%2F92%2F1639132%2Fprediksi-imbal-hasil-sun-dan-ekspektasi-suku-bunga-the-fed,"Bisnis.com, JAKARTA – Para ekonom dan analis kompak memperkirakan Bank Sentral Amerika Serikat Federal Reserve (The Fed) akan mengambil langkah kenaikan suku bunga 25 basis poin pada pertemuan 21-22 Maret 2023. Sikap The Fed ini mempengaruhi minat investor terhadap obligasi pemerintah khususnya Surat Utang Negara (SUN) tenor 10 tahun. Research and Consulting Infovesta Utama Nicodemus Anggi menilai Federal Funds Rate (FFR) akan dinaikkan sesuai konsensus sebesar 25 bps. Meski demikian, menurut Nico yang saat ini lebih penting adalah pernyataan terbaru The Fed terhadap langkah mereka ke depan. “Apakah akan berbalik dovish sesuai ekspektasi banyak pelaku pasar untuk mengamankan sistem keuangan AS, atau tetap bersikeras menaikkan suku bunga untuk melawan inflasi,” kata Nicodemus saat dihubungi Bisnis, Senin (20/3/2023). Sejauh ini, lanjut Nicodemus, dari data historis yang ada, pelaku pasar memprediksi The Fed akan melonggarkan kebijakan suku bunganya. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Sejalan dengan pendapat itu, Ekonom Mirae Asset Sekuritas Rully Arya Wisnubroto juga mengatakan The Fed masih akan tetap menaikkan suku bunga, tidak terlalu agresif dari yang diperkirakan sebelumnya yaitu sebesar 25 bps, dengan signal yang lebih dovish untuk arah suku bunga ke depan. Ekspektasi naiknya suku bunga sebesar 25 bps ini diperkirakan akan meningkatkan minat investor terhadap Surat Berharga Negara (SBN) khususnya SUN tenor 10 tahun. Baca JugaUBS Akuisisi Credit Suisse Rp49 Triliun, Simak Alasan & DampaknyaPerry Warjiyo Tegaskan Stance Kebijakan BI 5 Tahun ke DepanGubernur BI Janji ke DPR, Pengembangan Rupiah Digital Selesai 2024Nicodemus memaparkan bahwa saat ini investor masih menunggu hingga rilis The Fed Kamis dini hari nanti. Jika memang sesuai dengan prediksi 25 bps, maka minat investor akan semakin tinggi untuk mengoleksi obligasi Indonesia. Prediksi Imbal Hasil SUNNicodemus memprediksi obligasi tahun ini akan mencatatkan kinerja yang lebih baik dibanding tahun 2022 karena ekspektasi yang semakin meningkat dari puncaknya suku bunga The Fed pada semester I/2023 yang akan dilanjutkan dengan penurunan suku bunga pada semester II/2023. “Kisaran yield SUN tenor 10 tahun diprediksi dapat bergerak di antara rentang 6,6 persen hingga 6,8 persen,” jelasnya. Jika merujuk data Bloomberg, imbal hasil SUN tenor 10 tahun saat ini berada di posisi 6,89 persen di harga 100,75. Rully menyebutkan penurunan suku bunga akan mendorong prospek pergerakan SBN ke depan, karena dampaknya akan positif, masih cukup terbuka ruang penurunan yield SBN, apalagi pekan lalu cukup deras investor asing masuk ke SBN. “Memang secara tidak langsung imbas bangkrutnya langsung ke SBN, namun melalui pergerakan yield dari UST terlebih dahulu (2Y dan 10Y), berpengaruh kepada yield dari SBN,” kata Rully. Presiden dan CEO Pinnacle Persada Investama Guntur Putra mengatakan bahwa dalam jangka pendek tentunya akan ada volatilitas di pasar obligasi Indonesia, di trend kenaikan tingkat suku bunga yangg masih berlanjut, secara keseluruhan harga obligasi dapat mengalami penurunan atau terkoreksi.“Probabilitas cukup tinggi untuk The Fed menaikan tingkat suku bunga sebesar 25 bps sekalpun terjadi krisis perbankan di AS dengan kolapsnya 3 bank dalam dua pekan terakhir,” jelas Guntur kepada Bisnis, Senin (20/3/2023). 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENGGALANGAN DANA    : 3 Surat Utang Korporasi Ramaikan Pasar,2024-09-25T04:41:12.429Z,09 February 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230209%2F442%2F1626513%2Fpenggalangan-dana-3-surat-utang-korporasi-ramaikan-pasar,
"Pasca Kenaikan Suku Bunga The Fed, Begini Pergerakan Obligasi Indonesia",2024-09-25T04:41:12.823Z,15 December 2022 12:27 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221215%2F92%2F1608848%2Fpasca-kenaikan-suku-bunga-the-fed-begini-pergerakan-obligasi-indonesia,"Bisnis.com, JAKARTA – Pasar obligasi Indonesia terpantau cukup stabil pasca pengumuman kenaikan suku bunga acuan The Fed pada Rabu (14/12/2022) malam waktu Indonesia.Data dari World Government Bonds pada Kamis (15/12/2022) mencata tingkat imbal hasil Surat Utang Negara (SUN) Indonesia dengan tenor 10 tahun berada di level 6,924 persen. Selama sepekan terakhir, yield SUN Indonesia terpantau menguat sebesar 9,1 basis poin. Sedangkan, dalam periode 1 bulan belakangan, imbal hasil SUN menguat 17,7 basis poin.Sementara itu, level credit default swap (CDS) 5 tahun Indonesia per hari ini ada di level 96,96. Posisi tersebut mengindikasikan probabilitas default atau gagal bayar sebesar 1,62 persen.Terkait hal tersebut, Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mengatakan kondisi pasar SUN Indonesia terbilang stabil setelah pengumuman The Fed. Hal ini menunjukkan ketahanan obligasi negara Indonesia di tengah fluktuasi pasar global yang masih terjadi jelang akhir tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Kenaikan suku bunga ini sudah diprediksi pasar sebelumnya, sehingga pasar SUN kita juga relatif tidak melemah,” katanya saat dihubungi, Kamis (15/12/2022).Ramdhan mengatakan kondisi makroekonomi domestik yang optimal menjadi salah satu sentimen utama yang menopang pasar SUN Indonesia. Data ekonomi seperti inflasi yang mulai melambat serta stabilnya rupiah meningkatkan daya tarik obligasi pemerintah Indonesia di mata investor asing.Baca JugaDitopang Kenaikan Suku Bunga, Reksa Dana Pasar Uang Lampaui Saham dan ObligasiSuku Bunga The Fed Naik, Ini Penyebab IHSG Lanjut MelemahJelang Tutup Tahun 2022, Pasar SUN Indonesia Semakin KondusifSelain itu, permintaan pasar terhadap instrumen ini juga terbilang masih tinggi jelang akhir tahun. Hal ini seiring dengan upaya investor dalam melakukan penyesuaian portofolio investasinya.Tingginya permintaan juga dibarengi dengan pasokan yang mulai berkurang seiring dengan rampungnya masa lelang SUN Indonesia pada tahun ini. Hal tersebut memicu investor untuk masuk ke pasar sekunder untuk mencari SUN Indonesia.Lebih lanjut, Ramdhan mengatakan tingginya minat investor akan menjadi penopang pasar SUN Indonesia di sisa tahun ini. Seiring dengan hal tersebut, Ramdhan mengatakan peluang penguatan yield SUN Indonesia masih terbuka.“Masih berpeluang menguat, tetapi tidak akan terlalu jauh dari level saat ini. Saya prediksi di sekitar 6,8 persen – 6,9 persen,” pungkasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Imbal Hasil SUN Indonesia Masih Bisa Turun ke Bawah 7 Persen,2024-09-25T04:41:13.177Z,14 December 2022 13:48 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221214%2F92%2F1608461%2Fimbal-hasil-sun-indonesia-masih-bisa-turun-ke-bawah-7-persen,"Bisnis.com, JAKARTA – Tingkat imbal hasil Surat Utang Negara (SUN) Indonesia masih memiliki celah penguatan hingga akhir tahun ini seiring dengan melambatnya laju inflasi dan kembalinya minat investor asing.Data dari World Government Bonds pada Rabu (14/12/2022) mencatat, tingkat imbal hasil (yield) SUN Indonesia seri acuan 10 tahun berada di level 7,02 persen. Selama sepekan terakhir, yield SUN Indonesia tercatat melemah sebesar 1,2 basis poin. Sementara itu, dalam periode 1 bulan belakangan, imbal hasil SUN terpantau menguat 7,4 basis poin.Head of Fixed Income Research Mandiri Sekuritas Handy Yunianto menjelaskan salah satu katalis penopang pasar SUN Indonesia adalah mulai melambatnya laju kenaikan inflasi yang akan meningkatkan daya tarik obligasi emerging market. Selain itu, Handy juga melihat siklus kenaikan suku bunga acuan Bank Indonesia (BI) telah memasuki fase akhir.“Oleh karena itu, kami melihat imbal hasil serta SUN spread-nya dengan suku bunga BI masih memiliki ruang untuk melanjutkan penurunannya,” jelas Handy (14/12/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kondisi pasar SUN Indonesia juga ditopang oleh kelanjutan konsolidasi fiskal oleh pemerintah. Handy memaparkan kebijakan pemerintah untuk mengurangi pasokan SUN tahun depan akan menekan risiko dari berakhirnya program burden sharing antara Kementerian Keuangan dengan BI pada tahun yang sama.Di sisi lain, pengurangan ini juga membuka strategi pembiayaan alternatif yang lebih fleksibel untuk pemerintah. Hal tersebut seiring dengan Saldo Anggaran Lebih (SAL) yang masih cukup besar pada tahun ini serta asumsi konservatif pemerintah terkait program pinjaman dalam APBN 2023.Baca JugaPenerbitan Lelang SUN Tahun Depan Berpotensi Seret, Ini SebabnyaLelang SUN Tembus Rp30,03 Triliun, Mengapa Minat Investasi Naik?Sementara itu, tingkat permintaan dari dalam negeri juga diproyeksikan tetap tinggi. Menurut Handy likuiditas dari perbankan masih cukup melimpah dan imbal hasil riil (real yield) dari SUN Indonesia terbilang atraktif di pasar sekunder.“Kami perkirakan yield SUN seri 10 tahun Indonesia akan berada di kisaran 6,9  persen – 7,1 persen hingga akhir tahun 2022,” pungkasnya.Handy menambahkan obligasi pemerintah Indonesia juga kembali dilirik oleh investor asing. Hal tersebut tercermin dari aliran dana asing (capital inflow) yang masuk ke instrumen ini.Berdasarkan data dari Mandiri Sekuritas, investor asing mencatatkan net buy SUN sebesar Rp19,3 triliun sepanjang Desember 2022 atau month-to-date. Catatan ini melanjutkan aksi beli investor asing sepanjang Oktober lalu yang mencapai Rp23,7 triliun.“Sentimen ekspektasi pasar terhadap inflasi global, imbal hasil obligasi AS, dan indeks dolar AS yang telah mencapai puncak kenaikannya menjadi sentimen positif untuk obligasi emerging market,” jelasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Jelang Keputusan Suku Bunga BI, Begini Kondisi Pasar Obligasi Indonesia",2024-09-25T04:41:13.548Z,17 November 2022 13:15 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221117%2F92%2F1599298%2Fjelang-keputusan-suku-bunga-bi-begini-kondisi-pasar-obligasi-indonesia,"Bisnis.com, JAKARTA – Pasar obligasi Indonesia terpantau bergerak positif jelang pengumuman hasil Rapat Dewan Gubernur Bank Indonesia (RDG BI) terkait suku bunga hari iniData dari World Government Bonds pada Kamis (17/11/2022) pukul 12.00 WIB mencatat, tingkat imbal hasil SUN Indonesia dengan tenor 10 tahun berada di level 7,101 persen. Selama sepekan terakhir, yield SUN Indonesia terpantau menguat sebesar 22,1 basis poin.Sementara itu, dalam periode 1 bulan belakangan, imbal hasil SUN menguat 31,1 basis poin.Adapun, level credit default swap (CDS) 5 tahun Indonesia per hari ini ada di level 96,96. Posisi tersebut mengindikasikan probabilitas default atau gagal bayar sebesar 1,62 persen.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Sebelumnya, Fixed Income Research Mirae Asset Sekuritas Indonesia, Dhian Karyantono menjelaskan, pasar obligasi Indonesia sebenarnya masih cukup menarik. Bahkan, ia menilai obligasi Indonesia cenderung undervalued dari sisi imbal hasil (yield).Berdasarkan analisis dari Mirae Asset Sekuritas Indonesia, Dhian menyebutkan dengan kondisi suku bunga acuan Bank Indonesia di level 4,75 persen, dan nilai tukar rupiah pada kisaran Rp15.560, seharusnya imbal hasil SUN Indonesia seri acuan 10 tahun berada di kisaran 7,27 persen.Baca JugaKondisi Moneter Global Tegang, Ini Imbasnya ke Reksa Dana ObligasiJelang Pengumuman Suku Bunga Acuan, Intip Kurs Dolar di BCA hingga BNI Hari IniIHSG Lesu Jelang Keputusan Suku Bunga BI, Saham TRIS & PBRX Terbang“Kami melihat peluang pergerakan yield bisa berada di level yang lebih rendah di akhir tahun ini,” jelasnya.Potensi penguatan imbal hasil ini juga didukung oleh program burden sharing antara pemerintah dengan Bank Indonesia (BI). Dhian memaparkan, sejauh ini program burden sharing baru menyerap SBN sekitar Rp30 triliun.Sementara itu, alokasi penjualan SBN dari pemerintah ke BI adalah sekitar Rp280 triliun. Dengan demikian, Bank Indonesia masih memiliki ruang yang cukup besar untuk menyerap SBN yang dapat menurunkan imbal hasil obligasi Indonesia.“Masih ada alokasi sekitar Rp250 triliun yang tersisa untuk BI. Kami memperkirakan lelang SUN akan ditiadakan pada Desember mendatang dan akan digantikan oleh skema burden sharing ini,” jelas Dhian.Selain itu, prospek penguatan yield SUN Indonesia juga didukung oleh nilai tukar rupiah yang dapat kembali menguat di sisa tahun ini. Dhian memprediksi nilai tukar rupiah dapat turun ke kisaran Rp15.000 yang akan berdampak pada menguatnya pasar obligasi domestik.Adapun, Mirae Asset memperkirakan imbal hasil SUN 10 tahun Indonesia dapat berada di level 6,96 untuk proyeksi optimistis, 7,26 persen untuk proyeksi moderat, dan 7,41 persen untuk proyeksi pesimistis.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PROSPEK AKHIR TAHUN   : Imbal Hasil SUN Kian Tebal,2024-09-25T04:41:13.824Z,25 October 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221025%2F441%2F1590990%2Fprospek-akhir-tahun-imbal-hasil-sun-kian-tebal,
PROSPEK PASAR SURAT UTANG  : Investor Buru SUN Tenor Panjang,2024-09-25T04:41:14.111Z,26 September 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220926%2F441%2F1581113%2Fprospek-pasar-surat-utang-investor-buru-sun-tenor-panjang,
