Title,Scrapping Date,Article Date,Author,Link,Content
Pefindo: Multifinance Manfaatkan Penurunan Suku Bunga BI untuk Refinancing Surat Utang,2024-09-25T04:37:39.836Z,3 jam yang lalu,Pernita Hestin Untari,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240925%2F89%2F1802239%2Fpefindo-multifinance-manfaatkan-penurunan-suku-bunga-bi-untuk-refinancing-surat-utang,"Bisnis.com, JAKARTA — PT Pemeringkat Efek Indonesia (Pefindo) memproyeksikan perusahaan pembiayaan atau multifinance akan memanfaatkan penurunan suku bunga Bank Indonesia (BI) ke level 6% untuk melakukan refinancing surat utang mereka yang lebih mahal. Langkah ini dipandang sebagai upaya memperbaiki neraca keuangan perusahaan.
Ahmad Nasrudin, Fixed Income Analyst Pefindo mengatakan penurunan suku bunga menciptakan momentum yang tepat bagi perusahaan multifinance untuk melakukan refinancing. ""Dengan suku bunga yang lebih rendah, mereka dapat mengganti surat utang mahal dengan yang lebih murah,"" ujar Ahmad saat dihubungi, Selasa (24/9/2024).
Menurutnya, penerbitan surat utang dengan bunga lebih rendah akan membantu perusahaan multifinance memperbaiki leverage keuangan mereka. Namun, Ahmad mencatat bahwa meskipun suku bunga turun, perusahaan multifinance masih belum agresif dalam menerbitkan obligasi dalam waktu dekat.
""Refinancing masih menjadi tema utama di tengah transisi menuju suku bunga yang lebih rendah,"" tambah Ahmad. Ia menilai, perusahaan multifinance kemungkinan membutuhkan waktu sebelum menerbitkan obligasi baru untuk pendanaan modal kerja atau ekspansi, karena permintaan jasa multifinance masih lemah meski suku bunga sudah diturunkan.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Ahmad juga menyebut bahwa transmisi dampak dari penurunan suku bunga terhadap pertumbuhan ekonomi dan permintaan jasa multifinance memerlukan jeda beberapa bulan sebelum benar-benar terasa.
Baca JugaKredit UMKM Industri Nonbank per Juli 2024, Leasing Paling JumboBunga Kredit Leasing Kemungkinan Turun pada 2025, Begini Kisi-KisinyaAdu Cerah Bisnis Paylater Bank dan Leasing
Realisasi penerbitan surat utang korporasi periode Januari—Agustus 2024: 





Sektor


Januari—Agustus 2023


Januari—Agustus 2024




Multifinance


Rp25,9 triliun


Rp18,01 triliun




Pulp dan Kertas


Rp11,67 triliun 


Rp13,7 triliun




Lembaga Keuangan Khusus


Rp7,38 triliun


Rp9,99 triliun




Perbankan


Rp6,39 triliun


Rp8,59 triliun




Perusahaan Induk 


Rp5,95 triliun


Rp8,32 triliun




Pembiayaan Non-Multifinance


Rp7,24 triliun 


Rp7,27 triliun




Pertambangan 


Rp6,55 triliun


Rp6,92 triliun




Telekomunikasi


Rp8,47 triliun


Rp3,98 triliun




Kimia


Rp1,25 triliun 


Rp1,78 triliun




Properti


NA


Rp1,42 triliun




Perdagangan dan Distribusi


Rp2,43 triliun


Rp1,37 triliun




Layanan Kesehatan 


NA


Rp1,32 triliun




Manufaktur


Rp975 miliar


Rp1,2 triliun




Sewa Kendaraan dan Transportasi


NA


Rp1 triliun 




Jalan Tol


NA


Rp932 miliar




Listrik dan Energi


Rp939 miliar


Rp750 miliar




Konstruksi


Rp630 miliar


Rp537 miliar




Makanan dan Minuman 


Rp150 miliar


Rp531 miliar




Obyek Wisata dan Rekreasi


NA


Rp503 miliar




Modal Ventura 


Rp390 miliar 


Rp450 miliar




Farmasi 


NA


Rp400 miliar




Sekuritas


Rp408 miliar


Rp388 miliar




Bandara 


NA


Rp254,76 miliar




Perkebunan 


Rp425 miliar


Rp61,85 miliar




Perkapalan


Rp550 miliar


NA




Total 


Rp87,17 triliun 


Rp89,736 triliun 







                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PASAR SURAT UTANG    : Asing Mulai Agresif Berburu SBN,2024-09-25T04:37:40.230Z,24 September 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240924%2F441%2F1801808%2Fpasar-surat-utang-asing-mulai-agresif-berburu-sbn,
PENURUNAN SUKU BUNGA    : Untung Berlipat di Pasar Surat Utang,2024-09-25T04:37:40.547Z,20 September 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240920%2F441%2F1800907%2Fpenurunan-suku-bunga-untung-berlipat-di-pasar-surat-utang,
MUFG Siap-siap kala Prospek Surat Utang Pemerintah Jepang Mantap,2024-09-25T04:37:41.059Z,07 September 2024 08:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240907%2F620%2F1797672%2Fmufg-siap-siap-kala-prospek-surat-utang-pemerintah-jepang-mantap,"Bisnis.com, JAKARTA — Prospek surat utang pemerintah Jepang kian menarik seiring dengan potensi berlanjutnya kenaikan suku bunga di Negeri Matahari Terbit.Hal itu antara lain tercermin dari penjajakan salah satu korporasi finansial global, Mitsubishi UFJ Financial Group Inc. atau MUFG yang bersiap mengalihkan portofolio investasinya senilai US$488 miliar atau sekitar Rp7.543,02 triliun (kurs Rp15.457 per dolar AS) ke surat utang pemerintah Jepang."
Reaksi Jasindo Saat Pemerintah Terbitkan Surat Utang Terpanjang,2024-09-25T04:37:41.770Z,29 August 2024 16:28 WIB,Akbar Maulana al Ishaqi,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240829%2F215%2F1795084%2Freaksi-jasindo-saat-pemerintah-terbitkan-surat-utang-terpanjang,"Bisnis.com, JAKARTA -- Pemerintah Indonesia telah menerbitkan Surat Utang Negara (SUN) Seri FR0105 dengan nilai Rp3 triliun dan tenor 40 tahun, serta menawarkan yield sebesar 6,930%.
Langkah ini dilakukan sebagai upaya mendukung perusahaan asuransi dan dana pensiun dalam memperkuat tata kelola investasi mereka.
Direktur Pengembangan Bisnis PT Asuransi Jasa Indonesia (Jasindo) Diwe Novara menjelaskan bahwa penerbitan SUN ini bertujuan untuk menyediakan instrumen investasi dengan tenor panjang dan risiko rendah, yang sesuai dengan kewajiban jangka panjang perusahaan asuransi dan dana pensiun.
Menurut Diwe, meskipun fundamental ekonomi Indonesia saat ini masih cukup solid, stabilitas nilai tukar rupiah dan inflasi tetap menjadi faktor penting yang perlu diperhatikan dalam pengelolaan investasi.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
""Eksekusi program strategis pemerintahan yang baru juga perlu dipertimbangkan sebagai faktor dalam pengelolaan investasi perusahaan ke depan,"" kata Diwe kepada Bisnis, Rabu (28/8/2024).
Dari perspektif global, Diwe menekankan bahwa perusahaan asuransi harus jeli dalam memantau perkembangan ekonomi negara-negara maju dan konflik geopolitik yang dapat mempengaruhi pergerakan pasar keuangan.Baca JugaTak Banyak Asuransi Sediakan Anuitas, Dana Pensiun Tawarkan SolusiBank Indonesia Ungkap Bunga Pinjaman dan Deposito TerbaruAkuisisi MUFG dan Arah Bisnis Leasing di Indonesia
Sementara itu, Direktur Utama Dana Pensiun BCA, Budi Sutrisno, menyoroti pentingnya keseimbangan antara investasi jangka panjang seperti SUN dan investasi jangka pendek seperti Sekuritas Rupiah Bank Indonesia (SRBI) bagi dana pensiun. Menurutnya, instrumen jangka panjang mungkin kurang likuid, sehingga bisa menimbulkan tantangan dalam memenuhi kebutuhan kas jangka pendek.
Budi juga mengingatkan bahwa kenaikan suku bunga dapat mengurangi nilai obligasi jangka panjang, yang berisiko bagi perusahaan yang memegang instrumen ini dalam jumlah besar. ""Selain itu, inflasi yang tinggi dapat mengurangi nilai pendapatan tetap dari instrumen SUN ini,"" tambahnya.
Penerbitan SUN Seri FR0105 ini diharapkan dapat memberikan solusi investasi yang sesuai dengan kebutuhan perusahaan asuransi dan dana pensiun, sambil tetap mempertimbangkan tantangan internal dan eksternal yang mungkin dihadapi.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Rupiah Dipatok Rp16.100 pada 2025, Subsidi hingga Bunga Utang Bisa Bengkak",2024-09-25T04:37:42.133Z,20 August 2024 18:17 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240820%2F9%2F1792609%2Frupiah-dipatok-rp16100-pada-2025-subsidi-hingga-bunga-utang-bisa-bengkak,"Bisnis.com, JAKARTA — Pemerintah mengantisipasi potensi nilai tukar rupiah melemah tahun depan, dengan mematok asumsi kurs pada level Rp16.100 per dolar Amerika Serikat (AS) pada 2025.
Proyeksi nilai tukar tersebut di atas level yang telah disepakati Pemerintah dan Badan Anggaran DPR RI sebelumnya, yaitu pada kisaran Rp15.300 hingga Rp15.900 per dolar AS.
Kepala Ekonom PT Bank Permata Tbk. (BNLI) Josua Pardede mengatakan bahwa potensi pelemahan nilai tukar rupiah pada tahun depan yang tercermin dari proyeksi tersebut akan membawa sejumlah risiko, terutama pada biaya biaya belanja pemerintah, seperti subsidi energi dan bunga utang, yang sebagian besar berdenominasi dolar AS.
Menurutnya, hal ini pun memberikan konsekuensi pada ruang fiskal pemerintah yang akan semakin sempit, khususnya untuk belanja nonprioritas atau belanja yang tidak langsung mendorong pertumbuhan ekonomi.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
""Risiko tersebut semakin besar jika terjadi kenaikan imbal hasil SBN atau capital outflow yang memperberat beban pembiayaan utang,"" katanya kepada Bisnis, Senin (20/8/2024).
Sementara itu, Josua mengatakan bahwa pergerakan nilai tukar rupiah terhadap dolar AS cenderung terus menunjukkan penguatan pada paruh kedua 2024 seiring dengan naiknya sentimen positif, baik yang bersumber dari luar negeri maupun dalam negeri.Baca JugaPemerintah Patok Inflasi di 2,5% Tahun Depan, Rupiah di Rp16.100 per Dolar ASRupiah Lanjut Menguat Sentuh Level Rp15.435, Dolar AS TerkoreksiRupiah Menguat, BI: Modal Asing Rp9,67 Triliun Masuk RI Pekan Ini
Dia menjelaskan, dari luar negeri, terutama dari AS, data-data terkini menunjukkan bahwa soft landing ekonomi AS kemungkinan akan terjadi, dimana tanda-tanda perlambatan ekonomi AS semakin terlihat, tapi tidak sampai mengakibatkan resesi.
Penurunan tingkat inflasi di AS terus berlanjut dan tingkat pengangguran meningkat, tapi dalam tingkat yang terjaga. Pada saat yang sama, kinerja sektor riil di AS mulai melambat. 
Oleh karena itu, sentimen risk on di pasar keuangan global cenderung menguat karena perkembangan data-data ekonomi AS semakin membuka ruang pemangkasan suku bunga kebijakan the Fed pada tahun ini.
""Hal ini memicu capital inflow ke negara-negara berisiko yang menawarkan return aset keuangan yang lebih tinggi, seperti negara-negara emerging market di Asia, termasuk Indonesia,"" kata Josua.
Lebih lanjut, imbuhnya, daya tarik Indonesia sebagai destinasi investasi pun didukung oleh faktor dalam negeri, seiring dengan outlook ekonomi Indonesia yang dinilai positif dengan pertumbuhan ekonomi yang terjaga dan Inflasi yang terkendali.
Pada kesempatan berbeda, Kepala Badan Kebijakan fiskal (BKF) Kemenkeu Febrio Kacaribu menyampaikan bahwa nilai tukar rupiah yang diproyeksikan pada level Rp16.100 pada 2025 merupakan bentuk kehati-hatian dan antisipasi pemerintah terhadap risiko global.
Kendati demikian, febrio mengatakan bahwa dalam jangka pendek, peluang rupiah tetap menguat cukup besar. Apalagi, potensi penurunan suku bunga the Fed sangat terbuka tahun ini.
""Confidence dari investor juga cukup tinggi, ini terbukti dalam 1—2 minggu terakhir kita memang mendapatkan cukup banyak capital inflow. Sehingga kita juga bisa melihat rupiahnya cukup ke arah stabil, juga suku bunga kita [SBN] juga membaik. Kita tetap akan waspada untuk perkembangan ke depan,"" kata dia.



Track all markets on TradingView

  {
  ""width"": ""100%"",
  ""height"": ""500"",
  ""symbol"": ""FX_IDC:USDIDR"",
  ""interval"": ""D"",
  ""timezone"": ""Etc/UTC"",
  ""theme"": ""light"",
  ""style"": ""1"",
  ""locale"": ""en"",
  ""allow_symbol_change"": true,
  ""calendar"": false,
  ""support_host"": ""https://www.tradingview.com""
}
  



                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Pemerintahan Prabowo Bakal Bayar Bunga Utang Rp552,9 Triliun pada 2025",2024-09-25T04:37:42.512Z,17 August 2024 15:25 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240817%2F10%2F1791806%2Fpemerintahan-prabowo-bakal-bayar-bunga-utang-rp5529-triliun-pada-2025,"Bisnis.com, JAKARTA – Pemerintahan Prabowo Subianto direncanakan akan membayar bunga utang pada 2025 senilai Rp552,9 triliun. Perlu diingat, angka ini belum termasuk pembayaran pokok utang. 
Mengutip Buku II Nota Keuangan dan RAPBN 2025, pembayaran bunga yang utang direncanakan senilai Rp552,triliun ini naik 10,8% dari outlook tahun ini yang senilai Rp499 triliun. 
“Jumlah tersebut terdiri atas pembayaran bunga utang dalam negeri senilai Rp497,62 triliun dan pembayaran bunga utang luar negeri senilai Rp55,23 triliun,” tulis pemerintah dalam dokumen tersebut, dikutip Sabtu (17/8/2024). 
Meski tumbuh double digit, pertumbuhan pembayaran bunga utang pada tahun anggaran 2025 tersebut lebih rendah apabila dibandingkan dengan pertumbuhan pada 2024 yang sebesar 13,4% (terhadap realisasi pembayaran tahun anggaran 2023).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Sementara melihat secara tren sejak 2020, pembayaran bunga utang yang pemerintah lakukan terus beranjak naik. Kala itu Jokowi memulai periode kedua kepemimpinannya, bunga utang mencapai Rp314,1 triliun. 
Artinya dalam lima tahun terakhir, pembayaran bunga utang meningkat lebih dari Rp200 triliun, seiring dengan menggunungnya utang pemerintah. Baca JugaDefisit APBN 2025 Melebar, Prabowo Tarik Utang Baru Rp775,9 Triliun?Pemerintah Targetkan Tarik Rp642,6 Triliun Lewat SBN untuk Pembiayaan Utang 2025Puan Ungkap Penyebab Penarikan Utang RI Melonjak
Adapun, pemerintah mengungkapkan bahwa perhitungan besaran pembayaran bunga utang tahun anggaran 2025 secara garis besar meliputi pembayaran bunga atas outstanding utang yang berasal dari akumulasi utang tahun-tahun sebelumnya. 
Selain itu, juga memperhitungkan rencana pembiayaan utang 2024 dan 2025, rencana program pengelolaan portofolio utang (liabilities management). 
Kemudian perhitungan besaran pembayaran bunga utang juga didasarkan pada beberapa asumsi, seperti nilai tukar rupiah terhadap mata uang asing, terutama dolar Amerika Serikat (US$), yen Jepang (JPY), dan euro (EUR). 
Belum Termasuk Pembayaran Pokok Utang 
Melihat rencana belanja dalam RAPBN 2025 yang senilai Rp3.613,1 triliun, dengan demikian belanja bunga utang mencakup 15,3% dari total anggaran. 
Nilai tersebut bahkan lebih besar hampir tiga kali lipat dari porsi anggaran kesehatan tahun depan yang senilai Rp197,8 triliun. 
Di sisi lain, pembayaran ini baru bunga utang, belum termasuk utang jatuh tempo yang pemerintah wajib bayar. 
Kementerian Keuangan (Kemenkeu) mencatat profil jatuh tempo utang pemerintah pada 2025 mencapai Rp800,33 triliun. Jumlah tersebut terdiri dari jatuh tempo Surat Berharga Negara (SBN) SBN sejumlah Rp705,5 triliun dan jatuh tempo pinjaman senilai Rp94,83 triliun.
Alhasi, Prabowo perlu menyiapkan uang dari kas negara sekitar Rp1.353,23 triliun untuk membayar utang pokok dan bunga utang. 
Sebelumnya, Menteri Keuangan Sri Mulyani Indrawati mengaskan bahwa tingginya utang jatuh tempo tersebut sejalan dengan penarikan utang yang juga cukup besar pada masa pandemi Covid-19 pada 2020. Tercatat, pembiayaan utang kala itu mencapai Rp1.229,6 triliun.
“Angka [utang jatuh tempo] pada 2025, 2026, dan 2027 yang tinggi jangan lupa, pandemi Covid-19 yang waktu itu membutuhkan hampir Rp1.000 triliun belanja tambahan, dan untuk nambah belanja sebesar itu, saat penerimaan negara turun 19% karena ekonomi berhenti,” jelasnya beberapa waktu lalu. 
Untuk tahun depan, pemerintah berencana menarik utang baru senilai Rp775,9 triliun untuk membiayai APBN pertama Prabowo. 
Hal tersebut sejalan dengan defisit 2025 sebesar 2,53% yang setara dengan Rp616,2 triliun atau lebih lebar dari target tahun ini yang sebesar 2,29% atau Rp522,8 triliun.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
KEBIJAKAN BUNGA BI    : Pasar Surat Utang Tetap Berseri,2024-09-25T04:37:42.811Z,19 July 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240719%2F441%2F1783550%2Fkebijakan-bunga-bi-pasar-surat-utang-tetap-berseri,
"Mitratel (MTEL) Terbitkan Obligasi Rp3 Triliun, Kupon Bunga 6,5%",2024-09-25T04:37:43.179Z,01 July 2024 11:42 WIB,Annisa Kurniasari Saumi,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20240701%2F192%2F1778334%2Fmitratel-mtel-terbitkan-obligasi-rp3-triliun-kupon-bunga-65,"Bisnis.com, JAKARTA -- Emiten menara PT Dayamitra Telekomunikasi Tbk. (MTEL) atau Mitratel berencana menerbitkan surat utang dengan target dana yang dihimpun sebanyak-banyaknya Rp3 triliun. Mitratel telah mengeluarkan rincian bunga dan imbal hasil dari obligasi dan surat utang yang akan diterbitkan ini.
Dalam prospektusnya, Mitratel menyampaikan akan menerbitkan obligasi berkelanjutan Dayamitra Telekomunikasi tahap I tahun 2024 dengan jumlah pokok sebanyak-banyaknya sebesar Rp240,22 miliar. 
Obligasi ini merupakan bagian dari penawaran umum berkelanjutan (PUB) obligasi berkelanjutan I Dayamitra Telekomunikasi dengan target dana yang akan dihimpun sebanyak-banyaknya Rp2,5 triliun. 
Obligasi ini memiliki tingkat bunga 6,5% dengan jangka waktu 370 hari kalender sejak tanggal emisi. Bunga obligasi akan dibayarkan setiap tiga bulan, di mana bunga obligasi pertama akan dibayarkan pada 4 Oktober 2024, dan bunga obligasi terakhir akan dibayarkan pada 14 Juli 2025.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Untuk Sukuk, MTEL juga akan menerbitkan Sukuk Ijarah Berkelanjutan I Dayamitra Telekomunikasi tahap I tahun 2024 dengan sisa imbalan ijarah sebesar Rp10,01 miliar. Sukuk ini merupakan bagian dari sukuk ijarah berkelanjutan I Dayamitra Telekomunikasi dengan target sisa imbalan ijarah yang akan dihimpun sebanyak-banyaknya Rp500 miliar. 
Sukuk Ijarah ini akan diterbitkan tanpa warkat dan ditawarkan dengan nilai 100% dari jumlah sisa imbalan ijarah sukuk ijarah sebesar Rp10,01 miliar, dengan cicilan imbalan ijarah sebesar Rp650,97 juta per tahun yang dihitung dari jumlah sisa imbalan ijarah sukuk ijarah atau Rp65 juta per Rp1 miliar per tahun dari sisa imbalan ijarah sukuk ijarah. Baca JugaYang Sama dan Beda dari Emiten Menara TOWR, MTEL dan TBIGMasuk 2 Indeks ESG, Mitratel (MTEL) Lebih Baik dari Pesaingnya?Saham Mitratel (MTEL) Masuk Dua Indeks IDX KEHATI
Sama seperti obligasi, sukuk ini juga memiliki tenor 370 hari kalender, dengan cicilan imbalan ijarah dibayarkan setiap tiga bulan. Cicilan imbalan ijarah pertama akan dibayarkan pada 3 Oktober 2024, dan cicilan imbalan ijarah terakhir akan dibayarkan pada 14 Juli 2025.
MTEL menyampaikan seluruh dana yang diperoleh dari hasil penawaran umum obligasi, akan digunakan untuk pelunasan atas sebagian pokok pinjaman ke PT Bank Mandiri (Persero) Tbk. (BMRI).
Sementara itu, seluruh dana yang diperoleh dari hasil penawaran umum sukuk ijarah akan digunakan untuk pelunasan atas sebagian pokok pinjaman MTEL ke Bank Mandiri. 
Dalam rangka penerbitan surat utang ini, MTEL telah memperoleh hasil pemeringkatan ari PT Pemeringkat Efek Indonesia (Pefindo) dengan peringkat idAAA (Triple A) dan idAAA(sy) atau Triple A Syariah. 
Penjamin pelaksana emisi obligasi dan sukuk ijarah ini adalah PT BCA Sekuritas, PT BRI Danareksa Sekuritas, PT DBS Vickers Sekuritas Indonesia, dan PT Indo Premier Sekuritas. Lalu penjamin pelaksana emisi dan penjamin emisi sukuk ijarah ini adalah DBS Vickers Sekuritas Indonesia dan Info Premier Sekuritas.
Adapun bertindak sebagai wali amanat dalam penerbitan obligasi dan sukuk ini adalah PT Bank Tabungan Negara (Persero) Tbk. (BBNI). 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Wanti-Wanti untuk Belanja Pemerintahan Prabowo di APBN 2025,2024-09-25T04:37:43.540Z,27 June 2024 10:59 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240627%2F9%2F1777452%2Fwanti-wanti-untuk-belanja-pemerintahan-prabowo-di-apbn-2025,"Bisnis.com, JAKARTA – Presiden dan wakil presiden terpilih, Prabowo Subianto-Gibran rakabuming Raka, dinilai perlu selektif dalam menentukan belanja prioritas pada APBN 2025, sejalan dengan alokasi anggaran pembayaran bunga utang yang meningkat. Lonjakan ini seiring nilai tukar rupiah yang dipatok lebih rendah dan lonjakan bunga utang.
Ekonom Center of Reform on Economics (Core) Indonesia Yusuf Rendy Manilet menyampaikan saat yang sama bunga utang jumbo yang dibayar pemerintah pada 2025 juga didorong dengan jatuh tempo utang yang ditarik saat Covid-19. 
“Ketika itu kita tahu bahwa risiko dari perekonomian relatif tinggi sehingga ongkos pendanaan menjadi relatif lebih mahal. Kondisi ini akhirnya memaksa pemerintah mengeluarkan surat utang, yang beberapa diantaranya secara pendanaan itu relatif mahal,” katanya kepada Bisnis, Rabu (26/6/2024).
Oleh karena itu, Yusuf mengatakan bahwa pemerintah memiliki konsekuensi untuk membayarkan utang yang dilakukan, terutama pada periode pandemi Covid-19 dan sebelum covid, dengan ongkos pendanaan yang relatif tinggi.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Dia menilai, peningkatan belanja bunga utang akan mempersempit ruang belanja fiskal terutama pemerintah pusat, sehingga ruang gerak pos belanja lainnya semakin terbatas.
Dengan kondisi ini, pemerintah dituntut untuk lebih selektif dalam mendorong atau memutuskan anggaran belanja yang perlu diprioritaskan, khususnya dalam konteks mengejar target pembangunan pada 2025. Baca JugaPenawaran Utang SUN Capai Rp56,39 Triliun, Pemerintahan Jokowi Tarik Rp23 TriliunDana Pensiun BUMN Dalam Kondisi Prihatin, DPR Cemaskan Kelangsungan Hak Pekerja di Hari TuaBTN (BBTN) Jalankan Transaksi Afiliasi dengan Perumnas, Aksi Sinergi BUMN?
Selain itu, dalam konteks menentukan prioritas, menurutnya pemerintah baru juga perlu lebih bijak terutama dalam mengeksekusi beberapa belanja yang sifatnya janji politik di masa kampanye. 
“Eksekusi dari janji politik di masa kampanye saya kira perlu mempertimbangkan bagaimana jatuh tempo utang tidak hanya di tahun 2025, tetapi pada tahun-tahun berikutnya, dan juga mempertimbangkan ongkos pendanaan yang muncul dari rencana kebijakan tersebut,” jelasnya.
Pada saat yang sama, Yusuf menambahkan, pemerintah baru juga perlu selektif mengeksekusi program-program yang merupakan kelanjutan dari pemerintahan lama.
“Sekali lagi, skala prioritas perlu dimainkan di sini untuk mengantisipasi ruang gerak atau ruang fiskal yang relatif terbatas,” kata dia.
Pada kesempatan sebelumnya, Ketua Badan Anggaran (Banggar) DPR RI Said Abdullah juga menyoroti tingginya anggaran yang harus digelontorkan pemerintah untuk pembayaran bunga utang yang mencapai Rp561 triliun pada 2025.
Menurutnya, pemerintah ke depan tidak memiliki kemewahan dalam menjalankan rencana anggaran pendapatan dan belanja negara (APBN) yang akan datang.
Di samping anggaran untuk pembayaran bunga utang, anggaran belanja dalam APBN 2025 yang dirancang sebesar Rp3.500 triliun hingga Rp3.540 triliun, juga mencakup belanja pegawai sebesar Rp840 triliun, subsidi dan kompensasi Rp500 triliun, juga transfer ke daerah yang sebesar Rp900 triliun.
Dengan besarnya alokasi yang harus dianggarkan untuk belanja yang rutin tersebut, ruang belanja pemerintah mendatang dinilai menjadi tidak leluasa, terutama belanja terkait program prioritas pemerintah.
“Itu kan sebenarnya kita sudah bisa hitung, sehingga kalau muatannya terlalu banyak di dalam prioritas nasional yang mau dicapai, akhirnya semuanya tidak akan tercapai,” jelasnya.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
