Title,Scrapping Date,Article Date,Author,Link,Content
"Pemerintah Lelang 7 Seri SUN Selasa Depan, Simak Yieldnya",2024-09-25T04:21:16.893Z,19 June 2022 13:35 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220619%2F92%2F1545300%2Fpemerintah-lelang-7-seri-sun-selasa-depan-simak-yieldnya,"Bisnis.com, JAKARTA — Pemerintah akan menggelar lelang Surat Utang Negara (SUN) pada Selasa (21/6/2022) mendatang, untuk memenuhi sebagian dari target pembiayaan dalam APBN 2022.Berdasarkan data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Minggu (19/6/2022), pemerintah akan menawarkan tujuh seri yang terdiri dari SPN03220921 (new issuance), SPN12230622 (new issuance), FR0090 (reopening), FR0091 (reopening), FR0093 (reopening), FR0092 (reopening), dan FR0089 (reopening).Target indikatif dari lelang SUN 21 Juni 2022 ditetapkan senilai Rp20 triliun dan target maksimal senilai Rp30 triliun. Lelang SUN ini merupakan yang pertama kali setelah The Fed menaikkan suku bunganya sebesar 75 basis poin.Profil masing-masing seri yang akan dilelang sebagai berikut:Surat Perbendaharaan Negara seri SPN03220921 (Diskonto; 21 September 2022)Surat Perbendaharaan Negara seri SPN12230622 (Diskonto; 22 Juni 2023)Obligasi Negara Seri FR0090 (5,125%; 15 April 2027)Obligasi Negara Seri FR0091 (6,375%; 15 April 2032)Obligasi Negara Seri FR0093 (6,375%, ditentukan 4 Januari 15 Juli 2037)Obligasi Negara Seri FR0092 (7,125%; 15 Juni 2042)Obligasi Negara Seri FR0089 (6,87500%; 15 Agustus 2051)Penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia. Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Pemenang lelang yang mengajukan penawaran pembelian kompetitif (competitive bids) akan membayar sesuai dengan yield yang diajukan. Pemenang lelang yang mengajukan penawaran pembelian non-kompetitif (non-competitive bids) akan membayar sesuai dengan yield rata-rata tertimbang (weighted average yield) dari penawaran pembelian kompetitif yang dinyatakan menang.Pemerintah memiliki hak untuk menjual ketujuh seri SUN tersebut lebih besar atau lebih kecil dari jumlah indikatif yang ditentukan. SUN yang akan dilelang mempunyai nominal per unit sebesar Rp1.000.000.Baca JugaLagi! Sri Mulyani Akan Private Placement SBN Penempatan Dana Tax AmnestyKemenkeu: Waspadai Moderasi Permintaan Domestik SBNPada prinsipnya, semua pihak, baik investor individu maupun institusi, dapat menyampaikan penawaran pembelian (bids) dalam lelang. Namun dalam pelaksanaannya, penyampaian penawaran pembelian harus melalui Peserta Lelang sebagaimana diatur dalam PMK No. 168/PMK.08/2019 dan PMK No. 38/PMK.02/2020.Pelaksanaan lelang dilakukan berdasarkan Peraturan Menteri Keuangan Nomor 168/PMK.08/2019 tentang Lelang Surat Utang Negara di Pasar Perdana Domestik (PMK No. 168/PMK.08/2019) dan Peraturan Menteri Keuangan Nomor 38/PMK.02/2020 tentang Pelaksanaan Kebijakan Keuangan Negara untuk Penanganan Pandemi Corona Virus Disease 2019 (Covid-19) dan/atau Menghadapi Ancaman yang Membahayakan Perekonomian Nasional dan/atau Stabilitas Sistem Keuangan (PMK No. 38/PMK.02/2020).


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
DINAMIKA PASAR   : Aksi Jual Batasi Obligasi,2024-09-25T04:21:17.267Z,27 April 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220427%2F441%2F1527644%2Fdinamika-pasar-aksi-jual-batasi-obligasi,
"SUN Masih Akan Menarik Meski Burden Sharing Berlanjut, Ini Alasannya",2024-09-25T04:21:17.650Z,25 August 2021 06:57 WIB,Pandu Gumilar,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210825%2F92%2F1433682%2Fsun-masih-akan-menarik-meski-burden-sharing-berlanjut-ini-alasannya,"Bisnis.com, JAKARTA – Penerbitan Surat Utang Negara (SUN) masih akan menarik meskipun Kementerian Keuangan dan Bank Indonesia telah menyetujui berlanjutnya burden sharing. Direktur Panin Asset Management (Panin AM) Rudiyanto mengatakan SUN pasca penetapan burden sharing masih akan menarik. Pasalnya, tahun depan pemerintah akan memperkecil jumlah penerbitan utang karena efisiensi APBN.“Yang menjadi perhatian menurut saya lebih rencana penerbitan tahun depan yang lebih sedikit dari perkiraan sehingga menjadi sentimen positif bagi harga SUN,” katanya kepada Bisnis pada Selasa (24/8/2021).Rudiyanto menambahkan saat ini MI mengincar surat utang yang tidak lebih dari 10 tahun sedangkan obligasi korporasi antara 3 sampai 5 tahun. Menurutnya tapering akan menjadi sentimen negatif pada saat ini.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Maka itu, selama inflasi dapat dipertahankan rendah maka SUN indonesia masih menarik dibandingkan negara lain.Sementara itu, Senior Economist Samuel Sekuritas Fikri C. Permana mengatakan investor perlu memperhatikan burden sharing akan membuat penawar selain Bank Indonesia kemungkinan tersisih. Namun itu membuat yield menjadi lebih baik dan harga lebih terjaga.Baca JugaBurden Sharing Tak Pengaruhi Pasar SUN, Ini PenjelasannyaIni Alasan Pemerintah dan BI Lanjutkan Burden Sharing hingga 2022“Dengan kebijakan itu, SUN yang dibeli dalam bentuk rupiah membuat tindakan preventif bila tapering terjadi sehingga capital outflow bisa diserap Bank Indonesia dan menjaga stabilitas rupiah dan yield SUN,” katanya.Head of Investment Research Infovesta Utama Wawan Hendrayana mengatakan tidak ada efek signifikan atas burden sharing terhadap pasar SUN.“Obligasi yang dibeli sepengetahuan saya berbeda dengan yang sudah beredar di pasar. Kebutuhan pemerintah atas pendanaan juga masih besar sehingga lelang sun masin akan terus ada,” katanya.Wawan mengatakan selama ini tenor yang menarik buat investor berjangka waktu 5 hingga 20 tahun, adapun transaksi terbesar umumnya pada SUN dengan tenor 10 tahun. Selain itu, Wawan menilai efek tapering baru akan terasa tahun depan.“Memang ada kekuatiran tapering akan membuat dana asing itu keluar. Tapi sejauh ini investor asing masih mencatatkan net buy,” pungkasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PROYEKSI PASAR OBLIGASI PEMERINTAH  : Harga SUN Diprediksi Menguat,2024-09-25T04:21:17.925Z,05 July 2021 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20210705%2F441%2F1413583%2Fproyeksi-pasar-obligasi-pemerintah-harga-sun-diprediksi-menguat,
"Yield Obligasi AS Belum Bosan Naik, Harga SUN Berpotensi Semakin Terkapar",2024-09-25T04:21:18.301Z,22 March 2021 07:52 WIB,Finna U. Ulfah,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210322%2F92%2F1370532%2Fyield-obligasi-as-belum-bosan-naik-harga-sun-berpotensi-semakin-terkapar,"Bisnis.com, JAKARTA – Harga surat utang negara (SUN) diproyeksi semakin turun seiring dengan berlanjutnya tren kenaikan imbal hasil obligasi AS.Berdasarkan data worldgovernmentbonds.com, imbal hasil atau yield SUN Indonesia untuk tenor 10 tahun berada di level 6,88 persen, naik signifikan dari posisi akhir 2020 lalu di level 5,97 persen. Direktur MNC Asset Management Edwin Sebayang mengatakan bahwa yield SUN untuk tenor 10 tahun diperkirakan terus naik dan bisa melebih 7 persen.Hal itu pun seiring dengan perkiraan yield obligasi AS untuk tenor 10 tahun yang bisa mencapai 2,4 persen atau lebih sejalan dengan perkiraan naiknya inflasi AS ke level 2,4 persen.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Adapun, pada penutupan perdagangan Jumat (19/3/2021), yield obligasi AS untuk tenor 10 tahun berada di posisi 1,732 persen.“Dampak dari hal itu sudah bisa diperkirakan, harga obligasi akan semakin terkapar alias turun,” ujar Edwin seperti dikutip dari publikasi risetnya, Senin (22/3/2021).Baca JugaTren Kenaikan Yield Obligasi Tekan Kinerja Reksa Dana Pendapatan TetapSebagai informasi, yield SUN dengan harga obligasi berbanding terbalik. Ketika yield turun artinya harga obligasi meningkat dan berlaku sebaliknya.Di sisi lain, tren kenaikan yield obligasi AS pada pekan lalu sempat tertahan didukung pernyataan The Fed.Gubernur The Fed Jerome Powell dan rekan-rekannya tetap bertahan dengan sikap dovish atau kebijakan moneter yang lebih longgar pada akhir pertemuan Rabu (17/3/2021), meski prospek ekonomi Amerika Serikat meningkat dan kekhawatiran inflasi meningkat di pasar keuangan. Sementara lebih banyak pejabat The Fed melihat awal penarikan kebijakan moneter ultra-easy, Powell menekankan ini tetap merupakan pandangan minoritas. Pesan itu membantu secara singkat membendung kenaikan suku bunga obligasi yang tak henti-hentinya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Tren Kenaikan Yield Obligasi Tekan Kinerja Reksa Dana Pendapatan Tetap,2024-09-25T04:21:18.705Z,21 March 2021 12:54 WIB,Dhiany Nadya Utami,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210321%2F92%2F1370301%2Ftren-kenaikan-yield-obligasi-tekan-kinerja-reksa-dana-pendapatan-tetap,"Bisnis.com, JAKARTA — Tren kenaikan imbal hasil kian menekan harga surat utang negara (SUN). Hal ini turut berbuntut pada kinerja reksa dana pendapatan tetap.Berdasarkan data worldgovernmentbonds.com, imbal hasil atau yield SUN Indonesia untuk tenor 10 tahun berada di level 6,88 persen, naik signifikan dari posisi akir 2020 lalu di level 5,97 persen.Pergerakan yield selalu berbanding terbalik dengan harga obligasi. Kenaikan yield mencerminkan adanya pelemahan harga obligasi. Sebaliknya, jika yield tengah menurun artinya harga obligasi sedang menguat.Sementara itu, mengacu pada data Infovesta Utama per 18 Maret 2021, kinerja indeks reksa dana pendapatan tetap sepanjang tahun berjalan negatif semakin dalam, yakni mencapai -1,92 persen secara year to date (ytd).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Padahal, sepanjang 2020 lalu, indeks reksa dana pendapatan tetap berhasil menjadi reksa dana yang membukukan kinerja paling moncer dengan imbal hasil 8,99 persen secara tahunan.Head Market Research Infovesta Utama Wawan Hendrayana mengatakan tren pergerakan yield obligasi Indonesia lebih dipengaruhi oleh faktor eskternal, yakni tren kenaikan imbal hasil obligasi AS alias US Treasury.Baca JugaSri Mulyani Rilis Surat Utang, Nilai Tukar Rupiah Diramal Kembali Berotot Pekan DepanIndeks Reksa Dana Saham Perkasa Pekan Lalu, Cek Produk Paling Moncer di SiniSeperti diketahui, US Teasury menjadi kiblat bagi pergerakan pasar obligasi dunia, termasuk Indonesia. Alhasil, ketika yield obligasi negara Paman Sam tersebut terus naik, yield SUN pun ikut terkerek dan menekan harga.“Padahal awal tahun sudah dekat 6 persen, tapi karena ngikut US Treasury, jadi pada ikut naik. Makanya harganya turun terus dan kinerja reksa dana pendapatan tetap juga ikut turun,” kata Wawan ketika dihubungi Bisnis, akhir pekan lalu.Wawan mengatakan saat ini pergerakan yield dan harga SUN tidak mencerminkan fundamentalnya, sebab dia menilai kondisi Indonesia saat ini cenderung stabil, baik dari data-data ekonomi maupun progress pemulihan dari pandemi.""Suku bunga juga kembali diturunkan, harusnya ini bisa mengangkat harga obligasi,"" imbuhnya.Menurutnya, untuk kondisi Indonesia saat ini, yang mana inflasi masih di bawah 2 persen dan suku bunga acuan yang berada di level 3,50 persen, yield SUN yang wajar ada di kisaran 5,5—6 persen.“Artinya saat ini harga SUN sedang murah sekali, bagi yang mau masuk menarik sekali, tapi bagi yang sudah pegang dari akhir tahun atau awal tahun ini memang cenderung masih loss karena penurunan harga,” tuturnya.Wawan mengatakan agar para investor yang sudah memiliki instrumen berbasis SUN seperti reksa dana pendapatan tetap agar bersabar. Pasalnya, dia memproyeksikan harga SUN akan mulai rebound ketika tren kenaikan US Treasury sudah reda.“US Treasury sudah cukup tinggi ya, saya kira sekarang akan terbatas kenaikannya. Untuk sampai 2 persen itu sulit,” kata Wawan.Di sisi lain, jelang tengah tahun juga akan ada pembayaran kupon obligasi, sehingga dapat turun mengerek potensi keuntungan. Seperti diketahui, imbal hasil reksa dana pendapatan tetap memiliki dua sumber yakni dari selisih harga dan dari pendapatan kupon.“Yang sekarang rugi sekitar 1,5 persenan kalau kupon sudah masuk bisa naik lagi, bisa tetap untung. Karena itu, sebetulnya sekarang ini pas sekali kalau mau masuk atau tambah [kepemilikan RD pendapatan tetap],” imbuhnya lagi.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
IMBAS PERGERAKAN OBLIGASI AS : Harga SUN Bisa Kembali Turun,2024-09-25T04:21:19.250Z,18 March 2021 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20210318%2F442%2F1369005%2Fimbas-pergerakan-obligasi-as-harga-sun-bisa-kembali-turun,
PROSPEK LELANG SUN : Pelaku Pasar Bakal Lebih Waspada,2024-09-25T04:21:19.532Z,16 March 2021 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20210316%2F441%2F1367967%2Fprospek-lelang-sun-pelaku-pasar-bakal-lebih-waspada,
"Pasar SUN Ditinggalkan, Pelaku Pasar Berharap pada Bank Indonesia",2024-09-25T04:21:19.945Z,23 September 2020 13:30 WIB,Dwi Nicken Tari,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20200923%2F92%2F1295508%2Fpasar-sun-ditinggalkan-pelaku-pasar-berharap-pada-bank-indonesia,"Bisnis.com, JAKARTA - Pelaku pasar terkonfirmasi meninggalkan pasar Surat Utang Negara (SUN), terlihat dari semakin sepi penawaran masuk dalam lelang obligasi pemerintah. Kini, stimulus dari Bank Indonesia untuk menenangkan investor sangat dinanti.Direktur Riset Pilarmas Investindo Sekuritas Maximilianus Nico Demus mengatakan bahwa total penawaran masuk dalam lelang kemarin, Selasa (22/9/2020), menjadi sebuah gambaran penting situasi pasar obligasi saat ini.“Lelang yang diadakan pemerintah kemarin terasa sepi, jangankan di atas rentang Rp 50 triliun – Rp 75 triliun, ini dibawah Rp 50 triliun,” kata Nico dalam riset harian, Rabu (23/9/2020).Berdasarkan data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu RI, total penawaran yang masuk dalam lelang Surat Berharga Negara (SBN) pada 22 September 2020 tercatat sebesar Rp46,11 triliun atau lebih rendah dibandingkan lelang sebelumnya senilai Rp52,26 triliun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Namun demikian, Nico meyakini bahwa kondisi pasar obligasi yang kurang semarak itu tidak akan dibiarkan saja. Pelaku pasar pun berharap kepada Bank Indonesia yang selama ini selalu siap sedia menenangkan pasar.“Apalagi BI baru menyerap obligasi senilai U$6,7 miliar dari total U$27 miliar yang dijanjikan,” imbuh Nico.Baca JugaLelang SBN Terus Sepi, Pasar Butuh Stimulus TambahanLelang SUN Kurang Meriah, Begini Kata KemenkeuKetika BI masuk ke pasar obligasi, diharapkan harga SUN dapat lebih stabil karena bank sentral akan menopang pergerakan pasar.Di sisi lain, investor nonresiden belum juga kembali ke pasar obligasi Tanah Air. Nico menunjukkan investor asing masih keluar-masuk dalam ukuran kecil sekitar 0,1 persen.Adapun kepemilikan investor asing atas SBN telah turun hingga sekitar 28 persen dari level biasa sekitar 38 persen-40 persen. Saat ini, investor domestik dari kalangan perbankan pun telah menggantikan posisi investor asing sebagai pemegang dominan SUN.“Namun dapat kita katakan bahwa tahun ini mungkin capital outflow sudah keluar cukup besar,” ujar Nico.Ke depan, kondisi pasar obligasi akan sangat bergantung dengan keberhasilan pemerintah mengendalikan penyebaran virus Covid-19.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Bank Indonesia Borong SUN Rp82 Triliun, Begini Imbasnya ke Harga Obligasi RI",2024-09-25T04:21:20.327Z,07 August 2020 17:44 WIB,M. Nurhadi Pratomo,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20200807%2F92%2F1276454%2Fbank-indonesia-borong-sun-rp82-triliun-begini-imbasnya-ke-harga-obligasi-ri,"Bisnis.com,JAKARTA — Pergerakan imbal hasil atau yield surat utang negara di pasar sekunder bergerak naik sehari setelah pemerintah menerbitkan empat seri kepada Bank Indonesia dengan skema private placement. Berdasarkan data Bloomberg, imbal hasil surat utang negara (SUN) tenor 10 tahun Indonesia parkir di level 6,77 persen pada Jumat (7/8/2020) pukul 17:10 WIB. Posisi itu naik dari 6,760 persen pada akhir sesi Kamis (6/8/2020).Sementara itu, yield SUN tenor 5 tahun Indonesia mengalami kenaikan dari 5,845 persen menjadi 5,850 persen. Selanjutnya, yield SUN tenor 15 tahun Indonesia juga stagnan di level 7,232 persen. Adapun, yield SUN tenor 20 tahun Indonesia tidak berubah dari posisi sebelumnya di level 7,370 persenSebagai catatan, pergerakan harga obligasi dan yield obligasi saling bertolak belakang. Kenaikan harga obligasi akan membuat posisi yield mengalami penurunan sementara penurunan akan menekan tingkat imbal hasil.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) melaporkan total nominal penerbitan empat seri surat utang negara (SUN) itu senilai Rp82,10 triliun kepada Bank Indonesia (BI) pada Kamis (6/8/2020). Penerbitan merupakan transaksi yang pertama untuk pemenuhan sebagian pembiayaan public goods. Total kebutuhan pembiayaan public goods senilai Rp397,56 triliun. Anggaran itu meliputi pembiayaan untuk belanja kesehatan, perlindungan sosial, serta pembiayaan sektor Kementerian atau Lembaga dan Pemerintah Daerah dalam penanganan Covid-19 serta pemulihan ekonomi nasional (PEN).Baca JugaWow! BI Borong SUN via Private Placement Rp82,10 TriliunPemerintah Incar hingga Rp40 Triliun Lewat Lelang 7 Seri SUNSiap-Siap Sukuk Ritel SR013 Segera Ditawarkan, Berapa Kuponnya?“Transaksi ini merupakan implementasi dari skema burden sharing sebagai wujud sinergi pemerintah dan Bank Indonesia dalam upaya pembiayaan penanganan dampak pandemi Covid-19 dan pemulihan ekonomi nasional,” ujar Dirjen Pengelolaan Pembiayaan dan Risiko DJPPR Kemenkeu Luky Alfirman melalui keterangan resmi yang diterima, Kamis (6/8/2020).Dia menjelaskan bahwa transaksi private placement dilakukan dengan berpegang kepada beberapa prinsip utama. Pertama, menjaga kredibilitas dan integritas pengelolaan kebijakan fiskal dan moneter.Kedua, menjaga fiscal space dan keberlanjutan dalam jangka menengah. Ketiga, menerapkan tata kelola yang prudent, transparan, dan akuntabel.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
