Title,Scrapping Date,Article Date,Author,Link,Content
"Sri Mulyani: Keseimbangan Primer Surplus Rp92,2 Triliun, Pertama Kali Sejak 2012",2024-09-25T06:04:36.407Z,02 January 2024 16:20 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240102%2F9%2F1728816%2Fsri-mulyani-keseimbangan-primer-surplus-rp922-triliun-pertama-kali-sejak-2012,"Bisnis.com, JAKARTA – Kementerian Keuangan mencatat keseimbangan primer Anggaran Pendapatan dan Belanja Negara (APBN) pada 2023 surplus sebesar Rp92,2 triliun.
Menteri Keuangan Sri Mulyani Indrawati mengatakan bahwa surplus tersebut merupakan yang pertama kalinya sejak 2012. Keseimbangan primer merupakan total pendapatan negara yang dikurangi belanja negara, di luar pembayaran bunga utang. 
“Kita tutup keseimbangan primer di Rp92,2 triliun surplus. Ini surplus keseimbangaan primer pertama kali sejak 2012,” katanya dalam Konferensi Pers APBN Kita, Selasa (2/1/2024).
Sri Mulyani menjelaskan, keseimbangan primer pada 2023 sebelumnya didesain defisit sebesar Rp156,8 triliun dalam APBN.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Lebih lanjut, target defisit keseimbangan primer direvisi menjadi sebesar Rp38,5 triliun, lebih rendah dari target dalam APBN.
“Sekarang di 2023 keseimbangan primer positif Rp92,2 triliun, ini pembalikan yang luar biasa,” jelas Sri Mulyani.Baca JugaSri Mulyani: APBN 2023 Ditutup dengan Husnul KhotimahSri Mulyani Happy, Defisit APBN 2023 Cuma Rp347,6 Triliun
Sejalan dengan perkembangan tersebut, APBN pada 2023 membukukan defisit sebesar Rp347,6 triliun pada akhir 2023. Defisit ini setara dengan 1,65% dari produk dometik bruto (PDB). 
Defisit APBN pada 2023 ini pun lebih rendah dibandingkan dengan target pada APBN yang sebesar 2,84% dari PDB dan target Perpres No. 75/2023 sebesar 2,27% dari PDB.
“Pada 2022 kita lihat kondisinya sudah mulai konsolidasi, 2023 ini konsolidasinya jauh lebih cepat,” kata Sri Mulyani.
Perbesar

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PROSPEK KESEIMBANGAN PRIMER   : Garis Surplus yang Kian Menjauh,2024-09-25T06:04:36.808Z,27 December 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231227%2F433%2F1727378%2Fprospek-keseimbangan-primer-garis-surplus-yang-kian-menjauh,
APBN 2024 : Mimpi Manis Keseimbangan Primer,2024-09-25T06:04:37.101Z,24 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231024%2F433%2F1707121%2Fapbn-2024-mimpi-manis-keseimbangan-primer,
PROSPEK APBN   : Arah Keseimbangan Primer Meleset,2024-09-25T06:04:37.407Z,15 May 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230515%2F433%2F1655854%2Fprospek-apbn-arah-keseimbangan-primer-meleset,
DEFISIT KESEIMBANGAN PRIMER   : Waspadai Risiko ‘Gali Lubang Tutup Lubang’,2024-09-25T06:04:37.718Z,04 January 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230104%2F433%2F1614790%2Fdefisit-keseimbangan-primer-waspadai-risiko-gali-lubang-tutup-lubang,
APBN 2022   : Berakhirnya Dekade Defisit Keseimbangan Primer,2024-09-25T06:04:38.075Z,03 January 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230103%2F433%2F1614383%2Fapbn-2022-berakhirnya-dekade-defisit-keseimbangan-primer,
"Jika Tak Cicil Bunga Utang, APBN Surplus Sementara Rp104,1 Triliun",2024-09-25T06:04:38.466Z,06 November 2022 14:27 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20221106%2F9%2F1595299%2Fjika-tak-cicil-bunga-utang-apbn-surplus-sementara-rp1041-triliun,"Bisnis.com, BOGOR — Kementerian Keuangan mencatatkan kesimbangan primer pada APBN 2022 surplus sebesar Rp104,1 triliun, berdasarkan data sementara hingga 31 Oktober 2022.
“Posisi terakhir sampai dengan 31 Oktober 2022 sementara keseimbangan primer masih positif,” kata Staf Ahli Menteri Keuangan Bidang Pengeluaran Negara Made Arya Wijaya, Jumat (4/11/2022).
Keseimbangan primer merupakan selisih dari total pendapatan negara dikurangi belanja negara di luar pembayaran bunga utang. Posisi keseimbangan primer yang surplus menunjukkan pemerintah mampu menjaga pendapatan lebih besar dari pengeluaran.  
Made menjelaskan, total pendapatan negara dan hibah sementara per 31 Oktober 2022 adalah sebesar Rp2.163,9 triliun, atau mencapai 95,49 persen dari target Rp2.266,2 triliun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Jika dirincikan, penerimaan perpajakan sementara telah mencapai Rp1.684,5 triliun atau sebesar 94,4 persen dari target APBNP Rp1.784,0 triliun.
Sementara itu, penerimaan negara bukan pajak tercatat telah mencapai Rp478,8 triliun atau 99,4 persen dari target APBNP sebesar Rp481,6 triliun.Baca JugaMenko Airlangga Pede Defisit APBN Kurang dari 3 Persen pada 2023Pembengkakan Biaya Kereta Cepat Ditanggung APBN? Ini Kata KemenkeuBoncos APBN di Proyek Kereta Cepat Jakarta-Bandung
Di sisi lain, realisasi belanja pemerintah hingga 31 Oktober 2022 sementara tercatat sebesar Rp2.376,0 triliun atau mencapai 76,49 persen dari pagu anggaran Rp3.106,4 triliun.
Perinciannya, belanja pemerintah pusat telah mencapai Rp1.694,7 triliun, atau 73,6 persen dari pagu anggaran sebesar Rp2.301,6 triliun, dengan belanja kementerian dan lembaga (K/L) mencapai Rp754,1 triliun dan belanja non-K/L sebesar Rp940,5 triliun.
Untuk transfer ke daerah dan dana desa, tercatat telah mencapai Rp681,3 triliun atau 84,7 persen dari pagu anggaran Rp804,8 triliun.
Made optimistis belanja negara yang masih tersisa sekitar Rp1.200 triliun pada kuartal IV/2022 akan terakselerasi, mengingat pola belanja pemerintah secara historis biasanya meningkat signifikan pada akhir tahun.
“Belanja sampai akhir September masih ada alokasi Rp1.200 triliun, tapi sebagai gambaran, data historis menunjukkan transaksi di 3 bulan terakhir trennya selalu berkisar antara Rp900 triliun hingga Rp970 triliun. Ini 5 tahun terakhir datanya,” katanya.
Dia menjelaskan, sebagian sisa anggaran belanja tersebut akan digunakan untuk membayar subsidi dan kompensasi energi. Tercatat, pemerintah telah membayarkan kompensasi energi sebesar Rp163 triliun kepada PT Pertamina (Persero) dan PT PLN (Persero) pada akhir Oktober lalu.
Selain itu, pemerintah juga akan melakukan pembayaran kontrak proyek-proyek yang jatuh tempo pada Desember 2022. 
“Makanya kita optimistis Rp1.200  triliun akan terserap, karena normalnya kebutuhan belanja di kuartal IV hampir Rp900 triliun karena pola belanja di kita dengan belanja barang dan belanja modal yang dilaksanakan kontraktual, jatuh temponya di Desember,” jelas Made.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENGELOLAAN APBN   : Target Pelik Keseimbangan Primer,2024-09-25T06:04:38.755Z,01 November 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221101%2F433%2F1593426%2Fpengelolaan-apbn-target-pelik-keseimbangan-primer,
"Tanpa Hitung Bayar Utang, APBN September 2022 Surplus Rp339,4 Triliun",2024-09-25T06:04:39.116Z,21 October 2022 16:14 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20221021%2F10%2F1590102%2Ftanpa-hitung-bayar-utang-apbn-september-2022-surplus-rp3394-triliun,"Bisnis.com, JAKARTA — Anggaran pendapatan dan belanja negara (APBN) mencatatkan keseimbangan primer surplus  Rp339,4 triliun per September 2022. Keseimbangan primer adalah selisih dari total pendapatan negara dikurangi belanja negara di luar pembayaran bunga utang. Dengan posisi keseimbangan primer surplus ini menunjukkan pemerintah telah mampu menjaga pendapatan lebih besar dari pengeluaran.  Menteri Keuangan Sri Mulyani menyebutkan keseimbangan primer pada September 2022 ini naik dari posisi Agustus 2022 yang surplus Rp342,1 triliun. Sementara jika dibandingkan pada periode yang sama tahun lalu, capaian ini membalik keadaan karena pada tahun lalu keseimbangan primer per September 2021 negatif Rp198,3 triliun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Seiring membaiknya keseimbangan primer, Sri Mulyani juga menjabarkan APBN per September 2022 tetap mengalami surplus sebesar Rp60,9 triliun.  Meski demikian, capaian ini turun dari posisi Agustus 2022 yang surplus Rp107,4 triliun atau 0,58 persen terhadap PDB. Dia menjabarkan, pada bulan lalu pendapatan negara mencapai Rp1.974,7 triliun dan belanja negara sebesar Rp1.913,9 triliun. Baca JugaBu Sri Mulyani Cuan! Penerimaan Pajak Per September Melonjak 54,2 PersenPemerintahan Jokowi Belanja Rp1.913 Triliun hingga September 2022, Begini PerinciannyaSri Mulyani Beberkan APBN Kita, Pede Pertumbuhan Ekonomi di Atas 5,5 PersenPendapatan negara tercatat tumbuh 45,7 persen (year-on-year/YoY) dan belanja negara naik 5,9 persen (YoY).“Surplus ini sudah lebih rendah dari bulan sebelumnya. Namun, ini adalah situasi yang jauh lebih baik dibandingkan September tahun lalu kita defisit Rp451,9 triliun,” kata Sri Mulyani dalam konferensi pers APBN Kita, Jumat (21/10/2022).Sri Mulyani menyebut bahwa sisa lebih pembiayaan anggaran (SiLPA) per September 2022 mencapai Rp490,7 triliun. Angkanya bertambah dari posisi Agustus 2022 senilai Rp394,2 triliun dan naik tinggi dari posisi September 2021 yakni Rp169,9 triliun. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Mantap! Keseimbangan Primer APBN Surplus Rp220 Triliun per April 2022,2024-09-25T06:04:39.489Z,24 May 2022 07:35 WIB,Wibi Pangestu Pratama,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20220524%2F10%2F1536233%2Fmantap-keseimbangan-primer-apbn-surplus-rp220-triliun-per-april-2022,"Bisnis.com, JAKARTA — Keseimbangan primer dari anggaran pendapatan dan belanja negara atau APBN per April 2022 tercatat surplus hingga Rp220,9 triliun. Pembiayaan pun mampu dikurangi karena kondisi APBN yang surplus.Menteri Keuangan Sri Mulyani Indrawati menjelaskan bahwa keseimbangan primer April 2022 jauh berbanding terbalik dari kondisi yang sama tahun lalu. Pada April 2021 keseimbangan primer tercatat defisit Rp36,5 triliun dan pada akhir tahunnya menjadi defisit Rp431,5 triliun.Posisi keseimbangan primer pada April 2022 pun naik pesat dari posisi Maret 2022 senilai Rp94,7 triliun. Menurut Sri Mulyani, kinerja positif itu menunjukkan pemulihan ekonomi yang baik sehingga menunjang penguatan keuangan negara.""Jadi secara umum kalau kita lihat postur APBN sampai dengan akhir April 2022 dalam kondisi sangat surplus, sangat besar, baik dari sisi keseimbangan primer maupun dari sisi total balance-nya,"" ujar Sri Mulyani dalam konferensi pers APBN KiTa, Senin (23/5/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            APBN per April 2022 mencatatkan surplus Rp103,1 triliun atau setara dengan 0,58 persen terhadap produk domestik bruto (PDB). Kinerja itu tumbuh dari posisi Maret 2022 yang surplus Rp10,3 triliun atau 0,06 persen terhadap PDB, dan berbalik positif dari posisi April 2021 yang defisit Rp138,2 triliun.Sri Mulyani menyebut bahwa kondisi keuangan negara yang surplus membuat pembiayaan anggaran turun. Tren itu akan coba dipertahankan karena Indonesia menuai berkah penerimaan dari tingginya harga komoditas yang menopang terjadinya surplus.Baca JugaPenerimaan Pajak Tumbuh 51,49 Persen, Sri Mulyani: Berkah Komoditas & Low Base Effect""Konsekuensinya [APBN surplus], pembiayaan anggaran jadi drop karena kita dalam kondisi bagus. Jadi hanya Rp142,7 triliun [pada April 2022], tahun lalu [April 2021] Rp397 triliun,"" kata Sri Mulyani.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
