Title,Scrapping Date,Article Date,Author,Link,Content
"Penerbitan SBN Terbatas, Dana Pensiun Pilih Pasar Sekunder",2024-09-24T15:43:21.588Z,17 April 2023 17:35 WIB,Artha Adventy,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230417%2F92%2F1647782%2Fpenerbitan-sbn-terbatas-dana-pensiun-pilih-pasar-sekunder,"Bisnis.com, JAKARTA – Penerbitan Surat Berharga Negara di kuartal II/2023 lebih sedikit dibanding kuartal sebelumnya di tengah permintaan dan valuasi yang meningkat. Terbatasnya lelang SBN mendorong dana pensiun memilih pasar sekunder untuk memenuhi kewajiban minimal 30 persen alokasi investasi ke SBN. Head of Research & Market Information Department PT Penilai Harga Efek Indonesia (PHEI), Roby Rushandie mengatakan prospek di kuartal II/2023, valuasi SBN berpeluang meningkat. Adapun target lelang yang lebih rendah karena jumlah pekan pelaksanaan lelang lebih sedikit akibat adanya libur panjang lebaran di April.“Dengan target lelang yang lebih rendah dapat mendorong pelaksanaan lelang lebih ramai karena demand lebih tinggi,” katanya saat dihubungi Bisnis, Senin (17/4/2023). Roby juga mengatakan ada beberapa katalis yang menjadi penopang menariknya SBN di kuartal II ini. Katalis berasal dari ekspektasi The Fed yang diperkirakan mempertahankan sinyal dovish, ditunjang pula dengan tren melandainya inflasi AS, pelemahan mata uang USD, serta suku bunga BI yang masih dipertahankan.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Namun risiko pasar diperkirakan masih membayangi pasar di mana masih terdapat skenario pengetatan moneter lebih lanjut oleh The Fed tergantung perkembangan inflasi dan ekonomi di AS serta kondisi di dalam negeri.Sementara itu, pemerintah menargetkan penggalangan dana Rp130 triliun pada kuartal II/2023, nyaris separuh dari kebutuhan dana pada kuartal I/2023 yang tercatat. Di sisi lain, pekan lalu hingga 13 April 2023, dana asing masuk Rp8 triliun ke pasar SBNBaca JugaMantap! Selama 4 Hari Ada Rp8,21 Triliun Aliran Modal Asing Masuk RIBenarkah Reksa Dana Kian Ditinggalkan?Sri Mulyani Sebut Kepemilikan SBN oleh Asing Makin TurunPemerintah menargetkan penggalangan dana Rp130 triliun pada kuartal II/2023, sementara itu pada kuartal I/2023 SBN yang diterbitkan mencapai Rp295,45 Triliun. Di sisi lain, pekan lalu hingga 13 April 2023, dana asing masuk Rp8 triliun ke pasar SBN. Ketua Perkumpulan Asosiasi Dana Pensiun Indonesia (ADPI) Ali Farmadi mengungkapkan hingga saat ini hampir seluruh dana pensiun telah memenuhi kewajiban minimum 30 persen penempatan dananya ke dalam portofolio SBN sesuai dengan aturan POJK No.1/POJK.05/2016. “Hal ini dimungkinkan karena ketentuan kewajiban dimaksud dapat dipenuhi dengan alternatif pembelian obligasi/sukuk yang diterbitkan BUMN/BUMD atau anak perusahaannya di mana penggunaannya untuk pembiayaan infrastruktur (POJK No.36/POJK.05/2016) dengan ketentuan paling tinggi 50 persen dari kewajiban tersebut,” katanya menjawab pertanyaan Bisnis, Senin (17/4/2023). Namun apabila Dapen memerlukan pembelian SBN dikarenakan kebutuhan pemenuhan target internal atau sesuai arahan investasi masing-masing di tengah terbatasnya lelang SBN, maka Dapen juga dapat membeli melalui pasar sekunder. “Sehingga lebih fleksibel bagi Dapen untuk mengatur timing pembelian dan target return yang diharapkan,” kata Ali. Pada pemilihan SBN untuk kebutuhan dana pensiun, Ali menyebut pihaknya membagi menjadi dua kriteria yaitu AFS atau HTM. “Untuk pembelian SBN AFS, kami prefer tenor seri benchmark maksimal tenor 10 tahun dengan target yield tertentu. Pembatasan tenor SBN AFS maksimal 10Y ini dimaksudkan sebagai Langkah mitigasi risiko pasar,” jelasnya. Sementara untuk pembelian SBN HTM dilakukan apabila terdapat tenor yang sesuai dengan jatuh tempo kewajiban MP Peserta dan yield yang diharapkan (Maturity Profile Matching). 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Target Lelang Dua Seri SBN Dipatok Tinggi, Bagaimana Prospeknya?",2024-09-24T15:43:21.993Z,18 January 2023 16:05 WIB,Setyo Aji Harjanto,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230118%2F192%2F1619412%2Ftarget-lelang-dua-seri-sbn-dipatok-tinggi-bagaimana-prospeknya,"Bisnis.com, JAKARTA - Pemerintah mengakui optimistis penyerapan dua seri surat berharga negara (SBN) ritel, SBR012 T2 dan SBR012 T4 bakal tetap tinggi. Kedua SBN tersebut akan mulai ditawarkan pada Kamis (19/1/2023) besok.Direktur Surat Utang Negara (SUN) Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan Deni Ridwan mengatakan tingkat kupon floor batas bawa akan jadi daya tarik bagi investor.Diketahui, SBR012 T4 dan SBR012 T2 memiliki kupon mengambang dengan tingkat minimal (floating with floor) mengacu pada suku bunga acuan BI 7-Day Reverse Repo Rate.Untuk SBR012 T4 memiliki tenor 4 dengan tingkat kupon minimal (floor) 6,35 persen. Sementara itu, SBR012 T2 bertenor 2 tahun dengan floor 6,35 persen.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            ""Dengan tingkat kupon floor cukup menarik, kami optimis masyarakat akan menyambut baik penerbitan SBR012-T2 dan SBR012-T4, yang mulai ditawarkan pada tanggal 19 Januari - 9 Februari 2023,"" kata Deni kepada Bisnis, Rabu (18/1/2023).Meski meyakini minat investor akan tinggi, Deni masih belum mengungkapkan target penawaran terhadap dua seri SBN ritel ini. Deni juga meyakini  SBR012 T4, bakal tetap diminati oleh investor meski bertenor panjang. Hal ini berkaca dari tingginya pertumbuhan kepemilikan SBN non-ritel seri FR dan PBS.Baca JugaPemerintah Terbitkan Dua SBN Ritel Besok, Tawarkan Kupon di Atas 6 PersenSBN Ritel Seri SBR012 Segera Rilis, Kupon Diperkirakan di Bawah 6 Persen""Misalnya yg bertenor 10, 15 hingga 20 tahun,"" kata Deni.Lebih lanjut, Deni menyebut pada masa penawaran SBR012 T2 dan SBR012 T4, tak ada SBN ritel yang akan jatuh tempo. Berdasarkan informasi yang dihimpun Bisnis, SBN ritel yang paling dekat jatuh temponya pada Maret 2023 mendatang.""Pada masa penawaran ini, tidak ada SBN Ritel yang akan jatuh tempo,"" katanya.Sebelumnya, Pemerintah akan menerbitkan surat berharga negara (SBN) ritel seri pertama di 2023 pada Kamis (19/1/2023). Ada dua seri yang akan dilelang pemerintah yakni SBR012 T2 dan SBR012 T4.Berdasarkan data di laman Direktorat Jenderal Pengelolaan dan Pembiayaan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) kedua SBR tersebut akan ditawarkan secara online. Kedua seri Savings Bond Ritel tersebut memiliki kupon mengambang dengan tingkat minimal (floating with floor) mengacu pada suku bunga acuan BI 7-Day Reverse Repo Rate.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
LELANG SBN 2022 : Awan Mendung Penggalangan Dana,2024-09-24T15:43:22.401Z,07 December 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221207%2F441%2F1605946%2Flelang-sbn-2022-awan-mendung-penggalangan-dana,
PENGGALANGAN DANA PEMERINTAH   : Berebut SBN Jelang Akhir Tahun,2024-09-24T15:43:22.842Z,29 November 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221129%2F441%2F1603150%2Fpenggalangan-dana-pemerintah-berebut-sbn-jelang-akhir-tahun,
"LELANG SBN   : Pemerintah Tarik  Rp8,22 Triliun",2024-09-24T15:43:23.135Z,12 October 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221012%2F441%2F1586616%2Flelang-sbn-pemerintah-tarik-rp8-22-triliun,
"LELANG SBN   : Pemerintah Tarik  Rp8,22 Triliun",2024-09-24T15:43:23.555Z,12 October 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221012%2F441%2F1586617%2Flelang-sbn-pemerintah-tarik-rp8-22-triliun,
"Asing Masih Jauh, Dana Domestik Serap Obligasi Pemerintah Dulu",2024-09-24T15:43:24.170Z,16 August 2022 06:37 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220816%2F92%2F1567241%2Fasing-masih-jauh-dana-domestik-serap-obligasi-pemerintah-dulu,"Bisnis.com, JAKARTA — Pemerintah akan membuka penawaran seri Surat Berharga Negara (SBN) ritel jenis sukuk ritel (SR) seri SR017 pada 19 Agustus mendatang. Ekonom memperkirakan dana yang terhimpun bisa mencapai Rp22 triliun atau di atas penyerapan sukuk ritel sebelumnya.Berdasarkan unggahan pada akun Instagram Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan yang diakses pada Senin (15/8/2022), SR017 merupakan SBN Ritel keempat yang akan diterbitkan pemerintah tahun ini."
"Kemenkeu Kurangi Target Penerbitan Tahun Ini, Lelang SUN Masih Ramai Investor",2024-09-24T15:43:24.515Z,05 July 2022 19:21 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220705%2F92%2F1551653%2Fkemenkeu-kurangi-target-penerbitan-tahun-ini-lelang-sun-masih-ramai-investor,"Bisnis.com, JAKARTA – Minat investor terhadap lelang Surat Utang Negara (SUN) pada hari ini, Selasa (5/7/2022) dinilai masih cukup positif di tengah proyeksi penurunan defisit APBN 2022.Berdasarkan keterangan resmi dari Ditjen Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan, kondisi pasar domestik masih dibayangi kehati-hatian mengantisipasi tingginya tingkat inflasi global dan kemungkinan terjadinya resesi di AS.Selain itu, kebijakan bank sentral lebih lanjut dalam mengendalikan inflasi dan menjaga pertumbuhan ekonomi masih menjadi fokus utama investor.Pemerintah mengurangi target penerbitan SBN (Neto) menjadi Rp961 triliun dari Rp991 triliun melalui Perpres nomor 98 Tahun 2022. Meski demikian, pelaku pasar dinilai masih merespon dengan baik penurunan target lelang SBN seiring dengan proyeksi realisasi penurunan defisit APBN 2022. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Respon positif investor tercermin dari penawaran (bids) yang masuk pada lelang hari ini sebesar Rp25,98 triliun yang secara bid to cover ratio meningkat menjadi 1,88 kali dibanding sebelumnya 1,86 kali,” demikian kutipan keterangan resmi tersebut, Selasa (5/7/2022).Seri benchmark dengan tenor 5 dan 10 tahun kembali mendominasi demand investor pada lelang hari ini, yang mencapai 73,73% dari total penawaran yang masuk (incoming bids) dan 66,67% dari total penawaran yang dimenangkan (awarded bids).Baca JugaSBR011 Pecahkan Rekor! Penjualan Terbesar dan Investor TerbanyakLelang SUN Hari Ini, Kemenkeu Kantongi Penawaran hingga Rp25,98 TriliunSelain itu incoming bids terbesar masih pada tenor 10 tahun yaitu sebesar Rp13,66 triliun atau 52,57% dari total penawaran yang masuk dan dimenangkan sebesar Rp5,5 triliun, 39,86% dari total penawaran yang dimenangkan.Partisipasi investor asing mayoritas juga pada tenor 5 dan 10 tahun, dengan total penawaran masuk mencapai Rp3,57 triliun atau 13,74% dari total incoming bids, dan dimenangkan sebesar Rp1,69 triliun atau 47,31% dari total incoming bids investor asing.Secara umum, level rata-rata imbal hasil tertimbang atau weighted average yield (WAY) yang dimenangkan pada lelang SUN hari ini mengikuti kondisi pasar saat ini yang masih cenderung dinamis terpengaruh kondisi global. Untuk SUN seri benchmark 10 tahun,FR0091, WAY yang dimenangkan lebih rendah 21bps dibanding lelang sebelumnya.Dengan mempertimbangkan yield SBN yang wajar di pasar sekunder dan rencana kebutuhan pembiayaan tahun 2022, maka Pemerintah memutuskan untuk memenangkan permintaan sebesar Rp13,8 triliun.Sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2022, lelang SUN selanjutnya akan dilaksanakan pada tanggal 19 Juli 2022.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
LELANG SBN RITEL   : SBR011 Pecah Rekor,2024-09-24T15:43:24.807Z,21 June 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220621%2F441%2F1545921%2Flelang-sbn-ritel-sbr011-pecah-rekor,
"Sri Mulyani Gelar Lelang SUN Tambahan Hari Ini, Serap Rp2,22 Triliun",2024-09-24T15:43:25.185Z,11 May 2022 15:48 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220511%2F92%2F1532114%2Fsri-mulyani-gelar-lelang-sun-tambahan-hari-ini-serap-rp222-triliun,"Bisnis.com, JAKARTA – Pemerintah telah melakukan lelang tambahan (greenshoe option) Surat Berharga Negara (SBN) pada Rabu (11/5/2022).Hasilnya, total penawaran yang masuk senilai Rp2,22 triliun untuk empat seri SBN yang merupakan jenis fixed rate (FR).Lelang tambahan ini merupakan tindak lanjut dari lelang SBSN pada Selasa (10/5/2022) kemarin. Hasil lelang tambahan menunjukkan hanya tiga dari empat seri yang diambil oleh pemerintah, yakni FR0090, FR0091, dan FR0092.Lelang Surat Utang Negara (SUN) pada Selasa (10/5/2022) kemarin menghasilkan penawaran sebesar Rp19,74 triliun. Hasil lelang tersebut adalah hasil penawaran paling rendah sepanjang tahun 2022.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Jumlah penawaran lelang menurun 50,99 persen jika dibandingkan lelang sebelumnya, 12 April 2022, yang tercatat pemerintah menghimpun penawaran sebesar Rp40,28 triliun.Berdasarkan data dari laman Ditjen Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan, SUN seri FR0091 dengan jatuh tempo pada 15 April 2032 mendapatkan penawaran tertinggi dari investor sebesar Rp7,85 triliun.Baca JugaLelang SUN Hari Hasilkan Penawaran Rp19,74 Triliun, Terendah Sepanjang 2022Yield Obligasi Indonesia Tertekan, Lelang SUN Hari Ini Diprediksi SepiBerikut hasil lelang tambahan yang dilaksanakan pada Rabu (11/5/2022):SeriJatuh TempoPenawaran MasukJumlah DimenangkanYield rata-rata tertimbang yang dimenangkanFR009015 April 2027Rp0,02 triliunRp0,026,62%FR009115 April 2032Rp1,26 triliunRp1,26 triliun7,32% FR009315 Juli 2037- -7,17%FR009215 Juni 2042Rp0,94 triliunRp0,94 triliun7,45%Sumber: Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
