Title,Scrapping Date,Article Date,Author,Link,Content
"Burden Sharing dengan BI Berakhir, Ini Strategi Pemerintah Kelola APBN pada 2023",2024-09-24T18:21:06.986Z,29 November 2022 22:01 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20221129%2F9%2F1603526%2Fburden-sharing-dengan-bi-berakhir-ini-strategi-pemerintah-kelola-apbn-pada-2023,"Bisnis.com, JAKARTA — Kontribusi Bank Indonesia (BI) dalam pembiayaan APBN untuk penanganan dampak pandemi Covid-19 melalui skema burden sharing akan berakhir pada tahun ini.
Wakil Menteri Keuangan Suahasil Nazara menyampaikan bahwa berdasarkan surat keputusan bersama antara Kementerian Keuangan dan BI yang mengacu pada Perppu No. 1/2022, BI dimungkinkan untuk melakukan pembelian SBN secara langsung atau melalui pasar perdana.
Kesepakatan ini hanya berlaku selama 3 tahun, sejak 2020. Selama 3 tahun ini juga, defisit APBN diperbolehkan melebihi level 3 persen.
Dengan berakhirnya peran BI dalam pembiayaan APBN, pemerintah juga harus mengembalikan defisit APBN ke level 3 persen.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
“Saya bisa pastikan SKB I, II, dan III, berlaku sampai dengan 2022, sehingga pada 2023 kita tidak memiliki kerja sama secara langsung dengan BI. Artinya, kebijakan kembali ke yang lalu, karena itulah pemerintah menurunkan defisit, supaya kita kembali proper lagi dalam mencari pembiayaan,” katanya, Selasa (29/11/2022).
Suahasil menjelaskan, dengan defisit APBN yang ditetapkan sebesar 2,84 persen pada 2023, pemerintah juga menekan pembiayaan utang yang ditargetkan sebesar Rp696,3 triliun atau turun 8 persen dibandingkan dengan outlook pada 2022.Baca JugaSiap-siap! BI Bakal Borong Lagi SBN Burden Sharing Rp128,6 TriliunPembelian SBN Burden Sharing BI Tembus Rp974,09 Triliun per 15 November 2022
“Tahun depan defisit 2,84 persen, ini adalah sinyal bahwa pemerintah tidak akan print surat utang banyak-banyak, tapi apakah pemerintah akan melakukan penghematan? Ini yang kita susun terus,” tuturnya.
Untuk itu, pemerintah akan melanjutkan penerapan automatic adjustment, di mana kementerian dan lembaga (K/L) wajib menyisihkan 5 persen dari pagu anggaran masing-masing K/L.
Penerapan automatic adjustment menurut Suahasil berhasil mendorong efisiensi belanja K/L. “Hasilnya K/L akhirnya memilah sendiri mana belanja yang tidak perlu dikeluarkan. Tahun depan kita coba lagi, kita beri arahan lagi mana yang harus dibelanjakan, belanjakan, mana yang perlu kita efisienkan, ya harus kita efisienkan,” jelasnya.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Rencana Cukai BBM, Ban Karet, dan Detergen, Dirjen Bea Cukai Bilang Begini",2024-09-24T18:21:07.332Z,15 June 2022 18:38 WIB,Wibi Pangestu Pratama,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20220615%2F9%2F1544081%2Frencana-cukai-bbm-ban-karet-dan-detergen-dirjen-bea-cukai-bilang-begini,"Bisnis.com, JAKARTA — Direktur Jenderal Bea dan Cukai Kementerian Keuangan Askolani masih enggan berbicara banyak soal rencana pengenaan cukai untuk bahan bakar minyak atau BBM, ban karet, dan detergen. Pemerintah ingin terlebih dahulu fokus pada pengenaan cukai plastik dan minuman berpemanis yang belum kunjung berlaku.Bisnis menemui Askolani di sela rapat dengar pendapat Komisi XI DPR bersama Eselon I Kementerian Keuangan, pada Rabu (15/6/2022). Dalam rapat itu, Askolani menjabarkan rencana anggaran Ditjen Bea Cukai dan berbagai strategi untuk meningkatkan penerimaan, di antaranya melalui ekstensifikasi cukai.Pemerintah sudah memiliki rencana kajian ekstensifikasi untuk mengenakan cukai ketiga jenis barang, yakni BBM, ban karet, dan detergen. Sayangnya, Askolani belum mau membahas rencana itu karena menurutnya masih terlalu jauh.""Masih jauh, enggak usah ngomongin itu lah. Masih jauh. Yang sekarang di depan, masih fokus ke plastik sama minuman berpemanis,"" kata Askolani saat menjawab pertanyaan Bisnis, Rabu (15/6/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Dia membenarkan bahwa pemerintah memang melakukan kajian berbagai potensi ekstensifikasi cukai, karena dapat menambah pundi-pundi penerimaan negara. Namun, dia enggak menjelaskan potensi dari pengenaan cukai terhadap BBM, ban karet, dan detergen.""Kalau yang lain-lain yang ngaji [mengkaji] bisa siapa saja, di mana saja, apa saja,"" katanya.Baca JugaPengenaan Cukai BBM, Detergen, hingga Ban Karet Dinilai Tak Masuk AkalKeras! APBI Tolak Wacana Pengenaan Cukai Produk Ban. Industri Karet Rakyat Bakal Kena ImbasMeskipun katanya sudah di depan mata, Askolani belum memastikan juga kapan pengenaan cukai plastik dan minuman berpemanis dalam kemasan (MBDK) akan berlaku. Padahal, kajian dan wacana penerapannya sudah ada sejak lama.Rencana pengenaan cukai terhadap plastik betujuan untuk menekan dampak lingkungan dari produksi dan penggunaan barang tersebut—pola pikir yang juga berlaku untuk BBM, ban karet, dan detergen. Sementara itu, pengenaan cukai terhadap minuman berpemanis berkaitan dengan isu kesehatan, seperti halnya pengenaan cukai rokok yang sudah lama berlaku.""Plastik masih nunggu ini dulu... Kita ikuti mekanisme lah, sama DPR, sama lintas kementerian. Tetap semua harus dibicarakan,"" kata Askolani.Rencana penerapan cukai untuk BBM, ban karet, dan detergen pertama kali disampaikan oleh Kepala Badan Kebijakan Fiskal (BKF) Kementerian Keuangan Febrio Nathan Kacaribu dalam rapat panitia kerja (Panja) asumsi dasar, kebijakan fiskal, pendapatan, defisit, dan pembiayaan RAPBN Tahun Anggaran 2023. Rapat berlangsung di Gedung DPR, Jakarta pada Senin (13/6/2022).Saat ini terdapat tiga kelompok tahapan pengenaan cukai, yakni eksisting atau yang sedang berlaku, persiapan ekstensifikasi, dan kajian ekstensifikasi. Pengenaan cukai yang sedang berlaku adalah untuk produk hasil tembakau, minuman mengandung etil alkohol (MMEA), dan etil alkohol.Barang-barang yang ada dalam tahap persiapan pengenaan cukai adalah plastik dan MBDK. Adapun, barang-barang yang masih dalam tahap kajian pengenaan cukai adalah BBM, ban karet, dan detergen.""Yang sedang kami kaji adalah beberapa konteks ke depan dalam pengendalian konsumsi, seperti BBM, ban karet, dan detergen,"" ujar Febrio pada Senin (13/6/2022).Febrio tidak menyebut kapan pengenaan cukai terhadap BBM, ban karet, dan detergen akan berlaku. Hingga saat ini, pemerintah saja belum memberikan kejelasan kapan barang-barang yang ada dalam tahap kajian akan mulai berlaku.Sementara itu, Direktur Eksekutif Center of Reform on Economics (Core) Indonesia Mohammad Faisal menjelaskan bahwa fungsi utama penarikan cukai adalah sebagai cara negara untuk mengontrol peredaran komoditas. Sebaliknya, cukai bukan sebagai prioritas negara dalam rangka meningkatkan pendapatan.""Saya belum menemukan logika mengapa dikenakan cukai terhadap BBM, deterjen, ban karet,"" kata Faisal pada Selasa (14/6/2022).Pemerintah menurutnya mesti memiliki alasan yang kuat dalam mengeluarkan wacana terkait dengan rencana penarikan cukai komoditas industri. Penarikan cukai akan berpengaruh terhadap biaya produksi dan harga jual, sehingga efeknya akan terasa baik oleh produsen maupun konsumen.Dia pun meminta pemerintah diminta berhati-hati dalam mengeluarkan wacana penerapan bea cukai terhadap komoditas industri, termasuk ban karet yang cukup ramai dibahas baru-baru ini.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"APBN 2023 Masih Defisit, Sri Mulyani: Defisit dan Rasio Utang Terkendali",2024-09-24T18:21:07.660Z,20 May 2022 13:21 WIB,Ni Luh Anggela,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20220520%2F9%2F1535085%2Fapbn-2023-masih-defisit-sri-mulyani-defisit-dan-rasio-utang-terkendali,"Bisnis.com, JAKARTA – Postur Anggaran Pendapatan dan Belanja Negara (APBN) 2023 masih akan defisit, sebagai konsekuensi atas kebijakan fiskal yang ekspansif dan terukur. Kendati demikian, pengelolaan pembiayaan untuk menutup financing gap tersebut akan dilakukan secara efisien, mandiri, dan berkelanjutan.Menteri Keuangan Sri Mulyani Indrawati menegaskan defisit dan rasio utang akan tetap dikendalikan dalam batas aman, sekaligus mendorong keseimbangan primer yang positif.Kebijakan pembiayaan investasi juga akan terus dilakukan dengan memberdayakan peran Badan Usaha Milik Negara (BUMN), Sovereign Wealth Funds (SWF), Special Mission Vehicle (SMV), dan Badan Layanan Umum (BLU), dalam mengakselerasi pembangunan infrastruktur dan meningkatkan akses pembiayaan bagi masyarakat berpenghasilan rendah, UMKM dan UMi.Tak hanya itu, peran swasta juga akan terus didorong dalam pembiayaan pembangunan melalui kerangka Kerjasama Pemerintah dan Badan Usaha (KPBU), termasuk penerbitan instrumen pembiayaan kreatif lainnya.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Sri Mulyani berharap, melalui akselerasi pemulihan ekonomi, reformasi struktural, dan reformasi fiskal maka diharapkan kebijakan fiskal 2023 tetap efektif mendukung pemulihan ekonomi tetapi tetap sustainable.""Hal tersebut akan terefleksi pada pendapatan negara yang meningkat dalam kisaran 11,19 persen sampai dengan 11,70 persen PDB, belanja negara mencapai 13,80 persen sampai dengan 14,60 persen PDB serta keseimbangan primer yang mulai bergerak menuju positif di kisaran -0,46 persen sampai dengan -0,65 persen PDB,"" jelas Sri Mulyani Press Statement Kebijakan Ekonomi Makro Dan Pokok-Pokok Kebijakan Fiskal 2023, Jumat (20/5/2022).Baca JugaDefisit APBN Maksimal 3 Persen Tahun Depan, Ini Strategi Sri MulyaniSelain itu, kata Sri Mulyani, defisit akan diarahkan kembali di bawah 3 persen, antara -2,61 persen sampai dengan -2,90 persen PDB, dan rasio utang tetap terkendali dalam batas manageable di kisaran 40,58 persen sampai dengan 42,42 persen PDB.Sri Mulyani menambahkan, dengan pengelolaan fiskal yang sehat, disertai dengan efektivitas stimulus kepada transformasi ekonomi dan perbaikan kesejahteraan rakyat, maka tingkat pengangguran terbuka pada 2023 dapat ditekan dalam kisaran 5,3 persen hingga 6 persen.Angka kemiskinan diharapkan dapat ditekan dalam rentang 7,5 persen hingga 8,5 persen, rasio gini dalam kisaran 0,375 hingga 0,378 serta Indeks Pembangunan Manusia dalam rentang 73,31 hingga 73,49.Selain itu, Nilai Tukar Petani (NTP) dan Nilai Tukar Nelayan (NTN) juga ditingkatkan untuk mencapai kisaran masing-masing 103 sampai dengan 105 dan 106 sampai dengan 107.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Pembiayaan Defisit APBN 2022, 82 Persen Kebutuhan Bakal Ditarik dari Dalam Negeri",2024-09-24T18:21:07.989Z,13 December 2021 15:33 WIB,Wibi Pangestu Pratama,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20211213%2F10%2F1477034%2Fpembiayaan-defisit-apbn-2022-82-persen-kebutuhan-bakal-ditarik-dari-dalam-negeri,"Bisnis.com, JAKARTA — Pemerintah menargetkan pembiayaan defisit APBN pada 2022 senilai Rp868 triliun dengan sekitar 82 persen dana berasal dari dalam negeri.Direktur Strategi dan Portofolio Pembiayaan Kementerian Keuangan Riko Amir menjelaskan bahwa pemerintah menargetkan defisit anggaran pendapatan dan belanja negara (APBN) pada tahun depan 4,85 persen terhadap produk domestik bruto (PDB). Untuk itu, diperlukan pembiayaan senilai Rp868 triliun.""Sekitar 80 persen—82 persen sumber pembiayaannya dari domestik, 18 persen—20 persen dari valuta asing,"" ujar Riko dalam konferensi pers, Senin (13/12/2021).Riko menjabarkan bahwa sumber pembiayaan domestik berupa pinjaman dalam negeri dan melalui penerbitan surat berharga negara (SBN). Menurutnya, SBN Bruto diterbitkan melalui lelang dan non lelang.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Pemerintah menargetkan komposisi surat utang negara (SUN) di kisaran 69 persen—72 persen dan surat berharga syariah negara (SBSN) atau sukuk di kisaran 28 persen—31 persen.Adapun, sumber pembiayaan berbentuk valuta asing (valas) berupa pinjaman luar negeri dan penerbitan SBN valas.Baca JugaUtang Garuda Indonesia (GIAA) Diklaim Tidak Sampai Bebani Finansial AP IIAPBN Tahun Depan Masih Fleksibel untuk Program Vaksinasi Dosis KetigaSri Mulyani: Transaksi Ekonomi Digital RI Terbesar di Asia TenggaraRiko menjelaskan bahwa pemerintah terus berupaya mendorong masyarakat untuk berinvestasi di SBN. Selain mendukung keuangan negara, kontribusi masyarakat dalam negeri dalam membeli SBN dapat mengurangi ketergantungan terhadap investor luar negeri dan risiko dari nilai tukar.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
KONSEKUENSI BURDEN SHARING   : Anggaran Bank Sentral Tekor,2024-09-24T18:21:08.394Z,26 November 2021 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20211126%2F433%2F1470527%2Fkonsekuensi-burden-sharing-anggaran-bank-sentral-tekor,
"Sri Mulyani Bagikan Kabar Baik, Pembiayaan Utang Pemerintah Turun di Agustus 2021",2024-09-24T18:21:08.746Z,24 September 2021 15:25 WIB,Wibi Pangestu Pratama,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20210924%2F10%2F1446497%2Fsri-mulyani-bagikan-kabar-baik-pembiayaan-utang-pemerintah-turun-di-agustus-2021,"Bisnis.com, JAKARTA - Menteri keuangan Sri Mulyani Indrawati mengungkapkan realisasi pembiayaan utang pemerintah per Agustus 2021 mengalami penurunan 20,5 persen menjadi Rp550,6 triliun, dibandingkan periode yang sama tahun lalu. Realiasi ini setara dengan 46,8 persen dari target APBN 2021.“Hanya 46,8 persen ini sudah bulan Agustus, jadi jauh lebih kecil dari yang ditargetkan. Kalau kita lihat growth-nya bahkan dibanding tahun lalu terjadi negatif growth dari pembiayaan utang kita, yaitu 20,5 persen,” kata Sri Mulyani dalam Konferensi Pers APBN KiTa September 2021, Kamis (23/9/2021).Penurunan ini dipicu oleh adanya Sisa Anggaran Lebih (SAL) tahun 2020. Dia menuturkan pemerintah mengunakan SAL dalam kondisi saat ini. Faktor lainnya yakni penyesuaian investasi, kesepakatan pemerintah dan Bank Indonesia (BI) dalam Surat Keputusan Bersama (SKB) III, serta proyeksi penyesuaian defisit APBN.""Kinerja pasar SBN kian membaik dengan imbal hasil atau yield yang relatif terjaga, seiring dengan adanya SKB III,"" kata Sri Mulyani.Dari Januari hingga 15 September 2021, BI telah menyerap SBN sebesar Rp139,8 triliun yang berupa Surat Utang Negara (SUN) Rp95,6 triliun dan Surat Berharga Syariah Negara (SBSN) Rp 44,25 triliun.Menurut Sri Mulyani, pemerintah terus melakukan diversifikasi SUN, salah satunya dengan penerbitan perdana Sustainable Development Goals (SDGs) bond senilai 500 juta euro dengan spread terhadap Mid-Swaps terendah untuk SUN denominasi euro dengan tenor 12 tahun. Pemerintah juga menerbitkan global bonds dalam rangka liability management senilai total US$1,16 miliar.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Sementara itu, defisit anggaran pendapatan dan belanja negara atau APBN per Agustus 2021 tercatat sebesar Rp383,2 triliun. Jumlah itu mencapai 2,32 persen dari produk domestik bruto atau PDB.Sri Mulyani menjelaskan perkembangan keuangan negara, baik dari sisi pendapatan, pengeluaran, dan kondisi terkini. Sri Mulyani menjelaskan bahwa per Agustus 2021, defisit APBN tercatat sebesar Rp383,2 triliun.Baca JugaPenerimaan Pajak Kurang Rp488,29 Triliun, Target Bisa MelesetHampir 2 Kali Belanja APBN RI, Ini Rencana Pelunasan Utang Evergrande Rp4.290 TriliunDefisit terjadi atas realisasi belanja negara sebesar Rp1.560,8 triliun, dengan penerimaan pajak sebesar Rp741,3 triliun, bea cukai Rp158 triliun, dan penerimaan negara bukan pajak (PNBP) Rp158 triliun.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Sri Mulyani: Realisasi Pembiayaan Utang Semester I/2021 Capai Rp443 Triliun,2024-09-24T18:21:09.084Z,12 July 2021 14:16 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20210712%2F10%2F1416620%2Fsri-mulyani-realisasi-pembiayaan-utang-semester-i2021-capai-rp443-triliun,"Bisnis.com, JAKARTA - Menteri Keuangan Sri Mulyani Indrawati menyampaikan realisasi pembiayaan utang hingga Semester I 2021 telah mencapai Rp443 triliun atau 37,6 persen dari target APBN.Pada 2021, pemerintah menargetkan pembiayaan utang sebesar Rp1.177,4 triliun seiring dengan defisit APBN yang diperkirakan mencapai 5,7 persen.“Pembiayaan utang tadinya menurut UU APBN mencapai Rp1.177,4 triliun, seiring dengan 5,7 persen defisit. Kami merealisir di semester I/2021 sebesar Rp443 triliun atau 37,6 persen saja,” katanya dalam Rapat Kerja bersama dengan Badan Anggaran DPR RI, Senin (12/7/2021).Sri menjelaskan, pembiayaan utang yang meningkat dari tahun-tahun sebelumnya merupakan konsekuensi dari kebijakan fiskal ekspansif melalui perluasan berbagai program stimulus fiskal dalam rangka menjaga kesehatan masyarakat dan akselerasi pemulihan ekonomi.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Pemerintah, imbuhnya, akan terus mengupayakan kombinasi sumber pembiayaan dalam rangka memenuhi target kebutuhan anggaran yang efisien, namun tetap mempertimbangkan risiko.Dia memproyeksikan, pembiayaan utang pada semester II/2021 hanya akan mencapai Rp515,1 triliun atau 43,8 persen dari target.Baca JugaKritik Sri Mulyani, Rizal Ramli Bagikan 4 Solusi Tekan Laju Covid-195 Kekhawatiran Sri Mulyani Soal Covid-19: Varian Delta hingga Pemulihan EkonomiDengan demikian, pembiayaan utang hingga akhir 2021 hanya akan mencapai Rp958,1 triliun, lebih rendah dari target APBN tahun anggaran 2021.“Ini hal yang bagus. Berarti kita mengurangi kenaikan utang yang tadinya seharusnya Rp1.177 triliun menjadi Rp958 triliun atau turun 18,6 persen,” tuturnya.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Defisit APBN Rp144,2 Triliun di Kuartal I/2021, Wamenkeu Tegaskan Semua Terkendali",2024-09-24T18:21:09.432Z,22 April 2021 18:53 WIB,Jaffry Prabu Prakoso,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20210422%2F10%2F1384958%2Fdefisit-apbn-rp1442-triliun-di-kuartal-i2021-wamenkeu-tegaskan-semua-terkendali,"Bisnis.com, JAKARTA - Wakil Menteri Keuangan (Wamenkeu) Suahasil Nazara mengatakan bahwa anggaran pendapatan dan belanja negara (APBN) hingga kuartal I/2021 mengalami defisit Rp144,2 triliun.Jika dipersentasekan, angkanya 0,82 persen terhadap produk domestik bruto (PDB). Sedangkan disandingkan sampai bulan Februari, tambah Suahasil, nilainya 0,6 persen.“Jadi ini semua masih di dalam koridor yang bisa kita kontrol dan akan kita pantau terus,” katanya pada konferensi pers APBN Kita Edisi April 2021 secara virtual, Kamis (22/4/2021).Sementara itu, pembiayaan anggaran realisasinya Rp323 triliun atau 32,1 persen terhadap PDB. Angka ini naik 282,1 persen dibandingkan tahun lalu.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Suahasil menjelaskan bahwa pendapatan negara hingga Maret mencapai Rp378,8 trilun atau 21,7 persen terhadap target APBN. Realisasi ini tumbuh 0,6 persen dibandingkan tahun lalu.“Kita ingat konteksnya Maret tahun lalu ada Covid-19 dan Januari-Februari belum ada pandemi. Namun pendapatan negara bisa tumbuh,” jelasnya.Baca JugaKuartal I 2021 Belanja Negara Capai Rp523 Triliun, Tumbuh 15,6 PersenKemenkeu: 20 Tahun Terakhir, Dana Otsus Papua Capai Rp138,65 TriliunDi sisi lain, belanja negara pun naik lebih besar, yaitu 15,6 persen dari tahun lalu. Hingga kuartal I/2021, realisasinya Rp523 triliun atau 19 persen dari target APBN.Dengan begitu, keseimbangan primer mengalami minus Rp65,8 triliun atau 10,4 persen dari APBN. Realisasi ini tumbuh 2.933,7 persen dibandingkan tahun lalu.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Silpa 2020 Rp2,02 Triliun, Kemenkeu Tegur Anies: Ini Seperti Uang Nganggur",2024-09-24T18:21:09.849Z,14 April 2021 15:30 WIB,Nyoman Ary Wahyudi,https://search.bisnis.com/link?url=https%3A%2F%2Fjakarta.bisnis.com%2Fread%2F20210414%2F77%2F1381084%2Fsilpa-2020-rp202-triliun-kemenkeu-tegur-anies-ini-seperti-uang-nganggur,"Bisnis.com, JAKARTA - Direktur Jenderal Perimbangan Keuangan Kementerian Keuangan (Kemenkeu) Astera Primanto Bhakti menegur Gubernur DKI Jakarta Anies Baswedan ihwal temuan Sisa Lebih Penghitungan APBD (Silpa) 2020 sebesar Rp2,02 triliun.“Ini mungkin sebetulnya pengelolaan keuangan di daerah ya, kalau bisa yang namanya Silpa daerah ini jangan terlalu besar Pak Gubernur, karena ini dilihatnya seperti uang nganggur. Padahal, harusnya sudah ada peruntukannya, ini masalah di daerah monggo diatur yang baik,” kata Astera dalam Musrenbang DKI secara daring, Rabu (14/4/2021).Berdasarkan catatan Kemenkeu, Pemerintah Provinsi DKI Jakarta menggunakan Silpa sebesar Rp2,02 triliun itu sebagai sumber alternatif menutupi defisit pembiayaan tahun 2021.Selain itu, Pemerintah Provinsi DKI Jakarta menggunakan penerimaan pinjaman daerah yang naik signifikan dari Rp0,26 triliun di APBD 2020 menjadi sebesar Rp9,98 triliun di APBD 2021.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Kita berharap ini juga diikuti dengan tata kelola yang baik, saya percaya DKI Jakarta ini Ibu Kota negara tentunya level dari pada pengelolaanya seharusnya sudah lebih tinggi dibanding daerah lainnya,” tuturnya.Laporan Pemerintah Provinsi DKI Jakarta  ihwal serapan APBD 2020 kepada Kemenkeu menunjukkan realisasi pendapatan DKI Jakarta sebesar 118,43 persen atau lebih tinggi dari pada capaian nasional yang berada di kisaran 100,34 persen.Baca JugaPenanganan Covid-19 Jakarta, Airlangga Puji AniesJabatan Berakhir 2022, Anies Fokus Pulihkan Ekonomi JakartaTren itu juga diikuti dengan realisasi belanja Pemerintah Provinsi DKI Jakarta yang relatif baik di angka 117,7 persen. Sementara, realisasi belanja nasional berkisar di angka 97,60 persen.Akhir tahun lalu, Dewan Perwakilan Rakyat Daerah (DPRD) Provinsi DKI Jakarta bersama Tim Anggaran Pemerintah Daerah (TAPD) menyepakati besaran pagu Anggaran Pendapatan dan Belanja Daerah (APBD) tahun 2021 sebesar Rp84,19 triliun.Besaran tersebut disepakati setelah Badan Anggaran (Banggar) DPRD bersama TAPD menetapkan sejumlah pagu.Seperti proyeksi pendapatan daerah sebesar Rp72,18 triliun, pendapatan asli daerah (PAD) sebesar Rp51,89 triliun, pendapatan transfer sebesar Rp16,87 triliun dan pendapatan lain-lain yang sah Rp3,42 triliun.Selanjutnya, pagu belanja daerah yang ditetapkan sebesar Rp72,96 triliun dengan perincian belanja operasi Rp57,45 triliun, belanja modal Rp9,99 triliun, belanja tidak terduga (BTT) Rp5,04 triliun serta belanja transfer Rp498,01 miliar.Adapun, untuk postur penerimaan pembiayaan daerah diproyeksikan sebesar Rp12,09 triliun yang didapat dari Silpa 2020 Rp2,02 triliun dan penerimaan pinjaman daerah sebesar Rp9,98 triliun.Kemudian, untuk postur pengeluaran pembiayaan diproyeksikan Rp11,22 triliun dengan perincian Penyertaan Modal Daerah (PMD) Rp10,99 triliun dan pembayaran cicilan utang jatuh tempo Rp33,65 miliar, dan pemberian pinjaman daerah Rp200 miliar.Persetujuan tersebut sebelumnya juga telah mempertimbangkan dalam pandangan lima komisi DPRD Provinsi DKI Jakarta dengan memberikan sejumlah catatan terhadap APBD DKI 2021.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Ekonom: Pertumbuhan Ekonomi Kuartal I/2021 Minus -1,6 Persen",2024-09-24T18:21:10.192Z,23 March 2021 15:17 WIB,Dany Saputra,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20210323%2F9%2F1371354%2Fekonom-pertumbuhan-ekonomi-kuartal-i2021-minus-16-persen,"Bisnis.com, JAKARTA - Ekonom Bank Danamon Wisnu Wardhana justru memperkirakan pertumbuhan di kuartal I/2021 akan sebesar minus -1,6 persen per tahun (year-on-year/yoy).Angka ini di bawah proyeksi pemerintah yang dipaparkan Menteri Keuangan Sri Mulyani sebesar -0,1 persen. Menurut Wisnu, aktivitas fiskal terkini memiliki dampak kontraksi pada atas likuiditas di tengah lebih tingginya kelebihan pembiayaan, dan defisit utama yang lebih rendah.""Risiko yang diperlukan untuk menghemat akhirnya menghasilkan pemulihan yang berjenjang, di mana Kemenkeu memperkirakan PDB Indonesia kuartal I/2021 berkisar antara -0,1 persen hingga -1,0 persen yoy,"" katanya kepada Bisnis, Selasa (23/3/2021).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Terkait dengan spending yang diutarakan Menkeu pada paparan 'APBN KITA', Selasa (23/3/2021), menurutnya pemerintah menunjukkan kewaspadaan dalam melancarkan pengeluaran, terutama untuk menyeimbangkan antara hasil produktif dan non-produktif.Sementara itu, dari sisi pembiayaan/pengeluaran, total belanja yang meningkat sebesar 1,2 persen (yoy) dibandingkan Februari 2020 sebesar 2,8 persen, mayoritas didorong oleh pengeluaran untuk penanganan Covid-19 dari Kemenkes.Baca JugaSri Mulyani Semringah, Pendapatan Negara Tumbuh PositifSri Mulyani Siap Berburu Pajak di 4 Sektor IniSelain itu, belanja modal juga terus berjalan untuk infrastruktur dan TNI/Polri. ""Namun, kami masih mencatat adanya isu-isu administratif yang menyulitkan penyaluran ke pemerintahan lokal,"" uja Wisnu.Adapun, pendapatan dari pajak dan kepabeanan tumbuh sebesar 1,7 persen (yoy) dengan share sebesar 12,6 persen pada target 2021, dibandingkan di 2020 sebesar 12,7 persen.Meningkatnya kepabeanan tembakau dan cukai ekspor minyak sawit (CPO) juga merupakan pendorong utama pendapatan.Selain itu, pajak pertambahan nilai (PPN) juga tumbuh positif berkat low base effect dan perbaikan permintaan domestik.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
