Title,Scrapping Date,Article Date,Author,Link,Content
PENGELOLAAN FISKAL   : Menimang Momentum Penarikan Utang Negara,2024-09-25T04:33:12.829Z,20 February 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240220%2F433%2F1742262%2Fpengelolaan-fiskal-menimang-momentum-penarikan-utang-negara,
"Imbal Hasil SUN Melandai, Minat Penerbitan Obligasi Korporasi Tinggi",2024-09-25T04:33:13.356Z,08 August 2023 16:19 WIB,Iim Fathimah Timorria,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230808%2F92%2F1682799%2Fimbal-hasil-sun-melandai-minat-penerbitan-obligasi-korporasi-tinggi,"Bisnis.com, JAKARTA — Prospek penerbitan obligasi korporasi pada sisa 2023 masih positif seiring dengan melandainya imbal hasil surat utang negara acuan tenor 10 tahun. Penerbitan surat utang masih menjadi alternatif pendanaan yang menarik, terutama untuk perusahaan yang berencana ekspansi pada masa pemulihan.Secara tahun berjalan, Bursa Efek Indonesia (BEI) mencatat realisasi emisi obligasi dan sukuk korporasi mencapai Rp74,1 triliun dari 47 perusahaan. Realisasi tersebut hampir separuh dari realisasi setahun penuh pada 2022 yakni Rp156,33 triliun. Maraknya penerbitan obligasi dan sukuk korporasi juga mendapatkan dukungan dari kondisi pasar surat utang yang menguat. Hal itu tecermin dari imbal hasil Surat Utang Negara (SUN) acuan tenor 10 tahun pada kisaran 6,3 persen dan berpotensi melandai ke 6,1 persen. Melandainya imbal hasil ini akan memangkas biaya dana bagi korporasi yang ingin mencari dana segar lewat emisi obligasi dan sukuk.Senior Economist Mirae Asset Sekuritas Rully Wisnubroto mengemukakan imbal hasil obligasi pemerintah tenor 10 tahun yang lebih rendah daripada tahun lalu menjadi katalis positif bagi penerbitan obligasi korporasi pada sisa 2023.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Saya merasa imbal hasil surat berharga negara (SBN) tenor 10 tahun masih berpotensi untuk turun sampai dengan akhir tahun dan penurunan ini akan berlanjut hingga 2024,” kata Rully kepada Bisnis, Selasa (8/8/2023).Dia menjelaskan prospek penurunan imbal hasil didorong oleh inflasi yang akan terus berlanjut menurun sampai dengan akhir tahun. Mirae Asset memperkirakan inflasi bisa turun ke 2,55 persen sampai dengan akhir tahun.Baca JugaWall Street Melemah Tertekan Kenaikan Imbal Hasil Obligasi ASSri Mulyani Lelang SUN Selasa Depan, Penawaran Diprediksi Rp40 TriliunPerusahaan Asuransi Rajin Investasi ke Obligasi dan SBN, Ini Alasannya“Saat ini memang pasar masih diliputi oleh ketidakpastian kapan The Fed akan menghentikan kenaikan suku bunga. Namun begitu sudah ada kepastian akan terminal rate The Fed, kami rasa yield trend nya akan terus turun,” lanjut Rully.Sementara itu, Kepala Ekonom Bank Central Asia (BCA) David Sumual mengatakan penerbitan obligasi korporasi pada 2023 berpotensi menyamai capaian 2022 seiring dengan kebutuhan pendanaan perusahaan yang tinggi.Di sisi lain, dia mencatat minat perusahaan untuk mengambil utang luar negeri juga cenderung turun, sementara emisi obligasi dan saham baru tetap tinggi. Penurunan imbal hasil surat utang pemerintah sendiri menjadi momentum karena menurunkan risiko gagal bayar utang (sovereign risk).Estimasi positif ini disematkan David meskipun pasar obligasi korporasi diwarnai isu gagal bayar surat utang oleh BUMN Karya. Dia menilai fenomena tersebut tidak akan berdampak signifikan pada prospek penerbitan obligasi korporasi karena sektor lainnya memiliki prognosis yang baik.“Ada banyak sektor lain yang menarik, terlebih dengan proses pemulihan yang berlanjut akan mendorong perusahaan mencari pendanaan untuk mendukung ekspansinya,” katanya.Senada, Rully mengatakan bahwa pasar telah menghindari sektor karya sejak tahun lalu. Namun sektor lain masih memiliki daya tarik, terutama yang terkait dengan aktivitas ekonomi domestik seperti otomotif serta telekomunikasi.“Selain melihat peringkat, investor bisa melihat posisi keuangan korporasi secara lebih teliti. Beberapa rasio keuangan yang bisa diperhatikan adalah arus kas, interest coverage, rasio likuiditas serta komposisi utangnya,” kata Rully.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
OBLIGASI NEGARA : Target Tebal Sukuk Ritel,2024-09-25T04:33:13.661Z,02 March 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230302%2F441%2F1633154%2Fobligasi-negara-target-tebal-sukuk-ritel,
"Jadwal Penerbitan 8 Seri SBN Ritel 2023, Terdekat 19 Januari",2024-09-25T04:33:14.027Z,10 January 2023 13:33 WIB,Setyo Aji Harjanto,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230110%2F92%2F1616723%2Fjadwal-penerbitan-8-seri-sbn-ritel-2023-terdekat-19-januari,"Bisnis.com, JAKARTA - Pemerintah telah merilis jadwal penerbitan Surat Berharga Negara (SBN) ritel untuk tahun 2023. Terhitung ada 8 seri SBN ritel yang siap meluncur.Berdasarkan informasi di laman Instagram resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR), Kementerian Keuangan, 8 seri SBN ritel akan diterbitkan pada tahun ini.Pada awal tahun pemerintah akan menerbitkan seri SBR012 T2 dan SBR012 T4. Perbedaan kedua seri tersebut terdapat pada tenornya yakni 2 tahun (T2) dan 4 tahun (T4).""Di tahun 2023 ini juga akan ada yang berbeda lho, yaitu adanya 2 jenis tenor di satu seri. T2 untuk tenor 2 tahun dan T4 untuk tenor 4 tahun,"" dikutip dari laman Instagram DJPPR, Selasa (10/1/2023).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Berikut jadwal penawaran 8 seri SBN Ritel yang diterbitkan pemerintah pada 2023:- Savings Bond Ritel, SBR012 T2 & SBR012 T4Masa penawaran: 19 Januari - 9 Februari 2023Baca JugaSiap-siap, Pemerintah Bakal Rilis SBN Ritel Seri SBR012 di 19 Januari 2023Investor Asing Lego SBN Rp129 Triliun pada 2022Pemerintah Bidik Generasi Milenial dan Gen Z untuk Tingkatkan Penjuaan SBN Ritel 2023- Sukuk Ritel, SR018Masa penawaran : 3-29 Maret 2023- Sukuk Negara Tabungan, ST010Masa penawaran: 12-31 Mei 2023- Sukuk Wakaf Ritel, SWR004Masa penawaran: 5 Mei -22 Juni 2023- Obligasi Negara Ritel, ORI023Masa penawaran: 26 Juni - 30 Juli 2023- Sukuk Ritel, SR019Masa penawaran : 18 Agustus - 13 September 2023- Obligasi Negata Ritel, ORI024Masa penawaran: 9 Oktober - 2 November 2023- Sukuk Negara Tabungan, ST011Masa penawaran 3-29 November 2023Obligasi ritel berjenis SBR memiliki sejumlah karakteristik, diantaranya adalah tidak dapat diperdagangkan di pasar sekunder atau non tradable, memiliki kupon mengambang dengan batas minimal (floating with floor), serta dilengkapi dengan fasilitas early redemption.Sebelumnya, Direktur Surat Utang Negara DJPPR Kemenkeu Deni Ridwan mengatakan prospek investasi SBN ritel di tahun 2023 masih memiliki peluang cukup besar di tengah dinamika perekonomian global.SBN Ritel hadir sebagai alternatif produk investasi yang aman karena dijamin negara, terjangkau, dan menguntungkan serta memberikan kesempatan bagi masyarakat untuk bersama-sama berpartisipasi dalam pembiayaan APBN.Selain itu, kupon yang diterima setiap bulan dapat dimanfaatkan untuk memenuhi kebutuhan keuangannya secara terencana, seperti kebutuhan sehari-hari, biaya pendidikan, cicilan, liburan, dan sebagainya.Adapun, Jika dibandingkan dengan produk keuangan sejenis misalnya deposito, SBN ritel masih lebih dilirik masyarakat karena memiliki tingkat pajak yang lebih rendah atau 10 persen sehingga imbal hasilnya menjadi semakin menarik.Deni melanjutkan, seri–seri SBN ritel yang akan dipasarkan pada 2023 tidak akan berbeda jauh dengan tahun sebelumnya.Sementara itu, Penghimpunan dana melalui penerbitan surat berharga negara (SBN) Ritel sepanjang 2022 mencapai lebih dari Rp107 triliun.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Penerbitan Lelang SUN Tahun Depan Berpotensi Seret, Ini Sebabnya",2024-09-25T04:33:14.392Z,07 December 2022 10:30 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221207%2F92%2F1606048%2Fpenerbitan-lelang-sun-tahun-depan-berpotensi-seret-ini-sebabnya,"Bisnis.com, JAKARTA - Pemerintah diprediksi akan mulai mengurangi penerbitan Surat Utang Negara (SUN) pada 2023 seiring dengan kembalinya batas defisit fiskal maksimal dan jumlah obligasi negara jatuh tempo yang lebih sedikit.Menurut Ekonom Pemeringkat Efek Indonesia (Pefindo) Suhindarto emisi SUN pada tahun depan tidak akan setinggi dibandingkan dengan masa pandemi virus corona periode 2020 – 2021.Sepanjang masa pandemi pemerintah tercatat menerbitkan SUN sebanyak Rp1.177 triliun pada 2020 dan Rp878 triliun pada tahun 2021. Sementara itu, hingga akhir November 2022 pemerintah telah menerbitkan SUN sebesar Rp712 triliun pada tahun ini.“Kami proyeksikan penerbitan SUN tahun depan akan lebih menurun dibandingkan periode 2020 – 2022 di kisaran Rp712 triliun,” katanya Rabu (7/12/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Suhindarto memaparkan turunnya jumlah penerbitan SUN utamanya disebabkan oleh upaya pemerintah yang mengembalikan batas defisit fiskal maksimal 3 persen dari PDB pada tahun depan. Selama masa pandemi pemerintah Indonesia meningkatkan batas defisit fiskal maksimal seiring dengan upaya menggenjot pemulihan ekonomi.Penurunan penerbitan SUN juga didukung oleh profil jatuh tempo surat utang pemerintah yang lebih sedikit. Suhindarto mengatakan jumlah SUN yang akan jatuh tempo pada 2023 adalah sebesar Rp482 triliun dengan denominasi terbesar pada surat utang rupiah senilai Rp380,92 triliun.Baca JugaSri Mulyani Gelar Lelang SUN Selasa Depan, Targetkan Dana Rp22,5 TriliunLelang SUN Tembus Rp30,03 Triliun, Mengapa Minat Investasi Naik?Lelang SUN Tembus Rp30,03 Triliun, Mengapa Minat Investasi Naik?Jumlah tersebut lebih rendah dibandingkan dengan surat utang pemerintah yang akan jatuh tempo pada tahun 2024 dan 2025 mendatang senilai masing – masing Rp555 triliun dan Rp606 triliun.Turunnya kebutuhan pembiayaan utang juga dipengaruhi oleh minimnya eksposur utang berdenominasi mata uang asing yang jatuh tempo pada tahun depan. Suhindarto mengatakan, Indonesia memiliki SUN jatuh tempo berdenominasi dolar AS sebesar Rp66,83 triliun, disusul mata uang Euro senilai Rp24,34 triliun, dan yen Jepang sekitar Rp9 triliun.“Selain itu, pemerintah juga menargetkan untuk mengurangi penarikan pinjaman luar negeri sekitar Rp68 triliun,” tambahnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
STRATEGI INVESTASI   : Berburu Obligasi Negara,2024-09-25T04:33:14.724Z,07 July 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220707%2F441%2F1552129%2Fstrategi-investasi-berburu-obligasi-negara,
Begini Pengaruh Potensi Krisis Pangan Bagi Obligasi Korporasi,2024-09-25T04:33:15.062Z,30 May 2022 19:18 WIB,Ika Fatma Ramadhansari,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220530%2F92%2F1538313%2Fbegini-pengaruh-potensi-krisis-pangan-bagi-obligasi-korporasi,"Bisnis.com, JAKARTA – Ekonom menilai larangan ekspor komoditas pangan di sejumlah negara di Asia juga simultan terhadap pergerakan obligasi korporasi yang bergerak di bidang pangan di Tanah Air. 
Chief Economist Bank Permata Josua Pardede menjelaskan dari sisi korporasi, potensi krisis pangan diperkirakan menekan perusahaan-perusahaan yang bergerak di bidang pangan, terutama yang butuh melakukan impor dalam proses produksinya. 
“Pergerakan obligasi dari salah satu perusahaan tersebut memang terlihat mengalami pergerakan yang simultan terhadap harga gandum global, di mana yield dari obligasi korporasi tersebut meningkat tajam ketika perang Rusia Ukraina pecah,” papar Josua kepada Bisnis, Senin (30/5/2022).  
Sebelumnya, pada Sabtu (28/5/2022), Bloomberg melansir India akan melarang ekspor gula untuk mengamankan pasokan domestik. Hal ini menyusul sikap proteksionisme terhadap larangan ekspor gandum sebelumnya. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Selain itu, Malaysia juga mengumumkan larangan ekspor ayam, sehingga menyebabkan kekhawatiran di Singapura yang mengonsumsi sepertiga pasokannya. 
Ketatnya pasokan pangan di Asia juga ditambah dari pembatasan penjualan minyak sawit oleh Indonesia. Baca JugaTekanan Global Mereda, Prospek Obligasi Korporasi Makin Cerah Didukung Kondisi DomestikPP Presisi (PPRE) Bakal Rilis Obligasi Rp500 Miliar, Ini Jadwalnya
Invasi Rusia ke Ukraina dan lockdown di China menjadi krisis ganda yang menyentak dunia yang dalam masa pemulihan. Hal itu ditambah dengan inflasi yang memburuk dan melukai pertumbuhan, menurut penelitian baru dari Bloomberg Economics.
Selain dari krisis pangan tersebut, Josua bahwa pelemahan obligasi korporasi dalam dua bulan terakhir cenderung didorong oleh sentimen hawkish dari The Fed, yang kemudian mendorong peningkatan yield SBN secara umum. 
“Peningkatan yield SBN ini kemudian ikut mendorong sebagian besar yield obligasi korporasi, sehingga tren masih cenderung turun,” jelas Josua. 
Namun di tengah risiko The Fed dan juga konflik yang berkepanjangan antara Rusia dan Ukraina, Josua menilai obligasi korporasi domestik masih relatif menarik terutama dalam jangka pendek. 
Hal tersebut akibat arah The Fed saat ini yang menurutnya sudah lebih jelas dibandingkan dengan sebelumnya. Ditambah lagi menurutnya sentimen risk-on saat ini sedang meningkat, dan mendorong penguatan rupiah secara umum. 
“Bagi para investor, mulai meredanya gejolak di pasar keuangan dapat menjadi sentimen pendorong permintaan akan obligasi korporasi,” katanya. 
Selain itu, dia juga mengungkapkan bahwa minat investor terhadap obligasi korporasi juga akan meningkat juga dipengaruhi oleh daya beli masyarakat yang meningkat pada saat ini. 
Head of Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto, terkait dengan larangan ekspor pangan di beberapa negara di Asia tersebut melihat bahwa tindakan tersebut adalah upaya untuk melindungi negara masing-masing. 
“Jadi kalau saya lihat sekarang itu salah satunya karena ketegangan geopolitik ini memicu inflasi dan akhirnya banyak negara melindungi produknya, melindungi kepentingan dalam negerinya,” papar Ramdhan. 
Namun dia melihat, untuk di domestik sendiri keadaan makro saat ini relatif stabil dan ditambah lagi yang menurutnya menjadi kelebihan di Indonesia saat ini adalah likuiditas yang menurutnya sangat baik.
Di mana mulai dari pandemi Covid-19 hingga saat ini penguatan pasar berasal dari domestik, sehingga tidak akan terlalu berpengaruh pada minat investor terhadap obligasi korporasi.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Pembiayaan IKN Bisa Lewat Obligasi dan Sukuk Otorita IKN,2024-09-25T04:33:15.428Z,05 May 2022 06:31 WIB,Setyo Aji Harjanto,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220505%2F92%2F1530058%2Fpembiayaan-ikn-bisa-lewat-obligasi-dan-sukuk-otorita-ikn,"Bisnis.com, JAKARTA – Presiden Joko Widodo menegaskan dalam bentuk aturan bahwa pendanaan pembangunan Ibu Kota Negara (IKN) dapat bersumber dari Anggaran Pendapatan dan Belanja Negara (APBN) dan sumber lain yang sah. Salah satunya ialah penerbitan obligasi atau sukuk.Hal itu tercantum di dalam Peraturan Pemerintah No.17/2022 tentang Pendanaan dan Pengelolaan Anggaran untuk Persiapan, Pembangunan, dan Pemindahan Ibu Kota Negara serta Penyelenggaraan Pemerintah Daerah Khusus Ibu Kota Nusantara. Beleid itu ditandatangani oleh Presiden Jokowi pada 18 April 2022.Otorita IKN dapat menerbitkan Obligasi dan/atau Sukuk Pemerintahan Daerah Khusus Ibu Kota Nusantara (pasal 5 ayat 1).""Penerbitan Obligasi dan/atau Sukuk Pemerintahan Daerah Khusus IKN dilakukan dengan persetujuan menteri dan mendasarkan pada ketentuan peraturan perundang-undangan,"" dikutip dalam aturan tersebut.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Pemerintah memperkirakan total kebutuhan anggaran untuk IKN mencapai Rp466 triliun yang akan dipenuhi melalui APBN sebesar Rp89,4 triliun, Rp253,4 triliun dari kerja sama pemerintah dan badan usaha (KPBU) serta Rp123,2 triliun dari swasta.Dalam dalam ketentuan umum peraturan di beleid itu disebutkan bahwa skema pendanaan Ibu Kota Nusantara dapat bersumber dari APBN dan sumber lain yang sah.Baca JugaIKN Akan Jadi Superhub Ekonomi, Ini Enam Klaster PenopangnyaJokowi Tegaskan Penggunaan APBN untuk Pendanaan Ibu Kota Negara Lewat PPPendanaan SWF INA Bisa Meleset dari Target Jokowi?Sumber lain yang dimaksud tersebut antara lain berupa pemanfaatan Barang Milik Negara (BMN) dan/atau pemanfaatan Aset Dalam Pengusahaan (ADP) Otorita Ibu Kota Nusantara, penggunaan skema Kerja Sama Pemerintah dan Badan Usaha (KPBU), dan keikutsertaan pihak lain termasuk penugasan badan usaha yang sebagian atau seluruh modalnya dimiliki negara, penguatan peran badan hukum milik negara, dan pembiayaan kreatif (creative financing).Dalam pasal 4 PP tersebut, diatur secara perinci ihwal sumber dan skema pendanaan IKN.Ayat (1), Skema pendanaan yang bersumber dari APBN sebagaimana dimaksud dalam Pasal 3 huruf a dapat berbentuk, belanja; dan/atau pembiayaan.Pada ayat (2) Skema pendanaan dalam bentuk belanja sebagaimana dimaksud pada ayat (1) huruf a termasuk pendanaan yang bersumber dari penerimaan negara bukan pajak.Pada ayat (3 dan 4) disebutkan Pendanaan yang bersumber dari surat berharga negara yang meliputi Surat Berharga Syariah Negara (SBSN) dan Surat Utang Negara.Kemudian, diatur juga soal Pemanfaatan BMN dan/atau pemanfaatan ADP pada ayat 5 huruf a angka 1 Penggunaan skema Kerja Sama Pemerintah dan Badan Usaha (KPBU) IKN (ayat 5 huruf a angka 2.Selanjutnya ihwal Keikutsertaan pihak lain, termasuk penugasan badan usaha yang sebagian atau seluruh modalnya dimiliki oleh negara; penguatan peran badan hukum milik negara; dan pembiayaan kreatif diatur pada ayat 5 huruf a angka 3.Selanjutnya terkait, kontribusi swasta (ayat 6 huruf a angka 1), Kemudian Pembiayaan kreatif selain yang dimaksud pada ayat 5 huruf a angka 3 diatur pada ayat 6 huruf a angka 2.Pasal 4 juga mengatur soal Pajak Khusus IKN dan/atau pungutan Khusus IKN setelah mendapat persetujuan DPR, yang diatur di ayat 6 huruf a angka 3.Pada pasal ini, Pelaksanaan skema pendanaan IKN yang bersumber dari APBN dalam bentuk SUN dilakukan sesuai dengan ketentuan peraturan perundang-undangan diatur di ayat 7.Aturan ini juga mengatur soal pelaksanaan pembiayaan kreatif sebagaimana ditetapkan oleh menteri setelah berkoordinasi dengan kementerian yang menyelenggarakan urusan pemerintahan di bidang perencanaan pembangunan nasional, kementerian/lembaga, dan/atau Otorita IKN.Selanjutnya pada Pasal 43 mengatur mengenai jenis Pajak Khusus IKN yang dapat dipungut oleh Otorita IKN.Pada Pasal 7 aturan ini mengatur soal masa persiapan, pembangunan, dan pemindahan IKN ditetapkan sebagai program prioritas nasional paling singkat 10 tahun dalam rencana kerja pemerintah sejak tahun 2022 atau paling singkat sampai dengan selesainya tahap 3 penahapan pembangunan IKN. Adapun, pembangunan IKN tahap III yakni pada periode 2030-2034.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PROSPEK EMITEN : Geliat BBTN Memacu Modal Inti,2024-09-25T04:33:15.740Z,28 April 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220428%2F446%2F1528119%2Fprospek-emiten-geliat-bbtn-memacu-modal-inti,
"PENERBITAN OBLIGASI : BBTN Tetapkan Kupon 5,5% dan 6%",2024-09-25T04:33:16.061Z,26 April 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220426%2F446%2F1527172%2Fpenerbitan-obligasi-bbtn-tetapkan-kupon-5-5-dan-6,
