Title,Scrapping Date,Article Date,Author,Link,Content
SUN Energy Luncurkan Ruang Monitoring Kinerja Sistem Energi Surya Terintegrasi Berbasis IoT,2024-09-25T06:05:16.554Z,06 July 2022 09:38 WIB,Abdullah Azzam,https://search.bisnis.com/link?url=https%3A%2F%2Ffoto.bisnis.com%2Fview%2F20220706%2F1555209%2Fsun-energy-luncurkan-ruang-monitoring-kinerja-sistem-energi-surya-terintegrasi-berbasis-iot,"Bisnis.com, JAKARTA - Transisi menuju masa depan rendah karbon dapat diwujudkan melalui percepatan penggunaan energi bersih di berbagai sektor. Kementrian Energi dan Sumber Daya Mineral (ESDM) Republik Indonesia mencatat dari 587 GW kapasitas pembangkit energi baru terbarukan (EBT), lebih dari 60 persen berasal dari energi surya yang akan berperan sangat penMng dalam penyediaan listrik nasional.Per awal kuartal dua di tahun 2022 ini, PLN mencatat terdapat lebih dari 5.000 konsumen PLN yang memanfaatkan sistem Pembangkit Listrik Tenaga Surya (PLTS). Sebagai salah satu sumber energi alternaMf masa depan, riset untuk mengembangkan teknologi energi surya terus dilakukan guna menyediakan biaya yang lebih rendah sehingga dapat semakin terjangkau oleh masyarakat luas. Melihat potensi energi surya dan penyerapannya yang semakin meningkat, SUN Energy terus berupaya secara konsisten menawarkan inovasi kepada para pelanggan.Sejak didirikan tahun 2016, hingga kini portofolio SUN Energy telah tersebar di lebih dari 25 kota di Indonesia dan mengantongi proyek sebesar 280 MWp di 3 negara. Berkomitmen untuk menyediakan layanan terintegrasi berbasis teknologi, pada hari Kamis (14/07) SUN Energy meluncurkan ruang pemantauan kinerja sistem energi surya yang terintegrasi berbasis Internet of Thing (IoT) yang dinamakan SUN Energy Tech Space. “Di ruangan ini, Mm ahli SUN Energy dapat memantau serta mengontrol kinerja sistem PLTS kami yang tersebar di seluruh Indonesia hingga Thailand.Sistem perangkat yang dipasang mampu mengidenMfikasi, menginformasikan, serta mendiagnosis masalah sehingga kegiatan operasi dan pemeliharaan sistem energi surya di lokasi pelanggan dapat dimonitor secara real-Mme selama 24/7,” ungkap Philip Lee selaku Chief ExecuMve Officer (CEO) SUN Energy.
                                
                    Bisnis.com, JAKARTA - Transisi menuju masa depan rendah karbon dapat diwujudkan melalui percepatan penggunaan energi bersih di berbagai sektor. Kementrian Energi dan Sumber Daya Mineral (ESDM) Republik Indonesia mencatat dari 587 GW kapasitas pembangkit energi baru terbarukan (EBT), lebih dari 60 persen berasal dari energi surya yang akan berperan sangat penMng dalam penyediaan listrik nasional.Per awal kuartal dua di tahun 2022 ini, PLN mencatat terdapat lebih dari 5.000 konsumen PLN yang memanfaatkan sistem Pembangkit Listrik Tenaga Surya (PLTS). Sebagai salah satu sumber energi alternaMf masa depan, riset untuk mengembangkan teknologi energi surya terus dilakukan guna menyediakan biaya yang lebih rendah sehingga dapat semakin terjangkau oleh masyarakat luas. Melihat potensi energi surya dan penyerapannya yang semakin meningkat, SUN Energy terus berupaya secara konsisten menawarkan inovasi kepada para pelanggan.Sejak didirikan tahun 2016, hingga kini portofolio SUN Energy telah tersebar di lebih dari 25 kota di Indonesia dan mengantongi proyek sebesar 280 MWp di 3 negara. Berkomitmen untuk menyediakan layanan terintegrasi berbasis teknologi, pada hari Kamis (14/07) SUN Energy meluncurkan ruang pemantauan kinerja sistem energi surya yang terintegrasi berbasis Internet of Thing (IoT) yang dinamakan SUN Energy Tech Space. “Di ruangan ini, Mm ahli SUN Energy dapat memantau serta mengontrol kinerja sistem PLTS kami yang tersebar di seluruh Indonesia hingga Thailand.Sistem perangkat yang dipasang mampu mengidenMfikasi, menginformasikan, serta mendiagnosis masalah sehingga kegiatan operasi dan pemeliharaan sistem energi surya di lokasi pelanggan dapat dimonitor secara real-Mme selama 24/7,” ungkap Philip Lee selaku Chief ExecuMve Officer (CEO) SUN Energy."
Rebalancing Portofolio Kerek Minat Investor Terhadap SUN,2024-09-25T06:05:16.880Z,02 November 2020 06:14 WIB,M. Nurhadi Pratomo,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20201102%2F92%2F1312217%2Frebalancing-portofolio-kerek-minat-investor-terhadap-sun,"Bisnis.com, JAKARTA — Permintaan terhadap instrumen surat utang negara masih tinggi menjelang akhir tahun seiring dengan momentum rebalancing portofolio investor. Institusi perbankan konvensional diprediksi masih bakal mendominasi kepemilikan.Pemerintah melalui Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) melaporkan pemerintah akan melelang tujuh seri surat utang negara (SUN) pada Selasa (3/11/2020). SUN yang ditawarkan terdiri atas dua seri surat perbendaharaan negara (SPN) dan lima obligasi negara (ON) dengan target indikatif Rp20 triliun dan target maksimal Rp40 triliun.Associate Director of Research and Investment Pilarmas Sekuritas Maximilianus Nico Demus mengatakan lelang perdana November 2020 cukup menarik. Pasalnya, saat ini pasar obligasi berpotensi mengalami penurunan secara harga yang artinya akan berimbas terhadap kenaikan imbal hasil.“Kenaikkan imbal hasil itu sendiri berpotensi semakin naik karena situasi dan kondisi politik dalam negeri yang cukup memanas khususnya pekan ini yang di mana akan ada demo buruh dalam jumlah besar yang mendorong ketidakpastian omnibus law yang ditunggu oleh banyak pihak menjadi terhambat,” paparnya kepada Bisnis, Minggu (1/11/2020).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Dari sisi global, lanjut dia, pemilihan presiden Amerika Serikat (AS) akan mencuri perhatian. Selain itu, data produk domestik bruto (PDB) kuartal III/2020 juga akan ditunggu oleh para pelaku pasar meskipun hasil masih akan sesuai perkiraan.Nico memprediksi penurunan harga obligasi masih akan sangat berpotensi terjadi meski dalam rentang terbatas. Oleh karena itu, kenaikkan imbal hasil akan menjadi sesuatu yang wajar.Baca JugaKemenKeu Sebut Investasi SBN Ritel Laris, Tembus Rp71 TriliunBelum Sempat Beli SBN Ritel? Tenang, Masih Ada Produk Baru Bulan DepanDia meyakini lelang SUN masih akan ramai peminat apalagi menjelang akhir tahun. Kondisi itu sejalan dengan investor yang juga akan melakukan rebalancing portofolio.“Oleh sebab itu, ini akan menjadi momen bagi pelaku pasar dan investor masuk untuk mendapatkan obligasi dengan imbal hasil yang tinggi. [Prediksi penawaran masuk] Rp50 triliun—Rp60 triliun, lebih dari itu akan menjadi sesuatu yang menarik,” jelasnya.Sebagai catatan, penawaran masuk dalam lelang SUN periode 20 Oktober 2020 mencapai Rp83,02 triliun. Nilai itu naik 67,8 persen dibandingkan dengan permintaan Rp49,47 triliun lelang sebelumnya.Sebelumnya, Plt. Direktur SUN Direktorat Jenderal Pembiayaan dan Pengelolaan Risiko (DJPPR) Kementerian Keuangan Deni Ridwan memberikan catatan bahwa partisipasi investor asing secara nominal dalam lelang SUN terakhir lebih tinggi dari lelang sebelumnya. Penawaran masuk dari investor asing naik dari sebelumnya Rp7,53 triliun menjadi Rp11,97 triliun.DJPPR Kemenkeu mencatat porsi kepemilikan investor asing di SUN yang dapat diperdagangkan senilai Rp936,06 triliun atau setara dengan 31,62 persen sampai dengan Senin (26/10/2020). Porsi itu menciut dibandingkan dengan Rp1.033,41 triliun atau 45,58 persen pada akhir Desember 2019.Perbankan konvensional kini menjadi institusi dengan porsi kepemilikan SUN yang dapat diperdagangkan terbesar. Tercatat, kepemilikan bank tembus Rp1.101,51 triliun atau setara 37,21 persen.Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mengatakan porsi kepemilikan investor asing di SUN melorot dan kini digantikan oleh perbankan. Kondisi itu menurutnya akibat kebijakan dan stimulus yang memungkinkan bank lebih banyak masuk.“Selama pandemi Covid-19, potensi perbankan meninkat besar. Fungsi intermediary juga menurun,” jelasnya.Ramdhan memprediksi penawaran masuk dalam lelang SUN perdana November 2020 mencapai Rp60 triliun—Rp70 triliun. Menurutnya, kondisi pasar obligasi saat ini relatif landai dengan pergerakan yield sempit dan potensi penguatan terbatas.Berdasarkan data laman resmi www.worldgovernmentbonds.com, yield SUN Indonesia tenor 10 tahun berada di level 6,787 persen pada, Minggu (1/11/2020). Posisi itu turun dari 7,03 persen 1 bulan sebelumnya.“Tren asing masuk perlahan mulai terlihat dengan besaran terbatas dan mereka pastinya masih mengamati pasar SUN. Potensi mereka masuk ke Indonesia masih cukup besar di tengah tren suku bunga rendah di pasar global,” paparnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
INSTRUMEN INVESTASI : Minat Ke SUN Kian Meningkat,2024-09-25T06:05:17.289Z,02 November 2020 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20201102%2F442%2F1312157%2Finstrumen-investasi-minat-ke-sun-kian-meningkat,
"KABAR BURSA: Saham Blue Chips Jadi Unggulan, Lelang SUN Diprediksi Ramai",2024-09-25T06:05:17.605Z,14 July 2020 07:14 WIB,Renat Sofie Andriani,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20200714%2F7%2F1265552%2Fkabar-bursa-saham-blue-chips-jadi-unggulan-lelang-sun-diprediksi-ramai,"Bisnis.com, JAKARTA - Berita mengenai volatilitas IHSG dan surat utang negara, antara lain, menjadi topik halaman market, portofolio, dan investasi edisi harian Bisnis Indonesia, Selasa (14/7/2020).Berikut perincian topiknya:Saham Blue Chips Jadi Unggulan. Awal semester II/2020 menjadi momentum bagi perusahaan sekuritas untuk merombak daftar saham-saham yang menjadi rekomendasi utama. Saham blue chips dengan fundamental yang kuat dan valuasi yang atraktif jadi unggulan.Geliat MAPI & ACES. Penjualan emiten peritel, PT Mitra Adiperkasa Tbk. dan PT Ace Hardware Indonesia Tbk. berangsur menggeliat setelah hampir sebulan pusat perbelanjaan modern kembali beroperasi.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Tren Penguatan Bakal Berlanjut. Apiknya laju indeks harga saham gabungan dan penambahan unit penyertaan selama Juni menopang kinerja industri reksa dana Tanah Air. Investor dinilai mulai semangat lagi untuk menambah portofolionya.Lelang Diprediksi Ramai. Kesepakatan skema burden sharing dan penemuan vaksin Covid-19 dalam perkembangan terakhir bakal jadi katalis positif untuk pasar obligasi pemerintah. Lelang surat utang negara (SUN) pada hari ini, Selasa (14/7), bisa jadi pembuktian.Baca JugaIni Faktor yang Bikin Kinerja Reksa Dana Moncer Lagi di Juni 2020Sentimen Penemuan Vaksin Covid-19 Bikin Rupiah Menguat di Awal PekanMirae Asset Sekuritas: Ada 3 Skenario IHSG 2020, Terbaik Tembus 6.025Covid-19 Masih Ancam Rupiah. Walaupun menguat pada awal pekan, tetapi nilai tukar rupiah masih rawan koreksi mengingat adanya peningkatan kasus Covid-19 yang signifikan di Indonesia dan dapat mempengaruhi sektor ekonomi dan keuangan.Minyak Menanti Keputusan OPEC+. Harga minyak sedikit terkoreksi menjelang pertemuan OPEC+ pekan ini yang diprediksi bakal mengumumkan rencana untuk menaikkan lagi produksi di saat kasus Covid-19 global masih terus bertambah secara global.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"KABAR BURSA: Wajah Anyar Ramaikan Bursa, Investor Lokal Bakal Antusias",2024-09-25T06:05:17.950Z,30 June 2020 08:55 WIB,Renat Sofie Andriani,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20200630%2F192%2F1259386%2Fkabar-bursa-wajah-anyar-ramaikan-bursa-investor-lokal-bakal-antusias,"Bisnis.com, JAKARTA – Berita mengenai penawaran saham perdana dan prediksi lelang SUN, antara lain, menjadi topik halaman market, portofolio, dan investasi edisi harian Bisnis Indonesia, Selasa (30/6/2020).  Terpoles Kemilau Harga Emas. Kinerja emiten pertambangan emas berpotensi makin mengilap sejalan dengan kemilau harga logam mulia yang terus mendaki dan kian mendekati level US$1.800 per troy ounces.Wajah Anyar Ramaikan Bursa. Di tengah ketidakpastian pasar modal dalam negeri karena pandemi, tiga calon penghuni baru Bursa Efek Indonesia (BEI) siap melakukan pencatatan perdana pada awal Juli 2020.Baca JugaKilau Harga Emas Siap Kerek Kinerja Emiten Tambang LogamDi Tengah Pandemi, Tiga Perusahaan Siap Melantai di Bursa Efek IndonesiaSawit Sumbermas (SSMS) Optimistis Kinerja Semester II Bakal Membaik
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Sawit Sumbermas Tahan Laba. Emiten perkebunan PT Sawit Sumbermas Sarana Tbk. (SSMS) memutuskan untuk menahan laba bersih dan tidak membagikan dividen pada tahun ini.Pukulan Ganda Untuk Gas Alam. Tantangan pasar gas alam tampaknya semakin berat pada tahun ini. Belum pulih dari rendahnya permintaan pada tahun lalu, kini pasar gas alam diperparah oleh sentimen pandemi Covid-19.Investor Lokal Bakal Antusias. Sejumlah katalis positif dari dalam negeri dan antusiasme investor lokal diprediksi akan membuat penawaran pada lelang Surat Utang Negara (SUN) hari ini tetap tinggi, walaupun ada sentimen global yang kurang baik.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Transaksi Modal dan Finansial Masih Berpotensi Sumbang Surplus Neraca Pembayaran Indonesia,2024-09-25T06:05:18.283Z,01 September 2019 23:29 WIB,Gloria Fransisca Katharina Lawi,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20190901%2F9%2F1143322%2Ftransaksi-modal-dan-finansial-masih-berpotensi-sumbang-surplus-neraca-pembayaran-indonesia,"Bisnis.com, JAKARTA -- Transaksi modal dan finansial masih bisa menyumbang surplus bagi neraca pembayaran Indonesia sampai akhir 2019.Ekonom PT. Pemeringkat Efek Indonesia (Pefindo) Fikri C. Permana menyatakan meski saat ini porsi Surat Utang Negara (SUN) maupun portofolio sekitar 40% masih dikuasai asing, bukan berarti transaksi modal dan finansial (TMF) Indonesia tidak akan bertumbuh positif ketika terjadi goncangan global. Menurut Fikri, melepas ketergantungan pada aliran modal asing membutuhkan waktu cukup panjang.""Ekonomi kita sebenarnya dari sektor riil dan keuangan masih sangat menarik, dari sisi riil, konsumsi dalam negeri kita saja 260 juta, itu jadi modal besar,"" ujar Fikri kepada Bisnis, Minggu (1/9/2019).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Dia menilai, keuntungan besarnya porsi konsumsi Indonesia masih bisa diperkuat untuk menambah foreign direct investment (FDI). Utamanya sebagai penguatan sumber dana di tengah ketidakpastian global dan perang dagang.Sementara dari sisi portofolio, Fikri memerinci pasar saham Indonesia juga masih tumbuh positif sebagai emerging market.""Sampai akhir tahun kita masih bisa surplus, karena asing memang masih mau ke Indonesia,"" ungkap Fikri.Terkait sejumlah agenda penting ke depan, dari sisi sektor riil Fikri menilai pemerintah perlu menjaga sisi konsumsi. Misalnya dengan menambah pendapatan masyarakat melalui bantuan sosial dan menjaga inflasi tetap stabil rendah.Sementara dari sisi investasi, selain kebijakan pelonggaran moneter, Fikri memandang penting kebijakan fiskal dari pemerintah mendorong FDI.""Terutama melalui deregulasi yang selama ini dipandang kurang baik bagi investor,"" paparnya.Dari sisi pasar keuangan, pemerintah  dan pemangku kebijakan moneter perlu mempercepat pendalaman dan perluasan pasar keuangan. Salah satunya dengan menambah porsi investor dalam negeri, ujar Fikri.""Jumlah investor dalam negeri baru sekitar 2 juta, sedangkan jumlah populasi kita 260 juta, ini masih sangat jauh,"" ujarnya.Berdasarkan Laporan Neraca Pembayaran Indonesia (NPI) Kuartal II/2019 mengalami defisit US$2,0 miliar. Sementara salah satu tumpuan NPI kali ini adalah surplusnya neraca transaksi modal dan finansial sebesar US$7,1 miliar. Porsi surplus ini banyak ditopang oleh aliran masuk berbentuk investasi langsung dan investasi portofolio.Sayangnya surplus transaksi modal dan finansial kuartal II/2019 ternyata lebih rendah dari kuartal sebelumnya. Dikutip dari data NPI kuartal I/2019, transaksi modal dan finansial kuartal sebelumnya cukup besar yakni US$10,1 miliar.Penurunan pada kuartal II disebabkan defisit investasi lainnya. Kondisi ini juga akibat tingginya pembayaran pinjaman luar negeri pemerintah dan sektor swasta.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"PORTOFOLIO WATCH : Harga Murah, Saatnya Koleksi FR0070",2024-09-25T06:05:18.583Z,03 December 2018 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20181203%2F441%2F865509%2Fportofolio-watch-harga-murah-saatnya-koleksi-fr0070,
PORTOFOLIO WATCH : Menimbang Prospek SUN 20 Tahun,2024-09-25T06:05:19.357Z,12 September 2018 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20180912%2F442%2F837249%2Fportofolio-watch-menimbang-prospek-sun-20-tahun,
STRATEGI REKSA DANA PENDAPATAN TETAP : MI Perbesar Porsi Obligasi Korporasi,2024-09-25T06:05:19.657Z,18 October 2017 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20171018%2F442%2F700323%2Fstrategi-reksa-dana-pendapatan-tetap-mi-perbesar-porsi-obligasi-korporasi,
"PASAR OBLIGASI 8 JANUARI: Bergerak Bervariasi, Investor Disarankan Buru Tenor Pendek",2024-09-25T06:05:19.981Z,08 January 2016 08:43 WIB,Riendy Astria,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20160108%2F92%2F508006%2Fpasar-obligasi-8-januari-bergerak-bervariasi-investor-disarankan-buru-tenor-pendek,"Bisnis.com, JAKARTA-- Pada perdagangan hari ini, harga surat utang negara (SUN) masih akan bergerak bervariasi di tengah gejolak yang terjadi di pasar saham global. Investor disarankan untuk menggeser portofolio dari tenor panjang ke tenor pendek.Analis MNC Securities I Made Saputra mengatakan harga SUN berpeluang untuk mengalami kenaikan didorong oleh penurunan yield  SUN Amerika seiring dengan meningkatnya permintaan terhadap instrumen yang lebih aman (safe haven asset) di tengah koreksi tajam yang terjadi pada pasar saham dan harga komoditas minyak.Pada perdagangan kemarin, imbal hasil US Treasury dengan tenor 10 tahun ditutup pada level 2,14% mengalami penurunan dibandingkan dengan level penutupan sebelumnya di level 2,18% dan sempat menyentuh level 2,119% yang merupakan posisi terendahnya sejak bulan Oktober 2015.Namun demikian, koreksi besar yang terjadi pada pasar saham global akan turut mempengaruhi pergerakan harga SUN pada perdagangan hari ini. Hal ini akan membuka peluang terjadinya koreksi harga.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Pelaku pasar pada perdagangan hari ini juga akan mencermati data cadangan devisa yang akan disampaikan oleh Bank Indonesia pada hari ini,” kata Made dalam risetnya, Jumat (8/1/2016).Data cadangan devisa dalam beberapa bulan terakhir mengalami dengan tren penurunan. Cadev diantaranya digunakan Bank Indonesia untuk menjaga stabilitas nilai tukar rupiah di tengah tren penguatan dolar Amerika.Adapun secara teknikal, harga SUN masih berada pada area konsolidasi, sehingga diperkirakan harga SUN dalam jangka pendek masih akan bergerak pada rentang harga yang terbatas dengan kecenderungan bergerak mendatar (sideways).Dengan kondisi tersebut investor harus tetap mencermati arah pergerakan harga SUN di pasar sekunder dengan melakukan strategi tarding jangka pendek di tengah kondisi pasar keuangan yang masih bergejolak.“Kami juga menyarankan kepada investor untuk menggeser portofolio dari tenor panjang ke tenor pendek seiring dengan selisih imbal hasil dari kedua tenor yang tidak terlalu besar dimana SUN bertenor pendek memiliki resiko yang lebih rendah daripada yang didapati pada tenor panjang.”MNC Securities merekomendasikan jual untuk seri FR0056 dan FR0072 dengan ditukar dengan tenor yang lebih penek yang memiliki tingkat imbal hasil yang lebih besar seperti FR0031, FR0053 dan FR0061 untuk tenor pendek dan seri FR0058, FR0065 dan FR0068 untuk tenor panjang.Yield pada perdagangan Kamis, 7 Januari 2016 bergerak bervariasi dengan kecenderungan mengalami penurunan di tengah gejolak yang terjadi di pasar saham global. Perubahan tingkat imbal hasil berkisar antara 1 - 10 bps dengan penurunan imbal hasil yang cukup besar terjadi pada SUN bertenor pendek.Koreksi besar yang terjadi pada pasar saham China turut mempengaruhi pasar saham global yang juga turut dipengaruhi oleh penurunan harga komoditas minyak.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
