Title,Scrapping Date,Article Date,Author,Link,Content
"Emiten Kabel Low Tuck Kwong (VOKS) Moncer, Peringkat Utang Stabil",2024-09-25T06:04:57.242Z,12 September 2023 15:39 WIB,Redaksi,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230912%2F192%2F1694117%2Femiten-kabel-low-tuck-kwong-voks-moncer-peringkat-utang-stabil,"Bisnis.com, JAKARTA - PT Pemeringkat Efek Indonesia (PEFINDO) melaporkan prospek peringkat perusahaan PT Voksel Electric Tbk (VOKS), emiten kabel portofolio konglomerat Low Tuck Kwong, berada di posisi stabil. Hal ini menandai kuatnya pasar VOKS, termasuk permintaan yang stabil di sektor ketenagalistrikan dan telekomunikasi.Pefindo menunjukkan peringkat obligasi VOKS berada di idBBB/Stable, sedangkan untuk Bond I, berada di idBBB, dalam periode 7 September 2023 – 1 September 2024.Namun, peringkat dibatasi oleh struktur permodalan yang agresif dan proteksi arus kas yang lemah, basis pelanggan yang terkonsentrasi serta eksposur terhadap risiko fluktuasi harga bahan bakuPefindo menjelaskan, bahwa peringkat dapat naik, jika VOKS secara signifikan memperkuat indikator EBITDA dan profitabilitasnya, serta memperluas profil nasabah dan bauran produk secara berkelanjutan. Namun, juga harus disertai dengan perbaikan struktur permodalan dan perlindungan arus kas secara konsisten.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            ""Sebaliknya, Peringkat dapat diturunkan jika Perusahaan tidak dapat mencapai target pendapatan, dan EBITDA secara signifikan, atau jika VOKS menarik utang yang substansial dan mengakibatkan pelemahan profil kredit,"" jelas laporan PefindoSelain itu, peringkat juga dapat terbawa dalam tekanan jika, Pefindo melihat adanya potensi ketidakmampuan VOKS dalam merealisasikan rencana pembiayaan kembali obligasi yang akan jatuh tempo pada 11 November 2023.Baca JugaEmiten Kabel Low Tuck Kwong (VOKS) Balikkan Rugi Jadi Laba Rp2,7 MiliarRekam Jejak Hengtong Akuisisi Saham Voksel (VOKS) Koleksi Low Tuck KwongIntip Kinerja Saham Koleksi Low Tuck Kwong, Taipan yang Salip SinarmasSebelumnya, sepanjang semester I/2023, VOKS, menorehkan kinerja gemilangnya, dengan keberhasilannya membalikkan rugi jadi laba Rp 2,7 miliar.Berdasarkan laporan keuangan di laman Bursa Efek Indonesia (BEI), VOKS membukukan laba bersih sebesar Rp2,70 miliar, atau berbalik dari rugi Rp152,5 miliar pada semester I/2022.Capaian laba bersih tersebut didorong oleh naiknya pendapatan 18,05 persen secara year-on-year (yoy) menjadi Rp1,35 triliun, dibanding periode sama 2022 sebesar Rp1,14 triliun. Pendapatan tersebut terdiri dari segmen kabel listrik, kabel fiber optik, kabel kawat tembaga, jasa servis dan trading.Seiring kenaikan pendapatan, beban pokok pendapatan perseroan ikut terkerek menjadi Rp1,19 triliun dibanding semester I/2022 sebesar Rp1,18 triliun. Alhasil, VOKS mencatatkan laba kotor sebesar Rp165,58 miliar dibandingkan semester I/2022 yang rugi Rp36,72 miliar.Sementara itu, kas dan setara kas akhir periode perseroan turun 59,71 persen menjadi Rp59,35 miliar dibanding periode tahun sebelumnya sebesar Rp147,31 miliar.Berdasarkan neraca, total aset VOKS tumbuh menjadi Rp2,80 triliun hingga 30 Juni 2023 dibanding posisi akhir Desember 2022 sebesar Rp2,66 triliun.Liabilitas perseroan naik menjadi Rp2,08 triliun dibanding akhir 2022 sebesar Rp1,94 triliun. Sedangkan ekuitas naik tipis menjadi Rp720,73 miliar dibanding Desember 2022 sebesar Rp719,09 miliar.Sebagai informasi, Low Tuck Kwong tercatat menggenggam 329,33 juta saham VOKS atau setara 7,93 persen saham, efektif per 31 Juli 2023. (Muhammad Omar Adibaskoro)


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Minat Surat Utang Tinggi, Bibit Dorong Diversifikasi Portofolio Investor",2024-09-25T06:04:57.629Z,07 June 2023 12:59 WIB,Nuhansa Mikrefin Yoedo Putra,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230607%2F7%2F1663041%2Fminat-surat-utang-tinggi-bibit-dorong-diversifikasi-portofolio-investor,"Bisnis.com, JAKARTA — Aplikasi investasi digital Bibit.id mendorong investor untuk melakukan diversifikasi portofolio di tengah tingginya minat masyarakat terhadap instrumen surat berharga negara (SBN).PR & Corporate Communication Lead di Stockbit dan Bibit.id William mengatakan para investor memiliki profil risiko dan tujuan keuangan yang berbeda-beda. Bibit.id lantas memungkinkan investor untuk melakukan diversifikasi pada beberapa aset portofolio.Beberapa diantaranya seperti reksa dana, surat berharga negara yang dapat dibeli di pasar primer dan sekunder seperti Obligasi Negara Ritel (ORI), Savings Bond Ritel (SBR), Sukuk Tabungan (ST), Sukuk Ritel (SR), Fixed Rate (FR), serta saham.Dia juga menyebut Bibit.id berupaya melakukan edukasi dan literasi bersama regulator, pelaku industri di sektor jasa keuangan, universitas, dan komunitas untuk meningkatkan jumlah investor dan investasi secara organik pada berbagai instrumen.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Adapun dia menyebut tingkat penetrasi pada pasar manajemen aset masih tergolong rendah dibandingkan dengan negara lainnya. Hal ini tercermin dari total aset kelolaan (Asset Under Management/AUM) reksa dana Indonesia masih berada di bawah angka 4 persen jika dibandingkan dengan total Produk Domestik Bruto.“Berada jauh dibawah Malaysia, Thailand, dan India yang masing-masing telah mencapai angka 35,8 persen, 30,3 persen, dan 15,8 persen,” ujar William kepada Bisnis, Rabu (7/6/2023).Baca JugaBibit Gandeng Bank Jago (ARTO) Kejar Pasar Investor SyariahBibit Bidik Investor Reksa Dana dan SBN Ritel dari Kedai KopiAda Isu PHK, Bibit.id Buka-bukaan Soal Kondisi PerusahaanMeski demikian, dia menyebut tingkat populasi dan prospek pertumbuhan yang kuat akan mendorong permintaan terhadap produk dan layanan keuangan. Sebagai gambaran, dia mengatakan jumlah investor di Indonesia mengalami pertumbuhan sebesar 38 persen secara year-on-year (YoY) pada 2022. Selain itu, dia menyebut minat investor retail yang berinvestasi pada instrumen SBN melalui Bibit.id juga sangat tinggi. Terlebih Bibit.id merupakan mitra distribusi penjualan SBN yang resmi ditunjuk oleh Kementerian Keuangan.Hal ini dibuktikan dengan Bibit.id yang menjadi mitra distribusi kategori fintech dengan penjualan terbanyak pada penawaran Sukuk Ritel seri ST009 (11-30 November 2022), Obligasi Negara Ritel seri ORI022 (26 September-20 Oktober 2022), Surat Berharga Syariah Negara ritel seri SR017 (19 Agustus-14 September 2022), dan  Savings Bond Ritel (SBR) seri SBR012 (19 Januari-9 Februari 2023).


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
INVESTASI INDUSTRI ASURANSI  : Asuransi Jiwa Cari Untung  di Surat Utang,2024-09-25T06:04:57.925Z,21 October 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221021%2F445%2F1589909%2Finvestasi-industri-asuransi-asuransi-jiwa-cari-untung-di-surat-utang,
"Emiten Properti Andalan Lo Kheng Hong, Intiland (DILD) Rilis Sukuk Rp750 Miliar",2024-09-25T06:04:58.285Z,25 August 2022 19:31 WIB,Mutiara Nabila,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220825%2F192%2F1570783%2Femiten-properti-andalan-lo-kheng-hong-intiland-dild-rilis-sukuk-rp750-miliar,"Bisnis.com, JAKARTA – Emiten properti jagokan Lo Kheng Hong, PT Intiland Development Tbk. (DILD) mencatatkan obligasi sukuk dengan target raihan dana sebesar Rp750 miliar.Berdasarkan keterbukaan informasi DILD di Bursa Efek Indonesia, DILD akan menerbitkan dan menawarkan Sukuk Ijarah Berkelanjutan I Intiland Development Tahap II Tahun 2022 dengan sisa imbalan ijarah sebesar Rp250 miliar.Sukuk Ijarah ini ditawarkan sebesar 100 persen dari Jumlah Sisa Imbalan Ijarah dan diterbitkan tanpa warkat, kecuali Sertifikat Jumbo Sukuk Ijarah yang diterbitkan atas nama PT Kustodian Sentral Efek Indonesia (KSEI).DILD Chart by TradingView  new TradingView.widget(  {  ""width"": ""100%"",  ""height"": 480,  ""symbol"": ""IDX:DILD"",  ""interval"": ""D"",  ""timezone"": ""Etc/UTC"",  ""theme"": ""light"",  ""style"": ""1"",  ""locale"": ""en"",  ""toolbar_bg"": ""#f1f3f6"",  ""enable_publishing"": false,  ""allow_symbol_change"": true,  ""container_id"": ""tradingview_0e4e3""}  );  Jumlah Sisa Imbalan Ijarah yang ditawarkan adalah sebesar Rp250 miliar dengan Cicilan Imbalan Ijarah sebesar Rp26,25 miliar per tahun atau setara dengan 10,50 persen per tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Jangka waktu Sukuk Ijarah tahap kedua ini adalah tiga tahun sejak Tanggal Emisi. Adapun, pembayaran Sisa Imbalan Ijarah secara penuh sebesar 100 persen akan dilakukan pada tanggal jatuh tempo yaitu pada 25 Agustus 2025.Sementara itu, Cicilan Imbalan Ijarah dibayarkan setiap tiga bulan sejak Tanggal Emisi, di mana Tanggal Pembayaran Cicilan Imbalan Ijarah pertama akan dilakukan pada 25 November 2022, sedangkan pembayaran Cicilan Imbalan Ijarah terakhir dan Sisa Imbalan Ijarah dilakukan pada tanggal jatuh tempo.Baca JugaBisikan Lo Kheng Hong Soal Saham Properti Selain Intiland DILDIntiland (DILD) Beri Penjelasan ke BEI, Saham Melesat Diborong Lo Kheng HongLo Kheng Hong Borong Saham Intiland DILD, Begini KinerjanyaSebelumnya, DILD telah melakukan penawaran umum berkelanjutan untuk menerbitkan dan menawarkan Sukuk Ijarah Berkelanjutan I Intiland Development Tahap I Tahun 2021 dengan sisa imbalan ijarah sebesar Rp250 miliar.Adapun, Intilang menjelaskan bahwa seluruh dana hasil Penawaran Umum Sukuk Ijarah setelah dikurangi biaya-biaya Emisi seluruhnya akan dipergunakan Perseroan untuk Pembayaran Kembali Sisa Sukuk Ijarah Berkelanjutan I Intiland Development Tahap I Tahun 2021.“Dalam hal dana yang diperoleh dari hasil Penawaran Umum tidak mencukupi, Perseroan akan menggunakan sumber dana lain berupa kas internal yang dimilikinya atau melakukan pendanaan eksternal lainnya, guna melaksanakan rencana penggunaan dana sebagaimana disebutkan di atas,” ungkap Manajemen DILD dalam keterbukaan informasi, Kamis (25/8/2022).Untuk Sukuk Ijarah Tahap II ini tercatat efektif mulai Rabu (24/8/2022), dengan masa penawaran umum dimulai pada 22 Agustus 2022 dan tanggal penjatahan pada 23 Agustus 2022. Selanjutnya, pengembalian uang pemesanan jatuh pada 25 Agustus 2022, dan distribusi Sukuk Ijarah secara elektronik juga pada 25 Agustus 2022. Kemudian, Sukuk Ijarah ini akan tercatat di Bursa Efek Indonesia pada 26 Agustus 2022.Sementara itu, data PT Kustodian Sentral Efek Indonesia menunjukkan Lo Kheng Hong menjadi salah satu pemegang saham DILD terbesar per 12 Agustus 2022. Lo Kheng Hong dilaporkan memiliki 651,41 juta saham DILD atau setara 6,28 persen.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Portofolio Dwimuria Investama Andalan: TOWR, BCA hingga Surat Utang Korporasi",2024-09-25T06:04:58.616Z,04 August 2022 07:12 WIB,Farid Firdaus,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220804%2F192%2F1562859%2Fportofolio-dwimuria-investama-andalan-towr-bca-hingga-surat-utang-korporasi,"Bisnis.com, JAKARTA – Konglomerat terkaya di Indonesia Robert Budi Hartono dan Michael Bambang Hartono melalui PT Dwimuria Investama Andalan kerap melengkapi portofolio investasinya, baik di pasar saham maupun surat utang.Teranyar, pemilik Grup Djarum ini melalui PT Dwimuria Investama Andalan siap menambah kepemilikan sahamnya di PT Sarana Menara Nusantara Tbk. (TOWR). Aksi ini dilakukan melalui Penawaran Tender Sukarela (PTS) yang dimulai hari ini, Kamis (4/8/2022) hingga 2 September 2022. Berdasarkan prospektus di Harian Bisnis Indonesia, Rabu (3/8/2022), tujuan dari aksi tender offer tersebut adalah bagian dari strategi portofolio Dwimuria Investama. Sebagai bentuk investasi, saham TOWR dapat dijual kembali oleh Dwimuria, karenanya perusahaan tidak memiliki rencana khusus atas TOWR. Sebagai informasi, selain TOWR, portofolio Dwimuria Investama juga mencangkup kepemilikan 54,94 persen saham di PT Bank Central Asia Tbk. (BBCA). Adapun Dwimuria didirikan berdasarkan Akta No.01 tanggal 3 Oktober 2016 yang telah mendapat pengesahan dari Menteri Hukum dan Hak Asasi Manusia Republik Indonesia pada 4 Oktober 2016. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Sebagai perusahaan holding, perusahaan juga melakukan investasi portofolio pada saham dan instrumen surat hutang, baik yang tercatat, maupun yang tidak tercatat di BEI,” tulis manajemen Dwimuria. Dengan kepemilikan portofolio tersebut, Dwimuria berhak memperoleh dividen atau manfaat lain serta kuasa untuk menggunakan hak suara dalam Rapat Umum Pemegang Saham (RUPS) sesuai dengan porsi kepemilikan saham. Baca JugaHari Ini Grup Djarum Mulai Tender Offer Saham TOWR, Siapkan Rp3,3 TriliunEra Bank Digital, Bos BCA (BBCA) Bocorkan Strategi Menangkan PasarSebagai catatan, BCA membayarkan dividen senilai total Rp 4,79 triliun atau Rp120 per saham kepada para investor pada 19 April 2022. Sebelumnya, BBCA juga telah membagikan dividen interim tahun buku 2021 sebesar Rp 25 per saham pada 7 Desember 2021.Alhasil total dividen untuk tahun buku 2021 adalah Rp17,87 triliun atau Rp145 per saham. Artiny, keluarga Hartono dan PT Dwimuria Investama Andalan sebagai pengendali dan pemegang 54,94 persen saham BBCA memperoleh dividen sekitar Rp 9,82 triliun.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PORTOFOLIO INVESTASI   : Investor Obligasi Mencari Proteksi,2024-09-25T06:04:58.941Z,10 March 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220310%2F434%2F1508755%2Fportofolio-investasi-investor-obligasi-mencari-proteksi,
AKSI KORPORASI    : Atur Portofolio Lewat Divestasi,2024-09-25T06:04:59.212Z,04 January 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220104%2F442%2F1485034%2Faksi-korporasi-atur-portofolio-lewat-divestasi,
"Atur Portofolio Utang, Pemerintah Buyback 8 Seri Global Bond Rp16,2 Triliun",2024-09-25T06:04:59.557Z,21 September 2021 12:22 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210921%2F92%2F1444887%2Fatur-portofolio-utang-pemerintah-buyback-8-seri-global-bond-rp162-triliun,"Bisnis.com, JAKARTA - Pemerintah Indonesia melakukan transaksi (manajemen liabilitas) liability management di pasar global untuk yang pertama kalinya skema Tender Offer untuk membeli kembali (buyback) delapan seri global bond yang dimiliki oleh investor.Berdasarkan data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, Selasa (21/9/2021), antusiasme investor global untuk berpartisipasi dalam transaksi ini cukup tinggi.“Hal ini tercermin dari jumlah instruksi tender yang diterima untuk seluruh seri yang totalnya mencapai USS2,68 miliar,” demikian kutipan resmi tersebut.Pemerintah memutuskan untuk melakukan pembelian kembali global bond dengan nilai total US$1,16 miliar atau sekitar Rp16,24 triliun (estimasi kurs Rp14.000 per dolar AS), dengan total pembayaran tunai (cash consideration) sebesar US$1,24 miliar.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Berikut rincian hasil transaksi Tender Offer dimaksud:Baca JugaGencar, Pemerintah RI Kembali Emisi Global Bond US$1,25 MiliarJelang Pertemuan The Fed, Negara Berkembang Gencar Emisi Global Bond hingga Rp504 TriliunPemerintah Kembali Terbitkan Obligasi Global, Ekonom: Timing yang TepatSeri Global BondsJumlah Pokok yang Diterima untukPembelian KembaliFaktor Prorata3,750% Global Bonds yangjatuh tempo pada tahun 2022US$515,19 juta100%2,950% Global Bonds yangjatuh tempo pada tahun 2023US$0NA 3,375% Global Bonds yangjatuh tempo pada tahun 2023US$239,05 juta75.9%5,375% Global Bonds yangjatuh tempo pada tahun 2023US$180,781 juta100%5,875% Global Bonds yangjatuh tempo pada tahun 2024US$0NA4,450% Global Bonds yangjatuh tempo pada tahun 2024US$223,885 juta100%4,125% Global Bonds yangjatuh tempo pada tahun 2025US$0NA4,750% Global Bonds yangjatuh tempo pada tahun 2026US$0NAsumber: DJPPR Kemenkeu.Transaksi liability management untuk Surat Berharga Negara dalam valuta asing di pasar global merupakan bagian dari upaya pengelolaan portofolio instrumen pembiayaan APBN.Pada transaksi ini, pemerintah berhasil mencapai tujuan pelaksanaan transaksi liability management ini yaitu untuk memperpanjang maturity profile instrumen global bond serta melakukan penghematan biaya utang dari penurunan beban bunga, dengan memanfaatkan suku bunga pasar yang saat ini relatif rendah.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENERBITAN SURAT UTANG : Jeli Koleksi Obligasi Korporasi,2024-09-25T06:04:59.860Z,08 September 2021 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20210908%2F441%2F1439403%2Fpenerbitan-surat-utang-jeli-koleksi-obligasi-korporasi,
"Antisipasi Tapering, Ini 3 Sektor Paling Berisiko Terdampak",2024-09-25T06:05:00.298Z,31 August 2021 16:31 WIB,Dany Saputra,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20210831%2F11%2F1436177%2Fantisipasi-tapering-ini-3-sektor-paling-berisiko-terdampak,"Bisnis.com, JAKARTA – Bank sentral Amerika Serikat (AS) Federal Reserve (Fed) menyatakan bahwa akan mulai menarik stimulus, atau tapering, di tahun ini seiring dengan pemulihan ekonomi di AS, Jumat (27/8/2021).Ketua The Fed Jerome Powell mengatakan akan memulai pengurangan pembelian aset tahun ini seiring dengan pengawasan risiko terhadap Covid-19 yang terus berkembang.Sementara untuk suku bunga acuan, akan dilakukan setelah kembalinya perekomian ke tingkat lapangan kerja maksimum dan inflasi ke 2 persen sesuai dengan target The Fed.Ekonom Center of Reform on Economics (CORE) Yusuf Rendy Manilet menilai hampir semua sektor ekonomi berpotensi terdampak dengan adanya rencana tapering oleh The Fed.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Di antara sekian banyak sektor, yang paling terdampak adalah sektor pelaku usaha yang mempunyai portofolio utang dalam bentuk mata uang asing seperti dolar AS.Berdasarkan laporan Bank Indonesia (BI) sektor yang memiliki utang luar negeri terbesar di antaranya sektor jasa keuangan, pertambangan dan penggalian, hingga industri pengolahan.Baca JugaEkonom Nilai Tapering The Fed Berisiko Terlalu LambatTapering The Fed di Depan Mata, Begini Imbasnya ke SBN IndonesiaSementara dengan adanya rencana tapering, Yusuf memperkirakan adanya potensi rupiah mengalami koreksi pelemahan, meskipun mungkin tidak akan terlalu dalam.“Ketiga sektor ini memegang proporsi sekitar 56 persen dari total utang luar negeri pelaku usaha swasta di Indonesia,” jelasnya kepada Bisnis, Selasa (31/8/2021).Untuk mengantisipasi hal tersebut, Yusuf menilai dibutuhkan dukungan baik dari sisi moneter dan non-moneter, dari BI dan pemerintah.Dari sisi moneter, BI dinilai perlu mengantisipasi kebijakan intervensi seperti suku bunga acuan, intervensi di pasar spot, tunai hingga di pasar Surat Berharga Negara (SBN).“Karena seperti yang kita tahu jika The Fed akan menjalankan kebijakannya tentu hal ini berpotensi akan mendorong capital outflow, jika hal tersebut terjadi maka ada peluang nilai tukar akan bergerak lebih volatile dengan kecenderungan melemah,” kata Yusuf.Sementara dukungan kebijakan non-moneter dari pemerintah yaitu dengan menjaga neraca dagang berada pada level yang akomodatif. Dalam artian, jika neraca dagang kembali defisit, maka defisit tersebut tidak akan begitu besar dan tidak sampai berdampak pada neraca transaksi berjalan.Neraca transaksi berjalan, tambah Yusuf, menjadi penting karena akan ikut mempengaruhi keputusan BI dalam misalnya menurunkan atau menaikkan suku bunga.Adapun, Gubernur BI Perry Warjiyo memperkirakan tingkat suku bunga acuan kemungkinan akan mulai dinaikkan pada akhir 2022, sebab tekanan pada inflasi diperkirakan baru akan meningkat pada 2023.“Bukan 2021 dan kemungkinan besar bukan di 2022, karena itu BI sudah mengantisipasinya,” jelasnya.Dia mengatakan BI juga akan terus mengantisipasi kebijakan tapering the Fed. Kebijakan menjaga stabilitas nilai tukar pun akan tetap dilakukan melalui kebijakan triple intervention.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
