Title,Scrapping Date,Article Date,Author,Link,Content
Top 5 News Bisnisindonesia.id: Risiko Fiskal dari BJPS Ketenagakerjaan hingga Aksi PGEO di Kenya,2024-09-25T03:40:26.038Z,04 September 2024 08:21 WIB,Redaksi,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240904%2F215%2F1796737%2Ftop-5-news-bisnisindonesiaid-risiko-fiskal-dari-bjps-ketenagakerjaan-hingga-aksi-pgeo-di-kenya,"Bisnis, JAKARTA— Pemerintah memproyeksi rasio klaim jaminan sosial Badan Penyelenggara Jaminan Sosial (BPJS) Ketenagakerjaan yang berpotensi menimbulkan risiko fiskal apabila terjadi tekanan kesehatan keuangan yang dinilai dari rasio klaim dan pertumbuhan aset neto.Rasio klaim tersebut termasuk program Jaminan Kecelakaan Kerja (JKK), Jaminan Kematian (JKM), Jaminan Kehilangan Pekerjaan (JKP), Jaminan Hari Tua (JHT), dan Jaminan Pensiun (JP) tahun ini, seperti yang tertuang dalam dokumen Buku II Nota Keuangan Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) Tahun Anggaran 2025.  
Ruang Risiko Fiskal BPJS Ketenagakerjaan Kian LebarSecara umum, risiko fiskal yang berasal dari program jaminan sosial yang dikelola oleh BPJS Ketenagakerjaan tahun 2024 relatif terkendali. Namun untuk jangka menengah, pemerintah perlu melakukan evaluasi terhadap kondisi ketahanan dana program JKM yang menurun akibat pandemi Covid-19, peningkatan manfaat, dan berlakunya rekomposisi iuran. Demikian seperti yang dikutip dari Buku II Nota Keuangan RAPBN Tahun Anggaran 2025, Selasa (3/9/2024).
Dalam program JKK, pemerintah memproyeksi rasio klaim 2024 ini sebesar 39,5% dengan tren menurun, dan rasio likuiditas sebesar 517,21%, serta aset neto sebesar Rp59,95 triliun. Kondisi tersebut dikategorikan aman dan berkelanjutan dalam jangka panjang.
Untuk program JKM, proyeksi pemerintah adalah rasio klaim 2024 ini mencapai 91,4% dan memiliki tren meningkat. Proyeksi aset neto tahun ini sebesar Rp8,20 triliun, dan pada tahun 2025 diperkirakan masih positif. Proyeksi ini dilakukan berdasarkan skenario adanya rekomposisi iuran JKM sebesar 0,1% untuk pendanaan program JKP.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
PR Asuransi Tani Wujudkan 'Mimpi' Lumbung Pangan PrabowoCelah perlindungan asuransi pertanian dapat menjadi ‘lubang hitam’ yang menggerus kesejahteraan petani. Perlu upaya ekstra untuk memperluas jangkauan penetrasi asuransi pertanian seiring dengan program lumbung pangan yang digadang-gadang oleh pemerintahan presiden terpilih periode 2024-2029 Prabowo Subianto.
Termasuk dalam program lumbung pangan atau food estate di antaranya mencakup mencetak sawah seluas 250.000 hektare (ha), pengembangan kawasan 285.000 ha, pengembangan kawasan jagung 250.000 ha. Lalu, membangun bendungan sebanyak 12 unit, membangun jaringan irigasi 17.000 ha, memperluas lahan pertanian pangan produktif 20,4 km², hingga asuransi pertanian 1 juta ha.
Lebih lanjut, pemerintah Prabowo nantinya juga akan melakukan peningkatan akses pembiayaan petani seperti dengan program KUR pertanian/alsintan hingga subsidi resi gudang. Proyek ketahanan pangan itu akan dijalankan di tiga provinsi yaitu Kalimantan Tengah (Kalteng), Sumatera Utara (Sumut), dan Nusa Tenggara Timur (NTT).
Bagaimana respons pelaku asuransi pertanian terhadap potensi dari ambisi pembangunan lumbung pangan di Tanah Air di bawah pemerintahan Prabowo Subianto? Simak berita selengkapnya di Bisnisindonesia.id.
Sekuritas Asing hingga Lokal Revisi Naik IHSGSejumlah sekuritas merevisi naik target indeks harga saham gabungan (IHSG) di tengah geliat pasar saham di Tanah Air akibat masuknya dana investor asing sejalan dengan ekspektasi pemangkasan suku bunga acuan pada bulan ini.
Mirae Asset Sekuritas, perusahaan sekuritas asal Korea Selatan merevisi target IHSG menjadi 7.915 sejalan dengan masuknya dana asing. Senior Investment Information Mirae Asset Sekuritas, Nafan Aji Gusta mengatakan berdasarkan riset yang dilakukan, pihaknya telah merevisi proyeksi IHSG hingga akhir 2024 menjadi 7.915, dari sebelumnya 7.585.
Dia juga menyambut positif, adanya potensi penerapan kebijakan pemangkasan suku bunga acuan atau rate cut, dari bank sentral Amerika Serikat (AS) atau The Fed. Menurutnya, sentimen itu akan mendorong likuiditas tambahan masuk ke pasar saham sehingga mendorong kinerja indeks komposit.
Gerak Cepat PGEO Akselerasi Potensi Geotermal KenyaPotensi panas bumi yang melimpah di Kenya menarik perhatian PT Pertamina Geothermal Energy Tbk. untuk ikut mengelolanya. Agresivitas negara tersebut dalam mengembangkan geotermal diharapkan bisa memberikan manfaat signifikan bagi perusahaan.
PT Pertamina Geothermal Energy Tbk. (PGEO) memastikan bakal mengakselerasi proyek pengembangan panas bumi di Kenya. Di negara tersebut, perusahaan berencana untuk menggarap dua proyek berbeda, yakni Suswa dan Langolot.
Direktur Utama PGEO Julfi Hadi mengatakan bahwa pihaknya fokus untuk menjadikan emiten Pertamina Group tersebut sebagai produsen panas bumi kelas dunia. Hal tersebut membuat PGEO aktif mencari peluang di luar negeri, sambil tetap menjaga fokusnya mengembangkan panas bumi di Tanah Air.
Amundi AM, MI Asal Prancis Bakal Kuasai Minoritas Saham BRI MIManajer investasi asal Prancis, Amundi membeli saham anak usaha PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) di bidang manajemen investasi, PT BRI Manajemen Investasi dengan porsi minoritas.
Dalam keterbukaan informasinya, manajemen Bank Rakyat Indonesia, termasuk Corporate Secretary Bank Rakyat Indonesia Agustya Hendy Bernadi dan Department Head Adi Budiman mengatakan bahwa pada 30 Agustus 2024 perusahaan telah melakukan penandatanganan perjanjian dengan Amundi Asset Management. Perjanjian itu merupakan Perjanjian Pengambilan Bagian Saham Bersyarat atau Conditional Share Subscription Agreement.
Lebih lanjut, dia menyebut bahwa perjanjian itu bagian dari rencana transaksi pemesanan saham baru PT BRI Manajemen Investasi oleh Amundi. Perusahaan pun menegaskan tetap mengendalikan secara dominan entitas anak di bidang manajemen investasi itu. Berita selengkapnya bisa diakses melalui Bisnisindonesia.id.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Top 5 News: ‘Curi Start’ Mitigasi Risiko Fiskal hingga Buah Tangan Lawatan Jokowi,2024-09-25T03:40:26.464Z,19 July 2024 08:54 WIB,Duwi Setiya Ariyanti,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240719%2F10%2F1783635%2Ftop-5-news-curi-start-mitigasi-risiko-fiskal-hingga-buah-tangan-lawatan-jokowi,"Bisnis.com, JAKARTA— Semua mata akan tertuju kepada Wakil Menteri Keuangan (Wamenkeu) II Thomas Djiwandono yang baru, menantikan arah kebijakan fiskal di masa pemerintahan baru. Dia tak lain adalah Bendahara Umum Partai Gerindra, sekaligus keponakan presiden terpilih. 
Presiden Joko Widodo (Jokowi) justru menambah dan mengganti jajaran wakil menteri di tiga kementerian menjelang berakhirnya masa jabatan yang tinggal 3 bulan lagi. Tiga wakil menteri tersebut, yakni Wakil Menteri Keuangan Thomas Djiwandono, Wakil Menteri Pertanian Sudaryono, dan Wakil Menteri Investasi Yuliot Tanjung.
Dalam konferensi pers perkenalannya di kantor Kementerian Keuangan pada Kamis (18/7/2024) sore, dia mengungkapkan bakal ambil bagian dalam penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) 2025.
Ketika ditanya soal kelanjutan rencana anggaran Prabowo untuk makan gratis yang dikabarkan akan dipangkas menjadi Rp7.500 dari sebelumnya Rp15.000, Thomas enggan memberi respons. Dia menjawab diplomatis dengan mengatakan program Prabowo akan diselaraskan dengan RAPBN dan berdasarkan tata kelola yang baik, akuntabel, pruden, disiplin, dan kredibel. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Berita tersebut merupakan salah satu pilihan redaksi Bisnisindonesia.id pada Jumat (19/7/2024). Simak ulasan singkatnya berikut ini.
1. 'Curi Start' Mitigasi Risiko Fiskal Ala Kabinet Prabowo
Para pakar ekonomi memiliki pandangan beragam soal masuknya keluarga Prabowo ke tubuh otoritas fiskal. Di satu sisi, Thomas memang dilantik di detik-detik terakhir kepemimpinan Presiden Jokowi untuk memuluskan transisi. 
Di sisi lain, hal ini memunculkan pertanyaan soal kepercayaan atau trust issue Prabowo terhadap orang-orang terdekatnya. 
Direktur Eksekutif Center of Economic and Law Studies (Celios) Bhima Yudhistira menilai langkah Presiden Joko Widodo memasukkan tim transisi dari kubu Prabowo ke dalam jajaran kabinetnya tidak ideal.
""Karena tekanan APBN ke depan mungkin lebih berat sementara program prioritas Prabowo seperti makan siang gratis dan food estate harus diamankan pendanaannya,"" kata Bhima kepada Bisnis, Kamis (18/7/2024). 
Dia mengatakan perputaran isu soal pemerintahan baru belakangan ini juga dikhawatirkan memicu goyahnya arus modal masuk investor yang memengaruhi stabilitas rupiah. 
2. Buah Tangan Lawatan ke UEA, Jokowi Bawa Pulang Setumpuk Kesepakatan
Presiden Joko Widodo membawa pulang sejumlah nota kesepahaman untuk meningkatkan kerja sama di bidang ekonomi dari lawatan ke Abu Dhabi Uni Emirat Arab (UEA).
Dalam pertemuan kenegaraan, Jokowi mengangkat empat isu utama, yakni kerja sama perdagangan, kerja sama investasi strategis, kerja sama energi bersih dan iklim, serta kerja sama sosial budaya.
UEA merupakan salah satu mitra penting perdagangan Indonesia. Sejak 2014, kala Presiden Jokowi baru menjabat, volume perdagangan nonmigas antara UEA dengan Indonesia hanya mencapai US$2,7 miliar. Namun, jumlah itu telah meningkat menjadi US$4,4 miliar pada 2023. Jokowi mengatakan pihaknya senantiasa meningkatkan kerja sama investasi dengan UEA. 
“Ini semua menjadi cermin keberhasilan perkembangan yang sangat maju yang dicapai oleh kedua negara dalam periode ini dengan kekuatan keinginan bersama dan juga perhatian khusus dari Yang Mulia Saudaraku Presiden untuk memajukan kerja sama kedua negara serta menyiapkan segala aspek yang bisa mendukung kerja sama tersebut,” ujarnya dikutip Kamis (18/7/2024).
Terkait kerja sama perdagangan, Presiden Jokowi menyatakan kegembiraannya atas penyelesaian perundingan Comprehensive Economic Partnership Agreement (CEPA). Hal ini menjadikan UEA sebagai negara Timur Tengah pertama yang memiliki kerja sama CEPA dengan Indonesia.
3. Masa Genting Penyaluran Pupuk Subsidi
Penyaluran pupuk subsidi di sejumlah daerah pada semester II/2024 berpotensi terhambat seiring dengan belum tersedia tambahan anggaran yang dijanjikan pemerintah.
Sedikitnya, sekitar 100 kabupaten akan kehabisan pupuk subsidi pada Juli 2024. Alokasi pupuk subsidi yang dimaksud merupakan kontrak pertama sebesar 4,7 juta ton yang telah ditekan Kementerian Pertanian dengan Pupuk Indonesia Holding Company (PIHC) di awal tahun.
Direktur Utama PIHC Rahmad Pribadi mengatakan bahwa kontrak penyaluran alokasi subsidi pupuk terbaru dari pemerintah kini telah ditambah menjadi 9,5 juta ton. Namun, hingga kini penambahan pasokan pupuk subsidi masih terkendala kontrak.
""Karena kontraknya sedang dalam proses, kalau secara normatif kami hanya bisa menyalurkan sesuai dengan kontrak,"" ujar Rahmad, Rabu (17/7/2024).
4. Leasing Nantikan Berkah dari Momentum GIIAS 2024
Pameran otomotif Gaikindo Indonesia International Auto Show (GIIAS) diharapkan dapat mendongkrak penyaluran pembiayaan leasing pada paruh kedua tahun ini, mengingat penjualan kendaraan pada semester I/2024 menunjukan tren penurunan. 
Tercatat, penjualan mobil domestik secara wholesales mencapai 72.936 unit pada Juni 2024. Angka itu turun 11,8% secara year-on-year (YoY) dibandingkan pada Juni 2023. Lalu, penjualan ritel mencapai 70.198 unit, turun 12,3% dibandingkan Juni 2023.
Ketua Umum Asosiasi Perusahaan Pembiayaan Indonesia (APPI) Suwandi Wiratno mengatakan, dalam ajang GIIAS perusahaan leasing atau pembiayaan turut mendukung dengan memberikan fasilitas kredit dan promosi yang menarik kepada calon pembeli.
Masuknya merek-merek baru ke pasar otomotif pada gelaran GIIAS juga dapat mendorong peningkatan animo di masyarakat. 
“Ini harapan kami [dengan GIIAS] bisa mengejar ketertinggalan pada semester I/2024,” kata Suwandi ditemui usai Media Gathering Pembiayaan dan Perbankan di kawasan Jakarta Selatan pada Rabu (17/7/2024). 
5. Kala Pengembang Lirik Status PSN Demi Percepat Pembangunan Kawasan
Status Proyek Strategis Nasional (PSN) memang menggiurkan untuk kemudahan perizinan dan pembebasan lahan, termasuk bagi proyek properti.
Adapun di sektor properti, status PSN telah disematkan ke kawasan Pantai Indah Kapuk (PIK) tropical concept dan kawasan terpadu Bumi Serpong Damai (BSD) sesuai dengan Peraturan Menteri Koordinator (Permenko) Nomor 6 Tahun 2024. Namun, BSD juga menjadi Kawasan Ekonomi Khusus (KEK).
Direktur Utama PT Jababeka (Persero) Tbk Setyono Djuandi Darmono berharap kawasan industri hasil pengembangannya di Cikarang, Bekas bisa dijadikan PSN. Hal ini menyusul kota mandiri milik developer raksasa lainnya yang juga sudah ditetapkan menjadi PSN yakni PIK Tropical Concept dan kawasan terpadu di BSD. Namun, tak seperti PIK dan BSD, pendiri Jababeka ini menginginkan konsep yang beda bila kawasan industri Cikarang ditunjuk jadi PSN.
“Saya butuhkan PSN untuk pendidikan dan kesehatan,” ujarnya dikutip Kamis (18/7/2024). 
Menurutnya, kemudahan regulasi pengembangan kawasan PSN dapat menunjang bisnis perusahaan yang berencana menyediakan fasilitas pendidikan dan kesehatan berkualitas tinggi.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
APBN 2025 : Bekal Menuju Fiskal \'Royal\',2024-09-25T03:40:26.999Z,08 May 2024 08:03 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240508%2F244%2F1763753%2Fapbn-2025-bekal-menuju-fiskal-royal,
"Waswas Dampak Konflik Iran-Israel, Ekonom: Belum Saatnya Intervensi Fiskal",2024-09-25T03:40:27.345Z,18 April 2024 19:59 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240418%2F9%2F1758567%2Fwaswas-dampak-konflik-iran-israel-ekonom-belum-saatnya-intervensi-fiskal,"Bisnis.com, JAKARTA – Ekonom menilai dengan pecahnya konflik di Timur Tengah, khususnya Iran dan Israel, memang memunculkan kekhawatiran akan kenaikan harga minyak. Namun,  belum saatnya pemerintah melakukan intevensi fiskal seperti penyesuaian subsidi. 
Ekonom Center of Reform on Economics (CORE) Indonesia Yusuf Rendy Manilet memandang pemerintah belum saatnya melakukan intervensi fiskal saat ini, seperti penyesuaian harga BBM maupun subsidi BBM. 
“Saya kira intervensi berupa penyesuaian harga BBM ataupun subsidi tidaknya dalam jangka pendek belum perlu dilakukan saat ini,” ujarnya, Kamis (18/4/2024). 
Meski intervensi memang menjadi kebijakan yang paling cepat dalam menjaga daya beli masyarakat, namun menurutnya saat ini kondisi masih cukup fluktuatif. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Terlebih, Yusuf melihat meskipun konflik geopolitik antara Iran dan Israel ini sempat memicu kenaikan harga minyak terutama ketika serangan pertama kali itu dilakukan, namun saat ini harga minyak global secara umum itu sudah mulai melandai atau menurun dari posisi terakhir sejak serangan terjadi.
Di sisi lain, harga rata-rata minyak mentah Indonesia atau Indonesia Crude Price (ICP) pun belum jauh dari kisaran asumsi makro yang sebesar US$82/barel.Baca JugaKonflik Iran vs Israel, Wamendag Yakin Neraca Dagang RI Tetap SurplusKonflik Timur Tengah Memanas, Wamenkeu Tegaskan Fundamental Ekonomi RI KuatKonflik Iran vs Israel, Ekspor Besi dan Baja ke Eropa Terjegal
Adapun, Kementerian Energi dan Sumber Daya Mineral (ESDM) menetapkan harga ICP Maret 2024 di level US$83,78 per barel.  
“Tahun ini menurut saya pemerintah masih punya ruang fiskal untuk melakukan intervensi, namun saya kira pemerintah juga perlu melihat kondisi Apakah komponen intervensi itu sudah perlu dilakukan saat ini,” tutur Yusuf. 
Senada, Direktur Eksekutif Segara Research Institute Piter Abdullah Redjalam turut menilai intervensi fiskal pemerintah belum saatnya dilakukan karena konflik Iran-Isral masih belum dapat dipastikan dan cukup spekulatif. 
Piter juga melihat kenaikan harga minyak yang terjadi belum terlalu tinggi selayaknya 2022 silam. 
“Pemerintah memang harus mengantisipasi hal ini… [tetapi] kejadiannya masih belum dapat dipastikan. Kenaikan harga minyak belum terlalu tinggi,” jelasnya. 
Kekhawatiran akan harga minyak pun semakin membuat pemerintah was-was karena nilai tukar rupiah yang menunjukkan tren pelemahan. 
Wakil Menteri Keuangan Suahasil Nazara mengungkapkan pihaknya terus memperhatikan hal-hal tersebut karena berpengaruh terhadap perekonomian Indonesia.  
Terlebih, anggaran untuk belanja negara turut bergantung pada kondisi tersebut termasuk untuk penyaluran subsidi. 
“Kami tetap terus waspada dan beberapa variabel memang kami perhatikan dengan sangat saksama. Kami melihat bagaimana pergerakan kurs, pergerakan harga minyak di Indonesia, juga pergerakan suku bunga di tingkat dunia,” ujarnya dalam Rakorbangpus 2024, Kamis (18/4/2024). 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Persimpangan Jalan Prabowo, Kebijakan Populis dan Dilema Middle-Income Trap",2024-09-25T03:40:27.657Z,20 February 2024 06:30 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240220%2F9%2F1742274%2Fpersimpangan-jalan-prabowo-kebijakan-populis-dan-dilema-middle-income-trap,"Bisnis.com, JAKARTA — Prabowo Subianto yang unggul dalam perhitungan suara Pilpres 2024, berpeluang memimpin Tanah Air dan mewarisi misi para presiden pendahulu, yakni mengeluarkan Indonesia dari perangkap pendapatan menengah atau middle income trap.Prabowo akan menanggung misi itu sembari memikul janji-janji kampanyenya, seperti program makan siang gratis hingga melanjutkan pembangunan Ibu Kota Negara (IKN) Nusantara. Pemerintahan selanjutnya harus mampu meningkatkan skala ekonomi negeri sembari merogoh kocek dalam-dalam untuk menjalankan berbagai janji kampanye."
Kondisi Ekonomi Dua Negara Dunia Ini yang Membuat Sri Mulyani Khawatir,2024-09-25T03:40:28.018Z,30 January 2024 12:56 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240130%2F9%2F1736672%2Fkondisi-ekonomi-dua-negara-dunia-ini-yang-membuat-sri-mulyani-khawatir,"Bisnis.com, JAKARTA – Menteri Keuangan (Menkeu) Sri Mulyani Indrawati terus mencermati kondisi ekonomi global yang diramalkan melanjutkan tren perlambatan pada 2024. 
Dirinya menjelaskan, bahwa dalam laporan terbaru Bank Dunia yang rilis pada awal Januari 2024, memperkirakan ekonomi global hanya tumbuh 2,4% tahun ini. Lebih rendah dari 2023 sebesar 2,6% (year-on-year/yoy) maupun 2022 yang sebesar 3%. 
Dia juga menyebutkan perkembangan perekonomian dua negara turut menentukan arah perekonomian ke depan. Kawasan yang menjadi perhatian itu adalaj tekanan utang di China menjadi pendorong utama melambatnya ekonomi Negeri Tirai Bambu tersebut. Bahkan perusahaan properti terbesar di Hongkong, Evergrande, mengalami kebangkrutan. 
Sementara di Amerika Serikat (AS), meski ekonomi tumbuh kuat pada 2023, namun tekanan fiskal khususnya beban pembayaran bunga utang dan rasio utang pemerintah AS menjadi risiko utama ke depan. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Meski demikian, Bendahara Negara tetap optimistis ekonomi Indonesia akan terjaga pada tahun terselenggaranya Pemilu. 
“Dalam suasana global yang tidak pasti dan cenderung melambat, ekonomi Indonesia tetap bertahan baik atau resilien, dan ini ditopang oleh permintaan domestik yang bisa men-subtitusi pelemahan eksternal,” ujarnya dalam Konferensi Pers KSSK di kantor Kemenkeu, Selasa (30/1/2024). Baca JugaBLT EL Nino Berakhir, Bansos Kerawanan Pangan Rp200.000 Cair Februari 2024The Fed Diproyeksi Pangkas Suku Bunga AS pada Maret 2024Pengadilan Perintahkan Likuidasi Evergrande, Babak Baru Krisis Properti China

Sejalan dengan optimistme Sri Mulyani, dirinya terus mencermati perkembangan yang terjadi mulai dari tensi geopolitik yang meningkat hingga tekanan fiskal berbagai negara. Untuk itu, tahun ini pemerintah tidak mengubah proyeksi ekonomi 2024 tetap di angka 5,2% sesuai dengan asumsi APBN. 
“Pertumbuhan ekonomi yang kuat di 2024 terutama didorong oleh pemilu yang kita harap berdampak positif terhadap konsumsi pemerintah dalam pelaksanaan pemilu maupun dari masyarakat serta berlanjutnya pelaksanaan PSN 2024,” jelasnya. 
Mengacu laporan Global Economic Prospects edisi Januari 2024, pertumbuhan produk domestik bruto (PDB) tahun ini akan mencatatkan laju paling lambat selama setengah dekade dalam 30 tahun terakhir. 
PDB untuk negara-negara berkembang diperkirakan hanya akan tumbuh sebesar 3,9%, lebih dari satu poin persentase di bawah rata-rata pertumbuhan pada dekade sebelumnya.  Artinya, meski ekonomi Indonesia diramalkan melambat, namun akan lebih tinggi dari rata-rata tersebut.
Sementara, PDB untuk negara-negara berpendapatan rendah diperkirakan akan tumbuh sebesar 5,5%, lebih lemah dari proyeksi sebelumnya. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENANGANAN KRISIS 2024   : Beban Berganda Saldo Negara,2024-09-25T03:40:28.318Z,31 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231031%2F433%2F1709465%2Fpenanganan-krisis-2024-beban-berganda-saldo-negara,
MITIGASI RISIKO PELEMAHAN RUPIAH   : Ujian Sinergisitas Fiskal-Moneter,2024-09-25T03:40:28.590Z,10 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231010%2F433%2F1702557%2Fmitigasi-risiko-pelemahan-rupiah-ujian-sinergisitas-fiskal-moneter,
CADANGAN PANGAN PEMERINTAH   : Dilema Subsidi Bunga Negara,2024-09-25T03:40:28.892Z,27 September 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230927%2F433%2F1698851%2Fcadangan-pangan-pemerintah-dilema-subsidi-bunga-negara,
JAMINAN SOSIAL   : Rasio Klaim BPJS Simpan Risiko,2024-09-25T03:40:29.208Z,23 August 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230823%2F445%2F1686892%2Fjaminan-sosial-rasio-klaim-bpjs-simpan-risiko,
