Title,Scrapping Date,Article Date,Author,Link,Content
"Modal Asing Rp4,04 Triliun Masuk ke Pasar Domestik Pekan Kedua Mei 2024",2024-09-25T04:31:14.093Z,09 May 2024 10:01 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240509%2F9%2F1764082%2Fmodal-asing-rp404-triliun-masuk-ke-pasar-domestik-pekan-kedua-mei-2024,"Bisnis.com, JAKARTA – Bank Indonesia (BI) mencatat terdapat Rp4,04 triliun aliran modal asing yang masuk pada pekan kedua Mei 2024. 
“Berdasarkan data transaksi 6 – 7 Mei 2024, nonresiden di pasar keuangan domestik tercatat beli neto Rp4,04 triliun,” ujar Direktur Departemen Komunikasi BI Fadjar Majardi dalam keterangan resmi, dikutip Kamis (9/5/2024). 
Fadjar menjelaskan transaksi terdiri dari beli neto Rp2,36 triliun di pasar Surat Berharga Negara (SBN), jual neto Rp1,90 triliun di pasar saham, dan beli neto Rp3,58 triliun di Sekuritas Rupiah Bank Indonesia (SRBI).
Sementara sepanjang tahun berjalan atau year-to-date (ytd) sampai dengan 7 Mei 2024, BI melaporkan aliran modal keluar mencapai Rp46,61 triliun di pasar SBN. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Pada periode yang sama, tercatat nonresiden beli neto Rp3,83 triliun di pasar saham dan beli neto Rp31,43 triliun di SRBI.
Membandingkan dengan pekan lalu atau pekan pertama Mei 2024, aliran modal pada pekan ini lebih deras meski hanya dua hari. Di mana pada tiga hari pertama di pekan pertama Mei, modal asing mengalir senilai Rp3,06 triliun.Baca JugaSaham-Saham Favorit Investor Asing, ASII hingga GOTOBos BI Beberkan Fakta soal Rupiah dan Modal Asing Keluar Masuk SBN-SahamBI Klaim Modal Asing Masuk ke RI Rp22,84 Triliun Usai BI Rate Naik
Sejalan dengan perkembangan tersebut, premi default swap (CDS) Indonesia 5 tahun per 7 Mei 2024 sebesar 69,91 bps, turun dibandingkan 3 Mei 2024 sebesar 70,69 bps.
Pada penutupan perdagangan per akhir hari Selasa (7/5/2024), rupiah menguat ke level Rp16.040 per dolar Amerika Serikat (AS). Meski demikian, rupiah kembali menunjukkan pelemahan pada pembukaan pasar Rabu (8/5/2024) pagi. 
Di sisi lain, tingkat imbal hasil SBN 10 tahun pada Rabu (8/5/2024) pagi, naik ke level 6,94%. Sebelumnya pada pentupan Selasa (7/5/2024), imbal hasil sebesar 6,90%. 
Pada kesempatan berbeda, Gubernur Bank Indonesia Perry Warjiyo mengungkapkan total aliran modal, termasuk asing, yang masuk selama dua pekan ini mencapai Rp22,84 triliun. 
Dirinya menilai inflow yang masuk ini sejalan dengan keputusan BI menaikkan suku bunga acuan sebesar 25 bps menjadi 6,25% pada akhir April lalu. 
“Ini membuktikan respons kebijakan BI Rate maupun kenaikan suku bunga SRBI memang berhasil menarik masuk aliran modal asing yang pada minggu-minggu sebelumnya yang sejak Ramadan terjadi outflow,” ujarnya dalam Taklimat Media, Rabu (9/5/2024).
Ke depan, Bank Indonesia terus memperkuat koordinasi dengan Pemerintah dan otoritas terkait serta mengoptimalkan strategi bauran kebijakan untuk mendukung ketahanan eksternal ekonomi Indonesia.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Cek Indikator Stabilitas Nilai Rupiah Pekan IV Januari 2023,2024-09-25T04:31:14.413Z,28 January 2023 02:00 WIB,Wibi Pangestu Pratama,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20230128%2F11%2F1622321%2Fcek-indikator-stabilitas-nilai-rupiah-pekan-iv-januari-2023,"Bisnis.com, JAKARTA — Bank Indonesia atau BI merilis data terbaru terkait perkembangan indikator stabilitas nilai rupiah pekan keempat Januari 2023. Sejumlah indikator mencatatkan kinerja positif.
Direktur Eksekutif, Kepala Departemen Komunikasi BI Erwin Haryono melaporkan perkembangan nilai tukar 23—26 Januari 2023. Nilai tukar rupiah per Kamis (26/1/2023) ditutup di level (bid) Rp14.945 per dolar AS dan dibuka di level (bid) Rp14.955 per dolar AS pada Jumat (30/1/2023).
Imbal hasil atau yield Surat Berharga Negara (SBN) 10 tahun naik ke 6,66 persen pada Kamis (26/1/2023) dan stabil di level 6,66 persen pada Jumat (27/1/2023) pagi.
Yield US Treasury (UST) dengan tenor 10 tahun naik ke level 3,495 persen pada Kamis (26/1/2023). Sementara itu, US Dollar Index (DXY) melemah ke level 101,84.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Terkait aliran modal asing pada pekan keempat Januari 2023, premi credit default swaps (CDS) Indonesia 5 tahun turun ke level 83,46 bps per Kamis (27/1/2023) dari 85,83 bps per 20 Januari 2023.
""Berdasarkan data transaksi 24—26 Januari 2023, nonresiden di pasar keuangan domestik beli neto Rp4,42 triliun, [terdiri dari] beli neto Rp3,63 triliun di pasar SBN dan beli neto Rp0,79 triliun di pasar saham,"" tulis Erwin dalam keterangan resmi, Jumat (27/1/2023).Baca JugaRupiah Ditutup Melemah, Nyaris Balik ke Level Rp15.000Nilai Tukar Rupiah Terhadap Dolar AS Hari Ini, Jumat 27 Januari 2023Rupiah Kembali Melemah, Cek Kurs Dolar AS di BCA, BRI, Bank Mandiri, dan BNI Hari ini (27/1/2023)
Berdasarkan data setelmen sepanjang tahun berjalan atau sampai dengan Kamis (26/1/2023), tercatat nonresiden beli neto Rp48,08 triliun di pasar SBN dan jual neto Rp6,83 triliun di pasar saham.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Pemerintah Tetapkan Besaran Kupon Untuk Private Placement SBN,2024-09-25T04:31:14.785Z,14 October 2022 17:20 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221014%2F92%2F1587656%2Fpemerintah-tetapkan-besaran-kupon-untuk-private-placement-sbn,"Bisnis.com, JAKARTA - Pemerintah telah menetapkan imbal hasil (yield) yang akan ditawarkan pada transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty.Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Jumat (14/10/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut. Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon tetap  dan pembayaran kupon semi annual. Imbal hasil yang ditawarkan pada seri ini adalah sebesar 6,97 persen. FR0094 memiliki clean price per unit sebesar Rp940.627 dengan accrued interest per unit sebesar Rp14.761. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Imbal hasil yang ditawarkan pada seri ini adalah sebesar 5,38 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Baca JugaORI022 Kurang Laris Dibandingkan Pendahulunya, Cek Sebabnya DisiniJadi Mitra Distribusi ORI022, BNI Sekuritas Yakin Laris ManisKimia Farma (KAEF) Dapat Restu Rights Issue dari Pemegang SahamSelanjutnya, seri USDFR003 memiliki clean price per unit sebesar US$828,49 dengan accrued interest per unit senilai US$7,91.Transaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 17 Oktober 2022, serta setelmennya pada 20 Oktober 2022.Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan. Pertama, dilakukan melalui Dealer Utama  dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh Pemerintah;Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing; Terakhir, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Sri Mulyani Tetapkan Kupon Final Private Placement SBN Tax Amnesty Jilid II,2024-09-25T04:31:15.146Z,19 August 2022 19:51 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220819%2F92%2F1568543%2Fsri-mulyani-tetapkan-kupon-final-private-placement-sbn-tax-amnesty-jilid-ii,"Bisnis.com, JAKARTA - Pemerintah telah menetapkan imbal hasil (yield) yang akan ditawarkan pada transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty jilid II. Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Jumat (19/8/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut.Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon tetap dan pembayaran kupon semi annual. Imbal hasil yang ditawarkan pada seri ini adalah sebesar 6,5 persen.FR0094 memiliki clean price per unit sebesar Rp959.553 dengan accrued interest per unit sebesar Rp6.239. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Imbal hasil yang ditawarkan pada seri ini adalah sebesar 4,10 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Baca JugaPenjualan SR017 Resmi Dibuka Hari Ini, Minat Beli?Target Penerbitan SBN 2023 Capai Rp712,93 Triliun, Apa Masih Realistis?Selanjutnya, seri USDFR003 memiliki clean price per unit sebesar US$914,97 dengan accrued interest per unit senilai US$3,34.Transaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 22 Agustus 2022, serta setelmennya pada 25 Agustus 2022.Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan. Pertama, dilakukan melalui dealer utama dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh pemerintah.Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing. Terakhir, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
OPINI : Jurus Stabilisasi Rupiah,2024-09-25T04:31:15.776Z,22 July 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220722%2F251%2F1557910%2Fopini-jurus-stabilisasi-rupiah,
Sri Mulyani Patok Besaran Kupon Private Placement SBN Tax Amnesty Jilid II,2024-09-25T04:31:16.132Z,23 June 2022 12:32 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220623%2F92%2F1547058%2Fsri-mulyani-patok-besaran-kupon-private-placement-sbn-tax-amnesty-jilid-ii,"Bisnis.com, JAKARTA - Pemerintah telah menetapkan imbal hasil (yield) yang akan ditawarkan pada transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty jilid II. Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Kamis (23/6/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut.Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon tetap dan pembayaran kupon semi annual. Imbal hasil yang ditawarkan pada seri ini adalah sebesar 6,95 persen.FR0094 memiliki clean price per unit sebesar Rp938.715 dengan accrued interest per unit sebesar Rp25.525. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Imbal hasil yang ditawarkan pada seri ini adalah sebesar 4,75 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Baca JugaCuan! Menteri Sri Mulyani Raup PPh Rp25,4 Triliun dari Tax Amnesty Jilid II, Sisa 8 hariOutlook Pasar Obligasi Indonesia pada Semester II/2022, Kejutan The FedSelanjutnya, seri USDFR003 memiliki clean price per unit sebesar US$866,94 dengan accrued interest per unit senilai US$13,67.Transaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 24 Juni 2022, serta setelmennya pada 29 Juni 2022.Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan. Pertama, dilakukan melalui dealer utama dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh pemerintah.Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing. Ketiga, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Lagi! Sri Mulyani Akan Private Placement SBN Penempatan Dana Tax Amnesty,2024-09-25T04:31:16.480Z,18 June 2022 18:52 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220618%2F92%2F1545209%2Flagi-sri-mulyani-akan-private-placement-sbn-penempatan-dana-tax-amnesty,"Bisnis.com, JAKARTA - Pemerintah akan melakukan transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty.Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Sabtu (18/6/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut. Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Rentang imbal hasil (yield) yang ditawarkan pada seri ini berada di 6,45 persen - 6,95 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Rentang imbal hasil (yield) yang ditawarkan pada seri ini berada di 4,6 persen - 5 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Transaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 24 Juni 2022, serta setelmennya pada 29 Juni 2022.Baca JugaSisa 13 Hari, Komitmen Investasi PPS Baru Rp10,38 TriliunSri Mulyani Geram Uang Pemda di Bank Capai Rp200 Triliun, Belanjakan untuk Rakyat!Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan. Pertama, dilakukan melalui dealer utama dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh Pemerintah.Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing. Terakhir, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Pemerintah Tetapkan Besaran Kupon untuk Private Placement SBN Tax Amnesty,2024-09-25T04:31:16.839Z,15 April 2022 09:49 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220415%2F92%2F1523200%2Fpemerintah-tetapkan-besaran-kupon-untuk-private-placement-sbn-tax-amnesty,"Bisnis.com, JAKARTA - Pemerintah telah menetapkan imbal hasil (yield) yang akan ditawarkan pada transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty.Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Jumat (15/4/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut.Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon kupon tetap sebesar 5,6 persen dan pembayaran kupon semi annual. Imbal hasil yang ditawarkan pada seri ini adalah sebesar 6 persen.FR0094 memiliki clean price per unit sebesar Rp980.728 dengan accrued interest per unit sebesar Rp14.851. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap sebesar 3 persen dan pembayaran kupon semi annual.Imbal hasil yang ditawarkan pada seri ini adalah sebesar 3,65 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Baca JugaSri Mulyani Kantongi Rp11,05 Triliun dari Penjualan SUN Terbaru, Tambah Lelang Susulan Hari IniSikap Hawkish The Fed Bayangi Lelang SUN, Kemenkeu: Minat Investor Masih BaikImbal Hasil Obligasi Negara Dekati 7 Persen, Apa Cukup Mengkhawatirkan?Selanjutnya, seri USDFR003 memiliki clean price per unit sebesar US$947,11 dengan accrued interest per unit senilai US$7,96.Transaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 18 April 2022, serta setelmennya pada 21 April 2022.Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan.Pertama, dilakukan melalui Dealer Utama dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh Pemerintah;Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing; Terakhir, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Pemerintah Kembali Lakukan Private Placement SBN Penempatan Dana Tax Amnesty,2024-09-25T04:31:17.179Z,10 April 2022 12:59 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220410%2F92%2F1521206%2Fpemerintah-kembali-lakukan-private-placement-sbn-penempatan-dana-tax-amnesty,"Bisnis.com, JAKARTA - Pemerintah akan melakukan transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty.Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Minggu (10/4/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut.Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Rentang imbal hasil (yield) yang ditawarkan pada seri ini berada di 5,7 persen - 6 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Rentang imbal hasil (yield) yang ditawarkan pada seri ini berada di 3,25 persen - 3,65 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Baca JugaPemerintah Gelar Lelang SUN Selasa Depan, Simak Seri yang DitawarkanPemerintah Kumpulkan Penawaran Rp18,1 Triliun dari Lelang Sukuk Hari IniLaporan 98 Hari Tax Amnesty Jilid II, Pemerintah Raup PPh Hampir Rp6 TriliunTransaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 18 April 2022, serta setelmennya pada 21 April 2022.Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan.Pertama, dilakukan melalui Dealer Utama dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh Pemerintah;Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing; Terakhir, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Terungkap! 4 Dealer Utama SUN Ikut Transaksi SBN Pertama PPS,2024-09-25T04:31:17.520Z,05 March 2022 12:57 WIB,Ni Luh Anggela,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20220305%2F259%2F1507016%2Fterungkap-4-dealer-utama-sun-ikut-transaksi-sbn-pertama-pps,"Bisnis.com, JAKARTA - Kementerian Keuangan telah melakukan transaksi penerbitan Surat Utang Negara (SUN) dengan cara private placement pada Jumat (4/3/2022).Transaksi private placement sebelumnya telah dilakukan pada 25 Februari 2022 yang diikuti oleh empat dealer utama (DU) SUN yang menyampaikan penawaran pembelian mewakili 10 Wajib Pajak yang mengikuti Program Pengungkapan Sukarela (PPS).Empat dealer utama tersebut adalah PT Bank Central Asia Tbk. (BBCA), PT Bank Mandiri (Persero) Tbk. (BMRI), PT Bank Pan Indonesia Tbk. (PNBN) dan PT Bank Maybank Indonesia Tbk. (BNII).Pemerintah menerbitkan dua instrumen SBN dengan total nilai Rp55,69 miliar, dalam transaksi private placement.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Adapun rincian kedua seri SUN dimaksud yaitu FR0094, tenor 6 tahun (jatuh tempo 15 Januari 2028), yield 5,60 persen, kupon 5,60 persen, dapat diperdagangkan, sebesar Rp46,35 miliar dan USDFR0003, tenor 10 tahun (jatuh tempo 15 Januari 2032), yield 3 persen, kupon 3 persen, dapat diperdagangkan, sebesar US$650.000.Seperti diberitakan Bisnis sebelumnya, Direktur SUN Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan Deni Ridwan pekan lalu menyampaikan pihaknya belum bisa menyampaikan siapa saja empat perusahaan dealer utama yang mengikuti penawaran tersebut.Baca JugaTransaksi SBN Pertama Mulus, Pemerintah Masih Buka Penawaran Sebanyak 9 PeriodeSri Mulyani Terbitkan Surat Utang Rp55,69 Miliar untuk Investasi Peserta Tax Amnesty Jilid IIDeni hanya menyampaikan bahwa transaksi private placement pada Jumat (25/2/2022) diikuti oleh empat dealer utama SUN, yang menyampaikan penawaran pembelian atas nama wajib pajak peserta PPS.Sebagai informasi, PPS merupakan program yang bertujuan untuk memberikan kesempatan kepada Wajib Pajak untuk melaporkan kewajiban perpajakan yang belum dipenuhi secara sukarela melalui pembayaran PPh berdasarkan pengungkapan harta.Dengan mengikuti PPS Wajib Pajak akan mendapat keringanan tarif yang dikenakan atas harta yang belum diungkap lebih kecil dibanding yang diatur pada PP 36 tahun 2017, sekaligus dapat menghindarkan dari sanksi 200 persen dalam UU Tax Amnesty.Adapun tarif PPS kebijakan I adalah 6-11 persen dan kebijakan II adalah 12-18 persen.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
