Title,Scrapping Date,Article Date,Author,Link,Content
"Dibayangi Penurunan Yield, SBN Tetap Jadi Pilihan Aman Asuransi Jiwa",2024-09-25T04:37:05.187Z,24 September 2024 12:40 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240924%2F215%2F1801982%2Fdibayangi-penurunan-yield-sbn-tetap-jadi-pilihan-aman-asuransi-jiwa,"Bisnis.com, JAKARTA — Penurunan imbal hasil atau yield membayangi instrumen Surat Berharga Negara (SBN) pada awal era suku bunga rendah yang ditandai dengan pemangkasan suku bunga acuan oleh Bank Indonesia (BI) dan Federal Reserve (The Fed).Kendati begitu, prospek SBN dinilai masih akan menarik meski yield atau kupon instrumen tersebut diprediksi masih melandai seiring dengan proyeksi penurunan kembali suku bunga acuan secara bertahap ke depan."
"Yield Obligasi Naik, MSIG Life (LIFE) Lirik Investasi ke SBN",2024-09-25T04:37:05.544Z,30 May 2024 19:55 WIB,Pernita Hestin Untari,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240530%2F215%2F1769854%2Fyield-obligasi-naik-msig-life-life-lirik-investasi-ke-sbn,"Bisnis.com, JAKARTA — Perusahaan asuransi jiwa PT MSIG Life Insurance Indonesia Tbk. (LIFE) akan meningkatkan alokasi investasi pada instrumen Surat Berharga Negara (SBN) seiring naiknya imbal hasil atau yield obligasi pemerintah di tengah kenaikan suku bunga acuan. 
Head of Customer and Marketing MSIG Life Lukman Auliadi mengungkap yield SBN dengan tenor 10 tahun saat ini berada pada kisaran level 6,80%—6,90%. 
“Ini dapat menjadi peluang bagi perusahaan untuk rebalancing di tengah valuasi yang atraktif,” kata Lukman saat dihubungi Bisnis pada Kamis (30/5/2024). 
Lukman mengatakan perseroan melihat kenaikan suku bunga di Indonesia sejak Oktober 2023 merupakan langkah Bank Indonesia (BI) dalam stabilitas nilai tukar rupiah terhadap dolar Amerika, di tengah tingginya arus keluar dari Indonesia. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Menurutnya, tingginya arus keluar investor asing merupakan akibat meningkatnya kekhawatiran investor pasca ketidakpastian pemangkasan suku bunga dan tone dari The Fed untuk menahan suku bunga di level lebih tinggi lebih lama “higher for longer”. 
Faktor lainnya, lanjutnya, tak lepas dari eskalasi konflik di Timur Tengah antara Israel dan Hamas.Baca JugaBNI Life Ungkap Kenaikan Suku Bunga Pengaruhi Yield ObligasiMSIG Life Gandeng Bank BJB Sasar Market Asuransi Jiwa bagi Milenial
Akibatnya, lanjut dia yield obligasi naik dan harga-harga saham turun secara umum. Dia memberi contoh yield obligasi SBN 10 tahun naik dari 6.6% menjadi 7.0% pada akhir April 2024, kenaikan yield tersebut menandakan turunnya harga obligasi. 
“IHSG juga turun dari level 7.200 ke level terendahnya di 7.036 pada bulan April 2024,” kata Lukman.
Dikutip dari laporan keuangan MSIG Life pada April 2024 pada laman resminya, jumlah aset investasi MSIG mencapai Rp12,17 triliun. 
Adapun, penempatan investasi paling banyak mencapai Rp6,2 triliun pada SBN, obligasi korporasi sebanyak Rp2,23 triliun, serta saham Rp1,96 triliun. Sementara itu, hasil investasi yang dibukukan mencapai Rp183 miliar pada April 2024


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"OBLIGASI NEGARA : Yield Kurang Kompetitif, Asing Masih Terus Jual SBN",2024-09-25T04:37:05.916Z,25 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231025%2F442%2F1707590%2Fobligasi-negara-yield-kurang-kompetitif-asing-masih-terus-jual-sbn,
Dampak Lonjakan Obligasi AS ke SBN Indonesia,2024-09-25T04:37:06.276Z,06 October 2023 05:45 WIB,Annisa Kurniasari Saumi,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20231006%2F92%2F1701563%2Fdampak-lonjakan-obligasi-as-ke-sbn-indonesia,"Bisnis.com, JAKARTA - Pasokan SBN menjelang akhir tahun diketahui masih berlimpah, dengan pemerintah yang menargetkan penggalangan dana sebesar Rp168 triliun. Di sisi lain, analis melihat penerbitan SBN masih dapat berubah.
Head of Fixed Income & Money Market Sucorinvest Asset Management Dimas Yusuf mengatakan jika ada tambahan suplai di saat permintaan masih sama, akan ada kecendrungan membuat harga turun. Hal ini ditambah pemerintah yang masih memiliki sisa anggaran atau SiLPA yang cukup besar.
""Sebelumnya kita bicara asumsi dengan posisi demand yang sama, tambahan suplai akan menekan harga turun. Saat ini posisi demand sedang kurang baik, banyak tekanan dari sisi kenaikan yield AS yang menambah risiko koreksi. Hal ini juga menjadi pertimbangan yang cukup besar bagi pemerintah,"" kata Dimas dihubungi, Kamis (5/10/2023).
Menurut Dimas, jumlah issuance SBN di tahun ini masih bisa berubah, dan berpotensi terjadi penurunan. Dia menyebut Kementerian Keuangan telah membuat statemen akan terjadi perubahan atau penurunan jumlah issuance SBN di tengah koreksi yang terjadi. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Sementara itu, Dimas memandang terdapat keterkaitan antara penerbitan SBN tahun ini dibandingkan dengan tahun depan. Namun, kata dia, perlu dipelajari lebih lanjut seperti apa interaksi antara hasil issuance di tahun ini, dan penggunaannya di tahun depan. 
Psalnya, lanjut Dimas, sisa anggaran lalu atau SiLPA dari penerbitan tahun sebelumnya, menunjukkan Indonesia masih memiliki SiLPA yang cukup besar. Baca JugaNasib Pasar Obligasi hingga Akhir 2023, Tertekan Ketidakpastian Suku Bunga The FedRekomendasi Saham dan Pergerakan IHSG Hari Ini, Efek Obligasi AS MeredaMenakar Minat Investasi Asing ke Pasar Saham dan Obligasi hingga Akhir 2023
""Hal ini menarik terutama selain mencapai target, di yield berapa pemerintah dapat mencapai target tersebut karena itu penting dari sisi cost of fund atau biaya bunga,"" ujarnya. 
Dia menjelaskan saat ini sentimen yang berkembang, apabila issuance terlalu besar di market yang kurang akomodatif, dikhawatirkan yield obligasi pemerintah bisa naik dan dampaknya bisa meningkatkan cost of fund.
Adapun Dimas melihat untuk ke depannya, investor ritel masih bisa menjadi andalan dengan melihat tren kenaikan penerbitan SBN dan SBSN ritel. Secara umum, lanjutnya, dana investasi yang sifatnya datang dari ritel akan cenderung menetap, daripada dana yang datang dari investor institusi yang lebih volatil. 
Selain menambah basis investor SBN dan SBSN dari sisi pergerakan harga, dengan lebih banyak investor ritel harga akan jauh lebih stabil. 
Meski demikian, Dimas memandang mayoritas penerbitan SBN masih akan ditopang investor institusi. Dimas berharap masih akan ada support dari investor asing. 
""Saat ini porsi asing masih 15 persen, masih rendah. Memang kurang sesuai kalau porsi investornya terlalu besar di atas 20 persen, tapi dengan 15 persen masih bisa ditingkatkan,"" ucapnya. 
Sementara itu, investor lain seperti insurance, dana pensius, manajer investasi menurutnya masih memiliki ruang untuk mendukung penerbitan SBN dan SBSN ke depannya. 
""Bukan artinya tidak ada support lagi dari perbankan karena dana pihak ketiga terus tumbuh, tapi mungkin ada tambahan support dari investor lain,"" tuturnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Pembiayaan dari SBN Bisa Naik di 2024, Intip Dampaknya ke Pasar Obligasi",2024-09-25T04:37:06.750Z,17 August 2023 16:55 WIB,Iim Fathimah Timorria,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230817%2F92%2F1685790%2Fpembiayaan-dari-sbn-bisa-naik-di-2024-intip-dampaknya-ke-pasar-obligasi,"Bisnis.com, JAKARTA — Pembiayaan utang melalui Surat Berharga Negara (SBN) ditargetkan mencapai Rp666,44 triliun pada 2024. Rencana yang tertuang dalam Rencana Anggaran Pendapatan dan Belanja Negara (RAPBN) 2024 ini naik 83,6 persen jika dibandingkan dengan outlook APBN 2023 sebesar Rp362,93 triliun.Dokumen Nota Keuangan dan RAPBN 2024 menyebutkan target penerbitan SBN akan dipenuhi melalui dua instrumen utama yaitu SUN dan SBSN baik dalam bentuk rupiah maupun valas dengan tenor 2–50 tahun dan Surat Perbendaharaan Negara Syariah (SPN-S).Pemerintah akan mengutamakan penerbitan SBN dalam bentuk rupiah di pasar domestik untuk mengendalikan risiko nilai tukar dan untuk mendukung pengembangan pasar keuangan domestik. Penerbitan SBN akan dilakukan dalam bentuk Obligasi Negara Ritel (ORI), Sukuk Ritel (SR), Saving Bonds Ritel (SBR), dan Sukuk Tabungan (ST) dengan target ke investor institusi dan investor ritel. Pemilihan instrumen dan tenor penerbitan akan mempertimbangkan faktor-faktor antara lain kebijakan pengelolaan utang, biaya penerbitan SBN, risiko pasar keuangan domestik dan global, preferensi investor, dan kapasitas daya serap pasar.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Selain sebagai pembiayaan umum APBN, SBN khususnya SBSN juga digunakan secara langsung untuk pembiayaan proyek/kegiatan kementerian/lembaga (earmarked),” demikian bunyi penjelasan sebagaimana tertuang dalam Buku Nota Keuangan RAPBN 2024.Kepala Ekonom Bank Permata Josua Pardede memperkirakan adanya peningkatan pembiayaan dari SBN pada 2024, di tengah penurunan defisit APBN yang disebabkan oleh kenaikan kebutuhan pembiayaan investasi pemerintah. Hal ini tecermin dari besaran nilai realisasi pada tahun sebelumnya.Baca JugaJokowi Targetkan Rp666,4 Triliun Pembiayaan APBN 2024 dari SBNPortofolio Investasi Dapen Mayoritas SBN, Nilainya Tembus Rp117,18 TriliunBUMN Karya Gagal Bayar Surat Utang, Apa Dampaknya ke Pasar Obligasi?Dia mengatakan kenaikan kebutuhan penerbitan SBN yang signifikan ini berpotensi mendorong kenaikan yield bila tidak diimbangi dengan kenaikan permintaan SBN pada 2024.“Potensi permintaan pada 2024 bergantung pada masuknya investor asing ke Indonesia serta kenaikan permintaan dari mutual funds, dana pensiun, asuransi,” kata Josua, Kamis (17/8/2023).Josua mengatakan kenaikan permintaan berpotensi terdorong oleh kemungkinan mulainya normalisasi suku bunga global. Dengan demikian, dana asing kembali masuk ke pasar negara berkembang. Selain itu, Bank Indonesia juga berpeluang menurunkan suku bunganya, sehingga tenor-tenor jangka pendek berpeluang mengalami penurunan terlebih dahulu dibandingkan dengan tenor jangka panjang.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"SBN Indonesia Kembali Dilirik Asing, Ini Sentimen Pendukungnya",2024-09-25T04:37:07.194Z,08 December 2022 15:35 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221208%2F92%2F1606635%2Fsbn-indonesia-kembali-dilirik-asing-ini-sentimen-pendukungnya,"Bisnis.com, JAKARTA – Melunaknya sikap The Fed dan kondisi ekonomi domestik yang kondusif menjadi penopang naiknya tingkat kepemilikan asing pada Surat Berharga Negara (SBN) Indonesia. Tren masuknya aliran dana asing ini juga masih berpotensi berlanjut hingga tahun depan.Head of Fixed Income Research Mandiri Sekuritas Handy Yunianto memaparkan inflow asing ke pasar SBN Indonesia mulai terjadi selama sebulan belakangan. Masuknya dana asing disebabkan oleh penurunan imbal hasil (yield) obligasi AS atau US Treasury dan pelemahan indeks dolar AS.“Pemicu pelemahan tersebut adalah tren inflasi AS yang mulai turun dan ada ekspektasi The Fed akan lebih gradual dalam menaikkan suku bunganya,” kata Handy saat dihubungi, Kamis (8/12/2022).Sentimen ekonomi domestik yang positif turut berperan dalam meningkatkan daya tarik SUN Indonesia ke pasar asing. Menurut Handy hal ini terindikasi pada data – data ekonomi yang positif seperti indeks manufaktur di level ekspansif, terkendalinya inflasi, konsolidasi fiskal yang optimal, serta neraca perdagangan yang masih solid.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Selain itu, faktor pasokan SBN yang sudah tidak ada tambahan hingga akhir tahun akan memberikan dukungan untuk pasar obligasi.Secara terpisah, Chief Investment Officer STAR AM Susanto Chandra menambahkan tren pelemahan rupiah yang diikuti dengan peningkatan suku bunga domestik memicu kenaikan kepemilikan asing pada SUN Indonesia.Baca JugaKepemilikan Asing Mulai Meningkat, Inflow pada SBN Akan Mengalir Deras?Isu Resesi Global dan Kenakan Suku Bunga, Bikin Serapan SBN Ritel Tahun Ini MoncerPenerbitan Lelang SUN Tahun Depan Berpotensi Seret, Ini SebabnyaSusanto memprediksi apabila The Fed telah memberikan tanda-tanda menghentikan peningkatan suku bunga, potensi inflow ke Indonesia dapat terus berlanjut.“Sementara itu, dari dalam negeri laju pertumbuhan inflasi dan pergerakan nilai tukar rupiah juga akan menjadi perhatian investor asing sebelum memilih masuk ke SUN Indonesia,” kata Susanto.Sementara itu, Handy memprediksi potensi inflow asing ke pasar SBN Indonesia masih dapat berlanjut setidaknya hingga awal tahun depan. Ekspektasi laju kenaikan suku bunga The Fed yang lebih bertahap dinilai akan mempengaruhi minat investor asing untuk masuk ke obligasi emerging market seperti Indonesia.“Kecuali ke depannya kenaikan agresif suku bunga The Fed terus berlanjut dan potensi hard landing ekonomi global yang bisa memicu risk-off sentiment ke negara - negara berkembang,” pungkasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Pemerintah Tetapkan Besaran Kupon Untuk Private Placement SBN,2024-09-25T04:37:07.542Z,14 October 2022 17:20 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20221014%2F92%2F1587656%2Fpemerintah-tetapkan-besaran-kupon-untuk-private-placement-sbn,"Bisnis.com, JAKARTA - Pemerintah telah menetapkan imbal hasil (yield) yang akan ditawarkan pada transaksi private placement Surat Utang Negara (SUN) dalam rangka penempatan dana atas Program Pengungkapan Sukarela (PPS) atau tax amnesty.Dikutip dari keterangan resmi Ditjen Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan pada Jumat (14/10/2022), pemerintah menawarkan 2 seri SUN untuk transaksi private placement tersebut. Pertama, seri FR0094 berdenominasi rupiah, dengan jenis kupon tetap  dan pembayaran kupon semi annual. Imbal hasil yang ditawarkan pada seri ini adalah sebesar 6,97 persen. FR0094 memiliki clean price per unit sebesar Rp940.627 dengan accrued interest per unit sebesar Rp14.761. Jenis seri ini akan jatuh tempo pada 15 Januari 2028 atau bertenor 6 tahun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kedua, seri USDFR0003 berdenominasi dolar AS, dengan jenis kupon kupon tetap dan pembayaran kupon semi annual.Imbal hasil yang ditawarkan pada seri ini adalah sebesar 5,38 persen. Jenis seri ini akan jatuh tempo pada 15 Januari 2032 atau bertenor 10 tahun.Baca JugaORI022 Kurang Laris Dibandingkan Pendahulunya, Cek Sebabnya DisiniJadi Mitra Distribusi ORI022, BNI Sekuritas Yakin Laris ManisKimia Farma (KAEF) Dapat Restu Rights Issue dari Pemegang SahamSelanjutnya, seri USDFR003 memiliki clean price per unit sebesar US$828,49 dengan accrued interest per unit senilai US$7,91.Transaksi private placement SUN untuk penempatan dana atas PPS akan dilakukan pada 17 Oktober 2022, serta setelmennya pada 20 Oktober 2022.Sesuai ketentuan dalam Peraturan Menteri Keuangan (PMK) nomor 196/PMK.03/2021, dalam hal Wajib Pajak menginvestasikan harta bersih dalam Surat Berharga Negara, dilakukan dengan tiga ketentuan. Pertama, dilakukan melalui Dealer Utama  dengan cara private placement di pasar perdana dengan ketentuan dan persyaratan yang ditetapkan oleh Pemerintah;Kedua, investasi dalam Surat Berharga Negara dalam mata uang dolar AS hanya dapat dilakukan oleh Wajib Pajak yang mengungkapkan harta dalam valuta asing; Terakhir, dealer utama wajib melaporkan transaksi Surat Berharga Negara dalam rangka Program Pengungkapan Sukarela kepada Direktorat Jenderal Pajak.DJPPR menyebut pelaksanaan transaksi private placement tersebut dilakukan berdasarkan PMK No. 51/2019, PMK No. 38/2020, dan PMK No. 196/2021 tentang Tata Cara Pelaksanaan PPS.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Outlook Pasar Obligasi Indonesia pada Semester II/2022, Kejutan The Fed",2024-09-25T04:37:07.937Z,22 June 2022 16:30 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220622%2F92%2F1546724%2Foutlook-pasar-obligasi-indonesia-pada-semester-ii2022-kejutan-the-fed,"Bisnis.com, JAKARTA – Kondisi pasar obligasi Indonesia masih akan mengalami fluktuasi pada 2022 seiring dengan ancaman inflasi dan tren kenaikan suku bunga global. Meski demikian, kondisi ekonomi domestik yang terjaga akan menjadi katalis positif yang menahan sentimen dari luar.Head of Research & Market Information Department PT Penilai Harga Efek Indonesia (PHEI), Roby Rushandie mengatakan, pasar obligasi masih cenderung volatil pada sisa tahun 2022. Hal tersebut seiring dengan kondisi ketidakpastian global yang akan menekan pasar obligasi dalam negeri.Salah satu sentimen penekan pasar surat utang Indonesia adalah risiko ekonomi global seperti terjadinya stagflasi. Hal ini akan berdampak pada langkah bank sentral global, seperti The Fed di AS untuk meningkatkan suku bunga.Ia menjelaskan, jika The Fed menaikkan suku bunga secara agresif sekitar 50–75 basis poin di 4 pertemuan bulanan yang tersisa, maka imbal hasil obligasi AS atau US Treasury akan turut naik. Kenaikan tersebut akan membuat spread yield SBN dan US Treasury menyempit.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Spread yang mengecil akan memicu investor untuk lebih memilih US Treasury. Selain yield-nya yang cukup besar, US Treasury akan lebih aman dibandingkan dengan SBN kita,” jelasnya dalam pertemuan media terkait Proyeksi Obligasi pada Semester II Tahun 2022, Rabu (22/6/2022).Sentimen lain yang akan mempengaruhi pergerakan pasar surat utang adalah tensi geopolitik Rusia-Ukraina yang tak kunjung usai serta kelanjutan penanggulangan pandemi virus corona.Baca JugaDibayangi Tren Suku Bunga Tinggi, Korporasi Tetap Pede Terbitkan ObligasiAnalis Perkirakan Obligasi Korporasi Tumbuh 20 Persen pada 2022Di sisi lain, Roby mengatakan sentimen dari dalam negeri akan menjadi penopang positif terhadap pasar obligasi. Hal ini tercermin dari tren pemulihan ekonomi Indonesia yang cukup baik di tengah kembali melonjaknya pandemi virus corona.“Selain itu, nilai tukar rupiah sejauh ini juga terbilang terjaga meski memang dibayangi risiko outflow asing dari pasar keuangan dan stagflasi negara mitra dagang,” jelasnya.Outlook pasar obligasi Indonesia juga akan ditopang oleh penurunan defisit fiskal yang terjadi pasa APBN 2022. Hingga April 2022, anggaran Indonesia terpantau surplus 0,58 persen, berbanding terbalik bila dibandingkan dengan periode Januari – April 2021 dengan defisit 0,8 persen.Lebih lanjut, kelanjutan burden sharing antara Bank Indonesia dan pemerintah pada tahun ini dapat menjaga kondisi pasar surat utang Indonesia.“Keyakinan investor juga akan terjaga karena rating utang Indonesia yang terjaga, bahkan outlook Indonesia juga naik menjadi stabil oleh Standard & Poor’s,” pungkasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Yield SUN Dekat 7,5 Persen, Investor Beralih Ke Reksa Dana Berbasis Obligasi Korporasi",2024-09-25T04:37:08.280Z,22 May 2022 10:55 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220522%2F92%2F1535553%2Fyield-sun-dekat-75-persen-investor-beralih-ke-reksa-dana-berbasis-obligasi-korporasi,"Bisnis.com, JAKARTA – Pelemahan imbal hasil (yield) Surat Utang Negara (SUN) yang masih terjadi membuat kinerja instrumen reksa dana pendapatan tetap tertekan. Investor pun cenderung lebih memilih produk berbasis obligasi korporasi ketimbang SBNLaporan dari Infovesta Utama mencatat, secara ytd reksa dana pendapatan tetap mencatatkan return negatif sebesar 2,65 persen. Sementara, pada periode 28 April – 13 Mei lalu, reksa dana pendapatan tetap terpantau melemah 1,68 persen.Direktur Utama Trimegah Asset Management Antony Dirga mengatakan, investor di perusahaannya memiliki view dan pandangan yang cukup independen. Ia menjelaskan, permintaan terhadap reksa dana berbasis SBN masih tetap ada meski tengah tertekan.“Permintaan memang masih ada karena terdapat aturan-aturan yang mengatur minimum kepemilikan di SBN,” katanya saat dihubungi pekan ini.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Meski demikian, secara umum, reksa dana berbasis obligasi korporasi memiliki kinerja yang lebih baik. Hal ini membuat investor cenderung lebih tertarik ke reksa dana berbasis obligasi korporasi ketimbang reksa dana SBN.Menurut Antony, tekanan pada pasar obligasi dan juga reksa dana pendapatan tetap masih akan berlanjut sepanjang kuartal II/2022. Perbaikan kinerja diprediksi baru akan terlihat pada kuartal III mendatang seiring dengan kejelasan arah kebijakan the Fed.Baca JugaEkonomi Kokoh, Sinyal Pemulihan Reksa Dana Pendapatan TetapAktivitas Ekonomi Kembali Normal, Reksa Dana Baru Siap Ramaikan PasarPasar Saham Volatil, Masuk Reksa Dana Pasar Uang Dulu“Kami percaya bahwa pasar butuh waktu untuk mencerna arah inflasi dan juga arah kebijakan the Fed,” lanjutnya.Adapun, strategi Trimegah AM untuk paruh pertama tahun 2020 adalah menjaga durasi portofolio berbasis SBN di level yang rendah.Sementara itu, untuk portofolio obligasi pada umumnya, Trimegah AM memfokuskan exposure pada obligasi korporasi dengan fundamental yang baik dan memiliki durasi lebih pendek dari kebanyakan obligasi pemerintah.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Sentimen Global Masih Pengaruhi Pasar Obligasi Tanah Air,2024-09-25T04:37:08.679Z,18 May 2022 02:25 WIB,Ika Fatma Ramadhansari,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220518%2F92%2F1534135%2Fsentimen-global-masih-pengaruhi-pasar-obligasi-tanah-air,"Bisnis.com, JAKARTA – Sentimen global saat ini disebutkan masih pengaruhi pasar obligasi atau surat berharga negara (SBN) di Tanah Air. Sementara lelang tambahan menurut analis berdampak tambahan bagi capaian target pemerintah.Chief Economist Bank Permata Josua Pardede menyampaikan bahwa pasca libur panjang, imbal hasil atau yield Surat Utang Negara (SUN/SBN) mengalami tekanan sehingga mengalami peningkatan dan memberikan sentimen negatif bagi pasar obligasi di dalam negeri.Hal tersebut terbukti dari hasil lelang SUN yang dilaksanakan pada pekan lalu, 10 Mei 2022, yang mencatatkan total penawaran terendah sepanjang tahun yaitu sebesar Rp19,74 triliun dengan jumlah dimenangkan pemerintah sebesar Rp7,76 triliun yang berada dibawah target indikatif sebelumnya.Pada 19 April 2022 lalu, lelang sukuk negara alias SBSN juga mencatatkan total penawaran terendah yaitu sebanyak Rp7,54 triliun. Sedangkan pada lelang SBSN hari ini, Selasa (17/5/2022) terjadi kenaikan dengan jumlah penawaran sebanyak Rp17,02 triliun.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Berdasarkan data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, dikutip Selasa (17/5/2022), sepanjang tahun ini pemerintah telah mengumpulkan setidaknya Rp363,25 triliun dari penerbitan SBN.Pemerintah pun tercatat setidaknya telah melakukan tujuh kali lelang tambahan (Green Shoe Option) baik untuk SUN maupun SBSN untuk memenuhi kebutuhan pembiayaan di tahun 2022. Josua pun berpendapat, langkah ini hanya bersifat terbatas untuk target pemerintah.Baca JugaSentimen Global Tekan Pasar Obligasi Negara, Waspadai Hal Berikut IniEfek Kenaikan Bunga di AS, Bank Indonesia & Pemerintah Perlu Dudukkan InflasiYield SUN Tertekan Sentimen The Fed, Analis Sarankan Ini untuk Obligor dan Investor“Untuk mencapai target pemerintah, lelang tambahan ini cenderung berdampak terbatas terhadap target pemerintah, mengingat tambahan dari lelang tambahan ini hanya sekitar Rp2-3 triliun,” ungkap Josua kepada Bisnis, Selasa (17/5/2022).Josua menyampaikan, pasca libur panjang, yield SBN tertekan akibat sentimen hawkish The Fed pasca rapat FOMC, di mana The Fed menaikan suku bunganya hingga 50 basis poin (bps).Dampaknya, sepanjang minggu lalu yield SUN Indonesia bertenor 10 tahun masih cenderung mengalami pelemahan akibat inflasi dan pernyataan hawkish dari The Fed.“Hal ini kemudian juga berdampak negatif kepada sentimen dari investor di pasar obligasi, terutama dari sisi investor asing. Investor asing sendiri sudah berkurang signifikan, dan hanya memiliki proporsi sekitar 16 persen dari total kepemilikan obligasi,” kata Josua.Ke depannya, Josua mengungkapkan pergerakan yield masih akan didominasi sentimen asing, terutama sentimen terkait inflasi global dan suku bunga negara maju.Di sisi lain, kenaikan jumlah penawaran SBSN hari ini menurutnya merupakan bagian dari ekspektasi investor terkait prospek imbal hasil instrumen SBSN kedepannya, mengingat harga yang rendah per hari ini.Sementara itu, Chief Investment Officer Fixed Income Manulife Aset Manajemen Indonesia Ezra Nazula menyampaikan bahwa kenaikan yield SUN 10 tahun yang mendekati level 7,5 persen sudah undervalue.“Kalau melihat kondisi makro termasuk ekspektasi angka inflasi dan suku bunga kenaikan yield SUN tenor 10 tahun mendekati level 7,5 persen sudah undervalue,” kata Ezra saat dihubungi Bisnis secara terpisah, Selasa (17/5/2022).Dia mengungkapkan bahwa sentimen global yang menyebabkan volatilitas saat ini sudah mulai stabil dengan yield US Treasury bertenor 10 tahun yang berada di bawah 3 persen.Selain itu menurutnya angka inflasi Amerika Serikat sudah mencapai puncak sehingga diperkirakan adanya sentimen positif ke depannya. Di mana investor lokal dan asing dapat mulai perlahan kembali masuk ke pasar obligasi.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
