Title,Scrapping Date,Article Date,Author,Link,Content
"Sri Mulyani Mengenang Peristiwa 1998, Korupsi dan Ongkos Mahal Pemulihan Ekonomi",2024-08-20T02:18:27.850Z,16 May 2024 11:10 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240516%2F9%2F1765798%2Fsri-mulyani-mengenang-peristiwa-1998-korupsi-dan-ongkos-mahal-pemulihan-ekonomi,"Bisnis.com, JAKARTA – Menteri Keuangan (Menkeu) Sri Mulyani Indrawati mengungkapkan di hadapan internasional bahwa ekonomi Indonesia mampu bangkit berkali-kali meski dihantam berbagai krisis, seperti saat 1998 hingga pandemi Covid-19. 
Tragedi 1998 merujuk pecahnya kerusuhan massa di sejumlah wilayah di Jakarta dan kota-kota utama di Indonesia yang melumpuhkan ekonomi, gerakan demonstrasi anti-pemerintah, dan pembangkangan sipil. Kerusuhan ini mencapai puncaknya dengan mundurnya Presiden Soeharto, pemimpin Indonesia saat itu pada 21 Mei 1998.
Kerusuhan yang dimulai karena kenaikkan harga bahan pokok setelah melemahnya nilai tukar rupiah, korupsi merajalela, hingga sejumlah perbankan ditutup paksa dalam jumlah besar.
Kondisi ini membuat Indonesia memerlukan ongkos yang mahal untuk pemulihan termasuk melalui Bantuan Likuiditas Bank Indonesia (BLBI) yang juga menjadi jalan korupsi pemilik Bank.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Krisis kembali terulang pada 2008 yang bersumber dari keruntuhan pasar perumahan sekunder di Amerika Serikat. Saat itu pemerintah melakukan aksi penyelamatan Bank Century agar peristiwa 1998 tidak terulang, namun sejumlah kasus penyalahgunaan wewenang menyelimuti peristiwa itu. 
Persoalan ekonomi kembali terjadi di Indonesia 11 tahun kemudian dengan munculnya wabah pandemi Covid-19 yang membuat perekonomian kembali tertekan. Kini, di saat banyak negara masih berjuang memulihkan ekonomi, pertumbuhan ekonomi Indonesia mampu stabil di level 5%. Baca JugaGeger Skema Baru BPJS Kesehatan Kelas StandarWanti-wanti Mantan Menkeu Chatib Ekses Konflik Timur Tengah ke APBNEkonom Beberkan Prasyarat agar Cadangan Devisa Kembali Menebal
“Tapi Indonesia sudah menunjukkan ketahanan kita pasca krisis keuangan di tahun 1997-1998. Kita telah melakukan cukup banyak reformasi,” ujarnya dalam 2024 Fitch on Indonesia di Mandarin Oriental, Rabu (15/5/2024). 
Bendahara Negara tersebut bercerita, dalam forum global yang belum lama dirinya hadiri di Arab Saudi, Prancis, hingga Georgia, banyak negara yang mengaku belum pulih dari scaring effect pandemi Covid-19. 
Di saat yang bersamaan, tidak sedikit negara yang tengah menghadapi tantangan baru lainnya. Mulai dari masih tingginya harga komoditas global, kondisi suku bunga The Fed yang bertahan tinggi pada waktu yang lama, serta meningkatnya tensi geopolitik.
“Jadi ini bukanlah kondisi yang mudah bagi negara mana pun untuk beroperasi. Di samping semua itu, geopolitik akan membuat proses pengambilan keputusan menjadi sangat rumit,” jelasnya. 
Dirinya menilai kondisi krisis yang murni ekonomi dan keuangan masih dapat diselesaikan relatif lebih mudah. Berbeda dengan krisis yang bersifat geopolitik, karena lebih sulit untuk diselesaikan. 
Terlihat dari konflik Rusia dan Ukraina yang belum juga rampung, juga konflik Hamas dengan Israel yang masih tegang dan justru melebar. 
“Maka Anda harus memutuskan apakah ini benar-benar aman dan apakah ini berada di dalam zona kawan atau lawan. Dan itu menjadi salah satu hal yang perlu diperhatikan oleh kita semua,” jelasnya. 
Berkaca dari tahun lalu, perekonomian Indonesia tetap tangguh atau resilien, di mana laju inflasi terkendali pada rentang target pemerintah, yang tercatat sebesar 2,61% secara tahunan pada akhir 2023, turun signifikan dibanding 2022 sebesar 5,51%. 
Sejumlah lembaga internasional pun memberikan estimasi ekonomi Indonesia pada tahun ini dan tahun depan, stabil di level 5%.
Salah satunya, Dana Moneter Internasional (International Monetary Fund/IMF) yang kembali mempertahankan proyeksi pertumbuhan ekonomi Indonesia pada 2024 di angka 5%. 
Meski mempertahankan prospek ekonomi tahun ini, namun IMF terpantau mengerek proyeksi ekonomi RI pada 2025 menjadi 5,1%. 
Membandingkan dengan Asean-5 (Indonesia, Malaysia, Filipina, Singapura, dan Thailand), ekonomi Indonesia berada di atas rata-rata proyeksi Asean-5 yang sebesar 4,5% pada 2024. 
Ekonomi Indonesia pada 2024 diproyeksi juga akan lebih tinggi dari Malaysia, Singapura, dan Thailand yang masing-masing 4,4%, 2,1%, dan 2,7%. Sementara pemerintah menargetkan pertumbuhan ekonomi pada tahun ini sebesar 5,2% (yoy). 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Sri Mulyani Blak-blakkan 52% Negara Berkembang Hadapi Krisis Utang, Indonesia Bagaimana?",2024-08-20T02:18:28.393Z,05 March 2024 18:23 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240305%2F9%2F1746780%2Fsri-mulyani-blak-blakkan-52-negara-berkembang-hadapi-krisis-utang-indonesia-bagaimana,"Bisnis.com, JAKARTA – Menteri Keuangan Sri Mulyani Indrawati menyampaikan bahwa sebanyak 52% negara berkembang tengah menghadapi krisis utang.
Sri Mulyani mengatakan hal ini menjadi salah satu isu yang disoroti dalam pertemuan para menteri keuangan dan gubernur bank sentral negara G20 di bawah presidensi Brasil.
“Saat ini 52% negara-negara itu sedang menghadapi masalah fiskal. APBN-nya tidak sehat, utangnya dalam kondisi yang tertekan dan mereka tidak memiliki akses terhadap capital sehingga mereka tidak mampu pulih sejak pandemi dan ini butuh dukungan,” katanya saat ditemui di Jakarta, Selasa (5/3/2024).
Dia menyampaikan, dalam pertemuan tersebut, anggota negara G20, termasuk Indonesia, mendorong dibentuknya institusi multilateral yang dapat menangani permasalahan utang dari 52 negara tersebut.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
“Multilateral institution sangat diandalkan dalam situasi itu dan governance mereka perlu di reform dan size-nya perlu ditingkatkan, itu yang menjadi tema yang ketiga dan Indonesia beri banyak masukan,” jelasnya.
Sementara itu, pada acara Mandiri Investment Forum 2024, Sri Mulyani menyampaikan bahwa rasio utang Indonesia masih terjaga, sempat mencapai puncaknya sebesar 40% saat pandemi, tapi saat ini sedikit menurun menjadi 38,9%. Hal ini seiring dengan pengelolaan fiskal yang baik.Baca JugaSri Mulyani Pastikan Akan Wariskan Anggaran Sehat dan Kredibel ke Pemerintahan BaruKabar Baik, Sri Mulyani Sebut THR PNS Dibayar Penuh Tahun Ini, Simak JadwalnyaSimak Kriteria Menteri Keuangan Baru Pilihan Prabowo, Yakin Bukan Sri Mulyani?
“Posisi fiskal kita terus membaik. Jika dilihat, rasio pajak menurun sangat tajam karena pandemi, sekarang kita akselerasi kembali. Kita juga mengurangi defisit sehingga kita bisa menurunkannya ke tingkat yang hampir mendekati keseimbangan primer, menikmati positif atau surplus,” jelasnya.
Lebih lanjut, Sri Mulyani mengatakan bahwa pertemuan G20 pada pekan lalu membahas juga upaya pengentasan kemiskinan. Dia pun membagikan pengalaman, di mana pemerintah Indonesia berhasil menyalurkan bantuan sosial yang lebih tepat sasaran, bank untuk program yang rutin maupun sementara.
Selain itu, pertemuan juga membahas isu terkait perubahan iklim, terutama dari sisi pembiayaan yang kebutuhannya sangat besar dan belum memadai.
“Kita diskusi mengenai indonesia yang terus push mengenai energy transition mechanism dan just energy transition partnership namun kita tetap harus melihat mengenai berbagai opportunity atau kesempatan maupun kendala-kendala yang menghadangnya,” kata Sri Mulyani.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Bos Bank Sentral & Menkeu Malaysia Buka Suara usai Ringgit Sentuh Level Terendah sejak 1998,2024-08-20T02:18:28.746Z,21 February 2024 14:52 WIB,Jessica Gabriela Soehandoko,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240221%2F620%2F1742837%2Fbos-bank-sentral-menkeu-malaysia-buka-suara-usai-ringgit-sentuh-level-terendah-sejak-1998,"Bisnis.com, JAKARTA - Mata uang ringgit Malaysia tampak masih melemah dan sempat menyentuh  terendah sejak krisis 1998. Hal ini mendorong bank sentral negaranya menuturkan bahwa penurunan tersebut menunjukan prospek perekonomian yang tidak membaik. 
Berdasarkan data Bloomberg pada Rabu (21/2/2024) mata uang ringgit pada pukul 13.10 WIB kini berada level 4,7930 terhadap dolar dengan melemah sebesar -0,14%. Adapun, level sementara tersebut melewati titik terendah sepanjang masa di 4,8850 pada tahun 1998.
Adapun, mengutip Bernama, Kepala Ekonom bank Muamalat Malaysia Bhd Mohd Afzanizam Abdul Rashid mengatakan bahwa tinggit akan terus diperdagangkan dalam sentimen hati-hati menjelang pengumuman Indeks Harga Konsumen (IHK) Malaysia pada Jumat (23/2).
“Kemarin mata uang lokal mencapai 4,80 dalam waktu singkat terhadap dolar Amerika Serikat (AS), oleh karena itu Bank Negara Malaysia meresponsnya dengan mengeluarkan pernyataan mengenai situasi pasar saat ini,” tuturnya. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Berdasarkan catatan Bisnis, Gubernur Bank Negara Malaysia Abdul Rasheed Ghaffour pada Selasa (20/2) mengatakan bahwa bank sentral berpandangan nilai ringgit saat ini tikda mencerminkan prospek positif perekonomian ke depan. 
Tambahnya, kinerja ringgit baru-baru ini serupa dengan mata uang regional lainnya yang dipengaruhi oleh faktor eksternal. Menurutnya, permintaan eksternal dan belanja domestik yang kuat akan mendorong pertumbuhan tahun ini.Baca JugaBiang Kerok Ringgit Malaysia Sentuh Level Terendah sejak 1998Lagi-Lagi, Ringgit Malaysia Melemah Dekati Level Terendah Sejak Krisis 1998Sebanyak 130 WNI Ditangkap Imigrasi Malaysia, Kemlu RI Beri Penjelasan
Komentar lain juga datang dari Menteri Keuangan Malaysia, Amir Hamzah Azizan, yang mengatakan bahwa ringgit akan menguat karena potensi pemangkasan suku bunga bank sentral Amerika Serikat (AS) dan tanpa adanya peristiwa geopolitik yang penting.
Sang Menteri juga berpendapat bahwa Malaysia tak perlu mematok mata uang terhadap dolar, seperti yang terjadi selama krisis keuangan Asia. 
Mengutip Bloomberg, di lain sisi, beragam atraksi di Malaysia kini dapat menjadi lebih menarik lantaran adanya daya tarik ringgit yang melemah sehingga dapat meningkatkan daya beli wisatawan.
Warga Singapura kemudian dapat memanfaatkan kekuatan dolar mereka yang belum pernah terjadi sebelumnya pada ringgit.  Agen Intrepid Travel mengatakan bahwa mereka telah melihat peningkatan 15% dalam pemesanan ke Malaysia pada 2024 dibandingkan tahun lalu. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Biang Kerok Ringgit Malaysia Sentuh Level Terendah sejak 1998,2024-08-20T02:18:29.077Z,21 February 2024 10:30 WIB,Jessica Gabriela Soehandoko,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240221%2F620%2F1742680%2Fbiang-kerok-ringgit-malaysia-sentuh-level-terendah-sejak-1998,"Bisnis.com, JAKARTA - Mata uang ringgit Malaysia telah melanjutkan penurunannya ke level terendah sejak krisis keuangan Asia 1998 karena lesunya perekonomian China yang membebani Negeri Jiran tersebut. 
Mengutip Bloomberg, Rabu (21/2/2024), mata uang ringgit sempat tergelincir melewati level 4,8 terhadap dolar AS pada hari Selasa, level terlemah sejak mencapai titik terendah sepanjang masa di 4,8850 pada tahun 1998. Adapun, ringgit telah menurun lebih dari 4% pada 2024.
Untuk diketahui, pertumbuhan ekonomi Malaysia telah tumbuh lebih lambat dari perkiraan pada kuartal III/2023. Hal ini dikarenakan adanya penurunan ekspor ke China. 
Aktivitas manufaktur Malaysia tercatat masih terkontraksi dengan Indeks Manajer Pembelian Januari 2024 mencapai 49,0. Hal ini menandakan aktivitas manufaktur Malaysia telah berada di bawah ambang batas kontraksi di level 50 selama 17 bulan berturut-turut.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Sementara itu, lintasan pertumbuhan Malaysia pada tahun ini masih penuh dengan risiko, baik dari sisi eksternal maupun internal. 
Ringgit juga mendapat tekanan setelah Malaysia mencatat arus keluar obligasi asing yang terbesar dalam lima bulan terakhir pada pada Januari 2024 sebesar US$382 juta atau sekitar Rp5,9 triliun.Baca JugaLagi-Lagi, Ringgit Malaysia Melemah Dekati Level Terendah Sejak Krisis 1998Nilai Tukar Rupiah Stabil, Bos BI: Lebih Baik dari Ringgit hingga BahtNilai Tukar Rupiah terhadap Dolar AS Hari Ini, Rabu 21 Februari 2024
Sebelumnya, analis Australia & New Zealand Banking Group Khoon Goh mengatakan bahwa ada potensi bahwa ringgit akan mencapai level titik terendah baru sepanjang masa. 
Ia melihat ekspor Malaysia yang belum mengalami pemulihan dibandingkan perekonomian negara-negara Asia lain. Proyeksi pertumbuhan ekonomi Negeri Jiran tersebut diproyeksi masih melesu. 
Namun, sebagian besar analis memperkirakan bahwa pada akhir 2024 ringgit akan kembali menguat. Hal ini lantaran pertumbuhan ekonomi Malaysia yang mendapatkan momentum. 
“Hal ini pada akhirnya akan mempersempit perbedaan imbal hasil antara AS dan Malaysia, sehingga memberikan dukungan bagi mata uang tersebut,” jelas Ahli strategi mata uang di Oversea-Chinese Banking Corp. di Singapura, Christopher Wong.
Lanjutnya, ia berpendapat bahwa masih ada ruang bagi ringgit untuk memulihkan penurunannya. 
Respons Bank Sentral
Anjloknya ringgit memicu respons dari bank sentral Malaysia. Gubernur Bank Negara Malaysia (BNM) Abdul Rasheed Ghaffour mengatakan BNM berpandangan bahwa level ringgit saat ini tidak mencerminkan prospek ekonomi Malaysia ke depan.
""Performa ringgit baru-baru ini, seperti halnya mata uang-mata uang regional lainnya, telah dipengaruhi oleh faktor-faktor eksternal,” ungkap Abdul.
Ia mengatakan rebound permintaan eksternal dan belanja domestik yang kuat akan mendorong pertumbuhan ekonomi tahun ini, seraya bahwa menambahkan Dana Moneter Internasional (IMF) memprediksi perdagangan global akan meningkat tahun ini.
Ekspor Malaysia menunjukkan peningkatan yang stabil sejak kuartal IV/2023. Adapun ekspor pada Januari 2024 tumbuh 8,7% dibandingkan bulan yang sama tahun sebelumnya (year-on-year/yoy), mengakhiri kontraksi selama 10 bulan berturut-turut.
Abdul menambahkan, industri pariwisata telah pulih dengan kuat dan jumlah wisatawan pada tahun 2024 diperkirakan akan melampaui tingkat sebelum pandemi sebesar 26 juta. Momentum investasi telah meningkat dengan implementasi proyek-proyek yang telah disetujui baik di sektor swasta maupun publik.
""Mencerminkan perkembangan positif ini dan komitmen pemerintah untuk melaksanakan reformasi struktural dan penurunan suku bunga yang diharapkan di negara-negara maju, sebagian besar analis memperkirakan ringgit akan terapresiasi tahun ini,"" kata Abdul Rasheed.
Pelaku pasar akan mengamati laporan inflasi yang akan dirilis hari Jumat, yang akan memberikan petunjuk mengenai kemampuan Bank Negara Malaysia untuk mempertahankan suku bunga.
Sementara itu, Menteri Keuangan Malaysia Amir Hamzah Azizan mengatakan ringgit akan menguat karena potensi pemangkasan suku bunga Federal Reserve dan tanpa adanya peristiwa geopolitik yang krusial.
Oleh karena itu, dia mengatakan Malaysia tidak perlu mematok mata uangnya terhadap dolar AS seperti yang terjadi selama krisis keuangan Asia 26 tahun silam.
""Hari ini jika kita melihat basis cadangan devisa negara, jika kita melihat eksposur hutang negara, jika kita melihat likuiditas keuangan yang sebenarnya ada di pasar, Malaysia tidak perlu mematok mata uangnya,"" katanya kepada Bernama seperti dikutip Bloomberg.
Ke depan, potensi ringgit jatuh ke rekor terendah terhadap dolar AS juga akan bergantung pada laju greenback.
Kepala analis valas Asia RBC Capital Markets Alvin Tan mengatakan meskipun ringgit kemungkinan akan terus melemah melebihi 4,80 dalam waktu dekat, ia meragukan bahwa ringgit akan menembus rekor terendahnya, karena kekuatan dolar AS diperkirakan akan berkurang.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
KRISIS PROPERTI AS   : Embrio Terulangnya Sejarah Kelam 2008,2024-08-20T02:18:29.472Z,12 February 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240212%2F434%2F1739886%2Fkrisis-properti-as-embrio-terulangnya-sejarah-kelam-2008,
"Penuh Tantangan Global, Sri Mulyani Sebut Banyak Negara Tak Mampu Jaga Fiskal",2024-08-20T02:18:29.831Z,19 November 2023 14:20 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20231119%2F620%2F1715746%2Fpenuh-tantangan-global-sri-mulyani-sebut-banyak-negara-tak-mampu-jaga-fiskal,"Bisnis.com, JAKARTA – Menteri Keuangan Sri Mulyani Indrawati mengungkapkan banyak negara yang tidak mampu menjaga perekonomiannya terutama fiskal dalam menghadapi tantangan global. 
Sri Mulyani menyampaikan bahwa Anggaran Pendapatan dan Belanja Negara (APBN) sebagai kebijakan fiskal berfungsi melindungi perekonomian dan rakyat melalui fungsi alokasi, distribusi, dan stabilisasi.
Seperti kondisi saat ini, jelas Menkeu, guncangan yang mengancam ekonomi setelah pandemi, terdapat isu perubahan, geopolitik, dan disrupsi supply. Terlebih, juga kondisi inflasi dan suku bunga tinggi di Amerika Serikat dan Eropa.
“Banyak negara tidak mampu menjaga fiskal/APBN dengan baik, sehingga memicu krisis keuangan dan ekonomi yang mengancam stabilitas sosial politik,” ujarnya saat mengisi kuliah di UC Berkley, Amerika Serikat, dikutip @smindrawati, Minggu (19/11/2023). 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Untuk itu, APBN harus terus dijaga sehat, kredibel, dan sustainable untuk mengatasi masalah kualitas sumber manusia, infrastruktur, produktivitas, dan daya saing hingga terwujudnya kemakmuran dan keadilan sosial bagi seluruh rakyat Indonesia. 
Sri Mulyani menegaskan di depan para mahasiswa RI di Berkley, bahwa Indonesia mengelola APBN secara hati-hati atau prudent dan responsif serta akuntabel dan tetap sehat. Baca JugaDaftar Orang Penting yang Bertemu Sri Mulyani di AS: Menkeu China hingga Pejabat Bank DuniaSri Mulyani Bicara Dampak Ekonomi AS-China hingga Kripto di APEC 2023Sri Mulyani Temui Menkeu China, Bahas Kereta Cepat hingga Hilirisasi




Sementara untuk mengatasi ancaman perubahan iklim, kebijakan fiskal juga sangat penting dalam mendukung transisi menuju ekonomi hijau termasuk transisi energi. Indonesia pun diketahui menjadi ketua Koalisi Menteri Keuangan Dunia untuk Climate Action.
Melansir dari Trading Economics, Indonesia berada di posisi tiga teratas di antara negara G20 untuk pertumbuhan ekonomi tertinggi pada kuartal III/2023, dengan angka 4,94% (year-on-year/yoy). 
Pertumbuhan ekonomi AS dan China berada di bawah Indonesia, yang masing-masing sebesar 4,9% dan 2,9% (yoy) pada periode yang sama. 
Sementara Jerman, Belanda, Saudi Arabia, dan Argentina masih menghadapi ekonomi yang negatif hingga kuartal III/2023. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Ringgit Terendah sejak 1998, Eks PM Mahathir Mohamad Sarankan Patok Nilai ke Dolar AS",2024-08-20T02:18:30.196Z,02 November 2023 11:33 WIB,Jessica Gabriela Soehandoko,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20231102%2F620%2F1710454%2Fringgit-terendah-sejak-1998-eks-pm-mahathir-mohamad-sarankan-patok-nilai-ke-dolar-as,"Bisnis.com, JAKARTA - Mantan Perdana Menteri Malaysia Mahathir Mohamad, mengatakan bahwa Malaysia seharusnya mempertimbangkan untuk mematok nilai mata uang ringgit yang tengah merosot terhadap dolar AS. 
Ringgit adalah mata uang dengan kinerja terburuk di negara-negara berkembang di Asia pada 2023.
Nilainya sendiri menurun hampir 8% terhadap dolar Amerika Serikat (AS) dan nilai tukar mata uang ringgit merosot hampir 4,8 per dolar pada bulan lalu, yang merupakan tingkat terlemah sejak Januari 1998, saat puncak krisis berkepanjangan yang mengguncang pasar keuangan Asia.
Mahathir kemudian memberikan saran bahwa mengulangi kebijakan yang ia terapkan saat krisis keuangan Asia pada akhir 1990-an dapat dipertimbangkan untuk menghadapi situasi ini. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
""Ini adalah sesuatu yang harus dipertimbangkan,"" ujar Mahathir, seperti dikutip dari Bloomberg, Kamis (2/11/2023). 
Menurutnya, Ringgit mungkin akan turun lagi menjadi 5% dengan rekor terendah sebesar 5 per dolar. Hal ini akan berdampak pada biaya hidup masyarakat dan mematok mata uang akan membantu mengurangi tekanan harga.Baca JugaMahathir Muhammad Minta Malaysia Patok Nilai Tukar Setelah Ringgit Melemah ke Level 1998Ringgit Anjlok Sejak Krisis 1998, PM Malaysia Anwar Ibrahim Siap Dedolarisasi!China dan Ringgit Malaysia Kerek Harga Referensi CPO November 2023
Mata uang Malaysia tersebut telah mengalami penurunan pada 2023 karena lonjakan suku bunga AS. Bank sentral malaysia yakni Bank Negara Malaysia (BNM) telah mempertahankan suku bunga kuncinya sebesar 3% sejak Juli 2023, menempatkannya berada pada diskon rekor dibandingkan dengan batas atas patokan The Fed.
Kemudian, di lain sisi, diketahui bahwa pertumbuhan yang melambat di China, selaku mitra dagang terbesar Malaysia, telah memberikan tekanan pada ekspornya.
Gubernur BNM, Abdul Rasheed Ghaffour, menuturkan bahwa para pembuat kebijakan Malaysia tetap berkomitmen untuk memastikan penyesuaian ringgit berlangsung dengan tertib.
BNM tidak memberikan tanggapan terkait kemungkinan pematokan ringgit.
Sebelumnya, Mahathir, yang pertama kali menjadi perdana menteri pada tahun 1981 menolak tawaran dana talangan dari Dana Moneter Internasional (IMF). Sebaliknya, ia  malah memperkenalkan kontrol modal pada bulan September 1998 dan kemudian mematok ringgit pada 3,8 per dolar. Kebijakan ini berlaku hingga 2005. 
IMF, yang pada saat itu menyebut nilai tukar ringgit sebagai langkah kemunduran, kemudian mengakui bahwa nilai tukar ringgit adalah “jangkar stabilitas” yang membantu pemulihan perekonomian. Mahathir menuturkan bahwa investor asing sangat senang.
Mahathir menjadi perdana menteri untuk kedua kalinya pada tahun 2018. Ia telah melontarkan gagasan untuk mematok kembali ringgit ke bank sentral ketika dia kembali sebagai perdana menteri.
“Mereka bilang: 'Tidak, itu tidak bisa dilakukan karena secara internasional itu salah, menetapkan nilai tukar adalah salah,’” jelasnya. 
Mahathir juga menuturkan bahwa perlu untuk melarang perdagangan mata uang. 

 ""Anda mendapatkan keuntungan dari menciptakan kemiskinan bagi orang-orang,” tuturnya. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENANGANAN KRISIS 2024   : Beban Berganda Saldo Negara,2024-08-20T02:18:30.537Z,31 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231031%2F433%2F1709465%2Fpenanganan-krisis-2024-beban-berganda-saldo-negara,
EDITORIAL : Menyiasati Krisis Minyak Mentah Global,2024-08-20T02:18:30.858Z,27 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231027%2F245%2F1708416%2Feditorial-menyiasati-krisis-minyak-mentah-global,
"Rupiah Nyaris Rp16.000, Chatib Basri Bandingkan dengan Krisis 2013",2024-08-20T02:18:31.700Z,24 October 2023 16:00 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20231024%2F9%2F1707430%2Frupiah-nyaris-rp16000-chatib-basri-bandingkan-dengan-krisis-2013,"Bisnis.com, JAKARTA – Mantan Menteri Keuangan Chatib Basri menilai tingkat depresiasi nilai tukar rupiah saat ini masih terkendali jika dibandingkan dengan periode taper tantrum pada 2013.
Chatib mengatakan ekonomi dunia saat ini memang dalam kondisi yang tidak baik-baik saja. Dalam 1 bulan terakhir, tingkat imbal hasil atau yield dari US Treasury meningkat sangat tajam, situasi yang sangat berbeda dengan fenomena kenaikan yield bonds akibat kekhawatiran tingginya laju inflasi.
Dengan kondisi yield US Treasury yang meningkat, Dia menilai The Fed harus menaikkan suku bunga acuan. Akibatnya, arus modal ke negara berkembang mengalami tekanan, sehingga mempengaruhi nilai tukar mata uang, termasuk di Indonesia.
“Nah, sekarang kalau saya lihat kecenderungan yang terjadi di AS, maka dugaan saya bahwa interest rate-nya masih akan naik. Jadi, tingkat bunga masih akan naik dan kita akan berhadapan dengan exchange rate yang melemah,” katanya di Jakarta, Selasa (24/10/2023).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Menurut Chatib, arah kebijakan yang dilakukan BI saat ini adalah meredakan volatilitas di pasar keuangan. Dia mengatakan BI memiliki tiga opsi untuk merespons kondisi yang terjadi, diantaranya melepas rupiah, menaikkan tingkat suku bunga, atau melakukan manajemen capital flow.
Meski demikian, dia menilai tingkat depresiasi rupiah masih sangat kecil, sekitar 2%, jauh lebih rendah dibandingkan dengan negara lainnya, seperti Malaysia dan Jepang.Baca JugaBunga Acuan BI Naik dan Rupiah Melemah, Modal Bank Kecil Risiko Tergerus?Nilai Tukar Rupiah Terhadap Dolar AS Hari Ini, Selasa 24 Oktober 2023Jokowi Ratas bareng Sri Mulyani dan Gubernur BI Cs, Gara-gara Rupiah?
“Situasi kita tidak seburuk yang terjadi di 2013. Saya tidak terlalu khawatir sebetulnya, karena rupiah dibanding currency lain, depresiasinya sebetulnya relatif kecil,” jelasnya.
Nilai tukar rupiah terhadap dolar Amerika Serikat (AS) ditutup menguat ke Rp15.849 pada akhir perdagangan hari ini, Selasa (24/10/2023).  Berdasarkan data Bloomberg pukul 15.10 WIB, rupiah terus melanjutkan penguatan ke Rp15.849 per dolar AS atau naik 0,53% dari posisi sebelumnya.
Meski demikian, di tengah penguatan nilai mata uang rupiah, indeks dolar AS terpantau masih perkasa pada posisi 105,59 atau menguat 0,06%. 
Adapun, mayoritas mata uang lain di kawasan Asia juga ditutup menguat pada akhir perdagangan hari ini. Misalnya seperti yen Jepang yang menguat 0,18%, kemudian dolar Singapura menguat 0,09%, yuan China naik 0,03%, serta ringgit Malaysia yang terapresiasi 0,19%. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
