Title,Scrapping Date,Article Date,Author,Link,Content
"OBLIGASI NEGARA : Yield Kurang Kompetitif, Asing Masih Terus Jual SBN",2024-08-19T15:43:51.013Z,25 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231025%2F442%2F1707590%2Fobligasi-negara-yield-kurang-kompetitif-asing-masih-terus-jual-sbn,
PENGGALANGAN DANA    : 3 Surat Utang Korporasi Ramaikan Pasar,2024-08-19T15:43:51.345Z,09 February 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230209%2F442%2F1626513%2Fpenggalangan-dana-3-surat-utang-korporasi-ramaikan-pasar,
Saham Bank BBRI dan BMRI Dijagokan Saat Yield SUN Melonjak,2024-08-19T15:43:51.968Z,27 July 2022 15:06 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220727%2F7%2F1559873%2Fsaham-bank-bbri-dan-bmri-dijagokan-saat-yield-sun-melonjak,"Bisnis.com, JAKARTA – Lonjakan yield obligasi pemerintah bertenor 10 tahun turut berdampak pada nilai price to book (P/B) saham perbankan. Namun, saham PT Bank Mandiri (Persero) Tbk. (BMRI) dan PT Bank Rakyat Indonesia Tbk. (BBRI) masih dijagokan karena bereaksi positif.Berdasarkan data Bloomberg pada Rabu (27/7/2022), yield Surat Utang Negara (SUN) tenor 10 tahun terpantau sebesar 7,4 persen. Posisi itu sudah turun dari 7,49 persen yang sempat terjadi pada 21 Juli 2022."
"Pasar Obligasi Masih Terguncang, Ini Proyeksi Yield SUN Semester II/2022",2024-08-19T15:43:52.319Z,30 June 2022 16:18 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220630%2F92%2F1549882%2Fpasar-obligasi-masih-terguncang-ini-proyeksi-yield-sun-semester-ii2022,"Bisnis.com, JAKARTA – Fluktuasi yang cukup tinggi masih akan membayangi kondisi pasar obligasi Indonesia pada semester II/2022.Head of Fixed Income Research BNI Sekuritas, Amir Dalimunthe mengatakan, saat ini imbal hasil Surat Utang Negara (SUN) seri acuan 10 tahun cenderung stabil pada kisaran 7,3 persen. Meski demikian, tren volatilitas masih akan berlanjut sepanjang semester II/2022 mendatang.Salah satu katalis yang menekan pergerakan pasar obligasi Indonesia adalah kelanjutan langkah The Fed yang menaikkan suku bunga acuannya. Ia memperkirakan, kebijakan The Fed tersebut terutama akan terjadi pada kuartal III/2022 mendatang.“Kenaikan suku bunga The Fed akan membuat investor asing lebih memilih obligasi AS karena yieldnya akan naik mengikuti suku bunga,” jelasnya dalam sesi diskusi dengan media, Kamis (30/6/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Langkah kenaikan suku bunga The Fed kemungkinan akan diikuti Bank Indonesia (BI) pada kuartal yang sama. Amir memprediksi yield SUN seri acuan pada periode ini berpotensi menembus kisaran 7,7 persen hingga 7,8 persen.Amir melanjutkan, langkah yang dilakukan BI akan turut meningkatkan risiko di pasar surat utang Indonesia. Seiring dengan hal tersebut, level credit default swap (CDS) Indonesia pun akan terkerek naik.Baca JugaTekanan Mulai Mereda, Bagaimana Prospek Reksa Dana Pendapatan Tetap?Pasar Saham dan Obligasi Menanti Efek BI Tahan Suku BungaBNI Sekuritas Optimistis IHSG Mampu Tembus 7.600, Ini Sebabnya“Dengan daya tarik obligasi AS yang meningkat, kami perkirakan inflow asing ke SUN Indonesia akan cenderung minim dalam jangka pendek,” lanjutnya.Meski demikian, Amir mengatakan pasar surat utang Indonesia masih cukup resilien hingga akhir tahun ini. Hal tersebut didukung oleh melimpahnya likuiditas dari dalam negeri, yang umumnya berasal dari bank dan pengelola dana pensiun.“Langkah bauran kebijakan yang dilakukan Bank Indonesia dan juga pemerintah akan menjaga kondisi pasar obligasi Indonesia,” tambahnya.Amir memprediksi pada akhir tahun 2022, yield SUN Indonesia seri 10 tahun akan berada di level 7,59 persen.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Yield SUN Mulai Turun, Bagaimana Nasib Obligasi Korporasi?",2024-08-19T15:43:52.717Z,31 May 2022 00:49 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220531%2F92%2F1538403%2Fyield-sun-mulai-turun-bagaimana-nasib-obligasi-korporasi,"Bisnis.com, JAKARTA – Pasar obligasi korporasi diyakini akan kembali semarak seiring dengan tren kenaikan suku bunga global dan menguatnya imbal hasil Surat Utang negara (SUN) Indonesia.Berdasarkan data dari World Government Bonds, tingkat imbal hasil (yield) SUN Indonesia seri acuan 10 tahun pada Senin (30/5/2022) terpantau pada level 7,132 persen. Selama sepekan ke belakang, imbal hasil SUN Indonesia tercatat menguat 16,7 basis poin.Chief Investment Officer STAR AM Susanto Chandra menyebutkan, tren kenaikan suku bunga global dan mulai melandainya imbal hasil SUN Indonesia merupakan kesempatan bagi para investor untuk memperoleh obligasi di Indonesia dengan imbal hasil yang baik.Hal ini karena Indonesia cenderung diuntungkan dengan pemulihan ekonomi global yang didukung oleh peningkatan harga komoditas dunia. Perkembangan ini akan membuat neraca transaksi berjalan (current account) Indonesia cenderung surplus dibanding negara lainnya.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Seiring dengan pertumbuhan ekonomi global akibat risiko covid-19 yang mulai masuk ke endemi, Susanto melihat perusahaan-perusahaan akan mulai kembali melakukan aktivitas operasional dan investasinya. Hal ini akan berimbas pada meningkatknya pasokan terhadap obligasi korporasi di pasar.“Sementara, dari sisi investor tentunya seiring dengan peningkatan suku bunga global, imbal hasil yang ditawarkan juga akan semakin menarik sehingga kondisi pasokan dan permintaan dapat berimbang,” paparnya.Baca JugaBegini Pengaruh Potensi Krisis Pangan Bagi Obligasi KorporasiTekanan Global Mereda, Prospek Obligasi Korporasi Makin Cerah Didukung Kondisi DomestikYield SUN Dekat 7,5 Persen, Investor Beralih Ke Reksa Dana Berbasis Obligasi KorporasiIa melanjutkan, beberapa sentimen yang akan diperhatikan investor pada pasar obligasi adalah pertumbuhan inflasi global, risiko geopolitik dan risiko kredit apabila perusahaan menghadapi masalah refinancing.Tren peningkatan suku bunga global akan cenderung meningkatkan permintaan terhadap obligasi korporasi, terutama yang memiliki tenor pendek. Meski demikian, pemilihan obligasi korporasi juga perlu dibarengi dengan analisa terhadap emiten-emiten tersebut.“Perusahaan yang memiliki fundamental yang baik cenderung akan lebih ramai diminati para investor,” katanyaSusanto menyarankan investor untuk memperhatikan peringkat utang yang dimiliki oleh emiten. Menurutnya, di tengah kenaikan suku bunga, investor sebaiknya memilih emiten obligor yang memiliki rating dalam kisaran investment grade.“Karena biaya penerbitan (cost of fund) yang akan meningkat relatif lebih tinggi dibandingkan dengan emiten lainnya. Terlebih, apabila rasio hutang di emiten tersebut juga cukup tinggi,” tutupnya.Secara terpisah, Director & Chief Investment Officer Fixed Income Manulife Aset Manajemen Indonesia (MAMI) Ezra Nazula melihat minat investor atas pasar obligasi korporasi masih cukup baik.Menurutnya, investor saat ini masih mengincar yield yang atraktif seiring dengan suku bunga yang masih rendah. Obligasi korporasi saat ini menawarkan selisih yield yang menarik dibanding produk perbankan dan obligasi pemerintah.Prospek daya tarik obligasi korporasi sepanjang tahun ini turut ditopang oleh tren pemulihan ekonomi dari pandemo virus corona. Ezra mengatakan, pemulihan ini menyebabkan naiknya kebutuhan perusahaan untuk menggalang dana.""Sehingga, emisi obligasi korporasi ke depannya masih akan meningkat seiring dengan membaiknya fundamental perusahaan,"" pungkasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENGGALANGAN DANA : Korporasi Geber Emisi Obligasi,2024-08-19T15:43:53.009Z,20 April 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220420%2F244%2F1524691%2Fpenggalangan-dana-korporasi-geber-emisi-obligasi,
"Tren Positif Berlanjut, Yield SUN Masih Berpotensi Turun",2024-08-19T15:43:53.367Z,07 October 2021 05:16 WIB,Ika Fatma Ramadhansari,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20211007%2F92%2F1451461%2Ftren-positif-berlanjut-yield-sun-masih-berpotensi-turun,"Bisnis.com, JAKARTA – Mulai dari tekanan suplai penerbitan Surat Utang Negara (SUN) yang semakin kecil hingga likuiditas investor yang masih besar, pergerakan imbal hasil (yield) di kuartal IV/2021 masih berpotensi turun.Head of Fixed Income Research BNI Sekuritas Ariawan menyampaikan bahwa pada tiga bulan terakhir tahun 2021 ini, tren positif di pasar SUN domestik yang telah terjadi pada kuartal III/2021 masih akan terus berlanjut.“Di kuartal IV/2021, tren positif di pasar domestik diperkirakan masih berpeluang berlanjut seiring tekanan supply penerbitan SBN [Surat Berharga Negara/SUN] yang semakin kecil,” ujar Ariawan kepada Bisnis, Rabu (6/10/2021).Dia menjelaskan bahwa target penerbitan SBN melalui lelang SUN dan sukuk hanya sebesar Rp80,75 triliun, jauh di bawah penerbitan SBN melalui lelang di kuartal I hingga kuartal III yang lebih dari Rp225 triliun per kuartal.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Selain itu ungkapnya, dengan likuiditas investor yang masih besar, potensi masuknya investor ke pasar domestik juga masih cukup tinggi.Apalagi dengan kenaikan yield yang terjadi di bulan September. Hal tersebut menurutnya akan menambah daya tarik pasar domestik sehingga berpeluang membuka ruang bagi investor untuk kembali masuk ke pasar.Baca JugaPasar SUN RI Diselimuti Tren Positif pada Kuartal III/2021Dibayangi Sentimen Global, Yield SUN RI Berpotensi Tertekan hingga Akhir 20215 Strategi BEI Berebut IPO Unicorn dengan Bursa SingapuraOleh karena itu, Ariawan mengungkapkan bahwa yield SUN Indonesia akan tetap rendah di akhir kuartal 2021.Sementara itu, dia menuturkan potensi risiko untuk pergerakan imbal hasil SUN Indonesia di kuartal akhir ini berasal dari eksternal, ditengah masih tingginya volatilitas dan ketidakpastian global.“Yield SUN seri 10 tahun berpotensi turun ke level 6,0 persen–6,1 persen di kuartal IV/2021,” katanya.Sementara itu, untuk potensi penurunan yield di bawah 6 persen masih ada ungkap Ariawan. Walaupun peluangnya akan lebih terbatas mengingat volatilitas dan ketidakpastian global masih terus berlanjut.Berdasarkan data dari laman World Government Bonds, tingkat imbal hasil SUN Indonesia seri acuan 10 tahun berada di kisaran 6,39 persen. Di mana dalam sepekan terakhir yield SUN terpantau turun 0,8 basis poin.Sedangkan dalam sebulan terakhir justru menguat 21,5 basis poin. Lalu untuk sepanjang tahun berjalan atau year to date (ytd), yield SUN Indonesia seri acuan 10 tahun telah turun 59,8 basis poin. 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Tren Suku Bunga Rendah, Ruang Penguatan Yield SUN Indonesia Masih Terbuka",2024-08-19T15:43:53.695Z,27 July 2021 17:13 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210727%2F92%2F1422540%2Ftren-suku-bunga-rendah-ruang-penguatan-yield-sun-indonesia-masih-terbuka,"Bisnis.com, JAKARTA - Tingkat likuiditas yang optimal serta tren suku bunga rendah akan menjadi katalis positif untuk penguatan imbal hasil (yield) Surat Utang Negara (SUN) Indonesia di sisa tahun 2021.Head of Fixed Income Research Mandiri Sekuritas Handy Yunianto menilai imbal hasil SUN Indonesia masih memilki ruang penguatan yang cukup lebar hingga akhir tahun 2021.“Kami masih di kubu yang positif bahwa yield SUN Indonesia dapat menguat hingga 6 persen pada akhir 2021,” katanya saat dihubungi pada Selasa (27/7/2021).Salah satu faktor positif yang mendukung prospek ini adalah tingkat likuiditas yang melimpah pada pasar surat utang pemerintah Indonesia. Hal tersebut turut ditopang oleh tren suku bunga rendah yang masih berlanjut baik dari global atau domestik.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Handy menjelaskan, secara valuasi yield SUN Indonesia masih lebih menarik baik dibandingkan dengan emerging market lainnya maupun dari sisi perhitungan fair value berdasarkan variabel imbal hasil US treasury, credit default swap (CDS), dan pergerakan rupiah.Lebih lanjut, Handy juga melihat adanya potensi penurunan risiko obligasi pemerintah. Sentimen ini seiring dengan rencana penggunaan saldo anggaran lebih (SAL) untuk pengurangan target penerbitan obligasi tahun ini.Baca JugaBI: Aliran Modal Asing Masuk Rp7,55 Triliun per Minggu Ketiga Juli 2021Suntikan Likuiditas BI ke Perbankan Capai Rp97,3 Triliun pada Semester I/2021Sementara itu, jika pemerintah berhasil melakukan kebijakan fiskal yang prudent dengan menekan defisit anggaran ke 3 persen dari PDB tahun 2023, maka target penerbitan surat berharga negara (SBN) juga berpotensi turun ke depannya.""Hal ini dapat memperkuat pergerakan imbal hasil SUN Indonesia,"" tambahnya.Data dari laman World Government Bonds pada Selasa (27/7/2021) mencatat, tingkat imbal hasil SUN Indonesia seri acuan 10 tahun berada di kisaran 6,4 persen.Dalam sepekan terakhir, pergerakan yield SUN Indonesia terpantau menguat hingga 1,8 basis poin. Sedangkan, selama 1 bulan terakhir, pergerakan yield menguat sebesar 22 basis poin.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Penawaran Investor di Lelang SUN Hari Ini Diprediksi Hanya Rp60 Triliun,2024-08-19T15:43:54.048Z,22 June 2021 09:21 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210622%2F92%2F1408466%2Fpenawaran-investor-di-lelang-sun-hari-ini-diprediksi-hanya-rp60-triliun,"Bisnis.com, JAKARTA - Tren negatif pada pasar sekunder Surat Utang Negara (SUN) diperkirakan akan menurunkan hasil lelang pada hari ini. VP Economist Bank Permata Josua Pardede mengatakan, hasil lelang SUN hari ini akan sulit mengulangi tren positif pada beberapa lelang sebelumnya yang menunjukkan kenaikan penawaran. Josua menjelaskan, imbal hasil (yield) SUN di pasar sekunder cenderung meningkat dalam beberapa hari terakhir. Hal ini dipengaruhi oleh pengumuman FOMC bulan Juni minggu lalu saat The Fed mengindikasikan normalisasi kebijakan moneternya. ""Hal ini dilakukan dengan tapering pembelian obligasi AS dan kenaikan suku bunga Fed pada tahun 2023 mendatang,"" katanya saat dihubungi Bisnis pada Senin (21/6/2021) malam.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Seiring dengan tren kenaikan yield, tingkat permintaan imbal hasil pada lelang hari ini berpotensi akan lebih tinggi dibandingkan permintaan yield dari investor pada lelang SUN 2 minggu yang lalu.Sementara itu, sejalan dengan sentimen risk-off di pasar keuangan negara berkembang dalam beberapa hari terakhir ini, Josua memprediksi angka penawaran pada lelang hari ini tidak akan setinggi beberapa lelang sebelumnya. Menurutnya, pemerintah kemungkinan besar akan lebih memilih untuk memenangkan yield yang kompetitif. Baca JugaKasus Covid-19 Indonesia Terus Bertambah, Lelang SUN Kemungkinan SepiTren Positif, Simak Rapor Lelang SUN Indonesia Sepanjang 2021""Lelang SUN hari ini diproyeksikan berada pada kisaran Rp50 triliun - Rp60 triliun,"" katanya. Sebelumnya, ekonom CORE Indonesia Yusuf Rendy Manilet mengatakan lelang SUN hari ini tidak akan menarik minat banyak investor. Salah satu sentimen penekan utama pada lelang tersebut adalah kenaikan jumlah kasus virus corona di Indonesia dalam beberapa minggu terakhir.Yusuf memaparkan, kenaikan kasus virus corona di Indonesia akan berdampak langsung terhadap  persepsi risiko dari SUN yang juga akan meningkat. Hal tersebut akan berimbas pada turunnya harga SUN Indonesia di pasar.“Dampaknya, imbal hasil SUN juga akan melemah,"" jelasnya. Sementara itu, faktor eksternal yang akan menekan minat investor terhadap lelang adalah sinyal dari The Fed yang mengatakan adanya perubahan arah kebijakan, tapering dan kenaikan suku bunga acuan. Langkah-langkah hawkish ini menuturnya kemungkinan besar hanya tinggal menunggu waktu saja.Seiring dengan hal tersebut, Yusuf memprediksi jumlah penawaran yang dihimpun pemerintah akan mengalami penurunan yang cukup tajam. Menurutnya, hasil lelang besok akan sangat sulit mendekati level beberapa lelang terakhir yang berada di kisaran Rp70 triliun.“Saya prediksi akan lebih kecil dari Rp70 triliun, berada di kisaran Rp20 triliun sampai Rp30 triliun,” pungkasnya.  


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Lelang Sukuk Selasa 20 April Diprediksi Tetap Sepi, Ini Sebabnya",2024-08-19T15:43:54.406Z,19 April 2021 17:19 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210419%2F92%2F1383185%2Flelang-sukuk-selasa-20-april-diprediksi-tetap-sepi-ini-sebabnya,"Bisnis.com, JAKARTA – Hasil lelang Surat Berharga Syariah Negara (SBSN) atau sukuk negara diperkirakan tidak akan bergerak signifikan mengingat masih tingginya risiko global.Analis Indonesia Bond Pricing Agency (IBPA) Lili Indarli mengatakan lelang SBSN besok diprediksi belum akan terlalu semarak. Menurutnya, pelaksanaan lelang masih dibayangi tren kenaikan yield obligasi AS atau US Treasury meskipun pergerakannya tengah melandai.Di sisi lain, pasar juga menghadapi potensi kenaikan persepsi risiko dari pandemi virus corona. Hal ini terjadi akibat ancaman gelombang penyebaran virus corona kedua yang tengah terjadi di dunia.Berdasarkan hal tersebut, Lili memprediksi total penawaran yang masuk pada lelang besok belum akan banyak berubah dibandingkan yang sebelumnya.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Oversubscribed untuk lelang besok diperkirakan masih dibawah 2 kali. Hasil tersebut berpotensi mendorong pemerintah memenangkan dana lelang di bawah target indikatif,” katanya saat dihubungi pada Senin (19/4/2021).Adapun, sepanjang tahun 2021, pemerintah telah melakukan tujuh kali lelang sukuk. Lelang pada 20 April 2021 akan menjadi lelang edisi kedelapan pada tahun ini dan kedua untuk bulan April. Hasil lelang sukuk pada tahun ini menunjukkan tren penawaran yang menurun.Baca JugaJelang Pengumuman BI, Lelang Sukuk Besok Diprediksi MembaikPemerintah Lelang Sukuk Besok, Selasa (20/4), Begini Rapor 7 Lelang SebelumnyaPada lelang sukuk perdana yang diadakan pada 12 Januari 2021, pemerintah berhasil menghimpun penawaran sebesar Rp24,27 triliun. Dari jumlah tersebut, pemerintah memenangkan sebanyak Rp11,3 triliun.Jumlah penawaran kemudian mengalami penurunan pada lelang edisi 26 Januari 2021. Kala itu, pemerintah mengumpulkan penawaran sebanyak Rp23,341 triliun dan menyerap Rp9 triliun diantaranya.Pada lelang 9 Februari lalu, jumlah penawaran yang masuk mengalami perbaikan setelah pemerintah menghimpun Rp26,1 triliun. Dari angka tersebut, pemerintah memenangkan sebanyak Rp12 triliun.Hasil lelang selanjutnya, 23 Februari 2021, kemudian kembali mengalami penurunan setelah mengumpulkan penawaran sebanyak Rp24,23 triliun. Dari jumlah tersebut, pemerintah memutuskan untuk menyerap dana sebesar Rp4,99 triliun.Pada lelang 9 Maret lalu, pemerintah mencatatkan hasil penawaran sebanyak Rp17,975 triliun. Dari jumlah itu, pemerintah menyerap sebesar Rp4,495 triliun.Selanjutnya, pada lelang 23 Maret 2020, pemerintah menghimpun penawaran sebesar Rp17,164 triliun dengan penyerapan senilai Rp6,39 triliun. Hasil lelang terakhir pada 6 April lalu mencatatkan angka penawaran terendah sepanjang 2021 dengan Rp14,55 triliun dan diserap sebesar Rp7,34 triliun.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
