Title,Scrapping Date,Article Date,Author,Link,Content
PELEMAHAN RUPIAH   : Penundaan Pembayaran Utang Mendesak,2024-08-19T07:46:10.919Z,09 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231009%2F433%2F1702144%2Fpelemahan-rupiah-penundaan-pembayaran-utang-mendesak,
"Utang Luar Negeri Pemerintah Rp2.905 Triliun, Siapa Kreditur Terbesar?",2024-08-19T07:46:11.259Z,20 June 2023 07:20 WIB,Dionisio Damara,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20230620%2F9%2F1667045%2Futang-luar-negeri-pemerintah-rp2905-triliun-siapa-kreditur-terbesar,"Bisnis.com, JAKARTA – Bank Indonesia (BI) melaporkan utang luar negeri pemerintah naik 1,8 persen menjadi US$194,1 miliar atau setara Rp2.905,1 triliun (estimasi kurs: Rp14.967) per April 2023. Negara ini ternyata menjadi kreditur terbesar bagi pemerintah.  
Berdasarkan data Statistik Utang Luar Negeri Indonesia (SULNI) edisi Juni 2023, Jepang tercatat sebagai negara pemberi utang terbesar kepada pemerintah dengan nilai mencapai US$8,45 miliar, disusul Jerman sebesar US$3,9 miliar, dan Perancis US$2,38 miliar. 
Kepala Departemen komunikasi Bank Indonesia Erwin Haryono menyampaikan bahwa kenaikan utang luar negeri (ULN) pemerintah terjadi setelah bulan Maret lalu mengalami kontraksi sebesar 1,1 persen year-on-year (yoy). 
“Perkembangan ULN tersebut dipengaruhi oleh penempatan investasi portofolio di pasar Surat Berharga Negara (SBN) domestik seiring dengan sentimen positif pelaku pasar global yang tetap terjaga,” Erwin dalam keterangan tertulis, dikutip Senin (19/6/2023).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Dia menyampaikan penarikan ULN pemerintah pada April 2023 masih diutamakan untuk mendukung pembiayaan sektor produktif dan prioritas, khususnya untuk menjaga momentum pemulihan ekonomi Indonesia di tengah ketidakpastian perekonomian global. 
Selain itu, kata Erwin, pemerintah terus berkomitmen mengelola ULN secara hati-hati, efisien, dan akuntabel, termasuk dalam menjaga kredibilitas dalam memenuhi kewajiban pembayaran pokok serta bunga secara tepat waktu.Baca JugaDaftar 10 Negara Pemberi Utang Terbesar untuk IndonesiaMembandingkan Utang Luar Negeri Pemerintah Vs Swasta, Siapa Terbesar?
ULN pemerintah mencakup sektor jasa kesehatan dan kegiatan sosial (24,1 persen dari ULN pemerintah); administrasi pemerintah, pertahanan, dan jaminan sosial wajib (17,9 persen); jasa pendidikan (16,8 persen); konstruksi (14,3 persen); jasa keuangan dan asuransi (10,2 persen).
“Posisi ULN pemerintah relatif aman dan terkendali mengingat hampir seluruh ULN memiliki tenor jangka panjang dengan pangsa mencapai 99,9 persen dari total ULN pemerintah,” tuturnya.
Secara keseluruhan ULN Indonesia per April 2023 mencapai US$403,1 miliar atau setara Rp6.026,34 triliun. Posisi tersebut mengalami penurunan jika dibandingkan dengan bulan sebelumnya, yang bercokol di angka US$403,3 miliar.

Berikut daftar 10 negara pemberi pinjaman terbesar ke pemerintah per akhir April 2023

Jepang: US$8,45 miliar
Jerman: US$3,9 miliar
Perancis: US$2,38 miliar
China: US$1,37 miliar
Australia: US$1,13 miliar
Korea Selatan: US$855 juta
Amerika lainnya: US$817 juta
Singapura: US$495 juta
Eropa lainnya: US$349 juta
Hongkong: US$325 juta


                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENANGANAN HAK TAGIH NEGARA   : Kala Satgas BLBI Butuh Ekstra Energi,2024-08-19T07:46:11.548Z,07 June 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20230607%2F433%2F1662915%2Fpenanganan-hak-tagih-negara-kala-satgas-blbi-butuh-ekstra-energi,
"PROGRAM PENGUNGKAPAN SUKARELA   :  Utang, Pengampunan,  & Ironi Negeri Jiran",2024-08-19T07:46:11.866Z,04 July 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220704%2F433%2F1550810%2Fprogram-pengungkapan-sukarela-utang-pengampunan-ironi-negeri-jiran,
"Kemenkeu Pastikan PMN BUMN Cair Tahun Ini, Tak Ada Carry Over",2024-08-19T07:46:12.267Z,25 June 2022 19:06 WIB,Iim Fathimah Timorria,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20220625%2F9%2F1547943%2Fkemenkeu-pastikan-pmn-bumn-cair-tahun-ini-tak-ada-carry-over,"Bisnis.com, JAKARTA — Pemerintah menegaskan bahwa penyertaan modal negara atau PMN 2022 bagi sejumlah Badan Usaha Milik Negara (BUMN) akan cair pada tahun ini atau tidak terdapat carry over, termasuk bagi PT Garuda Indonesia (Persero) Tbk. (GIAA).
Sejauh ini, pemerintah belum memberikan rincian perkembangan pelaksanaan PMN bagi BUMN untuk tahun anggaran 2022. Namun, Direktur Jenderal Kekayaan Negara Kementerian Keuangan Rionald Silaban memastikan prosesnya terus berjalan.
Rionald menyatakan bahwa pencairan modal bagi seluruh BUMN akan berlangsung dan tuntas pada tahun ini. Artinya, tidak akan terdapat penundaan atau pencairan sebagian pada tahun depan.
“Ada yang sedang berproses, tetapi tidak akan carry over,” kata Rionald pada Jumat (24/6/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Dia menyebut bahwa terdapat sebagian alokasi yang masih dalam cadangan pembiayaan. Terkait hal itu, Rionald akan membahasnya bersama Kementerian BUMN mengenai perusahaan yang disasar dalam penggunaan cadangan pembiayaan itu.
Terdapat pula proses pencairan PMN yang sudah berjalan dan perkembangannya baik. Hal tersebut terutama menyangkut PMN kepada perusahaan-perusahaan pelat merah yang telah mendapatkan lampu hijau dari Dewan Perwakilan Rakyat (DPR).Baca JugaPMN untuk Garuda Indonesia (GIAA), Kemenkeu Jelaskan Alur PencairanEmpat Desa di Jatim Diusulkan Dapat Aliran PLN Melalui Dana PMNKejar Rasio Elektrifikasi 100 Persen pada 2025, PLN Minta PMN Rp10 Triliun
“Misalnya 2022 ini ada yang untuk Hutama Karya, right issue Waskita, Adhi Karya, karena sudah dilaporkan kepada DPR jadi itu sudah berjalan,” lanjutnya.
Pemerintah memastikan akan menyuntik modal kepada Garuda Indonesia setelah para kreditur menyetujui skema restrukturisasi utang dalam proses penundaan kewajiban pembayaran utang (PKPU). PMN dalam bentuk right issue itu menjadi salah satu langkah penyelamatan Garuda Indonesia dari kondisi keuangan yang amat buruk.
""Angkanya, itu nanti saya akan bawa ke Komisi XI,"" kata Rionald.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Menang PKPU, Garuda Indonesia (GIAA) Berharap PMN Rp7,5 Triliun Cair",2024-08-19T07:46:12.629Z,18 June 2022 02:30 WIB,Anitana Widya Puspa,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20220618%2F98%2F1545081%2Fmenang-pkpu-garuda-indonesia-giaa-berharap-pmn-rp75-triliun-cair,"Bisnis.com, JAKARTA – PT Garuda Indonesia Tbk. (GIAA) segera berkomunikasi dengan pemerintah pusat agar bisa mencairkan Penyertaan Modal Negara (PMN) setelah mencapai homologasi dalam voting Penundaan Kewajiban Pembayaran Utang (PKPU) pada Jumat (17/6/2022).Homologasi adalah pengesahan perdamaian oleh hakim atas persetujuan antara debitor dengan kreditur untuk mengakhiri kepailitan. Perdamaian (akkoord) dalam tahapan PKPU ini merupakan tahapan yang paling penting, karena dalam perdamaian tersebut debitur akan menawarkan rencana perdamaiannya kepada kreditorDirektur Keuangan dan Manajemen Risiko Garuda Prasetio mengatakan setelah tercapainya homologasi, pekerjan rumah besar yang ditanggung perseroan adalah menindaklanjuti sesuai dengan komitmen perjanjian dan perdamaian. Menurutnya, apa yang telah dituliskan dalam perjanjian perdamaian harus dipatuhi, untuk dilaksanakan, sesuai dengan perjanjian yang disepakati.Setelah itu, Garuda akan melaporkan kepada pemerintah pusat terkait dengan hasil homologasi agar dana Penyertaan Modal Negara (PMN) segera cair.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Setelah ini kami laporkan ke pemerintah, bahwa homologasinya seperti ini dan sesuai ketentuan, maka protokol selanjutnya adalah bagaimana memohon kepada pemerintah atas pencairan PMN sesuai ketentuan yang berlaku,” kata Prasetio, Jumat (17/6/2022).Senada, Direktur Utama Garuda Indonesia Irfan Setiaputra membenarkan bahwa PMN akan segera cair karena perseroan telah mencapai syarat yakni tercapainya homologasi.Baca JugaIni Rencana Bisnis Garuda Indonesia (GIAA) Usai Proposal Damai PKPU DisetujuiMenang PKPU, Garuda Indonesia (GIAA) Jadi Rights Issue“Ini akan turun juga PMN karena kita sudah memenuhi syarat penting dari pencairan PMN pemerintah yakni tercapainya homologasi,” ujarnya.Sebelumnya, Menteri Keuangan Sri Mulyani Indrawati menyatakan bahwa pihaknya telah menyiapkan anggaran PMN untuk Garuda. Nilainya akan menyesuaikan dengan total alokasi PMN tahun ini dan waktunya berdasarkan kesepakatan dengan Kementerian BUMN.""Dari sisi anggaran sendiri kan masih nanti, akan kami lihat dari alokasi PMN tahun ini. Jadi, dari kemampuan korporasi untuk melakukan restrukturisasi keseluruhan kewajiban-kewajibannya menjadi sangat penting,"" ujar Sri Mulyani usai rapat kerja bersama DPD, Selasa (7/6/2022) di Jakarta.Wakil Menteri BUMN II Kartika Wirjoatmodjo juga mengungkapkan pemerintah bakal menyuntikkan penyertaan modal negara (PMN) ke emiten yang mayoritas sahamnya dipegang pemerintah ini jika proses PKPU telah mencapai perdamaian dan homologasi.PMN tersebut bakal masuk melalui skema rights issue sebesar Rp7,5 triliun. Rencananya, ini bakal dilaksanakan pada kuartal III/2022 dan membuat porsi kepemilikan saham pemerintah naik dari 60,54 persen menjadi 65 persen.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Dapat Dukungan Pemerintah, Waskita (WSKT) Lanjutkan Restrukturisasi Keuangan",2024-08-19T07:46:13.004Z,26 March 2021 13:52 WIB,Dwi Nicken Tari,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20210326%2F192%2F1372931%2Fdapat-dukungan-pemerintah-waskita-wskt-lanjutkan-restrukturisasi-keuangan,"Bisnis.com, JAKARTA - Emiten BUMN kontraktor PT Waskita Karya (Persero) Tbk. melanjutkan lobi-lobi dengan perbankan dalam rangka restrukturisasi. Perseroan juga mengupayakan untuk mendapat penjaminan dari pemerintah.Presiden Direktur Waskita Karya Destiawan Soewardjono mengatakan restrukturisasi keuangan dilakukan perseroan melalui renegosiasi dengan para kreditur perbankan. Negosiasi ini pun telah dimulai sejak 4 Maret 2021 lewat kick off meeting dengan sejumlah perbankan.“Kami mendapatkan dukungan pemerintah untuk proses ini,” kata Destiawan dalam keterangan resmi, Kamis (25/3/2021).Dia melanjutkan, skema renegosiasi yang diajukan perseroan mencakup relaksasi jatuh tempo utang, penyesuaian tingkat bunga, dan penerbitan fasilitas jangka panjang baru.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Selain itu, perseroan juga tengah mengupayakan penjaminan dari pemerintah. Rencana mendapatkan pendanaan dengan Penjaminan Pemerintah berdasarkan Peraturan Menteri Keuangan No. 211/PMK.08/2020 itu akan dijadikan salah satu agenda Rapat Umum Pemegang Saham (RUPS) Tahunan Waskita Karya pada 16 April 2021.“Salah satu opsi yang sedang kami tempuh juga melalui penjaminan dari pemerintah,” imbuh Destiawan.Baca JugaWaskita Catat Rugi Rp7,3 Triliun pada 2020, Komitmen Tingkatkan KinerjaWaskita (WSKT) Bukukan Kontrak Baru Rp27 Triliun pada 2020, Jadi Jawara BUMN KaryaKinerja 2020: Waskita (WSKT) Raih Pendapatan Rp16,2 Triliun, Turun 48 PersenEmiten dengan kode saham WSKT ini memang menjadi salah satu perusahaan pelat merah agen pembangunan dengan proyek infrastruktur tersebar di seluruh Indonesia. Perseroan mendapat kepercayaan menyelesaikan proyek infrastruktur yang termasuk dalam program pemulihan infrastruktur nasional.Namun, untuk menyelesaikan seluruh proyek tersebut, WSKT setidaknya membutuhkan tambahan fasilitas senilai Rp15,3 triliun dari perbankan. Selain itu, perseroan juga bermaksud menambah pundi-pundi kas lewat penerbitan surat utang yang diharapkan mendapat dukungan jaminan pemerintah.“Dengan penjaminan pemerintah maka kelayakan kredit Waskita akan meningkat, sehingga beban bunga pinjaman akan lebih kompetitif,” tutur Destiawan.Dengan restrukturisasi keuangan tersebut, Destiawan menargetkan tingkat bunga pinjaman perseroan dapat lebih longgar dan menyehatkan kas Waskita. Saat ini, dia mengungkapkan kinerja WSKT tertekan oleh beban bunga utang investasi tol yang mencapai Rp4,6 triliun pada 2020.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
OJK : Pemerintah Restruktrisasi Kredit Hampir Rp1.000 Triliun,2024-08-19T07:46:13.506Z,16 January 2021 23:45 WIB,Rinaldi Mohammad Azka,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20210116%2F90%2F1343913%2Fojk-pemerintah-restruktrisasi-kredit-hampir-rp1000-triliun,"Bisnis.com, JAKARTA - Otoritas Jasa Keuangan (OJK) mencatat pemerintah sudah memberikan restrukturisasi kredit kepada 7,6 juta kreditur dengan total nilai hampir Rp1.000 triliun.Ketua Dewan Komisioner OJK Wimboh Santoso menuturkan bahwa kebijakan stimulus yang telah dikeluarkan OJK antara lain restrukturisasi kredit perbankan, penilaian kualitas kredit satu pilar, penundaan penerapan Basel III dan pelonggaran pemenuhan indikator likuiditas serta indikator permodalan.Kebijakan-kebijakan ini diklaimnya telah dapat memberikan ruang bagi perbankan untuk menjaga profil risikonya.""Sejak diluncurkan 16 Maret 2020, sampai dengan akhir Desember 2020 program restrukturisasi kredit perbankan telah mencapai nilai Rp971 triliun diberikan kepada 7,6 juta debitur atau sekitar 18 persen dari total kredit perbankan,"" ujarnya dikutip Bisnis, Sabtu (16/1/2021).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Lebih lanjut, jumlah tersebut berasal dari restrukturisasi kredit untuk sektor UMKM yang mencapai Rp386,6 triliun berasal dari 5,8 juta debitur. Sementara untuk non-UMKM, realisasi restrukturisasi kredit mencapai 1,8 juta debitur dengan nilai sebesar Rp584,4 triliun.Dengan program restrukturisasi tersebut, rasio non-performing loan gross perbankan dapat dijaga pada 3,06 persen naik dari 2019 yang berhasil hanya 2,53 persen atau net 0,98 persen, sementara pada 2019 sebesar 1,19 persen. Capital adequacy ratio (CAR) perbankan juga terjaga mencapai 23,78 persen, sementara pada 2019 harganya terlalu tinggia 23,31 persen.Baca JugaAkhir 2020, Restrukturisasi Kredit Perbankan Tembus Rp971 TriliunRestrukturisasi Keuangan, Waskita Karya (WSKT) Nego dengan KrediturRestrukturisasi Kredit di Sumsel Masih Minim, Baru 7,4 Persen dari Total Pinjaman""Sebagai dampak dari belum pulihnya pertumbuhan kredit, LDR juga menurun dengan tajam menjadi sebesar 82,2 persen, turun signifikan dari 2019 yang sebesar 93,64 persen,"" ungkapnya.Wimboh juga melaporkan bahwa likuiditas perbankan masih cukup memadai (ample) ditandai oleh alat likuid perbankan yang terus meningkat mencapai sebesar Rp2.111 triliun dibandingkan dengan tahun lalu yang sebesar Rp1.251 triliun, dan Dana Pihak Ketiga yang tumbuh sebesar 11,11 persen secara tahunan.Alat likuid per non-core deposit 146,72 persen dan liquidity coverage ratio 262,78 persen, lebih tinggi dari threshold-nya. ""Kondisi permodalan yang cukup tinggi dan kondisi likuiditas yang ample sebagaimana kami uraikan di atas akan memberikan ruang yang cukup besar untuk mendorong pertumbuhan kredit ke depan,"" imbuhnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Restrukturisasi Utang Argentina, Kelompok Kreditur Gabungkan Kekuatan",2024-08-19T07:46:13.916Z,28 July 2020 09:46 WIB,Lorenzo Anugrah Mahardhika,https://search.bisnis.com/link?url=https%3A%2F%2Fkabar24.bisnis.com%2Fread%2F20200728%2F19%2F1271958%2Frestrukturisasi-utang-argentina-kelompok-kreditur-gabungkan-kekuatan,"Bisnis.com, JAKARTA - Upaya restrukturisasi utang yang dilakukan oleh Argentina memasuki babak baru setelah sejumlah kelompok kreditur bergabung guna meningkatkan posisi tawar. Total utang yang direstrukturisasi mencapai US$65 miliar dan sejauh ini Argentina belum menemukan kesepakatan dengan para pemegang obligasi sejak gagak membayar kupon surat utang pada Mei 2020 lalu.Dilansir dari Bloomberg pada Selasa (28/7/2020), sebanyak 30 kreditur mengirimkan surat kepada Menteri Perekonomian Argentina Martin Guzman. Surat tersebut berisi harapan agar negosiasi restrukturisasi tetap terus berjalan.Surat tersebut ditandatangani sejumlah perusahaan investasi besar dunia seperti BlackRock Inc, VR Capital, Bluebay Asset Management, Fidelity Management & Research, Amundi Asset Management, GoldenTree Asset Management dan Welllington Management Company. Para kreditur tersebut juga merupakan anggota sejumlah kelompok pemegang obligasi Argentina seperti Ad Hoc Bondholder Group, Exchange Bondholder Group, dan Argentina Creditor Committee.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Dalam surat tersebut, para kreditur mengatakan telah merepresentasikan 60 persen dari keseluruhan pemegang obligasi. Kelompok terbaru ini juga telah mencakup 51 persen dari obligasi yang diterbitkan pemerintah Argentina pada 2016 lalu. Kolaborasi ini sekaligus meningkatkan daya tawar para kreditur setelah mereka menolak penawaran pemerintah Argentina. Di sisi lain, pemerintah Argentina juga menyatakan penawaran yang telah dilayangkan merupakan yang terakhir. Baca JugaPandemi Corona dan Balada Utang ArgentinaRestrukturisasi Utang, Pemerintah Argentina Tak Keluarkan Proposal BaruMeski demikian, pemerintah Argentina tidak menutup kemungkinan terjadinya penyesuaian dari sisi hukum. Adapun pemerintah menetapkan tenggat waktu jawaban dari para kreditur hingga 4 Agustus mendatang.Berdasarkan laporan yang disampaikan ke Securities and Exchange Commission, Argentina memerlukan tingkat partisipasi 66,6 persen dari keseluruhan obligasi. Pemerintah juga menyatakan sebuah penawaran dari kreditur valid bila tingkat partisipasi dari pemegang obligasi dengan emisi tahun 2005 atau 2016 mencapai 60 persen.Sebelumnya, Argentina sudah menawarkan proposal baru yang mana pemegang obligasi akan mendapatkan US$13 miliar lebih banyak bila dibandingkan proposal pada April lalu. Pemerintah Argentina juga menolak memberikan insentif kepada para pemegang obligasi.Selain itu, Argentina juga enggan membayarkan bunga kepada pemegang obligasi secara tunai. Mereka menawarkan untuk membayarkan bunga tersebut melalui penerbitan obligasi baru yang akan jatuh tempo pada 2030.“Saat ini, Argentina memiliki batasan yang sangat ketat. Kami tidak memiliki kemampuan untuk membayar apapun,” ujar de Guzman.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Argentina Ulur Waktu Satu Bulan, Perundingan Utang Kian Suram",2024-08-19T07:46:14.322Z,20 June 2020 13:32 WIB,Rivki Maulana,https://search.bisnis.com/link?url=https%3A%2F%2Fkabar24.bisnis.com%2Fread%2F20200620%2F19%2F1255350%2Fargentina-ulur-waktu-satu-bulan-perundingan-utang-kian-suram,"Bisnis.com, JAKARTA - Argentina memperpanjang tenggat waktu bagi pemegang obligasi untuk menerima proposal restrukturisasi utang untuk kelima kalinya. Restrukturisasi utang senilai US$65 miliar dolar itu seperti terkatung-katung sejak Argentina gagal membayar bunga atau kupon obligasi pada Mei 2020 lalu.Dilansir dari Bloomberg, pemegang obligasi memiliki waktu hingga 24 Juli untuk menerima proposal Argentina, menurut pernyataan dari pihak pemerintah. Para pejabat Negeri Tango disebut memanfaatkan waktu perpanjangan untuk terus berbicara dengan investor.Perundingan tidak mengalami kemajuan berarti sejak Argentina gagal bayar pada 22 Mei 2020 lalu. Para kreditur juga mengatakan mereka tidak akan segera mengambil tindakan hukum saat negosiasi berlangsung. Namun, kreditur sepertinya sudah kehabisan kesabaran dan mempertimbangkan semua hak dan solusi yang tersedia. Perlu diketahui, Argentina bukan kali ini saja wan prestasi dalam membayar utang. Sejak negeri itu merdeka, tercatat sudah sembilan kali gagal membayar utang alias default.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Kelompok kreditur mengatakan Argentina malah menciptakan hambatan dan merusak proses negosiasi yang produktif. ""Keputusan Argentina dua hari lalu yang meninggalkan perundingan lebih disayangkan, mengingat betapa dekatnya kita dengan sebuah resolusi,"" tulis kreditur.Argentina dan para kreditur memang mengajukan proposal utang yang direvisi pada awal pekan ini. Revisi itu cukup melegakan kedua belah pihak karena mempersempit kesenjangan.Namun, pada Rabu (17/6/2020), Pemerintah Argentina menyebut proses negosiasi menunjukkan perbedaan antara kelompok kreditur yang tidak dapat direkonsiliasi. Sementara itu, kelompok ad Hoc yang terdiri dari BlackRock Inc dan Ashmore Group Plc mengatakan bahwa proposal terakhir yang diterima akan memberikan Argentina ruang fiskal yang cukup untuk menghadapi tantangan ekonomi, termasuk US$38 miliar bantuan arus kas selama sembilan tahun.Sejauh ini, Pemerintah Argentina dan kreditur gagal menyetujui besaran obligasi yang akan direstrukturisasi. Salah satu kreditur menyebut, perundingan juga buntu perihal berapa bunga yang harus dibayar ke kreditur dan stimulus lain yang perlu diberikan agar perjanjian restrukturisasi bisa dicapai.Sebelumnya, kelompok Ad Hoc memang bersedia untuk menerima diskon pokok 44 persen hingga 46 persen. Namun kelompok ini menginginkan insentif yang terikat pada Produk Domestik Bruto (PDB) Argentina sesuai perhitungan International Monetary Fund (IMF).Penawaran tersebut berada sedikit di bawah keinginan Presiden Argentina, Alberto Fernández. Pada pekan lalu, Kementerian Perekonomian Argentina mendorong proposal untuk kreditur agar menerima pengurangan pokok hingga 50 persen dengan insentif dari ekspor agrikultur. 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
