Title,Scrapping Date,Article Date,Author,Link,Content
"Jelang Lebaran, Industri Pengolahan Genjot Produksi hingga Distribusi ke Pasar",2024-08-19T14:38:14.373Z,05 April 2024 12:52 WIB,Afiffah Rahmah Nurdifa,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240405%2F257%2F1755824%2Fjelang-lebaran-industri-pengolahan-genjot-produksi-hingga-distribusi-ke-pasar,"Bisnis.com, JAKARTA -- Asosiasi Pengusaha Indonesia (Apindo) menyebut produktivitas industri pengolahan makin tinggi jelang lebaran 2024, khususnya pada industri yang berkaitan dengan kebutuhan sekunder selain pangan. 
Ketua Umum Apindo, Shinta W. Kamdani mengatakan kondisi tersebut merupakan bentuk respons atas permintaan dalam negeri yang terus mengalami peningkatan sejak akhir kuartal I/2024 ini. 
""Kamu sudah mengantisipasi dengan peningkatan kinerja produksi, stok barang, dan peningkatan kelancaran distribusi barang ke pasar,"" kara Shinta saat dihubungi, Jumat (5/4/2024). 
Hal ini pun tercerminkan dari ekspansi PMI manufaktur nasional pada Maret 2024 yang berada di level 54,2. Permintaan domestik hingga kapasitas produksi yang meningkat menjadi pendongrak PMI melesat tinggi dalam 2,5 tahun terakhir. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Meskipun tingginya permintaan dan meningkatnya ongkos produksi, dia memastikan sumbangsih inflasi dari produk manufaktur teteap kondusif mendukung pengendalian inflasi nasional di kisaran 2,5-3%.
""Di level nasional kami perkirakan kontribusi inflasi produk manufaktur akan tetap kecil bila dibandingkan inflasi kebutuhan pokok/sembako,"" ujarnya. Baca JugaEkonomi Jatim 2023 Termoderasi Kinerja Industri PengolahanIndustri Pengolahan Kontributor Terbesar PDB RI 2023, Sumbang 18,67%Industri Pengolahan Jadi Kontributor Pajak Terbesar di Kepri
Menurut dia, inflasi produk akan berbeda di setiap industri tergantung output produksinya. Dia memperkirakan inflasi pada produk manufaktur akan lebih tinggi pada produk yang membutuhkan banyak komponen bahan baku/penolong impor.
Pasalnya, produk-produk tersebut terimbas pelemahan nilai tukar dan pengetatan kebijakan impor sehingga menciptakan cost-push inflation di perusahaan. 
Namun, dia memastikan pengusaha di berbagai industri akan mempertimbangkan dan memanfaatkan momentum pemulihan daya beli dengan menjaga stabilitas harga produk saat ini. 
Di sisi lain, Apindo menilai potensi pertumbuhan industri manufaktur ke depannya perlu disokong dengan perbaikan daya saing iklim usaha/investasi di sektor manufaktur nasional yang terus menerus agar momentum yang baik. 
""Sehingga ini dapat menciptakan pertumbuhan industrialisasi yanglebih cepat dan lebih sustainable ke depannya, bukan hanya pertumbuhan yang sifatnya seasonal atau sementara,"" pungkasnya. 

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Modal Asing Kabur-kaburan dari RI, BI Borong SBN hingga Rp8,8 Triliun",2024-08-19T14:38:14.714Z,30 January 2024 15:13 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20240130%2F9%2F1736709%2Fmodal-asing-kabur-kaburan-dari-ri-bi-borong-sbn-hingga-rp88-triliun,"Bisnis.com, JAKARTA – Bank Indonesia (BI) mencatat telah membeli Surat Berharga Negara (SBN) sebesar Rp8,8 triliun sepanjang Januari 2024.
Hal ini disampaikan oleh Gubernur Bank Indonesia (BI) Perry Warjiyo dalam konferensi pers hasil rapat berkala Komite Stabilitas Sistem Keuangan (KSSK), Selasa (30/1/2024).
Perry menjelaskan, pembelian SBN tersebut dilakukan di pasar sekunder seiring dengan terjadinya outflow atau aliran keluar modal asing dari pasar keuangan Indonesia.
“Jadi tahun ini BI keseluruhan sudah membeli SBN termasuk dari pasar sekunder jumlahnya Rp8,8 triliun,” katanya.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Perry menjelaskan, pembelian SBN di pasar sekunder tersebut termasuk salah satu upaya BI dalam menjaga stabilitas nilai tukar rupiah.
Dia menyampaikan, perkembangan rupiah dalam 1 hingga 2 pekan terakhir dipengaruhi oleh kondisi global, terutama terkait kepastian penurunan suku bunga the Fed, bank sentral Amerika Serikat (AS).Baca JugaBI: Rp3,20 Triliun Modal Asing Keluar dari RI Pekan IniBos BI Ungkap Biang Kerok Rupiah Tembus Rp15.800 Per Dolar ASBos BI Sebut Nilai Tukar Rupiah Secara Fundamental Mestinya Menguat
Perry menjelaskan, pasar memperkirakan suku bunga acuan AS akan mulai diturunkan pada kuartal pertama atau kedua 2024. Namun demikian, the Fed kemungkinan juga belum akan menurunkan suku bunga jika melihat data perekonomian AS terbaru.
“Ini faktor berita yang membawa dolar AS yang tempo hari melemah, menguat lagi. Tempo hari indeks dolar sudah turun dari 103 ke 102, naik lagi ke 103, malah di atas 103. Sehingga seluruh mata uang dunia melemah, tidak terkecuali rupiah,” jelasnya.
Berdasarkan catatan BI, terjadi aliran masuk portofolio asing sebesar Rp15,39 triliun di pasar keuangan domestik.
Jumlah tersebut terdiri dari aliran masuk modal asing ke pasar Surat Berharga Negara (SBN) sebesar Rp2,58 triliun, pasar saham Rp6,04 triliun, dan Sekuritas Rupiah Bank Indonesia (SRBI) Rp6,89 triliun.
Bisnis mencatat, nilai tukar rupiah pada perdagangan Selasa pagi (30/1/2024) dibuka menguat pada level Rp15.803 per dolar AS.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Penerbitan SBN Terbatas, Dana Pensiun Pilih Pasar Sekunder",2024-08-19T14:38:15.096Z,17 April 2023 17:35 WIB,Artha Adventy,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230417%2F92%2F1647782%2Fpenerbitan-sbn-terbatas-dana-pensiun-pilih-pasar-sekunder,"Bisnis.com, JAKARTA – Penerbitan Surat Berharga Negara di kuartal II/2023 lebih sedikit dibanding kuartal sebelumnya di tengah permintaan dan valuasi yang meningkat. Terbatasnya lelang SBN mendorong dana pensiun memilih pasar sekunder untuk memenuhi kewajiban minimal 30 persen alokasi investasi ke SBN. Head of Research & Market Information Department PT Penilai Harga Efek Indonesia (PHEI), Roby Rushandie mengatakan prospek di kuartal II/2023, valuasi SBN berpeluang meningkat. Adapun target lelang yang lebih rendah karena jumlah pekan pelaksanaan lelang lebih sedikit akibat adanya libur panjang lebaran di April.“Dengan target lelang yang lebih rendah dapat mendorong pelaksanaan lelang lebih ramai karena demand lebih tinggi,” katanya saat dihubungi Bisnis, Senin (17/4/2023). Roby juga mengatakan ada beberapa katalis yang menjadi penopang menariknya SBN di kuartal II ini. Katalis berasal dari ekspektasi The Fed yang diperkirakan mempertahankan sinyal dovish, ditunjang pula dengan tren melandainya inflasi AS, pelemahan mata uang USD, serta suku bunga BI yang masih dipertahankan.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Namun risiko pasar diperkirakan masih membayangi pasar di mana masih terdapat skenario pengetatan moneter lebih lanjut oleh The Fed tergantung perkembangan inflasi dan ekonomi di AS serta kondisi di dalam negeri.Sementara itu, pemerintah menargetkan penggalangan dana Rp130 triliun pada kuartal II/2023, nyaris separuh dari kebutuhan dana pada kuartal I/2023 yang tercatat. Di sisi lain, pekan lalu hingga 13 April 2023, dana asing masuk Rp8 triliun ke pasar SBNBaca JugaMantap! Selama 4 Hari Ada Rp8,21 Triliun Aliran Modal Asing Masuk RIBenarkah Reksa Dana Kian Ditinggalkan?Sri Mulyani Sebut Kepemilikan SBN oleh Asing Makin TurunPemerintah menargetkan penggalangan dana Rp130 triliun pada kuartal II/2023, sementara itu pada kuartal I/2023 SBN yang diterbitkan mencapai Rp295,45 Triliun. Di sisi lain, pekan lalu hingga 13 April 2023, dana asing masuk Rp8 triliun ke pasar SBN. Ketua Perkumpulan Asosiasi Dana Pensiun Indonesia (ADPI) Ali Farmadi mengungkapkan hingga saat ini hampir seluruh dana pensiun telah memenuhi kewajiban minimum 30 persen penempatan dananya ke dalam portofolio SBN sesuai dengan aturan POJK No.1/POJK.05/2016. “Hal ini dimungkinkan karena ketentuan kewajiban dimaksud dapat dipenuhi dengan alternatif pembelian obligasi/sukuk yang diterbitkan BUMN/BUMD atau anak perusahaannya di mana penggunaannya untuk pembiayaan infrastruktur (POJK No.36/POJK.05/2016) dengan ketentuan paling tinggi 50 persen dari kewajiban tersebut,” katanya menjawab pertanyaan Bisnis, Senin (17/4/2023). Namun apabila Dapen memerlukan pembelian SBN dikarenakan kebutuhan pemenuhan target internal atau sesuai arahan investasi masing-masing di tengah terbatasnya lelang SBN, maka Dapen juga dapat membeli melalui pasar sekunder. “Sehingga lebih fleksibel bagi Dapen untuk mengatur timing pembelian dan target return yang diharapkan,” kata Ali. Pada pemilihan SBN untuk kebutuhan dana pensiun, Ali menyebut pihaknya membagi menjadi dua kriteria yaitu AFS atau HTM. “Untuk pembelian SBN AFS, kami prefer tenor seri benchmark maksimal tenor 10 tahun dengan target yield tertentu. Pembatasan tenor SBN AFS maksimal 10Y ini dimaksudkan sebagai Langkah mitigasi risiko pasar,” jelasnya. Sementara untuk pembelian SBN HTM dilakukan apabila terdapat tenor yang sesuai dengan jatuh tempo kewajiban MP Peserta dan yield yang diharapkan (Maturity Profile Matching). 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Sukuk Ritel SR018 Segera Dijual, Sri Mulyani Pasang Target Rp15 Triliun",2024-08-19T14:38:15.446Z,01 March 2023 12:25 WIB,Setyo Aji Harjanto,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20230301%2F92%2F1632856%2Fsukuk-ritel-sr018-segera-dijual-sri-mulyani-pasang-target-rp15-triliun,"Bisnis.com, JAKARTA – Pemerintah telah menentukan target atau kuota untuk dua seri surat berharga syariah negara (SBSN) atau suku ritel seri SR018 T3 dan seri SR018 T5. Kedua sukuk ritel itu akan dilepas ke pasar pada Jumat (3/3/2023) mendatang.Direktur Pembiayaan Syariah DJPPR Kementerian Keuangan Dwi Irianti Hadiningdyah mengatakan pemerintah akan memasang target Rp15 triliun untuk kedua seri sukuk ritel tersebut. Dwi mengaku optimistis animo masyarakat pada SR018 akan tetap tinggi.“Target penjualan SR018 oleh para Mitra Distribusi sekitar Rp 15 triliun. Pemerintah cukup optimis animo masyarakat terhadap SR018 masih tinggi,” kata Dwi kepada Bisnis, Rabu (1/3/2023).Dwi mengatakan salah satu fitur yang menarik dari seri sukuk ritel ini adalah dapat diperdagangkan (tradable) di pasar sekunder. Menurut dia hal tersebut merupakan karakteristik cukup penting bagi investor ritel yang fokus terhadap isu likuiditas.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Selain itu, terdapat seri SR012 yang akan jatuh tempo pada 10 Maret 2023 berpotensi untuk diinvestasikan kembali ke SR018,” kata Dwi.Pemerintah akan segera menerbitkan surat berharga syariah negara (SBSN) ritel atau sukuk ritel seri SR018 pada 3 Maret 2023 mendatang. Adapun besaran kupon untuk seri ini sebesar 6,25 persen. Baca JugaLelang Enam Seri Sukuk Negara, Pemerintah Raih Penawaran Rp30,44 TriliunSukuk Ritel SR018 Terbit 3 Maret 2023, Besaran Kupon 6,40 PersenRencananya, akan ada dua seri yang akan dilepas ke pasar yakni SR018 T3 dengan tenor 3 tahun dan SR018 T5 dengan tenor 5 tahun.Berdasarkan informasi di laman Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) SR018 T3 memiliki tenor 3 tahun dan kupon 6,25 persen fixed per tahun.Seri ini akan jatuh tempo pada 10 Maret 2026 dan dijual dengan harga per unit sebesar Rp1 juta. Nilai pemesanan minimum untuk SR018 T3 yakni Rp1 juta dan pemesanan maksimumnya Rp5 miliar.Sementara itu, untuk seri SR018 T5 akan memiliki tenor selama 5 tahun dan tingkat kupon sebesar 6,40 persen fixed per tahun. Seri ini akan jatuh tempo pada 10 Maret 2028. Nilai pemesanan minimum untuk SR018 T5 yakni Rp1 juta dan pemesanan maksimumnya Rp10 miliar.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
KEMILAU PRODUK TANGAN KEDUA : Pernak-Pernik Bursa Seken [Data 1],2024-08-19T14:38:15.806Z,18 December 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221218%2F454%2F1610996%2Fkemilau-produk-tangan-kedua-pernak-pernik-bursa-seken-data-1,
KEMILAU PRODUK TANGAN KEDUA : Tak Harus Anyar,2024-08-19T14:38:16.106Z,18 December 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221218%2F454%2F1610129%2Fkemilau-produk-tangan-kedua-tak-harus-anyar,
TRANSAKSI MENJULANG PASAR SEKUNDER   : Siasat Korporasi Menjaring Modal,2024-08-19T14:38:16.390Z,28 November 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221128%2F434%2F1602683%2Ftransaksi-menjulang-pasar-sekunder-siasat-korporasi-menjaring-modal,
GOTO Akan Lakukan Penawaran Sekunder Saham di Pasar Negosiasi,2024-08-19T14:38:16.802Z,27 October 2022 08:06 WIB,Himawan Listya Nugraha,https://search.bisnis.com/link?url=https%3A%2F%2Ffoto.bisnis.com%2Fview%2F20221027%2F1591948%2Fgoto-akan-lakukan-penawaran-sekunder-saham-di-pasar-negosiasi,"Bisnis.com, JAKARTA - Emiten teknologi PT GoTo Gojek Tokopedia Tbk. (GOTO) menyampaikan tengah menjajaki kemungkinan dilakukannya penawaran sekunder atau secondary offering saham di pasar negosiasi bagi investor pra-IPO.Penjajakan akan dilaksanakan setelah berakhirnya periode lock-up atas saham tersebut pada 30 November 2022, untuk memfasilitasi suatu penjualan yang terstruktur melalui pasar negosiasi.
                                
                    Bisnis.com, JAKARTA - Emiten teknologi PT GoTo Gojek Tokopedia Tbk. (GOTO) menyampaikan tengah menjajaki kemungkinan dilakukannya penawaran sekunder atau secondary offering saham di pasar negosiasi bagi investor pra-IPO.Penjajakan akan dilaksanakan setelah berakhirnya periode lock-up atas saham tersebut pada 30 November 2022, untuk memfasilitasi suatu penjualan yang terstruktur melalui pasar negosiasi."
PROSPEK SAHAM    : Siasat GOTO di Pasar Negosiasi,2024-08-19T14:38:17.114Z,27 October 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221027%2F442%2F1591989%2Fprospek-saham-siasat-goto-di-pasar-negosiasi,
PASAR NEGOSIASI  : GOTO Rancang Secondary Offering,2024-08-19T14:38:17.417Z,25 October 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20221025%2F441%2F1591032%2Fpasar-negosiasi-goto-rancang-secondary-offering,
