Title,Scrapping Date,Article Date,Author,Link,Content
Lelang 7 Surat Utang Negara Tembus Rp 22 Triliun,2024-09-25T05:53:22.863Z,04 September 2024 08:01,"Hadijah Alaydrus,",https://www.cnbcindonesia.com/market/20240904074947-17-568916/lelang-7-surat-utang-negara-tembus-rp-22-triliun,"Jakarta, CNBC Indonesia - Pemerintah, melalui Kementerian Keuangan (Kemenkeu), melakukan tujuh seri Surat Utang Negara (SUN) pada 3 September 2024. Dari lelang tersebut, pemerintah menyerap dana hingga Rp 22 triliun. Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) mengungkapkan total penawaran yang masuk pada lelang kali ini sebesar Rp 45,49 triliun. Adapun, surat utang yang ditawarkan adalah seri SPN03241204 (penerbitan baru), SPN12250904 (penerbitan baru), FR0104, FR0103, FR0098, FR0097 dan FR0102 (reopening).   ""Demand investor secara keseluruhan masih dominan pada SUN tenor 6 dan 11 tahun, dengan jumlah incoming bids dan awarded bids masing-masing sebesar 64,79% dari total incoming bids dan 81,59 % dari total awarded bids,"" ungkap DJPPR, dikutip Rabu (4/8/2024). DJPPR juga menegaskan animo investor asing pada lelang SUN hari ini juga masih sangat baik dengan total incoming bids mencapai Rp12,4 triliun. ""Mayoritas dari incoming bids tersebut berada pada SUN tenor 11 tahun sebesar Rp6,11 triliun atau 49,31% dari total incoming bids investor asing, dan dimenangkan sebesar Rp4,85 triliun atau 22,1% dari total awarded bids,"" ujar DJPPR.   Seiring dengan relatif stabilnya pasar SBN dalam dua pekan terakhir, Weighted Average Yield (WAY) obligasi negara yang dimenangkan pada lelang SUN hari ini turun sebesar 2 s.d. 4 bps apabila dibandingkan dengan level WAY lelang SUN sebelumnya. Dengan demikian, pemerintah memutuskan untuk memenangkan penawaran sebesar Rp22 triliun pada lelang SUN hari ini, dengan mempertimbangkan yield SBN yang wajar di pasar sekunder, rencana kebutuhan pembiayaan tahun 2024, dan kondisi kas negara terkini. Sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2024, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 17 September 2024. "
"Video: Ada SBN Tenor Hingga 40 Tahun, SBN RI Makin Diburu?",2024-09-25T05:53:22.984Z,02 September 2024 14:49,"CNBC Indonesia TV,",https://www.cnbcindonesia.com/market/20240902142538-19-568456/video-ada-sbn-tenor-hingga-40-tahun-sbn-ri-makin-diburu,"Jakarta, CNBC Indonesia- Pemerintah menerbitkan Surat Utang Negara (SUN) seri FR105 dengan tenor terpanjang selama 40 tahun, melalui mekanisme private placement dengan nilai sebesar Rp3 triliun. Fixed Income Macro Strategist Mega Capital Sekuritas, Lionel Priyadi menilai penerbitan SUN dengan tenor terpanjang ini belum begitu diminati mengingat investor lebih tertarik terhadap SUN dengan tenor 5 dan 10 tahun yakni FR103 dan FR104 yang akan dirilis di tahun 2025. Lionel menyebutkan tenor FR105 dinilai investor terlalu panjang di tengah kebutuhan pembiayaan terhadap beban utang SBN yang akan jatuh tempo. Namun SBN dengan tenor panjang memiliki yield imbal hasil yang lebih stabil yang bisa menarik investor ritel. Seperti apa minat investor ke SBN bertenor Panjang? Selengkapnya simak dialog Anneke Wijaya dengan Fixed Income Macro Strategist Mega Capital Sekuritas, Lionel Priyadi dalam Power Lunch, CNBC Indonesia (Senin, 02/09/2024)"
Sri Mulyani Terbitkan Surat Utang Tenor Terpanjang dalam Sejarah,2024-09-25T05:53:23.110Z,30 August 2024 09:15,"Arrijal Rachman,",https://www.cnbcindonesia.com/market/20240830090435-17-567666/sri-mulyani-terbitkan-surat-utang-tenor-terpanjang-dalam-sejarah,"Jakarta, CNBC Indonesia - Pemerintah menerbitkan Surat Utang Negara (SUN) seri FR105 dengan tenor terpanjang, yakni 40 tahun, melalui mekanisme private placement dengan nilai sebesar Rp3 triliun. Direktur SUN Direktorat Jenderal Pengelolaan dan Pembiayaan Risiko Kementerian Keuangan (DJPPR Kemenkeu) Deni Ridwan menjelaskan, transaksi SUN sebesar Rp3 triliun tersebut telah dilakukan pada 22 Agustus 2024. ""Transaksi ini dilakukan melalui mekanisme private placement dalam rangka untuk memperkenalkan SUN dengan tenor 40 tahun yang merupakan instrumen obligasi negara tenor terpanjang yang ditawarkan di pasar domestik,"" tegas Deni, dalam pernyataan resmi, dikutip Jumat (30/8/2024).   Deni berharap untuk penerbitan selanjutnya dapat dilakukan melalui mekanisme lelang secara reguler. SUN FR105 diperdagangkan kembali dengan tingkat kupon sebesar 6,875% dan imbal hasil atau yield sebesar 6,930%. Dengan tenor 40 tahun, maka obligasi negara ini memiliki jatuh tempo pada 15 Juli 2064. Deni mengungkapkan Langkah strategis ini merupakan bagian integral dari upaya pemerintah dalam pendalaman pasar Surat Berharga Negara (SBN) domestik, khususnya untuk mendukung pertumbuhan industri dana pensiun dan asuransi, yang membutuhkan instrumen investasi jangka panjang dengan tingkat risiko yang terukur. ""Melalui langkah ini, diharapkan dapat mendorong pertumbuhan industri keuangan domestik dan memperkuat fondasi ekonomi nasional,"" tegasnya.   Abdul Hadi, Ketua Asosiasi Dana Pensiun Indonesia, mengapresiasi penerbitan instrumen SUN tenor panjang ini. ""Kami dari asosiasi perusahaan perasuransian dan dana pensiun secara intens telah melakukan audiensi dengan Pemerintah terkait dengan kebutuhan instrumen investasi, dalam hal ini Surat Berharga Negara (SBN), dengan tenor yang lebih panjang dibandingkan dengan yang selama ini sudah diterbitkan oleh Pemerintah di pasar domestik,"" ungkap Hadi. Menurutnya, instrumen ini sangat cocok dengan profil risiko jangka panjang dan memungkinkan industri asuransi untuk mengelola portfolio investasi dengan lebih baik. "
"Cadev Hanya Naik Kalau Pemerintah Nambah Utang, Emang Iya?",2024-09-25T05:53:23.270Z,05 July 2024 18:21,"Revo M,",https://www.cnbcindonesia.com/research/20240705154216-128-552141/cadev-hanya-naik-kalau-pemerintah-nambah-utang-emang-iya,"Jakarta, CNBC Indonesia - Cadangan Devisa (cadev) Indonesia terpantau kembali meningkat pada Juni 2024. Bank Indonesia (BI) mencatatkan posisi cadev Juni 2024 sebesar US$140,2 miliar atau naik US$1,2 miliar dari periode sebelumnya. Dengan cadev yang mengalami kenaikan, hal ini dapat memberikan buffer yang cukup untuk intervensi potensial BI terhadap rupiah pada bulan Juli. Asisten Gubernur BI Erwin Haryono mengatakan kenaikan posisi cadangan devisa tersebut dipengaruhi oleh penerimaan pajak dan jasa serta penarikan pinjaman luar negeri pemerintah, di tengah kebutuhan stabilisasi nilai tukar rupiah sejalan dengan masih tingginya ketidakpastian pasar keuangan global. ""Posisi cadangan devisa pada akhir Juni 2024 setara dengan pembiayaan 6,3 bulan impor atau 6,1 bulan impor dan pembayaran utang luar negeri pemerintah, serta berada di atas standar kecukupan internasional sekitar 3 bulan impor,"" kata Erwin, Jumat (5/7/2024). // <![CDATA[!function(){""use strict"";window.addEventListener(""message"",(function(a){if(void 0!==a.data[""datawrapper-height""]){var e=document.querySelectorAll(""iframe"");for(var t in a.data[""datawrapper-height""])for(var r=0;r<e.length;r++)if(e[r].contentWindow===a.source){var i=a.data[""datawrapper-height""][t]+""px"";e[r].style.height=i}}}))}();// ]]> Lebih lanjut, kenaikan cadev juga dapat diakibatkan karena terbitnya Global Bond (dolar Amerika Serikat/AS) dan Samurai Bond (yen Jepang). Dalam setahun terakhir, kenaikan cadev kerap ditopang oleh penarikan pinjaman pemerintah dari luar negeri. Sebagai contoh pada 2023, pemerintah Indonesia menerbitkan Global Bond dan Samurai Bond dengan total tiga kali yakni pada Januari, Mei, dan November. Pada Januari 2023, pemerintah Indonesia sukses melakukan transaksi penerbitan Surat Utang Negara (SUN) sebesar US$3 miliar dengan tenor 5, 10 dan 30 tahun dengan format SEC-Registered pada tanggal 5 Januari 2023 dengan setelmen/penerbitan pada 11 Januari 2023. Ketika Global Bond tersebut diterbitkan, cadev mengalami kenaikan pada Januari sebesar US$2,2 miliar dibandingkan Desember 2022. Begitu pula ketika penerbitan SNI1128 dan SNI1133 pada November 2023 dengan total penerbitan US$2 miliar, cadev periode tersebut juga mengalami kenaikan sebesar US$5 miliar menjadi US$138,1 miliar. Selanjutnya pada Mei 2024, pemerintah menerbitkan SUN dalam valuta asing berdenominasi Yen Jepang (Samurai Bond) sebesar JPY200 miliar pada tanggal 17 Mei 2024, dengan tenor 3 tahun, 5 tahun, 7 tahun, 10 tahun, dan 20 tahun. Transaksi ini merupakan penerbitan Samurai Bond selama 10 tahun berturut-turut sejak tahun 2015. Di saat yang bersamaan, cadev juga mengalami kenaikan sebesar US$2,8 miliar dari US$136,2 miliar menjadi US$139 miliar pada Mei 2024. Namun penerbitan SUN ini tak selalu berakhir dengan kenaikan cadev. Sebagai contoh yang terjadi pada Mei 2023 dan Januari 2024. Pada saat itu cadev masing-masing turun menjadi US$139,2 miliar dan US$145,1 miliar sehingga tidak dapat disimpulkan bahwa dengan penerbitan utang, maka cadev akan mengalami kenaikan. Namun memang kenaikan cadev Juni kali ini belum mempertimbangkan hasil Sukuk Global yang diterbitkan pemerintah sebesar US$2,35 miliar yang terdiri atas US$750 juta dengan tenor 5 tahun, US$ 1 miliar dengan tenor 10 tahun, dan US$ 600 juta dengan tenor 30 tahun. Setelmen Sukuk Global ini dilakukan pada 2 Juli 2024 sehingga hasilnya belum terefleksi pada cadev Juni 2024. CNBC INDONESIA RESEARCH [email protected]"
"Sri Mulyani Tarik Utang Samurai Rp20,8 T, Segini Bunganya",2024-09-25T05:53:23.483Z,17 May 2024 20:05,"mij,",https://www.cnbcindonesia.com/market/20240517184426-17-539165/sri-mulyani-tarik-utang-samurai-rp208-t-segini-bunganya,"Jakarta, CNBC Indonesia - Pemerintah melalui Menteri Keuangan Sri Mulyani Indrawati menerbitkan Surat Utang Negara (SUN) berdenominasi Yen Jepang (Samurai Bond) sebesar JPY200 miliar atau Rp20,8 triliun. Kuponnya mulai 0,99%-2,55%.  Berdasarkan siaran pers yang diterima CNBC Indonesia, Jumat (17/5/2024) penerbitan terjadi pada 17 Mei 2024. Kupon bergantung dengan tenor yang ditetapkan. Tenor 3 tahun maka diberikan kupon 0,99%, kemudian 5 tahun 1,33%, 7 tahun 1,57%, dan 10 tahun 1,91%.   Penerbitan ini termasuk Blue Bonds sebesar JPY25 miliar dengan sebagian pada tenor 7 tahun dengan kupon 1,57% dan 10 tahun 1,91%, serta keseluruhan tenor 20 tahun 2,55%. Penerbitan tenor 20 tahun tersebut mencatatkan sejarah sebagai Blue Bonds dengan tenor terpanjang.  ""Penerbitan Blue Bonds kedua ini memperkuat komitmen Pemerintah terhadap pembiayaan berkelanjutan, khususnya dalam mendukung sektor biru. Penerbitan Blue Bonds ini mendorong peluang bagi sektor swasta untuk terlibat dalam pembiayaan berkelanjutan, sekaligus juga merupakan bukti kolaborasi yang baik dari berbagai pihak yang mendukung pembangunan ekonomi biru di Indonesia,"" ujar Suminto, Direktur Jenderal Pengelolaan Pembiayaan dan Risiko, Kementerian Keuangan dalam siaran pers, Jumat (17/5/2024)   Suminto mengungkapkan, instrumen ini mendapat sambutan yang sangat baik dari para investor, yang tercermin dari total permintaan investor yang mencapai JPY329,5 miliar.  Penerbitan Blue Bonds ini didukung oleh Kementerian Pekerjaan Umum dan Perumahan Rakyat, Kementerian Kelautan dan Perikanan, Kementerian Lingkungan Hidup dan Kehutanan, dan Kementerian/Lembaga yang memiliki proyek sebagai underlying, serta United Nations Development Programme (UNDP).  ""Pemerintah Indonesia patut mendapatkan apresiasi atas keberhasilan penerbitan Blue Bond kedua. Hal ini menegaskan komitmen teguh negara ini terhadap pembangunan berkelanjutan dan kemajuan ekonomi biru. UNDP Indonesia bangga dapat dapat terus bekerja sama secara erat dengan Kementerian Keuangan dalam merintis inisiatif ini. Langkah ini mendorong ekonomi biru yang berkelanjutan di Indonesia serta menjadi preseden penting bagi negara-negara lain dalam mengatasi tantangan lingkungan melalui pembiayaan inovatif,"" ujar Norimasa Shimomura, Resident Representative United Nations Development Programme (UNDP) Indonesia.   Penerbitan Samurai Bond ini ditujukan untuk pembiayaan APBN 2024. Hasil penerbitan Blue Bonds digunakan untuk mendanai proyek-proyek yang termasuk dalam kualifikasi belanja sektor blue (terkait kemaritiman) sesuai dengan SDGs Government Securities Framework (SDGs Framework). Framework tersebut telah mendapatkan Second Party Opinion dari CICERO dan International Institute for Sustainable Development (IISD).  Program dan proyek blue diseleksi melalui mekanisme Penandaan Anggaran Perubahan Iklim atau Climate Budget Tagging (CBT), yaitu mekanisme untuk mengidentifikasi anggaran yang digunakan untuk membiayai output yang secara khusus ditujukan untuk mitigasi dan adaptasi perubahan iklim.  Adapun Joint Lead Managers untuk penerbitan Samurai Bond adalah Daiwa Securities Co. Ltd., Mizuho Securities Co. Ltd., Nomura Securities Co. Ltd., dan SMBC Nikko Securities Inc."
"Sri Mulyani Terbitkan Samurai Bond, Tarik Utang Baru Rp20,8 T",2024-09-25T05:53:23.690Z,17 May 2024 15:46,"mij,",https://www.cnbcindonesia.com/market/20240517154146-17-539093/sri-mulyani-terbitkan-samurai-bond-tarik-utang-baru-rp208-t,"Jakarta, CNBC Indonesia - Menteri Keuangan Sri Mulyani Indrawati menerbitkan Surat Utang Negara (SUN) dalam valuta asing berdenominasi Yen Jepang (Samurai Bond) sebesar JPY200 miliar atau Rp20,8 triliun pada tanggal 17 Mei 2024 dengan tenor 3 tahun, 5 tahun, 7 tahun, 10 tahun dan 20 tahun.  Penerbitan ini termasuk Blue Bonds sebesar JPY25 miliar dengan sebagian pada tenor 7 tahun dan 10 tahun, serta keseluruhan tenor 20 tahun. Penerbitan tenor 20 tahun tersebut mencatatkan sejarah sebagai Blue Bonds dengan tenor terpanjang.  ""Penerbitan Blue Bonds kedua ini memperkuat komitmen Pemerintah terhadap pembiayaan berkelanjutan, khususnya dalam mendukung sektor biru. Penerbitan Blue Bonds ini mendorong peluang bagi sektor swasta untuk terlibat dalam pembiayaan berkelanjutan, sekaligus juga merupakan bukti kolaborasi yang baik dari berbagai pihak yang mendukung pembangunan ekonomi biru di Indonesia,"" ujar Suminto, Direktur Jenderal Pengelolaan Pembiayaan dan Risiko, Kementerian Keuangan dalam siaran pers, Jumat (17/5/2024)   Suminto mengungkapkan, instrumen ini mendapat sambutan yang sangat baik dari para investor, yang tercermin dari total permintaan investor yang mencapai JPY329,5 miliar.  Penerbitan Blue Bonds ini didukung oleh Kementerian Pekerjaan Umum dan Perumahan Rakyat, Kementerian Kelautan dan Perikanan, Kementerian Lingkungan Hidup dan Kehutanan, dan Kementerian/Lembaga yang memiliki proyek sebagai underlying, serta United Nations Development Programme (UNDP).  ""Pemerintah Indonesia patut mendapatkan apresiasi atas keberhasilan penerbitan Blue Bond kedua. Hal ini menegaskan komitmen teguh negara ini terhadap pembangunan berkelanjutan dan kemajuan ekonomi biru. UNDP Indonesia bangga dapat dapat terus bekerja sama secara erat dengan Kementerian Keuangan dalam merintis inisiatif ini. Langkah ini mendorong ekonomi biru yang berkelanjutan di Indonesia serta menjadi preseden penting bagi negara-negara lain dalam mengatasi tantangan lingkungan melalui pembiayaan inovatif,"" ujar Norimasa Shimomura, Resident Representative United Nations Development Programme (UNDP) Indonesia.  Penerbitan Samurai Bond ini ditujukan untuk pembiayaan APBN 2024. Hasil penerbitan Blue Bonds digunakan untuk mendanai proyek-proyek yang termasuk dalam kualifikasi belanja sektor blue (terkait kemaritiman) sesuai dengan SDGs Government Securities Framework (SDGs Framework). Framework tersebut telah mendapatkan Second Party Opinion dari CICERO dan International Institute for Sustainable Development (IISD).  Program dan proyek blue diseleksi melalui mekanisme Penandaan Anggaran Perubahan Iklim atau Climate Budget Tagging (CBT), yaitu mekanisme untuk mengidentifikasi anggaran yang digunakan untuk membiayai output yang secara khusus ditujukan untuk mitigasi dan adaptasi perubahan iklim.  Adapun Joint Lead Managers untuk penerbitan Samurai Bond adalah Daiwa Securities Co. Ltd., Mizuho Securities Co. Ltd., Nomura Securities Co. Ltd., dan SMBC Nikko Securities Inc."
"Minat Lelang SUN Lesu Jelang Lebaran, Ini Penyebabnya!",2024-09-25T05:53:23.918Z,27 March 2024 07:45,"Hadijah Alaydrus,",https://www.cnbcindonesia.com/market/20240327071222-17-525763/minat-lelang-sun-lesu-jelang-lebaran-ini-penyebabnya,"Jakarta, CNBC Indonesia - Minat investor terhadap Surat Utang Negara (SUN) mulai lesu di tengah meningkatnya kebutuhan dana tunai oleh masyarakat menjelang hari raya Lebaran. Bedasarkan data Direktorat Surat Utang Negara (SUN), lelang SUN, Selasa (26/3/2024), berhasil mengumpulkan incoming bids sebesar Rp32,34 triliun. Walaupun lebih rendah dari lelang sebelumnya, namun angka tersebut masih 1,35 kali lebih tinggi dari target indikatif yang telah diumumkan. ""Pada lelang kali ini, incoming bids dari perbankan menurun, sebagai antisipasi peningkatan kebutuhan dana tunai oleh masyarakat,"" ungkap pernyataan resmi Direktorat SUN, Kementerian Keuangan. Selanjutnya, kebijakan BI mempertahankan suku bunga acuannya pada level 6% dan solidnya kinerja APBN sampai dengan 15 Maret 2024 dengan mencatat surplus sebesar Rp22,8 triliun menjadi indikator baiknya kondisi perekonomian domestik yang mendukung pasar SBN. ""Di sisi lain, walaupun pernyataan pejabat the Fed cenderung dovish namun pelaku pasar masih menunggu timing penurunan suku bunga acuannya pada tahun ini yang berpotensi mendukung pasar SBN dan emerging markets assets lainnya,"" tulis Direktorat SUN.   Adapun, SUN tenor 5 dan 10 tahun masih menjadi daya tarik utama bagi investor dengan jumlah incoming bids dan awarded bids masing-masing sebesar 43,34% dari total incoming bids dan 53,54% dari total awarded bids. Incoming bids terbesar adalah pada SUN tenor 5 tahun yaitu Rp8,34 triliun (25,87% dari total incoming bids) dan dimenangkan sebesar Rp7,45 triliun (32,96% dari total awarded bids). ""Jumlah incoming bids dari investor asing pada lelang SUN hari ini (26/3/2024) mencapai Rp2,94 triliun. Mayoritas dari incoming bids tersebut pada SUN tenor 5 tahun sebesar Rp1,93 triliun atau 65,69% dari total incoming bids investor asing dan dimenangkan sebesar Rp1,91 triliun atau 8,45% dari total awarded bids,"" ungkap Direktorat SUN. Dari catatan lelang kali ini, volatilitas pasar keuangan dalam dua pekan terakhir memberikan tekanan kepada tingkat imbal hasil (yield) SBN, sehingga Weighted Average Yield (WAY) obligasi negara pada lelang SUN hari ini bergerak naik antara 2 - 8 bps dibandingkan WAY pada lelang SUN sebelumnya. Menurut Direktorat SUN, pemerintah memutuskan untuk memenangkan penawaran sebesar Rp22,6 triliun pada lelang SUN hari ini dengan mempertimbangkan yield SBN yang wajar di pasar sekunder, rencana kebutuhan pembiayaan tahun 2024, dan kondisi kas negara terkini. Sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2024, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 30 April 2024.  "
"Surat Utang RI Diserbu Investor, Efek Pilpres Satu Putaran?",2024-09-25T05:53:24.198Z,28 February 2024 09:55,"Arrijal Rachman,",https://www.cnbcindonesia.com/market/20240228080119-17-518165/surat-utang-ri-diserbu-investor-efek-pilpres-satu-putaran,"Jakarta, CNBC Indonesia - Hasil lelang surat utang negara pada 27 Februari 2024 banyak diminati investor. Total penawaran atau incoming bids yang masuk mencapai Rp 61,04 triliun, namun yang dimenangkan pemerintah atau awarded bids hanya 39,31% nya, sebesar Rp 24 triliun.  Apa karena efek Pemilihan Presiden (Pilpres) kemungkinan besar hanya satu putaran?  Direktur Surat Utang Negara Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan Deni Ridwan mengatakan, total penawaran investor yang masuk itu meningkat dari total penawaran lelang SUN sebelumnya.  ""Minat investor pada lelang SUN hari ini kembali meningkat dengan total incoming bids menjadi Rp 61,04 triliun dari Rp 52,63 triliun pada lelang SUN sebelumnya,"" ujar Deni dikutip dari keterangan tertulis, Selasa (27/2/2024).   Ia mengatakan, penawaran yang semakin besar dari investor terhadap SUN itu dipengaruhi solidnya indikator perekonomian domestik, seperti stabilnya BI rate, positifnya kinerja APBN awal tahun, serta naiknya pertumbuhan kredit.  Terus membaiknya kondisi domestik itu, menurut Deni membuat investor percaya diri untuk membeli surat utang pemerintah, meski tekanan suku bunga tinggi global masih terjadi, seusai rilis FOMC minutes dan komentar lanjutan pejabat the Fed yang mengonfirmasi kebijakan high for longer masih berlangsung.  ""Dan likuiditas uang beredar menjadi katalis positif yang cukup mampu meredam isu kebijakan suku bunga yang tinggi untuk waktu yang lebih lama,"" ucap Deni sambil menambahkan bahwa pemangkasan suku bunga Fed Fund Rate (FFR) tetap diprediksi akan dilakukan pada tahun ini.  Total incoming bids investor asing pada lelang SUN hari ini juga meningkat menjadi Rp 10,4 triliun dari Rp 4,23 triliun pada lelang sebelumnya. Mayoritas dari incoming bids tersebut berada pada seri SUN tenor menengah (5 tahun) sebesar Rp 4,34 triliun atau 41,67% dari total incoming bids investor asing dan dimenangkan sebesar Rp1,17 triliun atau 4,87% dari total awarded bids  Demand investor masih dominan pada seri SUN tenor 5 dan 10 tahun, dengan jumlah incoming bids dan awarded bids masing-masing sebesar 50,34% dari total incoming bids dan 46,71% dari total awarded bids.  ""Incoming bids terbesar adalah pada tenor 5 tahun yaitu Rp17,8 triliun atau 29,16% dari total incoming bids dan dimenangkan sebesar Rp3,31 triliun atau 13,79% dari total awarded bids,"" tegas Deni.   Seiring dengan minat investor di pasar SBN yang masih tinggi dan kondisi pasar SBN yang relatif stabil, Weighted Average Yield (WAY) obligasi negara yang dimenangkan pada lelang SUN hari ini kata Deni turun sebesar 2-6 basis points (bps) dibandingkan level WAY lelang SUN sebelumnya.  Oleh sebab itu, dengan mempertimbangkan yield SBN yang wajar di pasar sekunder, rencana kebutuhan pembiayaan tahun 2024, dan kondisi kas negara terkini, Pemerintah memutuskan untuk memenangkan penawaran sebesar Rp 24 triliun pada lelang SUN hari ini.  ""Sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2024, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 13 Maret 2024,"" ungkap Deni."
"Jepang Masuk Jurang Resesi, RI Tetap Terbitkan Samurai Bond?",2024-09-25T05:53:24.372Z,22 February 2024 19:15,"M Rosseno Aji Nugroho,",https://www.cnbcindonesia.com/news/20240222182746-4-516871/jepang-masuk-jurang-resesi-ri-tetap-terbitkan-samurai-bond,"Jakarta, CNBC Indonesia - Kementerian Keuangan belum bisa memastikan kelanjutan penerbitan Surat Utang Negara (SUN) dalam valuta asing berdenominasi Yen Jepang atau Samurai Bond pada tahun ini. Terutama mengingat perekonomian Jepang kini tengah jatuh ke jurang resesi, setelah perekonomiannya selama dua kuartal berturut-turut terkontraksi atau minus. Sebagaimana diketahui, ekonomi Jepang turun 0,4% secara tahunan pada kuartal IV-2023, setelah sebelumnya negara ini juga melaporkan kontraksi ekonomi atau minus 3,3% pada kuartal III-2023. ""Jadi apakah kita akan tetap terbitkan samurai bond? tentu dalam hal ini kita akan lihat perkembangan kebutuhan dan perkembangan perekonomian dan kondisi pasar keuangan di Jepang sendiri,"" kata Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto saat konferensi pers APBN, Kamis (22/2/2024). Suminto menekankan, yang bisa dilakukan pemerintah saat ini adalah terus mencermati kondisi perekonomian Jepang, sebelum merealisasikan penerbitan Samurai Bond pada tahun ini. ""Karena salah satu di antara prinsip penerbitan kita tentu untuk menemukan penerbitan cost of fund yang minimal, terendah, atau yang terbaik pada risiko yang acceptable,"" tutur Suminto. Pemerintah Indonesia telah menerbitkan Samurai Bond, beberapa kali. Teranyar ialah pada Mei 2023 dengan transaksi penerbitan sebesar JPY 104,8 miliar atau setara Rp 11,34 triliun. Pricing atas transaksi ini telah dilaksanakan pada tanggal 19 Mei 2023. Penerbitan kala itu memiliki spread terhadap TONA Yen Mid Swap (YMS) lebih rendah dibandingkan penerbitan tahun 2022. Dengan rincian tenor 3 tahun memiliki spread sebesar 60 bps berbanding 90 bps, spread tenor 5 tahun sebesar 72 bps berbanding 100 bps, spread tenor 7 tahun sebesar 80 bps berbanding 105 bps, dan spread tenor 10 tahun sebesar 85 bps berbanding 110 bps. Sementara dari sisi nominal penerbitan untuk seri tenor panjang yaitu 7 tahun ke atas, mencapai JPY 20,7 miliar berbanding JPY 7,7 miliar."
Cari Cuan Usai Pemilu? Investasi Super Aman Ini Bisa Dipilih,2024-09-25T05:53:24.586Z,16 February 2024 06:30,"Financial Expert,",https://www.cnbcindonesia.com/mymoney/20240216053354-72-514881/cari-cuan-usai-pemilu-investasi-super-aman-ini-bisa-dipilih,"Jakarta, CNBC Indonesia - Sebagai salah satu instrumen investasi yang pas untuk pemula, Surat Berharga Negara (SBN) tentu menjadi instrumen yang wajib dilirik. Dan ketahuilah bahwa di sepanjang 2024 ini, akan ada tujuh SBN yang bakal meluncur. ""Tahun ini kita berencana akan menerbitkan, tiga Surat Utang Negara Ritel (SUN Ritel), yaitu seri ORI, satu seri SBR, kemudian empat yang syariah, Sukuk Ritel plus Sukuk Tabungan tambah satu Sukuk Waqaf, ujar Direktur SUN Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan RI (DJPPR Kemenkeu RI), di sela acara SinemORI XXV yang dilangsungkan di Metropole XXI (15/2/2024). Acara nonton bareng film Gampang Cuan tersebut, DJPPR RI juga ditujukan untuk mengenalkan instrumen ORI025 kepada masyarakat. ORI025 sendiri merupakan SUN Ritel yang ditawarkan ke masyarakat di awal tahun 2024. Seperti diketahui, ORI025 hadir dalam dua pilihan tenor investasi dan tingkat kupon, ORI025-T3 dengan tenor tiga tahun dengan kupon 6,25% per tahun, dan ORI025-T6 dengan tenor 6 tahun dengan kupon 6,4% per tahun. Adapun masa akhir penawaran dari instrumen investasi berbasis utang ini adalah pada 29 Februari 2024. ""(Yang sudah order dan bayar ORI025), per hari ini (15/2) sekitar Rp 10,87 triliun,"" lanjut Deni. Deni menambahkan bahwa pemesanan SUN Ritel yang satu ini memang cenderung lebih lambat dibandingkan tahun lalu karena adanya libur panjang Isra Mi'raj dan Imlek, serta pemilu. Dan sejauh ini, partisipasi investor Generasi Z terlihat semakin besar namun jumlah investor milenial masihlah terbesar. Seperti diketahui dari total pemesanan per 15 Februari 2024, jumlah investor yang sudah memesan ORI025 T3 mencapai 28.949 sementara ORI25 T6 ada 8.422. Dikutip dari situs DJPPR Kemenkeu, berikut adalah tujuh SBN Ritel 2024 yang akan terbit di sepanjang 2024. Namun patut diketahui bahwa jadwal penerbitan masih dapat berubah. // <![CDATA[!function(){""use strict"";window.addEventListener(""message"",(function(a){if(void 0!==a.data[""datawrapper-height""]){var e=document.querySelectorAll(""iframe"");for(var t in a.data[""datawrapper-height""])for(var r=0;r<e.length;r++)if(e[r].contentWindow===a.source){var i=a.data[""datawrapper-height""][t]+""px"";e[r].style.height=i}}}))}();// ]]> "
