Title,Scrapping Date,Article Date,Author,Link,Content
"300 WNA Kantongi Golden Visa, RI Diklaim Cuan Rp2 T",2024-08-19T06:30:52.894Z,"Jumat, 26 Jul 2024 11:31 WIB",,https://www.cnnindonesia.com/ekonomi/20240726111937-92-1125770/300-wna-kantongi-golden-visa-ri-diklaim-cuan-rp2-t,"Jakarta, CNN Indonesia -- Direktur Jenderal Imigrasi Kemenkumham Silmy Karim mengungkapkan sudah ada 300 warga negara asing yang mengantongi golden visa dari Indonesia. Dari jumlah tersebut nilai investasinya mencapai Rp2 triliun.Silmy mengatakan investor yang sudah masuk berasal dari berbagai sektor seperti IT (Chat GPT), Olahraga (Shin Tae Yong), Industri Pesawat (Boeing) hingga industri hilirisasi smelter.""Dari 300 orang (WNA) yang sudah mendapatkan golden visa itu investasi yang masuk Rp2 triliun,"" ujar Silmy dalam peluncuran Golden Visa di Hotel Ritz Carlton, Kamis (25/7).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Menurutnya, jumlah tersebut akan terus bertambah sehingga bisa memberikan dampak lebih baik ke perekonomian dalam negeri.Lihat Juga :Menelisik Asal Muasal Kota Mati Tommy Soeharto di Karawang ""Tentunya di sini akan terus bertambah dan ke depan harapannya juga kita bisa menghitung seberapa banyak warga negara Indonesia yang dapat bekerja atas investasi yang dilakukan,"" imbuhnya.Silmy menyebutkan pemerintah menyasar 10 negara dalam pemberian golden visa, yakni Singapura, Jepang, China, Korea, Belanda, Amerika Serikat, Inggris, Prancis, Jerman, Uni Emirat Arab.""Saya realistis dari 10 besar negara yang ada invest datanya di BKPM karena kan kita selalu kerjasama dengan Menko Marves dan kementerian investasi,"" pungkasnya.Golden visa merupakan pemberian izin tinggal ke WNA yang memenuhi syarat dalam jangka waktu lima hingga sepuluh tahun, demikian dikutip situs resmi imigrasi.
                                Golden visa menyasar ke WNA yang bisa mendukung perekonomian Indonesia, salah satunya penanam modal baik korporasi maupun perorangan.Pemegang golden visa bisa menikmati sejumlah manfaat eksklusif dari jenis visa ini. Kelebihan itu di antaranya jangka waktu tinggal lebih lama, kemudahan keluar dan masuk Indonesia, serta efisiensi karena tidak perlu lagi mengurus ITAS ke kantor imigrasi.Untuk dapat tinggal di Indonesia selama lima tahun melalui golden visa, pemerintah menetapkan dua syarat nilai investasi, yakni:1. WNA perorangan atau investor korporasi yang akan mendirikan perusahaan di Indonesia diharuskan berinvestasi sebesar US$2,5 juta atau sekitar Rp38 miliar.2. WNA perorangan yang tidak bermaksud mendirikan perusahaan di Indonesia diwajibkan menempatkan dana senilai US$350 ribu atau sekitar Rp5,3 miliar yang dapat digunakan untuk membeli obligasi pemerintah, saham perusahaan publik atau penempatan tabungan atau deposito.[Gambas:Video CNN] (ldy/pta)"
"Modal Asing Rp6,25 T Kabur dari Pasar Saham RI Sejak Awal Tahun",2024-08-19T06:30:59.071Z,"Senin, 10 Jun 2024 19:19 WIB",,https://www.cnnindonesia.com/ekonomi/20240610185418-532-1108194/modal-asing-rp625-t-kabur-dari-pasar-saham-ri-sejak-awal-tahun,"Jakarta, CNN Indonesia -- Otoritas Jasa Keuangan (OJK) mencatat sejak awal tahun hingga Mei 2024, investor asing telah menarik dananya hingga Rp6,25 triliun dari pasar saham Indonesia.Kepala Eksekutif Pengawas Pasar Modal, Keuangan Derivatif dan Bursa Karbon OJK Inarno Djajadi mengatakan keluarnya asing dari Indonesia dipicu tekanan yang terjadi di pasar saham sejak awal tahun lalu.""Secara year to date pasar saham membukukan net sell sebesar Rp6,25 triliun,"" ujarnya dalam konferensi pers RDK OJK, Senin (10/6).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Secara rinci, sejak Januari hingga Mei 2024, Indek Harga Saham Gabungan (IHSG) telah terkoreksi sebesar 4,5 persen ke level 6.970,74. Jika dibandingkan bulan sebelumnya melemah 3,64 persen.Lihat Juga :Profil Simon Aloysius Mantiri yang Gantikan Ahok Jadi Komut Pertamina Sedangkan, nilai kapitalisasi pasar mencapai Rp11,82 triliun. Realisasi ini tercatat naik 1,29 persen dibandingkan periode Januari-Mei 2023.""Pada Mei 2024, penghimpunan dana di pasar modal masih positif, penawaran umum Rp86,92 triliun dengan 18 emiten baru,"" jelasnya.Sementara, bursa karbon yang baru diluncurkan pada 26 September 2023, sudah terdapat 62 pengguna jasa dengan volume 608 ribu ton Co2 dengan akumulasi Rp36,77 miliar.[Gambas:Video CNN] (ldy/agt)"
Luhut Pede Investasi Tembus Rp1.650 T usai Investor Puji Pilpres 2024,2024-08-19T06:31:04.208Z,"Kamis, 22 Feb 2024 11:33 WIB",,https://www.cnnindonesia.com/ekonomi/20240222111305-92-1065855/luhut-pede-investasi-tembus-rp1650-t-usai-investor-puji-pilpres-2024,"Jakarta, CNN Indonesia -- Menteri Koordinator Bidang Kemaritiman dan Investasi (Menko Marves) Luhut Binsar Pandjaitan optimis target investasi tahun ini sebesar Rp1.650 triliun akan tercapai. Pasalnya, ia baru menerima kabar baik dari para investor asing terkait Pilpres 2024.Luhut mengungkapkan sebelumnya para investor masih bersikap wait and see menunggu Pilpres 2024 selesai. Ia mengklaim banyak menerima ucapan selamat melalui telepon karena Pemilu telah berjalan dengan damai. Selain itu, Pilpres 2024 menjadi pesta demokrasi terbesar di dunia.Hal tersebut ternyata turut membawa optimisme dan kabar baik terhadap kepastian investasi dalam negeri.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Itu benar sekali (investor wait and see). Jadi memang mereka menanti-nanti. Tapi kemarin saya dapat beberapa telepon yang menyampaikan selamat bahwa Pilpres di Indonesia, salah satu atau mungkin pilpres yang terbesar di dunia,"" ujar Luhut dalam unggahan di akun Instagram resminya, dikutip Kamis (22/2).Lihat Juga :Makan Gratis Prabowo Diklaim Hanya Kuras APBN Rp60 T di Tahun Pertama ""Mengenai investasi, banyak sekali target kita, Rp1.650 triliun. Itu saya kira tidak ada masalah,"" sambungnya.Luhut menyampaikan kendati perekonomian China agak sulit, negara tersebut sudah berkomitmen membangun pabrik petrokimia di Kalimantan Utara.""Kemarin walaupun di China, atau semua dunia mengalami ekonomi agak sulit, mereka juga sudah sampaikan petrochemical yang akan dibangun, juga akan tetap dilanjutkan, dan begitu juga proyek-proyek lain,"" tuturnya.[Gambas:Instagram]Lebih lanjut, Luhut menyebut pemerintah berencana untuk membangun kawasan khusus untuk pembangunan pabrik tersebut.""Itu mereka sudah minta ingin masuk dan kita akan bikin kawasan khusus untuk itu. Sehingga UMKM itu akan mendapat peluang juga untuk nanti ada di situ,"" ujar dia lebih lanjut.[Gambas:Video CNN] (del/pta)"
Jokowi Klaim Investor Asing Sudah Mulai Masuk ke IKN,2024-08-19T06:31:08.950Z,"Rabu, 20 Des 2023 15:00 WIB",,https://www.cnnindonesia.com/ekonomi/20231220142054-532-1039716/jokowi-klaim-investor-asing-sudah-mulai-masuk-ke-ikn,"Jakarta, CNN Indonesia -- Presiden Joko Widodo menyebut sudah ada investor asing yang menanamkan modal di Ibu Kota Nusantara (IKN).Jokowi tidak menyebut nama orang atau perusahaan asal luar negeri tersebut. Dia hanya bilang investor asing itu bekerja sama dengan pengusaha dalam negeri.""Investor dalam negeri pun sebetulnya itu pun sudah partneran sama yang asing. Satu-dua saya tahu sudah partneran dengan asing,"" kata Jokowi di IKN, Rabu (20/12).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Jokowi mengatakan memang pemerintah memberi prioritas bagi investor dalam negeri. Kebijakan itu pun berbuah dengan mulai banyaknya pengusaha dalam negeri, tak hanya dari Jawa, yang menanamkan modal di IKN.Lihat Juga :Respons Kemenkeu Soal 'Celengan Rahasia' Rp104 T Temuan Kubu Prabowo Dia menyebut investor sudah berbondong-bondong masuk ke IKN. Menurut Jokowi, masih akan banyak pengusaha yang antre berinvestasi di ibu kota negara baru.""Ini yang saya bilang setelah yang satu masuk yang lain pasti berbondong-bondong, yang lain berbondong-bondong, yang di belakang akan berbondong-bondong lagi,"" ujarnya.Pada kesempatan itu, Jokowi mengecek progres pembangunan sejumlah infrastruktur. Salah satunya Hotel Nusantara yang akan punya fasilitas bintang lima.Jokowi menyebut pembangunan Hotel Nusantara sudah 34 persen. Dia menilai progres pembangunan infrastruktur lainnya kurang lebih di level yang sama.
                                ""Kalau melihat seperti ini akan selesailah kira-kira sebelum Agustus,"" ujar Jokowi.Sebelumnya, Jokowi menyatakan penghentian investasi asing dalam pembangunan IKN. Hal itu ia nyatakan setelah belum adanya investor luar negeri yang menanamkan modal di ibu kota negara baru.Beberapa bulan kemudian, Jokowi mengakui memang belum ada investor asing yang masuk ke IKN. Dia menyebut para investor itu baru sekadar menandatangani letter of intent.""Sampai saat ini belum ada (investasi asing masuk IKN),"" ungkap Jokowi di sela KTT APEC di California, Amerika Serikat, Kamis (16/11).[Gambas:Video CNN] (dhf/agt)"
Anies Bongkar Alasan Investor Asing Enggan Masuk RI,2024-08-19T06:31:13.219Z,"Senin, 11 Des 2023 15:55 WIB",,https://www.cnnindonesia.com/ekonomi/20231211151345-532-1035739/anies-bongkar-alasan-investor-asing-enggan-masuk-ri,"Jakarta, CNN Indonesia -- Calon presiden nomor urut 1, Anies Baswedan mengatakan ada sejumlah alasan investor asing enggan masuk ke Indonesia.Salah satunya, inkonsistensi kebijakan dan birokrasi yang rumit. Faktor lain, kekakuan dan iregularitas antara pusat dan daerah.""Kemudian praktik korupsi faktanya masih terjadi. Kemudian kita berbicara tentang infrastruktur pendukung yang masih lemah,"" kata Anies dalam Dialog Capres 2024 bersama APINDO di Jakarta, Senin (11/12).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Saya rasa kita harus mulai dengan mengakui kita punya masalah,"" kata Anies.Lihat Juga :Penyumbang di IKN Akan Dapat Potongan Pajak Hingga 200 Persen Anies mengatakan pemerintah tidak boleh menutupi masalah yang ada. Dengan begitu, koreksi bisa dilakukan.Ia mengatakan yang ingin dibangun dengan investor bukan hanya peningkatan investasi, melainkan juga kepercayaan.Untuk mengatasi masalah itu, Anies mengatakan ada beberapa langkah yang ia akan lakukan kalau terpilih menjadi presiden di Pilpres 2024. Pertama, menciptakan iklim kepastian hukum. Kedua, memastikan konsistensi regulasi.
                                Ketiga, keseriusan dalam memberantas korupsi.""Bagaimana kita berharap investor masuk kalau indeks persepsi korupsi kita menurun. Dunia membutuhkan indeks persepsi korupsi yang meningkat dan keseriusan dalam membereskan korupsi,"" katanya.Dalam kesempatan itu, Anies juga menyinggung kontribusi sektor manufaktur terhadap Produk Domestik Bruto (PDB) yang turun dari 29 persen di 2014 menjadi 16 persen di 2022.""Dalam hitungan kami, kita ingin kembalikan ke angka 22 hingga 23 persen di ujung tahun 2029. Kira-kira dalam 5 tahun kita ingin ke arah sana,"" kata Anies.[Gambas:Video CNN] (fby/agt)"
OIKN Buka Suara soal Jokowi Sebut Belum Ada Investor Asing Masuk IKN,2024-08-19T06:31:16.259Z,"Senin, 20 Nov 2023 12:40 WIB",,https://www.cnnindonesia.com/ekonomi/20231120121917-92-1026522/oikn-buka-suara-soal-jokowi-sebut-belum-ada-investor-asing-masuk-ikn,"Jakarta, CNN Indonesia -- Otorita Ibu Kota Negara (OIKN) Nusantara buka suara mengenai pernyataan Presiden Joko Widodo (Jokowi) soal belum ada investor asing masuk ke ibu kota baru.Deputi Bidang Pendanaan dan Investasi Otorita IKN Agung Wicaksono mengatakan yang dimaksud belum masuknya investor asing adalah yang masuk secara sendiri dan sudah masuk tahap final.Namun, kata Agung, sudah ada investor asing yang masuk ke IKN dengan bekerja sama dengan investor domestik.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Jadi kalau dikatakan investor asing belum masuk, sebenarnya kalau boleh kami detailkan statement bapak presiden tersebut (bahwa) investor asing belum masuk sebagai sendiri, tapi sebagai mitra investor domestik, sudah terjadi,"" katanya dalam media briefing, Senin (20/11).Lihat Juga :Jokowi soal Belum Ada Investasi Asing di IKN: Peminat Lebih dari 300 Ia memberi contoh kerja sama investor asing dengan pengusaha lokal terlihat dari FIFA yang bekerja sama dengan PSSI dalam proyek pusat pelatihan sepakbola di IKN. Kemudian pembangunan RS Mayapada yang bermitra dengan investor dari India.Sementara investor asing yang ingin masuk ke IKN secara sendiri, Agung menyebut sebenarnya banyak yang berminat. Per hari ini, sudah ada 305 surat pernyataan (letter of intent/LOI), di mana 133 di antaranya merupakan investor asing.Agung menjelaskan investasi di IKN melalui delapan tahap, di mana LOI merupakan tahap pertama dan tahap kedua adalah tinjauan dan penilaian sektor skala prioritas.""Jadi kalau bapak presiden mengatakan ini agak direm sedikit, rem atau gas ini dilakukan di tahap dua ini. Tapi yang jelas minat sangat tinggi. Dan prioritas pada sektor yang diminati investor domestik memang penting sehingga tahapan selanjutnya lebih cepat dijalani, lebih sat set investor domestik,"" katanya.
                                Agung menjelaskan investor domestik memang bergerak lebih cepat sehingga dapat dilihat dari 303 LOI tersebut, yang sudah mencapai tahap akhir atau groundbreaking ada 21 LOI atau perusahaan yang seluruhnya merupakan investor domestik. Sementara investasi asing masih berproses.Investasi yang sudah terealisasi mencapai Rp35 triliun yang terbagi di dua groundbreaking.Groundbreaking pertama pada 21 September lalu dengan nilai Rp23 triliun dan groundbreaking kedua pada 1 November sebesar Rp12 triliun.""Kita sedang siapkan targetnya bulan Desember groundbreaking selanjutnya,"" kata Agung.[Gambas:Video CNN] (fby/pta)"
VIDEO: Jokowi Akui Belum Ada Investor Asing Masuk IKN,2024-08-19T06:31:17.812Z,"Senin, 20 Nov 2023 11:29 WIB",,https://www.cnnindonesia.com/tv/20231120111615-402-1026476/video-jokowi-akui-belum-ada-investor-asing-masuk-ikn,
Jokowi soal Investasi Asing di IKN: Sampai Saat Ini Belum Ada,2024-08-19T06:31:21.133Z,"Jumat, 17 Nov 2023 17:23 WIB",,https://www.cnnindonesia.com/ekonomi/20231117170340-532-1025718/jokowi-soal-investasi-asing-di-ikn-sampai-saat-ini-belum-ada,"Jakarta, CNN Indonesia -- Presiden Joko Widodo (Jokowi) mengungkapkan belum ada investor asing yang masuk ke Ibu Kota Negara (IKN) Nusantara.""Sampai saat ini belum ada (investasi asing masuk IKN),"" kata Jokowi di sela KTT APEC di California, Amerika Serikat, Kamis (16/11) waktu setempat.Namun, Jokowi meyakini investor asing segera masuk ke IKN seiring banyaknya pengusaha dalam negeri yang menanam modal di ibu kota baru itu.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Saya yakin bahwa setelah investor dalam negeri bergerak, semakin banyak setiap bulannya, investor luar akan segera masuk. Kita lihat saja nanti, pasti masuk,"" ujarnya.Lihat Juga :Vale Divestasi Saham 14 Persen, RI Dapat Jatah Komut dan Dirut Setidaknya ada tiga sektor prioritas yang ditawarkan pemerintah kepada para pemilik modal yakni pendidikan, kesehatan, dan teknologi.Jokowi sendiri sempat menyatakan akan menyetop investasi asing di IKN Nusantara. Pasalnya, kala itu, ia ingin mengutamakan investor dalam negeri untuk ikut dalam pembangunan di IKN.""Kami memang rem dulu. Saya sampaikan kepada Kepala Otorita, rem untuk yang dari luar, berikan kesempatan, kalau bisa juga di joint-kan (pengusaha) dari dalam (negeri),"" kata Jokowi di IKN, Rabu (1/11) lalu.Padahal, klaim Jokowi, ada 130 investor dari Singapura yang tertarik berinvestasi. Ada juga 30 investor dari Jepang, 30 investor dari Malaysia dan Uni Emirat Arab yang menunjukkan ketertarikan serupa.
                                ""Kalau mentok dan sudah tidak ada (investor dalam negeri), kita akan keluarkan jurus yang dari luar,"" imbuhnya.Pemerintah melaporkan total investasi proyek yang melakukan groundbreaking di IKN hingga Desember 2023 mencapai Rp45 triliun. Seluruh investasi yang masuk itu dari dalam negeri.Rinciannya, investasi proyek yang sudah groundbreaking mencapai Rp23 triliun pada September. Lalu, investasi yang groundbreaking bertambah Rp12 triliun pada Oktober. Pada Desember, investasi yang melakukan peletakan batu perdana di IKN akan bertambah Rp10 triliun.[Gambas:Video CNN] (sur/sfr)"
VIDEO: Jokowi Incar Investor Asing Masuk 3 Sektor Prioritas di IKN,2024-08-19T06:31:23.815Z,"Jumat, 17 Nov 2023 12:24 WIB",,https://www.cnnindonesia.com/ekonomi/20231117111255-536-1025488/video-jokowi-incar-investor-asing-masuk-3-sektor-prioritas-di-ikn,"Jakarta, CNN Indonesia --
                    Presiden Jokowi gencar menawarkan IKN Nusantara kepada para investor asing di KTT APEC, di Amerika Serikat.Ia mengungkap ada tiga sektor menjadi prioritas yang ditawarkan kepada para pemilik modal.""Pendidikan dan kesehatan, juga teknologi,"" kata Jokowi di sela KTT APEC, Kamis (16/11) waktu setempat.Ia optimis para investor asing bakalan tertarik masuk ke IKN.Pasalnya, saat ini saja sudah banyak pengusaha lokal Tanah Air yang menanam modal di IKN."
Anies Blak-blakan Cara Lobi Investor Asing Biar Ajak Pengusaha Lokal,2024-08-19T06:31:25.169Z,"Rabu, 08 Nov 2023 11:16 WIB",,https://www.cnnindonesia.com/ekonomi/20231108110210-92-1021403/anies-blak-blakan-cara-lobi-investor-asing-biar-ajak-pengusaha-lokal,"Jakarta, CNN Indonesia -- Bakal calon presiden Anies Baswedan mengungkap strategi agar para investor asing mau melibatkan pengusaha Indonesia.Anies menyebut cara ini diambil dari pengalamannya sebagai mantan gubernur DKI Jakarta. Menurutnya, para investor asing tak suka kejutan di ujung negosiasi sehingga negosiasi pelibatan pebisnis lokal dilakukan di awal berunding.""Yang mereka tidak mau itu 'yes, yes, yes', tapi di ujung mau tambahan dan syarat ini. Tapi kalau dari awal, kami ingin domestic player after 2-3 decade will be at part at you, we need your help untuk lakukan itu,"" katanya dalam Sarasehan 100 Ekonom Indonesia di Menara Bank Mega, Jakarta Selatan, Rabu (8/11).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Kalau itu (keterlibatan pengusaha lokal) bisa terjadi, your pressance will be sustainable. Tapi kalau Anda di sini menimbulkan disparitas dan ketimpangan, I guarantee you're not going to be a long term,"" tegas Anies.Lihat Juga :Anies Sebut Pertumbuhan Ekonomi Tak Mampu Tekan Pengangguran Anies juga menyebut dua visi utama untuk pengusaha lokal. Pertama, para pengusaha di Indonesia harus menjadi tuan rumah di negeri sendiri.Kedua, menjadikan pengusaha Indonesia tamu mempesona di negeri orang. Anies menyebut cara ini lebih sulit ditempuh ketimbang menjadi tuan rumah di negeri sendiri.""Kalau cuma tuan rumah negeri sendiri gampang, bikinlah segala proteksi. Harus ada keseriusan pemerintah tentukan sektor-sektor mana kita memberikan ruang lebih kepada pengusaha Indonesia,"" tutupnya.[Gambas:Video CNN] (skt/pta)"
