Title,Scrapping Date,Article Date,Author,Link,Content
Rupiah Merangkak ke Rp15.630 Pagi Ini,2024-08-19T14:50:40.905Z,"Senin, 19 Agu 2024 09:29 WIB",(sfr/sfr),https://www.cnnindonesia.com/ekonomi/20240819091858-78-1134649/rupiah-merangkak-ke-rp15630-pagi-ini,"Jakarta, CNN Indonesia -- Nilai tukar rupiah dibuka di posisi Rp15.630 per dolar AS di perdagangan pasar spot pada Senin (19/8) pagi. Mata uang Garuda naik 63 poin atau plus 0,40 persen dibandingkan penutupan perdagangan sebelumnya.
Mata uang Asia lain juga hampir semuanya bangkit. Baht Thailand naik 0,29 persen, dolar Singapura naik 0,11 persen, dolar Hong Kong plus 0,01 persen, peso Filipina naik 0,37 persen, yuan China naik 0,22 persen, won Korea Selatan plus 0,52 persen, dan ringgit Malaysia naik 1,11 persen.





Lihat Juga :



Rosan Roeslani Respons Isu Gantikan Bahlil Jadi Menteri Investasi Baru







@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));


Sedangkan pelemahan hanya dirasakan yen Jepang yang turun 0,14 persen.
Begitu pula mata uang utama negara maju yang umumnya dibuka menguat. Poundsterling Inggris naik 0,02 persen, euro Eropa plus 0,02 persen, dolar Australia naik 0,18 persen, dan dolar Kanada naik 0,07 persen. 
Pengamat Komoditas dan Mata Uang Lukman Leong menyebut rupiah akan menguat terhadap dolar AS. Pasalnya data penjualan rumah AS lebih lemah dari perkiraan.

                                
""Investor juga mengantisipasi pidato Jerome Powell minggu ini,"" katanya kepada CNNIndonesia.com.
Ia memperkirakan rupiah bergerak di kisaran Rp15.600 sampai Rp15.700 per dolar AS pada hari ini.
[Gambas:Video CNN]
 (sfr/sfr)"
Rupiah Kokoh Rp15.693 per Dolar AS Respons Pidato Nota Keuangan Jokowi,2024-08-19T14:50:41.088Z,"Jumat, 16 Agu 2024 15:29 WIB",(skt/sfr),https://www.cnnindonesia.com/ekonomi/20240816152355-78-1133911/rupiah-kokoh-rp15693-per-dolar-as-respons-pidato-nota-keuangan-jokowi,"Jakarta, CNN Indonesia -- Nilai tukar rupiah ditutup di level Rp15.693 per dolar AS pada Jumat (16/8), selepas Presiden Joko Widodo (Jokowi) membaca Pidato Nota Keuangan RAPBN 2025. Mata uang Garuda naik 6 poin atau plus 0,04 persen dari penutupan perdagangan sebelumnya.
Sementara, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah ke posisi Rp15.716 per dolar AS pada perdagangan sore ini.





Lihat Juga :


NOTA KEUANGAN 2025
Jokowi Tak Singgung Kenaikan Gaji PNS di Pidato Nota Keuangan







@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));


Mata uang di kawasan Asia juga dominan perkasa. Yuan China dan dolar Hong Kong naik 0,04 persen, dolar Singapura menguat 0,17 persen, yen Jepang dan baht Thailand tumbuh 0,18 persen, serta won Korea Selatan melesat 0,69 persen.
Pelemahan sore ini hanya dialami rupee India yang merosot 0,01 persen, ringgit Malaysia jatuh 0,03 persen, dan peso Filipina amblas 0,51 persen. 
Bahkan, mata uang negara maju serempak ditutup menguat. Poundsterling Inggris tumbuh 0,19 persen, euro Eropa plus 0,12 persen, franc Swiss menguat 0,32 persen, dolar Kanada naik 0,03 persen, dan dolar Australia melesat 0,31 persen.

                                
Pengamat Komoditas dan Mata Uang Lukman Leong mengatakan rupiah ditutup hampir datar. Walau, sukses sedikit menguat terhadap dolar AS, di tengah sentimen risk on pasar ekuitas.
""Investor merespons data ekonomi AS yang lebih kuat, meredakan kekhawatiran akan resesi di AS,"" katanya kepada CNNIndonesia.com.
[Gambas:Video CNN]
 (skt/sfr)"
Rupiah Ambruk ke Rp15.700 usai Surplus Dagang RI di Bawah Ekspektasi,2024-08-19T14:50:41.262Z,"Kamis, 15 Agu 2024 15:58 WIB",(skt/sfr),https://www.cnnindonesia.com/ekonomi/20240815155227-78-1133460/rupiah-ambruk-ke-rp15700-usai-surplus-dagang-ri-di-bawah-ekspektasi,"Jakarta, CNN Indonesia -- Nilai tukar rupiah ditutup di level Rp15.700 per dolar AS pada Kamis (15/8). Mata uang Garuda melemah 24 poin atau minus 0,16 persen dari penutupan perdagangan sebelumnya.
Sementara, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah ke posisi Rp15.687 per dolar AS pada perdagangan sore ini.





Lihat Juga :



Sukanto Tanoto, BCA hingga Intiland Siap Gelontorkan Rp5,3 T di IKN







@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));


Sedangkan mata uang di kawasan Asia mayoritas perkasa. Rupee India tumbuh 0,03 persen, won Korea Selatan dan peso Filipina naik 0,04 persen, dolar Hong Kong dan yen Jepang plus 0,05 persen, serta baht Thailand terbang 0,36 persen.
Pelemahan sore ini dialami dolar Singapura yang turun 0,09 persen, ringgit Malaysia minus 0,17 persen, dan yuan China amblas 0,24 persen. 

                                
Di lain sisi, mata uang negara maju dominan ditutup menguat. Poundsterling Inggris plus 0,15 persen, euro Eropa turun 0,03 persen, franc Swiss layu 0,09 persen, dolar Kanada naik 0,08 persen, dan dolar Australia melesat 0,40 persen.
Pengamat Komoditas dan Mata Uang Lukman Leong mengatakan rupiah ditutup melemah terhadap dolar AS usai rilis data perdagangan Indonesia. Pasalnya, surplus yang dicatat jauh lebih kecil dari perkiraan imbas impor naik cukup besar.
""Sebelumnya, data ekonomi dari China, seperti produksi industri, investasi, dan tingkat pengangguran juga lebih lemah dari perkiraan ikut menekan rupiah,"" katanya kepada CNNIndonesia.com.
[Gambas:Video CNN]
 (skt/sfr)"
"Menguat Tertinggi, Rupiah Kokoh di Rp15.675 Sore Ini",2024-08-19T14:50:41.500Z,"Rabu, 14 Agu 2024 16:15 WIB",(skt/sfr),https://www.cnnindonesia.com/ekonomi/20240814160847-78-1133017/menguat-tertinggi-rupiah-kokoh-di-rp15675-sore-ini,"Jakarta, CNN Indonesia -- Nilai tukar rupiah ditutup di level Rp15.675 per dolar AS pada Rabu (14/8). Mata uang Garuda menguat 158 poin atau plus 0,99 persen dari penutupan perdagangan sebelumnya.
Sementara, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah ke posisi Rp15.691 per dolar AS pada perdagangan sore ini.





Lihat Juga :



Badai PHK Makin Menggila, 44.195 Buruh Sudah Menjadi Korban







@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));


Mata uang di kawasan Asia juga mayoritas perkasa. Rupee India dan peso Filipina tumbuh 0,02 persen, dolar Singapura naik 0,06 persen, yuan China plus 0,10 persen, baht Thailand menguat 0,31 persen, ringgit Malaysia melesat 0,55 persen, dan won Korea Selatan naik 0,58 persen.
Sedangkan pelemahan sore ini dialami dolar Hong Kong yang turun 0,02 persen dan yen Jepang amblas 0,42 persen. 
Kendati, mata uang negara maju dominan ditutup melemah. Poundsterling Inggris merosot 0,21 persen, euro Eropa plus 0,12 persen, franc Swiss naik 0,12 persen, dolar Kanada melemah 0,04 persen, dan dolar Australia turun 0,03 persen.

                                
Pengamat Komoditas dan Mata Uang Lukman Leong mengatakan rupiah dan mata uang regional Asia umumnya menguat terhadap dolar AS. Ini terbantu data inflasi produsen AS yang lebih rendah semalam.
""Investor juga mengantisipasi data inflasi konsumen AS malam ini yang diperkirakan juga akan lebih lemah,"" katanya kepada CNNIndonesia.com.
[Gambas:Video CNN]
 (skt/sfr)"
"Rupiah Sukses Unjuk Gigi ke Rp15.832 per Dolar AS, Tertinggi di Asia",2024-08-19T14:50:45.670Z,"Selasa, 13 Agu 2024 16:10 WIB",(skt/sfr),https://www.cnnindonesia.com/ekonomi/20240813154621-78-1132508/rupiah-sukses-unjuk-gigi-ke-rp15832-per-dolar-as-tertinggi-di-asia,"Jakarta, CNN Indonesia -- Nilai tukar rupiah ditutup di level Rp15.832 per dolar AS pada Selasa (13/8). Mata uang Garuda menguat 122 poin atau plus 0,77 persen dari penutupan perdagangan sebelumnya.
Sementara, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah ke posisi Rp15.885 per dolar AS pada perdagangan sore ini.





Lihat Juga :



Viral BBM Kena Biaya Admin Rp5.000, Operator SPBU Pertamina Dipecat







@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));


Mata uang di kawasan Asia juga mayoritas kokoh. Rupee India tumbuh 0,01 persen, dolar Hong Kong naik 0,02 persen, yuan China plus 0,04 persen, dolar Singapura menguat 0,07 persen, ringgit Malaysia naik 0,12 persen, dan peso Filipina terbang 0,62 persen.
Sedangkan pelemahan sore ini dirasakan won Korea Selatan yang merosot 0,05 persen, baht Thailand jatuh 0,07 persen, dan yen Jepang ambruk 0,43 persen. 

                                
Mata uang negara maju juga dominan ditutup perkasa. Poundsterling Inggris naik 0,26 persen, euro Eropa minus 0,03 persen, franc Swiss jatuh 0,16 persen, dolar Kanada menguat 0,2 persen, dan dolar Australia melesat 0,32 persen.
Pengamat Komoditas dan Mata Uang Lukman Leong mengatakan rupiah dan mata uang regional pada umumnya sukses menaklukkan dolar AS. Ini terjadi di tengah sentimen risk on di pasar ekuitas.
""(Penguatan) Rupiah juga didukung oleh capital inflow ke Surat Berharga Negara (SBN) berkat ekspektasi pemangkasan suku bunga oleh Bank Indonesia (BI) pada pertemuan berikutnya,"" katanya kepada CNNIndonesia.com.
[Gambas:Video CNN]
 (skt/sfr)"
"Rupiah Gagal Bangkit, Ditutup Rp15.955 per Dolar AS",2024-08-19T14:50:45.838Z,"Senin, 12 Agu 2024 16:16 WIB",(skt/sfr),https://www.cnnindonesia.com/ekonomi/20240812161118-78-1132147/rupiah-gagal-bangkit-ditutup-rp15955-per-dolar-as,"Jakarta, CNN Indonesia -- Nilai tukar rupiah ditutup di level Rp15.955 per dolar AS pada Senin (12/8). Mata uang Garuda melemah 30 poin atau minus 0,19 persen dari penutupan perdagangan sebelumnya.Sementara, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah ke posisi Rp15.963 per dolar AS pada perdagangan sore ini.Lihat Juga :Akun Google Bisnis Sejumlah Hotel Diretas, Rekening Diganti-Dialihkan
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Mata uang di kawasan Asia juga mayoritas layu. Baht Thailand dan rupee India merosot 0,01 persen, dolar Singapura turun 0,05 persen, peso Filipina jatuh 0,10 persen, yuan China minus 0,15 persen, won Korea Selatan ambruk 0,38 persen, yen Jepang anjlok 0,48 persen, dan ringgit Malaysia melemah 0,56 persen.Penguatan sore ini hanya dirasakan dolar Hong Kong. Mata uang tersebut naik tipis 0,01 persen. 
                                Sedangkan mata uang negara maju dominan ditutup perkasa. Poundsterling Inggris naik 0,05 persen, euro Eropa plus 0,04 persen, franc Swiss jatuh 0,39 persen, dolar Kanada menguat 0,07 persen, dan dolar Australia melesat 0,29 persen.Pengamat Komoditas dan Mata Uang Lukman Leong mengatakan rupiah dan mata uang regional Asia pada umumnya takluk terhadap dolar AS.""Investor mengantisipasi data-data inflasi produsen dan konsumen, di mana akan memberikan petunjuk prospek suku bunga The Fed di tengah kekhawatiran resesi AS,"" katanya kepada CNNIndonesia.com.[Gambas:Video CNN] (skt/sfr)"
Rupiah Melemah ke Rp15.924 per Dolar AS Tutup Pekan Ini,2024-08-19T14:50:48.104Z,"Jumat, 09 Agu 2024 16:15 WIB",(ldy/sfr),https://www.cnnindonesia.com/ekonomi/20240809162617-78-1131274/rupiah-melemah-ke-rp15924-per-dolar-as-tutup-pekan-ini,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di level Rp15.924 per dolar AS pada Jumat (9/8) sore. Mata uang Garuda melemah 31 poin atau minus 0,19 persen dari perdagangan sebelumnya.Sementara, kurs referensi Bank Indonesia (BI), Jakarta Interbank Spot Dollar Rate (Jisdor) menempatkan rupiah di posisi Rp15.914 per dolar AS.Mayoritas mata uang di kawasan Asia berada di zona hijau. Yen Jepang menguat 0,03 persen, dolar Singapura menguat 0,18 persen, yuan China menguat 0,04 persen, peso Filipina menguat 0,10 persen, dan won Korea Selatan menguat 0,82 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Baht Thailand melemah 0,11 persen dan dolar Hong Kong melemah 0,01 persen pada penutupan perdagangan sore ini.Lihat Juga :Bos BCA Sebut e-Commerce Bakar Duit Rp80 T Demi Genjot Daya Beli Senada, mayoritas mata uang utama negara maju berada di zona hijau. Tercatat euro Eropa melemah 0,03 persen, poundsterling Inggris menguat 0,14 persen, dan franc Swiss menguat 0,14 persen.Sedangkan, dolar Australia menguat 0,02 persen, dan dolar Kanada juga menguat 0,01 persen.
                                Analis Pasar Lukman Leong mengatakan rupiah melemah disebabkan oleh aksi profit taking meski data penjualan ritel dalam negeri lebih kuat dari perkiraan.""Rupiah melemah terhadap dolar AS oleh aksi profit taking setelah penguatan tajam dalam beberapa sesi terakhir. Walau didukung oleh data penjualan ritel Indonesia yang lebih kuat, namun data menunjukkan inflasi di China yang lebih tinggi dari perkiraan memicu kekhawatiran akan prospek pelonggaran ekonomi dan stimulus pemerintah China kedepannya,"" ujar Lukman kepada CNNIndonesia.com.[Gambas:Video CNN] (ldy/sfr)"
Rupiah Dibuka Loyo Meski Masih Bertahan di Rp15 Ribu,2024-08-19T14:50:50.619Z,"Jumat, 09 Agu 2024 09:35 WIB",(ldy/pta),https://www.cnnindonesia.com/ekonomi/20240809090537-78-1131053/rupiah-dibuka-loyo-meski-masih-bertahan-di-rp15-ribu,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di level Rp15.937 per dolar AS pada Jumat (9/8) pagi. Mata uang Garuda melemah 43,5 poin atau 0,27 persen dari perdagangan sebelumnya.Mayoritas mata uang di kawasan Asia berada di zona hijau. Baht Thailand menguat 0,22 persen, peso Filipina menguat 0,03 persen, won Korea Selatan menguat 0,15 persen, dan yen Jepang menguat 0,02 persen, serta dolar Singapura menguat 0,04 persen.Sedangkan, dolar Hong Kong melemah 0,03 persen dan yuan China terpantau melemah 0,03 persen pada pembukaan perdagangan pagi ini.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Sementara, mata uang utama negara maju kompak berada di zona hijau. Tercatat euro Eropa menguat 0,01 persen, poundsterling Inggris menguat 0,02 persen, dan dolar Australia menguat 0,01 persen.Lihat Juga :ANALISISSemu di Balik Pertumbuhan Ekonomi 5 Persen yang Disyukuri Jokowi Sedangkan, franc Swiss menguat 0,07 persen dan dolar Kanada juga menguat 0,01 persen.Analis Pasar Lukman Leong memperkirakan rupiah melemah imbas penguatan dolar AS setelah data pengangguran yang dirilis secara resmi lebih kuat dari dugaan.""Rupiah diperkirakan akan melemah terhadap dolar AS yang rebound dan imbal hasil obligasi AS yang naik setelah data klaim pengangguran AS yang lebih kuat dari perkiraan. Investor menantikan data penjualan ritel Indonesia siang ini,"" ujar Lukman kepada CNNIndonesia.com.Hari ini, Lukman memperkirakan rupiah bergerak di rentang Rp15.850 per dolar AS sampai Rp16 ribu per dolar AS.[Gambas:Video CNN] (ldy/pta)"
Rupiah Unjuk Gigi Rp16.010 per Dolar AS Pagi Ini,2024-08-19T14:50:50.829Z,"Kamis, 08 Agu 2024 09:21 WIB",(ldy/sfr),https://www.cnnindonesia.com/ekonomi/20240808090957-78-1130598/rupiah-unjuk-gigi-rp16010-per-dolar-as-pagi-ini,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di level Rp16.010 per dolar AS pada Kamis (8/8) pagi. Mata uang Garuda menguat 25 poin atau 0,16 persen dari perdagangan sebelumnya.Mayoritas mata uang di kawasan Asia berada di zona hijau. Baht Thailand menguat 0,04 persen, yen Jepang menguat 0,27 persen, dan yuan China menguat 0,05 persen, dan dolar Hong Kong menguat 0,11 persen, serta dolar Singapura menguat 0,03 persen.Lihat Juga :ANALISISMenguak Biang Kerok Harga Tiket Pesawat RI Termahal Kedua di Dunia
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Sedangkan, peso Filipina melemah 0,11 persen dan won Korea Selatan melemah 0,25 persen pada pembukaan perdagangan pagi ini.Senada, mayoritas mata uang utama negara maju berada di zona hijau. Tercatat euro Eropa menguat 0,05 persen, dolar Australia menguat 0,09 persen, franc Swiss menguat 0,26 persen dan dolar Kanada juga menguat 0,09 persen. Sedangkan, poundsterling Inggris melemah 0,05 persen. 
                                Analis Pasar Lukman Leong memperkirakan rupiah melemah karena investor menunggu data resmi pengangguran Amerika Serikat (AS) yang bakal dirilis hari ini.""Rupiah diperkirakan akan berkonsolidasi dengan kecenderungan melemah terbatas di tengah sentimen di pasar yang kembali risk off. Dengan absennya data ekonomi penting hari ini, investor cenderung wait and see menantikan data klaim pengangguran AS malam ini,"" ujar Lukman kepada CNNIndonesia.com.Hari ini, Lukman memperkirakan rupiah bergerak di rentang Rp16 ribu per dolar AS - Rp16.100 per dolar AS.[Gambas:Video CNN] (ldy/sfr)"
Rupiah Unjuk Gigi ke Rp16.146 per Dolar AS Rabu Pagi,2024-08-19T14:50:54.460Z,"Rabu, 07 Agu 2024 09:38 WIB",(ldy/sfr),https://www.cnnindonesia.com/ekonomi/20240807093136-78-1130125/rupiah-unjuk-gigi-ke-rp16146-per-dolar-as-rabu-pagi,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di level Rp16.146 per dolar AS pada Rabu (7/8) pagi. Mata uang Garuda menguat 18 poin atau 0,11 persen dari perdagangan sebelumnya.Mayoritas mata uang di kawasan Asia berada di zona merah. Baht Thailand melemah 0,33 persen, yen Jepang melemah 1,79 persen, dan yuan China terpantau melemah 0,37 persen dan dolar Hong Kong melemah 0,03 persen, serta dolar Singapura juga melemah 0,18 persen.Sedangkan, peso Filipina menguat 0,14 persen dan won Korea Selatan menguat 0,08 persen pada pembukaan perdagangan pagi ini.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Sementara, mata uang utama negara maju kompak berada di zona hijau. Tercatat, poundsterling Inggris menguat 0,06 persen, dolar Australia menguat 0,34 persen, franc Swiss melemah 0,61 persen dan dolar Kanada juga menguat 0,04 persen.Lihat Juga :ANALISISKelas Menengah Merosot, Benarkah Alarm Krisis Ekonomi Mulai Menyala? Sedangkan, euro Eropa melemah 0,15 persen.Analis Pasar Lukman Leong memperkirakan rupiah menguat imbas data kenaikan risiko di bursa saham. Tapi penguatan akan terbatas menanti hasil PDB China dan Cadangan Devisa RI.
                                ""Rupiah berpotensi menguat terhadap dolar AS oleh kembalinya sentimen risk on di bursa ekuitas. Namun penguatan akan terbatas, investor menantikan rilis data perdagangan China dan cadev Indonesia siang ini,"" ujar Lukman kepada CNNIndonesia.com.Hari ini, Lukman memperkirakan rupiah bergerak di rentang Rp16.100 per dolar AS - Rp16.200 per dolar AS.[Gambas:Video CNN] (ldy/sfr)"
