Title,Scrapping Date,Article Date,Author,Link,Content
"BRI Buka Penawaran SBN SBR013, Investasi Aman untuk Masa Depan",2024-08-19T12:32:17.799Z,"Jumat, 14 Jun 2024 17:42 WIB",(rir/rir),https://www.cnnindonesia.com/ekonomi/20240614164719-625-1110034/bri-buka-penawaran-sbn-sbr013-investasi-aman-untuk-masa-depan,"Jakarta, CNN Indonesia -- PT Bank Rakyat Indonesia (Persero) Tbk (BRI) kembali dipercaya pemerintah sebagai mitra distribusi penjualan Surat Berharga Negara (SBN) seri terbaru. Saving Bonds Ritel dengan seri SBR013 ini menawarkan berbagai keunggulan bagi para investor.Bagi para investor, SBN telah lama dikenal sebagai alternatif investasi yang aman, mudah diakses, terjangkau, dan menguntungkan. Seri SBR013 ini menambah pilihan investasi dengan beberapa karakteristik unik.Salah satunya, SBR013 tidak dapat diperdagangkan di pasar sekunder hingga jatuh tempo, kecuali pada masa pelunasan sebelum jatuh tempo (early redemption). Obligasi ini juga memiliki kupon mengambang (floating with floor) yang dibayarkan setiap bulan, memberikan fleksibilitas dan keamanan bagi investor.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Direktur Surat Utang Negara DJPPR Kemenkeu, Deni Ridwan, optimis bahwa penawaran SBN ritel masih akan diminati oleh masyarakat. SBR013 diharapkan bisa mencapai target penjualan yang ditetapkan sebesar Rp15 triliun sampai Rp20 triliun.""Adapun tanggal penawaran SBR013 yakni 10 Juni 2024 hingga 04 Juli 2024, dengan tanggal kupon pertama tanggal 10 Agustus 2024 (normal cuopon) dan mulai berlakunya kupon berikutnya 11 Januari, 11 April, 11 Juli dan 11 Oktober setiap tahunnya. Tanggal Penjatahannya 08 Juli 2024 dan settlement pada 10 Juli 2024,"" bunyi keterangan tertulis, Jumat (14/6). Sementara itu, terdapat dua jenis SBR013 yang ditawarkan, yakni SBR013-T2 dengan jangka waktu dua tahun, imbalan atau tingkat kupon 6,45 persen. Kemudian ada SBR013-T4 dengan jangka waktu empat tahun dan imbalan/tingkat Kupon sebesar 6,60 persen.Terkait hal ini, Direktur Bisnis Konsumer BRI, Handayani, menjelaskan bahwa nasabah mendapat banyak keunggulan pembelian SBR013 melalui BRI.""Pembelian SBN melalui BRI bebas biaya pembukaan rekening surat berharga dan bebas biaya penyimpanan/kustodian sampai dengan jatuh tempo,"" ujarnya seperti dikutip dari keterangan tertulis.Di samping itu, ia melanjutkan, keuntungan yang didapatkan dengan saving bond ritel antara lain aman, dengan kupon dan pokok dijamin Negara. Lalu masih ada return yang menarik, lebih tinggi dari rata-rata Deposito, hingga bebas risiko suku bunga.SBR013 juga dilengkapi dengan sistem floating with floor, sehingga besar kupon akan mengikuti kenaikan suku bunga acuan Indonesia (BI Rate) yang di review setiap tiga bulan, dan tetap memiliki tingkat kupon minimal yang menguntungkan.Tak hanya itu saja, Handayani juga menambahkan bahwa investasinya cukup ringan dengan nilai minimum hanya Rp1 juta, tenor relatif pendek, serta mudah karena investasi secara online dapat dilakukan melalui situs SBN Online BRI dan aplikasi mobile banking BRImo.""Ke depan, BRI terus berkomitmen melakukan kegiatan literasi finansial dalam memberikan layanan One Stop Financial Solution kepada para nasabahnya. Dengan demikian diharapkan hal ini menjadi wujud serta bukti nyata bahwa BRI terus berkomitmen untuk tumbuh dan memberikan layanan terbaik kepada para nasabah,"" pungkasnya.Bagi calon investor yang ingin melakukan pembelian SBR013 melalui aplikasi BRImo, berikut cara transaksinya:Login ke aplikasi BRImoPilih menu investasi, pilih menu e-SBN, lalu tap beli SBNPilih produk SBN yang sedang aktif masa penawarannyaMasukkan nominal pembelian SBNPastikan telah melakukan konfirmasi syarat ketentuan pembelian produk SBNLanjutkan ke pembayaran apabila nominal sudah sesuaiInput PIN BRImoPembelian e-SBN (rir/rir)"
VIDEO: Pemerintah Terbitkan 2 Seri SBN dan Jamin Anti Gagal Bayar,2024-08-19T12:32:17.951Z,"Senin, 10 Jun 2024 17:30 WIB",Tidak Diketahui,https://www.cnnindonesia.com/tv/20240610161844-407-1108113/video-pemerintah-terbitkan-2-seri-sbn-dan-jamin-anti-gagal-bayar,
"Modal Asing Rp3,51 T Hengkang dari RI Selama Pekan Terakhir 2022",2024-08-19T12:32:23.002Z,"Sabtu, 31 Des 2022 12:07 WIB",(ryh/wiw),https://www.cnnindonesia.com/ekonomi/20221231115144-78-894400/modal-asing-rp351-t-hengkang-dari-ri-selama-pekan-terakhir-2022,"Jakarta, CNN Indonesia -- Bank Indonesia (BI) mencatat aliran modal asing keluar sebesar Rp3,51 triliun sepanjang 26 sampai 29 Desember 2022.Kepala Departemen Komunikasi BI, Erwin Haryono, menuturkan modal asing keluar berasal dari jual neto Rp0,88 triliun di pasar Surat Berharga Negara (SBN) dan jual neto Rp2,63 triliun di pasar saham.Sementara sepanjang Januari hingga 29 Desember 2022, modal asing keluar mencapai Rp128,98 triliun di pasar SBN. Sedangkan, aliran modal masuk mencapai Rp61,02 triliun di pasar saham.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Pilihan RedaksiErick Thohir Ingin BUMN Pangkas Utang Lewat Rights IssueOJK dan BEI Pede IHSG Bangkit Tahun DepanPPKM Dicabut, Rupiah Menguat ke Rp15.572 per Dolar AS""Selama 2022, berdasarkan data setelmen sampai dengan 29 Desember 2022, nonresiden jual neto Rp128,98 triliun di pasar SBN dan beli neto Rp61,02 triliun di pasar saham,"" terang Erwin melalui keterangan resmi, Jumat (30/12). Kemudian, premi Credit default swap (CDS) Indonesia 5 tahun turun ke 98,81 basis poin (bps) per 29 Desember 2022 dari 99,07 bps per 23 Desember 2022.BI juga mencatat nilai tukar rupiah dibuka pada level (bid) Rp15.640 per dolar AS dan yield SBN 10 tahun naik ke level 6,93 persen. Sementara, yield UST (US Treasury) note 10 tahun naik ke level 3,81 persen.""Bank Indonesia terus memperkuat koordinasi dengan Pemerintah dan otoritas terkait serta mengoptimalkan strategi bauran kebijakan untuk menjaga stabilitas makroekonomi dan sistem keuangan guna mendukung pemulihan ekonomi lebih lanjut,"" pungkas Erwin. (ryh/wiw)
                    

                    
                    





  




                    

                                                
    [Gambas:Video CNN]
    
        var relatedVideos = JSON.parse('{""pageUrl"":""https:\/\/cnnindonesia.com\/tv\/20240807171129-407-1130411\/video-destry-damayanti-jabat-lagi-deputi-gubernur-senior-bi"",""embedUrl"":""https:\/\/www.cnnindonesia.com\/embed\/video\/1130411"",""imageUrl"":""https:\/\/akcdn.detik.net.id\/visual\/2024\/08\/07\/thumbnail-1_169.jpeg"",""time"":96,""title"":""VIDEO: Destry Damayanti Jabat Lagi Deputi Gubernur Senior BI"",""animatedUrl"":""""}');"
BI Klaim Masih Punya Dana Rp128 T untuk Beli SBN Pemerintah,2024-08-19T12:32:25.089Z,"Jumat, 23 Des 2022 16:22 WIB",(ldy/agt),https://www.cnnindonesia.com/ekonomi/20221222172654-78-890912/bi-klaim-masih-punya-dana-rp128-t-untuk-beli-sbn-pemerintah,"Jakarta, CNN Indonesia -- Bank Indonesia mengklaim masih memiliki dana Rp128,58 triliun untuk membeli Surat Berharga Negara (SBN) pemerintah di pasar perdana sebagai standby buyer.Selama ini, BI hanya bisa membeli SBN di pasar sekunder. Namun, selama krisis pandemi covid-19, BI bisa membeli SBN pemerintah di pasar perdana, dengan syarat dan ketentuan yang ditetapkan melalui Surat Keputusan Bersama (SKB) I-III.""Sesuai KB III, Bank Indonesia juga masih akan melakukan pembelian SBN di pasar perdana sebesar Rp128,58 triliun,"" ujar Gubernur BI Perry Warjiyo dalam konferensi pers virtual, Kamis (22/12).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Jokowi Gaji Kepala Badan Bank Tanah Rp135 Juta, Lampaui PresidenSecara keseluruhan 2022, hingga 21 Desember, Bank Indonesia telah melakukan pembelian SBN di pasar perdana sebesar Rp144,53 triliun. Ini terdiri dari pelaksanaan SKB I sebesar Rp49,11 triliun dan SKB III sebesar Rp95,42 triliun. Ini adalah tahun terakhir BI membantu pemerintah dalam rangka program pemulihan ekonomi nasional serta pembiayaan penanganan kesehatan dan kemanusiaan guna penanganan dampak pandemi covid-19. Tahun depan, BI akan kembali membeli SBN pemerintah di pasar sekunder.
                                Menteri Keuangan Sri Mulyani pada Konferensi Pers Virtual APBN KiTa, Selasa (20/12) mengungkapkan penerbitan SBN pemerintah sebesar Rp531,4 triliun hingga 14 Desember 2022. Di mana jumlah itu termasuk dilakukan oleh BI dan akan segera berakhir di akhir tahun ini.""Dalam hal ini kita sampaikan SKB ini akan berakhir di tahun ini, karena kita memang sudah menganggap situasi krisis akibat pandemi sudah berakhir, sehingga kita dalam jaga independensi BI, kita akan kembali kepada kondisi normal, yaitu di mana pemerintah jaga sisi APBN dan BI dari sisi moneternya,"" pungkasnya.[Gambas:Video CNN] (ldy/agt)"
"Jokowi Klaim SBN yang Dikuasai Asing Tinggal 14,8 Persen",2024-08-19T12:32:28.156Z,"Rabu, 21 Des 2022 12:11 WIB",(pku/dzu),https://www.cnnindonesia.com/ekonomi/20221221112918-532-890172/jokowi-klaim-sbn-yang-dikuasai-asing-tinggal-148-persen,"Jakarta, CNN Indonesia -- Presiden Joko Widodo mengatakan mayoritas surat berharga negara (SBN) didominasi oleh investor dalam negeri. Hanya 14,8 persen yang dikuasai investor asing.""SBN saat itu 38,5 persen dikuasai oleh asing. Sekarang tinggal 14,8 persen yang dikuasai asing,"" kata Jokowi di Jakarta, Rabu (21/12).SBN merupakan produk investasi yang diterbitkan dan dijamin pemerintah. Dana yang dihimpun dari penjualan SBN dipakai untuk mengongkosi pembiayaan negara.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Jokowi soal Masalah Ekonomi Saat Ini: Semua Teori Sulit DipakaiIa menjelaskan kalau SBN masih dikuasai asing, kondisi ini membahayakan perekonomian Indonesia. Pasalnya, kalau kondisi makro ekonomi dalam negeri goyah sedikit saja, para investor asing langsung menarik uangnya dari pasar SBN.""Goyah sedikit makro kita, keluar berbondong-bondong (investor asing). Goyah pasti kurs kita,"" ungkapnya. Kementerian Keuangan mencatat per 15 Desember 2022, porsi kepemilikan asing terhadap SBN sebesar 14,64 persen. Porsi ini jauh menurun dari porsi penguasaan investor asing pada 2019, yakni 38,57 persen.Kepemilikan surat utang negara kini didominasi investor domestik. Mayoritas pemegang SBN antara lain Bank Indonesia (BI), investor domestik yang mencakup bank, asuransi, dana pensiun, serta masyarakat.[Gambas:Video CNN] (pku/dzu)
                    

                    
                    





  




                    

                                                
    [Gambas:Video CNN]
    
        var relatedVideos = JSON.parse('{""pageUrl"":""https:\/\/cnnindonesia.com\/tv\/20240610161844-407-1108113\/video-pemerintah-terbitkan-2-seri-sbn-dan-jamin-anti-gagal-bayar"",""embedUrl"":""https:\/\/www.cnnindonesia.com\/embed\/video\/1108113"",""imageUrl"":""https:\/\/akcdn.detik.net.id\/visual\/2024\/06\/10\/thumbnail-2_169.jpeg"",""time"":103,""title"":""VIDEO: Pemerintah Terbitkan 2 Seri SBN dan Jamin Anti Gagal Bayar"",""animatedUrl"":""""}');"
"Biayai Covid-19, BI Beli SBN Pemerintah Rp1.444 T Selama 3 Tahun",2024-08-19T12:32:30.108Z,"Senin, 21 Nov 2022 22:00 WIB",(ldy/agt),https://www.cnnindonesia.com/ekonomi/20221121195340-78-876708/biayai-covid-19-bi-beli-sbn-pemerintah-rp1444-t-selama-3-tahun,"Jakarta, CNN Indonesia -- Gubernur Bank Indonesia Perry Warjiyo mengatakan pembelian surat berharga negara (SBN) pemerintah oleh bank sentral mencapai Rp1.444 triliun hingga akhir tahun.Pembelian itu dilakukan melalui surat keputusan bersama (SKB) I sampai III antara Bank Indonesia dan Kementerian Keuangan dalam menangani kebutuhan biaya selama pandemi covid-19. Di mana, BI bertugas sebagai standby buyer di pasar perdana.""Jadi kalau ditotal sampai akhir tahun, progonsa kami beli SBN di pasar perdana sekitar Rp1.400 triliun selama tiga tahun untuk dukungan kepada APBN dalam rangka penanganan covid-19 maupun pemulihan ekonomi,"" ujar Perry dalam rapat kerja dengan Komisi XI DPR, Senin (21/11).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :DPR ke ESDM: 90 Persen Tambang Nikel RI Dikuasai China Pak MenteriAdapun rincian pembelian SBN tersebut terdiri dari yang sudah terealisasi sebesar Rp974,09 triliun melalui SKB I sebesar Rp26,61 triliun dan melalui SKB II sebesar Rp397,56 triliun. Sedangkan, melalui SKB III total komitmen sebesar Rp438,98 triliun. Dari jumlah tersebut yang sudah terealisasi sampai 15 November 2022 sebesar Rp310,4 triliun dan yang masih tersisa untuk pembelian sampai akhir tahun Rp128,58 triliun.""Jadi kami siap-siap pembelian, berkoordinasi dengan Kementerian Keuangan,"" jelasnya.Lihat Juga :Uni Eropa Kalahkah RI dalam Sengketa Larangan Ekspor Nikel di WTOSebagai informasi, adapun burden sharing BI dan Kemenkeu dilakukan untuk saling membantu atau berbagi beban dalam penanganan pandemi covid-19. Dengan kerjasama ini, BI bisa membeli SBN pemerintah di pasar perdana (selama ini hanya di pasar sekunder) dengan imbal hasil yang lebih murah.Adapun SKB burden sharing ini sejalan dengan isi Undang-Undang Nomor 2 Tahun 2020 yang ditetapkan pemerintah dengan aturan pandemi lainnya.[Gambas:Video CNN] (ldy/agt)"
Kepemilikan Asing Atas Surat Berharga Negara Turun Jadi 19 Persen,2024-08-19T12:32:33.600Z,"Senin, 24 Jan 2022 11:42 WIB",(wel/agt),https://www.cnnindonesia.com/ekonomi/20220124105912-532-750364/kepemilikan-asing-atas-surat-berharga-negara-turun-jadi-19-persen,"Jakarta, CNN Indonesia -- Kementerian Keuangan menyebut pandemi covid-19 mendatangkan berkah terselubung (blessing in disguise). Pasalnya, Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan Luky Alfirman  mengatakan pandemi membuat semakin banyak masyarakat RI tertarik untuk menjadi investor.Walhasil, kepemilikan asing atas obligasi negara pun terus turun. Dia mencatat sebelum pandemi covid-19 kepemilikan asing terhadap Surat Berharga Negara (SBN) sebesar 38 persen-39 persen.Lalu, kepemilikan terus turun menjadi 25 persen pada 2020 dan kembali merosot menjadi 19,3 persen pada akhir 2021.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Harga Emas Antam Hari Ini 24 Januari 2021, Loyo ke Rp944 Ribu""Dengan pandemi satu ya blessing in disguise adalah kita bisa menggali investor domestik. Ternyata saat ini proporsi kepemilikan asing turun terus. Tahun lalu bisa turun hanya jadi 25 persen, akhir 2021 turun menjadi hanya 19,3 persen,"" jelas dia pada peluncuran ORI021 pada Senin (24/1).Ia menyebut tren positif mengurangi ketergantungan dan kerentanan akan peran asing itu bermuara pada satu kunci, yaitu memperluas basis investor domestik. Luky melihat basis investor RI, khususnya investor ritel atau individu, sangat besar. Tak muluk-muluk melihat total populasi hingga ratusan juta, ia menyebut angka Wajib Pajak (WP) pribadi dan pertumbuhan pesat Single Investor Identification (SID) merupakan indikator nyata akan potensi tersebut.[Gambas:Video CNN]Misalnya ia mencatat WP pribadi saat ini mencapai sekitar 17 juta orang. Ia melihat kolam WP pribadi bisa menjadi calon investor SBN di masa depan.Sedangkan angka SID saat ini adalah sebesar 7,5 juta, sementara yang pernah membeli SBN baru sekitar 600 ribuan orang saja.""Di sini kita bisa melihat peluang sangat besar, bagaimana di DJPPR dan mitra distribusi ayo kita garap bagaimana menggali potensi,"" ujarnya.Lihat Juga :Kacaukan Formasi ASN, Tjahjo Perintahkan Rekrutmen Honorer Disetop (wel/agt)"
"BI Beli SBN di Pasar Perdana Rp142,54 T per 15 Oktober 2021",2024-08-19T12:32:36.718Z,"Selasa, 19 Okt 2021 18:30 WIB",(aud/bir),https://www.cnnindonesia.com/ekonomi/20211019160320-78-709758/bi-beli-sbn-di-pasar-perdana-rp14254-t-per-15-oktober-2021,"Jakarta, CNN Indonesia -- Bank Indonesia (BI) mengklaim telah membeli surat berharga negara (SBN) di pasar perdana sebesar Rp142,54 triliun. Jumlah itu terhitung sejak awal tahun ini hingga 15 Oktober 2021.Gubernur BI Perry Warjiyo mengungkapkan pembelian SBN ini dilakukan lewat lelang utama sebesar Rp67,08 triliun dan lelang tambahan (green shoe option/GSO) sebesar Rp75,46 triliun.Selain itu, BI juga menambah likuiditas (quantitative easing) di perbankan sebesar Rp129,92 triliun, terhitung sejak awal Januari 2021 hingga 15 Oktober 2021.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :BNI Dikabarkan Akuisisi Bank MayoraInjeksi likuiditas itu dilakukan melalui pembelian SBN dari pasar sekunder, penyediaan likuiditas ke perbankan dengan mekanisme term-repurchase agreement (repo), dan penurunan giro wajib minimum (GWM).""Dengan ekspansi moneter tersebut, kondisi likuiditas perbankan pada September 2021 sangat longgar,"" ungkap Perry dalam konferensi pers, Kamis (19/8). Perry mengatakan bukti likuiditas perbankan longgar terlihat dari rasio alat likuid terhadap dana pihak ketiga (AL/DPK) yang tinggi, yakni 33,53 persen secara tahunan. Selain itu, pertumbuhan DPK sebesar 7,69 persen secara tahunan.Lihat Juga :BI Tahan Suku Bunga Acuan 3,5 Persen pada Oktober 2021Sementara, likuiditas perekonomian juga terlihat meningkat. Hal itu terlihat dari jumlah uang beredar dalam arti sempit (M1) yang naik 11,2 persen dan uang beredar dalam arti luas (M2) naik 8 persen pada September 2021.""Pertumbuhan uang beredar terutama didukung oleh kredit perbankan yang mengindikasikan semakin meningkatnya pembiayaan bagi pemulihan ekonomi nasional,"" jelas Perry.[Gambas:Video CNN] (aud/bir)"
"Asing Lepas Surat Utang dan Saham RI Rp5,76 T",2024-08-19T12:32:37.690Z,"Jumat, 01 Okt 2021 20:11 WIB",(uli/age),https://www.cnnindonesia.com/ekonomi/20211001175256-92-702239/asing-lepas-surat-utang-dan-saham-ri-rp576-t,"Jakarta, CNN Indonesia -- Bank Indonesia (BI) mencatat investor asing melepas kepemilikan surat utang dan saham di pasar keuangan tanah air mencapai Rp5,76 triliun pada 27-30 September 2021. Kendati begitu, realisasinya lebih rendah dari pekan lalu mencapai Rp5,92 triliun.""Berdasarkan data transaksi 27-30 September 2021, nonresiden di pasar keuangan domestik jual neto Rp5,76 triliun,"" ungkap Direktur Eksekutif sekaligus Kepala Departemen Komunikasi BI Erwin Haryono dalam keterangan resmi, Jumat (1/10).Erwin merinci investor asing melepas kepemilikan Surat Berharga Negara (SBN) mencapai Rp4,69 triliun. Sementara pelepasan saham di pasar modal sekitar Rp1,07 miliar.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Cara Bubuhkan Meterai Elektronik Melalui Portal E-MeteraiKendati begitu, secara akumulasi, Indonesia masih menerima aliran modal asing (capital inflow) senilai Rp9,28 triliun dari 1 Januari sampai 30 September 2021.Bersamaan dengan hengkangnya investor asing, tingkat premi risiko Credit Default Swaps (CDS) Indonesia lima tahun naik dari 78,43 basis poin (bps) menjadi 80,69 bps. Begitu pula dengan tingkat imbal hasil (yield) SBN bertenor 10 tahun yang meningkat ke 6,35 persen. Yield SBN ini lebih tinggi dari yield surat utang AS, US Treasury bertenor 10 tahun di kisaran 1,48 persen. Tapi serupa dengan SBN, yield surat utang negeri Paman Sam juga naik pada pekan ini.Sementara nilai tukar rupiah berada di kisaran Rp14.310 per dolar AS pada akhir perdagangan sore ini. Sedangkan kurs referensi JISDOR BI menempatkan rupiah di Rp14.315 per dolar AS.[Gambas:Video CNN] (uli/age)"
"Cari Dana Segar Rp10 T, Pemerintah Bakal Lelang 6 Sukuk",2024-08-19T12:32:40.634Z,"Kamis, 02 Sep 2021 14:20 WIB",(wel/bir),https://www.cnnindonesia.com/ekonomi/20210902121645-532-688767/cari-dana-segar-rp10-t-pemerintah-bakal-lelang-6-sukuk,"Jakarta, CNN Indonesia -- Pemerintah akan melelang surat berharga syariah negara (SBSN) atau sukuk negara pada pekan depan, Selasa (7/9) mendatang. Pemerintah menetapkan target indikatif sebesar Rp10 triliun.Seri SBSN yang akan dilelang adalah seri Surat Perbendaharaan Negara-Syariah (SPN-S) dan Project Based Sukuk (PBS) untuk memenuhi sebagian dari target pembiayaan APBN 2021.Dilansir dari keterangan resmi Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, Kamis (2/9), terdapat enam sukuk yang akan dilelang pada pekan depan. Lelang terdiri dari satu seri SPN-S dan lima seri PBS.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Uang Kripto Menghijau, Ethereum dan Dogecoin Paling KinclongRinciannya, seri SPN-S 08032022 jatuh tempo pada 8 Maret 2022 dengan imbal hasil diskonto. Lalu, seri PBS031 menawarkan imbal hasil 4 persen dan jatuh tempo pada 15 Juli 2024.Selanjutnya, seri PBS032 menawarkan imbal hasil 4,87 persen dan jatuh tempo pada 15 Juli 2026. Kemudian, seri PBS029 menawarkan imbal hasil 6,37 persen dan jatuh tempo pada 15 Maret 2034.Lihat Juga :Batal Dapat PMN Tahun Depan, IFG Bakal Ambil Utang Bank Rp2 TUntuk seri PBS004 menawarkan imbal hasil 6,1 persen dan jatuh tempo pada 15 Februari 2037, serta seri PBS028 menawarkan imbal hasil 7,75 persen dan jatuh tempo pada 15 Oktober 2046.Lelang dibuka pada pukul 09.00 WIB, 7 September 2021 dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama.Sedangkan setelmen akan dilaksanakan pada tanggal 9 September 2021 atau 2 hari kerja setelah tanggal pelaksanaan lelang (T+2).[Gambas:Video CNN] (wel/bir)"
