Title,Scrapping Date,Article Date,Author,Link,Content,Category
SBN Ritel Masih Menarik di Tengah Ekspektasi Pemangkasan Suku Bunga,2024-09-24T16:13:48.494Z,,Premium User Only,https:////insight.kontan.co.id/news/sbn-ritel-masih-menarik-di-tengah-ekspektasi-pemangkasan-suku-bunga,Premium Content - Not Scraped,insight
"Di Tengah Ekspektasi Pemangkasan Suku Bunga, Instrumen SBN Ritel Tetap Menarik",2024-09-24T16:13:48.670Z,"Rabu, 03 April 2024 / 04:40 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/di-tengah-ekspektasi-pemangkasan-suku-bunga-instrumen-sbn-ritel-tetap-menarik,"KONTAN.CO.ID - JAKARTA. Pemerintah menargetkan perolehan penjualan Surat Berharga Negara (SBN) ritel capai Rp 160 triliun. Analis menilai, target tersebut berpotensi tercapai di tengah ekspektasi pemangkasan suku bunga. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mengatakan, dengan delapan SBN ritel yang akan ditawarkan maka target tersebut pasti akan tercapai. Sebab, ia melihat likuiditas di masyarakat cukup baik. ""Di sisi lain, instrumen investasi ini didukung oleh rate dan pajak yang lebih menarik dibandingkan kompetitornya, deposito,"" ujarnya kepada Kontan.co.id, Selasa (2/4). Minat investor juga terlihat dari dua penawaran SBN ritel yang telah dilakukan pemerintah. Pada penawaran ORI025, pemerintah memperoleh Rp 23,92 triliun dan SR020 sebesar Rp 21,35 triliun. Baca Juga: Pemerintah Akan Terbitkan ST012 pada April 2024, Imbal Hasilnya Diprediksi Sekitar 6% Di tengah ekspektasi pemangkasan suku bunga, Ramdhan menilai penawaran SBN ritel masih kompetitif. Terlebih, saat ini yield SBN tenor 10 sebagai acuan masih tertekan. Adapun saat ini yield SBN tenor 10 berkisar 6,6%-6,7% dari sebelumnya yang berada di bawah 6,5%. Ia pun memperkirakan untuk penawaran SBN ritel selanjutnya, yakni ST012, pemerintah masih akan menawarkan kupon yang menarik. Hal itu didukung Fed yang tak kunjung menurunkan suku bunganya. ""Minimal sama atau sedikit di atas SR020,"" katanya. Sebagai pengingat, pemerintah menawarkan batas bawah kupon SR020 sebesar 6,25%. Baca Juga: Mirae Asset:Pasar Obligasi Stabil Hingga Semester II, Saat Trading SBN Jangka Pendek Hingga akhir tahun, pemerintah masih akan menawarkan enam SBN ritel. Yakni, ST012, SBR013, SWR005, SR021, ORI026, ST013. Dari produk-produk itu, Ramdhan menilai ORI diperkirakan memperoleh penjualan terbesar. ""Daya tarik ORI ini karena bersifat tradeable,"" imbuhnya. Cek Berita dan Artikel yang lain di Google News",investasi
Instrumen SBN Ritel Tetap Menarik di Tengah Ekspektasi Pemangkasan Suku Bunga,2024-09-24T16:13:48.815Z,"Selasa, 02 April 2024 / 15:21 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/instrumen-sbn-ritel-tetap-menarik-di-tengah-ekspektasi-pemangkasan-suku-bunga,"KONTAN.CO.ID - JAKARTA. Pemerintah menargetkan perolehan penjualan Surat Berharga Negara (SBN) ritel capai Rp 160 triliun. Analis menilai, target tersebut berpotensi tercapai di tengah ekspektasi pemangkasan suku bunga. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mengatakan, dengan delapan SBN ritel yang akan ditawarkan maka target tersebut pasti akan tercapai. Sebab, ia melihat likuiditas di masyarakat cukup baik. ""Di sisi lain, instrumen investasi ini didukung oleh rate dan pajak yang lebih menarik dibandingkan kompetitornya, deposito,"" ujarnya kepada Kontan.co.id, Selasa (2/4). Minat investor juga terlihat dari dua penawaran SBN ritel yang telah dilakukan pemerintah. Pada penawaran ORI025, pemerintah memperoleh Rp 23,92 triliun dan SR020 sebesar Rp 21,35 triliun. Baca Juga: Pemerintah Akan Terbitkan ST012 pada April 2024, Imbal Hasilnya Diprediksi Sekitar 6% Di tengah ekspektasi pemangkasan suku bunga, Ramdhan menilai penawaran SBN ritel masih kompetitif. Terlebih, saat ini yield SBN tenor 10 sebagai acuan masih tertekan. Adapun saat ini yield SBN tenor 10 berkisar 6,6%-6,7% dari sebelumnya yang berada di bawah 6,5%. Ia pun memperkirakan untuk penawaran SBN ritel selanjutnya, yakni ST012, pemerintah masih akan menawarkan kupon yang menarik. Hal itu didukung Fed yang tak kunjung menurunkan suku bunganya. ""Minimal sama atau sedikit di atas SR020,"" katanya. Sebagai pengingat, pemerintah menawarkan batas bawah kupon SR020 sebesar 6,25%. Baca Juga: Mirae Asset:Pasar Obligasi Stabil Hingga Semester II, Saat Trading SBN Jangka Pendek Hingga akhir tahun, pemerintah masih akan menawarkan enam SBN ritel. Yakni, ST012, SBR013, SWR005, SR021, ORI026, ST013. Dari produk-produk itu, Ramdhan menilai ORI diperkirakan memperoleh penjualan terbesar. ""Daya tarik ORI ini karena bersifat tradeable,"" imbuhnya. Cek Berita dan Artikel yang lain di Google News",investasi
Asing Masih Enggan Investasi di SBN Meski Bank Indonesia Menahan Suku Bunga,2024-09-24T16:13:48.914Z,"Kamis, 22 Februari 2024 / 14:55 WIB",Reporter: Akmalal Hamdhi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/asing-masih-enggan-investasi-di-sbn-meski-bank-indonesia-menahan-suku-bunga,"KONTAN.CO.ID - JAKARTA. Aliran dana asing di pasar Surat Berharga Negara (SBN) masih akan terbatas. Kendati Bank Indonesia (BI) kembali mempertahankan suku bunga, Indonesia masih belum menarik mata investor asing. Senior Economist KB Valbury Sekuritas Fikri C. Permana melihat faktor yang lebih dominan terhadap prospek aliran dana (inflow) asing ke dalam negeri adalah penurunan suku bunga The Fed. Meskipun Bank Indonesia tetap mempertahankan posisi suku bunga acuan di level 6% pada pertemuan 20 - 21 Februari 2024. Fikri menjelaskan, apabila Bank Sentral Amerika Serikat (AS) semakin lama menahan suku bunga di level tinggi, maka pasar akan terus berhati-hati masuk ke negara berkembang. Ini karena investor asing ingin menghindari risiko jika berinvestasi di luar AS. Seperti diketahui, The Fed kembali mempertegas bahwa pemangkasan suku bunga tidak akan dilakukan lebih awal yang diekspektasikan mulai bulan Maret 2024. Perkembangan terkini mengindikasikan penurunan baru terjadi mula bulan Juni mendatang. Baca Juga: Penawaran ORI025 Ditutup, Penjualan di Bawah Target, Hanya Capai Rp 23,98 Triliun Fikri menyebut, kondisi suku bunga tinggi di Amerika telah memancing keluar dana asing di pasar Surat Berharga Negara (SBN) Indonesia yang tercatat outflow sekitar Rp 7,05 triliun secara year to date hingga 20 Februari 2024. Walau demikian, Fikri melihat kekosongan investor asing di pasar surat utang telah ditutupi oleh investor domestik yang dibantu Bank Indonesia, dana pensiun ataupun individu. “Artinya aliran dana asing yang keluar atau net foreign outflow masih terkendali,” ungkap Fikri saat dihubungi Kontan.co.id, Rabu (21/2). Menurut Fikri, narasi dari pejabat The Fed dalam FOMC Minutes malam ini bakal menjadi kunci terkait prospek asing di pasar obligasi tanah air. Kalau ada isyarat suku bunga mulai dipangkas, maka positif bagi emerging market seperti Indonesia. Sebaliknya, jika pemangkasan suku bunga benar diundur ke bulan Juni, maka aliran dana asing ke Indonesia diperkirakan baru mulai menggeliat pada akhir kuartal II-2024. Di sisi lain, Senior Vice President, Head of Retail, Product Research & Distribution Divion Henan Putihrai Asset Management (HPAM) Reza Fahmi memandang bahwa ketidakpastian hasil Pemilu menjadi salah satu faktor yang mempengaruhi keputusan investor. Baca Juga: Belum Capai Target, Penjualan ORI025 Lambat Dipengaruhi Faktor Pemilu Terlepas dari, tren aliran modal asing menunjukkan preferensi lebih kuat terhadap saham daripada surat utang pada awal tahun ini. Oleh karena itu, Reza memproyeksi, potensi aliran dana asing ke pasar surat utang setelah lebih jelasnya pilpres kemungkinan satu putaran. Selain itu, Bank Indonesia yang menahan suku bunga mengikuti The Fed hingga Juni 2024 juga mempengaruhi prospek aliran dana asing.",investasi
"Suku Bunga Turun, Asing Berpotensi Masuk Lagi ke Pasar SBN Domestik",2024-09-24T16:13:49.730Z,,Premium User Only,https:////insight.kontan.co.id/news/suku-bunga-turun-asing-berpotensi-masuk-lagi-ke-pasar-sbn-domestik,Premium Content - Not Scraped,insight
Mengintip Prospek SBN Ritel Saat Suku Bunga Acuan Berpotensi Turun pada Tahun 2024,2024-09-24T16:13:50.540Z,,Premium User Only,https:////insight.kontan.co.id/news/mengintip-prospek-sbn-ritel-saat-suku-bunga-acuan-berpotensi-turun-pada-tahun-2024,Premium Content - Not Scraped,insight
Asuransi Bintang: Kenaikan Suku Bunga Berkepanjangan Bakal Kerek Bunga SBN,2024-09-24T16:13:50.682Z,"Selasa, 28 November 2023 / 17:32 WIB",Reporter: Arif Ferdianto | Editor: Herlina Kartika Dewi,https:////keuangan.kontan.co.id/news/asuransi-bintang-kenaikan-suku-bunga-berkepanjangan-bakal-kerek-bunga-sbn,"KONTAN.CO.ID - JAKARTA. PT Asuransi Bintang Tbk (ASBI) memperkirakan kenaikan suku bunga acuan yang berkepanjangan akan mengerek bunga Surat Berharga Negara (SBN) yang baru diterbitkan. Presiden Direktur Asuransi Bintang HSM Widodo mengatakan perusahaan asuransi memiliki kewajiban di mana 20% dari total aset investasi harus disimpan dalam bentuk SBN. “Dan ini sudah berlangsung cukup lama dengan history interest rate yang sudah ada sebelumnya,” ujarnya kepada Kontan.co.id, Selasa (28/11). Widodo menjelaskan, apabila kenaikan suku bunga berkepanjangan tentu akan menaikkan suku bunga SBN yang baru diterbitkan, sehingga akan menurunkan harga pasar SBN yang lama dengan suku bunga yang lebih rendah. Baca Juga: Kenaikan Suku Bunga Berkepanjangan akan Berdampak ke Premi Asuransi, Begini Kata AAUI “Apabila SBN ini dicatatkan dengan katagori Available For Sale, penurunan harga pasar SBN yg ada harus dibukukan ke dalam unrealized losses,” jelasnya. Widodo mengungkapkan, memang ASBI mampu membukukan investasi dengan Hold to Maturity Method, namun ini akan memberikan konsekuensi bahwasannya SBN tidak dapat terjual bila ada kebutuhan likuiditias. “Permasalah tersebut di atas telah menyebabkan bangkrutnya Silicon Valey Bank (SVB) di US,” ungkapnya. Widodo memproyeksikan, di tahun depan pihaknya telah memasang target dengan memulai lebih awal IFRS17 yang rencananya akan di mulai pada awal tahun 2025. “Kami sudah memulai transformasi lebih awal dengan perubahan KPI pencapaian target Premi menjadi Pencapaian target Contractual Service Margin (CSM) secara progresif dari kuartal I sampai kuartal IV,” terangnya. Dia bilang, progresifitas ini ditunjukan dengan diakuinya pencapaian target premi dengan pembobotan sebesar 50% di kuartal I dan terus diperkecil menjadi 0% di kuartal IV. Sementara untuk bobot CSM, 50% di kuartal I dan 100% di kuartal IV. “Tahun ini (target premi) kita sengaja contraction di Rp 70 miliar untuk portfolio cleansing menuju IFRS17, tahun depan dicanangkan akan Rp 450 miliar,” tandasnya. Sebelumnya, Deputi Komisioner Bidang Pengawasan Perasuransian, Penjaminan dan Dana Pensiun OJK, Iwan Pasila mengatakan inflasi yang cenderung meningkat beberapa periode ke depan berpotensi pengambil kebijakan menaikkan suku bunga lebih lama (higher for longer). Baca Juga: AAUI Catat Premi Asuransi Umum Naik 10,1% di Kuartal III-2023 “Dengan kenaikan suku bunga yang panjang ini memberikan dampak pada unrealized loss dari surat utang, di sisi lain mempengaruhi daya beli masyarakat sehingga potensi membeli premi terjadi terkendala,” ujarnya beberapa waktu lalu. Iwan mengungkapkan, sektor perasuransian menghadapi tantangan yang tak mudah dan perlu segera diantisipasi. Beberapa tantangan itu antara lain ketidakpastian ekonomi global yang berpengaruh pada pengelolaan investasi. “Kami mengingatkan kepada industri asuransi untuk tidak hanya fokus kepada portofolio investasinya tapi juga melihat dari sisi portofolio produknya. Jangan sampai risiko yang kita bangun dari pendapatan premi, tidak kita praktekkan dengan baik,” ungkapnya. Cek Berita dan Artikel yang lain di Google News",keuangan
"Tekan Target Penerbitan SBN 2023, Beban Bunga Utang Bisa Lebih Rendah",2024-09-24T16:13:50.723Z,"Selasa, 14 November 2023 / 20:58 WIB",Reporter: Bidara Pink | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/tekan-target-penerbitan-sbn-2023-beban-bunga-utang-bisa-lebih-rendah,"KONTAN.CO.ID - JAKARTA. Pemerintah memangkas target penerbitan surat berharga negara (SBN) pada tahun 2023 dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2023. Revisi target penerbitan SBN pada tahun ini tertuang dalam Peraturan Presiden (Perpres) no. 75 Tahun 2023, sebagai revisi dari Perpres no. 130 Tahun 2023 tentang perincian APBN 2023. Dalam beleid yang diteken Presiden RI Joko Widodo tersebut, pemerintah mematok target penerbitan SBN pada tahun 2023 menjadi Rp 437,83 triliun. Sebelumnya, pemerintah menargetkan penerbitan SBN pada tahun 2023 akan mencapai Rp 712,9 triliun. Baca Juga: Hore! Kuota Pemesanan ST011 Ditambah Jadi Rp 10 Triliun Kepala Ekonom Bank Central Asia (BCA) David Sumual menilai, penerbitan SBN yang akan lebih rendah dari perkiraan semula akan meringankan beban bunga utang dari penerbitan obligasi. ""Tentu akan meringankan. Mengingat, ketidakpastian global masih tinggi,"" terang David kepada Kontan.co.id, Senin (13/11). Namun, David mengapresiasi pendapatan negara yang jauh melebihi ekspektasi. Ini seiring dengan pemulihan ekonomi dan kenaikan harga komoditas pada awal tahun 2023. Inilah yang kemudian menjadi salah satu alasan bahwa pemerintah bisa menekan penarikan utang termasuk penerbitan obligasi. Baca Juga: Penawaran Capai Rp 33,7 Triliun, Pemerintah Serap Rp 19 Triliun pada Lelang SUN Cek Berita dan Artikel yang lain di Google News",nasional
"Suku Bunga The Fed Naik Lagi, Kemenkeu Yakin Tidak Berdampak Signifikan ke SBN",2024-09-24T16:13:50.901Z,"Minggu, 07 Mei 2023 / 12:33 WIB",Reporter: Siti Masitoh | Editor: Wahyu T.Rahmawati,https:////nasional.kontan.co.id/news/suku-bunga-the-fed-naik-lagi-kemenkeu-yakin-tidak-berdampak-signifikan-ke-sbn,"KONTAN.CO.ID - JAKARTA. Kenaikan suku bunga Fed Funds Rate (FFR) dikhawatirkan bisa memberikan dampak negatif pada beban utang pemerintah, baik utang luar negeri maupun obligasi global, dan juga penerbitan Surat Berharga Negara (SBN). Federal Reserve mengumumkan kenaikan suku bunga acuan sebesar 25 basis poin (bps) menjadi 5%-5,25% dalam rapat FOMC, Rabu (3/5) waktu setempat atau Kamis dini hari waktu Indonesia. Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto mengatakan, kenaikan suku bunga FFR 25 bps masih sesuai dengan ekspektasi pasar. Sehingga tidak terlalu banyak pergerakan setelah perubahan suku bunga. Investor sudah priced-in, artinya ekspektasi pelaku pasar telah tercermin pada harga instrumen investasi saat ini. “Kenaikan FFR 25 bps hasil FOMC pada 2-3 Mei tersebut kami perkirakan tidak berdampak signifikan terhadap pasar SBN Indonesia,” tutur Suminto kepada Kontan.co.id, Jumat (5/5). Baca Juga: Reksadana Saham Cetak Return Tertinggi Selama Bulan April 2023 Untuk diketahui, kenaikan suku bunga The Fed ini menandai kenaikan ke-10 berturut-turut yang dilakukan The Fed dalam upaya untuk mengurangi likuiditas ke pasar keuangan dan menahan laju inflasi yang tinggi. Keputusan The Fed diambil saat inflasi berada di level 5% dari tahun ke tahun di bulan Maret. Laju inflasi tersebut masih berada di posisi tertinggi dalam beberapa dekade, meskipun turun dari level tertinggi pada tahun 2022.  Cek Berita dan Artikel yang lain di Google News",nasional
"Dibayangi Bunga The Fed, Dana Asing Keluar dari Pasar SBN",2024-09-24T16:13:51.167Z,,Premium User Only,https:////insight.kontan.co.id/news/dibayangi-bunga-the-fed-dana-asing-keluar-dari-pasar-sbn,Premium Content - Not Scraped,insight
