Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Bunga The Fed Naik, Begini Efeknya Bagi IHSG, Rupiah, dan Yield SUN",2024-09-24T16:13:38.420Z,,Premium User Only,https:////insight.kontan.co.id/news/bunga-the-fed-naik-begini-efeknya-bagi-ihsg-rupiah-dan-yield-sun,Premium Content - Not Scraped,insight
"Antisipasi Bunga Naik, Peserta Lelang SUN Minta Yield Tinggi",2024-09-24T16:13:38.693Z,,Premium User Only,https:////insight.kontan.co.id/news/antisipasi-bunga-naik-peserta-lelang-sun-minta-yield-tinggi,Premium Content - Not Scraped,insight
"Bunga The Fed Ditaksir Naik Lagi, Bagaimana Nasib Kinerja Obligasi (SUN)?",2024-09-24T16:13:39.893Z,,Premium User Only,https:////insight.kontan.co.id/news/bunga-the-fed-ditaksir-naik-lagi-bagaimana-nasib-kinerja-obligasi-sun,Premium Content - Not Scraped,insight
"Efek Bunga The Fed, Peserta Lelang SUN Minta Yield Tinggi",2024-09-24T16:13:40.120Z,,Premium User Only,https:////insight.kontan.co.id/news/efek-bunga-the-fed-peserta-lelang-sun-minta-yield-tinggi,Premium Content - Not Scraped,insight
"Bunga The Fed Naik, Imbal Hasil SUN Tenor 10 Tahun Bisa Melesat Jadi 8%",2024-09-24T16:13:40.339Z,,Premium User Only,https:////insight.kontan.co.id/news/bunga-the-fed-naik-imbal-hasil-sun-tenor-10-tahun-bisa-melesat-jadi-8,Premium Content - Not Scraped,insight
"Tunggu Arah Bunga, Investor Serbu SUN Tenor Pendek",2024-09-24T16:13:41.222Z,,Premium User Only,https:////insight.kontan.co.id/news/tunggu-arah-bunga-investor-serbu-sun-tenor-pendek,Premium Content - Not Scraped,insight
Pasar SUN Mengantisipasi Kenaikan Bunga The Fed Lebih Cepat,2024-09-24T16:13:41.530Z,,Premium User Only,https:////insight.kontan.co.id/news/pasar-sun-mengantisipasi-kenaikan-bunga-the-fed-lebih-cepat,Premium Content - Not Scraped,insight
"Suku bunga turun, begini proyeksi pergerakan yield SUN",2024-09-24T16:13:41.635Z,"Minggu, 21 Februari 2021 / 15:29 WIB",Reporter: Danielisa Putriadita | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/suku-bunga-turun-begini-proyeksi-pergerakan-yield-sun,"KONTAN.CO.ID - JAKARTA. Yield Surat Utang Negara (SUN) mulai bergerak naik setelah yield US Treasury menyentuh level tertinggi. Alhasil, dampak penurunan suku bunga BI-7 Day Reverse Repo Rate (BI7DRR) dalam menurunkan yield SUN belum terasa. Berdasarkan Bloomberg, Jumat (19/2), yield US Treasury kembali menyentuh rekor tertinggi sejak Februari 2020 di level 1,34%. Kompak, yield SUN tenor 10 thuan bergerak naik menjadi di level 6,52% dari level 6,2% di Selasa (16/2). Ekonom Samuel Sekuritas Ahmad Mikail Zaini mengatakan yield US Treasury terus naik karena defisit anggaran AS membesar. Defisit tersebut bertambah karena AS berencana mengeluarkan stimulus besar-besaran. Alhasil, potensi penerbitan surat utang AS bertambah sementara permintaan pasar belum seimbang. ""Pertanyaanya siapa yang akan menyerap US Treasury, kepemilikan surat utang AS oleh China menurun, Jepang juga stagnan, sementara The Fed tidak mungkin menyerap semua,"" kata Mikail. Di tengah yeild US Treasury bergerak naik, BI justru menurunkan suku bunga. Mikail mengatakan dampak penurunan suku bunga BI saat yield US Treasury dalam tren naik dapat membuat spread antara yield US Treasury dan yield SUN semakin tipis. Hingga akhirnya mendorong pelaku pasar keluar dari pasar obligasi maupun rupiah (capital outflow). Baca Juga: Era Suku Bunga Rendah, Investasi di Obligasi dan Saham bisa Jadi Pilihan Sayangnya, Mikail memproyeksikan yield US treasury ke depan masih akan naik. ""Jika yield US Treasury naik ke 1,5% maka yield SUN berpotensi naik ke level 6,7%-6,9%,"" kata Mikail. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario mengatakan kenaikan yield US Treasury juga dipengaruhi oleh sentimen negatif dari pandemi yang tidak kunjung mereda baik di AS mupun Indonesia. Secara teori Ramdhan mengatakan penurunan suku bunga harusnya bisa membuat yield turun atau harga SUN naik. Namun, di tengah kondisi yang tidak pasti akibat pandemi, ujungnya hanya membuat investor bersikap wait and see. Jika pandemi sudah reda dan tren suku bunga rendah masih dijalankan, Ramdhan memproyeksikan yield SUN tahun ini berpotensi menurun ke bawah 6%. ""Asing berpotensi masuk lagi, likuiditas juga masih baik selama tren suku bunga rendah secara global masih diterapkan,"" kata Ramdhan. Head of Economics Research Pefindo Fikri C Permana menambahkan, di satu sisi melihat yield SUN yang terus naik di atas 6%, seharusnya bisa semakin menarik investor asing untuk masuk. ""Sebenarnya yield di atas 6% sangat prospektif dan menarik apalagi di tengah BI yang percaya diri menurunkan suku bunga acuannya,"" kata Fikri. Suku bunga turun juga menandakan risiko dalam negeri rendah, inflasi pun dapat terjaga di level rendah. Dengan begitu, investor berpotensi dapatkan real interest rate yang lebih tinggi. Faktor yang membuat inflasi diproyeksikan tetap terjaga adalah perbaikan ekonomi yang belum terjadi secepat seperti yang diharapkan.  ""Dengan yield SUN di 6,5% dan inflasi di 2% maka ada spread 450 basis poin ini lebih menarik dibanding yield US treasury, tetapi dengan catatan rupiah tetap bergerak stabil terhadap rupiah,"" kata Fikri.  Cek Berita dan Artikel yang lain di Google News",investasi
Yield SUN masih naik meski ada penurunan suku bunga,2024-09-24T16:13:41.683Z,"Senin, 16 Maret 2020 / 21:15 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/yield-sun-masih-naik-meski-ada-penurunan-suku-bunga,"KONTAN.CO.ID - JAKARTA. Imbal hasil atau yield Surat Utang Negara (SUN) Indonesia saat ini tengah berada dalam tren kenaikan. Di sisi lain, The Fed telah memangkas suku bunganya menjadi 0,25%. Menjadikannya rekor terendah sejak krisis finansial yang terjadi pada 2008 silam. Banyak kalangan menilai keputusan The Fed tersebut membuka ruang bagi Bank Indonesia (BI) untuk ikut melakukan pemangkasan suku bunga. Saat ini, suku bunga acuan BI sendiri berada di level 4,75%. Direktur Panin Asset Management (Panin AM) Rudiyanto tak memungkiri secara teori, setiap suku bunga turun maka harga obligasi akan naik. Dengan demikian akan menguntungkan bagi reksadana pendapatan tetap. Tapi untuk saat ini, Rudiyanto melihat hal tersebut tidak terjadi. Baca Juga: Reksadana pendapatan tetap akan diuntungkan pemangkasan suku bunga “Tetapi untuk saat ini fluktuasi jangka pendek akan tetap bisa terjadi meski pemangkasan suku bunga dilakukan. Karena pemangkasan ini imbas dari persebaran wabah corona semakin meluas di luar China termasuk Indonesia,” terang Rudiyanto kepada Kontan.co.id, Senin (16/3). Head of Investment Avrist Asset Management (Avrist AM) Farash Farich juga menyerukan pendapat yang sama. Farash menyebut, The Fed sudah turunkan 150 bps pada tahun ini sementara BI baru 25 bps. Sehingga menurutnya, besar kemungkinan BI akan memangkas suku bunga. “Harga obligasi tidak serta merta naik, justru akan mengikuti tren global yang cenderung risk off. Jadi harga akan turun karena investor keluar dari risky assets termasuk emerging markets bond dan equity,” ujar Farash. Baca Juga: IHSG tumbang sepekan, kinerja reksadana pun ikut jeblok Sementara Fixed Income Portfolio Manager Sucorinvest Asset Management Adi Saputra melihat pemangkasan suku bunga oleh BI memang tidak bisa dihindari. Namun, ia menilai sebaiknya BI tidak meniru langkah The Fed yang memangkas secara sekaligus. Pemangkasan secara berkala menjadi langkah yang lebih tepat. “Kalau dilakukan secara agresif yang dikhawatirkan spread kita jadi tidak terlalu atraktif terhadap US Treasury. Saat ini level 550-650 bps sudah level paling atraktif dan harus dijaga,” kata Adi. Adi melihat situasi saat ini seperti yang terjadi pada 2008 silam. Saat itu, setelah krisis moneter membaik, likuiditas di Amerika Serikat menjadi berlimpah. Sementara yield di AS saat itu rendah dan membuat para investor mengalihkan investasinya ke emerging market, termasuk Indonesia yang punya yield menarik. Baca Juga: The Fed pangkas suku bunga, investor khawatir kemungkinan terburuk terjadi “Kalau tren ini berulang, saat mereda, likuiditas yang ada di market akan dialirkan ke return atraktif yang ada di emerging market. Nah kalau kita bisa menjaga level yield di 500-600 bps, begitu keadaan membalik Indonesia akan dapat inflow besar seperti 2008 silam,” jelas Adi. Cek Berita dan Artikel yang lain di Google News",investasi
"Bunga acuan terpangkas, antusiasme investor di lelang SUN akan meningkat",2024-09-24T16:13:41.844Z,"Jumat, 20 September 2019 / 17:15 WIB",Reporter: Dimas Andi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/bunga-acuan-terpangkas-antusiasme-investor-di-lelang-sun-akan-meningkat,"KONTAN.CO.ID - JAKARTA. Euforia penurunan suku bunga acuan dipercaya masih akan terasa hingga pelaksanaan lelang Surat Utang Negara (SUN) pada Selasa (24/9) mendatang. Minat investor akan meningkat saat lelang nanti. Associate Director Fixed Income Anugerah Sekuritas Indonesia Ramdhan Ario Maruto menilai, pemangkasan suku bunga acuan baik oleh The Federal Reserves maupun Bank Indonesia (BI) sebenarnya sudah diekspektasikan oleh para pelaku pasar. Lebih khusus untuk BI, ruang penurunan suku bunga acuan sangat terbuka seiring besarnya arus modal asing yang masuk ke pasar keuangan Indonesia dalam beberapa bulan terakhir. Alhasil, tinggal masalah waktu saja bagi BI untuk memotong suku bunga acuan. Karena sudah diekspektasikan, kondisi pasar obligasi cenderung stabil. Dalam hal ini, tidak terjadi pergerakan yang signifikan dari yield atau harga SUN di pasar sekunder. Baca Juga: Imbal hasil SN berpotensi turun usai penurunan suku bunga acuan BI Walau begitu, antusiasme investor akan tetap tinggi pada saat lelang SUN nanti. “Biar bagaimanapun, pemangkasan suku bunga acuan selalu menjadi katalis positif bagi pasar obligasi,” ujar dia, Jumat (20/9). Ditambah lagi, ada kemungkinan pemerintah akan meniadakan lelang Surat Berharga Negara (SBN) di pertengahan Desember nanti. Pasalnya, kebijakan front loading pemerintah membuat target penerbitan SBN melalui lelang bisa saja terpenuhi sebelum akhir tahun. “Suplai obligasi di pasar primer mulai terbatas sehingga potensi investor untuk lebih meramaikan lelang sangat terbuka,” imbuhnya. Ramdhan memandang, seiring stabilnya kondisi pasar dan efek penurunan suku bunga acuan, bukan mustahil nilai penawaran yang masuk pada lelang SUN nanti bisa di atas Rp 45 triliun. Baca Juga: Tekanan eksternal turut mengangkat imbal hasil SUN Selain itu, dorongan sentimen positif penurunan suku bunga acuan ditambah tensi perang dagang yang sedang mereda berpotensi membuat penawaran masuk pada lelang SUN nanti tidak hanya terkonsentrasi pada seri-seri tenor pendek saja. Seri-seri tenor panjang atau di atas 10 tahun juga diyakini bakal laris saat lelang nanti. Sebagai catatan, dalam lelang SUN nanti, pemerintah akan menawarkan tujuh seri seperti SPN03191226, SPN12200619, FR0081, FR0082, FR0080, FR0079, dan FR0076. Cek Berita dan Artikel yang lain di Google News",investasi
