Title,Scrapping Date,Article Date,Author,Link,Content,Category
Bunga Utang Bengkak Imbas Kurs & Yield SBN,2024-09-24T16:12:35.751Z,,Premium User Only,https:////insight.kontan.co.id/news/bunga-utang-bengkak-imbas-kurs-yield-sbn,Premium Content - Not Scraped,insight
"Rupiah Melemah, Pembayaran Bunga Utang 2024 Bengkak Rp 1,5 Triliun",2024-09-24T16:12:35.915Z,"Kamis, 11 Juli 2024 / 04:00 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/rupiah-melemah-pembayaran-bunga-utang-2024-bengkak-rp-15-triliun,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) memperkirakan belanja untuk pembayaran bunga utang pada tahun ini akan membengkak. Hal ini imbas nilai tukar rupiah yang terus melemah. Direktur Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu Suminto mengatakan bahwa pembayaran bunga utang meningkat sekitar Rp 1,5 triliun, yakni dari sebesar Rp 497,31 triliun menjadi sekitar Rp 498 triliun lantaran depresiasi rupiah. ""Jadi sekitar Rp 1,5 triliun deviasi. Ya di antaranya kan kurs, enggak banyak berubah hanya sekitar Rp 1,5 triliun,"" kata Suminto di Gedung DPR RI, Selasa (9/7). Baca Juga: Defisit APBN 2024 Diprediksi Bengkak Jadi 2,7%, Faisal Basri Ungkap Biang Keroknya Kendati membengkak, Suminto bilang, biaya pembayaran bunga utang tersebut masih sesuai dengan prediksi pemerintah. Oleh karena itu, untuk mengantisipasi hal tersebut, pemerintah mengurangi porsi penerbitan Surat Berharga Negara (SBN) pada tahun ini sebesar Rp 241,6 triliun. ""Jadi masih on track, makanya outlook kita hanya deviasi Rp 1,5 triliun dari Rp 497 triliun ke Rp 498 triliun koma sekian, dan itu karena kurs tadi karena kan penerbitan juga berkurang,"" katanya. Mengutip Buku II Nota Keuangan APBN 2024, Pembayaran bunga utang mengalami tren peningkatan seiring dengan penambahan outstanding utang pemerintah, dimana dari alokasi pembayaran bunga utang tahun 2019 sebesar Rp 275,9 triliun meningkat menjadi Rp 441,4 triliun pada tahun 2023. Baca Juga: Bunga Akan Turun, Imbal Hasil SUN Bisa Melandai Pembayaran bunga utang didominasi oleh bunga utang dalam negeri mengingat porsi instrumen SBN yang dominan dalam portofolio utang. Pemerintah telah berkomitmen untuk mengoptimalkan potensi pendanaan utang dari sumber domestik untuk mendukung upaya kemandirian pembiayaan. Melalui kerja sama pembiayaan yang telah dilakukan antara Pemerintah dan Bank Indonesia, bunga utang berhasil ditekan agar tidak membebani APBN dan menjaga kesinambungan fiskal dalam jangka menengah-panjang. Cek Berita dan Artikel yang lain di Google News",nasional
"Beban Bunga Utang 2025 Berpotensi Meningkat, Pemerintah Diminta Lakukan Efisiensi",2024-09-24T16:12:35.959Z,"Rabu, 10 Juli 2024 / 20:04 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/beban-bunga-utang-2025-berpotensi-meningkat-pemerintah-diminta-lakukan-efisiensi,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) memperkirakan belanja untuk pembayaran bunga utang pada tahun 2024 ini akan meningkat sekitar Rp 1,5 triliun dari rencana awal sebesar Rp 497,31 triliun dalam APBN 2024. Chief Economist PT Bank Syariah Indonesia Tbk (BSI), Banjaran Surya Indrastomo, mengatakan, peningkatan pembayaran bunga utang tahun 2024 yang diprakirakan lebih tinggi dibandingkan rencana awal terutama didorong oleh perbedaan asumsi dasar makro ekonomi yang digunakan selama penyusunan APBN 2024. Asumsi Dasar Ekonomi Makro (ADEM) APBN 2024 menggunakan nilai tukar sebesar Rp 15.000, dan Yield Surat Berharga Negara (SBN) tenor 10 tahun sebesar 6,70%. Baca Juga: Beban Bunga Utang Membengkak, Ekonom Perkirakan Tahun Depan Bisa Berkurang Namun demikian, seiring kondisi ketidakpastian akibat tensi geopolitik yang berlangsung lebih lama yang mendorong penurunan inflasi global dalam jalur yang lebih lambat, maka suku bunga tinggi berlangsung lebih lama. Bahkan terjadi peningkatan suku bunga domestik, sehingga realisasi nilai tukar tercatat lebih depresiatif dan yield cenderung lebih tinggi. Hingga 9 Juli 2024, Banjaran bilang, rata-rata nilai tukar adalah sebesar Rp 15.918 per dolar AS, dan yield SBN adalah sebesar 6,81%. Untuk itu, terdapat perbedaan asumsi nilai tukar sebesar Rp 918, dan yield sebesar 11 basis poin (bps). ""Perbedaan asumsi tersebut tidak hanya akan berdampak pada pembayaran bunga utang, tapi juga ke belanja pemerintah lainnya,"" kata Banjaran. Dengan perbedaan tersebut, berdasarkan analisis sensitivitas APBN 2024, dirinya memperkirakan akan berdampak ke bertambahnya defisit sebesar Rp 58,2 triliun. Di sisi lain, penerimaan negara berpotensi lebih rendah, capaian lima bulan awal di tahun 2024 baru sebesar 40,1% dari APBN. Baca Juga: Pembayaran Bunga Utang 2024 Bengkak Rp 1,5 Triliun Imbas Pelemahan Rupiah ""Dengan demikian, maka ruang fiskal memang berpotensi lebih terbatas tahun ini,"" terangnya. Di tahun depan, Banjaran menduga pembayaran bunga utang akan tetap tinggi dan meningkat seiring dengan peningkatan outstanding  utang negara dan ketidakpastian yang tinggi yang berpotensi menahan apresiasi nilai tukar, meski di kondisi suku bunga yang diprakirakan sudah lebih rendah dari tahun ini. Oleh karena itu, efisiensi belanja bunga utang menjadi penting. Efisiensi itu antara lain melalui optimalisasi strategi rencana penambahan utang baru tahun anggaran berjalan, antara lain melalui penentuan komposisi dan timing pengadaan utang tahun berjalan. Cek Berita dan Artikel yang lain di Google News",nasional
"Beban Bunga Utang Membengkak, Ekonom Perkirakan Tahun Depan Bisa Berkurang",2024-09-24T16:12:36.109Z,"Rabu, 10 Juli 2024 / 19:52 WIB",Reporter: Dendi Siswanto | Editor: Putri Werdiningsih,https:////nasional.kontan.co.id/news/beban-bunga-utang-membengkak-ekonom-perkirakan-tahun-depan-bisa-berkurang,"KONTAN.CO.ID-JAKARTA Kepala Ekonom Bank Permata, Josua Pardede menyebut ada beberapa hal yang menjadi penyebab membengkaknya bunga utang pada APBN 2024. Namun tahun depan, nilainya diperkirakan akan berkurang. Josua bilang penyebab naiknya beban pembayaran bunga utang pada tahun ini adalah pelemahan nilai tukar Rupiah yang sudah di atas Rp 16.000 per dolar AS. Angka ini berada di atas asumsi nilai tukar Rupiah dalam asumsi makro APBN 2024 yang sebesar Rp 15.000 per dolar AS. ""Namun kenaikannya cenderung terbatas yakni hanya Rp 1,5 triliun karena komposisi SBN domestik kita lebih besar daripada komposisi SBN valas sehingga eksposur pelemahan nilai tukar masih cenderung terkendali,"" ujar Josua kepada Kontan.co.id, Rabu (10/7). Pada outlook APBN 2024 terbaru, Josua bilang, target pendapatan negara cenderung tidak berubah karena meski penerimaan pajak turun namun PNBP berpotensi meningkat. Kendati begitu, memang belanja negara mengalami kenaikan salah satunya karena naiknya beban bunga utang. Defisit fiskal ditargetkan akan bertambah menjadi 2,7% dari PDB dari sebelumnya 2,29% dari PDB. Baca Juga: Pembayaran Bunga Utang 2024 Bengkak Rp 1,5 Triliun Imbas Pelemahan Rupiah Ia menduga, pembayaran beban bunga utang tahun depan ada peluang untuk menurun seiring dengan diturunkannya target penerbitan SBN tahun ini, serta memuncaknya SBN jatuh tempo di tahun depan. ""Selain itu, terbukanya ruang pemotongan suku bunga global, terutama dari the Fed, juga memberikan peluang untuk penurunan BI-rate dan penguatan nilai tukar Rupiah,"" katanya. Sebelumnya Kementerian Keuangan (Kemenkeu) memperkirakan belanja untuk pembayaran bunga utang pada tahun ini akan meningkat sekitar Rp 1,5 triliun dari rencana sebesar Rp 497,31 triliun dalam APBN 2024. Mengutip Buku II Nota Keuangan APBN 2024, pembayaran bunga utang mengalami tren peningkatan seiring dengan penambahan outstanding utang pemerintah. Alokasi pembayaran bunga utang tahun 2019 sebesar Rp 275,9 triliun meningkat menjadi Rp 441,4 triliun pada tahun 2023. Pembayaran bunga utang didominasi oleh bunga utang dalam negeri karena porsi instrumen SBN yang dominan dalam portofolio utang. Pemerintah telah berkomitmen untuk mengoptimalkan potensi pendanaan utang dari sumber domestik untuk mendukung upaya kemandirian pembiayaan. Melalui kerja sama pembiayaan yang telah dilakukan antara Pemerintah dan Bank Indonesia, bunga utang berhasil ditekan agar tidak membebani APBN dan menjaga kesinambungan fiskal dalam jangka menengah-panjang. Cek Berita dan Artikel yang lain di Google News",nasional
"Pembayaran Bunga Utang 2024 Bengkak Rp 1,5 Triliun Imbas Pelemahan Rupiah",2024-09-24T16:12:36.354Z,"Rabu, 10 Juli 2024 / 18:12 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pembayaran-bunga-utang-2024-bengkak-rp-15-triliun-imbas-pelemahan-rupiah,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) memperkirakan belanja untuk pembayaran bunga utang pada tahun ini akan membengkak. Hal ini imbas nilai tukar rupiah yang terus melemah. Direktur Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu Suminto mengatakan bahwa pembayaran bunga utang meningkat sekitar Rp 1,5 triliun, yakni dari sebesar Rp 497,31 triliun menjadi sekitar Rp 498 triliun lantaran depresiasi rupiah. ""Jadi sekitar Rp 1,5 triliun deviasi. Ya di antaranya kan kurs, enggak banyak berubah hanya sekitar Rp 1,5 triliun,"" kata Suminto di Gedung DPR RI, Selasa (9/7). Baca Juga: Defisit APBN 2024 Diprediksi Bengkak Jadi 2,7%, Faisal Basri Ungkap Biang Keroknya Kendati membengkak, Suminto bilang, biaya pembayaran bunga utang tersebut masih sesuai dengan prediksi pemerintah. Oleh karena itu, untuk mengantisipasi hal tersebut, pemerintah mengurangi porsi penerbitan Surat Berharga Negara (SBN) pada tahun ini sebesar Rp 241,6 triliun. ""Jadi masih on track, makanya outlook kita hanya deviasi Rp 1,5 triliun dari Rp 497 triliun ke Rp 498 triliun koma sekian, dan itu karena kurs tadi karena kan penerbitan juga berkurang,"" katanya. Mengutip Buku II Nota Keuangan APBN 2024, Pembayaran bunga utang mengalami tren peningkatan seiring dengan penambahan outstanding utang pemerintah, dimana dari alokasi pembayaran bunga utang tahun 2019 sebesar Rp 275,9 triliun meningkat menjadi Rp 441,4 triliun pada tahun 2023. Baca Juga: Bunga Akan Turun, Imbal Hasil SUN Bisa Melandai Pembayaran bunga utang didominasi oleh bunga utang dalam negeri mengingat porsi instrumen SBN yang dominan dalam portofolio utang. Pemerintah telah berkomitmen untuk mengoptimalkan potensi pendanaan utang dari sumber domestik untuk mendukung upaya kemandirian pembiayaan. Melalui kerja sama pembiayaan yang telah dilakukan antara Pemerintah dan Bank Indonesia, bunga utang berhasil ditekan agar tidak membebani APBN dan menjaga kesinambungan fiskal dalam jangka menengah-panjang. Cek Berita dan Artikel yang lain di Google News",nasional
"Bunga Utang Membengkak, Faisal Basri : Biasanya yang Dikorbankan Subsidi Rakyat",2024-09-24T16:12:36.549Z,"Rabu, 10 Juli 2024 / 15:46 WIB",Reporter: Dendi Siswanto | Editor: Putri Werdiningsih,https:////nasional.kontan.co.id/news/bunga-utang-membengkak-faisal-basri-biasanya-yang-dikorbankan-subsidi-rakyat,"KONTAN.CO.ID-JAKARTA Ekonom Senior Faisal Basri menyoroti pembayaran bunga utang yang terus meningkat dalam Anggaran Pendapatan dan Belanja Negara (APBN). Jika terus berlanjut, ini berpotensi mengurangi subsidi untuk rakyat. Menurutnya, kondisi tersebut akan semakin membebani fiskal kedepannya. Pasalnya pembayaran bunga utang yang terus meningkat ini juga diikuti dengan kenaikan utang pemerintah yang semakin bertambah. ""Bayar bunganya ini naik terus mencapai 20% lebih dari total belanja pemerintah pusat. Pertanyaannya kenapa naik? ya karena utangnya nambah dan bunganya juga naik,"" ujar Faisal kepada awak media di Gedung DPR RI, Rabu (10/7). Konsekuensi dari pembayaran bunga utang yang membengkak tersebut, kata Faisal, membuat anggaran-anggaran untuk kesejahteraan masyarakat terpaksa harus dipangkas. Ini dikarenakan pembayaran bunga utang bersifat wajib. ""Bayar bunga (utang) wajib, kalau gak kan kita default. Jadi prioritasnya adalah bayar bunga dulu, biasanya yang dikorbankan subsidi buat rakyat,"" katanya. Baca Juga: Faisal Basri Sebut Pemerintah Beri Sinyal Harga Pertalite dan Solar Bakal Naik Sebelumnya, Direktur Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) Suminto mengungkapkan bahwa pembayaran bunga utang jatuh tempo yang direncanakan dalam APBN 2024 mengalami pembengkakan sekitar Rp 1,5 triliun. Hal ini disebabkan oleh nilai tukar rupiah yang terus berada di level Rp 16.000 per dolar AS atau jauh dari asumsi nilai tukar rupiah dalam APBN 2024 yang sebesar Rp 15.000 per dolar AS. Anggaran belanja bunga utang dalam APBN 2024 pun akhirnya membengkak dari Rp 497,3 triliun menjadi Rp 498 triliun. ""Jadi sekitar Rp 1,5 triliun deviasi. Ya diantaranya kan kurs, enggak banyak berubah hanya sekitar Rp 1,5 triliun,"" kata Suminto. Mengutip Buku II Nota Keuangan RAPBN 2024, pembayaran bunga utang sebesar Rp 497,3 triliun pada 2024 tersebut terdiri dari pembayaran bunga utang dalam negeri sebesar Rp 456,8 triliun, dan pembayaran bunga utang luar negeri sebesar Rp 40,4 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
Mampukah Cadangan Devisa Menyokong Pembayaran Bunga Utang Pemerintah?,2024-09-24T16:12:36.590Z,"Minggu, 07 Juli 2024 / 15:22 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/mampukah-cadangan-devisa-menyokong-pembayaran-bunga-utang-pemerintah,"KONTAN.CO.ID - JAKARTA. Posisi cadangan devisa Indonesia pada akhir Juni 2024 tercatat sebesar US$ 140,2 miliar, meningkat dibandingkan dengan posisi pada akhir Mei 2024 sebesar US$ 139,0 miliar. Jika dilihat dari komponennya, cadangan devisa Juni 2024 ini terdiri dari, valuta asing sebesar US$ 125,3 miliar, naik dari Mei 2024 US$ 124,1 miliar, IMF Reserve sebesar US$1,042 miliar, turun dari Mei 2024 US$ 1,048 miliar. Kemudian, SDRs sebesar US$ 7,297 miliar, turun dari Mei 2024 US$ 7,352 miliar, komponen Emas sebesar US$ 5,878 miliar, turun dari Mei 2024 US$ 5,911 miliar, dan komponen aset cadangan devisa lainnya US$ 633,4 juta, naik dari Mei 2024 US$ 627,1 juta. Baca Juga: Mantap! Cadangan Devisa Indonesia di Juni 2024 Naik Jadi US$ 140,2 Miliar Ekonom Bank Danamon Hosianna Evalia Situmorang menyampaikan, komponen cadangan devisa valuta asing terdiri dari utang luar negeri, penerimaan ekspor, devisa hasil ekspor (DHE) dan Foreign Direct Investment (FDI). Ana sapaan akrab Hosianna menyampaikan, melihat posisi cadangan devisa saat ini, nampaknya pemerintah masih mampu membayar utang jatuh tempo dalam beberapa tahun ke depan. “Kita lihat masih cukup ya, karena kan tools devisa pemerintah kan cukup banyak. Seperti SDR salah satunya itu kan bisa diambil bisa juga enggak oleh pemerintah,” tutur Ana kepada Kontan, Minggu (7/7). Di samping itu, Ana juga melihat ruang fiskal Indonesia saat ini masih fleksibel, sehingga pemerintah masih leluasa dalam mengelola cadangan devisa, namun tetap menyesuaikan dengan perkembangan dan momentum global. Ia menambahkan, jika suku bunga global bergerak turun, maka ada baiknya pemerintah lebih memanfaatkan utang dari pinjaman luar negeri atau menerbitkan global bonds. Baca Juga: Rupiah Berpotensi Menguat, Cadangan Devisa Indonesia Diprediksi Meningkat Sebaliknya jika suku bunga global masih tinggi, diutamakan menerbitkan obligasi domestik.  “Disamping memang menaikkan cadangan devisa dari ekspor, FDI dan juga DHE,” ungkapnya. Untuk diketahui, total utang jatuh tempo Indonesia pada 2025-2029 mencapai Rp 3.748,24 triliun, dengan proporsi utang terdiri dari 70,75% atau Rp 5.889,20 triliun merupakan utang yang berasal dari Surat Berharga Negara (SBN) domestik, 17,20% atau Rp 1.433,90 triliun berasal dari SBN valuta asing, dan 12,06% atau Rp1.005,32 triliun dari pinjaman. Cek Berita dan Artikel yang lain di Google News",nasional
Belanja Pemerintah Pusat Didominasi Pembayaran Bunga Utang dan Belanja Pegawai,2024-09-24T16:12:36.630Z,"Sabtu, 06 Juli 2024 / 20:53 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/belanja-pemerintah-pusat-didominasi-pembayaran-bunga-utang-dan-belanja-pegawai,"KONTAN.CO.ID - JAKARTA. Bukan belana modal, belanja pemerintah pusat mayoritas digunakan untuk pembayaran bunga utang dan belanja pegawai. Institute for Development of Economics and Finance (Indef) mencatat, komposisi belanja pemerintah pusat masih didominasi pembayaran bunga utang dan belanja pegawai. Sedangkan belanja modal terus menurun setiap tahunnya. Direktur Program Indef Eisha M. Rachbini menilai, seharusnya anggaran yang dikeluarkan pemerintah paling banyak disalurkan melalui belanja modal, sebab akan besar kontribusinya terhadap pertumbuhan ekonomi. Sebagai contoh, pada 2023 lalu, proporsi anggaran belanja pegawai tercatat sebesar 18,8%, pembiayaan bunga utang sebesar 19%. Sedangkan proporsi belanja modal hanya sebesar 11,3%. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 “Untuk 2024 dan 2025 ketika kita tau akan ada banyak utang jatuh tempo, dan ini dirasa masih cukup tinggi dibandingkan belanja pegawai atau belanja modal,” tutur Eisha dalam agenda diskusi publik Indef, Kamis (4/7). Indef mencatat, pada tahun ini jumlah proporsi pembayaran bunga utang juga meningkat yakni dari 19% pada 2023 menjadi 20,3% pada 2024. Sedangkan belanja modal turun menjadi 10% dibandingkan 11,3% pada 2023. Untuk diketahui, pemerintah akan membayar bunga utang sebesar Rp 497,3 triliun. Pembayaran bunga utang itu meningkat 11,55% dari realisasi pembayaran bunga utang di 2023 yang sebesar Rp 439,88 triliun. Sebelumnya, Wakil Direktur Institute for Development of Economics and Finance (Indef) Eko Listiyanto menilai, beban bunga utang tersebut sudah cukup membebani ruang fiskal yang semakin terbatas, di samping adanya kewajiban pemerintah membayar utang jatuh tempo. Baca Juga: Pemerintah dan DPR Sepakati Pemberian PMN Terhadap 17 BUMN, Berikut Rinciannya Jika dibandingkan dengan anggaran belanja negara, pembayaran bunga utang tersebut setara 14,96% dari anggaran belanja negara tahun ini yang nilainya mencapai Rp 3.325,1 triliun. “Di sisi lain, upaya meningkatkan penerimaan negara juga semakin tidak mudah di saat ekonomi global melambat dan harga komoditas melesu,” tutur Eko. Cek Berita dan Artikel yang lain di Google News",nasional
Pembayaran Bunga Utang dan Belanja Pegawai Masih Mendominasi Belanja Pemerintah Pusat,2024-09-24T16:12:36.677Z,"Jumat, 05 Juli 2024 / 04:35 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pembayaran-bunga-utang-dan-belanja-pegawai-masih-mendominasi-belanja-pemerintah-pusat,"KONTAN.CO.ID - JAKARTA. Institute for Development of Economics and Finance (Indef) mencatat, komposisi belanja pemerintah pusat masih didominasi oleh pembayaran bunga utang dan belanja pegawai. Sedangkan belanja modal terus menurun setiap tahunnya. Direktur Program Indef Eisha M. Rachbini menilai, seharusnya anggaran yang dikeluarkan pemerintah paling banyak disalurkan melalui belanja modal, sebab akan besar kontribusinya terhadap pertumbuhan ekonomi. Sebagai contoh, pada 2023 lalu, proporsi anggaran belanja pegawai tercatat sebesar 18,8%, pembiayaan bunga utang sebesar 19%. Sedangkan proporsi belanja modal hanya sebesar 11,3%. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 “Untuk 2024 dan 2025 ketika kita tau akan ada banyak utang jatuh tempo, dan ini dirasa masih cukup tinggi dibandingkan belanja pegawai atau belanja modal,” tutur Eisha dalam agenda diskusi publik Indef, Kamis (4/7). Indef mencatat, pada tahun ini jumlah proporsi pembayaran bunga utang juga meningkat yakni dari 19% pada 2023 menjadi 20,3% pada 2024. Sedangkan belanja modal turun menjadi 10% dibandingkan 11,3% pada 2023. Untuk diketahui, pemerintah akan membayar bunga utang sebesar Rp 497,3 triliun. Pembayaran bunga utang itu meningkat 11,55% dari realisasi pembayaran bunga utang di 2023 yang sebesar Rp 439,88 triliun. Sebelumnya, Wakil Direktur Institute for Development of Economics and Finance (Indef) Eko Listiyanto menilai, beban bunga utang tersebut sudah cukup membebani ruang fiskal yang semakin terbatas, di samping adanya kewajiban pemerintah membayar utang jatuh tempo. Baca Juga: Pemerintah dan DPR Sepakati Pemberian PMN Terhadap 17 BUMN, Berikut Rinciannya Jika dibandingkan dengan anggaran belanja negara, pembayaran bunga utang tersebut setara 14,96% dari anggaran belanja negara tahun ini yang nilainya mencapai Rp 3.325,1 triliun. “Di sisi lain, upaya meningkatkan penerimaan negara juga semakin tidak mudah di saat ekonomi global melambat dan harga komoditas melesu,” tutur Eko. Cek Berita dan Artikel yang lain di Google News",nasional
Belanja Pemerintah Pusat Masih Didominasi Pembayaran Bunga Utang dan Belanja Pegawai,2024-09-24T16:12:36.722Z,"Kamis, 04 Juli 2024 / 11:41 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/belanja-pemerintah-pusat-masih-didominasi-pembayaran-bunga-utang-dan-belanja-pegawai,"KONTAN.CO.ID - JAKARTA. Institute for Development of Economics and Finance (Indef) mencatat, komposisi belanja pemerintah pusat masih didominasi oleh pembayaran bunga utang dan belanja pegawai. Sedangkan belanja modal terus menurun setiap tahunnya. Direktur Program Indef Eisha M. Rachbini menilai, seharusnya anggaran yang dikeluarkan pemerintah paling banyak disalurkan melalui belanja modal, sebab akan besar kontribusinya terhadap pertumbuhan ekonomi. Sebagai contoh, pada 2023 lalu, proporsi anggaran belanja pegawai tercatat sebesar 18,8%, pembiayaan bunga utang sebesar 19%. Sedangkan proporsi belanja modal hanya sebesar 11,3%. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 “Untuk 2024 dan 2025 ketika kita tau akan ada banyak utang jatuh tempo, dan ini dirasa masih cukup tinggi dibandingkan belanja pegawai atau belanja modal,” tutur Eisha dalam agenda diskusi publik Indef, Kamis (4/7). Indef mencatat, pada tahun ini jumlah proporsi pembayaran bunga utang juga meningkat yakni dari 19% pada 2023 menjadi 20,3% pada 2024. Sedangkan belanja modal turun menjadi 10% dibandingkan 11,3% pada 2023. Untuk diketahui, pemerintah akan membayar bunga utang sebesar Rp 497,3 triliun. Pembayaran bunga utang itu meningkat 11,55% dari realisasi pembayaran bunga utang di 2023 yang sebesar Rp 439,88 triliun. Sebelumnya, Wakil Direktur Institute for Development of Economics and Finance (Indef) Eko Listiyanto menilai, beban bunga utang tersebut sudah cukup membebani ruang fiskal yang semakin terbatas, di samping adanya kewajiban pemerintah membayar utang jatuh tempo. Baca Juga: Pemerintah dan DPR Sepakati Pemberian PMN Terhadap 17 BUMN, Berikut Rinciannya Jika dibandingkan dengan anggaran belanja negara, pembayaran bunga utang tersebut setara 14,96% dari anggaran belanja negara tahun ini yang nilainya mencapai Rp 3.325,1 triliun. “Di sisi lain, upaya meningkatkan penerimaan negara juga semakin tidak mudah di saat ekonomi global melambat dan harga komoditas melesu,” tutur Eko. Cek Berita dan Artikel yang lain di Google News",nasional
