Title,Scrapping Date,Article Date,Author,Link,Content,Category
S&P Global Prediksi Defisit APBN Kabinet Prabowo- Gibran Makin Lebar,2024-09-24T15:56:36.401Z,"Rabu, 31 Juli 2024 / 13:28 WIB",Reporter: Siti Masitoh | Editor: Putri Werdiningsih,https:////nasional.kontan.co.id/news/sp-global-prediksi-defisit-apbn-kabinet-prabowo-gibran-makin-lebar,"KONTAN.CO.ID – JAKARTA. Lembaga pemeringkat Standard and Poors (S&P) Global memperkirakan defisit anggaran pendapatan dan belanja negara (APBN) pada pemerintahan presiden terpilih Prabowo Subianto dan Gibran Rakabuming Raka akan melonjak. Mengutip hasil penelitian S&P Global Edisi 30 Juli 2024, disebutkan bahwa n defisit anggaran dalam tiga tahun ke depan akan lebih tinggi dibandingkan pada tahun 2022-2024. “Pemerintahan baru telah mengindikasikan bahwa mereka tidak berniat melakukan perubahan hukum untuk memungkinkan defisit yang lebih tinggi. Namun, mengingat rencana pengeluarannya, kemungkinan besar negara ini akan mengalami kekurangan anggaran yang mendekati batas legal sebesar 3% dari produk domestik bruto (PDB),” mengutip laporan tersebut Rabu (31/7). S&P menyebut, pemerintahan baru nantinya kemungkinan tidak bisa mengerek defisit menjadi lebih rendah karena pendapatan negara yang akan diperoleh mungkin tidak akan sebesar tahun sebelumnya. Baca Juga: Bersiap! Puncak Utang Jatuh Tempo Akan Menanti Pemerintahan Baru Diperkirakan, rasio pendapatan Indonesia terhadap PDB dalam beberapa tahun ke depan akan stabil di bawah 15% PDB, bahkan sedikit turun dari tingkat dua tahun terakhir. Sebagaimana yang sudah diketahui, sebelumnya terdapat spekulasi bahwa presiden terpilih Prabowo Subianto akan merevisi batas atas defisit anggaran diatas 3%, dan rasio utang memungkinkan meningkat hingga 50%, yang saat ini tercatat sebesar 39% dari PDB. Tim Prabowo mengkonfirmasi bahwa akan tetap mematuhi batas atas defisit legal sebesar 3% dari PDB, pun mereka membantah akan mengerek rasio utang hingga 50% dari PDB. “Meskipun terdapat jaminan-jaminan tersebut, ketidakpastian kebijakan kemungkinan akan tetap ada sampai pemerintah berikutnya mengumumkan rencana tersebut secara rinci,” tulis laporan tersebut. Cek Berita dan Artikel yang lain di Google News",nasional
Strategi Menghadapi Defisit APBN 2024,2024-09-24T15:56:36.623Z,,Premium User Only,https:////insight.kontan.co.id/news/strategi-menghadapi-defisit-apbn-2024,Premium Content - Not Scraped,insight
Penghapusan Batas Defisit APBN Berpeluang Menggoyang Stabilitas Ekonomi Indonesia,2024-09-24T15:56:36.676Z,"Jumat, 12 Juli 2024 / 12:36 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/penghapusan-batas-defisit-apbn-berpeluang-menggoyang-stabilitas-ekonomi-indonesia,"KONTAN.CO.ID -  JAKARTA. Pemerintahan Prabowo Subianto dikabarkan akan menghapus batas defisit anggaran pendapatan dan belanja negara (APBN) sebesar 3% terhadap produk domestik bruto (PDB). Langkah ini dilakukan untuk mendukung program-program populis yang dijanjikan Prabowo saat kampanye Pemilihan Presiden (Pilpres) 2024. Menurut laporan Reuters yang mengutip Majalah Tempo, Prabowo sedang mengeksplorasi berbagai upaya untuk menghapus batas defisit tersebut. Salah satu program yang dijanjikan adalah makan siang gratis, yang diperkirakan membutuhkan dana hingga Rp 400 triliun. Untuk tahun pertama, anggaran program tersebut sudah disepakati sebesar Rp 71 triliun dalam APBN 2025. Baca Juga: Faisal Basri: Siap-Siap Stabilitas Makro Goyang Jika Batas Defisit APBN Dihapus Namun, langkah ini mendapat kritik dari Ekonom Senior Faisal Basri. Ia memperingatkan bahwa penghapusan batas defisit APBN dapat mengganggu stabilitas makroekonomi Indonesia dan meningkatkan biaya ekonomi. Menurut Faisal, penghapusan batas defisit dapat menyebabkan ketidakdisiplinan fiskal dan peningkatan belanja pemerintah yang tidak diimbangi dengan peningkatan pendapatan, sehingga utang pemerintah berpotensi naik. ""Anggaran militer akan dinaikkan, biaya makan gratis ratusan triliun, tapi penerimaan pajak tidak naik,"" kata Faisal pada Rabu (10/7). Meski Prabowo berkomitmen untuk meningkatkan rasio pajak hingga 23%, Faisal meragukan hal tersebut dapat tercapai dan mengingatkan agar pemerintah tidak menaikkan tarif pajak pertambahan nilai (PPN) menjadi 12% untuk mengejar target tersebut. Sementara itu, Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menegaskan bahwa pemerintahan Prabowo akan tetap menjaga rasio utang di bawah 40% terhadap PDB. Baca Juga: Faisal Basri Sebut Pemerintah Beri Sinyal Harga Pertalite dan Solar Bakal Naik ""Kami tetap komitmen pada makroprudensial di mana tingkat utang kita sebanyak 40%,"" ujarnya pada Kamis (11/7). Data dari Kementerian Keuangan menunjukkan, posisi utang pemerintah per akhir Mei 2024 sebesar Rp 8.353,02 triliun, meningkat Rp 14,59 triliun dibanding akhir bulan sebelumnya. Rasio utang pemerintah terhadap PDB tercatat 38,71%, naik dari 38,64% pada akhir April. Rasio ini masih di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2023 tentang Keuangan Negara, dan lebih baik dari yang ditetapkan dalam Strategi Pengelolaan Utang Jangka Menengah 2024-2027 di kisaran 40%. Cek Berita dan Artikel yang lain di Google News",nasional
Faisal Basri: Siap-Siap Stabilitas Makro Goyang Jika Batas Defisit APBN Dihapus,2024-09-24T15:56:36.717Z,"Rabu, 10 Juli 2024 / 17:19 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/faisal-basri-siap-siap-stabilitas-makro-goyang-jika-batas-defisit-apbn-dihapus,"KONTAN.CO.ID - JAKARTA.  Baru-baru ini banyak beredar kabar bahwa presiden terpilih Prabowo Subianto akan menghapus batas defisit Anggaran Pendapatan dan Belanja Negara (APBN) sebesar 3% terhadap Produk Domestik Bruto (PDB). Menanggapi hal tersebut, Ekonom Senior Faisal Basri mengatakan, apabila kabar tersebut benar akan dilakukan oleh pemerintahan selanjutnya, maka siap-siap stabilitas makro Indonesia akan terganggu. Bahkan, biaya ekonomi Indonesia akan semakin mahal. ""Kalau dipaksakan ya siap-siap saja makro stabilitasnya goyang. Ongkosnya mahal,"" ujar Faisal kepada awak media di Gedung DPR RI, Selasa (10/7). Baca Juga: Berjibaku Menutup Defisit Anggaran Negara Faisal mengatakan, dengan batas defisit APBN yang akan dihapus, maka ketidakdisplinan fiskal akan terjadi sehingga kebutuhan belanja akan jor-joran dan berujung kepada peningkatan utang apabila tidak diikuti dengan peningkatan pendapatan negara. ""Kalau defisitnya dinaikkan, artinya kan ngegas terus (belanja). Siapa yang ngerem ini?,"" tanya Faisal. ""Anggaran militer mau dinaikkan, (biaya) makan gratis ratusan triliun tapi (penerimaan) pajaknya gak naik,"" imbuh Faisal. Memang pasangan Prabowo-Subianto berkomitmen untuk meningkatkan tax ratio hingga 23%. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 Namun Faisal melihat hal tersebut tidak akan mungkin untuk diraih. Dirinya mewanti-wanti pemerintahan Prabowo tidak mengerek tarif pajak pertambahan nilai (PPN) menjadi 12% untuk menggenjot tax ratio. ""Mau dinaikkan di sekitar 20%, mana ada di dunia tax ratio itu naik dua kali lipat. Itu kan gak ada. Artinya apa yang dinaikkan? PPN biasanya yang dinaikkan. Dampaknya ke rakyat, karena orang miskin bayar PPN-nya sama,"" terang Faisal. Cek Berita dan Artikel yang lain di Google News",nasional
"Defisit APBN 2024 Diprediksi Bengkak Jadi 2,7%, Faisal Basri Ungkap Biang Keroknya",2024-09-24T15:56:36.756Z,"Rabu, 10 Juli 2024 / 16:31 WIB",Reporter: Dendi Siswanto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/defisit-apbn-2024-diprediksi-bengkak-jadi-27-faisal-basri-ungkap-biang-keroknya,"KONTAN.CO.ID-JAKARTA. Ekonom Senior Faisal Basri mengungkapkan beberapa faktor yang membuat defisit Anggaran Pendapatan dan Belanja Negara (APBN) 2024 melebar mencapai 2,7% dari Produk Domestik Bruto (PDB). Proyeksi defisit anggaran ini lebih tinggi dari target yang ditetapkan yakni sebesar 2,29% dari PDB dalam APBN 2024. Faisal menyebut, penyebab defisit APBN yag membengkak tersebut dikarenakan adanya beberapa tambahan kebutuhan belanja. Seperti belanja pembayaran bunga utang, tambahan penyertaan modal negara (PMN) kepada Badan Usaha Milik Negara (BUMN) hingga pembiayaan Ibu Kota Nusantara (IKN) yang menelan biaya besar. ""Ada belanja tambahan misalnya PMN, bayar bunga (utang) naik, ini jadi upacara 17 Agustus di IKN itu biayanya mahal banget, tambahan subsidi,"" kata Faisal kepada awak media di Gedung DPR RI, Rabu (10/7). Baca Juga: Bunga Utang Membengkak, Faisal Basri : Biasanya yang Dikorbankan Subsidi Rakyat Namun, Faisal bilang, faktor utama yang menyebabkan melebarnya defisit APBN 2024 ini disebabkan turunnya penerimaan negara termasuk Penerimaan Negara Bukan Pajak (PNBP) sehingga melesat dari target yang ditetapkan. Penurunan ini disebabkan oleh turunnya harga komoditas mengingat penerimaan negara dari sektor sumber daya alam (SDA) cukup besar. ""Terutama si harus diakui penerimaannya termasuk PNBP turun, dibandingkan dengan APBN-nya yang tertera di APBN melesat,"" kata Faisal. Asal tahu saja, Kementerian Keuangan memperkirakan pendapatan negara dalam APBN 2024 akan mencapai Rp 2.802,5 triliun atau tumbuh 0,7% yoy. Utamanya dipengaruhi aktivitas ekonomi yang terjaga dan positif, implementasi reformasi perpajakan, peningkatan dividen BUMN dan peningkatan layanan kementerian/lembaga (K/L). Sementara itu, outlook belanja negara dalam APBN 2024 diperkirakan mencapai Rp 3.412,2 triliun atau 102,6% dari pagu APBN 2024 atau tumbuh 9,3%. Cek Berita dan Artikel yang lain di Google News",nasional
DPR Wanti-Wanti Dampak Utang Jatuh Tempo Rp 800 Triliun Terhadap Defisit APBN 2025,2024-09-24T15:56:36.793Z,"Selasa, 09 Juli 2024 / 15:46 WIB",Reporter: Dendi Siswanto | Editor: Wahyu T.Rahmawati,https:////nasional.kontan.co.id/news/dpr-wanti-wanti-dampak-utang-jatuh-tempo-rp-800-triliun-terhadap-defisit-apbn-2025,"KONTAN.CO.ID - JAKARTA. Badan Anggaran (Banggar) DPR RI mengingatkan pemerintah soal utang jatuh tempo pada 2025 yang akan berdampak terhadap defisit APBN 2025. Hal tersebut disampaikan oleh Wakil Ketua Banggar DPR RI Cucun Ahmad Syamsurijal dalam Rapat Paripurna ke-21 Masa Persidangan V Tahun 2024, Selasa (9/7). ""Potensi utang yang jatuh tempo pada tahun 2025 akan memberikan dampak terhadap defisit APBN 2025,"" kata Cucun. Saat ditemui awak media sesuai Rapat Paripurna, Cucun menjelaskan bahwa yang akan dihadapi oleh pemerintahan baru yakni Prabowo Subianto tidaklah mudah. Apalagi, kondisi ekonomi global sedang tidak baik-baik saja sehingga merambat terhadap ekonomi domestik. Baca Juga: Setoran Pajak Pertambangan Lesu, Sri Mulyani Beri Penjelasan Oleh karena itu, kondisi utang jatuh tempo pada tahun depan harus diperhatikan dalam penyusunan APBN 2025. ""Karena tools-nya ini kan APBN, bagaimana menjaga keseimbangan primer. Jangan sampai kita terlalu bernafsu untuk membuat program-program baru, sementara kondisi fiskalnya juga dalam keterbatasan,"" katanya.  Belum lagi, penerimaan negara pada tahun ini diperkirakan tidak mencapai target lantaran mengingat kondisi global juga sedang tidak baik-baik saja. ""Kita juga agak worry kalau semester II tidak sesuai target nanti akan jadi beban kepada pemerintah baru ke depan untuk mengakselerasi,"" katanya. Baca Juga: Pemerintah Sudah Tarik Utang Baru Rp 214,7 Triliun di Semester I-2024 Asal tahu saja, Kementerian Keuangan (Kemenkeu) mencatat utang jatuh tempo pemerintah Indonesia pada tahun depan atau 2025 mencapai Rp 800 triliun. Utang jatuh tempo tersebut menjadi rekor tertinggi yang akan dibebankan di pundak pemerintahan selanjutnya yakni Prabowo Subianto. Kendati begitu, Menteri Keuangan Sri Mulyani Indrawati mengatakan bahwa risiko dari profil utang jatuh tempo yang tinggi pada tahun 2025 sangat kecil apabila kondisi perekonomian Indonesia membaik, Anggaran Pendapatan dan Belanja Negara (APBN) kredibel dan kondisi politiknya stabil. ""Sehingga jatuh tempo yang seperti kelihatan tinggi itu tidak menjadi masalah selama persepsi terhadap APBN, kebijakan fiskal ekonomi dan politik tetap sama,"" katanya. Cek Berita dan Artikel yang lain di Google News",nasional
Waspada Defisit APBN,2024-09-24T15:56:37.017Z,,Premium User Only,https:////insight.kontan.co.id/news/waspada-defisit-apbn,Premium Content - Not Scraped,insight
"Semester I-2024, APBN Catat Defisit Rp 77,3 Triliun Setara 0,34% dari PDB",2024-09-24T15:56:37.064Z,"Selasa, 09 Juli 2024 / 06:00 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/semester-i-2024-apbn-catat-defisit-rp-773-triliun-setara-034-dari-pdb,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat Anggaran Pendapatan dan Belanja Negara (APBN) 2024 defisit sebesar Rp 77,3 triliun pada semester I-2024. Menteri Keuangan Sri Mulyani Indrawati mengatakan, defisit anggaran per Juni 2024 tersebut setara 0,34% terhadap Produk Domestik Bruto (PDB). Ini berbeda jika dibandingkan dengan kondisi APBN per Juni 2023 yang mengalami surplus Rp 152,3 triliun atau 0,71% PDB. Baca Juga: Sri Mulyani Optimistis Ekonomi Tumbuh di Atas 5% di Kuartal II-2024 ""Total postur dari APBN 2024 semester I adalah defisit Rp 77,3 triliun,"" ujar Sri Mulyani dalam Rapat Kerja Badan Anggaran DPR RI, Senin (8/7). Defisit APBN ini disebabkan karena pendapatan negara yang turun, sementara belanja negara meningkat. Sri Mulyani mengatakan, pendapatan negara per Juni 2024 tercatat mencapai Rp 1.320,7 triliun atau  turun 6,2% yoy dari periode yang sama tahun lalu. Realisasi ini setara 47,1% dari target APBN 2024 sebesar Rp 2.802,3 triliun. Sementara itu, realisasi belanja negara mencapai Rp 1.398 triliun atau meningkat 11,3% yoy dari periode sama tahun lalu.  Realisasi ini setara 42% dari target APBN 2024 sebesar Rp 3.325,1 triliun. Baca Juga: Hingga Akhir 2023, Total Aset Negara Capai Rp 13.072,8 Triliun ""Dibandingkan tahun lalu, ini pertumbuhan belanja yang cukup tinggi double digit 11,3%. Tahun lalu semester I kita belanja Rp 1.255,7 triliun atau hanya 40,3%,"" katanya. Dengan kinerja APBN tersebut, Sri Mulyani menyebut keseimbangan primer masih mencatatkan surplus sebesar Rp 162,7 triliun. Sementara, pembiayaan anggaran mencapai Rp 168 triliun atau 32,1% APBN 2024. Cek Berita dan Artikel yang lain di Google News",nasional
"Defisit APBN 2024 Diprediksi akan Melebar Jadi 2,70% dari PDB",2024-09-24T15:56:37.110Z,"Selasa, 09 Juli 2024 / 04:30 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/defisit-apbn-2024-diprediksi-akan-melebar-jadi-270-dari-pdb,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan Sri Mulyani Indrawati memperkirakan defisit Anggaran Pendapatan dan Belanja Negara (APBN) Tahun Anggaran 2024 mencapai 2,70% dari Produk Domestik Bruto (PDB) atau secara nominal Rp 609,7 triliun. Proyeksi defisit APBN 2024 ini lebih tinggi dari target yang ditetapkan, yakni sebesar 2,29% dari PDB atau secara nominal Rp 522,8 triliun. ""Dengan outlook pendapatan dan belanja negara tersebut kami memproyeksikan APBN 2024 akan ditutup defisit dari keseimbangan primer mencapai Rp 110,8 triliun dan defisit total mencapai Rp 609,7 triliun. Ini artinya terjadi kenaikan defisit defisit 2,29% ke 2,7% dari PDB,"" ujar Sri Mulyani dalam Rapat Kerja Badan Anggaran (Banggar) DPR RI, Senin (8/7). Baca Juga: Kemenkeu Sudah Bayar Subsidi BBM dan LPG3 Kg Rp 42,9 Triliun hingga Semester I-2024 Sri Mulyani menyebut, pendapatan negara dalam APBN 2024 juga diperkirakan akan mencapai Rp 2.802,5 triliun atau tumbuh 0,7% yoy. Utamanya dipengaruhi oleh aktivitas ekonomi yang terjaga dan positif, implementasi reformasi perpajakan, peningkatan dividen BUMN dan peningkatan layanan kementerian/lembaga (K/L). Sementara itu, outlook belanja negara dalam APBN 2024 diperkirakan mencapai Rp 3.412,2 triliun atau 102,6% dari pagu APBN 2024 atau tumbuh 9,3%. Hal ini seiring perang APBN sebagai shock absorber untuk tetap menjaga momentum pertumbuhan, melindungi daya beli dan mendukung pencapaian target-target prioritas pembangunan nasional. Baca Juga: Hingga Semester I 2024, Belanja Negara Tersalurkan Rp 1.398 triliun Sri Mulyani juga memperkirakan pembiayaan anggaran untuk membiayai tambahan defisit Rp 609,7 triliun akan dibiayai melalui tambahan penggunaan Sisa Anggaran Lebih (SAL) Rp 100 triliun dan penerbitan surat berharga negara (SBN) tetap lebih rendah sebesar Rp 214,6 triliun. ""Meskipun defisitnya naik, penerbitan SBN-nya tidak naik, malah justru lebih rendah Rp 214,6 triliun,"" katanya. Asal tahu saja, Kemenkeu mencatat Anggaran Pendapatan dan Belanja Negara (APBN) 2024 mencatat defisit sebesar Rp 77,3 triliun pada Semester I-2024 atau 0,34% terhadap Produk Domestik Bruto (PDB). Cek Berita dan Artikel yang lain di Google News",nasional
"Menkeu Perkirakan Defisit APBN 2024 akan Melebar Jadi 2,70% dari PDB",2024-09-24T15:56:37.154Z,"Selasa, 09 Juli 2024 / 04:00 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/menkeu-perkirakan-defisit-apbn-2024-akan-melebar-jadi-270-dari-pdb,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan Sri Mulyani Indrawati memperkirakan defisit Anggaran Pendapatan dan Belanja Negara (APBN) Tahun Anggaran 2024 mencapai 2,70% dari Produk Domestik Bruto (PDB) atau secara nominal Rp 609,7 triliun. Proyeksi defisit APBN 2024 ini lebih tinggi dari target yang ditetapkan, yakni sebesar 2,29% dari PDB atau secara nominal Rp 522,8 triliun. ""Dengan outlook pendapatan dan belanja negara tersebut kami memproyeksikan APBN 2024 akan ditutup defisit dari keseimbangan primer mencapai Rp 110,8 triliun dan defisit total mencapai Rp 609,7 triliun. Ini artinya terjadi kenaikan defisit defisit 2,29% ke 2,7% dari PDB,"" ujar Sri Mulyani dalam Rapat Kerja Badan Anggaran (Banggar) DPR RI, Senin (8/7). Baca Juga: Kemenkeu Sudah Bayar Subsidi BBM dan LPG3 Kg Rp 42,9 Triliun hingga Semester I-2024 Sri Mulyani menyebut, pendapatan negara dalam APBN 2024 juga diperkirakan akan mencapai Rp 2.802,5 triliun atau tumbuh 0,7% yoy. Utamanya dipengaruhi oleh aktivitas ekonomi yang terjaga dan positif, implementasi reformasi perpajakan, peningkatan dividen BUMN dan peningkatan layanan kementerian/lembaga (K/L). Sementara itu, outlook belanja negara dalam APBN 2024 diperkirakan mencapai Rp 3.412,2 triliun atau 102,6% dari pagu APBN 2024 atau tumbuh 9,3%. Hal ini seiring perang APBN sebagai shock absorber untuk tetap menjaga momentum pertumbuhan, melindungi daya beli dan mendukung pencapaian target-target prioritas pembangunan nasional. Baca Juga: Hingga Semester I 2024, Belanja Negara Tersalurkan Rp 1.398 triliun Sri Mulyani juga memperkirakan pembiayaan anggaran untuk membiayai tambahan defisit Rp 609,7 triliun akan dibiayai melalui tambahan penggunaan Sisa Anggaran Lebih (SAL) Rp 100 triliun dan penerbitan surat berharga negara (SBN) tetap lebih rendah sebesar Rp 214,6 triliun. ""Meskipun defisitnya naik, penerbitan SBN-nya tidak naik, malah justru lebih rendah Rp 214,6 triliun,"" katanya. Asal tahu saja, Kemenkeu mencatat Anggaran Pendapatan dan Belanja Negara (APBN) 2024 mencatat defisit sebesar Rp 77,3 triliun pada Semester I-2024 atau 0,34% terhadap Produk Domestik Bruto (PDB). Cek Berita dan Artikel yang lain di Google News",nasional
