Title,Scrapping Date,Article Date,Author,Link,Content,Category
"BI Prediksi Defisit Neraca Transaksi Berjalan Capai 0,1%-0,9% PDB di 2024",2024-09-24T15:48:31.628Z,"Rabu, 18 September 2024 / 16:08 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/bi-prediksi-defisit-neraca-transaksi-berjalan-capai-01-09-pdb-di-2024,"KONTAN.CO.ID – JAKARTA. Bank Indonesia (BI) memperkirakan defisit neraca transaksi berjalan akan berada di kisaran 0,1% hingga 0,9% dari produk domestik bruto (PDB) pada akhir 2024. Gubernur BI Perry Warjiyo menyampaikan, defisit neraca transaksi berjalan yang lebih rendah ini sejalan dengan Neraca Pembayaran Indonesia (NPI) pada kuartal III 2024 yang diperkirakan terus membaik ditopang oleh berlanjutnya surplus neraca perdagangan, yang pada Agustus 2024 tercatat sebesar US$ 2,9 miliar. “Ke depan, NPI 2024 tetap sehat, dengan transaksi berjalan dalam kisaran defisit rendah sebesar 0,1% sampai dengan 0,9% dari PDB,” tutur Perry dalam konferensi pers, Rabu (18/9). Baca Juga: BI Proyeksi Pertumbuhan Ekonomi di Kuartal III-2024 Cukup Baik, Ini Faktornya Perry juga mengatakan, surplus neraca transaksi modal dan finansial diperkirakan meningkat didukung berlanjutnya peningkatan aliran masuk modal asing. Ini sejalan dengan meredanya ketidakpastian pasar keuangan global, persepsi positif investor terhadap prospek perekonomian nasional, dan imbal hasil investasi di aset keuangan domestik yang tetap menarik. Aliran masuk investasi portofolio terus berlanjut dan tercatat tinggi, yang mana pada kuartal III 2024 atau hingga 13 September 2024 mencatat net inflows sebesar US$ 10,1 miliar secara quarter to date (qtd), yang terjadi pada seluruh instrumen keuangan domestik. Sementara itu, posisi cadangan devisa Indonesia akhir Agustus 2024 tercatat meningkat, sebesar US$ 150,2 miliar, setara dengan pembiayaan 6,7 bulan impor atau 6,5 bulan impor dan pembayaran utang luar negeri pemerintah, serta berada di atas standar kecukupan internasional sekitar 3 bulan impor.     Cek Berita dan Artikel yang lain di Google News",nasional
3 Tips Melakukan Defisit Kalori agar Diet Ini Bisa Berhasil,2024-09-24T15:48:31.939Z,"Rabu, 18 September 2024 | 06:05 WIB","Christ Penthatesia, Christ Penthatesia",https:////momsmoney.kontan.co.id/news/3-tips-melakukan-defisit-kalori-agar-diet-ini-bisa-berhasil-1,"MOMSMONEY.ID - Untuk mencapai defisit kalori yang diinginkan dan untuk mengurangi kalori dalam tubuh, beberapa tips berikut ini mungkin dapat Anda terapkan pada diet Anda. Istilah defisit kalori merupakan istilah yang tidak asing dalam dunia diet. Tentunya, jika Anda sedang menjalani program diet, kalori defisit tentunya menjadi perhatian utama. Kalori defisit, menurut Wikipedia, adalah jumlah kalori yang dikonsumsi tubuh untuk menjaga berat badan. Kalori defisit bisa didapatkan dengan cara mengurangi jumlah kalori yang masuk ke dalam tubuh. Salah satu caranya adalah dengan melakukan diet. Berikut ada cara tepat untuk melakukan kalori defisit agar diet bisa berhasil. Baca Juga: Simak 4 Manfaat Ramuan Ayurveda Untuk Perawatan Kulit di Sini Olahraga Semakin aktif Anda maka makin banyak kalori yang dapat Anda bakar untuk bisa mencapai kalori defisit yang Anda targetkan. Olahraga yang Anda lakukan harus disesuaikan dengan tingkat keaktifan Anda dalam satu hari Jika Anda termasuk orang dengan mobilitas rendah dan jarang melakukan olahraga, maka lakukan olahraga ringan seperti berjalan, bersepeda, atau pilihlah menggunakan tangga daripada lift sebagai olahraga Anda. Center for Disease Control and Prevention (CDC) merekomendasikan kegiatan olahraga seperti melakukan kegiatan berkebun, bermain bersama anak secara aktif, maupun bersepeda dengan kecepatan sedang, sebagai kegiatan berolahraga bagi Anda yang memiliki mobilitas tinggi dan aktif berolahraga. Kurangi asupan karbohidrat Womens Health merekomendasikan untuk mengurangi jumlah karbohidrat yang Anda konsumsi jika Anda sedang melakukan program kalori defisit ini. Karbohidrat yang masuk ke dalam tubuh akan di ubah menjadi gula yang kemudian diserap dan disimpan sebagai cadangan makanan. Dengan mengurangi konsumsi asupan karbohidrat, tubuh tidak perlu menyimpan banyak sisa makanan sebagai cadangan makanan. Baca Juga: Payudara Bengkak saat PMS Bisa Diatasi Dengan Cara Ini lo Kurangi makanan dan minuman proses Makanan dan minuman yang telah melalui proses di pabrik tentu saja bukan lagi merupakan produk alami. Tambahan gula maupun pengawet dalam porsi banyak dapat mempengaruhi kalori yang masuk ke dalam tubuh Anda. Untuk mencapai kalori defisit yang baik, makanan dan minuman sehat tanpa tambahan bahan pengawet atau pemanis buatan harus dijadikan menu utama. Makanan dan minuman sehat ini akan membantu mencegah Anda dari kemungkinan over-eating namun dapat membantu Anda untuk mencukupi kebutuhan nutrisi harian. Demikianlah beberapa tips utama agar kalori defisit Anda bisa berhasil. Jangan lupa lakukan secara rutin, ya.   Cek Berita dan Artikel yang lain di Google News",momsmoney.id
"Nilai Ekspor Menurun, Defisit Perdagangan India Makin Naik",2024-09-24T15:48:32.194Z,"Selasa, 17 September 2024 / 22:43 WIB",Reporter: Avanty Nurdiana | Editor: Avanty Nurdiana,https:////internasional.kontan.co.id/news/nilai-ekspor-menurun-defisit-perdagangan-india-makin-naik,"KONTAN.CO.ID - NEW DELHI. Defisit perdagangan barang dagangan India pada Agustus melebar menjadi US$ 29,65 miliar. Ini karena ekspor barang dagangan turun terseret kenaikan biaya pengiriman dan penurunan permintaan global. Angka tersebut lebih tinggi dari proyeksi jajak pendapat Reuters, yang mana para ekonom memperkirakan defisit perdagangan India pada Agustus sebesar US$ 23 miliar. Defisit tersebut juga lebih tinggi dari bulan sebelumnya yang hanya mencapai US$ 23,5 miliar. Baca Juga: Surplus Neraca Dagang Berlanjut, BI: Positif untuk Ekonomi Indonesia Data pemerintah India juga memaparkan ekspor barang dagangan India turun menjadi US$ 34,71 miliar pada Agustus dari US$ 38,28 miliar tahun lalu. Sementara impor mencapai US$ 64,36 miliar, naik dari bulan Agustus 2023 sebesar US$ 62,30 miliar. Pada Juli 2024, ekspor barang dagangan mencapai US$ 33,98 miliar, sementara impor mencapai US$ 57,48 miliar. ""Ekspor menghadapi tantangan besar akibat situasi global saat ini,"" kata Menteri Perdagangan India Sunil Barthwal.",internasional
DJPPR Sebut Dana Global Bond akan Digunakan untuk Biayai Defisit APBN 2024,2024-09-24T15:48:32.359Z,"Selasa, 10 September 2024 / 15:52 WIB",Reporter: Nova Betriani Sinambela | Editor: Putri Werdiningsih,https:////investasi.kontan.co.id/news/djppr-sebut-dana-global-bond-akan-digunakan-untuk-biayai-defisit-apbn-2024,"KONTAN.CO.ID - JAKARTA. Pemerintah Indonesia telah menerbitkan Surat Utang Negara (SUN) dalam denominasi dua mata uang asing (dual currency) dalam mata uang dolar (USD) dan mata uang euro (EUR). Global bond tersebut menawarkan yield yang terbilang besar sehingga cukup menarik bagi investor. Untuk seri RIEUR0932 bertenor 8 tahun, seri RI0934 bertenor 10 tahun, dan seri RI0954 bertenor 30 tahun masing-masing yield sebesar 3,723%, 4,800% dan 5,200%. Penawaran Global Bond ini tercatat berhasil menarik minat investor global hingga mencapai total orderbook USD8.5 miliar dan EUR3 miliar. Direktur Surat Utang Negara irektorat Jenderal Pengelola Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, Deni Ridwan membeberkan hasil penerbitan SUN Valas dual currency ini nantinya akan digunakan untuk membiayai defisit APBN (general financing) tahun 2024. ""Khusus proceed SDG Bond yaitu dalam mata uang EURO, Pemerintah akan mengalokasikan dana sebesar hasil penerbitan untuk membiayai program dan proyek yang masuk kualifikasi Eligible SDGs Expenditures dalam SDGs Government Securities Framework,"" kata Deni kepada KONTAN, Selasa (10/9). Baca Juga: Cadangan Devisa Berpotensi Naik Pasca Catat Rekor Tertinggi, Waspadai Risiko Global Sementara untuk besaran yield, Deni tidak menampik imbal hasil ini cukup besar. Apalagi faktor kemungkinan pemangkasan suku bunga makin kuat. Hal ini membuat global bond Indonesia dinilai makin menarik. Tetapi menurut Deni, besaran yield tersebut sudah melalui pertimbangan matang dengan melihat kondisi pasar keuangan global dan domestik, kebutuhan pembiayaan, dan kondisi kas negara. Ditambah saat ini kondisi perekonomian domestik relatif positif dan inflasi cukup terkendali sehingga risiko penerbitan global bond ini masih manageble. Baca Juga: Utang Jatuh Tempo Rp 800 Triliun Bayangi Pemerintahan Prabowo, Ini Kata Kemenkeu Dari sisi currency exchange risk, pemerintah juga membatasi penerbitan utang dalam valuta asing maksimal 25% dari total penerbitan utang. Sehingga komposisi penerbitan utang dalam valas ini masih di bawah 25% dari total penerbitan utang tahun ini. Selain itu penentuan yield dan kupon SUN Valas ini juga didasarkan pada perkembangan pasar keuangan terkini, seperti tingkat yield UST tenor. Kemudian yield global bond Indonesia dengan tenor yang bersesuaian di pasar sekunder, dan yield global bond peer countries dengan tenor yang bersesuaian di pasar sekunder. Cek Berita dan Artikel yang lain di Google News",investasi
Pemerintah Optimis Defisit Transaksi Berjalan Akan Berangsur Membaik,2024-09-24T15:48:32.501Z,"Senin, 26 Agustus 2024 / 18:29 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/pemerintah-optimis-defisit-transaksi-berjalan-akan-berangsur-membaik,"KONTAN.CO.ID - JAKARTA. Deputi Bidang Koordinasi Ekonomi Makro dan Keuangan Kementerian Koordinator Bidang Perekonomian Ferry Irawan mengatakan bahwa defisit transaksi berjalan tidak selalu mengindikasikan kondisi buruk bagi perekonomian nasional, terutama dalam konteks pembangunan negara berkembang seperti Indonesia. Ferry menyebut, defisit transaksi berjalan sebesar US$ 3,0 miliar atau setara 0,9% dari Produk Domestik Bruto (PDB) kuartal II-2024 terjadi di tengah upaya pemerintah untuk terus mendorong investasi dan memperkuat pertumbuhan ekonomi jangka panjang. Di sisi lain, peningkatan defisit neraca jasa sebesar US$ 5,2 miliar pada kuartal II-2024 salah satunya disebabkan oleh sektor perjalanan, terutama faktor musiman dari pelaksanaan ibadah haji yang bersifat sementara. Baca Juga: Stabilitas Ekonomi Indonesia Tetap Terjaga di Tengah Tantangan Global Sedangkan, defisit pendapatan primer sebesar US$ 9,29 miliar dipengaruhi peningkatan dari pembayaran dividen dan bunga/kupon investasi yang meningkat sesuai pola kuartalan. Sementara itu, kalau dilihat dari sisi ekspor jasa, dalam beberapa tahun terakhir ini ekspor jasa Indonesia mengalami pertumbuhan signifikan, di mana pada kuartal II-2024 mencapai US$ 9,0 miliar. “Pemerintah terus mengintensifkan langkah-langkah untuk mendorong peningkatan ekspor jasa melalui penguatan kebijakan struktural,"" Ujar Ferry dalam keterangan resminya, Senin (26/8). Baca Juga: Cadangan Devisa Diperkirakan Menguat pada Agustus 2024, Ini Faktor Pendorongnya Adapun pengembangan yang dilakukan berfokus pada sektor jasa berdaya saing tinggi dan peningkatan investasi di sektor-sektor strategis, seperti teknologi dan layanan keuangan. ""Pemerintah optimistis apabila defisit transaksi berjalan akan berangsur membaik dalam jangka menengah hingga panjang,” katanya.     Cek Berita dan Artikel yang lain di Google News",nasional
"Bakrie (BNBR) Tuntaskan Proses Kuasi Reorganisasi, Hapus Defisit Rp 19,5 Triliun",2024-09-24T15:48:32.796Z,"Senin, 26 Agustus 2024 / 16:31 WIB",Reporter: Ridwan Nanda Mulyana | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/bakrie-bnbr-tuntaskan-proses-kuasi-reorganisasi-hapus-defisit-rp-195-triliun,"KONTAN.CO.ID - JAKARTA. PT Bakrie & Brothers Tbk (BNBR) mengumumkan telah menuntaskan proses kuasi reorganisasi. BNBR telah mendapatkan persetujuan dari Menteri Hukum dan Hak Asasi Manusia Republik Indonesia (Menkumham) terkait aksi korporasi ini pada 22 Agustus 2024. Persetujuan tersebut berdasarkan keputusan Menkumham No. AHU0052501.AH.01.02. Tahun 2024 tentang Persetujuan Perubahan Anggaran Dasar Perseroan Terbatas PT Bakrie & Brothers Tbk. Dengan diperolehnya persetujuan Menkumham tersebut maka pengurangan modal BNBR sehubungan dengan kuasi reorganisasi menjadi efektif. “Alhamdulillah seluruh prosedur akuntansi dan peraturan dari segi hukum telah tuntas. Kini kami dapat fokus untuk menjalankan bisnis dengan catatan buku yang bersih untuk melangkah lebih baik ke depannya. BNBR berkomitmen memberikan nilai tambah yang optimal kepada para investor kami,” kata Direktur BNBR, Roy Hendrajanto M. Sakti dalam rilis yang diterima Kontan.co.id, Senin (26/8). Baca Juga: Bakrie & Brothers (BNBR) Andalkan Bisnis Eksisting untuk Dongkrak Kinerja Sebelumnya, pemegang saham BNBR telah menyatakan persetujuannya dalam Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) pada 21 Juni 2024 lalu. Sampai berakhirnya jangka waktu pemberitahuan kepada kreditur BNBR pada 21 Agustus 2024, tidak terdapat kreditur yang melakukan sanggahan atau menyatakan keberatan terhadap rencana BNBR terkait kuasi tersebut. Roy menjelaskan, untuk melakukan kuasi reorganisasi ini BNBR harus melakukan pekerjaan yang kompleks dan sangat rinci yang berujung pada penyehatan neraca perusahaan. “Apresiasi yang tinggi kami sampaikan atas dukungan dari para pemangku kepentingan terhadap suksesnya pelaksanaan Kuasi Reorganisasi BNBR ini,” kata Roy.    Roy optimistis, kinerja BNBR akan semakin membaik di masa mendatang. Melalui kuasi reorganisasi, BNBR berhasil menghapus defisit senilai Rp 19,5 triliun. Defisit itu di antaranya berasal dari nilai akumulasi laba rugi (defisit) Perseroan pada periode 2011-2023. Roy merinci, terdapat lima tujuan dari kuasi reorganisasi yang dilaksanakan oleh BNBR. Baca Juga: Bayar Utang, Bakrie (BNBR) Lepas 15,14% Saham VKTR Setara Rp 662,5 Miliar Pertama, dengan aksi korporasi ini BNBR dapat memulai awal yang baru (fresh start) dengan neraca keuangan yang menunjukkan saldo laba tanpa dibebani defisit masa lampau. Kedua, memperbaiki struktur ekuitas BNBR dengan mengeliminasi akumulasi rugi (defisit) dengan menggunakan komponen ekuitas lain seperti agio saham, selisih transaksi dengan pihak non pengendali dan penurunan modal saham.",investasi
Indonesia Kembali Diadang Defisit Kembar,2024-09-24T15:48:33.175Z,,Premium User Only,https:////insight.kontan.co.id/news/indonesia-kembali-diadang-defisit-kembar,Premium Content - Not Scraped,insight
BI: Defisit Transaksi Berjalan Sebesar US$ 3 Miliar pada Kuartal II 2024,2024-09-24T15:48:33.377Z,"Kamis, 22 Agustus 2024 / 13:09 WIB",Reporter: Siti Masitoh | Editor: Handoyo .,https:////nasional.kontan.co.id/news/bi-defisit-transaksi-berjalan-sebesar-us-3-miliar-pada-kuartal-ii-2024,"KONTAN.CO.ID – JAKARTA. Bank Indonesia (BI) melaporkan bahwa defisit transaksi berjalan atau current account deficit (CAD) pada kuartal II 2024 tercatat sebesar US$ 3 miliar, yang setara dengan 0,9% dari Produk Domestik Bruto (PDB). Defisit transaksi berjalan ini tercatat meningkat dari Kuartal sebelumnya yang mencatatkan defisit sebesar US$ 2,4 miliar atau 0,7% dari PDB. Asisten Gubernur Bank Indonesia, Erwin Haryono, menjelaskan, bahwa meningkatnya defisit transaksi berjalan ini disebabkan oleh surplus pada neraca perdagangan barang. “Dikontribusikan oleh penurunan defisit neraca perdagangan migas dan stabilnya surplus neraca perdagangan nonmigas turut berkontribusi pada penurunan tersebut,” tutur Erwin dalam keterangan tertulisnya, Kamis (22/8). Baca Juga: Neraca Pembayaran Indonesia Catat Defisit US$ 0,6 Miliar di Kuartal II 2024 Badan Pusat Statistik (BPS) mencatat, neraca perdagangan barang Indonesia pada Juni 2024 mencatat surplus sebesar US$ 2,39 miliar. Angka ini mengalami penurunan dibandingkan bulan sebelumnya yang tercatat sebesar US$ 2,92 miliar. Surplus pada neraca perdagangan Juni 2024 terutama didorong oleh komoditas nonmigas, yang mencapai US$ 4,43 miliar, meskipun turun dari bulan sebelumnya yang sebesar US$ 4,25 miliar. Baca Juga: BI Prediksi The Fed Turunkan Suku Bunga Acuan Sebanyak 2 Kali di 2024 Di sisi lain, surplus neraca perdagangan nonmigas pada Juni 2024 meningkat menjadi US$ 4,43 miliar, lebih tinggi dibandingkan bulan sebelumnya yang sebesar US$ 4,25 miliar serta bulan yang sama tahun lalu yang sebesar US$ 4,41 miliar. Sementara itu, Erwin juga mencatat defisit neraca jasa meningkat dipengaruhi oleh defisit jasa perjalanan (travel) seiring pelaksanaan ibadah haji 2024. “Defisit neraca pendapatan primer juga lebih tinggi dipengaruhi oleh pembayaran dividen dan bunga/kupon sesuai pola triwulanan,” ungkapnya. Cek Berita dan Artikel yang lain di Google News",nasional
"Neraca Pembayaran Indonesia Catat Defisit US$ 0,6 Miliar di Kuartal II 2024",2024-09-24T15:48:33.518Z,"Kamis, 22 Agustus 2024 / 11:10 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/neraca-pembayaran-indonesia-catat-defisit-us-06-miliar-di-kuartal-ii-2024,"KONTAN.CO.ID - JAKARTA. Kinerja Neraca Pembayaran Indonesia (NPI) masih mencatatkan defisit pada kuartal II 2024, namun defisitnya membaik bila dibanding dengan kuartal sebelumnya. Asisten Gubernur, Bank Indonesia (BI) Erwin Haryono melaporkan, NPI pada kuartal II 2024 menunjukkan perbaikan dengan mencatat defisit US$ 0,6 miliar, lebih rendah dibandingkan dengan kuartal I 2024 dengan defisit sebesar US$ 6,0 miliar. “Perbaikan tersebut ditopang oleh peningkatan kinerja transaksi modal dan finansial yang mencatat surplus serta defisit transaksi berjalan yang tetap terjaga,” tutur Erwin dalam keterangan tertulisnya, Kamis (22/8). Dengan perkembangan tersebut, posisi cadangan devisa pada akhir Juni tercatat tetap tinggi sebesar US$ 140,2 miliar, atau setara dengan pembiayaan 6,2 bulan impor dan pembayaran utang luar negeri pemerintah, serta berada di atas standar kecukupan internasional sekitar 3 bulan impor. Baca Juga: BI Proyeksi Defisit Neraca Transaksi Berjalan pada Kuartal II 2024 Rendah Sementara itu, BI juga mencatat, defisit transaksi berjalan atau current account deficit (CAD) pada kuartal II 2024 sebesar US$ 3,0 miliar atau 0,9% dari PDB, lebih moderat bila dibandingkan dengan defisit 2,4 miliar atau 0,7% dari PDB pada kuartal I 2024. Lebih rendahnya defisit ini salah satunya didorong oleh surplus neraca perdagangan barang meningkat, dikontribusikan oleh defisit neraca perdagangan migas yang menurun dan surplus neraca perdagangan nonmigas yang relatif stabil. Kemudian, kinerja transaksi modal dan finansial membaik di tengah tingginya ketidakpastian pasar keuangan global. Transaksi modal dan finansial mencatat surplus US$ 2,7 miliar pada kuartal II 2024, dari sebelumnya defisit US$ 1,6 miliar pada kuartal I 2024. Kinerja positif ini terutama ditopang oleh aliran masuk modal asing pada investasi portofolio di tengah ketidakpastian pasar keuangan global yang masih tinggi. Investasi langsung tetap membukukan surplus sejalan dengan optimisme investor terhadap prospek ekonomi dan iklim investasi domestik yang terjaga. Baca Juga: Surplus Neraca Transaksi Berjalan Diproyeksi Hingga 2029, Rupiah Berpotensi Melemah Erwin menyampaikan, ke depan BI akan mencermati dinamika perekonomian global yang dapat mempengaruhi prospek NPI dan terus memperkuat respons bauran kebijakan yang didukung sinergi kebijakan yang erat dengan pemerintah dan otoritas terkait guna memperkuat ketahanan sektor eksternal. “NPI 2024 diperkirakan terjaga dengan transaksi berjalan dalam kisaran defisit rendah sebesar 0,1% sampai dengan 0,9% dari PDB,” ungkapnya. Cek Berita dan Artikel yang lain di Google News",nasional
BI Proyeksi Defisit Neraca Transaksi Berjalan pada Kuartal II 2024 Rendah,2024-09-24T15:48:33.654Z,"Rabu, 21 Agustus 2024 / 16:02 WIB",Reporter: Siti Masitoh | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/bi-proyeksi-defisit-neraca-transaksi-berjalan-pada-kuartal-ii-2024-rendah,"KONTAN.CO.ID – JAKARTA. Bank Indonesia (BI) memperkirakan defisit neraca transaksi berjalan pada kuartal II 2024 akan rendah, didukung oleh peningkatan surplus neraca perdagangan. Gubernur BI, Perry Warjiyo, menyampaikan, defisit neraca transaksi berjalan diperkirakan dalam kisaran 0,1% sampai dengan 0,9% dari produk domestik bruto (PDB). Ia juga menyampaikan, rendahnya defisit neraca transaksi berjalan menunjukkan neraca pembayaran Indonesia (NPI) tetap sehat dan terus mendukung ketahanan eksternal. Baca Juga: Surplus Neraca Perdagangan Makin Tipis, Akankah Balik Arah Jadi Defisit? “Sementara itu, transaksi modal dan finansial mencatat surplus di tengah tingginya ketidakpastian pasar keuangan global. Kinerja NPI yang positif diperkirakan berlanjut pada kuartal III 2024,” tutur Perry dalam konferensi pers, Rabu (21/8). Adapun pada Juli 2024, neraca perdagangan kembali mencatat surplus sebesar US$ 0,5 miliar.  Sementara itu, aliran investasi portofolio asing juga menguat ke berbagai instrumen pasar keuangan domestik, seperti SBN, SRBI, dan saham, yang hingga 19 Agustus 2024 (qtd) secara neto tercatat inflow sebesar US$ 7,2 miliar. Posisi cadangan devisa akhir Juli 2024 tercatat meningkat menjadi US$ 145,4 miliar dolar AS, setara dengan pembiayaan 6,5 bulan impor atau pembiayaan 6,3 bulan impor dan pembayaran utang luar negeri pemerintah, serta berada di atas standar kecukupan internasional sekitar 3 bulan impor. Baca Juga: Surplus Neraca Perdagangan Diperkirakan Meningkat Jadi US$ 2,67 Miliar di Juli 2024 “Ke depan, NPI 2024 diperkirakan terjaga dengan transaksi berjalan dalam kisaran defisit rendah sebesar 0,1% sampai dengan 0,9% dari PDB,” ungkapnya. Di samping itu, Perry juga memperkirakan neraca transaksi modal dan finansial tetap surplus, ditopang oleh peningkatan investasi portofolio dan Penanaman Modal Asing (PMA), sejalan persepsi positif investor terhadap prospek perekonomian nasional dan imbal hasil investasi yang menarik. Cek Berita dan Artikel yang lain di Google News",nasional
