Title,Scrapping Date,Article Date,Author,Link,Content,Category
Harga SUN Acuan Berpeluang Naik Dalam Jangka Panjang,2024-09-24T16:07:59.902Z,,Premium User Only,https:////insight.kontan.co.id/news/harga-sun-acuan-berpeluang-naik-dalam-jangka-panjang,Premium Content - Not Scraped,insight
"Harga Menguat, Lelang SUN Pekan Depan Diprediksi Kiann Semarak",2024-09-24T16:08:00.193Z,,Premium User Only,https:////insight.kontan.co.id/news/harga-menguat-lelang-sun-pekan-depan-diprediksi-kiann-semarak,Premium Content - Not Scraped,insight
"Harga obligasi cenderung naik, lelang SUN diproyeksikan ramai",2024-09-24T16:08:00.800Z,"Jumat, 21 Agustus 2020 / 17:26 WIB",Reporter: Danielisa Putriadita | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/harga-obligasi-cenderung-naik-lelang-sun-diproyeksikan-ramai,"KONTAN.CO.ID - JAKARTA. Harga Surat Utang Negara (SUN) cenderung bergerak menguat dengan yield yang bergerak menurun berpotensi memicu ramainya minta investor pada lelang SUN di Selasa (25/8). Yield SUN seri acuan FR0082 tenor 10 tahun misalnya, menurun 0,35% menjadi 6,68% per Rabu (19/8). Associate Director Fixed Income Anugerah Sekuritas Indonesia Ramdhan Ario Maruto cukup optimistis pelaksanaan lelang SUN pekan depan akan ramai lantaran pasar obligasi tengah menguat yang ditandai dengan penurunan yield SUN. Baca Juga: Pemerintah akan lelang tujuh seri SUN pada Selasa (25/8), simak daftarnya ""Yield yang kembali menurun menunjukkan adanya penguatan di pasar obligasi, sehingga permintaan investor di lelang SUN akan cukup baik,"" kata Ramdhan, Jumat (21/8). Meski begitu, Ramdhan memproyeksikan mayoritas investor masih tetap berasal dari domestik. Sementara, investor asing belum berhasil kembali menjadi mayoritas meski minatnya mulai meningkat dibanding pada lelang sebelumnya. ""Investor asing belum banyak masuk, tetapi potensi masuknya besar karena didukung penurunan suku bunga acuan BI yang hanya tinggal tunggu waktu yang tepat saja,"" kata Ramhdan. Jika suku bunga acuan bisa kembali turun maka yield obligasi berpotensi menurun dan harga obligasi akan terdongkrak. Selain itu, Ramdhan memproyeksikan investor asing akan mulai masuk secara perlahan karena juga didukung sentimen positif dari proses uji coba vaksin korona. Ramdhan memproyeksikan jumlah penawaran yang masuk dalam lelang SUN pekan depan kembali mampu mendekati Rp 100 triliun. Sekadar informasi, jumlah penawaran yang masuk dalam lelang SUN dua pekan lalu mencapai Rp 106 triliun. Seri FR0086 dan FR0087 Ramdhan proyeksikan akan banyak diburu investor karena kedua seri ini berpotensi menjadi seri acuan untuk tenor lima dan 10 tahun di tahun depan. Ivestor juga Ramdhan proyeksikan akan cenderung memburu lebih banyak seri dengan tenor kurang dari 10 tahun. Penyebabnya seri tenor yang lebih pendek memiliki volatilitas harga yang lebih rendah dibanding seri tenor panjang atau di atas 10 tahun. Namun, Ramdhan memproyeksikan pemerintah akan cenderung lebih banyak menyerap dari tenor panjang. Baca Juga: Persaingan penerbitan obligasi di semester II makin ketat Cek Berita dan Artikel yang lain di Google News",investasi
Stimulus BI Tak Mempan Angkat Prospek Harga Surat Utang Negara (SUN),2024-09-24T16:08:01.108Z,,Premium User Only,https:////insight.kontan.co.id/news/stimulus-bi-tak-mempan-angkat-prospek-harga-surat-utang-negara-sun,Premium Content - Not Scraped,insight
"Harga SUN jeblok, investor perlu memperhatikan hal berikut",2024-09-24T16:08:01.264Z,"Senin, 23 Maret 2020 / 18:14 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/harga-sun-jeblok-investor-perlu-memperhatikan-hal-berikut,"KONTAN.CO.ID - JAKARTA. Di tengah penyebaran virus corona yang membuat pasar diliputi kekhawatiran, harga Surat Utang Negara (SUN) turut kena kena imbas. Merujuk data Indonesia Bond Pricing Agency (IBPA), empat SUN seri acuan serempak mengalami penurunan secara year to date. Harga SUN acuan bertenor lima tahun yakni FR0081 saat ini berada di level 96,11, turun 4,41% dari posisi akhir 2019 yang masih sebesar 100,54. Sementara harga SUN seri acuan 10 tahun yakni FR0082 sekarang berada di level 91,30, turun 8,27% secara ytd. Pada akhir 2019, seri FR0082 berada di level 99,53. Dengan penyebaran virus corona yang masih belum bisa diprediksi kapan berakhirnya, harga SUN diperkirakan masih akan cenderung mengalami penurunan. Head of Economics Research Pefindo Fikri C Permana menyebut saat ini persepsi akan risiko berinvestasi di Indonesia atau level credit default swap (CDS) menjadi kunci di pasar surat utang dalam negeri saat ini. Baca Juga: Penurunan harga SUN seri acuan masih bisa berlanjut Fikri menjelaskan, CDS yang berkaitan dengan persepsi maka terdapat beberapa faktor fundamental yang merupakan pengubah persepsi. Setidaknya terdapat lima faktor yang disebutkan Fikri. “Pertama adalah persepsi terhadap penanganan virus corona oleh pemerintah. Kedua adalah persepsi stabilitas rupiah, khususnya intervensi BI dalam menjaga stabilitas dan pergerakan yang selaras antara pasar spot & DNDF rupiah,” ujar Fikri. Ketiga, persepsi dalam menjaga stabilitas di pasar keuangan baik saham dan surat utang, khususnya ketersediaan likuiditas saat terjadi sell off investor asing. Keempat, persepsi dalam menjaga stabilitas harga dan ketersediaan barang di pasar riil. Kelima, persepsi terhadap kepastian hukum dan kebijakan di dalam negeri, khususnya di sektor investasi dan lapangan pekerjaan. Kelima faktor persepsi inilah yang disebut Fikri harus dijaga agar CDS juga terjaga. Baca Juga: IHSG tembus bawah 4.000, pelemahan bisa terjadi lagi pada Selasa (24/3) Dengan kondisi harga SUN seri acuan yang tengah turun, Fixed Income Portfolio Manager Sucorinvest Asset Management Adi Saputra menuturkan ini bisa menjadi momen yang tepat untuk masuk ke pasar SUN. Terlebih lagi Bank Indonesia baru saja memangkas suku bunga acuan dan kemungkinan diprediksi masih akan terjadi lagi. Adi menyebut yield SUN selalu bergerak mengikuti suku bunga. Pasalnya ketika suku bunga turun, secara teori harga obligasi yang sekarang akan naik. “Dari kacamata investor, dengan adanya penurunan suku bunga maka ke depannya ada potensi yg bagus di pasar obligasi termasuk SUN. Ada potensi capital gain kalau kita ambil posisi sekarang dengan acuan imbal hasil surat utang negara tenor 10 tahun di sekitar 8%,” ujar Adi. Baca Juga: Rupiah loyo dan ditutup ke level Rp 16.575 per dolar AS pada perdagangan hari ini Cek Berita dan Artikel yang lain di Google News",investasi
Penurunan harga SUN seri acuan masih bisa berlanjut,2024-09-24T16:08:01.576Z,"Senin, 23 Maret 2020 / 17:12 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/penurunan-harga-sun-seri-acuan-masih-bisa-berlanjut,"KONTAN.CO.ID - JAKARTA. Harga Surat Utang Negara (SUN) seri benchmark terus mengindikasikan tren penurunan. Keempat seri acuan yang turun adalah seri FR0081 (5 tahun), seri FR0082 (10 tahun), FR0080 (15 tahun) dan seri FR0083 (20 tahun). Bahkan, sebenarnya tren penurunan harga SUN sebenarnya sudah terjadi sejak awal tahun. Hal tersebut diungkapkan oleh analis Indonesia Bond Pricing Agency (IBPA) Roby Rushandie. Roby menyebut, turunnya harga SUN tidak terlepas dari tengah tingginya ketidakpastian yang melanda pasar. “Pelaku pasar masih cenderung ke cash position. Karena ini kondisi yang belum pernah terjadi di market sebelumnya di mana wabah mendorong risiko resesi,” ujar Roby kepada Kontan.co.id, Senin (23/3). Baca Juga: Investor Asing Bakal Jualan SBN Sampai Mei, Momentum Tepat untuk Beli di Harga Rendah Roby menyebut, seri tenor panjang FR0083 merupakan seri acuan yang harganya turun paling dalam secara year to date (ytd), yakni 8,69%. Sementara seri FR0081 merupakan seri acuan yang turun paling tipis, yakni 4,41%. Berikut tabel berisikan detail lengkap harga SUN seri acuan:  Baca Juga: Aksi jual asing di pasar obligasi berlanjut, apa yang harus dilakukan investor lokal? Sementara Head of Economics Research Pefindo Fikri C Permana mengatakan penurunan harga SUN seri acuan tidak terlepas dari yield-nya yang juga terus mengalami kenaikan. “Yield terus meningkat karea persepsi risiko terhadap Indonesia juga meningkat. Hal ini terlihat dari indikator credit default swap (CDS) Indonesia yang saat ini masih tinggi,” kata Fikri. Sebagai informasi tambahan, merujuk Bloomberg, CDS Indonesia untuk tenor 5 tahun per hari ini, Senin (23/3) berada di level 293,395. Sementara untuk yield seri acuan 5 tahun yakni FR0081, merujuk data IBPA saat ini berada di 6,34%. Sudah naik 79,59 bps secara ytd. Berikut tabel berisikan detail lengkap yield SUN seri acuan berdasarkan data Bloomberg:  Baca Juga: Cash is The King, Ini Strategi Menempatkan Dana di Tengah Pandemi Corona Terkait harga seri acuan SUN 5 tahun menjadi yang paling kecil penurunannya dinilai wajar oleh Fikri. Mengingat perilaku risk aversion masih mendominasi pasar sehingga seri-seri tenor pendek dianggap lebih rendah risiko dibanding seri-seri tenor panjang. Secara umum, Fikri pesimistis kondisi ini akan segera membaik. “Karena yield terkait dengan CDS. Saya pikir dengan CDS yang masih mungkin naik maka kemungkinan yield masih berpeluang naik, dan pada akhirnya membuat harganya menurun,” jelas Fikri Sementara Roby menuturkan tren penurunan harga SUN seri acuan masih bisa akan berlangsung dalam beberapa waktu ke depan. Ia melihat upaya Bank Indonesia dengan menurunkan suku bunga acuan juga belum memberikan dampak positif ke harga SUN seri acuan. “Tapi secara long term pasar SUN sebenarnya masih positif. Ketika kondisi kondusif, lockdown dicabut, investor akan mulai confidence lagi perlahan-lahan sehingga investor asing juga akan masuk lagi,” tutur Roby. Baca Juga: CORE: Rupiah Rp 17.000 per dolar AS mungkin, tapi Rp 20.000 per dolar AS terlalu jauh Cek Berita dan Artikel yang lain di Google News",investasi
"Harga Merosot Lagi, Surat Utang Negara (SUN) Diperkirakan Masih Prospektif",2024-09-24T16:08:02.054Z,,Premium User Only,https:////insight.kontan.co.id/news/harga-merosot-lagi-surat-utang-negara-sun-diperkirakan-masih-prospektif,Premium Content - Not Scraped,insight
Harga SUN Terkoreksi Perang Dagang,2024-09-24T16:08:02.390Z,,Premium User Only,https:////insight.kontan.co.id/news/harga-sun-terkoreksi-perang-dagang,Premium Content - Not Scraped,insight
"Harga SUN terus naik, penawaran lelang mencapai Rp 68 triliun",2024-09-24T16:08:02.562Z,"Selasa, 05 November 2019 / 18:17 WIB",Reporter: Irene Sugiharti | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/harga-sun-terus-naik-penawaran-lelang-mencapai-rp-68-triliun,"KONTAN.CO.ID - JAKARTA. Harga SUN yang sudah melambung tinggi membuat hasil lelang Surat Hutang Negara (SUN), Selasa (5/11) menurun jika dibandingkan dengan lelang dua pekan lalu. Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan merilis total penawaran yang masuk dalam lelang hari ini sebesar Rp 67,97 triliun. Sementara, pada lelang dua pekan lalu menerima lebih banyak penawaran masuk, yakni sebesar Rp 73,86 triliun. Dari total penawaran yang masuk, pemerintah memenangkan Rp 24,25 triliun. Angka ini pun lebih rendah daripada lelang pada 22 Oktober lalu yang sebesar Rp 27,20 triliun. Baca Juga: Ada pengumuman pertumbuhan ekonomi kuartal III-2019, begini prediksi rupiah hari ini Senior Vice President Recapital Asset Management Rio Ariansyah mengatakan harga SUN yang mahal membuat investor cenderung wait and see. “Mungkin banyak investor tidak mau buy on rally karena pergerakan harga SUN relatif agak kencang,"" kata Rio, Selasa (5/11). Rio mengatakan, harga SUN masih cenderung rawan koreksi. Meski penawaran pada lelang SUN turun, Rio optimistis prospek SUN masih bagus dan harga berpotensi menguat. Dia bahkan memproyeksikan yield SUN 10 tahun bisa berada di bawah 7%. Dalam lelang kali ini, investor masih banyak memburu tenor seri FR0082 yang akan jatuh tempo pada September 2030. Penawaran yang masuk pada seri ini mencapai Rp 18,02 triliun. Disusul oleh SUN tenor pendek yakni SPN03200206 dan SPN12201106 yang masing-masing memiliki nilai penawaran Rp 12,06 triliun dan Rp 11,95 triliun dan akan jatuh tempo pada tahun depan. Baca Juga: Suku bunga turun, analis: Ini waktu yang tepat untuk terbitkan obligasi Hal yang menarik, dalam lelang kali ini karena SUN dengan tenor jangka panjang (20 tahun) yakni FR0083 memperoleh hasil penawaran jauh lebih tinggi dari penawaran dua pekan lalu. Dalam lelang kali ini, FR0083 mencatatkan nilai penawaran sebesar Rp 10,48 triliun, sementara pada lelang dua pekan lalu FR0079 yang bertenor 20 tahun tercatat hanya mengantongi penawaran sebesar Rp 4,44 triliun. Rio menyebut, potensi kenaikan gain yang kecil di tenor pendek membuat investor cenderung memilih tenor panjang untuk dapatkan cuan maksimal. Rio menambahkan, pergerakan tenor panjang cenderung fluktuatif daripada tenor pendek sehingga memungkinkan investor mendapatkan cuan maksimal di tengah tren harga SUN yang cenderung tinggi. Cek Berita dan Artikel yang lain di Google News",investasi
"Harga SUN Masih Stagnan Sejak Suku Bunga Dipangkas, Ini Rekomendasi Analis",2024-09-24T16:08:02.855Z,,Premium User Only,https:////insight.kontan.co.id/news/harga-sun-masih-stagnan-sejak-suku-bunga-dipangkas-ini-rekomendasi-analis,Premium Content - Not Scraped,insight
