Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Hadiri Forum IMF- JICA, Sri Mulyani Pamer Desain Reformasi Kebijakan Fiskal RI",2024-09-24T15:47:58.007Z,"Selasa, 14 Februari 2023 / 14:40 WIB",Reporter: Siti Masitoh | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/hadiri-forum-imf-jica-sri-mulyani-pamer-desain-reformasi-kebijakan-fiskal-ri,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan Sri Mulyani Indrawai menyampaikan, Indonesia telah mendesain berbagai reformasi kebijakan fiskal, untuk menyeimbangkan keberlanjutan fiskal dan melaksanakan fungsi jangka pendek, alokasi, distribusi, dan stabilisasi. Hal tersebut disampaikan saat menjadi pembicara pada forum IMF - Japan International Cooperation Agency (JICA), di Tokyo Jepang, pada Selasa (14/2). Menurutnya, reformasi kebijalan fiskal yang dilakukan pemerintah, dua di antaranya yang sangat penting, yaitu Undang-Undang Harmonisasi Peraturan Perpajakan (UU HPP) dan UU Hubungan Keuangan antara Pemerintah Pusat dan Pemerintahan Daerah (HKPD). Baca Juga: Menkeu Tutup Rapat Audit Jaminan Kesehatan “Dua omnibus law juga diberlakukan, yaitu UU Cipta Kerja dan UU Pengembangan dan Penguatan Sektor Keuangan (P2SK), sebuah langkah untuk memastikan sektor keuangan domestik yang terus tumbuh inklusif, dalam, dan stabil,” tutur Sri Mulyani dikutip dari postingan akun Instagramnya @smindrawati, Selasa (14/2). Adapun Sri Mulyani menjelaskan, dalam forum pertemuan tersebut juga membahas mengenai isu vital perubahan iklim. Sri Mulyani juga sempat menjelaskan berbagai kontribusi nyata Indonesia dalam perubahan iklim. Misalnya saja dengan berkontribusi memperbarui Nationally Determined Contribution dari 29% menjadi 31.89% dengan usaha sendiri dan dari 41% menjadi 43% dengan dukungan internasional. “Ini adalah wujud optimisme dan komitmen Indonesia sekaligus mendorong transisi energi yang adil dan terjangkau,” kata Dia. Sri Mulyani juga menambahkan, Indonesia merupakan Co-chair pada Coalition of Finance Minister for Climate Action yang beranggotakan 80 negara. Tujuan Indonesia adalah mengarusutamakan kelestarian iklim dalam kebijakan tanpa memperlambat pertumbuhan ekonomi. Baca Juga: Digugat Sri Mulyani di PTUN, Begini Respons Indonesia Corruption Watch (ICW) Indonesia, kata Dia juga akan memastikan akselerasi reformasi struktural terus berjalan. Ini penting agar perekonomian Indonesia tumbuh semakin tinggi, semakin inklusif, dan semakin terjaga keberlanjutannya. Tak lupa, Sri Mulyani juga menyampaikan berbagai langkah-langkah yang pemerintah Indonesia tempuh dalam menghadapi pandemi Covid-19. Cek Berita dan Artikel yang lain di Google News",nasional
Mengenal Kebijakan Fiskal dan Kebijakan Moneter untuk Menekan Dampak Inflasi,2024-09-24T15:47:58.409Z,,,https:////caritahu.kontan.co.id/news/mengenal-kebijakan-fiskal-dan-kebijakan-moneter-untuk-menekan-dampak-inflasi,,caritahu
Sri Mulyani: APBD Harus Selaras dengan Arah Kebijakan Fiskal dan Program Prioritas,2024-09-24T15:47:58.634Z,"Kamis, 16 Juni 2022 / 19:21 WIB",Reporter: Siti Masitoh | Editor: Handoyo .,https:////nasional.kontan.co.id/news/sri-mulyani-apbd-harus-selaras-dengan-arah-kebijakan-fiskal-dan-program-prioritas,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan (Menkeu) Sri Mulyani Indrawati mengatakan bahwa penyusunan Anggaran Pendapatan dan Belanja Daerah (APBD) Tahun 2023 diarahkan agar dapat sejalan dan selaras dengan arah kebijakan fiskal dan program prioritas nasional. Program prioritas nasional tersebut meliputi pengelolaan kualitas Sumber Daya Manusia (SDM), pembangunan infrastruktur, reformasi birokrasi, revitalisasi industri, dan pembangunan ramah lingkungan atau ekonomi hijau. “Saya mohon Bapak dan Ibu sekalian memperhatikan prioritas nasional dan bagaimana nanti APBD disusun agar sejalan dengan prioritas tersebut,” tutur Sri Mulyani dalam keterangan tertulisnya, Kamis (16/6). Baca Juga: Kekesalan Jokowi Soal APBN Digunakan untuk Belanja Produk Impor Sri Mulyani juga menyampaikan fokus APBD ke depan, akan melakukan pengelolaan belanja daerah yang semakin baik.  Menurutnya, dalam kurun waktu 11 tahun seluruh komponen belanja daerah tercatat terus mengalami peningkatan mulai dari sisi belanja pegawai, belanja barang dan jasa, belanja barang modal, dan belanja daerah lainnya. Meski begitu, Dia mengingatkan perlunya perbaikan pada komposisi anggaran belanja daerah serta percepatan realisasi belanja daerah yang masih melambat. “Selama 11 tahun terakhir belanja daerah itu meningkat terus. Tahun 2011 transfer dari pusat itu hanya sekitar 450 triliun, sekarang sudah 770 triliun. Namun APBD kita menghadapi masalah percepatan realisasi belanja yang lambat” jelasnya. Baca Juga: Anggaran Pembangunan Proyek Strategis Nasional Tak Akan Dipotong Dia berharap agar Pemerintah Daerah dapat meningkatkan kualitas penganggaran di daerah secara lebih tepat dan akuntabel.  Sri Mulyani juga mengatakan siap membantu dan bekerjasama mendukung Pemerintah Daerah sebagaimana telah diatur dalam Undang-undang HKPD untuk membantu menyelesaikan permasalahan keuangan daerah. Adapun, Sri Mulyani berpesan agar para pengelola keuangan di daerah dapat terus meningkatkan kualitas pengelolaan anggaran dan memperbaiki alokasi belanja. Menkeu juga menyampaikan agar tetap berfokus kepada perbaikan kualitas sumber daya manusia dan infrastruktur dasar, meskipun di tengah dinamika kondisi ekonomi dunia yang tidak mudah seperti saat ini. Cek Berita dan Artikel yang lain di Google News",nasional
Kebijakan Makro dan Fiskal 2023 Tanpa Burden Sharing,2024-09-24T15:48:00.137Z,,Premium User Only,https:////insight.kontan.co.id/news/kebijakan-makro-dan-fiskal-2023-tanpa-burden-sharing,Premium Content - Not Scraped,insight
Tiga Hal Ini Jadi Pertimbangan Dalam Penyusunan Kebijakan Makro dan Fiskal 2023,2024-09-24T15:48:00.524Z,"Sabtu, 21 Mei 2022 / 05:00 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////newssetup.kontan.co.id/news/tiga-hal-ini-jadi-pertimbangan-dalam-penyusunan-kebijakan-makro-dan-fiskal-2023,"KONTAN.CO.ID - JAKARTA. Pemerintah menyampaikan pengantar Kebijakan Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM PPKF) tahun anggaran 2023 dalam Sidang Paripurna DPR, Jumat (20/5). Menteri Keuangan (Menkeu) Sri Mulyani Indrawati mengatakan, penyusunan KEM PPKF tahun ini berbeda dengan tahun sebelumnya karena beberapa hal. Pertama, KEM PPKF 2023 disusun pada saat pandemi Covid-19 yang telah menginjak tahun yang ketiga dan akan memasuki tahap transisi ke periode endemik dan normal baru. “Oleh karena itu, rancangan KEM PPKF dirancang searah dengan tahap transisi tersebut dalam rangka untuk mengantisipasi perubahan baru yang muncul akibat terjadinya Covid dan pasca Covid,” tutur Sri Mulyani dalam konferensi pers Kebijakan Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal 2023, Jumat (20/5). Baca Juga: Sri Mulyani: Defisit APBN 2023 Ditekan ke 2,61%-2,90%, Utang Terkendali Kedua, penyusunan KEM PPKF 2023 dilakukan pada saat kondisi lingkungan global sedang bergejolak dengan ketidakpastian yang tinggi. Menurut Sri Mulyani, ada dua tantangan besar akibat hal tersebut. Yakni, lonjakan inflasi global karena kenaikan harga-harga komoditas akibat disrupsi suplai maupun perang yang terjadi di Ukraina. Serta percepatan pengetatan kebijakan moneter global khususnya di Amerika Serikat (AS) yang menaikkan kenaikan suku bunga. Ketiga, KEM PPKF 2023 disusun dan disiapkan sebagai baseline baru kebijakan makro ekonomi fiskal pasca implementasi Undang-Undang Nomor 2 Tahun 2020 yang merupakan undang-undang dalam menangani kondisi pandemi. Pada UU Nomor 2 Tahun 2020 mengamanatkan bahwa defisit APBN harus kembali di bawah 3% dari produk domestik bruto (PDB) pada tahun 2023. “Selain itu, dukungan pembiayaan dari Bank Indonesia melalui skema burden sharing juga akan berakhir pada tahun ini,” kata Sri Mulyani. Kebijakan ekonomi makro dan fiskal tahun 2023 juga difokuskan pada peningkatan kualitas SDM, akselerasi pembangunan infrastruktur, memantapkan reformasi birokrasi dan simplifikasi regulasi, revitalisasi industri, dan pembangunan ekonomi hijau. Baca Juga: Transaksi Berjalan Surplus, Tapi Neraca Pembayaran Indonesia Defisit pada Kuartal I Cek Berita dan Artikel yang lain di Google News",newssetup
Sri Mulyani: Ada Tiga Poin Penting Dalam Penyusunan Kebijakan Makro dan Fiskal 2023,2024-09-24T15:48:00.838Z,"Jumat, 20 Mei 2022 / 16:12 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/sri-mulyani-ada-tiga-poin-penting-dalam-penyusunan-kebijakan-makro-dan-fiskal-2023,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan (Menkeu) Sri Mulyani Indrawati menyampaikan pengantar dan keterangan pemerintah atas Kebijakan Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM PPKF) tahun anggaran 2023 dalam Sidang Paripurna DPR, Jumat (20/5). Sri Mulyani mengatakan, penyusunan KEM PPKF tahun ini berbeda dengan tahun sebelumnya karena beberapa hal. Pertama, KEM PPKF 2023 disusun pada saat pandemi Covid-19 yang telah menginjak tahun yang ketiga dan akan memasuki tahap transisi ke periode endemik dan normal baru. “Oleh karena itu, rancangan KEM PPKF dirancang searah dengan tahap transisi tersebut dalam rangka untuk mengantisipasi perubahan baru yang muncul akibat terjadinya Covid dan pasca Covid,” tutur Sri Mulyani dalam konferensi pers Kebijakan Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal 2023, Jumat (20/5). Baca Juga: Sri Mulyani: Defisit APBN 2023 Ditekan ke 2,61%-2,90%, Utang Terkendali Kedua, penyusunan KEM PPKF 2023 dilakukan pada saat kondisi lingkungan global sedang bergejolak dengan ketidakpastian yang tinggi. Menurut Sri Mulyani, ada dua tantangan besar akibat hal tersebut. Yakni, lonjakan inflasi global karena kenaikan harga-harga komoditas akibat disrupsi suplai maupun perang yang terjadi di Ukraina. Serta percepatan pengetatan kebijakan moneter global khususnya di Amerika Serikat (AS) yang menaikkan kenaikan suku bunga. Ketiga, KEM PPKF 2023 disusun dan disiapkan sebagai baseline baru kebijakan makro ekonomi fiskal pasca implementasi Undang-Undang Nomor 2 Tahun 2020 yang merupakan undang-undang dalam menangani kondisi pandemi. Pada UU Nomor 2 Tahun 2020 mengamanatkan bahwa defisit APBN harus kembali di bawah 3% dari produk domestik bruto (PDB) pada tahun 2023. “Selain itu, dukungan pembiayaan dari Bank Indonesia melalui skema burden sharing juga akan berakhir pada tahun ini,” kata Sri Mulyani. Kebijakan ekonomi makro dan fiskal tahun 2023 juga difokuskan pada peningkatan kualitas SDM, akselerasi pembangunan infrastruktur, memantapkan reformasi birokrasi dan simplifikasi regulasi, revitalisasi industri, dan pembangunan ekonomi hijau. Baca Juga: Transaksi Berjalan Surplus, Tapi Neraca Pembayaran Indonesia Defisit pada Kuartal I Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah dan DPR Mulai Bahas Kebijakan Makro dan Pokok-Pokok Fiskal RAPBN 2023,2024-09-24T15:48:01.465Z,"Rabu, 18 Mei 2022 / 20:04 WIB",Reporter: Bidara Pink | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/pemerintah-dan-dpr-mulai-bahas-kebijakan-makro-dan-pokok-pokok-fiskal-rapbn-2023,"KONTAN.CO.ID -  JAKARTA. Dewan Perwakilan Rakyat (DPR) bersama pemerintah akan mulai membahas Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM-PPKF) Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) 2023 dan Rencana Kerja Pemerintah. Wakil Ketua DPR RI Sufmi Dasco Ahmad berharap, asa Indonesia dalam membawa defisit fiskal kembali menjadi maksimal 3% Produk Domestik Bruto (PDB) bisa terlaksana pada tahun 2023. Hal ini juga menimbang situasi pandemi Covid-19 terkini, serta penanganan dampak yang makin kondusif. Sehingga, pada tahun 2023, diharapkan pemulihan sosial dan ekonomi makin baik. “Selama ini relaksasi defisit yang melebar digunakan untuk menangani dampak pandemi Covid-19, yaitu tekanan penerimaan yang turun tajam akibat terhentinya kegiatan ekonomi nasional dan global, serta untuk penanganan kesehatan, perlindungan sosial, dan pemulihan ekonomi,” tutur Dasco dalam keterangannya, seperti dikutip Rabu (18/5). Baca Juga: Ini Alasan Indonesia Perlu Waspadai Lonjakan Inflasi Global Meski begitu, Dasco mengingatkan harus tetap mewaspadai berbagai tantangan besar yang dihadapi perekonomian Indonesia pada hari-hari ke depan. Ini didorong oleh krisis pandemi Covid-19 yang meninggalkan luka memar bagi perekonomian, tingkat kemiskinan, dan pengangguran yang belum kembali dari sebelum pandemi Covid-19. Selain itu, adanya eskalasi perang geopolitik antara Rusia dan Ukraina yang berkepanjangan berdampak pada peningkatan harga komoditas global yang turut mendorong risiko peningkatan inflasi dalam negeri. “Bahkan APBN Tahun Anggaran 2023 juga akan menanggung sejumlah beban keuangan negara yang diakibatkan oleh perkembangan dan dinamika perekonomian global khususnya yang terkait minyak bumi,” tutur politisi Partai Gerindra itu. Dengan kondisi ini, maka kebijakan fiskal perlu dirancang secara cermat, yaitu dalam mengoptimalkan ruang fiskal APBN 2023 yang tersedia untuk menjalankan fungsi pemerintahan dan pembangunan nasional. Baca Juga: Pelaku IHT tolak kenaikan cukai di tengah tekanan dunia usaha Salah satunya, dilakukan dengan menyusun skala prioritas, mendahulukan penuntasan program strategis nasional yang sedang berjalan, memperkuat program pelayanan umum pemerintah dalam urusan kesehatan, pendidikan, perlindungan sosial, perumahan, ekonomi rakyat, dan penciptaan lapangan kerja. Lebih lanjut, Dasco mengaku DPR RI akan memberi perhatian besar pada KEM-PPKF 2023 agar dapat mewujudkan APBN Tahun Anggaran 2023 yang dapat meningkatkan kualitas hidup dan kesejahteraan rakyat. Cek Berita dan Artikel yang lain di Google News",nasional
Badan Kebijakan Fiskal Kemenkeu Kaji Larangan Ekspor CPO pada Perekonomian Indonesia,2024-09-24T15:48:01.786Z,"Jumat, 13 Mei 2022 / 15:49 WIB",Reporter: Bidara Pink | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/badan-kebijakan-fiskal-kemenkeu-kaji-larangan-ekspor-cpo-pada-perekonomian-indonesia,"KONTAN.CO.ID -  JAKARTA. Pemerintah melarang ekspor minyak sawit mentah atau crude palm oil (CPO) dan turunannya. Kebijakan ini berlaku mulai 28 April 2022 sampai waktu yang belum ditetapkan. Sehubungan dengan hal ini, Kepala Badan Kebijakan Fiskal (BKF) Febrio N. Kacaribu menyebut pemerintah sedang mengevaluasi dampak larangan ekspor CPO tersebut terhadap pertumbuhan ekonomi. “Terkait dampak larangan ekspor CPO evaluasi. Namun, yang jelas, prioritas kami adalah menjaga pertumbuhan ekonomi,” tutur Febrio dalam media briefing secara daring, Jumat (13/5). Febrio menekankan, fakta pelarangan ekspor CPO ini adalah untuk menjaga daya beli masyarakat dan ketersediaan bahan pokok di Indonesia. Apalagi, akhir-akhir ini harga minyak goreng meningkat signifikan. Bahkan, dari awal tahun hingga 8 Mei 2022, harga minyak goreng kemasan sudah meningkat 26,6% year to date (ytd). Baca Juga: Mudik ke Energi Hijau Dengan larangan ekspor ini, diharapkan ketersediaan bahan pokok di Indonesia terjaga sehingga kemudian harga-harga stabil dan daya beli masyarakat pun terjaga. Pemerintah pun tetap melakukan evaluasi dari waktu ke waktu. Memang, sebagai salah satu komoditas ekspor terbesar Indonesia, CPO dan turunannya ini juga memegang peran penting terhadap Produk Domestik Bruto (PDB) Indonesia pada kuartal I-2022. Menurut data Badan Pusat Statistik (BPS), ekspor CPO memberikan kontribusi sekitar 2,5% terhadap PDB Indonesia kuartal I-2022 Atas Dasar Harga Berlaku (ADHB). Bila PDB ADHB pada tiga bulan pertama tahun ini tercatat Rp 4.513 triliun, maka kontribusi ekspor CPO pada kuartal I-2022 sebesar Rp 112,83 triliun. Baca Juga: Dunia Usaha Mulai Menggeliat, Ini yang Dilakukan Pemerintah Kepala BPS Margo Yuwono pun menduga dengan adanya larangan ekspor ini, maka akan mengurangi kontribusi ekspor CPO terhadap PDB pada periode setelahnya. Cek Berita dan Artikel yang lain di Google News",nasional
Sri Mulyani Raih Penghargaan dari UNS atas Perannya di Bidang Kebijakan Fiskal,2024-09-24T15:48:01.907Z,"Jumat, 11 Maret 2022 / 16:33 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/sri-mulyani-raih-penghargaan-dari-uns-atas-perannya-di-bidang-kebijakan-fiskal,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan Sri Mulyani Indrawati mendapat penghargaan Parasamya Anugraha Dharma Bhakti Upa Baksana dari Universitas Sebelas Maret (UNS) Surakarta. Penghargaan untuk Sri Mulyani diberikan saat puncak Dies Natalis UNS ke-46, pada Jumat (11/3). “Saya dengan rendah hati mengucapkan terima kasih atas penghargaan ini. Penghargaan ini menggambarkan suatu penghargaan kepada seluruh insan Kementerian Keuangan, atas kerja keras dan prestasi mereka dalam mengelola kebijakan fiskal dan mengelola keuangan negara,” tutur Sri Mulyani dalam Sidang terbuka Senat Akademik Dies Natalis Ke 46 UNS, Jumat (11/3). Penghargaan tersebut tertuang dalam Keputusan Rektor Universitas Sebelas Maret Nomor 318/UN27/HK/2022 tentang Pemberian Penghargaan dan Tanda Jasa Parasamya Anugraha Dharma Bhakti Upa Baksana kepada Sri Mulyani Indrawati. Baca Juga: Sri Mulyani Beberkan Pencapaian Desentralisasi Fiskal Selama 20 Tahun Terakhir Wakil Rektor Umum dan Sumber Daya Manusia UNS Bandi mengatakan, penghargaan tersebut diberikan atas prestasi Sri Mulyani di bidang kebijakan fiskal yang berkeadilan. Selain itu, Sri Mulyani juga dinilai menjadi sosok yang teladan dan memiliki komitmen dan berperan penting dalam penanganan pandemi Covid-19. “Saudara Sri Mulyani Indrawati adalah sosok teladan yang memiliki komitmen kepeloporan dan peranan yang signifikan dalam penganangan dampak ekonomi dari pandemi Covid-19 melalui kebijakan-kebijakan fiskal yang berkeadilan,” tutur Bandi. Baca Juga: Sri Mulyani Tegaskan, Pajak Tidak Hanya Memungut, Tetapi Juga Sebagai Insentif Cek Berita dan Artikel yang lain di Google News",nasional
Catat 5 Arah Kebijakan Fiskal Kemenkeu Memasuki Tahun 2022,2024-09-24T15:48:02.074Z,"Kamis, 13 Januari 2022 / 06:10 WIB",Reporter: Siti Masitoh | Editor: Noverius Laoli,https:////newssetup.kontan.co.id/news/catat-5-arah-kebijakan-fiskal-kemenkeu-memasuki-tahun-2022,"KONTAN.CO.ID -  JAKARTA. Memasuki di 2022 ini masih menghadapi ketidakpastian kondisi perekonomian, pemerintah akan terus mengupayakan disiplin fiskal yang sesuai target. Upaya tersebut juga sesuai dengan amanat Undang-Undang Nomor 2 Tahun 2020 melalui arah kebijakan fiskal 2022 pemulihan ekonomi dan reformasi struktural. Kepala Badan Kebijakan Fiskal (BKF) Kementerian Keuangan Febrio Kacaribu menyebut, terdapat lima hal yang menjadi arah kebijakan fiskal 2022. Pertama, akselerasi penanganan Covid-19 dengan penguatan sektor kesehatan sebagai kunci recovery dengan kesuksesan program vaksinasi, protokol kesehatan, peningkatan fasilitas kesehatan, dan obat-obatan. Baca Juga: Kepala BKF Kemenkeu Sebut Kenaikan Harga Komoditas Beri Keuntungan Bagi Indonesia “Kesehatan tetap menjadi kolom pertama. Kita tahu itu adalah necessary condition,” ungkap Febrio dalam bincang dengan media secara virtual, Rabu (12/1). Kedua, menjaga resiliensi, survival, dan akselerasi pemulihan melalui program perlindungan sosial, dukungan kepada dunia usaha, dan UMKM. Hal ini dilakukan dengan pemberian Program Keluarga Harapan, Kartu Sembako, Kartu Prakerja, Bantuan Langsung Tunai Dana Desa, subsidi bunga Kredit Usaha Rakyat, dan insentif dunia usaha. Baca Juga: BKF Sebut Varian Omicron Menimbulkan Ketidakpastian Ekonomi di 2022",newssetup
