Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Turunkan defisit keseimbangan primer, pemerintah akan kerek sumber penerimaan negara",2024-09-24T16:18:43.672Z,"Senin, 18 Mei 2020 / 13:14 WIB",Reporter: Rahma Anjaeni | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/turunkan-defisit-keseimbangan-primer-pemerintah-akan-kerek-sumber-penerimaan-negara,"KONTAN.CO.ID -  JAKARTA. Pemerintah telah merevisi postur anggaran pendapatan dan belanja negara (APBN) 2020, tak hanya potensi penerimaan dan belanja negara, tetapi pemerintah juga turut merevisi tingkat keseimbangan primer. Di dalam outlook APBN 2020, Kementerian Keuangan (Kemenkeu) merevisi defisit keseimbangan primer menjadi 3,08% dari produk domestik bruto (PDB) atau setara dengan Rp 517,8 triliun, meningkat dari proyeksi sebelumnya yang mengalami defisit Rp 12 triliun. Baca Juga: Pemerintah akan ikuti ketentuan hukum jika Perpres 64/2020 kembali digugat ke MA Kemudian, di dalam data Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM-PPKF) tahun 2021, pemerintah juga memproyeksi keseimbangan primer akan terus mengalami defisit menurun sampai dengan tahun 2024. Perinciannya, pada tahun 2020 ini pemerintah memproyeksi keseimbangan primer pada level 3,08% dari PDB, tahun 2021 antara 1,24% sampai 2,07% dari PDB, tahun 2022 antara 0,94% sampai 1,70% dari PDB, tahun 2023 antara 0,49% sampai 0,87% dari PDB, dan tahun 2024 antara 0,34% sampai 0,66% dari PDB. Direktur Jenderal Anggaran Kemenkeu Askolani mengatakan, dalam upaya penurunan tingkat defisit ini pemerintah akan terus menggali dan meningkatkan sumber-sumber penerimaan negara secara konsisten dan berkesinambungan. Baca Juga: Kemenkeu: Kenaikan Iuran BPJS Kesehatan untuk beri perlindungan bagi masyarakat ""Di sisi lain, pemerintah juga melakukan penajaman, efisiensi, dan reformasi belanja negara agar lebih efektif,"" ujar Askolani kepada Kontan.co.id, Senin (18/5). Keseimbangan primer adalah selisih dari total penerimaan negara dikurangi dengan belanja negara di luar pembayaran belanja bunga utang. Jika total pendapatan negara lebih besar dari belanja negara di luar pembayaran belanja bunga utang, maka keseimbangan primer dinyatakan dalam kondisi positif.",nasional
"Sentimen Buruk, Realisasi Keseimbangan Primer Akhir Tahun Lalu kian Anjlok",2024-09-24T16:18:43.936Z,,Premium User Only,https:////insight.kontan.co.id/news/sentimen-buruk-realisasi-keseimbangan-primer-akhir-tahun-lalu-kian-anjlok,Premium Content - Not Scraped,insight
Ekonom: Perbaikan keseimbangan primer terhambat siklus ekonomi yang melemah,2024-09-24T16:18:44.216Z,"Senin, 13 Januari 2020 / 22:04 WIB",Reporter: Grace Olivia | Editor: Tendi Mahadi,https:////nasional.kontan.co.id/news/ekonom-perbaikan-keseimbangan-primer-terhambat-siklus-ekonomi-yang-melemah,"KONTAN.CO.ID - JAKARTA. Keseimbangan primer kembali mengalami pelebaran defisit pada APBN 2019 lalu. Padahal pemerintah menargetkan keseimbangan primer positif alias surplus dalam jangka lima tahun ke depan. Kementerian Keuangan  melaporkan realisasi sementara keseimbangan primer APBN 2019 tercatat mengalami defisit sebesar Rp 77,5 triliun. Realisasi tersebut jauh lebih besar dari yang awalnya ditargetkan pemerintah yaitu hanya defisit Rp 20,1 triliun. Baca Juga: Otot rupiah paling kuat di Asia, berikut penjelasan dua ekonomi ini Selain itu, realisasi defisit keseimbangan primer tahun lalu juga melonjak 574,5% dari defisit keseimbangan primer pada tahun 2018 yang hanya Rp 11,5 triliun. Padahal, defisit keseimbangan primer tahun 2018 tersebut telah menjadi yang terkecil sejak tahun 2012. Ekonom Bank Permata Josua Pardede mengatakan, realisasi keseimbangan primer APBN sejatinya telah mengalami perbaikan dalam beberapa tahun terakhir. Hal itu terlihat dari besaran defisit yang semakin mengecil dari tahun ke tahun. Tahun 2015, defisit keseimbangan primer masih sebesar -1,24% dari PDB. Defisit konsisten menurun hingga level terendah yaitu -0,08% dari PDB pada 2018. “Tapi tahun lalu pemerintah dihadapkan pada pilihan yang cukup sulit di tengah perlambatan siklus ekonomi, di mana penerimaan tertekan tetapi belanja juga harus tetap dipertahankan sehingga konsekuensinya anggaran mengalami pelebaran defisit dan penarikan utang bertambah besar,” tutur Josua saat dihubungi Kontan.co.id, Senin (13/1). Baca Juga: Draf Omnibus Law perpajakan sudah di meja Jokowi Kendati keseimbangan primer anggaran dinilai Josua masih sesuai dengan arah perbaikan, ia memprediksi neraca primer masih akan mengalami defisit di tahun ini.",nasional
Jalan berliku menuju surplus keseimbangan primer,2024-09-24T16:18:44.397Z,"Senin, 13 Januari 2020 / 15:57 WIB",Reporter: Grace Olivia | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/jalan-berliku-menuju-surplus-keseimbangan-primer,"KONTAN.CO.ID - JAKARTA. Upaya pemerintah dalam mengarahkan Anggaran Pendapatan dan Belanja Negara (APBN) mencapai angka surplus dalam keseimbangan primer tampaknya akan semakin berat. Ketidakpastian dan perlambatan ekonomi global maupun domestik menjadi tantangan dalam mendorong penerimaan negara, terutama pajak, sekaligus mengendalikan belanja negara yang menjadi andalan stimulus ekonomi saat ini. Seperti yang diketahui, keseimbangan primer merupakan total pendapatan negara dikurangi belanja negara, di luar pembayaran bunga utang. Apabila keseimbangan primer bernilai negatif, artinya belanja negara masih lebih besar daripada penerimaan, begitu pun sebaliknya. Baca Juga: Serapan belanja negara mencapai 93,9% dari target sepanjang 2019 Kementerian Keuangan melaporkan realisasi sementara keseimbangan primer APBN 2019 lalu tercatat mengalami defisit sebesar Rp 77,5 triliun. Realisasi tersebut jauh lebih besar dari yang awalnya ditargetkan pemerintah yaitu hanya defisit Rp 20,1 triliun. Selain itu, realisasi defisit keseimbangan primer tahun lalu juga melonjak 574,5% dari defisit keseimbangan primer pada tahun 2018 yang hanya Rp 11,5 triliun. Padahal, defisit keseimbangan primer tahun 2018 tersebut telah menjadi yang terkecil sejak tahun 2012. Dalam narasi Rancangan Awal RPJMN 2020-2024, pemerintah berkomitmen untuk menjaga kesinambungan fiskal dengan APBN yang sehat, seraya tetap memberikan stimulus terhadap perekonomian. Salah satunya ialah mengarahkan keseimbangan primer menuju positif dengan rata-rata 0,1%-0,3% dari PDB selama periode lima tahun ke depan.",nasional
Meredam Defisit Keseimbangan Primer,2024-09-24T16:18:44.848Z,"Jumat, 10 Januari 2020 / 16:37 WIB",Sumber: Harian KONTAN | Editor: Ignatia Maria Sri Sayekti,https:////analisis.kontan.co.id/news/meredam-defisit-keseimbangan-primer,"KONTAN.CO.ID - Sorotan tajam terhadap kinerja Anggaran Pendapatan dan Belanja Negara (APBN) 2019 kembali mengemuka, menyusul rilis Kementerian Keuangan (Kemkeu) pada Selasa (7/1) lalu tentang detail kinerja 2019. Sampai akhir tahun, realisasi total pendapatan negara hanya memenuhi 90,4% dari target Rp 2.165,11 triliun. Potensi kekurangan penerimaan negara (shortfall) yang paling besar disokong oleh penerimaan dari sektor perpajakan yang sampai akhir tahun lalu meleset Rp 245,5 triliun. Sementara itu, realisasi belanja sampai periode yang sama hanya memenuhi 93,9% dari pagu sebesar Rp 2.461,1 triliun. Konsekuensinya, defisit APBN 2019 menyundul Rp 353 triliun atau 2,2% dari produk domestik bruto (PDB), jauh melampaui target awal yang hanya 1,84%. Lebih miris lagi, keseimbangan primer (primary balance), yakni total penerimaan dikurangi belanja di luar pembayaran bunga utang, juga defisit Rp 77,5 triliun atau melejit 385,3% dari target. Pembengkakan defisit keseimbangan primer ini patut diwaspadai. Defisit keseimbangan primer mengharuskan pemerintah mencari utangan baru untuk menutup utang lama. Istilahnya ""gali lubang, tutup lubang"". Pembiayaan anggaran yang mencapai Rp 399,5 triliun atau 134,9% dari pagu Rp 296 triliun sudah dengan sendirinya menjelaskan hal ini. Kenyataan di atas menjadi alarm kewaspadaan bagi keseimbangan primer APBN 2020. Ketidakpastian ekonomi mengisyaratkan kebutuhan fiskal akan jauh lebih tinggi dari kapasitasnya. Konsekuensinya, probabilitas melebarnya defisit keseimbangan primer juga membesar. Pemerintah tampaknya menghindari opsi pemotongan belanja. Pengalaman pemotongan belanja negara pada 2016 memberi pelajaran berharga bahwa pertumbuhan ekonomi akan ikut terkoreksi. Opsi meningkatkan penerimaan terkendala situasi global dan domestik yang mengalami gejala stagnasi ekonomi. Menekan defisit Guna menurunkan defisit keseimbangan primer, opsi yang paling memungkinkan untuk dilakukan adalah menekan beban pembayaran bunga utang. Di samping variable rate-nya yang cukup tinggi, suku bunga Surat Perbendaharaan Negara (SPN) 3 bulan juga dianggap kurang relevan dengan kebutuhan riil penganggaran. Apabila suku bunga yang digunakan sebagai asumsi makro APBN merepresentasikan kebutuhan riil, penganggaran pembayaran bunga utang lebih representatif sehingga membuat APBN 2019 juga lebih realistis. Alhasil, selisih suku bunga SPN dengan asumsi APBN 2019 mencapai 40 basis poin. Suku bunga SPN 3 yang relatif tinggi tidak lepas dari sejarahnya. Instrumen SPN 3 bulan dirilis untuk menggantikan Sertifikat Bank Indonesia (SBI) 3 bulan yang sejak November 2010 tidak diterbitkan lagi. Suku bunga SBI 3 bulan waktu itu digunakan untuk menentukan suku bunga obligasi rekap sehingga besarannya tinggi. Suku bunga SBI 3 bulan juga digunakan perbankan sebagai acuan dalam menetapkan bunga pinjaman. Konsekuensinya, pergerakan suku bunga SBI 3 bulan sangat dipengaruhi oleh kondisi likuiditas global dan domestik. Dari likuiditas domestik, suku bunga SBI 3 bulan dipengaruhi oleh melambatnya pertumbuhan dana pihak ketiga perbankan. Setelah suku bunga SPN 3 bulan mulai tahun 2012 digunakan sebagai salah satu asumsi dalam penyusunan APBN, ekosistem yang melingkupi SPN 3 bulan tampaknya belum juga berubah. Oleh karenanya, lebih tingginya yield SPN 3 bulan rentan terhadap gejolak di pasar keuangan domestik. Mengaktifkan SBI ParagDari sisi global, sentimen risiko perang dagang dan ancaman inflasi global pun muncul sehubungan dengan kenaikan harga minyak di pasar dunia, yang berpengaruh terhadap prospek kenaikan imbal hasil dari SPN. Sedangkan, proses credit rating sepertinya belum cukup signifikan untuk mendapatkan besaran SPN yang bagus untuk semua tenor. Alhasil, upaya untuk merawat kesinambungan APBN sangat diperlukan. Instrumen SPN 3 bulan sudah selayaknya ditinggalkan sebagai asumsi dasar penyusunan APBN. Per definisi, SPN adalah surat utang negara yang termasuk dalam klasifikasi obligasi. Oleh karenanya, transaksi SPN semestinya bernaung di ranah pasar modal. Sementara, SPN tenor 3 bulan dikategorikan sebagai instrumen jangka pendek pasar uang (di bawah 12 bulan). Otoritas pasar modal yang berada di bawah Otoritas Jasa Keuangan (OJK), sedangkan otoritas pasar uang berada di bawah BI. Otoritas yang berbeda membuat transaksi tidak efisien sehingga suku bunga SPN 3 bulan tetap tinggi. Dengan alur logika ini, SPN di bawah tenor 12 bulan dinonaktifkan. Sebaliknya, SBI tenor 3, 6, dan 9 bulan diaktivasi kembali untuk mengakomodasi investor yang mengambil posisi jangka pendek. BI bisa melakukan operasi moneter di pasar sekunder lewat SBI dan SPN untuk memengaruhi suku bunga jangka pendek dan jangka panjang. Di sisi lain, Kemkeu bisa menggunakan suku bunga SPN tenor yang lain. Opsi yang tersedia SPN bertenor 12 bulan, Surat Utang Negara (SUN) 5 tahun, 10 tahun, atau tenor 30 tahun. Dengan demikian, beban finansial APBN pun bisa terkendali dari dua sisi. Suku bunga keempat instrumen di atas juga variable rate yang dihasilkan dari proses lelang. Artinya, suku bunga hasil interaksi di pasar sudah sampai pada taraf yang paling efisien dari semua kemungkinan suku bunga yang bisa dibentuk. Mengingat APBN berlaku untuk satu tahun anggaran, suku bunga SPN bertenor 12 bulan dipandang lebih merepresentasikan beban bunga utang APBN tahun berjalan. Dalam perspektif jangka panjang, kekhawatiran fenomena crowding out effect (desakan keluar sektor publik terhadap investasi sektor privat) bisa dihindari. Melalui mekanisme ini pula, suku bunga SPN 12 bulan bisa sekaligus ditujukan untuk mengontrol sektor moneter tanpa meningkatkan rasio utang secara signifikan. Dengan cara ini pula, koordinasi antara kebijakan fiskal dan kebijakan moneter bakalan lebih sinkron. Kemkeu pada tahun berjalan tidak bisa menerbitkan SPN melebihi batas kewajaran penyerapan pasar. BI pun tidak akan bersedia membeli semua SPN lantaran harus mempertimbangkan kondisi moneter. Pada akhirnya, pasar uang dan pasar modal terfragmentasi tanpa ada intervensi langsung. Migrasi dana masyarakat dan asing dikondisikan hanya terjadi sebatas antarinstrumen finansial satu tenor alih-alih antartenor. Alhasil, tensi perebutan dana antara perbankan, pemerintah, dan sektor korporasi bisa direduksi. Penulis : Haryo Kuncoro Staf Pengajar Fakultas Ekonomi Universitas Negeri Jakarta Cek Berita dan Artikel yang lain di Google News",analisis
"Pertama Sejak 2011, APBN Mencetak Surplus Keseimbangan Primer",2024-09-24T16:18:45.134Z,,Premium User Only,https:////insight.kontan.co.id/news/pertama-sejak-2011-apbn-mencetak-surplus-keseimbangan-primer,Premium Content - Not Scraped,insight
"Meski surplus di semester I, keseimbangan primer akhir tahun akan catat defisit",2024-09-24T16:18:45.412Z,"Selasa, 17 Juli 2018 / 22:18 WIB",Reporter: Adinda Ade Mustami | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/meski-surplus-di-semester-i-keseimbangan-primer-akhir-tahun-akan-catat-defisit,"KONTAN.CO.ID - JAKARTA. Keseimbangan primer yang selama ini mencatat defisit, akhirnya mencatat surplus di semester I-2018 sebesar Rp 10 triliun. Meski demikian, Menteri Keuangan Sri Mulyani Indrawati memperkirakan, realisasi keseluruhan tahun, keseimbangan primer akan kembali mencatat defisit. Keseimbangan primer merupakan selisih antara penerimaan negara dikurangi belanja, di luar pembayaran bunga utang. Jika nilainya defisit, pemerintah masih membayar bunga utang dari penarikan utang yang dilakukan. ""Hingga akhir tahun, outlook keseimbangan primer masih negatif namun lebih rendah dari APBN,"" kata Sri Mulyani saat rapat dengan Banggar DPR (17/7). Dalam prognosis APBN 2018, pemerintah memperkirakan defisit keseimbangan primer sebesar Rp 64,8 triliun. Tapi angka itu lebih rendah dari target dalam APBN 2018 sebesar Rp 87,3 triliun dan lebih rendah dari defisit keseimbangan primer tahun-tahun sebelumnya. Sri Mulyani juga memproyeksi, defisit anggaran sampai akhir 2018 sebesar 2,12% dari Produk Domestik Bruto (PDB), lebih rendah dari target dalam APBN yang sebesar 2,19% dari PDB. Cek Berita dan Artikel yang lain di Google News",nasional
Kemkeu targetkan keseimbangan primer 2019 bisa surplus,2024-09-24T16:18:45.646Z,"Senin, 02 Juli 2018 / 11:47 WIB",Reporter: Ghina Ghaliya Quddus | Editor: Barratut Taqiyyah Rafie,https:////nasional.kontan.co.id/news/kemkeu-targetkan-keseimbangan-primer-2019-bisa-suprlus,"KONTAN.CO.ID - JAKARTA. Pemerintah lewat Kementerian Keuangan (Kemkeu) menargetkan keseimbangan primer dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2019 tidak lagi defisit. Keseimbangan primer adalah penerimaan negara dikurangi belanja, di luar pembayaran bunga utang. Jika nilainya defisit, pemerintah masih membayar bunga utang dari penarikan utang yang dilakukan. Kepala Badan Kebijakan Fiskal (BKF) Kemkeu Suahasil Nazara menyatakan, pada tahun depan, keseimbangan primer bakal berada pada posisi nol atau bahkan surplus. Hal ini disebabkan oleh defisit anggaran yang juga ditargetkan lebih kecil pada tahun depan. “Keseimbangan primer menuju positif di angka nol, bahkan bisa positif 0,30% sampai 0,05% dari PDB,” kata Suahasil dalam rapat kerja bersama Badan Anggaran di Gedung DPR, RI, Senin (2/7). Untuk membentuk keseimbangan primer sesuai targetnya pada tahun depan ini, pemerintah menargetkan pendapatan negara sebesar 12,7% hingga 13,5% dari PDB. Adapun, belanja negara ditargetkan sebesar 14,2% hingga 15,4% dari PDB. Pada tahun depan, defisit anggaran akan dijaga di kisaran 1,6% - 1,9% dari produk domestik bruto (PDB). Persentase ini lebih kecil dari tahun ini yang ditargetkan berada pada kisaran 2,19%. Sementara itu, rasio utangnya pada tahun depan akan tetap dijaga 28,8% hingga 29,2% dari PDB. Atau di bawah batas aman 30% dari PDB. Dalam pelaksanaan APBN sejauh ini, posisi defisit keseimbangan primer tercatat telah menurun. Berdasarkan APBN per Mei 2018, keseimbangan primer mengalami surplus Rp 18,1 triliun sejak awal tahun hingga Mei 2018. Bila surplus ini berlanjut hingga akhir tahun, ini akan jadi pertama kalinya sejak 2011. ""Perbaikannya luar biasa selama dua tahun terakhir,"" kata Menteri Keuangan Sri Mulyani Indrawati. Cek Berita dan Artikel yang lain di Google News",nasional
"2019, defisit anggaran menyempit dan keseimbangan primer bisa surplus",2024-09-24T16:18:45.894Z,"Jumat, 18 Mei 2018 / 14:32 WIB",Reporter: Adinda Ade Mustami | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/2019-defisit-anggaran-menyempit-dan-keseimbangan-primer-bisa-surplus,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan Sri Mulyani juga mematok defisit anggaran dalam Kerangka Ekonomi Makro dan Pokok-pokok Kebijakan Fiskal (KEM-PPKF) 2019 sebesar 1,6%-1,9% dari Produk Domestik Bruto (PDB). Defisit ini jauh lebih rendah dibanding target defisit APBN 2018 sebesar 2,19% dari PDB. Dengan kisaran defisit tersebut, ""Rasio utang terkendali pada kisaran 28,8%-29,2% dari PDB,"" kata Sri Mulyani dalam pidato penyampaian KEM-PPKF di hadapan pimpinan DPR saat sidang paripurna hari ini, Jumat (18/5). Menurut Sri Mulyani, dibandingkan dengan negara emerging market lainnya yang memiliki defisit APBN dan rasio utang APBN yang lebih tinggi tetapi dengan kinerja pertumbuhan ekonomi yang tidak terlalu berbeda bahkan lebih rendah, Indonesia merupakan negara yang mampu meraih pertumbuhan ekonomi dan hasil pembangunan yang lebih baik. Tentunya, hal itu dilakukan dengan terus menjaga kehati-hatian dan kelangsungan kebijakan fiskal. Ia juga mengatakan, kualitas APBN tahun ke depan akan semakin baik. Dengan defisit tersebut maka keseimbangan primer tahun depan diperkirakan mencatat defisit sebesar 0,3% hingga surplus 0,05% dari PDB. Angka ini jauh lebih rendah dibanding defisit keseimbangan primer dalam APBN 2018 yang dipatok sebesar 0,59% dari PDB. Sementara jika keseimbangan primer dalam APBN 2019 bisa mencatat surplus, maka surplus tersebut merupakan kali pertama setelah beberapa tahun belakangan selalu mencatat defisit. ""Ini merupakan pondasi perbaikan APBN dan positif untuk tahun 2020,"" tambah dia. Cek Berita dan Artikel yang lain di Google News",nasional
"Defisit keseimbangan primer turun, penerimaan negara masih perlu digenjot",2024-09-24T16:18:46.092Z,"Selasa, 17 April 2018 / 17:47 WIB",Reporter: Ghina Ghaliya Quddus | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/defisit-keseimbangan-primer-turun-penerimaan-negara-masih-perlu-digenjot,"KONTAN.CO.ID - JAKARTA.  Kementerian Keuangan (Kemkeu) mencatat keseimbangan primer dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2018 per akhir Maret defisit sebesar Rp 17,3 triliun. Meski masih defisit, persentasenya turun dari 55,3% periode yang sama tahun lalu yang sebesar Rp 38,7 triliun. Keseimbangan primer ini artinya penerimaan negara dikurangi belanja, di luar pembayaran bunga utang. Jika nilainya defisit, pemerintah masih membayar bunga utang dari penarikan utang yang dilakukan. Ekonom Maybank Juniman mengatakan, penurunan dari defisit keseimbangan primer ini merupakan sebuah kemajuan. Setelah pada 2014 defisit keseimbangan primer sebesar Rp 93,3 triliun dan pada 2015 meningkat menjadi Rp 142,5 triliun. Berdasarkan catatan Kontan.co.id, pada 2016, angka tersebut dapat ditekan sehingga mencapai Rp 125,6 triliun. Namun, pada 2017 kembali mengalami kenaikan menjadi Rp 129,3 triliun. “Ini sudah bagus ya walaupun masih defisit tapi defisitnya sudah berkurang. Namun, dalam hal ini yang masih jadi sorotan ialah penerimaan pajak,” kata Juniman kepada Kontan.co.id, Selasa (17/4). Menurut Juniman, penerimaan pajak memang sudah terlihat membaik, yakni dengan pertumbuhan sebesar 16,21% pada triwulan I 2018. Oleh karena itu, kinerja baik ini perlu dipertahankan agar keseimbangan primer bisa nol bahkan surplus. “Analoginya, harus besar pasak daripada tiang. Kalau bisa, penerimaannya harus lebih besar,” ucapnya. Oleh karena itu, Juniman mengatakan, penting bagi pemerintah untuk menjaga iklim perpajakan supaya kondusif. Bila tidak, masyarakat akan takut konsumsi dan ekspansi usaha. Tak hanya penerimaan pajak yang mesti digenjot, menurut Juniman, pemerintah juga bisa mewujudkan mimpi keseimbangan primer menjadi surplus apabila melakukan efisiensi belanja. Meski begitu, pada tahun ini dan tahun depan, banyak belanja yang akan dilakukan pemerintah, misalnya dengan Proyek Strategis Nasional (PSN), bansos, dan subsidi yang naik lantaran harga BBM tidak naik. “Dengan belanja yang banyak ini, harus rasional. Sudah terlihat langkahnya, beberapa PSN dikeluarkan. Ini menunjukkan bahwa pemerintah paham kemampuan penerimaan negara,” ujar dia. Cek Berita dan Artikel yang lain di Google News",nasional
