Title,Scrapping Date,Article Date,Author,Link,Content,Category
Pemerintah batalkan enam lelang SBN di sisa tahun ini,2024-09-24T15:47:07.766Z,"Minggu, 07 November 2021 / 07:44 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////nasional.kontan.co.id/news/pemerintah-batalkan-enam-lelang-sbn-di-sisa-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah resmi membatalkan sisa penerbitan obligasi pada sisa tahun ini. Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan mengungkapkan, pembatalan ini seiring dengan sudah terpenuhinya target pembiayaan APBN tahun 2021 yang bersumber dari lelang primer. “Pembatalan rencana penerbitan SBN di pasar perdana tersebut diputuskan karena target pembiayaan APBN tahun 2021 yang bersumber dari lelang penerbitan SBN sudah terpenuhi dengan mempertimbangkan outlook penerimaan dan belanja negara hingga akhir tahun 2021,” tulis DJPPR dalam keterangan resminya pada Kamis (4/11). Adapun berdasarkan kalender penerbitan SBN tahun 2021, sebenarnya pemerintah masih menyisakan enam kali lelang primer, masing-masing SBN dan SBSN sebanyak tiga kali lelang. Alhasil, keenam lelang tersebut tidak akan dilaksanakan pada sisa tahun ini. Berikut rinciannya:  Baca Juga: Bayar utang luar negeri, cadangan devisa turun US$ 1,4 miliar dalam sebulan Lebih lanjut, dalam APBN tahun 2022, pemerintah dimungkinkan untuk melakukan penerbitan SBN pada kuartal keempat tahun 2021 dalam rangka memenuhi kebutuhan pembiayaan APBN tahun 2022 (prefunding). Terkait dengan kemungkinan prefunding tersebut, pemerintah akan terus memantau kondisi makro ekonomi dan pasar keuangan kuartal keempat tahun 2021 serta kebutuhan kas di awal tahun 2022. “Pemerintah akan menyampaikan informasi lebih lanjut kepada publik dalam hal akan melakukan prefunding melalui lelang SBN di pasar domestik,” tutup DJPPR dalam pengumuman. Baca Juga: Masih ada potensi pelemahan rupiah sepekan ke depan Menurut data DJPPR, pemerintah meraup dana Rp 281 triliun pada lelang kuartal pertama. Sementara di kuartal kedua dan ketiga pemerintah mengantongi dana masing-masing Rp 225,37 triliun dan Rp 260 triliun dari lelang SUN dan sukuk negara. Di kuartal keempat, pemerintah lima kali menggelar lelang SUN dan sukuk negara. Dari lima kali lelang, pemerintah meraup dana Rp 30 triliun. Baca Juga: BPS: Net ekspor jadi sumber pertumbuhan ekonomi kuartal III-2021 Cek Berita dan Artikel yang lain di Google News",nasional
"Target sudah terpenuhi, pemerintah batalkan enam lelang SBN di sisa tahun ini",2024-09-24T15:47:07.892Z,"Kamis, 04 November 2021 / 20:29 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/target-sudah-terpenuhi-pemerintah-batalkan-enam-lelang-sbn-di-sisa-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah resmi membatalkan sisa penerbitan obligasi pada sisa tahun ini. Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan dalam keterangan resminya menjelaskan pembatalan ini seiring dengan sudah terpenuhinya target pembiayaan APBN tahun 2021 yang bersumber dari lelang primer. “Pembatalan rencana penerbitan SBN di pasar perdana tersebut diputuskan karena target pembiayaan APBN tahun 2021 yang bersumber dari lelang penerbitan SBN sudah terpenuhi dengan mempertimbangkan outlook penerimaan dan belanja negara hingga akhir tahun 2021,” tulis DJPPR dalam keterangan resminya pada Kamis (4/11). Adapun berdasarkan kalender penerbitan SBN tahun 2021, sebenarnya pemerintah masih menyisakan enam kali lelang primer, masing-masing SBN dan SBSN sebanyak tiga kali lelang. Alhasil, keenam lelang tersebut tidak akan dilaksanakan pada sisa tahun ini. Baca Juga: Dampak tapering hanya sesaat, investor asing bakal kembali ke pasar SBN Berikut rinciannya:  Lebih lanjut, dalam APBN tahun 2022, pemerintah dimungkinkan untuk melakukan penerbitan SBN pada kuartal keempat tahun 2021 dalam rangka memenuhi kebutuhan pembiayaan APBN tahun 2022 (prefunding). Terkait dengan kemungkinan prefunding tersebut, pemerintah akan terus memantau kondisi makro ekonomi dan pasar keuangan kuartal keempat tahun 2021 serta kebutuhan kas di awal tahun 2022. “Pemerintah akan menyampaikan informasi lebih lanjut kepada publik dalam hal akan melakukan prefunding melalui lelang SBN di pasar domestik,” tutup DJPPR dalam pengumuman. Baca Juga: Banyak penerbitan obligasi korporasi, cermati tips berikut untuk memilih Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah sudah menyedot dana Rp 779,61 triliun dari lelang SBN tahun ini",2024-09-24T15:47:08.237Z,"Kamis, 14 Oktober 2021 / 05:15 WIB",Reporter: Achmad Jatnika | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/pemerintah-sudah-menyedot-dana-rp-77961-triliun-dari-lelang-sbn-tahun-ini,"KONTAN.CO.ID -  JAKARTA. Pemerintah sudah mengantongi dana besar dari penerbitan surat berharga negara (SBN). Terhitung dari awal tahun sampai kuartal III 2021, pemerintah sudah melakukan 19 kali lelang Surat Utang Negara (SUN), dengan lima kali lelang SUN tambahan dan tiga kali private placement. Sementara itu, untuk lelang Surat Berharga Syariah Negara (SBSN), pemerintah telah menggelar 18 kali lelang, dengan tujuh kali lelang tambahan, dan empat kali private placement. Dari keseluruhan lelang yang dilaksanakan dalam periode waktu tersebut, pemerintah sudah berhasil mengantongi sebanyak Rp 766,61 triliun, dengan rincian Rp 561,37 triliun dari lelang SUN, dan Rp 205,24 triliun dari lelang SBSN. Dari private placement, pemerintah mengantongi Rp 16,5 triliun dari SUN. Sedangkan private placement SBSN sebesar Rp 6,75 triliun. Baca Juga: Arus modal asing kembali mengalir masuk pada awal Oktober 2021 Apabila dihitung sampai minggu kedua bulan Oktober 2021, pemerintah telah melaksanakan 20 kali lelang SUN dan 19 kali lelang SBSN. Dengan total serapan Rp 779,61 triliun, dengan rincian Rp 569,37 triliun dari SUN dan Rp 210,24 triliun dari SBSN. Berikut rincian hasil lelang SUN sepanjang tahun ini: 1. Dari 20 kali lelang SUN yang dilaksanakan, penawaran yang berhasil masuk mencapai Rp 1.412,70 triliun, dengan serapan mencapai Rp 779,61 triliun. Pada kuartal I/2021 berhasil menyerap Rp 171,10 triliun, kuartal II/2021 berhasil menyerap Rp 148,83 triliun, dan kuartal III/2021 berhasil menyerap Rp 186 triliun. 2. Lelang dengan penawaran tertinggi dicatatkan pada 31 Agustus 2021, dengan penawaran yang masuk mencapai Rp 116,11 triliun. Sedangkan penawaran lelang terendah tercatat pada 30 Maret 2021, dengan penawaran mencapai Rp 33,95 triliun. 3. Pada lelang SUN tambahan yang dilaksanakan sebanyak lima kali sepanjang tahun ini, pemerintah berhasil mencatatkan penawaran yang masuk mencapai Rp 72,37 triliun, dengan serapan mencapai Rp 55,44 triliun. Selanjutnya, berikut rincian hasil lelang SBSN sepanjang tahun ini: 1. Dari 19 kali lelang SBSN yang dilaksanakan oleh pemerintah, penawaran yang berhasil masuk mencapai Rp 685,46 triliun, dengan serapan mencapai Rp 210,24 triliun. 2. Lelang SBSN yang dilaksanakan pada 27 Juli 2021, menjadi lelang SBSN dengan penawaran terbanyak sepanjang tahun ini, yang mencapai Rp 56,69 triliun. Sedangkan untuk lelang dengan penawaran terendah, tercatat pada 6 April 2021, dengan penawaran hanya mencapai Rp 14,56 triliun. 3. Pada lelang SBSN tambahan yang dilaksanakan sebanyak tujuh kali sepanjang tahun ini, pemerintah berhasil mencatatkan penawaran yang masuk mencapai Rp 42,32 triliun, dengan serapan mencapai Rp 37,09 triliun.  Cek Berita dan Artikel yang lain di Google News",nasional
"Penawaran turun, begini proyeksi lelang SBN di sisa tahun 2021",2024-09-24T15:47:08.423Z,"Kamis, 19 Agustus 2021 / 10:45 WIB",Reporter: Hikma Dirgantara | Editor: Anna Suci Perwitasari,https:////newssetup.kontan.co.id/news/penawaran-turun-begini-proyeksi-lelang-sbn-di-sisa-tahun-2021,"KONTAN.CO.ID -  JAKARTA. Penawaran lelang Surat Utang Negara (SUN) yang digelar Rabu (18/8) terlihat turun. Mengingat, jumlah penawaran yang masuk sebesar Rp 77,07 triliun. Berdasarkan data DJPPR, total penawaran yang masuk ini lebih rendah jika dibandingkan lelang SUN yang digelar sebelumnya. Pada Selasa (3/8), jumlah penawaran yang masuk mencapai Rp 107,78 triliun. Head of Fixed Income BNI Fayadri mengungkapkan, walau jumlah penawaran dalam lelang SUN kali ini lebih mini daripada sebelumnya, namun prospek lelang surat berharga negara (SBN) di sisa tahun ini masih positif. Ke depan, Fayadri bilang, jumlah penawaran yang masuk masih akan dipengaruhi oleh kondisi likuiditas dan appetite investor. Dari sisi likuiditas investor, terutama perbankan, sampai akhir tahun ini sepertinya masih cukup banyak yang bisa dialokasikan pada lelang obligasi ini. Sementara untuk besaran jumlah penawaran yang akan dimenangkan pemerintah, tentunya akan sangat dipengaruhi hasil kalkulasi terhadap kondisi pasar (besaran yield yang diminta investor) serta alternatif sumber pembiayaan lain yang dapat dioptimalkan pemerintah. “Sampai akhir tahun ini diperkirakan jumlah penawaran yang masuk pada setiap pelaksanaan lelang masih akan lebih tinggi dibanding target indikatif maupun target maksimal dari pemerintah karena obligasi pemerintah kita masih menawarkan imbal hasil yang menarik bagi para investor,” tegas dia kepada Kontan.co.id, kemarin. Baca Juga: Hasil lelang SUN: Penawaran masuk Rp 107,78 triliun, pemerintah serap Rp 30 triliun Lebih lanjut, Fayadri mengatakan, sebenarnya jumlah penawaran yang masuk pada pelaksanaan lelang kemarin dipengaruhi oleh sikap wait and see yang diambil investor jelang rilis FOMC Meeting Minutes. “Dari FOMC Meeting Minutes ini biasanya investor akan mendapatkan informasi mengenai arah kebijakan dari bank sentral Amerika Serikat (AS) yang akan berdampak terhadap pasar keuangan global, termasuk pasar obligasi,” kata Fayadri. Asal tahu saja, dari total penawaran yang masuk, pemerintah hanya menyerap sebanyak Rp 30 triliun pada lelang kali ini. Jumlah ini di bawah target indikatif yang ditetapkan pemerintah. Adapun, target indikatif dari lelang kali ini sebesar Rp 33 triliun. Terkait penyerapan yang di bawah target, Fayadri bilang, hal ini sejalan dengan strategi pragmatis, fleksibel namun tetap prudent sebagaimana disampaikan oleh Menteri Keuangan Sri Mulyani. Apalagi, saat ini pemerintah juga masih punya alternatif lain seperti Saldo Anggaran Lebih (SAL) yang dapat digunakan sebagai sumber pembiayaan APBN. Terkait besaran yield yang dimenangkan pada lelang tersebut, Fayadri bilang, sudah kompetitif dan sesuai dengan kondisi pasar. Pasalnya, pasca pengumuman lelang, di pasar sekunder terlihat investor masih memburu obligasi yang di lelang tersebut.  Cek Berita dan Artikel yang lain di Google News",newssetup
"Pemerintah menyerap Rp 300,75 triliun dari lelang SBN dan SBSN pada kuartal I-2021",2024-09-24T15:47:08.590Z,"Kamis, 01 April 2021 / 15:57 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/pemerintah-menyerap-rp-30075-triliun-dari-lelang-sbn-dan-sbsn-pada-kuartal-i-2021,"KONTAN.CO.ID - JAKARTA. Sepanjang kuartal pertama 2021 pemerintah telah mengadakan tujuh kali lelang Surat Utang Negara (SUN) dan empat kali lelang SUN tambahan. Sementara untuk Surat Berharga Syariah Negara (SBSN), pemerintah telah menggelar enam kali lelang SBSN dan lima kali lelang SBSN tambahan. Dari seluruh lelang tersebut, pemerintah mengantongi dana Rp 300,75 triliun. Dengan rincian, dari SUN sebesar Rp 220,77 triliun dan dari SBSN sebesar Rp 79,98 triliun. Selain melalui SUN dan SBSN, pemerintah juga mencari dana tambahan melalui penerbitan SUN global senilai US$ 3 miliar dan € 1 miliar. Adapun penerbitan SUN global ini dilakukan pada 12 Januari 2021 dan disambut antusias oleh investor. Pemerintah tercatat cukup sering mengadakan lelang tambahan selama kuartal pertama kemarin. Hal ini tidak terlepas dari beberapa lelang dana yang diserap pemerintah masih di bawah target sehingga lelang tambahan pun diadakan keesokan harinya. Baca Juga: Bareksa laporkan akun-akun Telegram yang memalsukan nama Bareksa dan izin OJK Berikut rincian hasil lelang SUN sepanjang kuartal pertama 2021: Dari tujuh kali lelang SUN, jumlah penawaran yang masuk mencapai Rp 420,87 triliun. Sementara pemerintah mematok target indikatif maksimal sebesar Rp 345 triliun. Adapun dana yang diserap pemerintah sebesar Rp 171,10 triliun. Dari ketujuh lelang tersebut, lelang SUN pada 5 Januari 2021 merupakan lelang dengan jumlah penawaran tertinggi, yakni Rp 97,17 triliun. Sedangkan lelang SUN 30 Maret 2021 merupakan yang terendah, dengan jumlah penawaran hanya Rp 33,95 triliun. Pemerintah tercatat mengadakan empat kali lelang SUN tambahan. Adapun pada lelang tambahan tersebut, jumlah penawaran yang masuk hanya Rp 63,29 triliun dan pemerintah menyerap Rp 49,67 triliun. Dari segi yield, yakni seri acuan 10 tahun FR0087, yield tertinggi terjadi pada 19 Maret 2021 di level 6,78% sementara terendah pada 4 Januari 2021 di level 5,87%. Adapun sepanjang kuartal pertama 2021, rata-rata yield untuk seri acuan tersebut berada di level 6,39%. Baca Juga: Jumlah investor pemula layanan Invest di OVO meningkat hingga 250 ribu pengguna Lalu, berikut rincian hasil lelang SBSN sepanjang kuartal pertama 2021: Pemerintah tercatat mengadakan enam kali lelang SBSN dengan jumlah penawaran yang masuk menyentuh Rp 133,10 triliun. Sementara pemerintah total mematok target sebesar Rp 76 triliun. Dari jumlah penawaran tersebut, pemerintah memutuskan menyerap sebanyak Rp 48,18 triliun. Dari keenam lelang tersebut, lelang SBSN pada 9 Februari 2021 merupakan lelang sukuk dengan jumlah penawaran tertinggi, yakni Rp 26,11 triliun. Sedangkan lelang SBSN 21 Maret 2021 merupakan yang terendah, dengan jumlah penawaran hanya Rp 17,16 triliun. Dengan lima kali lelang SBSN tambahan, pemerintah berhasil mengantongi dana tambahan hingga Rp31,80 triliun. Adapun, dari kelima lelang tambahan tersebut, jumlah penawaran yang masuk mencapai Rp 35,52 triliun. Baca Juga: Porsi BI di SBN semakin besar, demi stabilkan pasar Cek Berita dan Artikel yang lain di Google News",investasi
Penawaran masuk lelang SBN Selasa (30/3) diperkirakan akan menyentuh Rp 50 triliun,2024-09-24T15:47:09.013Z,"Minggu, 28 Maret 2021 / 13:39 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/penawaran-masuk-lelang-sbn-selasa-303-diperkirakan-akan-menyentuh-rp-50-triliun,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengadakan lelang surat utang negara (SUN) pada Selasa (30/3). Pada lelang kali ini, pemerintah mematok target sebesar Rp 30 triliun-Rp 45 triliun. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mengungkapkan, penawaran yang masuk pada lelang SUN besok seharusnya masih akan di atas target yang ditetapkan pemerintah. Menurut dia, kondisi pasar belakangan ini relatif stabil walaupun tekanan, khususnya dari eksternal masih berlanjut dan menghantui pasar SBN. “Yield US Treasury masih jadi sentimen pemberat bagi pergerakan yield SBN. Walau demikian, kondisi pasar belakangan ini jauh lebih stabil. Terbukti dari pergerakan yield acuan SUN 10 tahun yang cenderung datar,” kata Ramdhan kepada Kontan.co.id, Jumat (26/3). Oleh karena itu, Ramdhan masih optimistis jumlah penawaran yang masuk pada lelang akan mencapai Rp 50 triliun. Dia menilai, para investor domestik akan masih menjadi penopang pada jalannya lelang SBN. Pasalnya, likuiditas di dalam negeri saat ini masih baik. Baca Juga: Pergerakan yield US Treasury jadi sentimen utama pada lelang SBN Selasa (30/3) Begitupun dari sisi yield, Ramdhan menyebut posisi yield saat ini justru lebih menarik dibandingkan pada awal tahun ini. Oleh karena itu, seharusnya investor domestik bisa memanfaatkan momen ini untuk masuk ke pasar primer pada lelang. Sementara untuk investor asing, Ramdhan memperkirakan mereka masih akan cenderung menahan diri dan belum melirik SBN. Apalagi, risiko global saat ini masih cukup tinggi. Hal ini juga tercermin dari level credit default swap (CDS) atau persepsi investor terhadap Indonesia dalam tren naik. Adapun, level CDS untuk SBN acuan 10 tahun saat ini berada di level 152,11 atau level tertingginya dalam empat bulan terakhir. Hal yang serupa juga terlihat pada level CDS untuk SBN 5 tahun yang berada di level 86,51. Baca Juga: Faktor eksternal berpotensi menekan rupiah jelang akhir kuartal pertama “Pada akhirnya ini membuat investor asing keluar dari pasar emerging markets, mereka memilih menyimpan dananya di Amerika Serikat dahulu sering yield US Treasury yang juga naik. Oleh karena itu, lelang besok masih akan didominasi oleh para investor domestik,” imbuh Ramdhan. Dengan kondisi saat ini, Ramdhan meyakini seri dengan tenor pendek akan menjadi salah satu incaran peserta lelang karena volatilitas yang rendah. Begitupun dengan seri SBN acuan 10 tahun yang punya likuiditas paling tinggi. Baca Juga: Cerita investasi Direktur Mandiri Sekuritas Theodora VN Manik memilih menabung saham Cek Berita dan Artikel yang lain di Google News",investasi
Pergerakan yield US Treasury jadi sentimen utama pada lelang SBN Selasa (30/3),2024-09-24T15:47:09.249Z,"Minggu, 28 Maret 2021 / 12:41 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/pergerakan-yield-us-treasury-jadi-sentimen-utama-pada-lelang-sbn-selasa-303,"KONTAN.CO.ID - JAKARTA. Lelang Surat Berharga Negara (SBN) yang digelar pada Selasa (30/3) diperkirakan tidak akan kesulitan mencapai target. Dalam lelang tersebut, pemerintah memasang target indikatif Rp 30 triliun-Rp 45 triliun. Adapun, pada lelang SBN sebelumnya (16/3), jumlah penawaran yang masuk hanya Rp 40,09 triliun. Director & CIO Fixed Income Manulife Asset Manajemen Indonesia Ezra Nazula meyakini sentimen eksternal masih akan jadi penggerak utama minat peserta lelang SBN esok. Menurut dia, jalannya lelang akan sangat tergantung pada pergerakan yield US Treasury apakah sudah lebih stabil atau justru masih terus volatile. “Jika ternyata yield US Treasury masih berada di bawah level 1,7%, maka akan menjadi sentimen positif untuk lelang esok hari. Pasalnya, yield SBN acuan 10 tahun yang saat ini ada di kisaran 6,7% sangat menarik dengan kondisi fundamental makro Indonesia yang cukup positif,” kata Ezra ketika dihubungi Kontan.co.id, Jumat (26/3). Lebih lanjut, kestabilan pergerakan yield US Treasury juga disebut punya peranan penting dalam keputusan investor asing untuk kembali melirik Indonesia. Ezra meyakini, saat ini investor asing berada dalam posisi menunggu sembari melihat pergerakan yield US Treasury sebelum dapat valuasi aset dan masuk kembali di obligasi Indonesia. Baca Juga: Pemerintah akan lelang 7 seri SUN dengan target dana Rp 45 triliun, Selasa (30/3) Dengan berbagai kondisi tersebut, Ezra melihat jumlah penawaran yang masuk masih akan mampu melebihi target yang ditetapkan pemerintah. Dia berharap, yield obligasi Indonesia secara umum sudah mendekati level support. Terlebih lagi, ketika pasar ke depannya bisa terjaga seiring sentimen global yang lebih stabil. “SUN tenor 10 tahun ke bawah sepertinya masih akan jadi incaran para peserta lelang. Akan tetapi, sebenarnya yield tenor 15-20 tahun juga sangat atraktif dengan kurva imbal hasil yang curam (steep),” tutup Ezra. Baca Juga: BI optimistis pemulihan ekonomi terus berlanjut Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah Ubah Strategi Penerbitan Utang, Target Lelang SBN Dikurangi Hingga Maret",2024-09-24T15:47:09.668Z,,Premium User Only,https:////insight.kontan.co.id/news/pemerintah-ubah-strategi-penerbitan-utang-target-lelang-sbn-dikurangi-hingga-maret,Premium Content - Not Scraped,insight
"Likuiditas lebih berlimpah, lelang SBN pada 2021 diprediksi lebih baik dari tahun ini",2024-09-24T15:47:10.159Z,"Selasa, 08 Desember 2020 / 20:41 WIB",Reporter: Hikma Dirgantara | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/likuiditas-lebih-berlimpah-lelang-sbn-pada-2021-diprediksi-lebih-baik-dari-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah melalui Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan kembali menggelar lelang Surat Berharga Syariah Negara (SBSN) pada Selasa (8/12). Lelang kali ini merupakan yang terakhir kalinya pada tahun ini. Sepanjang tahun ini sendiri, akibat adanya pandemi dan perlambatan ekonomi, pemerintah pun menggenjot penerbitan surat utang sebagai salah satu cara mengumpulkan dana. Berdasarkan Perpres 72/2020, total target penerbitan SBN neto yang dipatok sebesar Rp 1.173, triliun. Angka ini jauh lebih besar dibanding realisasi penerbitan SBN pada tahun 2019 yang hanya Rp 445,76 triliun. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto memperkirakan dengan pandemi yang belum ada indikasi akan usai, penerbitan SBN pada tahun depan masih akan tetap besar. Ia memperkirakan jumlahnya tidak akan sebesar tahun ini, namun tetap akan lebih besar dibanding periode normal sebelum ada pandemi. “Tapi untungnya, likuiditas masih akan melimpah. Investor domestik sudah teruji mampu mendominasi dan menjaga stabilitas pasar SBN ketika investor asing menarik diri kemarin. Apalagi, pada tahun depan investor asing perlahan akan menambah porsi investasi mereka, tentunya likuiditas tidak akan jadi masalah,” kata Ramdhan kepada Kontan.co.id, Selasa (8/12). Baca Juga: Lelang SBSN terakhir pada tahun ini, jumlah penawaran masuk sentuh Rp 27,76 triliun Senada, Head of Economics Research Pefindo Fikri C Permana menyatakan, investor asing sejauh ini masih belum sepenuhnya kembali ke pasar obligasi Indonesia. Tercermin dari masih terjadinya outflow jika dilihat dari kepemilikan SBN. “Tahun depan investor asing akan kembali masuk, vaksin kan sudah ada diharapkan dapat didistribusikan dengan baik agar kegiatan ekonomi bisa pulih lebih cepat. Hal ini akan membuat penerimaan pemerintah dapat terdorong. Dengan demikian, risiko pun berkurang, sehingga yield dan harga obligasi bisa lebih kompetitif, yang pada akhirnya semakin menarik minat asing,” ujar Fikri. Tak hanya itu, Fikri melihat dengan adanya pembentukan Sovereign Wealth Fund (SWF), likuiditas di pasar keuangan dalam negeri pun akan semakin melimpah mengingat besarnya nilai SWF. “Jadi secara umum, lelang surat utang pada tahun depan akan lebih baik dibandingkan tahun ini. Bank Indonesia sendiri masih punya ruang untuk pemangkasan suku bunga yang tentunya jadi sentimen positif untuk pergerakan yield. Ditambah dengan likuiditas yang melimpah, harga dan yield pada lelang tahun depan akan jadi lebih kompetitif,” kata Fikri. Sementara Ramdhan menilai, dengan yield yang lebih kompetitif,  cost of fund pemerintah pun bisa lebih rendah. Sehingga mungkin akan membuat pemerintah tidak terlalu terbebani seperti pada tahun ini.  Cek Berita dan Artikel yang lain di Google News",investasi
"Catat, jadwal lelang penerbitan SBN dimajukan jadi pukul 09.00 WIB",2024-09-24T15:47:10.373Z,"Jumat, 27 Maret 2020 / 19:26 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/catat-jadwal-lelang-penerbitan-sbn-dimajukan-jadi-pukul-0900-wib,"KONTAN.CO.ID - JAKARTA. Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan akhirnya mengambil keputusan untuk mengubah jadwal lelang Surat Berharga Negara (SBN). Perubahan jadwal ini seiring dengan penyebaran virus corona di Indonesia. “Dalam rangka mendukung upaya pencegahan penyebaran virus corona dan pelaksanaan harmonisasi kebijakan dengan Bank Indonesia (BI), pemerintah memutuskan untuk melakukan perubahan waktu pelaksanaan lelang penerbitan SBN,” tulis DJPPR dalam keterangan resmi, Jumat (27/3). Baca Juga: Penawaran masuk pada lelang SUN pekan depan bisa turun lagi Perubahan jadwal lelang ini untuk menyesuaikan dengan jadwal kegiatan operasional BI Real Time Gross Settlement (BI- RTGS), Bank Indonesia Scripless Securities Settlement System (BI-SSSS), dan Bank Indonesia Electronic Trading Platform (BI-ETP). Semula lelang penerbitan SBN yang dilaksanakan pada pukul 10.00-12.00 WIB. Dengan perubahan jadwal ini maka akan dimajukan menjadi pukul 09.00-11.00 WIB. Sedangkan untuk hari pelaksanaan lelang penerbitan SBN tetap dijadwalkan pada hari Selasa sebagaimana yang biasa berlaku. Penyesuaian waktu pelaksanaan lelang SBN tersebut berlaku sejak penyesuaian jadwal kegiatan operasional dan layanan publik Bank Indonesia sampai dengan berakhirnya batas waktu yang ditetapkan kemudian. Baca Juga: BI: Net kewajiban posisi investasi internasional Indonesia naik di Kuartal IV 2019 Cek Berita dan Artikel yang lain di Google News",investasi
