Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5), Ini Daftar Lengkapnya",2024-09-24T15:42:46.977Z,"Selasa, 28 Mei 2024 / 07:00 WIB",Reporter: Akmalal Hamdhi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/pemerintah-lelang-delapan-seri-sun-pada-selasa-285-ini-daftar-lengkapnya,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (28/5). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat delapan seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang Selasa (28/5): Baca Juga: Imbal Hasil Tak Kalah Menarik, Dana Asing Mulai Masuk Lagi ke SBN 1. SPN03240828 (New Issuance) akan jatuh tempo pada tanggal 28 Agustus 2024 dengan tingkat imbalan diskonto 2. SPN12250529 (New Issuance)) akan jatuh tempo pada tanggal 29 Mei 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FRSDG001 akan jatuh tempo pada tanggal 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37% 5. FR0100 akan jatuh tempo pada tanggal 15 Februari 2034 dengan tingkat imbalan sebesar 6,62% 6. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 7. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan tingkat imbalan sebesar 6,87% Pada lelang ini kembali ditawarkan Seri FRSDG001 yang merupakan seri Sustainable Development Goals (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Baca Juga: Lelang SUN, Selasa (30/4), Penawaran Masuk Mencapai Rp 50,2 Triliun Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 28 Mei 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 30 Mei 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News",investasi
Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5) Target Indikatif Rp 33 Triliun,2024-09-24T15:42:47.197Z,"Senin, 27 Mei 2024 / 12:27 WIB",Reporter: Akmalal Hamdhi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/pemerintah-lelang-delapan-seri-sun-pada-selasa-285-target-indikatif-rp-33-triliun,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (28/5). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat delapan seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang Selasa (28/5): Baca Juga: Imbal Hasil Tak Kalah Menarik, Dana Asing Mulai Masuk Lagi ke SBN 1. SPN03240828 (New Issuance) akan jatuh tempo pada tanggal 28 Agustus 2024 dengan tingkat imbalan diskonto 2. SPN12250529 (New Issuance)) akan jatuh tempo pada tanggal 29 Mei 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FRSDG001 akan jatuh tempo pada tanggal 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37% 5. FR0100 akan jatuh tempo pada tanggal 15 Februari 2034 dengan tingkat imbalan sebesar 6,62% 6. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 7. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan tingkat imbalan sebesar 6,87% Pada lelang ini kembali ditawarkan Seri FRSDG001 yang merupakan seri Sustainable Development Goals (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Baca Juga: Lelang SUN, Selasa (30/4), Penawaran Masuk Mencapai Rp 50,2 Triliun Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 28 Mei 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 30 Mei 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News",investasi
"Lelang SUN, Selasa (30/4), Penawaran Masuk Mencapai Rp 50,2 Triliun",2024-09-24T15:42:47.491Z,"Selasa, 30 April 2024 / 21:13 WIB",Reporter: Rashif Usman | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/lelang-sun-selasa-304-penawaran-masuk-mencapai-rp-502-triliun,"KONTAN.CO.ID - JAKARTA. Minat investor pada lelang surat utang negara (SUN) pada Selasa (30/4), sangat tinggi, di tengah sikap wait and see atas langkah kebijakan The Fed dan naiknya BI rate sebesar 25 basis poin. Direktur Surat Utang Negara Ditjen PPR Kementerian Keuangan Deni Ridwan mengatakan, penawaran masuk atau incoming bids pada lelang SUN, Selasa (30/4), mencapai Rp 50,2 triliun, meningkat dari Rp 32,34 triliun pada lelang SUN sebelumnya. ""Hal ini didukung oleh indikator perekonomian domestik yang konstruktif, antara lain solidnya kinerja APBN sampai akhir triwulan I 2024 dengan mencatat surplus sebesar Rp8,1 triliun, dan meningkatnya likuiditas domestik dengan pertumbuhan money supply (M2) pada bulan Maret lalu,"" ujar Deni dalam siaran persnya, Selasa (30/4). Baca Juga: Kondisi Global yang Tak Menentu, Pemerintah Bisa Perbanyak Terbitkan SBN Domestik Deni menyampaikan, total incoming bids investor asing pada lelang SUN juga meningkat signifikan menjadi Rp 8,81 triliun dari Rp 2,94 triliun pada lelang SUN sebelumnya. Mayoritas dari incoming bids tersebut berada pada seri SUN tenor menengah 5 tahun sebesar Rp 4,53 triliun atau 51,43% dari total incoming bids investor asing dan dimenangkan sebesar Rp 3,23 triliun atau 15,05% dari total awarded bids. Permintaan investor masih dominan pada seri SUN tenor 5 tahun dan 10 tahun, dengan jumlah incoming bids dan awarded bids masing-masing sebesar 56,77% dari total incoming bids dan 76,74% dari total awarded bids. ""Incoming bids terbesar ada pada tenor 5 tahun yaitu Rp 14,27 triliun atau 28,42% dari total incoming bids dan dimenangkan sebesar Rp 8,45 triliun atau 39,3% dari total awarded bids,"" ucapnya. Deni menerangkan, volatilitas pasar keuangan dalam beberapa waktu terakhir yang disebabkan oleh faktor global, seperti ekspektasi tingkat bunga tinggi the Fed untuk waktu yang lebih lama atau high for longer dan meningkatnya tensi geopolitik di Timur Tengah, mendorong kenaikan tingkat imbal hasil SBN secara umum. ""Sehingga, Weighted Average Yield (WAY) Obligasi Negara yang dimenangkan pada lelang SUN hari ini bergerak naik antara 4 sampai 5 basis poin dibandingkan dengan level yield pasar sekunder pada penutupan sehari sebelumnya,"" jelasnya. Dengan mempertimbangkan yield SBN yang wajar di pasar sekunder, rencana kebutuhan pembiayaan tahun 2024, dan kondisi kas negara terkini, pemerintah memutuskan untuk memenangkan penawaran sebesar Rp 21,5 triliun pada lelang SUN, Selasa (30/4). Sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2024, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 14 Mei 2024. Cek Berita dan Artikel yang lain di Google News",nasional
"Penawaran Lelang Masuk Mencapai Rp 32,34 Triliun pada Lelang SUN, Selasa (26/3)",2024-09-24T15:42:47.677Z,"Selasa, 26 Maret 2024 / 18:31 WIB",Reporter: Sugeng Adji Soenarso | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/penawaran-lelang-masuk-mencapai-rp-3234-triliun-pada-lelang-sun-selasa-263,"KONTAN.CO.ID - JAKARTA. Pemerintah telah menggelar lelang Surat Utang Negara (SUN) pada Selasa (26/3). Minat investor terpantau cukup baik di tengah berlangsungnya puasa Ramadan. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, total penawaran masuk (incoming bids) pada lelang SUN Selasa 26 Maret 2024 sebesar Rp 32,34 triliun. Sementara, nominal yang dimenangkan (awarded bids) pada lelang SUN kali ini sebesar Rp 22,6 triliun. Direktur Surat Utang Negara DJPPR Kemenkeu, Deni Ridwan, mengatakan, hasil lelang kali ini cukup baik di tengah meningkatnya kebutuhan dana tunai menjelang hari raya lebaran. Baca Juga: Dana Asing Rp 23,34 Triliun Cabut dari Pasar Surat Utang Sejak Awal 2024 Memang, hasil tersebut lebih rendah dari lelang sebelumnya Rp 58,94 triliun, namun angka tersebut masih 1,35 kali lebih tinggi dari target indikatif yang telah diumumkan Rp 24 triliun. Pada lelang kali ini, incoming bids dari perbankan menurun, sebagai antisipasi peningkatan kebutuhan dana tunai oleh masyarakat. Selanjutnya, kebijakan BI mempertahankan suku bunga acuannya pada level 6% dan solidnya kinerja APBN sampai dengan 15 Maret 2024 dengan mencatat surplus sebesar Rp 22,8 triliun menjadi indikator baiknya kondisi perekonomian domestik yang mendukung pasar SBN. ""Di sisi lain, walaupun pernyataan pejabat the Fed cenderung dovish namun pelaku pasar masih menunggu timing penurunan suku bunga acuannya pada tahun ini yang berpotensi mendukung pasar SBN dan emerging markets assets lainnya,"" ujarnya dalam keterangan resmi, Selasa (26/3). Baca Juga: Pemerintah Terima Penawaran Masuk Rp 58,94 Triliun pada Lelang SUN, Rabu (13/3) Deni menuturkan, SUN tenor 5 dan 10 tahun masih menjadi daya tarik utama bagi investor. Ini tergambar dengan jumlah incoming bids dan awarded bids masing-masing sebesar 43,34% dari total incoming bids dan 53,54% dari total awarded bids. Incoming bids terbesar adalah pada SUN tenor 5 tahun yaitu Rp 8,34 triliun atau 25,87% dari total incoming bids. Adapun yang dimenangkan sebesar Rp 7,45 triliun atau 32,96% dari total awarded bids. Dari investor asing, DJPPR mencatat pada lelang SUN hari ini mencapai Rp 2,94 triliun. Mayoritas dari incoming bids tersebut pada SUN tenor 5 tahun sebesar Rp 1,93 triliun atau 65,69% dari total incoming bids investor asing dan dimenangkan sebesar Rp 1,91 triliun atau 8,45% dari total awarded bids. Baca Juga: Pemerintah Targetkan Rp 36 triliun Pada Lelang Surat Utang Negara (SUN), Rabu (13/3)",investasi
"Penawaran Masuk Mencapai Rp 58,94 Triliun pada Lelang SUN, Rabu (13/3)",2024-09-24T15:42:47.842Z,"Kamis, 14 Maret 2024 / 16:26 WIB",Reporter: Akmalal Hamdhi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/penawaran-masuk-mencapai-rp-5894-triliun-pada-lelang-sun-rabu-133,"KONTAN.CO.ID – JAKARTA. Pemerintah telah menggelar lelang Surat Utang Negara (SUN) pada Rabu (13/3). Minat investor terpantau cukup baik di tengah berlangsungnya puasa Ramadan. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, total penawaran masuk (incoming bids) pada lelang SUN tanggal 13 Maret 2024 sebesar Rp 58,94 triliun. Sementara, nominal yang dimenangkan (awarded bids) pada lelang SUN kali ini sebesar Rp 24 triliun. Direktur Surat Utang Negara DJPPR Kemenkeu Deni Ridwan mengatakan, permintaan investor pada lelang SUN pekan ini tercatat cukup baik. Total penawaran masuk pada lelang SUN pekan ini mencapai Rp58,94 triliun atau 2,45 kali dari target indikatif yang diumumkan sebelumnya. Hal ini didukung oleh indikator perekonomian domestik yang konstruktif, antara lain tetap tingginya cadangan devisa di level US$144,0 miliar yang setara dengan pembiayaan 6,5 bulan impor atau 6,3 bulan impor dan pembayaran utang luar negeri pemerintah. Dari pasar global, minat lelang SUN dipengaruhi oleh pernyataan Chairman The Fed Jerome Powell yang mengindikasikan kemungkinan penurunan Fed Fund rate pada tahun ini. Meskipun penurunan tersebut belum memungkinkan pada semester I-2024, karena tingkat inflasi AS yang belum mendekati target The Fed. “Demand (permintaan) atas lelang SUN di awal bulan Ramadhan 1445 H tercatat cukup baik,” ungkap Deni dalam keterangannya, Kamis (14/3). Baca Juga: Pemerintah Targetkan Rp 36 triliun Pada Lelang Surat Utang Negara (SUN), Rabu (13/3) Deni menjelaskan, investor masih dominan pada seri SUN tenor 5 dan 10 tahun, dengan jumlah incoming bids dan awarded bids masing-masing sebesar 64,99% dari total incoming bids dan 58,13% dari total awarded bids. Incoming bids terbesar adalah pada tenor 10 tahun yaitu Rp19,44 triliun atau sekitar 32,98% dari total incoming bids dan dimenangkan sebesar Rp9,1 triliun atau 37,92% dari total awarded bids. Dari sisi investor asing, total incoming bids investor asing pada lelang SUN pekan ini meningkat tipis menjadi Rp10,5 triliun dari Rp10,4 triliun pada lelang sebelumnya. Mayoritas dari incoming bids tersebut dari seri SUN tenor menengah-panjang (5 dan 10 tahun) sebesar Rp7,97 triliun atau 75,9% dari total incoming bids investor asing dan dimenangkan sebesar Rp4,63 triliun atau 19,3% dari total awarded bids. Sementara itu, Weighted Average Yield (WAY) untuk Obligasi Negara pada saat pelaksanaan lelang SUN naik sebesar 1 s.d. 3 bps dibandingkan WAY pada lelang SUN sebelumnya, kecuali WAY Obligasi Negara tenor 5 tahun turun 1bps dibandingkan WAY pada lelang SUN sebelumnya. Adapun pemerintah memutuskan untuk memenangkan penawaran sebesar Rp24 triliun pada lelang SUN kali ini dengan mempertimbangkan yield SBN yang wajar di pasar sekunder, rencana kebutuhan pembiayaan tahun 2024, dan kondisi kas negara terkini. Sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2024, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 26 Maret 2024. Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah Terima Penawaran Masuk Rp 58,94 Triliun pada Lelang SUN, Rabu (13/3)",2024-09-24T15:42:48.050Z,"Kamis, 14 Maret 2024 / 13:33 WIB",Reporter: Akmalal Hamdhi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/pemerintah-terima-penawaran-masuk-rp-5894-triliun-pada-lelang-sun-rabu-133,"KONTAN.CO.ID - JAKARTA. Pemerintah telah melaksanakan lelang Surat Utang Negara (SUN) pada Rabu, (13/3). Lelang SUN kali ini masih berada dalam target indikatif sebesar Rp 24 triliun – Rp 36 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, total penawaran yang masuk pada lelang SUN tanggal 13 Maret 2024 sebesar Rp 58,94 triliun. Sementara, nominal yang dimenangkan pada lelang SUN kali ini sebesar Rp 24 triliun. Penawaran masuk (incoming bids) lelang SUN pekan ini sedikit lebih rendah daripada lelang sebelumnya sebesar Rp 61,04 triliun. Sementara penawaran diterima (awarded bids) lelang SUN pekan ini dan pekan sebelumnya berjumlah sama yakni Rp 24 triliun. Dalam lelang kali ini, terdapat tujuh (7) seri SUN yang ditawarkan yakni SPN03240613, SPN12250314, FR0101, FR0100, FR0098, FR0097 serta FR0102. Seri FR0100 merupakan seri dengan jumlah penawaran masuk tertinggi, sekaligus seri dengan penawaran yang paling banyak dimenangkan. Baca Juga: Chandra Asri Group Berhasil Luncurkan Obligasi Senilai Rp1,5 Triliun pada Tahun 2024 Berikut rincian hasil lelang Surat Utang Negara yang digelar Rabu, (13/3). Simak ulasannya. 1. SPN03240613 (new issuance) akan jatuh tempo pada 13 Juni 2024 dengan tingkat imbalan diskonto. Seri ini mencatatkan penawaran masuk sebesar Rp 2,28 triliun dengan jumlah nominal dimenangkan Rp 0,15 triliun, disertai yield rata-rata tertimbang yang dimenangkan sebesar 6,37%. 2. SPN12250314 (new issuance) akan jatuh tempo pada 14 Maret 2025 dengan tingkat imbalan diskonto. Seri ini mencatatkan penawaran masuk Rp 4,19 triliun dengan jumlah nominal dimenangkan Rp 1,40 triliun, disertai yield rata-rata tertimbang yang dimenangkan sebesar 6,45%. 3. FR0101 akan jatuh tempo pada 15 April 2029 dengan tingkat imbalan 6,87%. Seri ini mencatatkan penawaran masuk sebesar Rp 18,86 triliun dengan jumlah nominal dimenangkan Rp 4,85 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,49%. 4. FR0100 akan jatuh tempo pada 15 Februari 2034 dengan tingkat imbalan sebesar 6,62%. Seri ini mencatatkan penawaran masuk sebesar Rp 19,43 triliun dengan jumlah nominal dimenangkan sebesar Rp 9,10 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,61%. 5. Seri FR0098 akan jatuh tempo pada 15 Juni 2038 dengan tingkat imbalan sebesar 7,12%. Seri ini mencatatkan penawaran masuk sebesar Rp 5,59 triliun dengan jumlah nominal dimenangkan sebesar Rp 3,10 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,70%. Baca Juga: Perbankan Diramal Ramai Terbitkan Green Bond pada Semester II 6. FR0097 akan jatuh tempo pada 15 Juni 2043 dengan tingkat imbalan sebesar 7,12%. Seri ini mencatatkan penawaran masuk sebesar Rp 2,56 triliun dengan jumlah nominal dimenangkan sebesar Rp 2 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,86%. 7. FR0102 akan jatuh tempo pada 15 Juli 2054 dengan tingkat imbalan 6,87%. Seri ini mencatatkan penawaran masuk sebesar Rp 6,01 triliun dengan jumlah nominal dimenangkan sebesar Rp 3,40 triliun disertai yield rata-rata tertimbang yang dimenangkan sebesar 6,93%. Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah Targetkan Rp 36 triliun Pada Lelang Surat Utang Negara (SUN), Rabu (13/3)",2024-09-24T15:42:48.274Z,"Senin, 11 Maret 2024 / 14:43 WIB",Reporter: Akmalal Hamdhi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/pemerintah-targetkan-rp-36-triliun-pada-lelang-surat-utang-negara-sun-rabu-133,"KONTAN.CO.ID-JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Rabu (13/3). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 24 triliun – Rp 36 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat tujuh (7) seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari tujuh seri SUN yang akan ditawarkan pada lelang, Rabu (13/3) :  Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Baca Juga: Total Penawaran Lelang SUN Capai Rp 61,04 Triliun, Tenor Lima Tahun Paling Diminati Lelang SBN akan dibuka pada hari Rabu, tanggal 13 Maret 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 15 Februari 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News",investasi
"Total Penawaran Lelang SUN Capai Rp 61,04 Triliun, Tenor Lima Tahun Paling Diminati",2024-09-24T15:42:49.286Z,,Premium User Only,https:////insight.kontan.co.id/news/total-penawaran-lelang-sun-capai-rp-6104-triliun-tenor-lima-tahun-paling-diminati,Premium Content - Not Scraped,insight
Solidnya Ekonomi Indonesia Dorong Permintaan dalam Lelang SUN pada Selasa (27/2),2024-09-24T15:42:49.524Z,"Selasa, 27 Februari 2024 / 19:33 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/solidnya-ekonomi-indonesia-dorong-permintaan-dalam-lelang-sun-pada-selasa-272,"KONTAN.CO.ID - JAKARTA. Lelang Surat Utang Negara (SUN) masih ramai diikuti investor. Kondisi perekonomian domestik yang solid menjadi faktor pendukung lelang SUN yang digelar hari ini (27/2). Direktur Surat Utang Negara DJPPR Kemenkeu Deni Ridwan mengatakan, minat investor terlihat dari peningkatan penawaran masuk (incoming bids) menjadi Rp 61,04 triliun dari Rp 52,63 triliun pada dua pekan lalu. ""Stabilnya BI rate, positifnya kinerja APBN awal tahun ini, serta naiknya pertumbuhan kredit dan likuiditas uang beredar menjadi katalis positif,"" ujarnya dalam keterangan resmi, Selasa (27/2). Menurut Deni, sentimen-sentimen tersebut mampu meredam isu kebijakan suku bunga yang tinggi untuk waktu yang lebih lama pasca rilis FOMC minutes dan komentar lanjutan pejabat the Fed yang mengonfirmasi kebijakan high for longer tersebut. Baca Juga: Chandra Asri (TPIA) akan Menerbitkan Obligasi Senilai Rp 1,5 Triliun ""Pemangkasan suku bunga Fed Fund Rate (FFR) diprediksi tetap dapat dilakukan pada tahun ini,"" sambungnya. Permintaan investor dominan berada di tenor 5-10 tahun, dengan jumlah incoming bids dan awarded bids masing-masing sebesar 50,34% dan 46,71%. Sementara incoming bids terbesar pada tenor 5 tahun yaitu Rp 17,8 triliun atau 29,16% dari total incoming bids dan dimenangkan sebesar Rp 3,31 triliun atau 13,79% dari total awarded bids. Deni menambahkan, partisipasi investor asing turut meningkat menjadi Rp 10,4 triliun dari Rp 4,23 triliun. Mayoritas penawaran masuk dari asing berada pada seri SUN tenor menengah (5 tahun) sebesar Rp 4,34 triliun atau 41,67% dari total incoming bids investor asing. Sedangkan yang dimenangkan (awarded bids) sebesar Rp 1,17 triliun atau 4,87% dari total awarded bids. Sementara itu, seiring dengan minat investor di pasar SBN yang masih tinggi dan kondisi pasar SBN yang relatif stabil, Weighted Average Yield (WAY) obligasi negara yang dimenangkan pada lelang SUN hari ini turun sebesar 2-6 bps apabila dibandingkan dengan level WAY lelang SUN sebelumnya. Baca Juga: Prospek Kinerja Waskita Karya (WSKT) Usai Restrukturisasi Utang Lewat RUPO Dengan mempertimbangkan yield SBN yang wajar di pasar sekunder, rencana kebutuhan pembiayaan tahun 2024, dan kondisi kas negara terkini, pemerintah memutuskan untuk memenangkan penawaran sebesar Rp 24 triliun. Adapun sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2024, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 13 Maret 2024. Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah Gelar Lelang SUN Hari Ini, Target Indikatif Capai Rp 36 Triliun",2024-09-24T15:42:49.659Z,"Selasa, 27 Februari 2024 / 05:55 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/pemerintah-gelar-lelang-sun-hari-ini-target-indikatif-capai-rp-36-triliun,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (27/2). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 24 triliun – Rp 36 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat tujuh (7) seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Baca Juga: Penerbitan Obligasi Korporasi Akan Ramai Jika Suku Bunga Turun Berikut rincian dari 7 seri SUN yang akan ditawarkan pada lelang Selasa (27/2) : 1. SPN12240529 (Reopening) akan jatuh tempo pada tanggal 29 Mei 2024 dengan tingkat imbalan diskonto 2. SPN12250213 (Reopening) akan jatuh tempo pada tanggal 13 Februari 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FR0100 akan jatuh tempo pada tanggal 15 Februari 2034 dengan tingkat kupon sebesar 6,62% 5. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 6. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 7. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan imbalan sebesar 6,87% Penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Cek Berita dan Artikel yang lain di Google News",investasi
