Title,Scrapping Date,Article Date,Author,Link,Content,Category
Strategi Pemerintah Gunakan Saldo Anggaran Lebih (SAL) untuk Sumber Pembiayaan APBN,2024-09-24T16:02:11.091Z,"Rabu, 19 Oktober 2022 / 15:54 WIB",Reporter: Siti Masitoh | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/strategi-pemerintah-gunakan-saldo-anggaran-lebih-sal-untuk-sumber-pembiayaan-apbn,"KONTAN.CO.ID - JAKARTA.  Pemerintah terus berupaya mengantisipasi ancaman resesi global terhadap perekonomian domestik. Salah satu langkah yang ditempuh adalah menggunakan saldo anggaran lebih (SAL) pada tahun 2023. Mengutip Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) 2023. Pemerintah akan mengalokasikan SAL sebagai instrumen pengurang utang dan penyangga fiskal sebesar Rp 70 triliun. Nilai tersebut lebih rendah dari SAL tahun 2022 yang sebesar Rp 127,3 triliun. “Pemerintah akan terlebih dahulu memanfaatkan sumber pembiayaan non-utang SAL untuk 2023,” tutur Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan Luky Alfirman kepada Kontan.co.id, Rabu (19/10). Penggunaan SAL untuk memenuhi kebutuhan pembiayaan APBN sudah dilakukan sejak 2019. Sebagai konsekuensi atas penerapan kebijakan penanganan Covid-19 yang berdampak terhadap pelebaran defisit anggaran yang mencapai 6,14% terhadap PDB pada tahun 2020, pemerintah membutuhkan sumber pembiayaan guna menutup defisit tersebut yang salah satu sumbernya adalah pemanfaatan SAL. Baca Juga: Pemerintah Berencana Bayar Bunga Utang Rp 441,4 Triliun pada 2023 Kementerian Keuangan (Kemenkeu) mencatat, posisi SAL pada akhir 2021 tercatat sebesar Rp 337,77 triliun. Pada tahun 2020, penggunaan SAL sebesar Rp 70,6 triliun. Pada tahun 2021, pemerintah kembali menggunakan SAL sebesar Rp 143,9 triliun. Kemudian di tahun 2022, penggunaan SAL diperkirakan sebesar Rp 127,3 triliun. Pada 2019, penggunaan SAL sebesar Rp 15 triliun digunakan sebagai  fiscal buffer untuk membiayai defisit serta pengeluaran pembiayaan anggaran dalam APBN tahun 2019. Pada 2020, penggunaan SAL sebesar Rp 70,6 triliun digunakan sebagai fiscal buffer untuk membiayai defisit serta pengeluaran pembiayaan anggaran dalam APBN tahun 2020 yang mengalami tekanan sebagai dampak dari terjadinya Pandemi Covid-19. Sedangkan pada 2021 pengunaan SAL sebesar Rp 143,9 triliun rerata digunakan untuk Penyertaan Modal Negara (PMN) bagi  BUMN. Baca Juga: Sri Mulyani Berkomitmen Kurangi Pembiayaan Utang Hingga Rp 216 Triliun pada 2022 Pertama, SAL sebesar Rp 20,1 triliun berdasarkan KMK nomor 476/KMK.02/2021 tentang Penetapan Rincian Pembiayaan Anggaran Pada Bagian Anggaran Bendahara Umum Negara Pengelolaan Investasi Pemerintah untuk Investasi kepada BUMN sebesar Rp16,8 triliun, berupa PMN kepada PT Hutama Karya (Persero) sebesar Rp 9,9 triliun dan PMN kepada PT Kereta Api Indonesia (Persero) sebesar Rp 6,9 triliun dan untuk Investasi kepada BLU LMAN sebesar Rp3,3 triliun. Kedua, penerimaan pembiayaan SAL Earmark sebesar Rp 123,8 triliun, yang berasal dari pencatatan penggunaan atas Sisa Dana Rekening Khusus PC PEN 2020 Public Goods sebesar Rp 53 triliun dan Sisa Dana Rekening Khusus PC PEN 2002 Non Public Goods sebesar Rp 4 triliun serta Pengembalian Penempatan Dana Tahun 2021 sebesar Rp 66,7 triliun.",nasional
"Defisit APBN Lebih Rendah, Pembiayaan Utang Bisa Berkurang",2024-09-24T16:02:11.230Z,"Senin, 23 Mei 2022 / 15:35 WIB",Reporter: Bidara Pink | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/defisit-apbn-lebih-rendah-pembiayaan-utang-bisa-berkurang,"KONTAN.CO.ID - JAKARTA. Pemerintah meyakini pembiayaan utang pada tahun 2022 bisa lebih rendah. Hal ini tak lain, karena ada peluang defisit Anggaran Pendapatan dan Belanja Negara (APBN) 2022 bisa di bawah patokan sebelumnya. “Pembiayaan utang menurun, karena defisit lebih rendah,” tegas Direktur Penyusunan APBN Direktorat Jenderal Anggaran Kementerian Keuangan Rofyanto Kurniawan kepada Kontan.co.id, Senin (23/5). Memang, pemerintah pada tahun ini kembali menetapkan outlook defisit APBN menjadi sebesar Rp 840,2 triliun atau setara 4,5% Produk Domestik Bruto (PDB). Ini lebih rendah dari perkiraan defisit sebelumnya yang sebesar Rp 868,0 triliun atau setara 4,85% PDB. Baca Juga: Defisit Dipangkas, Ekonom Sarankan Porsi Utang Pemerintah Dioptimalkan Melalui SBN Rofyanto melanjutkan, sumber pembiayaan defisit ini nantinya akan berasal dari kenaikan pendapatan negara, yang bersumber dari penerimaan perpajakan dan penerimaan negara bukan pajak (PNBP). “Ini seiring dengan kenaikan harga komoditas dan membaiknya perekonomian,” jelas Rofyanto. Ya, pemerintah memperkirakan ada tambahan pendapatan negara sebesar Rp 420,1 triliun pada tahun ini. Sehingga, outlook pendapatan pada tahun 2022 diperkirakan mencapai Rp 2.266,2 triliun. Namun, di balik defisit anggaran yang bisa ditekan ini, juga ada pembengkakan belanja negara. Pemerintah memperkirakan, belanja negara akan membengkak Rp 392,3 triliun menjadi Rp 3,106.4 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
"Pembiayaan Utang APBN Turun, Begini Komentar Sri Mulyani",2024-09-24T16:02:11.275Z,"Senin, 28 Maret 2022 / 21:16 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/pembiayaan-utang-apbn-turun-begini-komentar-sri-mulyani,"KONTAN.CO.ID - JAKARTA. Realisasi pembiayaan utang pada Anggaran Pendapatan dan Belanja Negara (APBN) merosot tajam pada Februari 2022. Kementerian Keuangan (Kemenkeu) mencatat, realisasi pembiayaan utang akhir Februari 2022 sebesar Rp 92,9 triliun, turun 66,1% dibanding periode yang sama pada tahun sebelumnya. Menteri Keuangan Sri Mulyani Indrawati dalam paparannya menyebutkan bahwa realisasi pembiayaan utang pemerintah terdiri dari penerbitan surat berharga negara (SBN) dan penarikan pinjaman. Adapun realisasi penerbitan surat utang sepanjang Januari-Februari 2022 hanya Rp 67,7 triliun, turun 75,1% year on year (yoy). Namun, realisasi penarikan pinjaman oleh pemerintah pada periode tersebut, mencapai Rp 25,2 triliun, naik tajam 954,4% yoy. Pada Januari-Februari 2021, realisasi penarikan pinjaman oleh pemerintah tercatat hanya Rp 2,4 triliun. ""Artinya realisasi pembiayaan penerbitan utang kita turun hingga 66%, yaitu dari tahun lalu Rp 271,4 triliun, tahun ini hanya Rp 67,7 triliun. Jadi drop turunnya lebih dari Rp 210 Triliun sendiri. Ini hal yang bagus,"" ujar Sri Mulyani dalam Konferensi Pers APBN KITA, Senin (28/3). Baca Juga: Pemerintah Indonesia Terbitkan Global Bond Senilai US$ 1,75 Miliar Dalam paparannya, Menkeu juga menargetkan penurunan utang tunai hingga Rp 100 triliun pada tahun ini. Meski begitu, ia memastikan hal itu dilakukan dengan tetap mempertimbangkan perkembangan kondisi pasar dan fiskal. Sri Mulyani juga mengatakan, Kemenkeu masih berkoordinasi dengan Bank Indonesia (BI) dalam kondisi pasar yang volatile dengan masih melakukan Surat Keputusan Bersama (SKB I) hingga SKB III. Adapun realisasi SKB I sebesar Rp 8,76 Triliun dalam bentuk Surat Utang Negara (SUN) sebesar Rp 6,06 Triliun dan Surat Berharga Syariah Negara (SBSN) sebesar Rp 2,70 Triliun. Sedangkan penerbitan SBN SKB III direncanakan pada Semester II karena mempertimbangkan kondisi kas dan realisasi belanja pemulihan ekonomi nasional (PEN). Baca Juga: Pemerintah Tengah Godok RPP Tentang Pendanaan Ibu Kota Negara (IKN) Nusantara “Untuk SKB III BI akan dilakukan pada semester II sehingga ini cukup bisa memberikan penopang bagi kita untuk bisa menghadapi situasi risiko yang meningkat dari pasar obligasi dan kenaikan suku bunga yang terjadi akibat trend global,” tandasnya. Cek Berita dan Artikel yang lain di Google News",nasional
"Pembiayaan utang menyusut 20,1%, Sri Mulyani: Ini menyehatkan APBN",2024-09-24T16:02:11.384Z,"Senin, 25 Oktober 2021 / 19:53 WIB",Reporter: Yusuf Imam Santoso | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/pembiayaan-utang-menyusut-201-sri-mulyani-ini-menyehatkan-apbn,"KONTAN.CO.ID -  JAKARTA. Menteri Keuangan Sri Mulyani Indrawati menyampaikan realisasi pembiayaan utang hingga akhir September mencapai Rp 647,2 triliun. Angka ini turun 20,1% dibandingkan periode yang sama tahun lalu sebesar Rp 810 triliun. ""Pembiayaan ini ada penurunan. Artinya, sesuai target pemerintah untuk menyehatkan kembali Anggaran Pendapatan dan Belanja Negara (APBN),"" kata Sri Mulyani saat Konferensi Pers APBN, Senin (25/10). Menkeu membeberkan, realisasi pembiayaan utang sudah mencapai 55% dari target pagu dalam APBN sebesar Rp 1.177,4 triliun. Secara rinci untuk pembiayaan utang berasal dari penerbitan surat berharga negara (SBN) neto sebesar Rp 666,7 triliun. Pencapaian SBN tersebut turun 15,7% year on year (yoy). Angka tersebut setara dengan 55,2% terhadap target APBN sebesar Rp 1.207,3 triliun. Baca Juga: Kemenkeu sebut total penerbitan SBN ritel 2021 sudah mencapai Rp 77 triliun Kemudian sisi pinjaman juga mengalami kontraksi hingga 200,4% yoy atau sama dengan minus Rp 19,5 triliun. Sementara, untuk pembiayaan investasi tercatat Rp 75,2 triliun, tumbuh 175,8% yoy. Lalu, pemberian pinjaman terealisasi sebesar Rp 3,1 triliun, tumbuh 49,6% yoy.  Sementara, untuk kewajiban penjaminan belum ada yang terealisasi dari pagu Rp 2,7 triliun. Selanjutnya, pembiayaan lainnya tercatat Rp 46,7 triliun, tumbuh 27.233% yoy. Sri Mulyani menjelaskan, bahwa pasar keuangan domestik yang kondusif dan kuatnya fundamental Indonesia telah berdampak positif terhadap pasar perdana SBN serta mendukung kinerja lelang SBN yang terus terjaga baik. Di sisi lain, APBN tetap memberikan dukungan ke masyarakat, kesehatan ataupun ekonomi. “Bahkan pasar keuangan domestik cukup kondusif terlihat dari SBN yield alami kinerja yang bahkan tetap kuat dan positif dibandingkan yield US Treausry . Tahun 2021 BI sudah partisipasi 142,74 T dengan pembelian SUN Rp 87,507 triliun dan pembelian Surat Berharga Syariah Negara (SBN) mencapai Rp 45,23 triliun,” ucap Menkeu. Baca Juga: Kupon ORI 020 hanya 4,95%, apakah menarik untuk investasi? Sri Mulyani mengatakan penerbitan SBN ke BI diatur SKB I, II dan III akan dilaksanakan terutama akhir tahun November Desember. Dengan adanya capaian penerimaan negara yang gemilang, penggunaan SILPA dan adanya SKB III, maka pemerintah memutuskan untuk menurunkan target lelang pun. “Makanya kita turunkan target lelang SBN dan ini berikan dampak kemampuan untuk turunkan yield SBN. Pembiayaan investasi yang tadi saya sampaikan kita realisasikan di satu sisi manfaatkan cash dan di sisi lain percepat pemulihan ekonomi di sektor BUMN,” ucap Menkeu.  Cek Berita dan Artikel yang lain di Google News",nasional
"Ada sisa lebih pembiayaan anggaran Rp 245,6 triliun di APBN 2020",2024-09-24T16:02:11.429Z,"Senin, 06 September 2021 / 13:56 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/ada-sisa-lebih-pembiayaan-anggaran-rp-2456-triliun-di-apbn-2020,"KONTAN.CO.ID - JAKARTA. Komisi XI DPR membahas RUU tentang Pertanggungjawaban atas Pelaksanaan APBN Tahun Anggaran 2020. Dari realisasi APBN 2020 diketahui terdapat sisa lebih pembiayaan anggaran (Silpa) sebanyak Rp 245,6 triliun. Anggota Komisi IX DPR Dewi Asmara menyebutkan, realisasi belanja negara tahun anggaran 2020 mencapai 94,7% atau Rp 2.595,4 triliun, dari yang ditetapkan sebesar Rp 2.739,1 triliun. Artinya realisasi belanja negara tahun anggaran 2020 tersebut terdapat sekitar 5,3% alokasi APBN yang tidak berhasil direalisasikan. Baca Juga: Belanja modal di RAPBN 2022 lebih rendah, bisa kurang multiplier effect ekonomi Sementara itu, realisasi pendapatan negara dalam tahun anggaran 2020 adalah sebesar Rp1.647,7 triliun. Jumlah itu mencakup 96,9% dari APBN 2020 sebesar Rp1.699,9 triliun. “Berdasarkan realisasi pendapatan yang dibandingkan dengan belanja negara, maka terdapat defisit anggaran Rp 947,6 triliun, yang berarti mencapai 91,1% dari Anggaran Pendapatan dan Belanja Negara (APBN) tahun anggaran 2020 sebesar Rp 1.039,2 triliun,” ujar Dewi dalam rapat Badan Anggaran bersama Menteri Keuangan Sri Mulyani Indrawati, Senin (6/9). Adapun, realisasi pembiayaan untuk menutup defisit anggaran sebesar Rp 1.193,2 triliun. Jumlah tersebut mencapai 114,8% dari APBN tahun anggaran 2020. “Berdasarkan defisit anggaran sebesar Rp 947,6 triliun dan pembiayaan sebesar Rp 1.193,2 triliun, maka terdapat sisa lebih pembiayaan anggaran (Silpa) sebesar Rp 245,6 triliun,” kata Dewi. Baca Juga: Belanja modal di RAPBN 2022 lebih rendah dibandingkan 2021, ini penjelasan Kemenkeu Cek Berita dan Artikel yang lain di Google News",nasional
"Realsiasi pembiayaan APBN baru capai Rp 309,3 triliun di periode Januari-Mei 2021",2024-09-24T16:02:11.708Z,"Selasa, 22 Juni 2021 / 06:05 WIB",Reporter: Yusuf Imam Santoso | Editor: Anna Suci Perwitasari,https:////newssetup.kontan.co.id/news/realsiasi-pembiayaan-apbn-baru-capai-rp-3093-triliun-di-periode-januari-mei-2021,"KONTAN.CO.ID -  JAKARTA. Realisasi pembiayaan Anggaran Pendapatan dan Belanja Negara (APBN) sepanjang Januari-Mei 2021 baru mencapai 30,73% dari outlook pembiayaan di 2021 yang sebesar Rp 1.006,4 triliun. Berdasarkan data Kementerian Keuangan, realisasi pembiayaan APBN di lima bulan pertama 2021 baru Rp 309,3 triliun. Jumlah ini juga minus 13,57% year on year (yoy). Adapun realisasi pembiayaan dalam lima bulan pertama tersebut didominasi oleh penerbitan utang melalui Surat Berharga Negara (SBN), dan sebagian kecil dari pinjaman dalam dan atau luar negeri. “Pembiayaan sudah lebih tinggi karena memang kami melakukan pembiayaan front loading untuk memitigasi kenaikan suku bunga atau inflasi yang terjadi di Amerika Serikat (AS),” kata Menteri Keuangan (Menkeu) Sri Mulyani Indrawati saat Rapat Kerja dengan Komisi VI DPR RI, Senin (21/6). Dengan posisi pembiayaan per akhir Mei 2021, maka defisit APBN mencapai Rp 219,3 triliun atau setara dengan 1,32% terhadap Produk Domestik Bruto (PDB). Besaran defisit tersebut pun setara 21,79% dari outlook akhir 2021 yakni Rp 1.006,4 triliun. Posisi defisit anggaran itu, sejatinya masih tergolong mini sebab secara tahunan minus 13,57% yoy. Dari sisi penerimaan negara, hingga Mei 2021 tumbuh 9,31% yoy atau setara dengan Rp 726,4 triliun. Ini setara dengan 41,66% dari target akhir tahun ini sejumlah Rp 726,4 triliun. Baca Juga: Jokowi ulang tahun, ini sepenggal doa dari Sri Mulyani Sementara itu, dari sisi belanja negara hingga bulan Mei lalu mencapai Rp 945,7 triliun tumbuh 12,06% yoy. Posisi belanja sudah mencapai 34,39% dari outlook akhir 2021 sebesar Rp 2.750 triliun. Lebih lanjut, Sri Mulyani mengatakan, ke depan belanja negara akan terus didorong untuk menjaga ekonomi dalam negeri, terutama dari sisi kesehatan guna menghadapi dampak pandemi. Selain itu, bantalan sosial lewat program pemulihan ekonomi nasional (PEN) 2021 akan terus dilanjutkan. Sejalan dengan itu, penguatan ekonomi melalui reformasi struktural, seperti implementasi Undang-Undang (UU) Nomor 11 Tahun 2020 tentang Cipta Kerja akan menjadi motor penggerak investasi. “Itu semuanya punya peran sangat penting dan idak tergantikan, bidang kesehatan tetap perhatian, program-program PEN perlu dilakukan, dan UU Cipta Kerja reformasi struktural menjadi sangat penting,” ujar Sri Mulyani. Adapun otoritas fiskal memprediksi pertumbuhan ekonomi di akhir tahun 2021 masih berada direntang perkiraan sebelumnya, yakni 4,5%-5,3% secara tahunan.  Cek Berita dan Artikel yang lain di Google News",newssetup
"Per Mei 2021, pembiayaan APBN 2021 tercatat Rp 309,3 triliun",2024-09-24T16:02:11.752Z,"Senin, 21 Juni 2021 / 20:00 WIB",Reporter: Bidara Pink | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/per-mei-2021-pembiayaan-apbn-2021-tercatat-rp-3093-triliun,"KONTAN.CO.ID - JAKARTA. Menteri Keuangan Sri Mulyani Indrawati mencatat, pembiayaan Anggaran Pendapatan dan Belanja Negara (APBN) 2021 dari awal tahun 2021 hingga 31 Mei 2021 mencapai Rp 309,3 triliun. Ini sudah setara 30,7% dari pagu yang sebesar Rp 1.006,4 triliun. Kendati demikian, capaian tersebut masih lebih kecil dari realisasi pada periode yang sama tahun lalu, alias turun 13,57% yoy. “Terutama untuk menutup defisit APBN 2021 yang kami perkirakan sebesar 5,7% dari PDB,” ujar Sri Mulyani, Senin (21/6) dalam konferensi pers APBN KiTa secara daring. Sri Mulyani kemudian menjelaskan, pembiayaan anggaran ini terdiri dari pembiayaan utang yang tercatat Rp 330,1 triliun atau mencapai 28,0% dari pagu APBN yang sebesar Rp 1.177,4 triliun. Baca Juga: Kebijakan fiskal harus jadi ujung tombak penggerak ekonomi saat ini Kemudian, pembiayaan investasi tercatat Rp 22,6 triliun atau sebesar 12,2% dari pagu APBN yang sebesar Rp 184,5 triliun. Pemerintah juga telah melakukan pemberian pinjaman sebesar Rp 1,7 triliun atau tercatat 380,2% dari pagu APBN yang sebesar Rp 0,4 triliun. Sementara pembiayaan lainnya tercatat Rp 0,1 triliun atau baru mencapai 0,3% dari pagu APBN yang sebesar Rp 15,8 triliun. Adapun, target pembiayaan dipenuhi umumnya dari penerbitan Surat Berharga Negara (SBN). Salah satunya, dari penerbitan SBN yang ditangkap oleh Bank Indonesia (BI). Sri Mulyani bilang, pembelian SBN oleh BI sebesar Rp 116,26 triliun. Namun, Sri Mulyani tak ingin terlalu tergantung dengan pembelian oleh bank sentral. Ia melihat ke depan, pembelian SBN oleh BI bisa menurun. “Tentu dengan kondisi pasar SBN makin stabil dan baik, maka ketergantungan pada pembiayaan yang berasal dari BI mungkin secara bertahap bisa diturunkan,” tandasnya.  Cek Berita dan Artikel yang lain di Google News",nasional
Menkeu: Pembiayaan APBN berjalan on track dengan strategi yang pruden dan fleksibel,2024-09-24T16:02:11.794Z,"Kamis, 22 April 2021 / 22:10 WIB",Reporter: Yusuf Imam Santoso | Editor: Handoyo .,https:////nasional.kontan.co.id/news/menkeu-pembiayaan-apbn-berjalan-on-track-dengan-strategi-yang-pruden-dan-fleksibel,"KONTAN.CO.ID - JAKARTA. APBN 2021 diharapkan dapat tetap terjaga dengan target defisit anggaran sebesar 5,7% terhadap produk domestik bruto (PDB), seiring berlanjutnya upaya penanganan Covid-19 dan PEN. Menteri Keuangan (Menkeu) Sri Mulyani Indrawati mengatakan pembiayaan APBN berjalan on track, dengan tetap mewaspadai gejolak di pasar keuangan dan diantisipasi dengan strategi yang pruden dan fleksibel. Realisasi pembiayaan anggaran sampai dengan akhir Maret 2021 mencapai Rp 323 triliun atau 32,1% dari target APBN 2021. Realisasi pembiayaan utang berjalan sesuai strategi di tengah gejolak pasar, hingga kuartal I-2021 mencapai 27,9% dari target APBN. Menkeu menyebut pembiayaan utang menopang kebutuhan pembiayaan non utang, termasuk investasi, serta untuk menutup defisit APBN seiring upaya akselerasi pemulihan ekonomi. Baca Juga: Setoran PPh Badan minus 40,4%, Menkeu sebut banyak korporasi yang sakit Adapun sampai dengan 14 April 2021, kontribusi Bank Indonesia (BI) berdasarkan SKB I mencapai Rp 101,91 triliun, terdiri dari SUN sebesar Rp 64,85 triliun dan SBSN sebesar Rp 37,06 triliun. “APBN akan terus bekerja keras sebagai motor utama penggerak pertumbuhan ekonomi  utamanya melalui alokasi belanja negara yang efektif serta pemberian insentif fiskal yang terarah dan terukur,” kata Menkeu saat Konferensi Pers APBN, Kamis (22/4) Selain itu, Menkeu mengatakan program vaksinasi dan vaksinasi lanjutan akan terus diakselerasi  demi mendukung pemulihan ekonomi dan memberikan pondasi bagi peningkatan produktivitas nasional di masa pandemi ini  Cek Berita dan Artikel yang lain di Google News",nasional
KLHK dorong agar pembiayaan perubahan iklim tidak berasal dari APBN,2024-09-24T16:02:11.836Z,"Minggu, 21 Maret 2021 / 08:30 WIB",Reporter: Vendy Yhulia Susanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/klhk-dorong-agar-pembiayaan-perubahan-iklim-tidak-berasal-dari-apbn,"KONTAN.CO.ID -  JAKARTA. Staf Ahli Menteri Lingkungan Hidup dan Kehutanan (LHK) bidang Industri dan Perdagangan Internasional, Laksmi Dhewanthi mengatakan, aksi pengendalian perubahan iklim baik upaya mitigasi maupun adaptasi perlu didukung oleh banyak instrumen dan pendanaan. Selama ini, aksi pengendalian perubahan iklim didanai dari berbagai sumber, terutama dari APBN. Berdasarkan laporan Third Natonal Communication (TNC) kepada Sekretariat UNFCCC pada tahun 2017, untuk kurun waktu 2015-2020, Indonesia memerlukan pendanaan yang cukup besar untuk membiayai pelaksanaan komitmen adaptasi dan mitigasi dalam pengendalian perubahan iklim yaitu sebesar US$ 81 miliar. Sebab itu, untuk mencapai target Nationally Determined Contributions (NDC) yang berisi target penurunan emisi gas rumah kaca (GRK) hingga tahun 2030, APBN menganggarkan 34% dari total kebutuhan pembiayaan iklim atau sebesar Rp 3.461 triliun selama kurun waktu tersebut. “Kalau kita hanya bertumpu pada budget pemerintah, maka ini tidak akan cukup, sehingga ada beberapa strategi yang dikembangkan oleh pemerintah dalam hal ini Kementerian LHK dan kementerian Keuangan yang menjadi focal point dalam pendanaan aksi pengendalian perubahan iklim,” kata Laksmi dalam keterangan tertulis yang diterima Kontan, Minggu (21/3). Baca Juga: Ini rencana dan program neutralitas karbon yang disiapkan pemerintah Indonesia Laksmi menjelaskan, terdapat 4 strategi yang dikembangkan untuk mengatasi persoalan pendanaan aksi pengendalian perubahan iklim. Pertama adalah kebijakan fiskal yang diwujudkan dalam bentuk pendapatan, pembelanjaan dan pembiayaan. Kedua adalah mengembangkan instrumen-instrumen pembiayaan yang inovatif, seperti Result-Base Payment (RBP), Global dan Ritel Green Sukuk untuk membiayai poyek hijau dalam APBN, serta pelibatan dunia usaha swasta dengan skema Kerjasama Pemerintah dengan Badan Usaha (KPBU) untuk membiayai proyek infrastruktur. Ketiga, meningkatkan akses terhadap pendanaan di tingkat global seperti Green Climate Fund (GCF), Global Environment Facility (GEF), dan sumber pendaaan global lainnya. Dalam meningkatkan akses pendanaan global ini, tentunya ada beberapa hal yang diperbaiki seperti tata kelola, pendataan, termasuk sistem registri untuk bisa membuktikan secara valid, berapa besar capaian penurunan emisi GRK di Indonesia. Keempat, meningkatkan daya tarik investasi, baik itu investasi swasta, business to business, maupun antar pemerintah atau negara. Laksmi menyebut, salah satu inovasi yang dilakukan adalah meningkatkan tata kelola atau mendorong upaya Indonesia untuk memobilisasi sumber-sumber pendanaan untuk pengendalian perubahan iklim di luar APBN. “Maka dari itu, pada bulan Oktober tahun 2019, pemerintah telah meluncurkan Badan Pengelola Dana Lingkungan Hidup (BPDLH) yang mempunyai tugas untuk mengelola, memupuk dan menyalurkan berbagai macam pembiayaan yang dapat mendukung upaya perlindungan dan pengelolaan lingkungan hidup termasuk pengendalian perubahan iklim,” ujar dia.  Cek Berita dan Artikel yang lain di Google News",nasional
"Pembiayaan APBN 2021 Rp 1.006,4 triliun, pemerintah berupaya jaga rasio utang",2024-09-24T16:02:11.875Z,"Kamis, 17 Desember 2020 / 17:42 WIB",Reporter:  Venny Suryanto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/pembiayaan-apbn-2021-rp-10064-triliun-pemerintah-berupaya-jaga-rasio-utang,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan menyebutkan, pembiayaan anggaran dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2021  mencapai Rp 1.006,4 triliun. Pembiayaan anggaran tersebut menurun dari total pembiayaan pada APBN 2020 yang sebesar Rp 1.039,2 triliun. Penurunan pembiayaan tersebut mempertimbangkan defisit anggaran tahun 2021 yang mencapai 5,7% dari produk domestik bruto (PDB), naik dari 5,5% PDB di tahun ini. Kenaikan defisit anggaran ini juga mempertimbangkan masih adanya ketidakpastian ekonomi yang berlanjut di tahun depan akibat dampak pandemi Covid-19. Dalam paparan melalui media sosial, Direktorat Jenderal (Ditjen) Anggaran Kemenkeu menyebutkan bahwa porsi terbesar pembiayaannya akan berasal dari Surat Berharga Negara (SBN) yang mayoritasnya akan dikeluarkan dalam mata uang rupiah. “Dengan banyaknya SBN yang dikeluarkan dalam mata uang rupiah, pemerintah dapat memperdalam pasar keuangan domestik agar akhirnya bisa mandiri. Dengan menguatnya pasar keuangan domestik tentu akan ikut mendorong pertumbuhan ekonomi,” sebagaimana dikutip dalam twitter @DitjenAnggaran Kemenkeu, Kamis (17/12). Baca Juga: BI ikut danai pengadaan vaksin corona hingga Rp 39 triliun lewat burden sharing Adapun, untuk membiayai defisit Rp 1.006,4 triliun, pembiayaan utang dalam APBN 2021 tercatat Rp 1.177,4 triliun. Jumlah tersebut naik sekitar 34,9% dari tahun ini sebesar Rp 1.142,5 triliun. Kenaikan pembiayaan utang ini terdiri dari penerbitan Surat Berharga Negara (neto) yang mencapai Rp 1.207,3 triliun. Kemudian pembiayaan investasi menjadi Rp 184,5 triliun, pembiayaan lainnya sebesar Rp 15,8 triliun, kewajiban pinjaman sebesar Rp 2,7 triliun serta pembiayaan anggaran  untuk pemberian pinjaman sekitar Rp 0,4 triliun serta  pinjaman yang dicadangkan menjadi  Rp 29,9 triliun. Kemenkeu berharap, dengan pembiayaan anggaran yang lebih kecil di tahun depan, empat arah kebijakan pembiayaan dapat terwujud yakni pemerintah dapat mengendalikan utang dengan menjaga rasio utang atau PDB pada batas aman, dapat mendorong fleksibilitas sumber pembiayaan, serta dapat mendorong efisiensi biaya utang.  Cek Berita dan Artikel yang lain di Google News",nasional
