Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Perluas Akses Pembiayaan UMKM, Paper.id Hadirkan Solusi Cicilan Usaha",2024-09-24T15:57:07.697Z,"Rabu, 18 September 2024 / 17:01 WIB",Reporter: Dadan M. Ramdan | Editor: Putri Werdiningsih,https:////peluangusaha.kontan.co.id/news/perluas-akses-pembiayaan-umkm-paperid-hadirkan-solusi-cicilan-usaha,"KONTAN.CO.ID - JAKARTA. Platform pembayaran dan penagihan digital Paper.id, menghadirkan solusi cicilan fleksibel dan aman bagi pelaku UKM yang memungkinkan pengusaha mendapatkan perpanjangan tempo pembayaran, menjaga arus kas, serta meningkatkan efisiensi operasional bisnis. Yosia Sugialam, CoFounder dan CEO Paper.id mengatakan, seringkali, pengusaha di Indonesia mengalami masalah arus kas karena harus membayar supplier dengan cepat namun pembayaran dari client masih belum diterima. Tak pelak, kendala arus kas ini dapat menghambat pertumbuhan bisnis, sampai-sampai pengusaha tidak berani menambah client baru. Paper.id dengan kolaborasi bersama partner perbankan, sudah berhasil membantu banyak pelaku bisnis melalui pembayaran kartu kredit di B2B. ""Sekarang, kami menghadirkan solusi cicilan yang bisa memperpanjang tempo dan menjadi solusi baru di dunia B2B,"" katanya dalam Media Luncheon dengan tema ""Peran Pembayaran Cicilan dalam Mendukung Pertumbuhan Bisnis di Indonesia"" di  Seribu Rasa Menteng, Jakarta, Rabu (18/9/2024). Baca Juga: Transformasi Digital Buka Peluang Kasir Digital Menurut dia, salah satu tantangan terbesar bagi UKM di Indonesia adalah akses pembiayaan. Menurut data, penyaluran kredit kepada UKM di Indonesia baru mencapai 19%, jauh di bawah target pemerintah sebesar 30%. Melalui inovasi layanan cicilan kartu kredit, Paper.id berkomitmen untuk terus menghadirkan inovasi yang relevan bagi pelaku usaha agar mereka dapat memperoleh alternatif pembiayaan yang lebih mudah dan fleksibel. Didukung dengan beragam fitur seperti pengelolaan inventori dan pencatatan keuangan, Paper.id berkomitmen untuk terus menghadirkan solusi penagihan dan pembayaran digital yang inovatif, aman dan fleksibel. ""Kami senantiasa berupaya menjawab kebutuhan beragam bisnis dengan berbagai skala, sekaligus menjaga keamanan transaksi sesuai dengan regulasi yang berlaku,"" jelas Yosia. Untuk diketahui, tren pembayaran cicilan melalui layanan kartu kredit di Indonesia terus mengalami peningkatan yang signifikan. Data dari Bank Indonesia menunjukkan bahwa transaksi kartu kredit terus mengalami peningkatan dengan total nilai transaksi mencapai Rp33,11 triliun pada Februari 2024, naik 6,13% dari tahun sebelumnya. Kendati demikian, penetrasi kartu kredit di Indonesia masih terbilang rendah, hanya sekitar 5%, jauh di bawah negara-negara tetangga seperti Thailand (35%) dan Malaysia (30%). Di sisi lain, pembayaran digital berpotensi tumbuh 2,5 kali lipat di tahun 2030 mencapai US$ 760 miliar (Rp12.300 triliun). Baca Juga: Dorong Transformasi Digital UMKM, SPE Solution Gelar Cring! Talks di Solo & Semarang Kondisi ini mengindikasikan bahwa momentum digitalisasi pembayaran membuat pertumbuhan kartu kredit di Indonesia memiliki potensi yang besar.  Bagi para pemilik usaha termasuk pelaku UKM, kartu kredit menjadi instrumen penting untuk mendapatkan fleksibilitas finansial, terutama dalam memperpanjang jangka waktu pembayaran dan mengoptimalkan manajemen arus kas. Sebagai platform penagihan dan pembayaran digital yang berkomitmen untuk memberdayakan UKM, Paper.id menghadirkan akses layanan cicilan yang mudah dan terjangkau bagi lebih dari 600.000 pengguna Paper.id yang merupakan pemilik  usaha dari berbagai sektor di seluruh Indonesia. Melalui solusi ini, para pengusaha dapat memanfaatkan kartu kredit sebagai alat pembayaran yang lebih efisien dan fleksibel, membantu mereka mengelola arus kas dan memperpanjang tempo pembayaran, sehingga mendukung pertumbuhan bisnis yang lebih cepat dan berkelanjutan. Lebih jauh, kolaborasi yang terjalin antara Paper.id dengan berbagai institusi perbankan seperti BNI, BRI, UOB, DBS dan lainnya, memungkinkan pelaku usaha dapat memilih pilihan pembayaran cicilan melalui kartu kredit. Alternatif ini memungkinkan para pengusaha untuk membayar supplier maupun menerima pembayaran cicilan dari client dengan tempo yang lebih panjang.     Cek Berita dan Artikel yang lain di Google News",peluangusaha
"Pembiayaan Alat Berat Penuh Tantangan, Begini Strategi Multifinance Mengatasinya",2024-09-24T15:57:08.038Z,"Rabu, 18 September 2024 / 16:27 WIB",Reporter: Ferry Saputra | Editor: Putri Werdiningsih,https:////keuangan.kontan.co.id/news/pembiayaan-alat-berat-penuh-tantangan-begini-strategi-multifinance-mengatasinya,"KONTAN.CO.ID - JAKARTA. Sejumlah perusahaan multifinance membeberkan beberapa tantangan yang dihadapi dalam menyalurkan pembiayaan alat berat di tahun ini. Salah satu yang sangat berpengaruh adalah tekanan harga komoditas. PT Adira Dinamika Multi Finance Tbk (Adira Finance) menyebut penurunan harga komoditas, khususnya batubara, menjadi tantangan karena turut memengaruhi pembiayaan alat berat. ""Selain itu, situasi perekonomian domestik dan global yang masih belum menentu, serta konflik geopolitik yang berlangsung juga dapat memengaruhi pembiayaan alat berat,"" ucap Direktur Bisnis dan Portofolio Adira Finance Harry Latif kepada Kontan, Selasa (17/9). Meskipun demikian, Harry tetap optimistis kondisi pembiayaan alat berat bisa membaik ke depannya. Untuk mendorong pertumbuhan pembiayaan alat berat, Harry menerangkan Adira Finance akan meningkatkan kemampuan analitik dan melakukan perluasan dari sisi line up pembiayaan produk alat berat. Selain itu, dia bilang Adira Finance juga akan memperkuat sumber daya manusia dari sisi pemasaran agar bisa lebih menjangkau nasabah secara nasional. Lebih lanjut, Harry menyebut porsi pembiayaan alat berat saat ini masih relatif kecil dari total portfolio pembiayaan perusahaan. Dia menyampaikan pembiayaan alat berat perusahaan tercatat mencapai sebesar Rp 380 miliar hingga Agustus 2024. Baca Juga: BNI Finance Salurkan Pembiayaan Alat Berat Rp 72 Miliar hingga Agustus 2024 Persoalan harga komoditas juga diakui oleh PT BNI Multifinance (BNI Finance). Namun, Direktur Bisnis BNI Multifinance Albertus Hendi mengatakan tantangan juga datang dari naiknya harga alat berat karena kenaikan kurs. Ditambah lagi, belakangan semakin banyak bermunculan brand-brand baru buatan China yang harganya lebih murah dibanding brand dari Jepang atau Eropa. Albertus mengatakan saat ini kontraktor yang membutuhkan alat berat juga mulai beralih ke brand-brand non Jepang dan Eropa. ""Saat ini, perusahaan belum dapat membiayai alat berat produk non Jepang dan Eropa, sehingga masih fokus dengan brand-brand ternama,"" katanya kepada Kontan, Selasa (17/9). Meskipun demikian, Albertus meyakini pembiayaan alat berat diproyeksikan akan tetap bergairah ke depannya. Untuk mengantisipasi tantangan yang ada, dia mengatakan pihaknya akan mencari debitur-debitur dengan kinerja baik selama ini. Albertus mengungkapkan BNI Finance berhasil menyalurkan pembiayaan alat berat hingga Agustus 2024 sebesar Rp 72 miliar. ""Nilai itu tumbuh 38%, jika dibandingkan periode yang sama tahun lalu,"" ungkapnya. Albertus menyebut pertumbuhan itu dikarenakan adanya dampak positif dari penambahan kantor cabang di Jawa Timur dan adanya penambahan team fleet. Baca Juga: Porsi Piutang Pembiayaan Alat Berat BFI Finance Sebesar 12,5% pada Semester I-2024 Setali tiga uang, PT BFI Finance Indonesia Tbk (BFI Finance) tak memungkiri ada tantangan yang harus dihadapi dalam menyalurkan pembiayaan alat berat hingga akhir tahun ini. Deputy Business Director BFI Finance Rudy Eddywidjaja menyampaikan tantangan yang akan dihadapi masih sama seperti pada semester I-2024, yakni adanya faktor global, termasuk harga komoditas yang tertekan. ""Tantangan untuk semester I-2024 sebenarnya tetap sama. Kalau dilihat dari situasi saat ini, kami tahu harga komoditas mulai tertekan lagi. Banyak juga situasi lain di dunia ini yang memang challenging banget,"" ucapnya saat ditemui di JI-Expo Kemayoran, Jumat (13/9). Meskipun demikian, Rudy berharap tantangan tersebut bisa teratasi dengan penanganan yang optimal. Dia juga mempercayai dengan strategi yang diterapkan perusahaan bisa mengatasi segala tantangan yang ada. Secara rinci, BFI Finance akan menerapkan strategi kehati-hatian dalam menyalurkan pembiayaan alat berat. Dia bilang pihaknya akan memprioritaskan penyaluran pembiayaan kepada nasabah yang memang sudah punya cara berbisnis yang lebih proper dan punya kestabilan dalam growth bisnis mereka. ""Kami lebih mengarah ke sana. Kami percaya dengan strategi ke depannya dan kami optimistis semuanya akan berjalan dengan baik,"" katanya. Rudy juga optimistis pembiayaan alat berat perusahaan bisa terus menunjukkan pertumbuhan hingga akhir tahun ini, bahkan berharap mencapai dobel digit. Hal itu seiring dengan pangsa pasar yang terbilang masih potensial, ditandai dengan pembangunan di mana-mana. Sebagai informasi, BFI Finance mencatat porsi piutang pembiayaan dari segmen pembiayaan alat berat pada semester I-2024 mencapai 12,5%. Adapun nilai piutang pembiayaan dari sektor alat berat tersebut mencapai sekitar Rp 2,8 triliun atau tumbuh 10% secara YoY. Tercatat, piutang pembiayaan dikelola (managed receivables) BFI Finance senilai Rp 22,4 triliun pada semester I-2024. Cek Berita dan Artikel yang lain di Google News",keuangan
"Pembiayaan Produktif Maucash Tembus Rp 5,6 Triliun pada Agustus 2024",2024-09-24T15:57:08.280Z,"Rabu, 18 September 2024 / 15:00 WIB",Reporter: Aulia Ivanka Rahmana | Editor: Tri Sulistiowati,https:////keuangan.kontan.co.id/news/pembiayaan-produktif-maucash-tembus-rp-56-triliun-pada-agustus-2024,"KONTAN.CO.ID - JAKARTA. Fintech peer to peer (P2P) lending Maucash mencatat total pembiayaan produktif mencapai sekitar Rp 5,6 triliun pada Agustus 2024. Meskipun tidak menyebut angka pasti, perusahaan menargetkan pertumbuhan 25% hingga akhir tahun, target ini lebih tinggi dibandingkan target pada 2023. Direktur Marketing Maucash Indra Suryawan menjelaskan, untuk mencapai target tersebut, Maucash akan lebih aktif mempromosikan produk Maumodal di berbagai industri dan membuka kesempatan pendanaan bagi semua sektor yang layak secara kredit. Baca Juga: Grup Modalku Salurkan Pendanaan Rp 63 Triliun di Sektor UMKM Sementara itu, menanggapi soal pemilihan kepala daerah (pilkada) serentak yang dianggap dapat menggerakkan Usaha Mikro, Kecil, dan Menengah (UMKM), Indra mengatakan, bahwa secara historis permintaan modal kerja tidak mengalami peningkatan signifikan selama pilkada. ""Trennya cenderung sama dengan bulan-bulan sebelumnya, dan kalaupun naik, tidak naik secara signifikan,"" ujar Indra, Selasa (17/9). Sebagai informasi, OJK mencatat outstanding pembiayaan fintech P2P lending pada Juli 2024 mencapai Rp 69,39 triliun. Pencapaian pada Juli 2024 tumbuh sebesar 23,97% Year on Year (YoY). Sementara itu, tingkat risiko kredit macet secara agregat atau TWP90 fintech P2P lending pada Juli 2024 sebesar 2,53%. Adapun TWP90 pada Juli 2024 tercatat menurun dari posisi Juli 2023 yang sebesar 3,47%. Nilai Juli 2024 terbilang menurun, jika dibandingkan dengan posisi Juni 2024 yang sebesar 2,79%. Baca Juga: Verona Indah Pictures akan Gelar IPO, Pasang Harga Rp 190-Rp 195 per Saham Cek Berita dan Artikel yang lain di Google News",keuangan
Bisnis Pembiayaan Emas Tetap Berkilau,2024-09-24T15:57:09.590Z,,Premium User Only,https:////insight.kontan.co.id/news/bisnis-pembiayaan-emas-tetap-berkilau,Premium Content - Not Scraped,insight
Menakar Dampak Pilkada Serentak Terhadap Penyaluran Pembiayaan Fintech P2P,2024-09-24T15:57:09.815Z,"Selasa, 17 September 2024 / 19:12 WIB",Reporter: Aulia Ivanka Rahmana | Editor: Noverius Laoli,https:////keuangan.kontan.co.id/news/menakar-dampak-pilkada-serentak-terhadap-penyaluran-pembiayaan-fintech-p2p,"KONTAN.CO.ID - JAKARTA. Pemilihan kepala daerah (pilkada) serentak di Indonesia diprediksi tidak memberikan dampak signifikan terhadap penyaluran pembiayaan di sektor fintech peer to peer (P2P) lending, meskipun dianggap dapat menggerakkan Usaha Mikro, Kecil, dan Menengah (UMKM). Beberapa perusahaan fintech P2P lending menyampaikan hal ini berdasarkan pengamatan tren pembiayaan selama periode pilkada sebelumnya. Direktur Marketing Maucash, Indra Suryawan, menjelaskan bahwa secara historis, permintaan modal kerja tidak mengalami peningkatan signifikan selama pilkada. Baca Juga: Menakar Dampak Pilkada 2024 Terhadap Pertumbuhan Ekonomi Indonesia ""Trennya cenderung sama dengan bulan-bulan sebelumnya, dan kalaupun naik, tidak naik secara signifikan,"" ujar Indra, Selasa (17/9). Hingga Agustus 2024, Maucash mencatat total pembiayaan produktif sekitar Rp 5,6 triliun. Meskipun tidak menyebut angka pasti, perusahaan ini menargetkan pertumbuhan 25% hingga akhir tahun, yang lebih tinggi dibandingkan target pada 2023. Untuk mencapai target tersebut, Maucash akan lebih aktif mempromosikan produk Maumodal di berbagai industri dan membuka kesempatan pendanaan bagi semua sektor yang layak secara kredit. Senada dengan Maucash, PT Akselerasi Usaha Indonesia (Akseleran), yang berfokus pada pembiayaan produktif, juga menyatakan bahwa pilkada belum memberikan dampak yang signifikan. Baca Juga: KPU Lakukan Rekrutmen Pantarlih untuk Pilkada Serentak Group CEO & Co-Founder Akseleran, Ivan Nikolas Tambunan, menegaskan bahwa penyaluran pinjaman perusahaan tetap stabil tanpa pengaruh dari pilkada. Sampai Agustus 2024, Akseleran telah menyalurkan hampir Rp 2 triliun, dengan 95% di antaranya merupakan pinjaman produktif modal kerja. Perusahaan menargetkan total penyaluran hingga Rp 3,4 triliun pada akhir tahun, dengan strategi penetrasi pasar melalui skema direct sales dan kemitraan dengan platform digital. Country Head Indonesia Modalku, Arthur Adisusanto, juga menyampaikan hal serupa. Menurutnya, penyaluran pendanaan Modalku tetap stabil menjelang pilkada serentak, dan perusahaan berharap mencatatkan pertumbuhan yang konsisten dibandingkan tahun sebelumnya. Hingga saat ini, Modalku telah menyalurkan pendanaan senilai Rp 63 triliun kepada lebih dari 5,1 juta transaksi UMKM di Indonesia, Singapura, Malaysia, Thailand, dan Vietnam. Baca Juga: Ekonom Nilai Sektor Ini Paling Untung di Pilkada Serentak 2024 Ke depan, Modalku akan fokus menargetkan sektor UMKM, termasuk perdagangan besar dan eceran, manufaktur, daur ulang, serta layanan makanan dan hiburan. Modalku juga memperluas jangkauan pendanaan proyek pemerintah melalui produk Modal Proyek, yang menyediakan pembiayaan tanpa agunan bagi perusahaan yang terlibat dalam e-catalogue dan LPSE (Layanan Pengadaan Secara Elektronik). Selain itu, Modalku terus berinovasi dan berkolaborasi untuk menyediakan solusi pendanaan yang lebih luas bagi UMKM, serta meningkatkan penetrasi pasar dan mengevaluasi peluang ekspansi cabang.     Cek Berita dan Artikel yang lain di Google News",keuangan
Adira Finance Beberkan Sejumlah Tantangan Terkait Pembiayaan Alat Berat,2024-09-24T15:57:10.094Z,"Selasa, 17 September 2024 / 18:48 WIB",Reporter: Ferry Saputra | Editor: Putri Werdiningsih,https:////keuangan.kontan.co.id/news/adira-finance-beberkan-sejumlah-tantangan-terkait-pembiayaan-alat-berat,,keuangan
BNI Finance Salurkan Pembiayaan Alat Berat Rp 72 Miliar hingga Agustus 2024,2024-09-24T15:57:10.340Z,"Selasa, 17 September 2024 / 18:19 WIB",Reporter: Ferry Saputra | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/bni-finance-salurkan-pembiayaan-alat-berat-rp-72-miliar-hingga-agustus-2024,"KONTAN.CO.ID - JAKARTA. PT BNI Multifinance (BNI Finance) mencatatkan kinerja positif terkait pembiayaan alat berat. Direktur Bisnis BNI Multifinance Albertus Hendi mengatakan perusahaan berhasil menyalurkan pembiayaan alat berat hingga Agustus 2024 sebesar Rp 72 miliar. ""Nilai itu tumbuh 38%, jika dibandingkan periode yang sama tahun lalu,"" ucapnya kepada Kontan, Selasa (17/9). Albertus menyebut pertumbuhan itu dikarenakan adanya dampak positif dari penambahan kantor cabang di Jawa Timur dan adanya penambahan team fleet. Baca Juga: Moncer, Kredit BNI Tembus Rp 727 Triliun di Semester I-2024 Lebih lanjut, Albertus tak memungkiri terdapat tantangan besar yang akan dihadapi BNI Finance ke depannya. Dia mengungkapkan kondisi bisnis saat ini masih terbilang menantang disebabkan harga alat berat yang terus naik sehubungan dengan kenaikan kurs, serta adanya harga komoditas yang melemah. Ditambah, muncul brand-brand baru buatan China yang harganya masih lebih murah dibanding brand dari Jepang atau Eropa. Albertus mengatakan saat ini kontraktor yang membutuhkan alat berat juga mulai beralih ke brand-brand non Jepang dan Eropa. ""Saat ini, perusahaan belum dapat membiayai alat berat produk non Jepang dan Eropa, sehingga masih fokus dengan brand-brand ternama,"" katanya. Baca Juga: BNI Finance Targetkan NIM Terjaga di Kisaran 4% hingga Akhir 2024 Meskipun demikian, Albertus meyakini pembiayaan alat berat diproyeksikan akan tetap bergairah ke depannya. Untuk mengantisipasi tantangan yang ada, dia mengatakan pihaknya akan mencari debitur-debitur dengan kinerja baik selama ini. Sementara itu, Albertus menyampaikan BNI Finance menargetkan pembiayaan alat berat sampai akhir tahun mencapai Rp 110 miliar. Untuk mencapai target itu, dia menerangkan salah satu strategi yang diterapkan, yakni memperkuat tim internal agar bisa menggarap bisnis alat berat dengan lebih optimal.     Cek Berita dan Artikel yang lain di Google News",keuangan
BFI Finance: Turunnya Harga Komoditas Jadi Tantangan Pembiayaan Alat Berat,2024-09-24T15:57:10.590Z,"Selasa, 17 September 2024 / 05:45 WIB",Reporter: Ferry Saputra | Editor: Herlina Kartika Dewi,https:////keuangan.kontan.co.id/news/bfi-finance-turunnya-harga-komoditas-jadi-tantangan-pembiayaan-alat-berat,"KONTAN.CO.ID - JAKARTA. PT BFI Finance Indonesia Tbk (BFI Finance) tak memungkiri ada tantangan yang harus dihadapi dalam menyalurkan pembiayaan alat berat pada semester II-2024 hingga akhir tahun ini. Deputy Business Director BFI Finance Rudy Eddywidjaja menyampaikan tantangan yang akan dihadapi masih sama seperti pada semester I-2024, yakni adanya faktor global, termasuk harga komoditas yang tertekan. ""Tantangan untuk semester II-2024 sebenarnya tetap sama. Kalau dilihat dari situasi saat ini, kami tahu harga komoditas mulai tertekan lagi. Banyak juga situasi lain di dunia ini yang memang challenging banget,"" ucapnya saat ditemui di JI-Expo Kemayoran, Jumat (13/9). Baca Juga: Tekan NPF Agar Tak Meningkat, BFI Finance Terapkan Sejumlah Upaya Ini Meskipun demikian, Rudy berharap tantangan tersebut bisa teratasi dengan penanganan yang optimal. Dia juga mempercayai dengan strategi yang diterapkan, perusahaan bisa mengatasi segala tantangan yang ada. Secara rinci, BFI Finance akan menerapkan strategi kehati-hatian dalam menyalurkan pembiayaan alat berat. Dia bilang pihaknya akan memprioritaskan penyaluran pembiayaan kepada nasabah yang memang sudah punya cara berbisnis yang lebih proper dan punya kestabilan dalam pertumbuhan bisnis mereka. ""Kami lebih mengarah ke sana. Kami percaya dengan strategi ke depannya dan kami optimistis semuanya akan berjalan dengan baik,"" katanya. Rudy juga optimistis pembiayaan alat berat perusahaan bisa terus menunjukkan pertumbuhan hingga akhir tahun ini, bahkan berharap mencapai dobel digit. Hal itu seiring dengan pangsa pasar yang terbilang masih potensial, ditandai dengan pembangunan di mana-mana. Baca Juga: BFI Finance (BFIN) Siap Perkuat Pembiayaan Alat Berat Sebagai informasi, BFI Finance mencatat porsi piutang pembiayaan dari segmen pembiayaan alat berat pada semester I-2024 mencapai 12,5%. Adapun nilai piutang pembiayaan dari sektor alat berat tersebut mencapai sekitar Rp 2,8 triliun atau tumbuh 10% secara YoY. Tercatat, piutang pembiayaan dikelola (managed receivables) BFI Finance senilai Rp 22,4 triliun pada semester I-2024.     Cek Berita dan Artikel yang lain di Google News",keuangan
"Porsi Piutang Pembiayaan Alat Berat BFI Finance Sebesar 12,5% pada Semester I-2024",2024-09-24T15:57:10.805Z,"Senin, 16 September 2024 / 20:39 WIB",Reporter: Ferry Saputra | Editor: Wahyu T.Rahmawati,https:////keuangan.kontan.co.id/news/porsi-piutang-pembiayaan-alat-berat-bfi-finance-sebesar-125-pada-semester-i-2024,"KONTAN.CO.ID - JAKARTA. PT BFI Finance Indonesia Tbk mencatat porsi piutang pembiayaan dari segmen pembiayaan alat berat mencapai 12,5% pada semester I-2024. Deputy Business Director BFI Finance Rudy Eddywidjaja menyebut nilai piutang pembiayaan dari sektor alat berat tersebut mencapai sekitar Rp 2,8 triliun. Adapun piutang pembiayaan dikelola (managed receivables) BFI Finance senilai Rp 22,4 triliun pada semester I-2024. ""Untuk pembiayaan alat berat, kami mencatat pertumbuhan lebih 10% pada semester I-2024,"" ucapnya saat ditemui di JI-Expo Kemayoran, Jumat (13/9). Rudy mengatakan, pihaknya optimistis hingga akhir tahun kondisi pasar untuk pembiayaan alat berat akan mengalami perbaikan, setelah tertekan pada semester I-2024. Baca Juga: Industri Pembiayaan Hadapi Peningkatan Kredit dan Risiko NPF ""Kami berharap setelah semester I-2024 hingga akhir tahun, kami bisa mencapai suatu kondisi yang lebih baik dan seharusnya bisa ditutup pada akhir tahun ini dengan positif,"" ujarnya. Terkait dengan pembiayaan alat berat yang tertekan pada semester I-2024, Rudy menganggap banyak faktor yang memengaruhi. Salah satunya dipicu juga harga komoditas, khususnya batubara. Rudy menjelaskan alat berat sangat bergantung kepada komoditas. Dia tak memungkiri harga komoditas batubara juga memengaruhi kinerja pembiayaan alat berat. ""Jadi, memang sangat terpengaruh sekali kemarin. Namun, kami optimistis bisa lebih membaik pada semester kedua,"" kata Rudy. Rudy menyebut, alat berat menjadi salah satu pembiayaan inti dari BFI Finance sejak pertama kali berdiri pada 1982. Oleh karena itu, dia menyebut pihaknya akan tetap fokus terhadap pembiayaan alat berat.     Cek Berita dan Artikel yang lain di Google News",keuangan
Industri Pembiayaan Hadapi Peningkatan Kredit dan Risiko NPF,2024-09-24T15:57:11.039Z,"Senin, 16 September 2024 / 20:36 WIB",Reporter: Aulia Ivanka Rahmana | Editor: Yudho Winarto,https:////keuangan.kontan.co.id/news/industri-pembiayaan-hadapi-peningkatan-kredit-dan-risiko-npf,"KONTAN.CO.ID – JAKARTA. Industri pembiayaan atau multifinance saat ini dihadapkan pada dua tantangan besar. Menurunnya daya beli kelas menengah mendorong peningkatan kredit karena konsumen yang biasanya membeli dengan tunai kini memilih menggunakan fasilitas kredit. Namun, potensi peningkatan Non Performing Finance (NPF) juga menjadi kekhawatiran, seiring dengan ketidakpastian ekonomi pasca perubahan kebijakan pemerintah. Baca Juga: NPF Gross Paylater Perusahaan Pembiayaan Membaik per Juli 2024 Menurut data Otoritas Jasa Keuangan (OJK), NPF gross industri multifinance naik menjadi 2,75% pada Juli 2024, dibandingkan 2,69% pada Juli 2023. Sementara itu, NPF nett juga meningkat menjadi 0,84% dari 0,73% pada periode yang sama tahun lalu. Corporate Communication Head PT BFI Finance Indonesia Tbk (BFIN) Dian Ariffahmi mengatakan, perusahaan melakukan berbagai strategi untuk menghadapi kondisi ekonomi yang dinamis. Salah satunya dengan selektif menyalurkan pembiayaan dan melakukan diversifikasi produk guna menjaga kualitas portofolio kredit. ""Profil risiko BFI Finance terkendali, dengan tingkat NPF bruto sebesar 1,47% dan neto 0,29% pada Juni 2024, lebih rendah dibandingkan tahun lalu,” jelas Dian, Jumat (13/9). Baca Juga: OJK Tengah Memfinalisasi Penyusunan RPOJK Lembaga Pembiayaan Direktur Keuangan PT Wahana Ottomitra Multiartha Tbk (WOMF) atau WOM Finance Cincin Lisa juga menyampaikan bahwa perusahaan melakukan pengelolaan piutang yang efektif dan meningkatkan layanan konsumen untuk menghadapi tantangan ini. “Fleksibilitas dan inovasi menjadi kunci dalam menghadapi tantangan penurunan daya beli,” ujar Cincin. Hingga Juli 2024, WOM Finance berhasil menjaga NPF di level 2,1%. Presiden Direktur PT CIMB Niaga Auto Finance (CNAF), Ristiawan Suherman, menekankan pentingnya sistem penilaian risiko berbasis skoring untuk menjaga kualitas nasabah. “Kami menerapkan risk-based pricing, yaitu penentuan suku bunga berdasarkan tingkat risiko nasabah, dan aktif mengingatkan nasabah melalui berbagai saluran untuk melakukan pembayaran angsuran,” ungkap Ristiawan. Baca Juga: OJK Sebut Industri Multifinance Positif Antisipasi Dampak Perubahan Pemerintahan Baru CNAF berhasil menurunkan NPF menjadi 1,22% hingga Agustus 2024, dan optimistis bisa menutup tahun ini dengan NPF di bawah 1%. Otoritas Jasa Keuangan (OJK) saat ini juga sedang memfinalisasi aturan terkait penggunaan teknologi di perusahaan pembiayaan, termasuk digitalisasi, keamanan, dan perlindungan data pribadi.     Cek Berita dan Artikel yang lain di Google News",keuangan
