Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Realisasi Pembiayaan Utang Turun Jadi Rp 345 Triliun, Ini Kata Sri Mulyani",2024-09-24T16:02:14.356Z,"Minggu, 17 Desember 2023 / 08:20 WIB",Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/realisasi-pembiayaan-utang-turun-jadi-rp-345-triliun-ini-kata-sri-mulyani,"KONTAN.CO.ID – JAKARTA. Kementerian Keuangan melaporkan, realisasi pembiayaan melalui penerbitan utang sudah mencapai Rp 345 triliun hingga 12 Desember 2023. Realisasi ini sudah mencapai 81,9% dari pagu yang ada dalam Perpres 75/2023 yang sebesar 421,2 triliun. Menteri Keuangan Sri Mulyani Indrawati mencatat, realisasi pembiayaan utang ini juga menurun 36,6% jika dibandingkan realisasi periode sama tahun lalu yang sebesar Rp 544,4 triliun. “Pembiayaan utang ini dibandingkan tahun lalu ini penurunan yang sangat tajam,” tutur Sri Mulyani dalam konferensi pers APBN KITA, Jumat (15/12). Untuk diketahui, menurutnya realisasi pembiayaan utang ini sejalan dengan upaya pemerintah menurunkan penerbitan utang. Dalam Perpres 75/2023, pemerintah menurunkan target pembiayaan utang dari Rp 696,3 triliun dalam APBN 2023, menjadi Rp 421,2 triliun. Baca Juga: Defisit APBN 2023 Melebar, Begini Penjelasan Sri Mulyani Penurunan pembiayaan utang ini secara keseluruhan ada pada penerbitan Surat Berharga Negara (SBN) neto yakni dari Rp 712,9 dalam APBN 2023, menjadi Rp 437,8 triliun dalam Perpres 75/2023. Sementara itu, target pinjaman neto tetap sama yakni Rp 16,6 triliun. Sri Mulyani merinci, realisasi penerbitan SBN sudah mencapai Rp 298,6 triliun atau mencapai 68,2% dari Perpres 75/2023. Sementara itu, realisasi pinjaman sudah melebihi target yakni Rp 46,4 triliun atau 279,2% dari pagu Rp 16,6 triliun. Bendahara keuangan negara ini menyampaikan, penurunan penerbitan SBN ini menggambarkan beberapa hal. Di antaranya, kondisi APBN dalam keadaan sehat lantaran defisit APBN jauh lebih rendah dari rancangan awal atau tahun lalu. “Tren dari defisit yang menurun, konsolidasi fiskal  itu tetap terjaga dan kuat. Ini karena penerimaan negara yang kuat dan belanja tetap terjaga dengan baik,” jelasnya. Faktor lain, pengelolaan pembiayaan yang menurun dari target ini, karena pemerintah menggunakan sebagian Saldo Anggaran Lebih (SAL) sebagai langkah antisipasi volatilitas pasar keuangan di 2023. Penurunan pembiayaan melalui SBN ini juga lanjutnya,  sangat penting sebab tahun ini kondisi inflasi dan suku bunga global masih sangat tinggi. Baca Juga: Utang Luar Negeri Indonesia Turun pada Oktober 2023, Ini Penyebabnya “Ini adalah strategi yang tepat dan ampuh dalam menghadapi dunia, yang mana suku bunga naik drastis, ekstrim. Kita bisa melindungi APBN dan melindungi keseluruhan postur kita karena sudah menggunakan SAL dan defisitnya mengalami penurunan yang sangat tajam,” tambahnya. Untuk diketahui, hingga 12 Desember 2023, APBN mencatatkan defisit sebesar Rp 35 triliun, atau setara 0,17% terhadap Produk Domestik Bruto (PDB). Sri Mulyani mengatakan, nilai tersebut masih jauh lebih rendah dibandingkan target pemerintah sebesar 2,84% terhadap PDB. Defisit tersebut juga lebih rendah dari target yang tertuang dalam Perpres 75/2023 sebesar 2,27% terhadap PDB. Cek Berita dan Artikel yang lain di Google News",nasional
"Pembiayaan Utang Turun Tajam 58,6%, Menjadi Rp 198,9 Triliun",2024-09-24T16:02:14.543Z,"Rabu, 25 Oktober 2023 / 19:44 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pembiayaan-utang-turun-tajam-586-menjadi-rp-1989-triliun,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan melaporkan, realisasi pembiayaan utang pemerintah hingga September 2023 mencapai Rp 198,9 triliun. Realisasi tersebut turun 58,6% jika dibandingkan dengan periode yang sama pada tahun lalu. Menteri Keuangan Sri Mulyani Indrawati menyampaikan, turunnya realisasi pembiayaan utang ini sejalan dengan target pemerintah yang akan mengurangi pembiayaan utang khususnya dalam menerbitkan surat berharga negara (SBN). Penerbitan SBN ditargetkan hanya akan sebesar Rp 349,1 triliun, atau hanya 50,9% saja dari target Rp 712,9 triliun. “Realisasinya sebetulnya masih sangat kecil. Ini artinya baru merealisasi 28,6% dari alokasi pembiayaan utang yang ada dalam UU APBN,” tutur Sri Mulyani dalam konferensi pers APBN KITA, Rabu (25/10). Baca Juga: Beban Bunga Utang Berpotensi Membengkak, Ini Penyebabnya Bendahara negara ini menjelaskan, menjelaskan penambahan utang tersebut mayoritas berupa surat berharga negara (SBN) neto. Realisasinya hingga September 2023 mencapai Rp 181,4 triliun, turun 61,5% dibandingkan September 2022. Sementara itu, realisasi pembiayaan dalam bentuk pinjaman neto sudah sebesar Rp 16,6 triliun, meningkat 83,1% dari tahun lalu. Lebih lanjut, Sri Mulyani mengatakan lebih rendahnya outlook pembiayaan utang sebenarnya berkaitan dengan target defisit APBN tahun ini. Pemerintah memperkirakan outlook defisit APBN pada 2023 akan mencapai 2,3%, lebih rendah dari perkiraan awal 2,84%. Perkiraan yang lebih rendah ini dikarenakan penerimaan pajak dan penerimaan negara bukan pajak (PNBP) yang lebih tinggi. Dia mengatakan defisit APBN hingga akhir tahun akan diupayakan lebih rendah dari 2,3%. Maka dari itu, penyediaan surat utang pemerintah akan dijaga agar dinamikaa yang cenderung meningkat di pasar keuangan dan pasar surat berharga saat ini dapat dikelola dengan baik. Cek Berita dan Artikel yang lain di Google News",nasional
"Pembiayaan Utang Turun 40,4% Menjadi Rp 198 Triliun Per Agustus 2023",2024-09-24T16:02:14.651Z,"Sabtu, 23 September 2023 / 06:10 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pembiayaan-utang-turun-404-menjadi-rp-198-triliun-per-agustus-2023,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan mencatat, realisasi pembiayaan utang hingga Agustus 2023 baru mencapai Rp 198 triliun. Menteri Keungan Sri Mulyani Indrawati menjelaskan, realisasi pembiayaan utang tersebut turun 40,4% jika dibandingkan dengan Agustus 2022 lalu. “Karena penerimaan kita masih cukup baik meskipun tren growth-nya melemah namun belanja tetap sesuai dengan yang ditargetkan, pembiayaan anggaran turun 40,4% sampai Agustus. Ini turun tajam jika dibandingkan tahun lalu,” tutur Sri Mulyani dalam konferensi pers APBN KITA, Rabu (20/9). Bendahara negara ini menjelaskan, menjelaskan penambahan utang tersebut mayoritas berupa surat berharga negara (SBN) neto. Baca Juga:  Didorong Faktor Eksternal, Penawaran Masuk Lelang SUN Capai Rp 28,79 Triliun Realisasinya hingga Agustus 2023 mencapai Rp 183 triliun, turun 42,3% dibandingkan Agustus 2022. Sementara itu, realisasi pembiayaan dalam bentuk pinjaman neto sudah sebesar Rp 15 triliun, lebih rendah 2,3% dibandingkan Agustus 2022. “Jadi, kalau dilihat secara below the line pembiayaan ini, APBN telah terus meningkatkan kekuatan, kemandirian, dan kesehatannya. Sehingga pada saat dunia mengalami perubahan yang cepat dengan inflasi yang mendadak tinggi dan suku bunga yang naik drastis, APBN dan instrument kita relatif terjaga dan terlindungi,” jelasnya. Dia menambahkan, jika APBN bisa terjaga dengan baik, maka APBN bisa menjaga masyarakat dan menjaga perekonomian. APBN yang kuat juga bisa menjalankan tugas untuk stabilisasi, mendorong alokasi efisiensi dan juga memperbaiki distribusi. Lebih lanjut, pembiayaan melalui utang dinilai masih on track dan antisipatif, serta bisa dikelola secara terukur dengan mempertimbangkan dinamika atas kondisi pasar keuangan global. Cek Berita dan Artikel yang lain di Google News",nasional
"Realisasi Pembiayaan Utang Turun 40,4%, Menjadi Rp 198 Triliun Per Agustus 2023",2024-09-24T16:02:14.801Z,"Jumat, 22 September 2023 / 11:55 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/realisasi-pembiayaan-utang-turun-404-menjadi-rp-198-triliun-per-agustus-2023,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan mencatat, realisasi pembiayaan utang hingga Agustus 2023 baru mencapai Rp 198 triliun. Menteri Keungan Sri Mulyani Indrawati menjelaskan, realisasi pembiayaan utang tersebut turun 40,4% jika dibandingkan dengan Agustus 2022 lalu. “Karena penerimaan kita masih cukup baik meskipun tren growth-nya melemah namun belanja tetap sesuai dengan yang ditargetkan, pembiayaan anggaran turun 40,4% sampai Agustus. Ini turun tajam jika dibandingkan tahun lalu,” tutur Sri Mulyani dalam konferensi pers APBN KITA, Rabu (20/9). Bendahara negara ini menjelaskan, menjelaskan penambahan utang tersebut mayoritas berupa surat berharga negara (SBN) neto. Baca Juga:  Didorong Faktor Eksternal, Penawaran Masuk Lelang SUN Capai Rp 28,79 Triliun Realisasinya hingga Agustus 2023 mencapai Rp 183 triliun, turun 42,3% dibandingkan Agustus 2022. Sementara itu, realisasi pembiayaan dalam bentuk pinjaman neto sudah sebesar Rp 15 triliun, lebih rendah 2,3% dibandingkan Agustus 2022. “Jadi, kalau dilihat secara below the line pembiayaan ini, APBN telah terus meningkatkan kekuatan, kemandirian, dan kesehatannya. Sehingga pada saat dunia mengalami perubahan yang cepat dengan inflasi yang mendadak tinggi dan suku bunga yang naik drastis, APBN dan instrument kita relatif terjaga dan terlindungi,” jelasnya. Dia menambahkan, jika APBN bisa terjaga dengan baik, maka APBN bisa menjaga masyarakat dan menjaga perekonomian. APBN yang kuat juga bisa menjalankan tugas untuk stabilisasi, mendorong alokasi efisiensi dan juga memperbaiki distribusi. Lebih lanjut, pembiayaan melalui utang dinilai masih on track dan antisipatif, serta bisa dikelola secara terukur dengan mempertimbangkan dinamika atas kondisi pasar keuangan global. Cek Berita dan Artikel yang lain di Google News",nasional
"Turun 15,4%, Realisasi Pembiayaan Utang Pada Semester I-2023 Capai Rp 166,5 Triliun",2024-09-24T16:02:15.040Z,"Kamis, 13 Juli 2023 / 08:39 WIB",Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari,https:////newssetup.kontan.co.id/news/turun-154-realisasi-pembiayaan-utang-pada-semester-i-2023-capai-rp-1665-triliun,"KONTAN.CO.ID - JAKARTA. Realisasi pembiayaan utang hingga semester I-2023 mencapai Rp 166,5 triliun. Kementerian Keuangan mencatata, realisasi tersebut turun 15,4% jika dibandingkan dengan periode yang sama pada tahun lalu atawa year-on-year (YoY). Menteri Keuangan Sri Mulyani Indrawati mengatakan, menurutnya pembiayaan utang ini lantaran pemerintah tidak banyak menerbitkan surat berharga negara (SBN). “Semester I pembiayaan utang mengalami penurunan 15,4%, atau dalam hal ini kita melakukan penerbitan hanya Rp 157,9 triliun untuk SBN neto,” jelasnya saat melakukan rapat kerja bersama Banggar DPR, Senin (10/7). Adapun Dia memerinci, hingga periode tersebut realisasi penerbitan SBN mencapai Rp 157,9 trilun, atau mengalami penurunan sebesar 13,6% yoy. Realisasi ini juga telah mencapai 56,49% dari outlook penerbitan SBN yang sebesar Rp 362,9 triliun. Menurut Sri Mulyani, menurunnya penerbitan SBN ditopang oleh defisit tahun ini yang lebih rendah dari perkiraan dan keseimbangan primer. Baca Juga: Bangun Infrastruktur Jalan, Gedung dan Irigasi, Pemerintah Kucurkan Rp 8,3 Triliun Kemudian, pembiayaan utang yang berasal dari pinjaman realisasinya telah mencapai Rp 8,6 triliun, menurun 39,5% yoy. Realisasi ini juga telah mencapai 80,18%, dari outlook pinjaman yang meningkat menjadi Rp 43,4 triliun. Sri Mulyani menyampaikan bahwa realisasi pembiayaan utang semester I yang turun tersebut sejalan dengan strategi backloading untuk menjaga efisiensi biaya utang. Sebagai gambaran, APBN hingga semester I 2023 mencatatkan surplus sebesar Rp152,3 triliun atau setara dengan 0,71% dari PDB. Sementara keseimbangan primer tercatat sebesar Rp 368,2 triliun, naik dari realisasi semester I tahun lalu sebesar Rp 279,0 triliun. Menurutnya keseimbangan primer tersebut menunjukkan performa terbaik dalam 4 tahun terakhir. “Jadi, ini menggambarkan APBN konsolidasi dan kesehatannya mengalami tren yang sangat baik,” kata Sri Mulyani. Sri Mulyani mengatakan, pembiayaan utang tahun ini dilakukan dengan mempertimbangkan kondisi kas dan volatilitas pasar keuangan, Kementerian Keuangan menyusun strategi terkait penerbitan SBN. Strategi tersebut mencakup empat poin utama, yakni penyesuaian target lelang SBN, pergeseran penerbitan global bonds, pengoptimalan penerbitan SBN ritel, dan fleksibilitas pinjaman program. Baca Juga: Target Pertumbuhan Ekonomi 5,3% di 2023 Dinilai Terlalu Optimistis Selain itu, pemerintah juga senantiasa mengupayakan kombinasi sumber pembiayaan. Hal itu bertujuan untuk memenuhi target pembiayaan anggaran yang efisien dengan tetap mempertimbangkan risiko. Lebih lanjut, bendahara keuangan negara itu optimistis pembiayaan utang pada 2023 bisa lebih rendah Rp 289,9 triliun dari target APBN yang sebesar Rp 696,3 triliun. Dengan demikian, pembiayaan utang diproyeksi berada di kisaran Rp 406,4 triliun atau 23,9% terhadap Produk Domestik Bruto (PDB). Nilai tersebut turun 41,61% dari realisasi tahun 2022 yang tercatat sebesar Rp 696,0 triliun. Cek Berita dan Artikel yang lain di Google News",newssetup
"Realisasi Pembiayaan Utang Turun 15,4% Pada Semester I-2023",2024-09-24T16:02:15.188Z,"Rabu, 12 Juli 2023 / 14:37 WIB",Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/realisasi-pembiayaan-utang-turun-154-pada-semester-i-2023,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan mencatat realisasi pembiayaan utang hingga semester I 2023 mencapai Rp 166,5 triliun. Realisasi tersebut turun 15,4% jika dibandingkan dengan periode yang sama pada tahun lalu atawa year-on-year (YoY). Menteri Keuangan Sri Mulyani Indrawati mengatakan, menurutnya pembiayaan utang ini lantaran pemerintah tidak banyak menerbitkan surat berharga negara (SBN). “Semester I pembiayaan utang mengalami penurunan 15,4%, atau dalam hal ini kita melakukan penerbitan hanya Rp 157,9 triliun untuk SBN neto,” jelasnya saat melakukan rapat kerja bersama Banggar DPR, Senin (10/7). Adapun Dia memerinci, hingga periode tersebut realisasi penerbitan SBN mencapai Rp 157,9 trilun, atau mengalami penurunan sebesar 13,6% yoy. Realisasi ini juga telah mencapai 56,49% dari outlook penerbitan SBN yang sebesar Rp 362,9 triliun. Menurut Sri Mulyani, menurunnya penerbitan SBN ditopang oleh defisit tahun ini yang lebih rendah dari perkiraan dan keseimbangan primer. Baca Juga: Bangun Infrastruktur Jalan, Gedung dan Irigasi, Pemerintah Kucurkan Rp 8,3 Triliun Kemudian, pembiayaan utang yang berasal dari pinjaman realisasinya telah mencapai Rp 8,6 triliun, menurun 39,5% yoy. Realisasi ini juga telah mencapai 80,18%, dari outlook pinjaman yang meningkat menjadi Rp 43,4 triliun. Sri Mulyani menyampaikan bahwa realisasi pembiayaan utang semester I yang turun tersebut sejalan dengan strategi backloading untuk menjaga efisiensi biaya utang. Sebagai gambaran, APBN hingga semester I 2023 mencatatkan surplus sebesar Rp152,3 triliun atau setara dengan 0,71% dari PDB. Sementara keseimbangan primer tercatat sebesar Rp 368,2 triliun, naik dari realisasi semester I tahun lalu sebesar Rp 279,0 triliun. Menurutnya keseimbangan primer tersebut menunjukkan performa terbaik dalam 4 tahun terakhir. “Jadi, ini menggambarkan APBN konsolidasi dan kesehatannya mengalami tren yang sangat baik,” kata Sri Mulyani. Sri Mulyani mengatakan, pembiayaan utang tahun ini dilakukan dengan mempertimbangkan kondisi kas dan volatilitas pasar keuangan, Kementerian Keuangan menyusun strategi terkait penerbitan SBN. Strategi tersebut mencakup empat poin utama, yakni penyesuaian target lelang SBN, pergeseran penerbitan global bonds, pengoptimalan penerbitan SBN ritel, dan fleksibilitas pinjaman program. Baca Juga: Target Pertumbuhan Ekonomi 5,3% di 2023 Dinilai Terlalu Optimistis Selain itu, pemerintah juga senantiasa mengupayakan kombinasi sumber pembiayaan. Hal itu bertujuan untuk memenuhi target pembiayaan anggaran yang efisien dengan tetap mempertimbangkan risiko. Lebih lanjut, bendahara keuangan negara itu optimistis pembiayaan utang pada 2023 bisa lebih rendah Rp 289,9 triliun dari target APBN yang sebesar Rp 696,3 triliun. Dengan demikian, pembiayaan utang diproyeksi berada di kisaran Rp 406,4 triliun atau 23,9% terhadap Produk Domestik Bruto (PDB). Nilai tersebut turun 41,61% dari realisasi tahun 2022 yang tercatat sebesar Rp 696,0 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
"Kurangi Pembiayaan Utang, Pemerintah Bakal Turunkan Porsi Penerbitan SBN Tahun Ini",2024-09-24T16:02:15.384Z,"Selasa, 11 Juli 2023 / 06:45 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////newssetup.kontan.co.id/news/kurangi-pembiayaan-utang-pemerintah-bakal-turunkan-porsi-penerbitan-sbn-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengurangi penerbitan Surat Berharga Negara (SBN) tahun ini sebesar Rp 349,1 triliun. Alhasil realisasi penerbitan SBN hingga akhir tahun hanya akan mencapai Rp 362,9 triliun, 50,9% dari target sebesar Rp 712,9 triliun. Menteri Keuangan Sri Mulyani Indrawati mengatakan, penurunan penerbitan utang ini sejalan dengan upaya pemerintah untuk mengurangi pembiayaan utang. “Penurunan pembiayaan anggaran ini akan dilakukan dengan mengurangi penerbitan SBN sebesar Rp 350 triliun. Sehingga penerbitan SBN yang akan dilakukan pemerintah hingga akhir tahun hanya akan sebesar Rp 362,9 triliun atau hanya 50,9% dari target,” tutur Sri Mulyani dalam rapat kerja bersama Banggar DPR RI, Senin (10/7). Baca Juga: Harga SUN Benchmark Rekor, Kenaikan Harga Diprediksi Masih Berlanjut Dengan pengurangan penerbitan SBN tersebut, maka realisasi pembiayaan utang tahun ini hanya akan mencapai Rp 406,4 triliun atau 58,4% dari target dalam APBN yang sebesar Rp 696,3 triliun. Sementara itu, realisasi pembiayaan lainnya diperkirakan melonjak tajam menjadi Rp 229,7 triliun, meningkat 34.330,9% dari target yang sebesar Rp 700 miliar. Sehingga, outlook pembiayaan anggaran  di akhir tahun akan mencapai Rp 486,4 triliun, turun 17,7% atau 81,3% dari target APBN. Total realisasi pembiayaan anggaran ini dengan memperhitungkan penerbitan SBN lebih rendah Rp 350 triliun dari target APBN. Kemudian, tambahan penggunaan Saldo Anggaran Lebih (SAL) Rp 156,9 triliun, untuk penurunan pembiayaan utang Rp 100,9 triliun dan kebutuhan pembayaran kewajiban pemerintah Rp 56 triliun untuk pembayaran kewajiban pemerintah yakni untuk membayar kurang Bayar DBH, subsidi pupuk dan kompensasi energi. Cek Berita dan Artikel yang lain di Google News",newssetup
Kemenkeu Beberkan Alasan Pembiayaan Utang Tahun Ini Dikurangi,2024-09-24T16:02:15.667Z,"Jumat, 07 Juli 2023 / 02:51 WIB",Reporter: Siti Masitoh | Editor: Handoyo .,https:////newssetup.kontan.co.id/news/kemenkeu-beberkan-alasan-pembiayaan-utang-tahun-ini-dikurangi,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengurangi porsi pembiayaan utang tahun ini sebesar Rp Rp 289,9 triliun, atau menurun 41,6% dari target yang sebesar Rp 696,3 triliun. Menurunnya pembiayaan utang tersebut sejalan dengan defisit APBN tahun ini yang bisa ditekan hingga 2,28% terhadap Produk Domestik Bruto (PDB), dari target awal yang sebesar 2,84% terhadap PDB. Untuk diketahui, selama ini pembiayaan utang pemerintah berasal dari dua sumber, yakni penerbitan surat berharga negara (SBN) dan pinjaman luar negeri dari Lembaga asing. Baca Juga: Tahun Ini, Pemerintah Kurangi Penerbitan Utang Hampir Rp 300 Triliun Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto mengatakan, rencana pengurangan porsi utang tersebut sejalan dengan kinerja APBN tahun ini yang membaik. Hal tersebut didukung pendapatan negara yang baik dan optimalnya belanja negara melalui konsistensi penerapan spending better. “Serta mendorong potensi penurunan defisit APBN, dan konsekuensinya penurunan target pembiayaan APBN melalui utang,” tutur Suminto kepada Kontan.co.id, Rabu (5/7). Dia mengatakan, dalam pemenuhan target pembiayaan utang, Pemerintah mengutamakan sumber pembiayaan dengan biaya dan risiko yang terkendali. “Portofolio utang sampai dengan saat ini masih terjaga baik. Utang dalam mata uang rupiah sebesar 72%, sehingga mengurangi risiko nilai tukar,” jelasnya. Ekonom Bank Danamon Irman Faiz menilai, sebaiknya pemerintah mengutamakan mengurangi porsi  pinjaman luar negeri ketimbang penerbitan SBN. Baca Juga: Ekonom Sarankan Pemerintah Kurangi Porsi Penerbitan Surat Utang Negara Tahun Ini “Karena memang pinjaman luar negeri biayanya lebih mahal dan bunganya lari keluar. Berbeda dengan SBN rupiah yang mayoritas dananya dari domestik sehingga pembayaran kupon atau bunganya pun untuk domestik lagi,” ujarnya. Meski begitu, karena mayoritas pembiayaan utang berasal dari penerbitan SBN, Faiz menilai pengurangan porsi penerbitan SBN akan jauh lebih besar ketimbang pinjaman luar negeri. Cek Berita dan Artikel yang lain di Google News",newssetup
"Pembiayaan Utang Tahun Ini Dikurangi, Kemenkeu Beberkan Alasannya",2024-09-24T16:02:16.037Z,"Kamis, 06 Juli 2023 / 10:17 WIB",Reporter: Siti Masitoh | Editor: Handoyo .,https:////nasional.kontan.co.id/news/pembiayaan-utang-tahun-ini-dikurangi-kemenkeu-beberkan-alasannya,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengurangi porsi pembiayaan utang tahun ini sebesar Rp Rp 289,9 triliun, atau menurun 41,6% dari target yang sebesar Rp 696,3 triliun. Menurunnya pembiayaan utang tersebut sejalan dengan defisit APBN tahun ini yang bisa ditekan hingga 2,28% terhadap Produk Domestik Bruto (PDB), dari target awal yang sebesar 2,84% terhadap PDB. Untuk diketahui, selama ini pembiayaan utang pemerintah berasal dari dua sumber, yakni penerbitan surat berharga negara (SBN) dan pinjaman luar negeri dari Lembaga asing. Baca Juga: Tahun Ini, Pemerintah Kurangi Penerbitan Utang Hampir Rp 300 Triliun Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto mengatakan, rencana pengurangan porsi utang tersebut sejalan dengan kinerja APBN tahun ini yang membaik. Hal tersebut didukung pendapatan negara yang baik dan optimalnya belanja negara melalui konsistensi penerapan spending better. “Serta mendorong potensi penurunan defisit APBN, dan konsekuensinya penurunan target pembiayaan APBN melalui utang,” tutur Suminto kepada Kontan.co.id, Rabu (5/7). Dia mengatakan, dalam pemenuhan target pembiayaan utang, Pemerintah mengutamakan sumber pembiayaan dengan biaya dan risiko yang terkendali. “Portofolio utang sampai dengan saat ini masih terjaga baik. Utang dalam mata uang rupiah sebesar 72%, sehingga mengurangi risiko nilai tukar,” jelasnya. Ekonom Bank Danamon Irman Faiz menilai, sebaiknya pemerintah mengutamakan mengurangi porsi  pinjaman luar negeri ketimbang penerbitan SBN. Baca Juga: Ekonom Sarankan Pemerintah Kurangi Porsi Penerbitan Surat Utang Negara Tahun Ini “Karena memang pinjaman luar negeri biayanya lebih mahal dan bunganya lari keluar. Berbeda dengan SBN rupiah yang mayoritas dananya dari domestik sehingga pembayaran kupon atau bunganya pun untuk domestik lagi,” ujarnya. Meski begitu, karena mayoritas pembiayaan utang berasal dari penerbitan SBN, Faiz menilai pengurangan porsi penerbitan SBN akan jauh lebih besar ketimbang pinjaman luar negeri. Cek Berita dan Artikel yang lain di Google News",nasional
Membidik Pembiayaan Utang Lebih Murah,2024-09-24T16:02:16.400Z,,Premium User Only,https:////insight.kontan.co.id/news/membidik-pembiayaan-utang-lebih-murah,Premium Content - Not Scraped,insight
