Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Jaga Risiko Nilai Tukar, Pemerintah Berupaya Tekan Porsi Penerbitan SBN Valas",2024-09-24T16:10:45.316Z,"Jumat, 19 Januari 2024 / 19:08 WIB",Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/jaga-risiko-nilai-tukar-pemerintah-berupaya-tekan-porsi-penerbitan-sbn-valas,"KONTAN.CO.ID – JAKARTA. Penerbitan surat berharga negara (SBN) dalam denominasi valuta asing (valas), akan kembali dilanjutkan pemerintah pada tahun ini. Namun pemerintah juga tetap berupaya menekan porsi penerbitan SBN valas. Penerbitan SBN valas, merupakan salah satu strategi pemerintah untuk membiayai defisit anggaran. Dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2024, pemerintah berencana menerbitkan SBN secara total sebesar Rp 666,4 triliun, guna membiayai defisit anggaran yang ditargetkan sebesar Rp 522,8 triliun, setara 2,29% terhadap produk domestik bruto (PDB). Pemerintah memang masih enggan memerinci, porsi penerbitan SBN valas pada tahun ini. Namun, Kementerian Keuangan (Kemenkeu) berupaya menekan porsi utang valas secara keseluruhan. Selama ini, total utang pemerintah dalam denominasi valas terus menurun. Direktur Jenderal (Dirjen) Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto menjelaskan, per 31 Desember 2023, porsi utang pemerintah dalam valas mencapai 28,27%, turun dibanding tren lima tahun terakhir. Baca Juga: Pasar SBN Tahan Banting di Tengah Goyahnya Skenario Dovish The Fed Ia memerinci, porsi utang valas pemerintah pernah mencapai 40,97% pada tahun 2019. Lalu, turun menjadi 33,57% pada tahun 2020, 30,05% pada tahun 2021, dan 29,61% pada tahun 2022. Artinya lanjut Suminto, risiko portofolio utang pemerintah terkendali dan membaik. Di samping itu, turunnya penerbitan SBN juga guna menjaga risiko nilai tukar. ""Turunnya porsi utang valas ini menunjukkan kapasitas pasar domestik meningkat, di antaranya berkat literasi dan inklusi keuangan yang baik,"" kata Suminto kepada Kontan, Jumat (19/1). Adapun Jika dilihat secara keseluruhan total utang pemerintah yang mencapai Rp 8.144,69 triliun, porsi penerbitan SBN valas hanya mencapai 16,85% atau mencapai Rp 1.372,58 triliun. Porsi paling besar didominasi penerbitan SBN domestik mencapai 71,31% atau Rp 5.808,13 triliun, dan pinjaman mencapai 11,84% atau Rp 963,98 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
Ini Keuntungan Penerbitan SBN 2023 Dipangkas,2024-09-24T16:10:45.485Z,"Rabu, 15 November 2023 / 08:20 WIB",Reporter: Bidara Pink | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/ini-keuntungan-penerbitan-sbn-2023-dipangkas,"KONTAN.CO.ID - JAKARTA. Pemerintah memangkas target penerbitan surat berharga negara (SBN) pada tahun 2023 dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2023. Revisi target penerbitan SBN pada tahun ini tertuang dalam Peraturan Presiden (Perpres) No. 75 Tahun 2023, sebagai revisi dari Perpres No. 130 Tahun 2023 tentang perincian APBN 2023. Dalam beleid yang diteken Presiden RI Joko Widodo tersebut, pemerintah mematok target penerbitan SBN pada tahun 2023 menjadi Rp 437,83 triliun. Sebelumnya, pemerintah menargetkan penerbitan SBN pada tahun 2023 akan mencapai Rp 712,9 triliun. Baca Juga: Hore! Kuota Pemesanan ST011 Ditambah Jadi Rp 10 Triliun Kepala Ekonom Bank Central Asia (BCA) David Sumual menilai, penerbitan SBN yang akan lebih rendah dari perkiraan semula akan meringankan beban bunga utang dari penerbitan obligasi. ""Tentu akan meringankan. Mengingat, ketidakpastian global masih tinggi,"" terang David kepada Kontan.co.id, Senin (13/11). Namun, David mengapresiasi pendapatan negara yang jauh melebihi ekspektasi. Ini seiring dengan pemulihan ekonomi dan kenaikan harga komoditas pada awal tahun 2023. Inilah yang kemudian menjadi salah satu alasan bahwa pemerintah bisa menekan penarikan utang termasuk penerbitan obligasi. Baca Juga: Penawaran Capai Rp 33,7 Triliun, Pemerintah Serap Rp 19 Triliun pada Lelang SUN Cek Berita dan Artikel yang lain di Google News",nasional
Ekonom Menilai Positif Penurunan Target Penerbitan SBN 2023,2024-09-24T16:10:45.620Z,"Selasa, 14 November 2023 / 21:03 WIB",Reporter: Bidara Pink | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/ekonom-menilai-positif-penurunan-target-penerbitan-sbn-2023,"KONTAN.CO.ID - JAKARTA. Pemerintah memangkas target penerbitan surat berharga negara (SBN) pada tahun 2023 dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2023. Revisi target penerbitan SBN pada tahun ini tertuang dalam Peraturan Presiden (Perpres) No. 75 Tahun 2023, sebagai revisi dari Perpres No. 130 Tahun 2023 tentang perincian APBN 2023. Dalam beleid yang diteken Presiden RI Joko Widodo tersebut, pemerintah mematok target penerbitan SBN pada tahun 2023 menjadi Rp 437,83 triliun. Sebelumnya, pemerintah menargetkan penerbitan SBN pada tahun 2023 akan mencapai Rp 712,9 triliun. Baca Juga: Tekan Target Penerbitan SBN 2023, Beban Bunga Utang Bisa Lebih Rendah Ekonom Makroekonomi dan Pasar Keuangan LPEM FEB UI Teuku Riefky mengungkapkan, penurunan penerbitan SBN salah satunya didorong oleh ketidakpastian global yang sangat tinggi. Termasuk, rezim suku bunga tinggi, yang akan mendorong pembengkakan biaya. ""Memang saat era suku bunga tinggi, ongkos bagi pemerintah dalam menerbitkan SBN akan sangat tinggi,"" terang Riefky kepada Kontan.co.id, Senin (13/11). Riefky juga menilai, penurunan target penerbitan SBN pada tahun ini akan mengurangi risiko beban bunga penerbitan obligasi. Sehingga, beban yang dipikul anggaran mungkin berkurang. ""Beban bunga utang akan menurun, karena tidak terlalu banyak issuance baru ke depannya,"" tandas Riefky. Cek Berita dan Artikel yang lain di Google News",nasional
"Tekan Target Penerbitan SBN 2023, Beban Bunga Utang Bisa Lebih Rendah",2024-09-24T16:10:45.803Z,"Selasa, 14 November 2023 / 20:58 WIB",Reporter: Bidara Pink | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/tekan-target-penerbitan-sbn-2023-beban-bunga-utang-bisa-lebih-rendah,"KONTAN.CO.ID - JAKARTA. Pemerintah memangkas target penerbitan surat berharga negara (SBN) pada tahun 2023 dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2023. Revisi target penerbitan SBN pada tahun ini tertuang dalam Peraturan Presiden (Perpres) no. 75 Tahun 2023, sebagai revisi dari Perpres no. 130 Tahun 2023 tentang perincian APBN 2023. Dalam beleid yang diteken Presiden RI Joko Widodo tersebut, pemerintah mematok target penerbitan SBN pada tahun 2023 menjadi Rp 437,83 triliun. Sebelumnya, pemerintah menargetkan penerbitan SBN pada tahun 2023 akan mencapai Rp 712,9 triliun. Baca Juga: Hore! Kuota Pemesanan ST011 Ditambah Jadi Rp 10 Triliun Kepala Ekonom Bank Central Asia (BCA) David Sumual menilai, penerbitan SBN yang akan lebih rendah dari perkiraan semula akan meringankan beban bunga utang dari penerbitan obligasi. ""Tentu akan meringankan. Mengingat, ketidakpastian global masih tinggi,"" terang David kepada Kontan.co.id, Senin (13/11). Namun, David mengapresiasi pendapatan negara yang jauh melebihi ekspektasi. Ini seiring dengan pemulihan ekonomi dan kenaikan harga komoditas pada awal tahun 2023. Inilah yang kemudian menjadi salah satu alasan bahwa pemerintah bisa menekan penarikan utang termasuk penerbitan obligasi. Baca Juga: Penawaran Capai Rp 33,7 Triliun, Pemerintah Serap Rp 19 Triliun pada Lelang SUN Cek Berita dan Artikel yang lain di Google News",nasional
Nilai Penerbitan SBN Ritel Makin Meningkat dalam Lima Tahun Terakhir,2024-09-24T16:10:46.588Z,,Premium User Only,https:////insight.kontan.co.id/news/nilai-penerbitan-sbn-ritel-makin-meningkat-dalam-lima-tahun-terakhir,Premium Content - Not Scraped,insight
Penerbitan SBN Ritel Tahun Depan Masih Akan Membetot Minat Investor,2024-09-24T16:10:46.773Z,"Rabu, 23 Agustus 2023 / 18:35 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/penerbitan-sbn-ritel-tahun-depan-masih-akan-membetot-minat-investor,"KONTAN.CO.ID - JAKARTA. Penerbitan surat berharga negara (SBN) ritel pada tahun depan diperkirakan masih membetot minat investor ritel. Hal ini karena imbal hasil dari SBN ritel masih jauh lebih menarik jika dibandingkan instrumen lain. Kepala Ekonom Bank Permata Josua Pardede mengatakan, imbal hasil SBN ritel masih tetap menarik di tengah kondisi ekonomi global yang penuh ketidakpastian. Dia mencatat, pada tahun 2023 ini, instrumen keuangan dengan imbal hasil tertinggi adalah obligasi pemerintah bila dibandingkan dengan instrumen keuangan lainnya. “Namun, beberapa investor mungkin akan lebih berhati-hati, terutama bagi para investor yang berencana untuk melakukan transaksi jual-beli di pasar sekunder, akibat sentimen risk-off yang mendominasi pasar keuangan saat ini,” tutur Josua kepada Kontan.co.id, Rabu (23/8). Baca Juga: Yield SBN 10 Tahun di 2024 Diprediksi Bisa di Bawah 6% Tahun Depan Adapun  terkait dengan rencana penerbitan obligasi negara ritel yakni SR019, Josua menilai, kupon SR019, baik dengan tenor 3 tahun maupun 5 tahun akan berkisar pada 6,00% hingga 6,50%. “Ini idak berbeda jauh dibandingkan dengan seri SR yang terbit pada awal tahun, yang memiliki kupon 6,25% 3 tahun dan 6,4% 5 tahun. Perkiraan kupon terssebut juga masih selaras dengan tren yield obligasi 5 tahun yang saat ini berada di kisaran level 6,3% hingga 6,4%,” jelasnya. Sementara itu, Staf Riset Ekonomi, Industri dan Global Markets Bank Maybank Indonesia Myrdal Gunarto juga sepakat daya tarik investor ritel akan menggeliat pada tahun depan. Hal ini karena likuiditas tahun depan dinilai masih aman selama perekonomian Indonesia bisa tumbuh meningkat jadi 5,2%. “Apalagi tren bunga menurun global akan semakin menambah daya tarik obligasi ritel yang biasanya memberikan premi menarik,” ujarnya. Disamping itu, pada tahun depan biaya utang pemerintah juga dinilai masih akan mudah dikelola dengan baik disaat tren suku bunga global menurun. Cek Berita dan Artikel yang lain di Google News",nasional
"Kurangi Pembiayaan Utang, Pemerintah Bakal Turunkan Porsi Penerbitan SBN Tahun Ini",2024-09-24T16:10:46.887Z,"Selasa, 11 Juli 2023 / 06:45 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////newssetup.kontan.co.id/news/kurangi-pembiayaan-utang-pemerintah-bakal-turunkan-porsi-penerbitan-sbn-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengurangi penerbitan Surat Berharga Negara (SBN) tahun ini sebesar Rp 349,1 triliun. Alhasil realisasi penerbitan SBN hingga akhir tahun hanya akan mencapai Rp 362,9 triliun, 50,9% dari target sebesar Rp 712,9 triliun. Menteri Keuangan Sri Mulyani Indrawati mengatakan, penurunan penerbitan utang ini sejalan dengan upaya pemerintah untuk mengurangi pembiayaan utang. “Penurunan pembiayaan anggaran ini akan dilakukan dengan mengurangi penerbitan SBN sebesar Rp 350 triliun. Sehingga penerbitan SBN yang akan dilakukan pemerintah hingga akhir tahun hanya akan sebesar Rp 362,9 triliun atau hanya 50,9% dari target,” tutur Sri Mulyani dalam rapat kerja bersama Banggar DPR RI, Senin (10/7). Baca Juga: Harga SUN Benchmark Rekor, Kenaikan Harga Diprediksi Masih Berlanjut Dengan pengurangan penerbitan SBN tersebut, maka realisasi pembiayaan utang tahun ini hanya akan mencapai Rp 406,4 triliun atau 58,4% dari target dalam APBN yang sebesar Rp 696,3 triliun. Sementara itu, realisasi pembiayaan lainnya diperkirakan melonjak tajam menjadi Rp 229,7 triliun, meningkat 34.330,9% dari target yang sebesar Rp 700 miliar. Sehingga, outlook pembiayaan anggaran  di akhir tahun akan mencapai Rp 486,4 triliun, turun 17,7% atau 81,3% dari target APBN. Total realisasi pembiayaan anggaran ini dengan memperhitungkan penerbitan SBN lebih rendah Rp 350 triliun dari target APBN. Kemudian, tambahan penggunaan Saldo Anggaran Lebih (SAL) Rp 156,9 triliun, untuk penurunan pembiayaan utang Rp 100,9 triliun dan kebutuhan pembayaran kewajiban pemerintah Rp 56 triliun untuk pembayaran kewajiban pemerintah yakni untuk membayar kurang Bayar DBH, subsidi pupuk dan kompensasi energi. Cek Berita dan Artikel yang lain di Google News",newssetup
"Pemerintah Bakal Kurangi Porsi Penerbitan SBN Rp 349,1 Triliun di Tahun Ini",2024-09-24T16:10:47.165Z,"Senin, 10 Juli 2023 / 18:37 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pemerintah-bakal-kurangi-porsi-penerbitan-sbn-rp-3491-triliun-di-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengurangi penerbitan Surat Berharga Negara (SBN) tahun ini sebesar Rp 349,1 triliun. Alhasil realisasi penerbitan SBN hingga akhir tahun hanya akan mencapai Rp 362,9 triliun, 50,9% dari target sebesar Rp 712,9 triliun. Menteri Keuangan Sri Mulyani Indrawati mengatakan, penurunan penerbitan utang ini sejalan dengan upaya pemerintah untuk mengurangi pembiayaan utang. “Penurunan pembiayaan anggaran ini akan dilakukan dengan mengurangi penerbitan SBN sebesar Rp 350 triliun. Sehingga penerbitan SBN yang akan dilakukan pemerintah hingga akhir tahun hanya akan sebesar Rp 362,9 triliun atau hanya 50,9% dari target,” tutur Sri Mulyani dalam rapat kerja bersama Banggar DPR RI, Senin (10/7). Baca Juga: Harga SUN Benchmark Rekor, Kenaikan Harga Diprediksi Masih Berlanjut Dengan pengurangan penerbitan SBN tersebut, maka realisasi pembiayaan utang tahun ini hanya akan mencapai Rp 406,4 triliun atau 58,4% dari target dalam APBN yang sebesar Rp 696,3 triliun. Sementara itu, realisasi pembiayaan lainnya diperkirakan melonjak tajam menjadi Rp 229,7 triliun, meningkat 34.330,9% dari target yang sebesar Rp 700 miliar. Sehingga, outlook pembiayaan anggaran  di akhir tahun akan mencapai Rp 486,4 triliun, turun 17,7% atau 81,3% dari target APBN. Total realisasi pembiayaan anggaran ini dengan memperhitungkan penerbitan SBN lebih rendah Rp 350 triliun dari target APBN. Kemudian, tambahan penggunaan Saldo Anggaran Lebih (SAL) Rp 156,9 triliun, untuk penurunan pembiayaan utang Rp 100,9 triliun dan kebutuhan pembayaran kewajiban pemerintah Rp 56 triliun untuk pembayaran kewajiban pemerintah yakni untuk membayar kurang Bayar DBH, subsidi pupuk dan kompensasi energi. Cek Berita dan Artikel yang lain di Google News",nasional
"Penerbitan SBN Tembus Rp 144,5 Triliun Hingga Mei 2023",2024-09-24T16:10:47.364Z,"Rabu, 28 Juni 2023 / 16:09 WIB",Reporter: Maria Gelvina Maysha | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/penerbitan-sbn-tembus-rp-1445-triliun-hingga-mei-2023,"KONTAN.CO.ID - JAKARTA. Penerbitan Surat Berharga Negara (SBN) telah mencapai Rp 144,5 triliun hingga Mei 2023. Penerbitan SBN tersebut sudah terealisasi 20,3% dari target Anggaran Pendapatan dan Belanja Negara (APBN). Realisasi penerbitan SBN periode ini tumbuh 92,0% dibanding tahun lalu yang sebesar Rp 75,3 triliun. Menteri Keuangan Sri Mulyani Indrawati mengatakan, pada bulan Mei lalu, pemerintah telah menerbitkan Samurai Bond sebesar ¥ 104,8 miliar atau setara US$ 0,76 miliar yang di dalamnya termasuk Blue Bonds sebesar  ¥ 20,7 miliar. Sri Mulyani bilang transaksi ini mendapat apresiasi dan respon positif dari investor Jepang. ""Sebab memang masyarakat investment fund di seluruh dunia mengharapkan agar diterbitkan lebih banyak surat utang yang bertema environmnent, baik itu Blue Bonds, Green Bonds, ataupun SDG bond, karena ini memang menjadi trend global dari sisi pembiayaan,” ujar Sri Mulyani dalam Konferensi Pers APBN Kita Edisi Juni, Senin (27/6). Baca Juga: Realisasi Pembiayaan Pemerintah hingga Mei 2023 Capai Rp 150,4 Triliun Sehingga Indonesia sudah dalam posisi yang cukup baik dalam memanfaatkan appetite global terhadap surat utang bertema environment ini. Untuk diketahui, total realisasi pembiayaan melalui penerbitan utang hingga Mei tahun ini sudah mencapai 20,3% dari APBN atau Rp 150,4 triliun. Jumlah ini meningkat 64,9% dibanding periode yang sama tahun lalu yang sebesar Rp 91,2 triliun. Selain penerbitan utang melalui SBN, tercatat pula pembiayaan lewat pinjaman sebesar Rp 5,9 triliun, turun 63,2% dibanding tahun lalu senilai Rp 16,0 triliun. Cek Berita dan Artikel yang lain di Google News",investasi
"Terbitkan Samurai Bonds, Penerbitan SBN Capai Rp 144,5 Triliun Hingga Mei 2023",2024-09-24T16:10:47.532Z,"Selasa, 27 Juni 2023 / 13:30 WIB",Reporter: Maria Gelvina Maysha | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/terbitkan-samurai-bonds-penerbitan-sbn-capai-rp-1445-triliun-hingga-mei-2023,"KONTAN.CO.ID - JAKARTA. Pembiayaan utang melalui penerbitan Surat Berharga Negara (SBN) telah mencapai Rp 144,5 triliun pada Mei 2023 atau terealisasi 20,3% dari Anggaran Pendapatan dan Belanja Negara (APBN). Realisasi periode ini tumbuh 92,0% dibanding tahun lalu yang sebesar Rp 75,3 triliun. Adapun, Menteri Keuangan Sri Mulyani Indrawati mengatakan, bulan Mei ini pemerintah telah menerbitkan Samurai Bond sebesar JPY 104,8 miliar atau setara USD 0,76 miliar yang di dalamnya termasuk Blue Bonds sebesar JPY 20,7 miliar. Sri Mulyani bilang transaksi ini mendapat apresiasi dan respon positif dari investor Jepang. ""Sebab memang masyarakat investment fund di seluruh dunia mengharapkan agar diterbitkan lebih banyak surat utang yang bertema environmnent, baik itu Blue Bonds, Green Bonds, ataupun SDG bond, karena ini memang menjadi trend global dari sisi pembiayaan,” ujar Sri Mulyani dalam Konferensi Pers APBN Kita Edisi Juni, Senin (27/6). Baca Juga: Realisasi Pembiayaan Pemerintah hingga Mei 2023 Capai Rp 150,4 Triliun Sehingga Indonesia sudah dalam posisi yang cukup baik dalam memanfaatkan appetite global terhadap surat utang bertema environment ini. Untuk diketahui, total realisasi pembiayaan melalui penerbitan utang hingga Mei tahun ini sudah mencapai 20,3% dari APBN atau Rp 150,4 triliun. Jumlah ini meningkat 64,9% dibanding periode yang sama tahun lalu yang sebesar Rp 91,2 triliun. Selain penerbitan utang melalui SBN, tercatat pula pembiayaan lewat pinjaman sebesar Rp 5,9 triliun, turun 63,2% dibanding tahun lalu senilai Rp 16,0 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
