Title,Scrapping Date,Article Date,Author,Link,Content,Category
Waspada! Rasio Utang Pemerintah per Semester I-2024 Hampir Mendekati 40% dari PDB,2024-09-24T16:14:00.786Z,"Senin, 29 Juli 2024 / 16:23 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/waspada-rasio-utang-pemerintah-per-semester-i-2024-hampir-mendekati-40-dari-pdb,"KONTAN.CO.ID - JAKARTA. Pemerintah tampaknya harus lebih berhati-hati dalam mengelola utang. Berdasarkan data Kementerian Keuangan (Kemenkeu), posisi utang pemerintah hingga semester I-2024 atau per Juni 2024 mencapai Rp 8.444,87 triliun. Angka ini meningkat 1,09% dibandingkan posisi utang pada akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara berdasarkan angka rasio utang terhadap Produk Domestik Bruto (PDB), tercatat sebesar 39,13% dari PDB. Angka ini nyaris mendekati level 40% dari PDB, seperti pada saat pandemi Covid-19 di mana rasio utang terhadap PDB per Desember 2021 mencapai 40,74%. Sementara pada Desember 2022 tercatat 39,70% PDB dan pada Desember 2023 tercatat 39,21% dari PDB. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun Memang, rasio utang per akhir Juni 2024 yang sebesar 39,13% terhadap PBB diklaim tetap konsisten terjaga di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara. Namun, tidak ada salahnya ini menjadi lampu kuning agar pemerintah lebih berhati-hati dalam melakukan pengelolaan utang. Lampu kuning pengelolaan utang juga disoroti oleh para ekonom. Direktur Riset Bidang Makroekonomi dan Kebijakan Fiskal Moneter CORE Indonesia, Akhmad Akbar Susanto menilai bahwa apabila menggunakan indikator rasio utang pemerintah terhadap PDB memang masih dalam batas aman. Hanya saja, apabila menggunakan indikator lain seperti lembaga internasional, debt to revenue ratio atau rasio utang pemerintah terhadap pendapatan sudah mencapai 300% pada posisi per 31 Mei 2024. Angka ini melonjak tajam jika dibandingkan posisi 31 Desember 2023 yang hanya 292,6%. Oleh karena itu, Akbar menilai posisi utang pemerintah terhadap pendapatan cenderung tidak aman lantaran melebihi batas yang ditetapkan oleh International Monetary Fund (IMF) dalam range 90% hingga 150%. Tidak hanya itu, angka ini juga melebihi batas yang ditetetapkan oleh International Debt Relief yang berada pada kisaran 92% hingga 167%. Baca Juga: Naikkan Credit Rating, Probowo Ingin Biaya Utang Bisa Lebih Murah ""Itu kalau kita lihat bahwa posisi (utang pemerintah) kita sudah gak aman. Baik kalau kita mengikuti versi IMF maupun menurut versi International Debt Relief. Jadi kalau kita lihat indikator-indikator disitu kita sudah gak aman,"" ujar Akbar dalam acara Midyear Review CORE Indonesia 2024, Selasa (23/7). Cek Berita dan Artikel yang lain di Google News",nasional
Prabowo-Gibran Berkomitmen Jaga Rasio Utang 37%-38% PDB Hingga 2030,2024-09-24T16:14:00.917Z,"Selasa, 16 Juli 2024 / 17:28 WIB",Reporter: Dendi Siswanto | Editor: Handoyo .,https:////nasional.kontan.co.id/news/prabowo-gibran-berkomitmen-jaga-rasio-utang-37-38-pdb-hingga-2030,"KONTAN.CO.ID-JAKARTA. Ekonom Verdhana Sekuritas, Heriyanto Irawan, blak-blakan mengenai rencana kebijakan utang pemerintahan Prabowo Subianto-Gibran Rakabuming Raka. Informasi ini terungkap setelah tim Prabowo, yaitu Burhanuddin Abdullah, Sudrajat Djiwandono, dan Thomas Djiwandono, menemui para ekonom termasuk dirinya dan Chatib Basri. Dari diskusi yang ada, Heriyanto mengungkapkan bahwa pemerintahan Prabowo berkomitmen menjaga rasio utang pada kisaran 37% hingga 38% dari Produk Domestik Bruto (PDB) sampai tahun 2030. ""Di dalam presentasi mereka ke kita itu sampai tahun 2030 itu masih dikisaran 37% hingga 38% PDB kok, yaitu status quo,"" kata Henry dalam acara Market Outlook 2024, Selasa (16/7). Heriyanto menilai bahwa pemerintahan Prabowo tidak mungkin akan menaikkan rasio utang hingga 50% dari PDB. Jika hal tersebut terjadi, Indonesia akan menghadapi situasi yang lebih buruk dibandingkan Bangladesh. Baca Juga: Upaya Mewujudkan SDM Indonesia Unggul pada Tahun 2045 ""Jika rasio utang mencapai 50% dari PDB, pembiayaan bunga dibagi dengan penerimaan negara bisa mencapai angka 30%. Ini akan melejit dan lebih parah dari Bangladesh. Bagaimana bisa sanggup begitu?"" kata Heriyanto. ""Saya rasa pemikiran pemerintah yang akan datang tidak seperti itu,"" tambahnya. Sebelumnya, rencana presiden terpilih Prabowo Subianto untuk menaikkan rasio utang pemerintah hingga 50% dari Produk Domestik Bruto (PDB) kembali mencuat. Kabar ini disampaikan langsung oleh saudara sekaligus penasihat Prabowo, Hashim Djojohadikusumo, seperti dikutip dari Reuters. Peningkatan rasio utang hingga 50% dari PDB ini akan diikuti dengan peningkatan pendapatan negara.     Cek Berita dan Artikel yang lain di Google News",nasional
"Klarifikasi Soal Rasio Utang 50% PDB, Tim Prabowo Temui Chatib Basri dan Para Ekonom",2024-09-24T16:14:01.065Z,"Selasa, 16 Juli 2024 / 17:02 WIB",Reporter: Dendi Siswanto | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/klarifikasi-soal-rasio-utang-50-pdb-tim-prabowo-temui-chatib-basri-dan-para-ekonom,"KONTAN.CO.ID-JAKARTA. Belum lama ini beredar isu mengenai rencana presiden terpilih Prabowo Subianto yang akan mengerek rasio utang menjadi 50% terhadap Produk Domestik Bruto (PDB). Ekonom Verdhana Sekuritas Heriyanto Irawan mengungkapkan bahwa Tim dari presiden terpilih yakni Burhanuddin Abdullah, Sudrajat Djiwandono dan Thomas Djiwandono telah menemui para ekonom termasuk mantan Menteri Keuangan Chatib Basri untuk membahas terkait pengelolaan fiskal pemerintahan baru. ""Sebenarnya yang ikut diskusi sama saya adalah pak Chatib Basri. Cuma dia gak mau bocorin,"" kata Chatib dalam acara Market Outlook 2024, Selasa (16/7). Heri menyebut diskusi tersebut dilakukan pada dua atau tiga minggu yang lalu. Dari diskusi tersebut, dirinya membantah mengenai kebijakan fiskal pemerintahan Prabowo yang beredar selama ini. Baca Juga: Chatib Basri Prediksi Ekonomi Indonesia Melambat Tahun Ini, Tapi Jauh dari Resesi ""Orang-orang yang memikirkan ekonomi ke depan dan kebijakan itu, itu menurut saya woles-woles aja lah. Gak kaya 50% to GDP dan spendingnya gak bertanggung jawab. Saya rasa jauh dari itu,"" katanya. Bahkan dirinya menegaskan bahwa pemerintahan Prabowo tidak berencana  mengerek rasio utang 50% dari PDB hingga tahun 2030. ""Di dalam presentasi mereka ke kita itu sampai tahun 2030 itu masih di kisaran 37% hingga 38% kok,"" imbuh Hery. Sebelumnya, rencana presiden terpilih Prabowo Subianto mengerek rasio utang pemerintah hingga 50% dari Produk Domestik Bruto (PDB) kembali mencuat. Pasalnya, kabar tersebut disampaikan langsung oleh saudara sekaligus penasihat Prabowo, Hashim Djojohadikusomo, seperti dikutip dari Reuters. Peningkatan rasio utang hingga 50% terhadap PDB ini akan diikuti dengan peningkatan pendapatan negara. Cek Berita dan Artikel yang lain di Google News",nasional
"Orang Dekat Prabowo Tak Kompak Soal Rasio Utang, Terbaru Hashim Bilang Bisa 50% PDB",2024-09-24T16:14:02.053Z,,Premium User Only,https:////insight.kontan.co.id/news/orang-dekat-prabowo-tak-kompak-soal-rasio-utang-terbaru-hashim-bilang-bisa-50-pdb,Premium Content - Not Scraped,insight
"Wacana Prabowo Kerek Rasio Utang Hingga 50% dari PDB Mencuat, Airlangga Buka Suara",2024-09-24T16:14:02.216Z,"Kamis, 11 Juli 2024 / 16:50 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/wacana-prabowo-kerek-rasio-utang-hingga-50-dari-pdb-mencuat-airlangga-buka-suara,"KONTAN.CO.ID - JAKARTA. Rencana presiden terpilih Prabowo Subianto mengerek rasio utang pemerintah hingga 50% dari Produk Domestik Bruto (PDB) kembali mencuat. Pasalnya, kabar tersebut disampaikan langsung oleh saudara sekaligus penasihat Prabowo, Hashim Djojohadikusomo, seperti dikutip dari Reuters. Peningkatan rasio utang hingga 50% terhadap PDB ini akan diikuti dengan peningkatan pendapatan negara. Baca Juga: Pemerintahan Prabowo Warisi Ekonomi Sulit, Mulai Utang Jumbo Hingga Lapangan Kerja Saat dikonfirmasi, Menteri Koordinator Bidang Perekonomian Airlangga Hartarto menegaskan bahwa pemerintahan Prabowo akan tetap menjaga rasio utang di bawah 40% terhadap PDB. ""Kita tetap komitmen pada makroprudensial di mana tingkat utang kita 40%,"" ujar Airlangga kepada awak media di Kantor Kemenko Perekonomian, Kamis (11/7). Asal tahu saja, Kementerian Keuangan (Kemenkeu) mencatat posisi utang pemerintah kembali mengalami peningkatan per akhir April 2024. Berdasarkan dokumen Anggaran Pendapatan dan Belanja Negara (APBN), utang pemerintah hingga 30 April 2024 tercatat Rp 8.338,43 triliun. Secara nominal, posisi utang pemerintah tersebut bertambah Rp 76,33 triliun atau meningkat sekitar 0,92% dibandingkan posisi utang pada akhir Maret 2024 yang sebesar Rp 8.262,1 triliun. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 Sementara itu, rasio utang pemerintah terhadap Produk Domestik Bruto (PDB) sebesar 38,64%. Namun ini menurun dari rasio utang terhadap PDB bulan sebelumnya yang mencapai 38,79%. Kemenkeu menyatakan, rasio utang yang tercatat per akhir April 2024 ini masih di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2023 tentang Keuangan Negara serta lebih baik dari yang telah ditetapkan melalui Strategi Pengelolaan Utang Jangka Menengah 2024-2027 di kisaran 40%. Cek Berita dan Artikel yang lain di Google News",nasional
Tim Prabowo-Gibran Bantah Akan Dongkrak Rasio Utang Hingga 50% PDB,2024-09-24T16:14:02.408Z,"Selasa, 25 Juni 2024 / 07:30 WIB",Reporter: Rashif Usman | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/tim-prabowo-gibran-bantah-akan-dongkrak-rasio-utang-hingga-50-pdb,"KONTAN.CO.ID - JAKARTA. Isu pemerintahan baru mendatang akan mengerek rasio utang sempat santer berhembus. Gara-gara isu ini pula yang membuat pasar khawatir soal kesinambungan fiskal ke depan. Namun, Tim Gugus Tugas Sinkronisasi Prabowo Subianto-Gibran Rakabuming Raka menepis isu soal rencana pemerintahan Prabowo yang akan menaikkan rasio utang terhadap Produk Domestik Bruto (PDB) hingga menjadi 50%. ""Rasio utang terhadap PDB yang beberapa minggu lalu dikatakan di atas 50% dan sebagainya itu tidak mungkin,"" kata Anggota Bidang Keuangan Tim Gugus Tugas Sinkronisasi Prabowo-Gibran, Thomas Djiwandono dalam konferensi pers terkait kondisi fundamental ekonomi terkini dan Rencana Anggaran Pendapatan dan Belanja Negara (APBN) 2025, Senin (24/6). Thomas menegaskan, Presiden dan Wakil Presiden Terpilih Prabowo Subianto-Gibran Rakabuming Raka akan tetap berkomitmen mengenai target-target yang sudah direncanakan pemerintah dan DPR. ""Kami juga ingin menekankan bahwa Presiden terpilih commit terhadap defisit atau target defisit yang akan disepakati oleh pemerintah sekarang dan DPR,"" ucapnya. Baca Juga: Kemenkeu Bantah Isu Indonesia Akan Bangkrut Karena Utang Thomas juga bilang, pihaknya akan terus mengikuti siklus pembahasan RAPBN 2025 yang tengah bergulir antara pemerintah saat ini dengan DPR, termasuk rancangan alokasi anggaran makan bergizi gratis yang mencapai Rp 71 triliun. ""Kami di sini sebagai tim gugus tugas ingin menyatakan secara gamblang, dengan angka Rp 71 triliun tersebut, artinya defisit itu, range terjamin,"" ujarnya. Selain itu, Thomas juga meminta kepada masyarakat untuk ikut mengawasi perhitungan yang ada. ""Nanti, silakan saja dihitung. Intinya, kami komitmen terhadap target yang sudah direncanakan kini dan telah disepakati dengan DPR,"" ucap dia. Sebagai tambahan informasi, Pemerintah dan Panitia Kerja (Panja) Badan Anggaran (Banggar) DPR RI menyepakati untuk menurunkan target batas bawah defisit RAPBN 2025 dari 2,45% Produk Domestik Bruto (PDB) menjadi 2,29% PDB, pada Kamis (20/6). Dengan begitu, target defisit RAPBN 2025 disepakati berada pada kisaran 2,29% hingga 2,82% dari PDB. Angka ini akan menjadi panduan dalam penyusunan Nota Keuangan RAPBN 2025 yang akan dibacakan Presiden Joko Widodo (Jokowi) pada 16 Agustus 2024. Cek Berita dan Artikel yang lain di Google News",nasional
"Bantah Isu Rasio Utang Akan Dikerek Sampai 50% PDB, Tim Prabowo: Tidak Mungkin",2024-09-24T16:14:02.564Z,"Senin, 24 Juni 2024 / 14:31 WIB",Reporter: Rashif Usman | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/bantah-isu-rasio-utang-akan-dikerek-sampai-50-pdb-tim-prabowo-tidak-mungkin,"KONTAN.CO.ID - JAKARTA. Tim Gugus Tugas Sinkronisasi Prabowo Subianto-Gibran Rakabuming Raka membantah isu soal rencana pemerintahan Prabowo yang akan menaikkan rasio utang terhadap Produk Domestik Bruto (PDB) hingga menjadi 50%. ""Rasio utang terhadap PDB yang beberapa minggu lalu dikatakan di atas 50% dan sebagainya itu tidak mungkin,"" kata Anggota Bidang Keuangan Tim Gugus Tugas Sinkronisasi Prabowo-Gibran, Thomas Djiwandono dalam konferensi pers terkait kondisi fundamental ekonomi terkini dan Rencana Anggaran Pendapatan dan Belanja Negara (APBN) 2025, Senin (24/6). Thomas menegaskan, Presiden dan Wakil Presiden Terpilih Prabowo Subianto-Gibran Rakabuming Raka akan tetap berkomitmen mengenai target-target yang sudah direncanakan pemerintah dan DPR. ""Kami juga ingin menekankan bahwa Presiden terpilih commit terhadap defisit atau target defisit yang akan disepakati oleh pemerintah sekarang dan DPR,"" ucapnya. Baca Juga: Kemenkeu Bantah Isu Indonesia Akan Bangkrut Karena Utang Thomas juga bilang, pihaknya akan terus mengikuti siklus pembahasan RAPBN 2025 yang tengah bergulir antara pemerintah saat ini dengan DPR, termasuk rancangan alokasi anggaran makan bergizi gratis yang mencapai Rp 71 triliun. ""Kami di sini sebagai tim gugus tugas ingin menyatakan secara gamblang, dengan angka Rp 71 triliun tersebut, artinya defisit itu, range terjamin,"" ujarnya. Selain itu, Thomas juga meminta kepada masyarakat untuk ikut mengawasi perhitungan yang ada. ""Nanti, silakan saja dihitung. Intinya, kami komitmen terhadap target yang sudah direncanakan kini dan telah disepakati dengan DPR,"" ucap dia. Sebagai tambahan informasi, Pemerintah dan Panitia Kerja (Panja) Badan Anggaran (Banggar) DPR RI menyepakati untuk menurunkan target batas bawah defisit RAPBN 2025 dari 2,45% Produk Domestik Bruto (PDB) menjadi 2,29% PDB, pada Kamis (20/6). Dengan begitu, target defisit RAPBN 2025 disepakati berada pada kisaran 2,29% hingga 2,82% dari PDB. Angka ini akan menjadi panduan dalam penyusunan Nota Keuangan RAPBN 2025 yang akan dibacakan Presiden Joko Widodo (Jokowi) pada 16 Agustus 2024. Cek Berita dan Artikel yang lain di Google News",nasional
"Kemenkeu: PR Indonesia Bukan Masalah Utang, Tapi Rasio Pajak Rendah",2024-09-24T16:14:02.694Z,"Minggu, 23 Juni 2024 / 16:52 WIB",Reporter: Dendi Siswanto | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/kemenkeu-pr-indonesia-bukan-masalah-utang-tapi-rasio-pajak-rendah,"KONTAN.CO.ID-JAKARTA. Kementerian Keuangan (Kemenkeu) menegaskan bahwa yang menjadi masalah Indonesia saat ini bukanlah utang, melainkan tax ratio atau rasio pajak yang masih rendah. Direktur Surat Utang Negara Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, Deni Ridwan mengatakan bahwa Indonesia termasuk negara yang memiliki tax ratio terendah dibandingkan negara lainnya di kawasan. Oleh karena itu, pemerintah perlu meningkatkan tax ratio agar posisi Indonesia bisa memiliki kemampuan pembiayaan selevel di negera Asia Pasifik bahkan negara The Organisation for Economic Co-Operation and Development (OECD)OECD. ""Kita diskusi dengan analis, kita diskusi dengan rating agency. Indonesia itu problemnya bukan di utang. PR Indonesia adalah dari sisi penerimaan pajak,"" ujar Deni dalam acara Sosialisasi Peran Pembiayaan APBN dan Edukasi Literasi Investasi SBN Ritel seri SBR013, Jumat (21/6). Baca Juga: Ini Alasan Mengapa Pemerintah Rajin Berutang Tiap Tahun Asal tahu saja, tax ratio Indonesia pada tahun 2023 tercatat hanya sebesar 10,32%. Sementara pada tahun ini, tax ratio ditargetkan sebesar 10,12%. Deni bilang, tax ratio tersebut masih kecil dibandingkan dengan negara Asia Pasifik yang mencapai 19,8%, serta negara OECD yang berada pada level 34%. Berdasarkan catatan KONTAN, dalam beberapa tahun terakhir, tax ratio Indonesia masih mengalami fluktuatif. Pada tahun 2018, tax ratio Indonesia berada pada angka 10,24%. Amgka ini kembali merosot pada tahun 2019 sebesar 9,76% dan 2020 menjadi 8,33%. Seiring dengan pelonggaran aktivitas masyarakat, tax ratio pada tahun 2021 mulai mengalami peningkatan menjadi 9,11%. Dan pada tahun 2022, tax ratio kembali mengalami peningkatan menjadi 10,38%. Di tahun 2022, posisi tax ratio Indonesia ini hanya lebih baik dari Laos (9,46%), Myanmar (5,78%) dan Brunei (1,30%) serta jauh di bawah Thailand (17,18%), Vietnam (16,21%) dan Singapura (12,96%). Untuk meningkatkan tax ratio, maka pemerintah perlu mendorong kegiatan ekonomi masyarakat sejalan dengan mimpi Indonesia menjadi negara berpendapatan tinggi pada 2045 mendatang. ""Caranya adalah ekonominya harus semakin membesar,"" kata Deni. Sementara itu,  Kemenkeu mencatat posisi utang pemerintah kembali mengalami peningkatan per akhir April 2024. Baca Juga: Kemenkeu Bantah Isu Indonesia Akan Bangkrut Karena Utang Berdasarkan dokumen APBN, utang pemerintah hingga 30 April 2024 tercatat Rp 8.338,43 triliun. Secara nominal, posisi utang pemerintah tersebut bertambah Rp 76,33 triliun atau meningkat sekitar 0,92% dibandingkan posisi utang pada akhir Maret 2024 yang sebesar Rp 8.262,1 triliun. Sementara itu, rasio utang pemerintah terhadap Produk Domestik Bruto (PDB) sebesar 38,64%. Namun ini menurun dari rasio utang terhadap PDB bulan sebelumnya yang mencapai 38,79%. Cek Berita dan Artikel yang lain di Google News",nasional
Rasio Utang Luar Negeri Bank Dilonggarkan,2024-09-24T16:14:03.503Z,,Premium User Only,https:////insight.kontan.co.id/news/rasio-utang-luar-negeri-bank-dilonggarkan,Premium Content - Not Scraped,insight
"Rupiah Naik Turun, Imbas Gosip Prabowo Naikkan Rasio Utang ke 50% dari PDB",2024-09-24T16:14:03.627Z,"Kamis, 20 Juni 2024 / 20:20 WIB",Reporter: Siti Masitoh | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/rupiah-naik-turun-imbas-gosip-prabowo-naikkan-rasio-utang-ke-50-dari-pdb,"KONTAN.CO.ID – JAKARTA. Kondisi nilai tukar rupiah dalam tren melemah meski sempat menguat ke level Rp 15.900 per dollar AS pada Mei lalu. Kamis (20/6), kurs rupiah Jisdor melemah 0,32% ke Rp 16.420 per dolar AS dari posisi kemarin Rp 16.368 per dolar AS. Kepala Ekonom Bank Permata Josua Pardede menyampaikan, dari sisi domestik pelemahan rupiah memang dipengaruhi sentimen negatif, terkait isu bahwa Presiden terpilih Prabowo Subianto akan menaikkan rasio utang hingga 50% dari produk domestik bruto (PDB) untuk memenuhi janji kampanyenya. “Dari sisi domestik, pelemahan rupiah dipengaruhi pemberitaan dari salah satu kantor berita asing terkait kenaikan rasio utang pemerintah berikutnya meskipun belum dapat bisa dikonfirmasi sumbernya,” tutur Josua kepada Kontan.co.id, Kamis (20/6). Baca Juga: Rupiah Anjlok, Transaksi Jual Beli Valas di Money Changer Tetap Ngegas Di samping itu, Josua juga menilai, kebijakan belanja pemerintah dikhawatirkan cenderung lebih ekspansif pada masa pemerintahan mendatang sehingga defisit akan cenderung meningkat tajam. Kekhawatiran ini juga terefleksi dari kenaikan imbal hasil obligasi 10 tahun sebesar 21 basis poin (bps) ke level 7,13%. Josua menyebut, di tengah kondisi ketidakpastian pasar keuangan global yang masih mendominasi, Bank Indonesia (BI) diperkirkirakan akan tetap berada di pasar untuk melakukan triple intervention dalam rangka menjaga stabilitas nilai tukar rupiah sehingga berpotensi mempengaruhi perkembangan cadangan devisa dalam jangka pendek. Dengan pelemahan nilai tukar rupiah ini lanjutnya, akan berpotensi mempengaruhi Perusahaan atau sektor ekonomi yang mengimpor bahan baku akan menghadapi biaya yang lebih tinggi sehingga berpotensi menurunkan margin keuntungan dari perusahaan. “Sebaliknya, emiten/perusahaan yang berorientasi ekspor dapat memperoleh keuntungan karena produk mereka menjadi lebih kompetitif di pasar internasional,” ungkapnya. Baca Juga: Rupiah Diprediksi Tertekan Lagi pada Jumat (21/6) Pelemahan rupiah juga berpotensi mendorong inflasi impor yang pada akhirnya mempengaruhi tingkat inflasi nasional serta mempengaruhi daya beli konsumen dan mempengaruhi kinerja perusahaan-perusahaan yang terdaftar di bursa. “Mempertimbangkan bahwa perkembangan di pasar keuangan domestik saat ini dipengaruhi oleh faktor sentiment dari pasar keuangan global, oleh sebab itu tekanan pada nilai tukar Rupiah dan pasar keuangan domestik diperkirakan akan cenderung sementara,” ungkapnya. Kedepannya, dengan kondisi fundamental ekonomi Indonesia yang relatif solid, yakni inflasi terkendali, kondisi keseimbangan eksternal tetap terjaga, prospek pertumbuhan ekonomi yang solid, Josua memperkirakan, potensi ruang penguatan dari nilai tukar rupiah dan pasar keuangan domestik pun juga akan lebih terbuka kedepannya. “Nilai tukar rupiah pada akhir tahun ini diperkirakan berkisar Rp 15.900- Rp 16.200 per dollar AS,” katanya. Lebih lanjut, Ia menyampaikan, solusi dalam jangka pendek dari depresiasi rupiah adalah dengan BI terus melakukan intervensi di pasar valas. Baca Juga: BI Beberkan Sejumlah Alasan yang Jadi Pemicu Rupiah Melemah Sementara dalam jangka menengah, BI perlu menggalakan lagi kebijakan devisa hasil ekspor (DHE) dan terus melakukan pendalaman pasar keuangan Indonesia. Terakhir, untuk jangka panjang, diversifikasi ekspor perlu dilakukan agar tidak dominan pada komoditas yang harganya cenderung berfluktuasi. Tujuan diversifikasi ekspor agar tidak terlalu bergantung pada pasar beberapa negara saja, serta agar kebutuhan input impor menurun,. “Hal ini meningkatkan peran industri pariwisata sebagai sumber penerimaan valas, dan terus meningkatkan FDI akan ketergantungan pada ‘hot money’ atau investasi portofolio asing menurun,” pungkasnya. Cek Berita dan Artikel yang lain di Google News",nasional
