Title,Scrapping Date,Article Date,Author,Link,Content,Category
Menakar Risiko Likuiditas Perdagangan Saham Triputra Agro Persada (TAPG) Usai IPO,2024-09-24T16:03:56.809Z,,Premium User Only,https:////insight.kontan.co.id/news/menakar-risiko-likuiditas-perdagangan-saham-triputra-agro-persada-tapg-usai-ipo,Premium Content - Not Scraped,insight
"Risiko likuiditas dan refinancing naik, Fitch turunkan peringkat utang Sritex ke B-",2024-09-24T16:03:56.857Z,"Jumat, 26 Maret 2021 / 13:38 WIB",Reporter: Nur Qolbi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/risiko-likuiditas-dan-refinancing-naik-fitch-turunkan-peringkat-utang-sritex-ke-b,"KONTAN.CO.ID - JAKARTA. Lembaga pemeringkat internasional Fitch Ratings menurunkan Long-Term Issuer Default Rating (IDR) PT Sri Rejeki Isman Tbk (SRIL) menjadi B- dari BB-. Fitch juga menurunkan peringkat surat utang dolar Amerika Serikat (AS) Sritex, baik yang sudah beredar maupun yang berencana diterbitkan menjadi B- dari BB-. Secara bersamaan, Fitch turut memangkas peringkat nasional jangka panjang SRIL menjadi BB(idn) dari A+(idn). Peringkat-peringkat ini berada di Rating Watch Negative (RWN) yang mencerminkan ketidakpastian dalam pelaksanaan rencana pembiayaan kembali (refinancing). Lebih lanjut, Fitch menyatakan, penurunan peringkat ini sejalan dengan meningkatnya risiko likuiditas dan refinancing Sritex. Sebagaimana diketahui, SRIL menghadapi ketidakpastian terkait pengajuan perpanjangan tenor pinjaman sindikasi US$ 350 juta yang bakal jatuh tempo pada Januari 2022. ""Profil kredit Sritex berada di bawah tekanan karena ketidakpastian seiring dengan tertundanya penyelesaian kesepakatan perpanjangan tenor pinjaman sindikasi US$ 350 juta tersebut,"" tulis Fitch dalam laporannya, Jumat (26/3). Sebagai pengingat, sejak November 2020, Sritex mengajukan perpanjangan tenor dua tahun hingga Januari 2024 untuk pinjaman sindikasi ini. Fitch menyampaikan, pihaknya mengetahui bahwa SRIL sudah memperoleh persetujuan dari beberapa pemberi pinjaman sindikasi yang setara US$ 205 juta per 23 Maret 2021. ""Namun keterlambatan penandatanganan tersebut menyebabkan penurunan beberapa poin peringkat karena belum ada kesepakatan final, ditambah sentimen negatif terhadap sektor TPT Indonesia,"" ucap Fitch. Baca Juga: Likuiditas seret, Moody's pangkas rating Sri Rejeki Isman (SRIL) menjadi B3    Fitch menilai, posisi likuiditas Sritex melemah secara signifikan. Pasalnya, selain medium-term note (MTN) US$ 25 juta yang jatuh tempo pada Mei 2021, Sritex juga memiliki jumlah terutang sekitar US$ 175 juta di bawah fasilitas kerja bilateral yang juga berakhir pada tahun 2021. Di sisi lain, Fitch mengestimasikan arus kas bebas Sritex pada tahun ini hanya kurang dari US$ 50 juta. ""Oleh karena itu, akses ke fasilitas bilateral tersebut bersama dengan perpanjangannya adalah kunci untuk mendukung posisi likuiditas perusahaan,"" kata Fitch. Menurut Fitch,  jika perpanjangan tenor ini berhasil disepakati, tekanan likuiditas Sritex untuk saat ini memang aman berkurang. Akan tetapi, utang SRIL, anggota indeks Kompas100 ini, justru akan terkonsentasi pada 2024. Pasalnya pada tahun itu, Sritex juga memiliki obligasi jatuh tempo senilai US$ 155 juta. Kemudian pada tahun 2025, SRIL kembali memiliki obligasi jatuh tempo sebesar US$ 225 juta.  Cek Berita dan Artikel yang lain di Google News",investasi
"Risiko Likuiditas dan Refinancing Sritex Meningkat, Fitch Pangkas Peringkat SRIL",2024-09-24T16:03:57.685Z,,Premium User Only,https:////insight.kontan.co.id/news/risiko-likuiditas-dan-refinancing-sritex-meningkat-fitch-pangkas-peringkat-sril,Premium Content - Not Scraped,insight
Kinerja Moncer Tunas Baru Lampung (TBLA) Dibayangi Risiko Likuiditas,2024-09-24T16:03:58.580Z,,Premium User Only,https:////insight.kontan.co.id/news/kinerja-moncer-tunas-baru-lampung-tbla-dibayangi-risiko-likuiditas,Premium Content - Not Scraped,insight
"Risiko Likuiditas Masih Membayangi, Prospek Saham Properti Masih Suram",2024-09-24T16:03:59.459Z,,Premium User Only,https:////insight.kontan.co.id/news/risiko-likuiditas-masih-membayangi-prospek-saham-properti-masih-suram,Premium Content - Not Scraped,insight
"Tekanan Likuiditas Menghantui Emiten BUMN, Risiko Gagal Bayar Meningkat",2024-09-24T16:04:00.286Z,,Premium User Only,https:////insight.kontan.co.id/news/tekanan-likuiditas-menghantui-emiten-bumn-risiko-gagal-bayar-meningkat,Premium Content - Not Scraped,insight
"Risiko Likuiditas, Pelaku Pasar Lebih Pilih Surat Utang Negara",2024-09-24T16:04:00.545Z,,Premium User Only,https:////insight.kontan.co.id/news/risiko-likuiditas-pelaku-pasar-lebih-pilih-surat-utang-negara,Premium Content - Not Scraped,insight
Tiphone (TELE) Dihantui Tekanan Likuiditas dan Risiko Gagal Bayar,2024-09-24T16:04:01.872Z,,Premium User Only,https:////insight.kontan.co.id/news/tiphone-tele-dihantui-tekanan-likuiditas-dan-risiko-gagal-bayar,Premium Content - Not Scraped,insight
"Likuiditas Ketat, Tiphone (TELE) Menghadapi Risiko Pembayaran Obligasi Jatuh Tempo",2024-09-24T16:04:03.061Z,,Premium User Only,https:////insight.kontan.co.id/news/likuiditas-ketat-tiphone-tele-menghadapi-risiko-pembayaran-obligasi-jatuh-tempo,Premium Content - Not Scraped,insight
"Sudah Dapat Margin dan Likuiditas, Bank Jangkar Bebas Risiko Pula",2024-09-24T16:04:03.910Z,,Premium User Only,https:////insight.kontan.co.id/news/sudah-dapat-margin-dan-likuiditas-bank-jangkar-bebas-risiko-pula,Premium Content - Not Scraped,insight
ModalSaham siasati risiko likuiditas layanan pasar sekunder,2024-09-24T16:04:04.002Z,"Rabu, 18 September 2019 / 19:34 WIB",Reporter: Dimas Andi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/modalsaham-siasati-risiko-likuiditas-layanan-pasar-sekunder,"KONTAN.CO.ID - JAKARTA. ModalSaham sebagai platform layanan investasi berbasis crowdfunding akan turut menyediakan pasar sekunder untuk memudahkan investor bertransaksi saham. CEO ModalSaham Muhammad Reza Alkhawarismi menuturkan, fasilitas ini memiliki tampilan yang lebih sederhana dibandingkan pasar sekunder yang ada di Bursa Efek Indonesia (BEI). Namun, investor dipastikan tetap bisa melakukan seluruh proses transaksi saham di ModalSaham sebagaimana mestinya. Dia menyampaikan, pihaknya juga telah menyiapkan berbagai sistem yang dapat mengontrol aktivitas di pasar sekunder. Contohnya, sistem autoreject jika terjadi pergerakan harga suatu saham yang tidak sesuai dengan kondisi fundamental perusahaan terkait. Baca Juga: Begini langkah investasi saham lewat platform ModalSaham Layanan investasi saham berbasis crowdfunding memang tergolong baru di Indonesia. Risiko likuiditas pun menjadi tantangan yang bakal dihadapi investor yang berinvestasi di ModalSaham. Reza mengakui, pihaknya tidak bisa menjamin likuiditas di pasar sekunder ModalSaham benar-benar tercipta. Pergerakan harga saham perusahaan-perusahaan yang terdaftar di ModalSaham pun akan sangat bergantung dari dinamika pasar. Namun, ModalSaham tetap melakukan upaya untuk meminimalisir risiko likuiditas tersebut. Salah satunya dengan memberikan persyaratan kepada tiap perusahaan mitra di ModalSaham. Dalam hal ini, perusahaan diharuskan untuk melakukan buyback sekitar 10%-20% atas saham yang beredar di pasar sekunder. “Kalau perusahaan dapat pendanaan Rp 1 miliar dari investor, kami kasih tahu kepada mereka bahwa 10%-20% dana tersebut harus di-buyback. Jadi perusahaan ini bisa menjadi standing buyer untuk investor yang ingin keluar dari pasar,” paparnya kepada Kontan.co.id, Rabu (18/9). Selain itu, ModalSaham juga berencana kerjasama dengan sejumlah manajer investasi untuk ikut berkecimpung di platform tersebut. Harapannya, manajer investasi ini juga bisa menjadi market maker yang menggerakkan harga saham di pasar sekunder. Baca Juga: ModalSaham menawarkan investasi saham berbasis crowdfunding Meski demikian, Reza belum bisa membeberkan secara rinci rencana tersebut, termasuk nama-nama manajer investasi yang dimaksud. “Untuk langkah awal, kami tetapkan dulu kewajiban buyback bagi masing-masing mitra,” katanya. Secara umum, Reza berharap seluruh proses perizinan dari OJK untuk operasional ModalSaham diharapkan bisa selesai pada Oktober nanti. Alhasil, proses penggalangan dana dari investor termasuk pengoperasian pasar sekunder sudah bisa dilakukan. Ia juga menyebut, di akhir tahun nanti pihaknya menargetkan mampu mengumpulkan dana dari investor untuk ke perusahaan mitra sebesar Rp 20 miliar. Cek Berita dan Artikel yang lain di Google News",investasi
"Rasio modal tebal, bank siap menghadapi risiko likuiditas",2024-09-24T16:04:04.238Z,"Minggu, 13 Januari 2019 / 15:49 WIB",Reporter: Laurensius Marshall Sautlan Sitanggang | Editor: Khomarul Hidayat,https:////keuangan.kontan.co.id/news/rasio-modal-tebal-bank-siap-menghadapi-risiko-likuiditas,"KONTAN.CO.ID - JAKARTA. Tahun ini likuiditas perbankan diprediksi masih mengetat. Namun, Otoritas Jasa Keuangan (OJK) melihat struktur permodalan perbankan saat ini masih cukup untuk meredam risiko likuiditas. Ini tercermin dari posisi rasio kecukupan modal alias capital adequacy ratio (CAR) perbankan yang berada di level 23,32% per November 2018. Besaran CAR ini relatif setara dengan tahun sebelumnya yang sebesar 23,29%. Kepala Eksekutif Pengawas Perbankan Heru Kristiyana mengatakan, jumlah CAR tersebut cukup memadai untuk mengejar target pertumbuhan kredit perbankan di tahun  sebesar 12%-14%. ""CAR 23% itu kan berarti bank di Indonesia sehat secara permodalan,"" ujarnya saat ditemui di Jakarta, Jumat (11/1). Dus, Heru  tidak terlalu khawatir dengan risiko likuiditas, lantaran bantalan yang disiapkan bank sejak beberapa waktu terakhir sudah cukup. Di sisi lain, Kepala Eksekutif Lembaga Penjamin Simpanan (LPS) Fauzi Ichsan mengatakan, tahun ini isu utama bank adalah dari sisi perebutan dana. ""Dari sisi modal (CAR) perbankan sudah sangat cukup secara industri, bahkan tertinggi di kawasan Asia,"" ungkapnya. Sekadar informasi saja, data LPS menunjukkan, CAR perbankan per November 2018 berdasarkan kelas BUKU; untuk kategori  BUKU III memiliki CAR paling tinggi menembus 26,12%. Sementara CAR BUKU II sebesar 25,01%, BUKU I 21,64% dan BUKU IV membukukan CAR 21,26% pada November 2018 lalu. Cek Berita dan Artikel yang lain di Google News",keuangan
LPS : Risiko pengetatan likuiditas masih ada,2024-09-24T16:04:04.505Z,"Kamis, 10 Januari 2019 / 17:53 WIB",Reporter: Laurensius Marshall Sautlan Sitanggang | Editor: Yudho Winarto,https:////keuangan.kontan.co.id/news/lps-risiko-pengetatan-likuditas-masih-ada,"KONTAN.CO.ID - JAKARTA. Lembaga Penjamin Simpanan (LPS) mengatakan sampai dengan akhir tahun kondisi likuiditas perbankan relatif terjaga. Namun, risiko pengetatan masih akan terjadi tahun ini yang berasal dari pertumbuhan kredit melampaui kenaikan dana pihak ketiga (DPK). Ketua Dewan Komisioner LPS Halim Alamsyah menjelaskan, berdasarkan data Otoritas Jasa Keuangan (OJK) posisi loan to deposit ratio (LDR) bank umum sudah mulai membaik. Per November 2018 posisi LDR bank umum menyentuh 92,59% membaik dari 93,06% pada bulan Oktober 2018. Sementara pertumbuhan kredit turun menjadi 12,05% secara year on year (yoy) pada November 2018 dari posisi 13,35% di bulan sebelumnya. Pada saat yang sama, pertumbuhan DPK juga mengalami penurunan terbatas menjadi 7,19% dari 7,6% pada periode yang sama. Halim menjelaskan, walau kondisi likuiditas mengetat, peran Pemerintah untuk menjaga likuiditas di tahun lalu juga terlihat. Ia menjelaskan, posisi kewajiban Bank Indonesia (BI) kepada Pemerintah Pusat turun dari Rp 170,18 triliun pada Oktober 2018 menjadi Rp 144,98 triliun pada November 2018. ""Hal ini mengindikasikan adanya injeksi likuditas di sistem keuangan dari aktivitas fiskal yang dilakukan pemerintah. Secara umum, pola realisasi anggaran pemerintah juga akan meningkat di akhir tahun,"" ujarnya di Jakarta, Kamis (10/1). Tak hanya itu, suku bunga pasar uang antar bank (JIBOR) rupiah rata-rata atau sekarang disebut INDONIA terpantau bergerak naik pada periode observasi (4 Desember 2018-3 Desember 2018) sebesar 4 bps. Sementara, secara point to point, dari posisi tanggal 3 Januari 2019 terhadap 3 Desember 2018 untuk JIBOR dengan tenor Rp 1 miliar dan Rp 3 miliar masing-masing mengalami kenaikan 19 bps dan 3 bps. Dus, melihat fakta tersebut LPS memprediksi pada periode Februari-April 2019 risiko likuiditas diperkirakan akan cenderung moderat-stabil. Hal ini utamanya didongkrak dari kondisi ekonomi secara global. Terutama, pasca FOMC di bulan Desember 2018, tahun ini The Fed diperkirakan akan mengambil kebijakan yang lebih dovish alias tidak akan sedrastis tahun lalu. Di sisi lain, isu perang dagang cenderung mereda meski terdapat potensi berlanjut setelah berakhirnya negosiasi AS-China di akhir Maret 2019. ""Sentimen ini diharapkan dapat mengurangi volatilitas di pasar keuangan dan berdampak positif terhadap likuiditas pasar keuangan domestik,"" katanya. Halim juga menambahkan, akibat adanya resiko pengetatan likuiditas dan penyesuaian suku bunga, penyaluran kredit perbankan di awal kuartal I 2019 diperkirakan akan cenderung melambat. Cek Berita dan Artikel yang lain di Google News",keuangan
"Risiko likuiditas bank kecil paling besar, ini komentar bankir",2024-09-24T16:04:04.656Z,"Rabu, 28 November 2018 / 22:25 WIB",Reporter: Galvan Yudistira | Editor: Herlina Kartika Dewi,https:////keuangan.kontan.co.id/news/risiko-likuiditas-bank-kecil-paling-besar-ini-komentar-bankir,"KONTAN.CO.ID - JAKARTA. Risiko likuiditas merupakan momok yang harus dihadapi industri perbankan sampai akhir tahun dan pada tahun depan. Risiko likuiditas ini berbeda-beda tergantung kelompok bank. Nah, bank kecil diperkirakan bakal merasakan efek terbesar akibat perebutan likuiditas. Selain persaingan memperebutkan dana pihak ketiga antar kelompok bank, bank kecil juga harus menghadapi persaingan memperebutkan dana dengan instrument investasi lain seperti ORI, Sukri dan SBR. Menanggapi hal ini, Henky Suryaputra Chief Financial Officer Bank Sahabat Sampoerna mengaku sudah memiliki strategi untuk mengatasi risiko likuiditas. “Kami tidak ingin ikut terpengaruh ke perang bunga degan bank lain,” kata Henky kepada kontan.co.id, Rabu (28/11). Sampai akhir tahun DPK Bank Sahabat Sampoerna diperkirakan masih akan tumbuh 14% secara year on year (yoy). Ferry Koswara, Direktur Operasional Bank of India Indonesia memperkirakan loan to deposit ratio (LDR) sampai akhir tahun sebesar 80%-90%. Cek Berita dan Artikel yang lain di Google News",keuangan
