Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Utang Membengkak, Risiko Gagal Bayar Mengintai Amerika Serikat",2024-09-24T16:03:32.503Z,"Kamis, 16 Februari 2023 / 14:50 WIB",Reporter: Diki Mardiansyah | Editor: Herlina Kartika Dewi,https:////internasional.kontan.co.id/news/utang-membengkak-risiko-gagal-bayar-mengintai-amerika-serikat,"KONTAN.CO.ID - WASHINGTON. Gejolak utang di Amerika Serikat (AS) makin memanas setelah mencapai ambang batas atas plafon pinjaman sebesar US$ 31,4 triliun. Negara berjuluk Paman Sam ini pun akan menghadapi risiko gagal bayar utang sebelum Juli apabila plafon tidak segera dinaikkan. Gagal bayar kemungkinan akan berimbas pada mengurangi 3 juta pekerjaan di AS dan menaikkan biaya KPR tenor 30 tahun. Melansir Reuters pada Kamis (16/2), Kantor Anggaran Kongres (CBO) menyatakan bahwa Departemen Keuangan AS bakal kehabisan kemampuan untuk membayar semua tagihannya antara bulan Juli dan September, kecuali jika batas pinjaman sebesar US$ 31,4 triliun saat ini dinaikkan atau ditangguhkan. Baca Juga: The Fed Akan Lakukan Stress Test Ketahanan Bank Besar Hadapi Krisis Ekonomi Dalam sebuah laporan yang diterbitkan bersamaan dengan prospek anggaran tahunannya, CBO non-partisan memperingatkan bahwa gagal bayar utang federal dapat terjadi sebelum bulan Juli jika pemasukan yang masuk ke Departemen Keuangan pada bulan April melampaui perkiraan. CBO menegaskan belum bisa dipastikan secara pasti tenggat waktu akhir mengenai gagal bayar tersebut. Pemerintah pun mengaku sulit memprediksinya. Hal ini lantaran laju pendapatan yang masih akan masuk, ditambah dengan kinerja ekonomi AS dalam beberapa bulan mendatang. ""Jika batas utang tidak dinaikkan atau ditangguhkan sebelum langkah-langkah luar biasa akan habis antara Juli dan September 2023, pemerintah tidak akan mampu membayar kewajibannya secara penuh,"" kata laporan CBO. Secara terpisah, CBO mengatakan defisit anggaran tahunan AS akan mencapai rata-rata US$2 triliun antara tahun 2024 dan 2033, mendekati rekor era pandemi pada akhir dekade ini. Sementara itu, CBO memperkirakan tingkat pengangguran sebesar 4,7% tahun ini, jauh di atas 3,4% saat ini. Direktur CBO Phillip Swagel mengaitkan kenaikan ini dengan kenaikan suku bunga tinggi yang secara khusus menghantam industri perumahan, ditambah dengan melambatnya investasi bisnis. Analisis ini mencerminkan dampak penuh dari undang-undang pengeluaran baru-baru ini, termasuk investasi dalam energi bersih dan semikonduktor serta pengeluaran militer yang lebih tinggi, bersama dengan biaya perawatan kesehatan, pensiun, dan bunga yang lebih tinggi. Analisis ini mengasumsikan tidak ada perubahan dalam undang-undang perpajakan dan pengeluaran selama satu dekade ke depan. Baca Juga: IMF Menaikkan Estimasi Pertumbuhan Ekonomi Global Tahun Ini Jadi 2,9% ""Dalam jangka panjang, proyeksi kami menunjukkan bahwa perubahan-perubahan dalam kebijakan fiskal harus dilakukan untuk mengatasi kenaikan biaya bunga dan mengurangi konsekuensi-konsekuensi buruk lainnya dari utang yang tinggi dan terus meningkat,"" kata Swagel dalam sebuah pernyataan. Setelah mencapai batas pinjaman US$ 31,4 triliun pada 19 Januari 2023, Menteri Keuangan Janet Yellen mengatakan bahwa Departemen Keuangan dapat mempertahankan pembayaran utang, tunjangan federal, dan melakukan pengeluaran lain setidaknya sampai 5 Juni dengan menggunakan penerimaan kas dan langkah-langkah manajemen kas. Batas pinjaman tersebut juga mendorong Departemen Keuangan AS untuk memulai langkah-langkah yang memungkinkannya melanjutkan pembiayaan kegiatan pemerintah.",internasional
Risiko Gagal Bayar Surat Utang Korporasi Diprediksi Lebih Mini,2024-09-24T16:03:32.731Z,,Premium User Only,https:////insight.kontan.co.id/news/risiko-gagal-bayar-surat-utang-korporasi-diprediksi-lebih-mini,Premium Content - Not Scraped,insight
Badan Anggaran DPR Ingatkan Risiko Utang,2024-09-24T16:03:33.603Z,,Premium User Only,https:////insight.kontan.co.id/news/badan-anggaran-dpr-ingatkan-risiko-utang,Premium Content - Not Scraped,insight
Bank Sentral Korea Perkirakan Risiko Pembayaran Utang Pebisnis Kecil Melonjak di 2023,2024-09-24T16:03:34.444Z,,Premium User Only,https:////insight.kontan.co.id/news/bank-sentral-korea-perkirakan-risiko-pembayaran-utang-pebisnis-kecil-melonjak-di-2023,Premium Content - Not Scraped,insight
Risiko Utang Menghambat Pemulihan Jangka Panjang,2024-09-24T16:03:35.274Z,,Premium User Only,https:////insight.kontan.co.id/news/risiko-utang-menghambat-pemulihan-jangka-panjang,Premium Content - Not Scraped,insight
Peringatan Bank Dunia Soal Risiko Utang Tersembunyi,2024-09-24T16:03:35.477Z,"Senin, 21 Februari 2022 / 05:10 WIB",Reporter: Bidara Pink | Editor: Khomarul Hidayat,https:////newssetup.kontan.co.id/news/peringatan-bank-dunia-soal-risiko-utang-tersembunyi-1,"KONTAN.CO.ID -  JAKARTA. Bank Dunia mewanti-wanti masih ada risiko yang membayangi proses pemulihan ekonomi negara-negara berkembang dari pandemi Covid-19.  Salah satu risiko jangka panjang yang menurut Bank Dunia perlu diwaspadai adalah adanya utang tersembunyi. “Ada risiko yang muncul terkait pemulihan ekonomi dalam jangka panjang, seperti utang tersembunyi dan kewajiban liabilitas yang kemungkinan baru terungkap beberapa waktu kemudian,” tulis Bank Dunia dalam laporan terbarunya, seperti dikutip Minggu (20/2). Sudah menjadi pengetahuan umum, pandemi Covid-19 ini memberikan dampak negatif terhadap negara-negara di dunia. Tak hanya menelan korban jiwa, tetapi juga menyebabkan gonjang-ganjing dari sisi ekonomi. Baca Juga: BI: Perubahan Iklim Berpotensi Ganggu Stabilitas Moneter dan Sistem Keuangan Pemerintah di negara-negara dunia, termasuk negara berkembang sudah menggelontorkan berbagai stimulus untuk mengurangi dampak buruk pandemi Covid-19.  Stimulus ini efektif, tetapi di sisi laini memperburuk kerentanan keuangan yang bahkan sebelumnya sudah ada, karena ada peningkatan utang sektor swasta maupun publik yang signifikan. Utang ini bila tidak ditangani dengan tepat akan menjadi ancaman bagi pemulihan dalam jangka panjang, termasuk adanya utang tersembunyi ini. Ketika dampak langsung dari pandemi kemudian mereda, para pemangku kebijakan akan menghadai tantangan yang sulit, yaitu untuk mencapai keseimbangan antara tetap memberikan dukungan untuk menanggulangi dampak krisis sekaligus membatasi risiko jangka panjang yang mungkin timbul dari respon kebijakan yang sudah digulirkan. Baca Juga: Bank Dunia: Peningkatan Suku Bunga The Fed Jadi Dilema Bank Indonesia Cek Berita dan Artikel yang lain di Google News",newssetup
Bank Dunia: Utang Tersembunyi Jadi Risiko Ekonomi Jangka Panjang,2024-09-24T16:03:35.736Z,"Minggu, 20 Februari 2022 / 15:22 WIB",Reporter: Bidara Pink | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/bank-dunia-utang-tersembunyi-jadi-risiko-ekonomi-jangka-panjang,"KONTAN.CO.ID - JAKARTA. Bank Dunia melihat masih ada risiko yang membayangi proses pemulihan ekonomi negara-negara berkembang dari pandemi Covid-19.  Salah satu risiko jangka panjang yang menurut Bank Dunia perlu diwaspadai adalah adanya utang tersembunyi. “Ada risiko yang muncul terkait pemulihan ekonomi dalam jangka panjang, seperti utang tersembunyi dan kewajiban liabilitas yang kemungkinan baru terungkap beberapa waktu kemudian,” tulis Bank Dunia dalam laporan terbarunya, seperti dikutip Minggu (20/2). Sudah menjadi pengetahuan umum, pandemi Covid-19 ini memberikan dampak negatif terhadap negara-negara di dunia. Tak hanya menelan korban jiwa, tetapi juga menyebabkan gonjang-ganjing dari sisi ekonomi. Baca Juga: BI: Perubahan Iklim Berpotensi Ganggu Stabilitas Moneter dan Sistem Keuangan Pemerintah di negara-negara dunia, termasuk negara berkembang sudah menggelontorkan berbagai stimulus untuk mengurangi dampak buruk pandemi Covid-19.  Stimulus ini efektif, tetapi di sisi laini memperburuk kerentanan keuangan yang bahkan sebelumnya sudah ada, karena ada peningkatan utang sektor swasta maupun publik yang signifikan. Utang ini bila tidak ditangani dengan tepat akan menjadi ancaman bagi pemulihan dalam jangka panjang, termasuk adanya utang tersembunyi ini. Ketika dampak langsung dari pandemi kemudian mereda, para pemangku kebijakan akan menghadai tantangan yang sulit, yaitu untuk mencapai keseimbangan antara tetap memberikan dukungan untuk menanggulangi dampak krisis sekaligus membatasi risiko jangka panjang yang mungkin timbul dari respon kebijakan yang sudah digulirkan. Baca Juga: Bank Dunia: Peningkatan Suku Bunga The Fed Jadi Dilema Bank Indonesia Cek Berita dan Artikel yang lain di Google News",nasional
IMF Beberkan Risiko Pembelian Surat Utang Pemerintah oleh Bank Sentral,2024-09-24T16:03:35.855Z,"Selasa, 11 Januari 2022 / 12:06 WIB",Reporter: Bidara Pink | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/imf-beberkan-risiko-pembelian-surat-utang-pemerintah-oleh-bank-sentral,"KONTAN.CO.ID -  JAKARTA. Di tengah pandemi Covid-19, bank-bank sentral dunia turut memborong surat utang pemerintah untuk mendanai penanganan pandemi Covid-19, tak terkecuali Bank Indonesia (BI). Dana Moneter Internasional (IMF) memandang langkah pembelian aset ini memang bisa menjadi alat yang efektif karnea membantu mengurangi tekanan pasar keuangan tanpa memicu arus keluar modal atau tekanan lebih pada nilai tukar. Namun, tetap saja, meski pembelian aset ini membantu bank-bank sentral melaksanakan mandatnya, langkah ini tetap mengandung risiko. “Risiko yang muncul terkait dengan isu independensi bank sentral dan juga stabilitas harga,” tulis lembaga tersebut dalam laman resmi IMFBlog, seperti dikutip Selasa (11/1). Baca Juga: Ini Imbauan IMF bagi Negara Berkembang untuk Merespon Kenaikan Bunga di AS IMF menjabarkan lebih lanjut risiko yang muncul dari langkah pembelian aset oleh bank sentral. Pertama, dampak kepada neraca bank sentral itu sendiri. Hal ini terjadi ketika bank sentral membeli surat utang pemerintah atau surat utang korporasi dengan suku bunga rendah. Namun, pada mendekati jatuh tempo, tiba-tiba ada peningkatan drastis suku bunga jatuh tempo. Kondisi tersebut bisa membuat bank sentral merugikan posisi keuangan sendiri. Makanya, IMF mengimbau bank sentral tak terlalu jor-joran dalam membeli aset. Kedua, adanya potensi dominasi fiskal. Dalam hal ini, pemerintah menekan bank sentral untuk memenuhi tujuan pemerintah. Bisa saja dengan langkah ini, pemerintah menjadi terbiasa dengan pembiayaan utang yang murah, sehingga akan meminta bank sentral untuk terus melanjutkan pembelian aset bahkan jika inflasi naik. Baca Juga: IMF: Pandemi Covid-19 torehkan luka dalam bagi prospek perekonomian Imbasnya, kepercayaan pihak lain kepada bank sentral menjadi turun. dalam hal ini, kemampuan bank sentral untuk menjaga inflasi yang stabil dan rendah karena langkah pembelian aset terus menerus bisa memicu periode inflasi yang tinggi dan bergejolak. IMF kemudian memberikan imbauan lebih lanjut. “Prinsip yang kritikal, bank sentral harus memiliki keleluasaan untuk menyesuaikan tingkat kebijakannya, sesuai kebutuhan untuk mencapai tujuan dan tidak menciptakan lambungan inflasi,” tutur mereka.",nasional
Tunas Baru Lampung (TBLA) Dibayang-bayangi Risiko Refinancing Utang Obligasi,2024-09-24T16:03:36.694Z,,Premium User Only,https:////insight.kontan.co.id/news/tunas-baru-lampung-tbla-dibayang-bayangi-risiko-refinancing-utang-obligasi,Premium Content - Not Scraped,insight
"Risiko gagal bayar utang Evergrande merisaukan, ini yang dicari investor",2024-09-24T16:03:36.853Z,"Rabu, 22 September 2021 / 05:45 WIB",Sumber: Reuters | Editor: Noverius Laoli,https:////newssetup.kontan.co.id/news/risiko-gagal-bayar-utang-evergrande-merisaukan-ini-yang-dicari-investor,"KONTAN.CO.ID -  HONG KONG. Risiko gagal bayar China Evergrande Group atas utangnya yang menggunung menekan bursa saham sejumlah negara pada hari Selasa (21/9). Investor tengah mencermati tanda-tanda intervensi Beijing untuk membendung potensi efek domino kebangkrutan perusahaan properti tersebut terhadap ekonomi global. Sejumlah analis memandang kecil ancaman gagal bayar utang Evergrande menjadi seperti momen kasus Lehman Brothers yang menyulut krisis ekonomi global. Kendati analis juga tak menepis adanya kekhawatiran mengenai risiko limpahan dari kehancuran Evergrande, yang dulunya pengembang properti terlaris di China, bakal mengguncang pasar keuangan global. Baca Juga: Evergrande punya utang ke 128 bank, ini bank yang punya eksposure tertinggi Melansir Reuters, untuk meredakan kecemasan investor, Chairman Evergrande, Hui Ka Yuang, mengatakan, dalam surat kepada staf perusahaan bahwa mereka yakin dapat keluar dari momen tergelapnya dan memberikan proyek properti seperti yang dijanjikan. Dalam surat itu, bertepatan dengan festival pertengahan musim gugur China, ketua pengembang properti yang sarat utang, juga mengatakan Evergrande akan memenuhi tanggung jawab kepada pembeli properti, investor, mitra, dan lembaga keuangan. Investor di Evergrande, bagaimanapun, tetap gelisah. Sahamnya dijual kembali pada hari Selasa, turun sebanyak 7%, setelah jatuh 10% pada hari sebelumnya di tengah kekhawatiran utangnya yang sebesar US$ 305 miliar dapat memicu kerugian yang meluas dalam sistem keuangan China jika terjadi keruntuhan. Baca Juga: Krisis Evergrande menyeret harga Bitcoin kian dalam, hampir terlempar dari US$ 40.000 Saham properti lainnya seperti Sunac, pengembang properti No.4 China, dan Greentown China yang didukung negara pada hari Selasa menutup beberapa kerugian besar mereka di sesi sebelumnya.",newssetup
