Title,Scrapping Date,Article Date,Author,Link,Content,Category
Target Rasio Utang Pemerintah Dinilai Terlalu Optimistis,2024-09-24T16:05:16.091Z,,Premium User Only,https:////insight.kontan.co.id/news/target-rasio-utang-pemerintah-dinilai-terlalu-optimistis,Premium Content - Not Scraped,insight
"Pemerintah Targetkan Rp 33 triliun Pada Lelang Surat Utang Negara, Selasa (6/8)",2024-09-24T16:05:16.365Z,"Senin, 05 Agustus 2024 / 14:20 WIB",Reporter: Akmalal Hamdhi | Editor: Tri Sulistiowati,https:////keuangan.kontan.co.id/news/pemerintah-targetkan-rp-33-triliun-pada-lelang-surat-utang-negara-selasa-68,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (6/8). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat delapan (8) seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang besok, Selasa (6/8): 1. SPN03241106 (New Issuance) akan jatuh tempo pada tanggal 6 November 2024 dengan tingkat imbalan diskonto 2. SPN12250807 (New Issuance) akan jatuh tempo pada tanggal 7 Agustus 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FRSDG001 akan jatuh tempo pada tanggal 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37% 5. FR0103 (New Issuance) akan jatuh tempo pada tanggal 15 Juli 2035 dengan tingkat bunga tetap (fixed rate) dan akan ditetapkan pada tanggal 6 Agustus 2024. Pembayaran kupon seri baru (new issuance) FR0103 adalah semi-annually pada 15 Januari dan 15 Juli dengan pembayaran pertama pada 15 Januari 2025. 6. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 7. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan tingkat imbalan sebesar 6,87% Pada lelang SUN ini kembali ditawarkan Seri FRSDG001 yang merupakan seri Sustainable Development Goals (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 6 Agustus 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 8 Agustus 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News",keuangan
"Per Juni 2024, Utang Pemerintah Naik Tembus Rp 8.444,87 Triliun",2024-09-24T16:05:16.677Z,"Selasa, 30 Juli 2024 / 09:10 WIB",Reporter: Dendi Siswanto | Editor: Putri Werdiningsih,https:////nasional.kontan.co.id/news/per-juni-2024-utang-pemerintah-naik-tembus-rp-844487-triliun,"KONTAN.CO.ID-JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat posisi utang pemerintah kembali mengalami peningkatan per akhir Juni 2024 atau semester I-2024. Per akhir Juni 2024, posisi utang pemerintah mencapai Rp 8.444,87 triliun. Berdasarkan dokumen Anggaran Pendapatan dan Belanja Negara (APBN), secara nominal, posisi utang pemerintah tersebut bertambah Rp 91,85 triliun atau meningkat 1,09% dibandingkan posisi utang pada akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara itu, rasio utang pemerintah terhadap Produk Domestik Bruto (PDB) sebesar 39,13%. Angka ini juga meningkat dari rasio utang terhadap PDB bulan sebelumnya yang sebesar 38,71%. Kemenkeu menyatakan, rasio utang yang tercatat per akhir Juni 2024 ini masih di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2023 tentang Keuangan Negara. ""Pemerintah mengelola utang secara cermat dan terukur untuk mencapai portofolio utang yang optimal dan mendukung pengembangan pasar keuangan domestik,"" tulis Kemenkeu dalam laporannya, dikutip Senin (29/7). Baca Juga: Naikkan Credit Rating, Probowo Ingin Biaya Utang Bisa Lebih Murah Selain itu, pemerintah mengutamakan pengadaan utang dengan jangka waktu menengah-panjang dan melakukan pengelolaan portofolio utang secara aktif. Per akhir Juni 2024, profil jatuh tempo utang pemerintah terhitung cukup aman dengan rata-rata tertimbang jatuh tempo (average time maturiy/ATM) di 7,98 tahun. ""Disiplinnya pemerintah mengelola utang turut menopang hasil asesmen lembaga pemeringkat kredit (S&P, Fitch, Moody’s, R&I, dan JCR) yang hingga saat ini tetap mempertahankan rating Sovereign Indonesia pada level investment grade di tengah dinamika perekonomian global dan volatilitas pasar keuangan,"" katanya Secara rinci, utang pemerintah didominasi oleh instrumen Surat Berharga Negara (SBN) yang kontribusinya sebesar 87,85%. Hingga akhir Juni 2024, penerbitan SBN tercatat sebesar Rp 7.418,76 triliun. Penerbitan ini juga terbagi menjadi SBN domestik dan SBN valuta asing (valas). Baca Juga: Utang Indonesia ke China Terus Meningkat di Era Jokowi Dalam laporan tersebut, SBN Domestik tercatat sebanyak Rp 5.967,70 triliun yang terbagi menjadi Surat Utang Negara (SUN) sebesar Rp 4.732,71 triliun serta Surat Berharga Syariah Negara (SBSN) sebesar Rp 1.234,99 triliun.Sementara itu, SBN Valas yang tercatat adalah sebesar Rp 1.451,07 triliun dengan rincian, SUN sebesar Rp 1.091,63 triliun dan SBSN senilai Rp 359,44 triliun. Kemenkeu juga memaparkan, utang pemerintah tersebut ada kontribusi 12,15% dari utang pinjaman pemerintah hingga akhir Juni 2024 yang sebesar Rp 1.026,11 triliun. Pinjaman ini dirincikan dalam dua kategori yakni pinjaman dalam negeri sebanyak Rp 38,10 triliun dan pinjaman luar negeri sebesar Rp 988,01 triliun. Untuk pinjaman luar negeri, rinciannya yakni pinjaman bilateral sebesar Rp 263,72 triliun, pinjaman multilateral Rp 600,47 triliun, dan pinjaman commercial bank sebesar Rp 123,83 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
Ekonom: Kenaikan Utang Pemerintah Harus Bisa Mendorong Pertumbuhan Ekonomi,2024-09-24T16:05:16.878Z,"Selasa, 30 Juli 2024 / 06:25 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/ekonom-kenaikan-utang-pemerintah-harus-bisa-mendorong-pertumbuhan-ekonomi,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat, posisi utang pemerintah hingga semester I-2024 atau per Juni 2024 mencapai Rp 8.444,87 triliun, naik 1,09% dibandingkan akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara itu, rasio utang pemerintah terhadap Produk Domestik Bruto (PDB) sebesar 39,13%. Angka ini juga meningkat dari rasio utang terhadap PDB bulan sebelumnya yang sebesar 38,71%. Kepala Ekonom Bank Permata Josua Pardede menilai bahwa rasio utang pada periode tersebut masih dalam batas aman yang mengindikasikan bahwa pengelolaan utang masih prudent. Namun, ke depannya arah rasio utang terhadap PDB akan sangat bergantung kepada proyeksi defisit fiskal ke depannya. Baca Juga: Waspada! Rasio Utang Pemerintah per Semester I-2024 Hampir Mendekati 40% dari PDB ""Apabila defisit fiskal masih terjaga di bawah 3% terhadap PDB, kami melihat bahwa untuk rasio utang terhadap PDB masih akan tetap stabil,"" ujar Josua kepada Kontan.co.id, Senin (29/7). Apabila pemerintah mampu menjaga defisit fiskal di bawah 3% PDB, Josua memperkirakan rasio utang masih akan tetap berada pada kisaran 39% hingga 40% dari PDB. ""Belum ada indikasi bahwa kenaikan utang ini akan meningkat di atas level itu,"" katanya. Josua melihat, beban pembayaran utang masih akan cukup tinggi pada periode 2025 hingga 2026. Namun setelah itu, beban pembayaran utang pemerintah cenderung akan mulai melandai atau ada normalisasi. Kendati begitu, Josua mengingatkan faktor pentingnya bahwa kenaikan utang pemerintah seharusnya juga diikuti dengan peningkatan pertumbuhan ekonomi Indonesia mengingat akan menjadi salah satu hal yang dilihat oleh lembaga rating internasional. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun ""Kalau kenaikan utang tidak bisa merefleksikan pertumbuhan ekonomi yang cukup solid tentunya ini akan menjadi pertanyaan besar bahwa produktivitas dari utang cenderung menurun, kalau pertumbuhan ekonomi kita hanya akan ada di kisaran 5%-an saja,"" imbuhnya. Untuk diketahui, Badan Pusat Statistik (BPS) mencatat, perekonomian Indonesia pada kuartal I-2024 tumbuh 5,11% secara year on year (YoY). Pertumbuhan ekonomi ini meningkat dari kuartal IV-2023 yang hanya 5,04%. Cek Berita dan Artikel yang lain di Google News",nasional
Hati-hati! Rasio Utang Pemerintah Per Semester I-2024 Hampir Mendekati 40% dari PDB,2024-09-24T16:05:17.167Z,"Selasa, 30 Juli 2024 / 05:25 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/hati-hati-rasio-utang-pemerintah-per-semester-i-2024-hampir-mendekati-40-dari-pdb,"KONTAN.CO.ID - JAKARTA. Pemerintah tampaknya harus lebih berhati-hati dalam mengelola utang. Berdasarkan data Kementerian Keuangan (Kemenkeu), posisi utang pemerintah hingga semester I-2024 atau per Juni 2024 mencapai Rp 8.444,87 triliun. Angka ini meningkat 1,09% dibandingkan posisi utang pada akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara berdasarkan angka rasio utang terhadap Produk Domestik Bruto (PDB), tercatat sebesar 39,13% dari PDB. Angka ini nyaris mendekati level 40% dari PDB, seperti pada saat pandemi Covid-19 di mana rasio utang terhadap PDB per Desember 2021 mencapai 40,74%. Sementara pada Desember 2022 tercatat 39,70% PDB dan pada Desember 2023 tercatat 39,21% dari PDB. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun Memang, rasio utang per akhir Juni 2024 yang sebesar 39,13% terhadap PBB diklaim tetap konsisten terjaga di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara. Namun, tidak ada salahnya ini menjadi lampu kuning agar pemerintah lebih berhati-hati dalam melakukan pengelolaan utang. Lampu kuning pengelolaan utang juga disoroti oleh para ekonom. Direktur Riset Bidang Makroekonomi dan Kebijakan Fiskal Moneter CORE Indonesia, Akhmad Akbar Susanto menilai bahwa apabila menggunakan indikator rasio utang pemerintah terhadap PDB memang masih dalam batas aman. Hanya saja, apabila menggunakan indikator lain seperti lembaga internasional, debt to revenue ratio atau rasio utang pemerintah terhadap pendapatan sudah mencapai 300% pada posisi per 31 Mei 2024. Angka ini melonjak tajam jika dibandingkan posisi 31 Desember 2023 yang hanya 292,6%. Oleh karena itu, Akbar menilai posisi utang pemerintah terhadap pendapatan cenderung tidak aman lantaran melebihi batas yang ditetapkan oleh International Monetary Fund (IMF) dalam range 90% hingga 150%. Tidak hanya itu, angka ini juga melebihi batas yang ditetetapkan oleh International Debt Relief yang berada pada kisaran 92% hingga 167%. Baca Juga: Naikkan Credit Rating, Probowo Ingin Biaya Utang Bisa Lebih Murah ""Itu kalau kita lihat bahwa posisi (utang pemerintah) kita sudah gak aman. Baik kalau kita mengikuti versi IMF maupun menurut versi International Debt Relief. Jadi kalau kita lihat indikator-indikator disitu kita sudah gak aman,"" ujar Akbar dalam acara Midyear Review CORE Indonesia 2024, Selasa (23/7). Cek Berita dan Artikel yang lain di Google News",nasional
"Hati-Hati, Rasio Utang Pemerintah Mendekati Level 40% PDB",2024-09-24T16:05:17.997Z,,Premium User Only,https:////insight.kontan.co.id/news/hati-hati-rasio-utang-pemerintah-mendekati-level-40-pdb,Premium Content - Not Scraped,insight
"Utang Pemerintah Naik, Ekonom: Harus Bisa Mendorong Pertumbuhan Ekonomi",2024-09-24T16:05:18.186Z,"Senin, 29 Juli 2024 / 18:50 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/utang-pemerintah-naik-ekonom-harus-bisa-mendorong-pertumbuhan-ekonomi,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat, posisi utang pemerintah hingga semester I-2024 atau per Juni 2024 mencapai Rp 8.444,87 triliun, naik 1,09% dibandingkan akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara itu, rasio utang pemerintah terhadap Produk Domestik Bruto (PDB) sebesar 39,13%. Angka ini juga meningkat dari rasio utang terhadap PDB bulan sebelumnya yang sebesar 38,71%. Kepala Ekonom Bank Permata Josua Pardede menilai bahwa rasio utang pada periode tersebut masih dalam batas aman yang mengindikasikan bahwa pengelolaan utang masih prudent. Namun, ke depannya arah rasio utang terhadap PDB akan sangat bergantung kepada proyeksi defisit fiskal ke depannya. Baca Juga: Waspada! Rasio Utang Pemerintah per Semester I-2024 Hampir Mendekati 40% dari PDB ""Apabila defisit fiskal masih terjaga di bawah 3% terhadap PDB, kami melihat bahwa untuk rasio utang terhadap PDB masih akan tetap stabil,"" ujar Josua kepada Kontan.co.id, Senin (29/7). Apabila pemerintah mampu menjaga defisit fiskal di bawah 3% PDB, Josua memperkirakan rasio utang masih akan tetap berada pada kisaran 39% hingga 40% dari PDB. ""Belum ada indikasi bahwa kenaikan utang ini akan meningkat di atas level itu,"" katanya. Josua melihat, beban pembayaran utang masih akan cukup tinggi pada periode 2025 hingga 2026. Namun setelah itu, beban pembayaran utang pemerintah cenderung akan mulai melandai atau ada normalisasi. Kendati begitu, Josua mengingatkan faktor pentingnya bahwa kenaikan utang pemerintah seharusnya juga diikuti dengan peningkatan pertumbuhan ekonomi Indonesia mengingat akan menjadi salah satu hal yang dilihat oleh lembaga rating internasional. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun ""Kalau kenaikan utang tidak bisa merefleksikan pertumbuhan ekonomi yang cukup solid tentunya ini akan menjadi pertanyaan besar bahwa produktivitas dari utang cenderung menurun, kalau pertumbuhan ekonomi kita hanya akan ada di kisaran 5%-an saja,"" imbuhnya. Untuk diketahui, Badan Pusat Statistik (BPS) mencatat, perekonomian Indonesia pada kuartal I-2024 tumbuh 5,11% secara year on year (YoY). Pertumbuhan ekonomi ini meningkat dari kuartal IV-2023 yang hanya 5,04%. Cek Berita dan Artikel yang lain di Google News",nasional
TKN Prabowo Juga Khawatir Soal Utang Pemerintah yang Kian Menumpuk,2024-09-24T16:05:18.315Z,"Senin, 29 Juli 2024 / 18:18 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/tkn-prabowo-juga-khawatir-soal-utang-pemerintah-yang-kian-menumpuk,"KONTAN.CO.ID - JAKARTA. Tim Kampanye Nasional (TKN) Prabowo-Gibran, Anggawira ikut menyoroti soal posisi utang pemerintah yang semakin mengkhawatirkan. Anggawira melihat, meski rasio utang pemerintah saat ini disebut-sebut masih dalam batas yang aman, namun pemerintah juga harus melihat dari indikator lainnya seperti yang ditetapkan IMF. ""Utang ini jangan dilihat secara parsial. mungkin dalam ukuran-ukuran tertentu masih dianggap aman. Tetapi ada ukuran lain yang dianggap (utang) kita sudah masuk lampu kuning,"" ujar Anggawira kepada awak media di Jakarta, Senin (29/7). Baca Juga: Waspada! Rasio Utang Pemerintah per Semester I-2024 Hampir Mendekati 40% dari PDB Apabila melihat angka debt to revenue ratio atau rasio utang pemerintah terhadap pendapatan, sudah mencapai 300% pada posisi per 31 Mei 2024. Angka ini melonjak tajam jika dibandingkan posisi 31 Desember 2023 yang hanya 292,6%. Posisi utang pemerintah terhadap pendapatan ini cenderung tidak aman lantaran melebihi batas yang ditetapkan oleh International Monetary Fund (IMF) dalam range 90% hingga 167%. Oleh karena itu, Anggawira menyarankan pemerintah dalam hal ini menteri keuangan untuk lebih berhati-hati dalam melakukan pengelolaan utang. Selain itu, perlu diperhatikan pula utang pemerintah harus bersifat produk dan bukan untuk konsumtif. Anggawira juga berharap menteri keuangan yang baru di era pemerintahan Prabowo Subianto memiliki kepintaran untuk melakukan renegosiasi serta mencari sumber-sumber utang baru dengan bunga yang rendah. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun ""Kalau kita lihat kan memang bunga utang pemerintah kita kan cukup besar ya dan ini menjadi challenging menteri keuangan kita ke depan untuk bisa mendapatkan sumber pembiayaan yang murah dan efektif,"" katanya. Sebagai informasi, posisi utang pemerintah hingga semester I-2024 atau per Juni 2024 mencapai Rp 8.444,87 triliun. Angka ini meningkat 1,09% dibandingkan posisi utang pada akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara berdasarkan angka rasio utang terhadap Produk Domestik Bruto (PDB), tercatat sebesar 39,13% dari PDB. Baca Juga: Golden Visa Belum Tentu Tarik Investasi ke Tanah Air Angka ini nyaris mendekati level 40% dari PDB, seperti pada saat pandemi Covid-19 di mana rasio utang terhadap PDB per Desember 2021 mencapai 40,74%. Sementara pada Desember 2022 tercatat 39,70% PDB dan pada Desember 2023 tercatat 39,21% dari PDB. Cek Berita dan Artikel yang lain di Google News",nasional
Waspada! Rasio Utang Pemerintah per Semester I-2024 Hampir Mendekati 40% dari PDB,2024-09-24T16:05:18.457Z,"Senin, 29 Juli 2024 / 16:23 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/waspada-rasio-utang-pemerintah-per-semester-i-2024-hampir-mendekati-40-dari-pdb,"KONTAN.CO.ID - JAKARTA. Pemerintah tampaknya harus lebih berhati-hati dalam mengelola utang. Berdasarkan data Kementerian Keuangan (Kemenkeu), posisi utang pemerintah hingga semester I-2024 atau per Juni 2024 mencapai Rp 8.444,87 triliun. Angka ini meningkat 1,09% dibandingkan posisi utang pada akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara berdasarkan angka rasio utang terhadap Produk Domestik Bruto (PDB), tercatat sebesar 39,13% dari PDB. Angka ini nyaris mendekati level 40% dari PDB, seperti pada saat pandemi Covid-19 di mana rasio utang terhadap PDB per Desember 2021 mencapai 40,74%. Sementara pada Desember 2022 tercatat 39,70% PDB dan pada Desember 2023 tercatat 39,21% dari PDB. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun Memang, rasio utang per akhir Juni 2024 yang sebesar 39,13% terhadap PBB diklaim tetap konsisten terjaga di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2003 tentang Keuangan Negara. Namun, tidak ada salahnya ini menjadi lampu kuning agar pemerintah lebih berhati-hati dalam melakukan pengelolaan utang. Lampu kuning pengelolaan utang juga disoroti oleh para ekonom. Direktur Riset Bidang Makroekonomi dan Kebijakan Fiskal Moneter CORE Indonesia, Akhmad Akbar Susanto menilai bahwa apabila menggunakan indikator rasio utang pemerintah terhadap PDB memang masih dalam batas aman. Hanya saja, apabila menggunakan indikator lain seperti lembaga internasional, debt to revenue ratio atau rasio utang pemerintah terhadap pendapatan sudah mencapai 300% pada posisi per 31 Mei 2024. Angka ini melonjak tajam jika dibandingkan posisi 31 Desember 2023 yang hanya 292,6%. Oleh karena itu, Akbar menilai posisi utang pemerintah terhadap pendapatan cenderung tidak aman lantaran melebihi batas yang ditetapkan oleh International Monetary Fund (IMF) dalam range 90% hingga 150%. Tidak hanya itu, angka ini juga melebihi batas yang ditetetapkan oleh International Debt Relief yang berada pada kisaran 92% hingga 167%. Baca Juga: Naikkan Credit Rating, Probowo Ingin Biaya Utang Bisa Lebih Murah ""Itu kalau kita lihat bahwa posisi (utang pemerintah) kita sudah gak aman. Baik kalau kita mengikuti versi IMF maupun menurut versi International Debt Relief. Jadi kalau kita lihat indikator-indikator disitu kita sudah gak aman,"" ujar Akbar dalam acara Midyear Review CORE Indonesia 2024, Selasa (23/7). Cek Berita dan Artikel yang lain di Google News",nasional
"Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun",2024-09-24T16:05:18.629Z,"Senin, 29 Juli 2024 / 16:01 WIB",Reporter: Dendi Siswanto | Editor: Putri Werdiningsih,https:////nasional.kontan.co.id/news/utang-pemerintah-naik-lagi-per-juni-2024-tembus-rp-844487-triliun,"KONTAN.CO.ID-JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat posisi utang pemerintah kembali mengalami peningkatan per akhir Juni 2024 atau semester I-2024. Per akhir Juni 2024, posisi utang pemerintah mencapai Rp 8.444,87 triliun. Berdasarkan dokumen Anggaran Pendapatan dan Belanja Negara (APBN), secara nominal, posisi utang pemerintah tersebut bertambah Rp 91,85 triliun atau meningkat 1,09% dibandingkan posisi utang pada akhir Mei 2024 yang sebesar Rp 8.353,02 triliun. Sementara itu, rasio utang pemerintah terhadap Produk Domestik Bruto (PDB) sebesar 39,13%. Angka ini juga meningkat dari rasio utang terhadap PDB bulan sebelumnya yang sebesar 38,71%. Kemenkeu menyatakan, rasio utang yang tercatat per akhir Juni 2024 ini masih di bawah batas aman 60% PDB sesuai Undang-Undang Nomor 17 Tahun 2023 tentang Keuangan Negara. ""Pemerintah mengelola utang secara cermat dan terukur untuk mencapai portofolio utang yang optimal dan mendukung pengembangan pasar keuangan domestik,"" tulis Kemenkeu dalam laporannya, dikutip Senin (29/7). Baca Juga: Naikkan Credit Rating, Probowo Ingin Biaya Utang Bisa Lebih Murah Selain itu, pemerintah mengutamakan pengadaan utang dengan jangka waktu menengah-panjang dan melakukan pengelolaan portofolio utang secara aktif. Per akhir Juni 2024, profil jatuh tempo utang pemerintah terhitung cukup aman dengan rata-rata tertimbang jatuh tempo (average time maturiy/ATM) di 7,98 tahun. ""Disiplinnya pemerintah mengelola utang turut menopang hasil asesmen lembaga pemeringkat kredit (S&P, Fitch, Moody’s, R&I, dan JCR) yang hingga saat ini tetap mempertahankan rating Sovereign Indonesia pada level investment grade di tengah dinamika perekonomian global dan volatilitas pasar keuangan,"" katanya Secara rinci, utang pemerintah didominasi oleh instrumen Surat Berharga Negara (SBN) yang kontribusinya sebesar 87,85%. Hingga akhir Juni 2024, penerbitan SBN tercatat sebesar Rp 7.418,76 triliun. Penerbitan ini juga terbagi menjadi SBN domestik dan SBN valuta asing (valas). Baca Juga: Utang Indonesia ke China Terus Meningkat di Era Jokowi Dalam laporan tersebut, SBN Domestik tercatat sebanyak Rp 5.967,70 triliun yang terbagi menjadi Surat Utang Negara (SUN) sebesar Rp 4.732,71 triliun serta Surat Berharga Syariah Negara (SBSN) sebesar Rp 1.234,99 triliun.Sementara itu, SBN Valas yang tercatat adalah sebesar Rp 1.451,07 triliun dengan rincian, SUN sebesar Rp 1.091,63 triliun dan SBSN senilai Rp 359,44 triliun. Kemenkeu juga memaparkan, utang pemerintah tersebut ada kontribusi 12,15% dari utang pinjaman pemerintah hingga akhir Juni 2024 yang sebesar Rp 1.026,11 triliun. Pinjaman ini dirincikan dalam dua kategori yakni pinjaman dalam negeri sebanyak Rp 38,10 triliun dan pinjaman luar negeri sebesar Rp 988,01 triliun. Untuk pinjaman luar negeri, rinciannya yakni pinjaman bilateral sebesar Rp 263,72 triliun, pinjaman multilateral Rp 600,47 triliun, dan pinjaman commercial bank sebesar Rp 123,83 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
