Title,Scrapping Date,Article Date,Author,Link,Content,Category
Yield US Treasury dan SBN Turun Akibat Fenomena Flight to Safety,2024-09-24T16:12:25.997Z,"Rabu, 11 Oktober 2023 / 10:59 WIB",Reporter: Nur Qolbi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/yield-us-treasury-dan-sbn-turun-akibat-fenomena-flight-to-safety,"KONTAN.CO.ID - JAKARTA. Fenomena flight to safety juga terjadi di pasar obligasi pemerintah Amerika Serikat atau US Treasury (UST) yang baru dibuka tadi malam, Selasa (10/10). Akibatnya, yield UST tenor 10 tahun turun 15 bps menjadi 4,65%. Macro Strategist Samuel Sekuritas Lionel Priyadi melihat, penurunan ini diikuti kenaikan indeks obligasi S&P untuk developed market sebesar 0,4%. Aksi beli juga terjadi di emerging markets yang tercermin dari kenaikan indeks EMBI sebesar 0,9%. Pembelian juga terjadi di pasar surat berharga negara (SBN). Hal ini terlihat dari turunnya yield INDOGB 10Y sebesar 7 bps menjadi 6,95%, yield INDOGB 5Y sebesar 5 bps menjadi 6,76%, dan yield INDOGB 2Y sebesar 2 bps menjadi 6,46%. ""Akan tetapi, kami menduga aksi beli ini dilakukan oleh Bank Indonesia, bukan oleh investor asing karena depresiasi rupiah 0,3% menjadi Rp 15.735 per dolar AS dan rendahnya permintaan di pasar lelang SBSN,"" kata Lionel dalam risetnya, Rabu (11/10). Baca Juga: Kurs Rupiah Menguat Tipis ke Rp 15.730 Per Dolar AS, Rabu (11/10) Pagi Pada lelang SBSN, Selasa (10/10), tingkat permintaan turun menjadi hanya Rp 10,75 triliun, dari Rp 27,8 triliun pada lelang 26 September 2023. Alhasil, Kementerian Keuangan menurunkan jumlah penerbitan SBSN baru menjadi Rp 5 triliun, dari Rp 8 triliun pada lelang sebelumnya. Lionel juga tidak menduga alokasi penerbitan baru SBSN terbesar diberikan kepada tenor pendek (2Y) seri PBS036 dengan nilai penerbitan Rp 4,35 triliun atau 87% dari total penerbitan serta yield 5,375%. ""Kami menduga turunnya tingkat permintaan di lelang kemarin disebabkan oleh flight to safety ke obligasi developed market,"" ucap Lionel. Untuk perdagangan Rabu (11/10), Lionel memperkirakan yield 10Y INDOGB akan naik menuju rentang 6,85%-6,95%. Sementara itu, rupiah akan tertekan di rentang resistance teknikal Rp 15.650-Rp 15.750 per dolar AS. Bila resistance tersebut dapat ditembus, maka rupiah akan terdepresiasi hingga Rp 16.000 per dolar AS. Cek Berita dan Artikel yang lain di Google News",investasi
"Bank Indonesia Intervensi Pasar SBN dan Valas, Kenaikan Yield Obligasi Bisa Dibatasi",2024-09-24T16:12:26.154Z,"Minggu, 08 Oktober 2023 / 06:50 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/bank-indonesia-intervensi-pasar-sbn-dan-valas-kenaikan-yield-obligasi-bisa-dibatasi,"KONTAN.CO.ID - JAKARTA. Langkah Bank Indonesia (BI) untuk mengintervensi pasar Surat Berharga Negara (SBN) dan valuta asing membatasi kenaikan yield obligasi pemerintah Indonesia (INDOGB) tenor 10 tahun. Macro Strategist Samuel Sekuritas Lionel Priyadi mengatakan, yield INDOGB 10Y dapat dibatasi hanya 8 bps menjadi 7,11%. Angka ini lebih rendah dibanding kenaikan yield INDOGB 5Y sebesar 16 bps menjadi 6,89% dan INDOGB 2Y sebesar 11 bps menjadi 6,52%. Kemudian, kenaikan yield INDON 5Y sebesar 14 bps menjadi 5,78%, INDON 10Y sebesar 17 bps menjadi 6,17%, dan INDON 2Y sebesar 7 bps menjadi 5,57%. ""Sementara itu, pergerakan rupiah, terutama di pasar forward berhasil ditekan di bawah Rp 15.650 per USD,"" ucap Lionel dalam risetnya, Kamis (5/10). Baca Juga: Kenaikan Yield Obligasi Negara AS Turut Menekan Obligasi Korporasi Indonesia Menurut Lionel, intervensi BI masih mungkin berlanjut dalam rangka memanfaatkan momentum selling pause di pasar global menjelang rilis data pasar tenaga Amerika Serikat bulan September 2023 pada Jumat (6/10). Yield 10Y UST dan Bund turun 6 bps dan 5 bps menjadi 4,73% dan 2,92% semalam akibat selling pause. Akan tetapi, aksi jual terhadap obligasi emerging market masih berlanjut yang tercermin dari penurunan indeks EMBI sebesar 0,2%. Lionel memperkirakan yield INDOGB 10Y akan mengalami konsolidasi pada rentang 7,05%-7,15%. Begitu juga dengan rupiah yang akan terkonsolidasi di kisaran Rp 15.550-Rp 15.650 per dolar AS. Lionel merekomendasikan investor untuk mencermati obligasi pemerintah seri FR0040, FR0050, FR0068, dan FR0100. Cek Berita dan Artikel yang lain di Google News",investasi
Kenaikan Yield Obligasi Dapat Dibatasi Berkat Intervensi Bi di Pasar SBN dan Valas,2024-09-24T16:12:26.354Z,"Kamis, 05 Oktober 2023 / 16:15 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////newssetup.kontan.co.id/news/kenaikan-yield-obligasi-dapat-dibatasi-berkat-intervensi-bi-di-pasar-sbn-dan-valas,"KONTAN.CO.ID - JAKARTA. Langkah Bank Indonesia (BI) untuk mengintervensi pasar Surat Berharga Negara (SBN) dan valuta asing membatasi kenaikan yield obligasi pemerintah Indonesia (INDOGB) tenor 10 tahun. Macro Strategist Samuel Sekuritas Lionel Priyadi mengatakan, yield INDOGB 10Y dapat dibatasi hanya 8 bps menjadi 7,11%. Angka ini lebih rendah dibanding kenaikan yield INDOGB 5Y sebesar 16 bps menjadi 6,89% dan INDOGB 2Y sebesar 11 bps menjadi 6,52%. Kemudian, kenaikan yield INDON 5Y sebesar 14 bps menjadi 5,78%, INDON 10Y sebesar 17 bps menjadi 6,17%, dan INDON 2Y sebesar 7 bps menjadi 5,57%. ""Sementara itu, pergerakan rupiah, terutama di pasar forward berhasil ditekan di bawah Rp 15.650 per USD,"" ucap Lionel dalam risetnya, Kamis (5/10). Baca Juga: Kenaikan Yield Obligasi Negara AS Turut Menekan Obligasi Korporasi Indonesia Menurut Lionel, intervensi BI masih mungkin berlanjut dalam rangka memanfaatkan momentum selling pause di pasar global menjelang rilis data pasar tenaga Amerika Serikat bulan September 2023 pada Jumat (6/10). Yield 10Y UST dan Bund turun 6 bps dan 5 bps menjadi 4,73% dan 2,92% semalam akibat selling pause. Akan tetapi, aksi jual terhadap obligasi emerging market masih berlanjut yang tercermin dari penurunan indeks EMBI sebesar 0,2%. Lionel memperkirakan yield INDOGB 10Y akan mengalami konsolidasi pada rentang 7,05%-7,15%. Begitu juga dengan rupiah yang akan terkonsolidasi di kisaran Rp 15.550-Rp 15.650 per dolar AS. Lionel merekomendasikan investor untuk mencermati obligasi pemerintah seri FR0040, FR0050, FR0068, dan FR0100. Cek Berita dan Artikel yang lain di Google News",newssetup
"BI Intervensi Pasar SBN dan Valas, Kenaikan Yield Obligasi Dapat Dibatasi",2024-09-24T16:12:26.474Z,"Kamis, 05 Oktober 2023 / 11:12 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/bi-intervensi-pasar-sbn-dan-valas-kenaikan-yield-obligasi-dapat-dibatasi,"KONTAN.CO.ID - JAKARTA. Langkah Bank Indonesia (BI) untuk mengintervensi pasar Surat Berharga Negara (SBN) dan valuta asing membatasi kenaikan yield obligasi pemerintah Indonesia (INDOGB) tenor 10 tahun. Macro Strategist Samuel Sekuritas Lionel Priyadi mengatakan, yield INDOGB 10Y dapat dibatasi hanya 8 bps menjadi 7,11%. Angka ini lebih rendah dibanding kenaikan yield INDOGB 5Y sebesar 16 bps menjadi 6,89% dan INDOGB 2Y sebesar 11 bps menjadi 6,52%. Kemudian, kenaikan yield INDON 5Y sebesar 14 bps menjadi 5,78%, INDON 10Y sebesar 17 bps menjadi 6,17%, dan INDON 2Y sebesar 7 bps menjadi 5,57%. ""Sementara itu, pergerakan rupiah, terutama di pasar forward berhasil ditekan di bawah Rp 15.650 per USD,"" ucap Lionel dalam risetnya, Kamis (5/10). Baca Juga: Kenaikan Yield Obligasi Negara AS Turut Menekan Obligasi Korporasi Indonesia Menurut Lionel, intervensi BI masih mungkin berlanjut dalam rangka memanfaatkan momentum selling pause di pasar global menjelang rilis data pasar tenaga Amerika Serikat bulan September 2023 pada Jumat (6/10). Yield 10Y UST dan Bund turun 6 bps dan 5 bps menjadi 4,73% dan 2,92% semalam akibat selling pause. Akan tetapi, aksi jual terhadap obligasi emerging market masih berlanjut yang tercermin dari penurunan indeks EMBI sebesar 0,2%. Lionel memperkirakan yield INDOGB 10Y akan mengalami konsolidasi pada rentang 7,05%-7,15%. Begitu juga dengan rupiah yang akan terkonsolidasi di kisaran Rp 15.550-Rp 15.650 per dolar AS. Lionel merekomendasikan investor untuk mencermati obligasi pemerintah seri FR0040, FR0050, FR0068, dan FR0100. Cek Berita dan Artikel yang lain di Google News",investasi
"Menawarkan Yield Tinggi, SBN Ritel Masih Memikat",2024-09-24T16:12:27.637Z,,Premium User Only,https:////insight.kontan.co.id/news/menawarkan-yield-tinggi-sbn-ritel-masih-memikat-1,Premium Content - Not Scraped,insight
Yield SBN 10 Tahun di 2024 Diprediksi Bisa di Bawah 6% Tahun Depan,2024-09-24T16:12:27.839Z,"Rabu, 23 Agustus 2023 / 15:23 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/yield-sbn-10-tahun-di-2024-diprediksi-bisa-di-bawah-6-tahun-depan,"KONTAN.CO.ID - JAKARTA. Pasar obligasi negara pada tahun depan dinilai masih prospektif, meski pemerintah menaikkan target penerbitan surat berharga negara (SBN) seiring kebutuhan belanja negara yang berfokus untuk menjaga stabilitas perekonomian. Staf Riset Ekonomi, Industri dan Global Markets Bank Maybank Indonesia Myrdal Gunarto memperkirakan, imbal hasil surat utang negara alias surat berharga negara (SBN) masih berpotensi menurun dari kondisi saat ini. Hal ini seiring prospek bunga kebijakan moneter global yang menurun dan suku bunga domestik yang rendah, sejalan dengan tren inflasi yang diperkriakan akan rendah. “Kami melihat yield surat utang negara tenor 10 tahun dapat menuju ke level di bawah 6% pada tahun depan,” tutur Myrdal kepada Kontan.co.id, Rabu (23/8). Baca Juga: Rencana Penerbitan Surat Berharga Negara Melonjak 83,6% di RAPBN 2024 Dia memperkirakan, penciptaan likuiditas pasar akan terjadi seiring pemulihan ekonomi yang terus berjalan. Apalagi jika investor asing kembali masuk dengan porsi yang berangsur menuju level sebelum pandemi Covid-19. Selain itu, kondisi ekonomi Indonesia yaang didukung oleh aktivitas lokal juga akan semakin solid pasca pandemi selesai. Hal itu, kata Myrdal, SBN yang ditawarkan akan menjadi daya tarik tersendiri bagi investor global pada saat ini hingga ke depannya. Adapun dalam Rancanga Anggaran Pendapatan dan Belanja Negara (RAPBN) tahun anggaran 2024, pembiayaan utang yang bersumber dari Surat Berharga negara (SBN) neto direncanakan sebesar Rp 666,4 triliun. Pembiayaan utang melalui penerbitan SBN tersebut meningkat 83,6% jika dibandingkan dengan outlook APBN tahun 2023 sebesar Rp 362,9 triliun. Sementara itu, Presiden Joko Widodo (Jokowi) dalam Pidato RAPBN 2024 dan Nota Keuangan memproyeksikan rata-rata suku bunga Surat Berharga Negara (SBN) 10 tahun diprediksi pada level 6,7%. Cek Berita dan Artikel yang lain di Google News",nasional
"Asing Memburu SBN, Yield Seri Benchmark Bergerak Menurun",2024-09-24T16:12:28.079Z,,Premium User Only,https:////insight.kontan.co.id/news/asing-memburu-sbn-yield-seri-benchmark-bergerak-menurun,Premium Content - Not Scraped,insight
"BI Menggelar RDG hari ini, Indikator Moneter Rupiah, CDS dan Yield SBN Memerah",2024-09-24T16:12:28.242Z,"Rabu, 19 Oktober 2022 / 07:00 WIB",Reporter: Syamsul Ashar | Editor: Syamsul Azhar,https:////nasional.kontan.co.id/news/bi-menggelar-rdg-hari-ini-indikator-moneter-rupiah-cds-dan-yield-sbn-memerah,"KONTAN.CO.ID - JAKARTA. Bank Indonesia (BI) akan menggelar rapat dewan gubernur (RDG) BI bulan Oktober 2022 untuk menentukan arah kebijakan moneter. Rapat Dewan Gubernur (RDG) berlangsung pada Rabu 19 Oktober ini dan dan Kamis 20 Oktober 2022 besok untuk menentukan arah kebijakan moneter di tengah ketidakpastian dan risiko resesi global. Menjelang RDG BI Oktober ini, BI telah mencermati perkembangan pemulihan ekonomi Indonesia yang sedang berlangsung. Bank Indonesia juga menyampaikan perkembangan indikator stabilitas nilai rupiah secara periodik. Selain itu Junanto Herdiawan, Direktur Departemen Komunikasi BI pada pernyataan tertulis yang dipublikasikan (14/10) menyebut BI juga terus memperhatikan indikator nilai tukar rupiah dan inflasi: Baca Juga: Intip Kurs Dollar-Rupiah di Bank Mandiri Hari Ini, Selasa 18 Oktober 2022 Menurut catatan BI perkembangan kurs rupiah sepanjang 10 – 14 Oktober 2022  sebagai berikut. Pada akhir hari Kamis, 13 Oktober 2022 kurs rupiah ditutup pada level (bid) Rp15.360 per dolar AS. Sementara berdasarkan kurs dollar di BI pada Senin (17/10), angka jual di Rp 15.466,95 dan beli Rp 15.313,05 sehingga kurs tengah 15390 Sedangkan berdasarkan kurs dollar di BI pada Selasa (18/10), angka kurs jual Rp 15.557,40 dan kurs beli 15.402,60 sehingga kurs tengah dollar AS sebesar Rp 15.480/US$ Sementara imbal hasil atau yield Surat Berharga Negara (SBN) jangka waktu 10 tahun naik ke 7,33%. Baca Juga: Rupiah Menguat dari Posisi Paling Lemah Sejak April 2020 Adapun catatan indeks dollar (DXY) melemah ke level 112,36 pada 14 Oktober, dan mengalami penurunan pada Selasa (18/10) sebesar 112.23 Sedangkan imbal hasil atau yield surat utang Amerika Serikat atau US Treasury Note berjangka waktu 10 tahun naik ke level 3,944%. Pada pagi hari Jumat, 14 Oktober 2022 kurs rupiah dibuka pada level (bid) Rp15.355 per dolar AS. Adapun imbal hasil atau yield surat berharga negara (SBN) jangka waktu 10 tahun naik ke level 7,36%. BI juga mencatat aliran Modal Asing (Minggu II Oktober 2022). Sementara, premi Credit Default Swap (CDS) Indonesia 5 tahun naik ke 160,24 bps per 13 Oktober 2022 dari 154,43 bps per 7 Oktober 2022. Premi CDS ini terus meningkat pada hari ini Selasa 18 Oktober sebesar 161,86 bps. Baca Juga: Ini yang Harus Dilakukan Bank Indonesia Saat Rupiah Terus Melemah BI mencatat berdasarkan data transaksi 10 – 13 Oktober 2022, nonresiden di pasar keuangan domestik jual neto Rp 4,22 triliun, terdiri dari jual neto Rp 3,43 triliun di pasar SBN dan jual neto Rp 790 miliar di pasar saham. Adapun catatan selama tahun 2022, berdasarkan data settelment sampai dengan 13 Oktober 2022, nonresiden jual neto Rp170 triliun di pasar SBN dan beli neto Rp71,85 triliun di pasar saham. Aksi jual investor asing di bursa saham juga berlanjut pada Senin (17/10) yang mencapai Rp 2,4 triliun. BI juga menyampaikan perkembangan inflasi hingga pekan kedua Oktober 2022. Berdasarkan Survei Pemantauan Harga pada minggu II Oktober 2022, perkembangan harga sampai dengan minggu kedua Oktober 2022 diperkirakan inflasi sebesar 0,05% (mtm). Komoditas utama penyumbang inflasi Oktober 2022 sampai dengan minggu kedua yaitu bensin sebesar 0,05% (mtm). Baca Juga: Kurs Dollar-Rupiah di BCA Hari Ini Selasa 18 Oktober 2022, Intip Sebelum Tukar Valas Sementara tarif angkutan dalam kota sebesar 0,04% (mtm), serta angkutan antar kota, rokok kretek filter, tahu mentah, tempe, dan beras masing-masing sebesar 0,01% (mtm). Selain itu, komoditas yang mengalami deflasi pada periode minggu kedua Oktober 2022 yaitu telur ayam ras sebesar -0,09% (mtm), cabai merah sebesar -0,08% (mtm), Harga daging ayam ras sebesar -0,03% (mtm), cabai rawit sebesar -0,02% (mtm), serta tomat dan minyak goreng masing-masing sebesar -0,01% (mtm). Bank Indonesia akan terus memperkuat koordinasi dengan Pemerintah dan otoritas terkait dan terus mengoptimalkan strategi bauran kebijakan untuk menjaga stabilitas makroekonomi dan sistem keuangan guna mendukung pemulihan ekonomi lebih lanjut. Cek Berita dan Artikel yang lain di Google News",nasional
"Suku Bunga Global Naik, Yield SBN Meningkat",2024-09-24T16:12:28.351Z,"Rabu, 19 Oktober 2022 / 05:24 WIB",Reporter: Dendi Siswanto | Editor: Khomarul Hidayat,https:////newssetup.kontan.co.id/news/suku-bunga-global-naik-yield-sbn-meningkat,"KONTAN.CO.ID - JAKARTA. Imbal hasil atau yield obligasi pemerintah Indonesia merembet naik dan lebih tinggi jika dibandingkan yield obligasi pemerintah di negara tetangga. Ambil misal, yield SBN tenor 10 tahun saat ini sekitar 7,4%. Imbal hasil ini lebih tinggi jika dibandingkan dengan obligasi negara Filipina tenor sama yang sebesar 7,2%. ""Yield yang meningkat sekarang ini dipicu tingginya suku bunga atau yield di luar negeri yang kemudian mendorong investor melepas SBN. Hal ini menyebabkan turunnya harga SBN sekaligus meningkatkan yield,"" ujar Direktur Eksekutif Segara Institue Piter Abdullah kepada Kontan.co.id, Selasa (18/10). Menurutnya, kenaikan yield di kondisi saat ini tidak bisa terelakkan. Pasalnya semua negara juga mengalami kenaikan yield di tengah likuiditas global yang memang menurun. Sementara itu, Kepala Ekonom BNI Sekuritas Damhuri Nasution mengatakan yield SBN yang masih tinggi tidak terlepas dari ketidakpastian yang masih tinggi terhadap prospek ekonomi dunia ke depan. Baca Juga: Jelang RDG BI Besok, Kurs Rupiah Rp 15.480, Inflasi 0,05%, CDS & Yield SBN Naik Ia menyebut, laju inflasi yang tetap tinggi diikuti kenaikan suku bunga acuan yang agresif akan membuat pertumbuhan ekonomi dunia semakin menurun, bahkan berpeluang mengalami stagflasi atau resesi. ""Data makroekonomi sejumlah negara maju seperti Eropa, Amerika, Jepang dan lain-lain mengindikasikan bahwa peluang terjadinya resesi ekonomi disana semakin besar, yang berarti peluang terjadinya resesi ekonomi global juga meningkat,"" ujar Damhuri. Dengan kondisi tersebut menyebabkan persepsi pelaku pasar global terhadap risiko berinvestasi di emerging market meningkat dan mendorong sebagian pelaku pasar global mengalihkan portofolionya ke aset-aset yang lebih aman seperti US Treasury. Dus, outflow dari emerging market termasuk Indonesia juga meningkat sehingga menyebabkan yield SBN menjadi naik. ""Peningkatan outflow ini menyebabkan yield SBN menjadi naik,"" katanya. Bank Indonesia (BI) sudah merespons dengan menaikkan suku bunga acuannya 7-Day Reverse Repo Rate (BI 7 DRR) untuk menahan agar outflow tidak semakin deras dan sekaligus menahan pelemahan nilai tukar rupiah. Hanya saja, Damhuri menilai, apabila dibandingkan dengan negara lain, kinerja pasar obligasi Indonesia masih relatif lebih baik sebagaimana ditunjukkan oleh kenaikan yield-nya yang tidak sebesar negara lain. Menurutnya, hal ini tidak terlepas dari kinerja makroekonomi Indonesia yang masih bagus dan terjaga hingga saat ini. Baca Juga: Resesi dan Inflasi Tinggi, Risiko Obligasi Korporasi Bisa Meningkat Cek Berita dan Artikel yang lain di Google News",newssetup
"Jelang RDG BI Besok, Kurs Rupiah Rp 15.480, Inflasi 0,05%, CDS & Yield SBN Naik",2024-09-24T16:12:28.679Z,"Selasa, 18 Oktober 2022 / 10:59 WIB",Reporter: Syamsul Ashar | Editor: Syamsul Azhar,https:////nasional.kontan.co.id/news/jelang-rdg-bi-besok-kurs-rupiah-rp-15480-inflasi-005-cds-yield-sbn-naik,"KONTAN.CO.ID - JAKARTA. Bank Indonesia (BI) akan menggelar rapat dewan gubernur (RDG) BI bulan Oktober 2022, pada Rabu 19 Oktober dan Kamis 20 Oktober 2022. Rapat Dewan Gubernur (RDG) ini untuk menentukan arah kebijakan moneter di tengah ketidakpastian dan risiko resesi global. Menjelang RDG BI Oktober ini, BI telah mencermati perkembangan pemulihan ekonomi Indonesia yang sedang berlangsung. Bank Indonesia juga menyampaikan perkembangan indikator stabilitas nilai rupiah secara periodik. Selain itu Junanto Herdiawan, Direktur Departemen Komunikasi BI pada pernyataan tertulis yang dipublikasikan (14/10) menyebut BI juga terus memperhatikan indikator nilai tukar rupiah dan inflasi: Baca Juga: Intip Kurs Dollar-Rupiah di Bank Mandiri Hari Ini, Selasa 18 Oktober 2022 Menurut catatan BI perkembangan kurs rupiah sepanjang 10 – 14 Oktober 2022  sebagai berikut. Pada akhir hari Kamis, 13 Oktober 2022 kurs rupiah ditutup pada level (bid) Rp15.360 per dolar AS. Sementara berdasarkan kurs dollar di BI pada Senin (17/10), angka jual di Rp 15.466,95 dan beli Rp 15.313,05 sehingga kurs tengah 15390 Sedangkan berdasarkan kurs dollar di BI pada Selasa (18/10), angka kurs jual Rp 15.557,40 dan kurs beli 15.402,60 sehingga kurs tengah dollar AS sebesar Rp 15.480/US$ Sementara imbal hasil atau yield Surat Berharga Negara (SBN) jangka waktu 10 tahun naik ke 7,33%. Baca Juga: Rupiah Menguat dari Posisi Paling Lemah Sejak April 2020 Adapun catatan indeks dollar (DXY) melemah ke level 112,36 pada 14 Oktober, dan mengalami penurunan pada Selasa (18/10) sebesar 112.23 Sedangkan imbal hasil atau yield surat utang Amerika Serikat atau US Treasury Note berjangka waktu 10 tahun naik ke level 3,944%. Pada pagi hari Jumat, 14 Oktober 2022 kurs rupiah dibuka pada level (bid) Rp15.355 per dolar AS. Adapun imbal hasil atau yield surat berharga negara (SBN) jangka waktu 10 tahun naik ke level 7,36%. BI juga mencatat aliran Modal Asing (Minggu II Oktober 2022). Sementara, premi Credit Default Swap (CDS) Indonesia 5 tahun naik ke 160,24 bps per 13 Oktober 2022 dari 154,43 bps per 7 Oktober 2022. Premi CDS ini terus meningkat pada hari ini Selasa 18 Oktober sebesar 161,86 bps. Baca Juga: Ini yang Harus Dilakukan Bank Indonesia Saat Rupiah Terus Melemah BI mencatat berdasarkan data transaksi 10 – 13 Oktober 2022, nonresiden di pasar keuangan domestik jual neto Rp 4,22 triliun, terdiri dari jual neto Rp 3,43 triliun di pasar SBN dan jual neto Rp 790 miliar di pasar saham. Adapun catatan selama tahun 2022, berdasarkan data settelment sampai dengan 13 Oktober 2022, nonresiden jual neto Rp170 triliun di pasar SBN dan beli neto Rp71,85 triliun di pasar saham. Aksi jual investor asing di bursa saham juga berlanjut pada Senin (17/10) yang mencapai Rp 2,4 triliun. BI juga menyampaikan perkembangan inflasi hingga pekan kedua Oktober 2022. Berdasarkan Survei Pemantauan Harga pada minggu II Oktober 2022, perkembangan harga sampai dengan minggu kedua Oktober 2022 diperkirakan inflasi sebesar 0,05% (mtm). Komoditas utama penyumbang inflasi Oktober 2022 sampai dengan minggu kedua yaitu bensin sebesar 0,05% (mtm). Baca Juga: Kurs Dollar-Rupiah di BCA Hari Ini Selasa 18 Oktober 2022, Intip Sebelum Tukar Valas Sementara tarif angkutan dalam kota sebesar 0,04% (mtm), serta angkutan antar kota, rokok kretek filter, tahu mentah, tempe, dan beras masing-masing sebesar 0,01% (mtm). Selain itu, komoditas yang mengalami deflasi pada periode minggu kedua Oktober 2022 yaitu telur ayam ras sebesar -0,09% (mtm), cabai merah sebesar -0,08% (mtm), Harga daging ayam ras sebesar -0,03% (mtm), cabai rawit sebesar -0,02% (mtm), serta tomat dan minyak goreng masing-masing sebesar -0,01% (mtm). Bank Indonesia akan terus memperkuat koordinasi dengan Pemerintah dan otoritas terkait dan terus mengoptimalkan strategi bauran kebijakan untuk menjaga stabilitas makroekonomi dan sistem keuangan guna mendukung pemulihan ekonomi lebih lanjut. Cek Berita dan Artikel yang lain di Google News",nasional
