Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Obligasi Menguat, Reksadana Pendapatan Tetap Catat Kinerja Terbaik pada Semester I",2024-08-21T02:01:47.947Z,"Senin, 03 Juli 2023 / 18:37 WIB",Reporter: Akmalal Hamdhi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/obligasi-menguat-reksadana-pendapatan-tetap-catat-kinerja-terbaik-pada-semester-i,"KONTAN.CO.ID - JAKARTA. Reksadana pendapatan tetap merupakan kelas aset reksadana dengan performa terbaik selama semester I-2023. Hal tersebut tidak terlepas dari penguatan surat utang sebagai aset yang mendasari (underlying asset). Research & Consulting Manager Infovesta Utama, Nicodimus Kristiantoro mengatakan, reksadana pendapatan tetap mencetak return paling moncer selama semester pertama tahun ini. Berdasarkan data Infovesta, reksadana pendapatan tetap mencetak imbal hasil ataupun return tertinggi sebesar 3,62% di sepanjang tahun ini alias secara year to date (YtD) per 27 Juni 2023. Disusul, kinerja reksadana pasar uang yang mencetak return 1,88% YtD dan reksadana campuran  dengan return sebesar 1,68% YtD . Sementara, reksadana saham terpantau koreksi  0,57% YtD. Moncernya reksadana pendapatan tetap karena didorong oleh tren penguatan pasar obligasi terutama surat utang pemerintah. Performa obligasi pemerintah berhasil tumbuh 3,50% YtD, sedangkan obligasi korporasi tumbuh 1,91% YtD di paruh pertama 2023. Baca Juga: Kala Reksadana Saham Konsisten Kalah dari LQ 45 Nico menjelaskan, pada dua bulan pertama tahun ini, tren obligasi sempat dalam tren melemah atau bearish karena sikap hawkish The Fed. Tetapi, sejak terjadi krisis perbankan di Amerika Serikat (AS) obligasi langsung kencang penguatannya yang mengubah gerak pasar. Hal itu didukung dengan ekspektasi The Fed akan memperlambat laju kenaikan suku bunga dan ditopang oleh penurunan inflasi AS itu sendiri. Penurunan inflasi domestik serta kebijakan suku bunga dari Bank Indonesia (BI) turut memperkuat pasar surat utang tanah air. Seperti diketahui, BI menahan suku bunga acuan di level 5,75% dan menyatakan tidak ada kenaikan lagi hingga akhir tahun. Pasar obligasi kemudian ditopang oleh derasnya permintaan dari investor asing dan domestik, sehingga mendorong penguatan pasar. “Semua faktor itu yang mendorong gerak pasar obligasi menguat,” kata Nico kepada Kontan.co.id, Senin (3/7). Dalam sebulan terakhir, pasar obligasi tidak begitu goyah meskipun terpengaruh sentimen The Fed yang menyatakan jeda kenaikan suku bunga karena investor obligasi nampaknya masih melihat bagaimana kekuatan fundamental ekonomi domestik dan penerapan kebijakan moneter BI di tengah berbagai risiko yang ada. Bank Indonesia saat ini masih mempertahankan kebijakan penghentian suku bunga lanjutan seiring tren inflasi domestik yang terus melandai ke dalam target BI. Menurut Nico, reksadana pendapatan tetap akan mempertahankan kinerja positif hingga akhir tahun nanti. Di sisi lain, potensi kinerja yang lebih baik masih terbuka bagi reksadana saham ketika The Fed sudah berhenti dalam menaikkan suku bunga lanjutan, sehingga risiko pasar semakin berkurang. Kondusifnya data ekonomi domestik, terlebih akan dilakukannya kampanye pemilu di kuartal IV- 2024 berpotensi bisa meningkatkan kinerja saham yang pada akhirnya bisa mendorong gerak kinerja reksadana saham. Nico menyebutkan, sentimen bulan Juni 2023 memang lebih banyak mempengaruhi volatilitas pada pasar saham, sehingga reksadana saham turut terkena imbasnya. Baca Juga: AUM Produk Unggulan Danareksa Investment Management Catat Peningkatan Signifikan Dalam sebulan terakhir, nada hawkish The Fed kembali menggema pasca pelaksanaan FOMC Meeting awal Juni yang walaupun bank sentral AS menahan suku bunga namun tetap mengindikasikan kenaikan suku bunga lanjutan setidaknya hingga 2 kali lagi. Adapun selama Juni 2023, reksadana campuran mencetak return tertinggi yakni 0,83% month on month (MoM). Reksadana pendapatan tetap menghasilkan return dan reksadana pasar uang masing-masing menghasilkan return sebesar 0,57% MoM dan 0,29% MoM. Sedangkan, reksadana saham hanya mencetak return 0,24% MoM. Menariknya, Nico menyoroti, kinerja reksadana campuran di bulan Juni 2023 utamanya terangkat performa saham. Dari top 10 kinerja reksadana campuran tertinggi di bulan Juni 2023, mayoritas underlying aset masih saham. Walaupun reksadana saham cetak return paling kecil, Indeks Harga Saham Gabungan (IHSG) yang mendasari masih mencatatkan penguatan 0,43% MoM di bulan Juni 2023. Perlu digarisbawahi, kinerja reksadana saham tersebut pastinya tergantung juga dari isi portofolio reksadana campuran yang condong ke pilihan saham apa. Cek Berita dan Artikel yang lain di Google News",investasi
"Asing Serbu Obligasi, Kinerja Reksadana Pendapatan Tetap Moncer",2024-08-21T02:01:48.329Z,,Premium User Only,https:////insight.kontan.co.id/news/asing-serbu-obligasi-kinerja-reksadana-pendapatan-tetap-moncer,Premium Content - Not Scraped,insight
"Pasar Obligasi Kuat, Kinerja Reksadana Pendapatan Tetap Paling Moncer pada Januari",2024-08-21T02:01:48.385Z,"Rabu, 01 Februari 2023 / 20:41 WIB",Reporter: Akmalal Hamdhi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/pasar-obligasi-kuat-kinerja-reksadana-pendapatan-tetap-paling-moncer-pada-januari,"KONTAN.CO.ID -  JAKARTA. Kinerja reksadana pendapatan tetap mencatatkan return terbaik di awal tahun ini. Hal tersebut seiring menguatnya pasar obligasi tanah air. Berdasarkan data Infovesta Utama, kinerja reksadana pendapatan tetap berhasil tumbuh 0,77% di sepanjang Januari 2023. Disusul, penguatan kinerja reksadana campuran sebesar 0,41% dan reksadana pasar uang sebesar 0,38%. Hanya reksadana saham yang terkoreksi 0,15% selama Januari 2023. Research Analyst PT Infovesta Kapital Advisori Arjun Ajwani mengatakan bahwa kinerja reksadana berbasis obligasi seperti pendapatan tetap mendapatkan manfaat dari moncernya pasar surat utang Indonesia. Dimana, obligasi pemerintah maupun obligasi korporasi kompak mencetak pertumbuhan kinerja. Di sepanjang Januari, Infovesta Goverment Bond Index mencatatkan return sebesar 0,87%. Sedangkan, kinerja obligasi korporasi yang tercermin dari Infovesta Corporate Bond Index meraih return 0,38%. Baca Juga: Rupiah Menguat, Kinerja Reksadana Dolar AS Positif Performa pasar obligasi juga lebih baik dari kinerja Indeks Harga Saham Gabungan (IHSG) yang tertekan 0,17% selama Januari 2023. Karena itu, Arjun meyakini Surat Utang Negara (SUN) bisa memberi return paling tinggi di tahun ini, di saat kinerja pasar saham saat ini lumayan volatil. ""Kinerja pasar uang juga layak dicermati di tengah risiko resesi global dan ketidakpastian geopolitik,"" ungkapnya kepada Kontan.co.id, Rabu (1/2). Apabila melihat pasar SUN, investor asing pun juga tengah berbondong-bondong masuk. Misalnya pada lelang SUN Selasa (31/1), arus dana masuk (inflow) investor asing pada lelang SUN mencapai Rp 10,91 triliun yang dihitung sebagai penawaran masuk. Menurut Arjun, hal Ini terjadi karena valuasi imbal hasil (yield) masih atraktif dibandingkan negara lain. Selain itu, obligasi pemerintah didukung fundamental ekonomi yang solid, serta nilai tukar mulai terapresiasi. Arjun menyarankan bagi investor yang lebih konservatif di tengah ketidakpastian ekonomi dan geopolitik saat ini lebih baik menempatkan dana pada obligasi. Investor bisa mencermati obligasi negara seri benchmark dan obligasi korporasi yang mempunyai rating bagus. Baca Juga: Harga SUN Rebound, Return Aset Fixed Income Bisa Lebih Atraktif di 2023 Tetapi, kiat berinvestasi tergantung risk profile masing-masing investor. Apabila lebih lebih agresif dalam berinvestasi bisa menguji investasi saham yang masih diselimuti risiko tinggi untuk mendapat potential upside. Asalkan, investor pandai meniali saham yang mempunyai fundamental dan sektor yang punya prospek bagus. Cek Berita dan Artikel yang lain di Google News",investasi
Begini Proyeksi Kinerja Pasar Obligasi Indonesia di Tahun 2023,2024-08-21T02:01:48.429Z,"Kamis, 08 Desember 2022 / 20:14 WIB",Reporter: Akmalal Hamdhi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/begini-proyeksi-kinerja-pasar-obligasi-indonesia-di-tahun-2023,"KONTAN.CO.ID - JAKARTA. Pasar obligasi tanah air tengah dalam tekanan. Hal itu terlihat dari turunnya kinerja Indonesia Composite Bond Index (ICBI). Mengutip data Penilai Harga Efek Indonesia (PHEI), kinerja pasar obligasi yang tercermin ICBI sempat menyentuh area 344,19 pada Minggu (4/12). Ini menjadi level tertinggi indeks ICBI di sepanjang tahun 2022. Performa ICBI setelah itu turun dalam 3 hari berturut-turut. Meskipun, Kamis (8/12) kembali menguat tipis 0,01 dibandingkan hari sebelumnya, namun ICBI terkoreksi 0,22% dalam sepekan. Head of Fixed Income Trimegah Asset Management (AM) Darma Yudha mengatakan koreksi dalam 3 hari terakhir merupakan imbas dari aksi profit taking. Di sisi lain, pasar masih menunggu rilis data dari inflasi Amerika Serikat (AS) yang akan diumumkan pada tanggal 13 Desember 2022. Rapat kebijakan suku bunga The Fed juga menjadi penantian. Baca Juga: Tren Bunga Tinggi, Penerbitan Obligasi Korporasi Tahun Depan Tak Akan Semarak Darma menilai, pergerakan indeks ICBI akan cenderung flat atau bahkan terkoreksi sampai nanti tibanya keputusan The Fed. Jika kebijakan suku bunga The Fed lebih rendah dan data inflasi AS lebih bagus, maka investor asing akan masuk lagi ke pasar obligasi Indonesia, sebelum tutup tahun ini. Menurut Darma, langkah The Fed ini tentunya menjadi arah pula bagi nasib ICBI di tahun depan. Dalam volatilitas pasar yang masih terjadi, yield atau imbal hasil diperkirakan naik pada kuartal I dan kuartal II 2023. Sehingga, naiknya imbal hasil berdampak pada harga obligasi yang bakal turun dan mengindikasikan bahwa pasar obligasi dalam tekanan. Harga obligasi yang turun bakal digelontor suplai yang cukup besar di semester I-2023 karena pemerintah melakukan front loading atau penerbitan Surat Utang Negara (SUN) dalam jumlah besar. Baru setelah itu, kondisi obligasi Indonesia seharusnya berbalik pulih mengingat Inflasi yang cenderung turun. Dari sisi suplai surat utang juga sudah berkurang di akhir kuartal kedua 2023, sehingga diharapkan terjadi aliran dana masuk (inflow) ke pasar SUN. Darma optimistis pasar obligasi akan cerah di tahun depan, namun investor juga butuh strategi berinvestasi obligasi karena yield bakal fluktuatif. Investor disarankan menerapkan strategi teknikal trading mengingat volatilitas tinggi di tahun 2023. Mempertimbangkan kondisi yang terjadi, tenor pendek kurang dari 5 tahun cocok diambil pada semester I-2023. Jika tekanan pasar obligasi sudah mereda, investor bisa switching ataupun memperpanjang ke obligasi tenor panjang 10-15 tahun karena yield bakal turun. Di luar hal itu, Darma melihat bahwa memegang obligasi Indonesia masih menarik karena level yield masih tinggi dibanding negara emerging market. Didukung pula oleh kondisi makroekonomi yang sangat baik. Mengutip Tradingeconomics, Yield Indo Treasury tenor 10 tahun berkisar 6,95% hari ini, Kamis (8/12). Dalam setahun, yield tersebut sudah tumbuh 0,62%. Baca Juga: Kinerja Pasar Obligasi Indonesia Masih akan Mendaki Tinggi di Tahun Depan Cek Berita dan Artikel yang lain di Google News",investasi
Kinerja Pasar Obligasi Indonesia Masih akan Mendaki Tinggi di Tahun Depan,2024-08-21T02:01:48.477Z,"Kamis, 08 Desember 2022 / 19:45 WIB",Reporter: Akmalal Hamdhi | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/kinerja-pasar-obligasi-indonesia-masih-akan-mendaki-tinggi-di-tahun-depan,"KONTAN.CO.ID -  JAKARTA. Turunnya Indonesia Composite Bond Index (ICBI) mengindikasikan pasar obligasi tengah dalam tekanan. Kinerja pasar obligasi sempat mendaki tinggi, namun akhirnya turun belakangan ini. Mengutip data Penilai Harga Efek Indonesia (PHEI), kinerja pasar obligasi yang tercermin dari ICBI sempat menyentuh area 344,19 pada Minggu (4/12). Ini menjadi level tertinggi indeks ICBI di sepanjang tahun 2022. Performa ICBI setelah itu turun dalam 3 hari berturut-turut. Meskipun hari ini, Kamis (8/12) kembali menguat tipis 0,01 dibandingkan hari sebelumnya, namun ICBI terkoreksi 0,22% dalam sepekan. Senior Vice President Head of Retail Product Research & Distribution Division Henan Putihrai (HP) Asset Management Reza Fahmi mencermati bahwa penurunan ICBI disebabkan oleh adanya aksi profit taking oleh beberapa institusi. Baca Juga: Ini Penyebab Cadangan Devisa Indonesia Naik Menurut BI Aksi tersebut berkaitan disinyalir untuk mengamankan posisi kinerja menjelang akhir tahun. Di samping itu, level imbal hasil obligasi acuan 10 tahun berada di bawah 7% atau level psikologisnya. Ini turut melemahkan kinerja ICBI. Menurut Reza, kebijakan suku bunga Bank Indonesia (BI) masih akan menjadi sentimen pasar obligasi ke depan. BI diperkirakan masih akan meningkatkan suku bunga hingga level 5,25%-5,50%. Serta, fluktuasi mata uang rupiah pada level Rp 15,400 – Rp 15,700 per dollar Amerika Serikat (AS) akan membebani pasar surat utang tanah air. Dari eksternal, investor masih melihat tingkat inflasi AS. Walaupun dalam tren menurun, namun tingkat bunga masih pada level yang tinggi. ""Sehingga, tindak lanjut suku bunga The Fed masih menjadi perhatian pasar,"" kata Reza kepada Kontan.co.id, Kamis (8/12). Baca Juga: Ada Potensi Window Dressing, Kinerja Reksadana Saham Siap Bangkit di Desember",investasi
"Tertekan Obligasi, Kinerja Reksadana Campuran Bisa Terangkat Porsi Saham",2024-08-21T02:01:48.678Z,"Senin, 05 September 2022 / 19:21 WIB",Reporter: Aris Nurjani | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/tertekan-obligasi-kinerja-reksadana-campuran-bisa-terangkat-porsi-saham,"KONTAN.CO.ID - JAKARTA. Kinerja reksadana campuran menguat dalam sebulan terakhir. Berdasarkan data dari Infovesta Utama pada 1 September 2022, reksadana campuran yang tercermin dari Infovesta 90 Balanced Fund Index naik 2,88% sejak awal tahun dan menguat 1,22% dalam sebulan terakhir. Head of Business Development Division Henan Putihrai Asset Management (HPAM) Reza Fahmi mengatakan, reksadana campuran mencetak kinerja positif imbas dari kenaikan Indeks Harga Saham Gabungan (IHSG). ""Reksadana campuran naik imbas dari kenaikan harga komoditas di saat IHSG sedang naik menyentuh all time high sehingga mengerek naik reksadana campuran yang isinya masih ada instrumen saham,"" ujar Reza kepada Kontan.co.id, Senin (5/9). Baca Juga: Return Reksadana Campuran Diprediksi Bisa Capai 5% di Tahun Ini Reza mengatakan, prospek reksadana campuran di tahun ini masih baik meskipun obligasi menjadi faktor pemberat. ""Return reksadana campuran masih menarik untuk menjadi salah satu pilihan untuk diversifikasi dana investor, dengan yield obligasi yang masih cukup menarik di 6%-7%,"" ucap Reza. Reza mengatakan, obligasi pemerintah dengan yield 6%-7% dan obligasi korporasi dalam rentang 7%-8,5% masih menarik untuk dikoleksi. Selain itu, saham-saham sektor komoditas, energi, dan perbankan menjadi penyokong reksadana campuran. Prospek reksadana campuran masih positif jika pergerakan harga komoditas masih menguat dan bisa mengerek IHSG. Tapi, prospek kenaikan suku bunga acuan global menjadi pemberat reksadana campuran karena harga obligasi berpotensi turun. Cek Berita dan Artikel yang lain di Google News",investasi
"Bunga The Fed Ditaksir Naik Lagi, Bagaimana Nasib Kinerja Obligasi (SUN)?",2024-08-21T02:01:49.085Z,,Premium User Only,https:////insight.kontan.co.id/news/bunga-the-fed-ditaksir-naik-lagi-bagaimana-nasib-kinerja-obligasi-sun,Premium Content - Not Scraped,insight
"Dorong Kinerja Reksadana Pendapatan Tetap, Trimegah AM Perbanyak Obligasi Korporasi",2024-08-21T02:01:49.709Z,"Senin, 06 Juni 2022 / 19:03 WIB",Reporter: Hikma Dirgantara | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/dorong-kinerja-reksadana-pendapatan-tetap-trimegah-am-perbanyak-obligasi-korporasi,"KONTAN.CO.ID - JAKARTA. Kinerja reksadana pendapatan tetap mulai memperlihatkan tanda-tanda kebangkitan. Sepanjang Mei, Infovesta 90 Fixed Income Fund Index yang mengukur kinerja rata-rata reksadana pendapatan tetap berhasil tumbuh 0,13% secara bulanan. Pertumbuhan tersebut merupakan pertanda bagus mengingat sepanjang tahun ini, reksadana pendapatan tetap tengah dihantam sentimen kenaikan suku bunga dan kenaikan yield US Treasury. Adapun, sepanjang lima bulan pertama di tahun ini, kinerja reksadana pendapatan tetap tercatat masih -0,49%. Head of Fixed Income Trimegah Asset Management Darma Yudha mengungkapkan, prospek kinerja reksadana pendapatan tetap masih cukup positif sampai akhir tahun nanti. Hanya saja, ia melihat, reksadana pendapatan tetap berbasis obligasi korporasi yang akan punya prospek lebih baik. Sementara reksadana pendapatan tetap berbasis obligasi negara dinilai punya upside yang cenderung terbatas. Menurut Yudha, yield SBN acuan 10 tahun idealnya pada akhir tahun nanti berada di 6,75-6,80%. Artinya, dengan yield SBN acuan 10 tahun yang saat ini berada di kisaran 6,9%, upside yang ditawarkan cenderung terbatas. Baca Juga: Sempat Tertekan, Prospek Reksadana Pendapatan Tetap Diyakini Mulai Membaik “Dengan sentimen kenaikan suku bunga global serta inflasi yang tinggi, kami melihat SBN masih akan volatile sampai akhir tahun nanti,” ujarnya ketika dihubungi Kontan.co.id, Senin (6/6). Oleh karena itu, guna memaksimalkan kinerja reksadana pendapatan tetap di Trimegah AM, Yudha bilang pihaknya menggunakan strategi overweight pada obligasi korporasi. Ia meyakini, kinerja obligasi korporasi akan jauh lebih stabil dan diuntungkan dengan pembukaan kembali ekonomi serta turunnya risiko kredit ke depan. Dia menambahkan, saat ini pemilihan obligasi korporasi pada reksadana pendapatan tetap Trimegah AM juga terdiversifikasi dan tidak sebatas pada sektor tertentu. Namun, tema besar yang dipilih adalah sektor yang diuntungkan dengan pembukaan kembali ekonomi. Yudha bilang, beberapa emiten dari sektor komoditas CPO, perbankan & finance, dan consumer goods jadi pilihan saat ini. Baca Juga: Diselimuti Katalis Positif, Kinerja Reksadana Diperkirakan Moncer pada Pekan Ini Selain mempertimbangkan sektornya, ia menyebut analisa emiten pilihan juga dilakukan secara menyeluruh. Mulai dari top down, bottom up, model bisnis yang digunakan, cashflow, hingga akses financing emiten tersebut. “Kami optimistis produk reksadana pendapatan tetap milik kami masih bisa menawarkan imbal hasil 6,5-7% nett pada akhir tahun nanti,” tutup Yudha. Cek Berita dan Artikel yang lain di Google News",investasi
Pasar Saham dan Obligasi Menorehkan Kinerja Positif di Tengah Ancaman Global,2024-08-21T02:01:49.752Z,"Senin, 30 Mei 2022 / 13:58 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/pasar-saham-dan-obligasi-menorehkan-kinerja-positif-di-tengah-ancaman-global,"KONTAN.CO.ID - JAKARTA. Indeks Harga Saham Gabungan (IHSG) kembali menorehkan kinerja positif pekan ini sebesar 1,56%. Infovesta Utama menyebut, kinerja positif tersebut didukung oleh berbagai faktor, di antaranya respons penanganan Bl yang optimistis mempertahankan suku bunga BI 7-Day-RR di level 3,5%, di tengah tekanan lonjakan inflasi yang sudah dirasakan di beberapa negara. Faktor lainnya adalah kenaikan harga komoditas yang masih berlanjut menyusul belum tuntasnya konflik Rusia-Ukraina. Mengingat konflik tersebut belum menunjukkan tanda-tanda akan segera selesai, maka hal ini masih berpotensi mengerek harga komoditas ke depannya. Adapun kenaikan harga tersebut justru memengaruhi kenaikan penerimaan pajak menjadi Rp 679,99 triliun atau 53,04% dari target APBN 2022 hingga 26 Mei 2022 (ytd). Baca Juga: Pasar Keuangan Positif, Kinerja Seluruh Jenis Reksadana Ikut Terangkat “Meski begitu, kami memperkirakan ke depannya pelaku pasar akan mewaspadai kondisi pasar global, karena ancaman inflasi, suku bunga tinggi dan risiko perlambatan ekonomi, akan terjadi dalam waktu yang bersamaan,” kata Infovesta Utama dalam rilis mingguan pada Senin (30/5). Oleh karena itu, Infovesta Utama menyarankan kepada para investor untuk dapat mempertimbangkan profit taking di tengah market yang fluktuatif atau wait and see, sambil terus memantau perkembangan isu dan sentimen di pasar. Di saat yang bersamaan, pasar obligasi juga memberikan respons positif terhadap rilis data ekonomi Indonesia dan respons kebijakan BI terhadap kebijakan suku bunga. Baca Juga: Dana Kelolaan Nasabah Tajir Terus Tumbuh Di samping itu, prospek minat investor asing terhadap global bond Indonesia memberikan respons yang positif terhadap pasar karena dipengaruhi perbaikan data ekonomi, sehingga outlook sovereign rating Indonesia menjadi stabil dari sebelumnya negatif, di tengah kondisi volatilitas yang terjadi. Meskipun demikian, Infovesta Utama melihat rencana kenaikan suku bunga The Fed yang agresif masih membayangi pasar obligasi hingga kuartal II-2022. Oleh karena itu, investor yang ingin berinvestasi pada pasar obligasi sebaiknya memilih investasi SBN yang memberikan imbal hasil yang sesuai dengan target jangka panjang investor. Dengan mengacu pada kondisi di atas, Infovesta Utama meyakini reksadana pendapatan tetap, campuran dan saham berpotensi untuk bergerak fluktuatif. Oleh karena itu, Investor dapat memanfaatkan pasar uang yang lebih stabil dan justru berpotensi diuntungkan dengan kenaikan suku bunga. “Untuk investor yang ingin tetap mencari peluang melalui jenis selain pasar uang, dapat mempertimbangkan dollar cost averaging (strategi investasi secara rutin di setiap periode) untuk meminimalisir risiko berinvestasi,” tutup Infovesta Utama. Cek Berita dan Artikel yang lain di Google News",investasi
Inflasi Jadi Sentimen Penekan Kinerja Obligasi di Kuartal II-2022,2024-08-21T02:01:50.202Z,"Senin, 04 April 2022 / 21:07 WIB",Reporter: Danielisa Putriadita | Editor: Anna Suci Perwitasari,https:////newssetup.kontan.co.id/news/inflasi-jadi-sentimen-penekan-kinerja-obligasi-di-kuartal-ii-2022,"KONTAN.CO.ID - JAKARTA. Prospek kinerja pasar obligasi di kuartal II-2022 diproyeksi belum akan membaik. Terlebih, di tiga bulan pertama tahun ini, kinerja pasar obligasi masih melempem. Para analis mengatakan, pasar obligasi masih akan diselimuti sentimen negatif, mulai dari kenaikan tingkat suku bunga acuan hingga lonjakan inflasi. Sekedar informasi, kinerja obligasi korporasi secara rata-rata hanya menghasilkan return 1,27% di sepanjang kuartal I-2022. Investasi di obligasi negara secara rata-rata malah merugi 0,15% di periode yang sama. Head of Fixed Income Sucorinvest Asset Management Dimas Yusuf mengatakan, sentimen yang akan mempengaruhi pergerakan pasar obligasi di kuartal II-2022 adalah kenaikan inflasi dan normalisasi tingkat suku bunga acuan. Sebelumnya, Federal Reserve (The Fed) sudah menyampaikan akan menaikkan lagi suku bunga acuannya sebanyak 25 basis poin. Namun, pelaku pasar memproyeksi kenaikan yang lebih tinggi. Baca Juga: Mengintip Prospek Kinerja Reksadana Indeks di Tengah Rekor IHSG Suku bunga acuan dari sejumlah negara dalam tren naik untuk meredam lonjakan inflasi yang sudah di depan mata. Hal yang sama juga terjadi di dalam negeri, di mana lonjakan inflasi juga terjadi. ""Pasar obligasi di kuartal II-2022 masih akan tertekan karena inflasi di ekspektasi naik dengan diperbolehkan mudik Lebaran,"" kata Dimas, Senin (4/4). Sementara, yield obligasi pemerintah tenor 10 tahun, Dimas proyeksikan masih akan berada di level tinggi seperti posisi di Senin (4/4) yang berada di level 6,7%. Kompak, Head of Fixed Income Trimegah Asset Management Darma Yudha juga memproyeksikan inflasi akan naik lebih tinggi dari proyeksi pemerintah. Penyebabnya, perang Rusia-Ukraina masih terus berlanjut dan membuat harga komoditas naik. Bahkan, pemerintah sudah menyesuaikan kenaikan harga komoditas dengan juga menaikkan harga baham bakar minyak. Inflasi yang ditargetkan 3,5% berpotensi naik ke 5%. ""Musuh obligasi adalah inflasi tinggi yang membuat harga obligasi menurun,"" kata Yudha. Baca Juga: Ungguli Obligasi Pemerintah, Simak Prospek Kinerja Obligasi Korporasi Tahun Ini Dimas memproyeksikan pasar obligasi berpotensi terkoreksi dengan yield yang naik ke 6,8%-6,9%. Namun, tidak menutup kemungkinan jika harga komoditas kembali normal dan kondisi geopolitik sudah stabil, pasar obligasi berpotensi menguat kembali dengan yield turun ke 6,2%-6,5% di tahun ini. ""Penguatan pasar obligasi masih akan didukung dari likuiditas yang tinggi dan real yield Indonesia yang tetap menarik,"" kata Dimas. Di satu sisi, Dimas mengatakan koreksinya pasar obligasi bisa dimanfaatkan investor untuk mendapatkan harga obligasi yang lebih murah. Melihat fundamental Indonesia yang solid, pasar obligasi masih menarik untuk dipegang hingga jangka panjang. Namun, untuk jangka waktu yang lebih pendek, Dimas menyarankan investor untuk masuk ke obligasi korporasi yang pergerakan harganya lebih stabil. Yudha juga mengatakan, seiring perbaikan ekonomi yang terus berlanjut akan menjadi sentimen positif bagi obligasi korporasi. Proyeksi kinerja pasar obligasi korporasi secara rata-rata di tahun ini naik 6%-7%. Cek Berita dan Artikel yang lain di Google News",newssetup
