Title,Scrapping Date,Article Date,Author,Link,Content,Category
Sri Mulyani: Kondisi Ekonomi Indonesia Masih Baik di Tengah Tekanan Ekonomi Global,2024-08-21T02:02:12.001Z,"Jumat, 23 Februari 2024 / 10:30 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/sri-mulyani-kondisi-ekonomi-indonesia-masih-baik-di-tengah-tekanan-ekonomi-global,"KONTAN.CO.ID - JAKARTA. Kondisi perekonomian Indonesia masih relatif moderat di saat perekonomian global mengalami tekanan. Menteri Keuangan Sri Mulyani Indrawati menyampaikan, pertumbuhan ekonomi Indonesia tahun ini akan tetap terjaga di kisaran 5%. Ia menyebut, kondisi perekonomian Indonesia yang baik tercermin dari beberapa indikator yang baik pada Januari 2024. “Sampai Februari ini pun masih terlihat bahwa berbagai indikator menunjukkan adanya indikasi pertumbuhan yang masih bisa terjaga,” tutur Sri Mulyani dalam konferensi pers, Kamis (22/2). Di antaranya, PMI Manufaktur Indonesia yang konsisten ekspansi dalam 29 bulan berturut-turut, mencapai 52,9 pada Januari 2024. Baca Juga: Sri Mulyani: Meski Inflasi Bergerak Turun, Ekonomi Global Masih Lemah Kemudian dalam waktu yang sama, konsumsi listrik untuk bisnis tumbuh 8,9% year on year (yoy), meskipun untuk industri sedikit turun 0,5% yoy. Dari sisi konsumsi, Indeks Keyakinan Konsumen terjaga di angka 125, Mandiri Spending Indeks meningkat 40,0% yoy, dan Indeks Penjualan Riil tumbuh 3,7% yoy. “Indonesia dalam situasi yang relatif baik. Namun kalau kita lihat dari kegiatan manufaktur sampai dengan awal tahun dunia memang tidak dalam posisi yang cukup baik,” ungkapnya. Ia menyebut pada Januari 2024, PMI manufaktur global memang sudah menginjak di level 50, tetapi jika dilihat dari berbagai negara di dunia, hanya 27,3% saja negara yang PMI manufakturnya ekspansif. Sedangkan 50% dari berbagai negara kegiatan PMI manufakturnya mengalami kontraksi atau di bawah 50. Baca Juga:  Risiko Gagal Bayar Utang Negara Berkembang Naik “Jadi Indonesia termasuk kelompok baik atau terbaik di 27,3%. Kita bersama Filipina, India, Tiongkok, Meksiko dan Rusia. Di sisi lain, PMI Manufaktur Global per Januari 2024 mulai membaik. Aktivitas sektor manufaktur di Amerika Serikat, Korea Selatan, Vietnam, Brazil, dan Australia pulih ke zona ekspansi. Sementara itu, negara yang mengalami kontraksi antara lain Eropa, Jerman, Prancis, Italia, Inggris, Jepang, Thailand, Malaysia, Turki, Kanada, dan Afrika Selatan. “Artinya kondisi dunia masih dalam posisi yang cukup ringkih atau rentan,” ungkapnya. Cek Berita dan Artikel yang lain di Google News",nasional
Poundsterling dan Yen Tertekan Kondisi Ekonomi Domestik,2024-08-21T02:02:13.078Z,,Premium User Only,https:////insight.kontan.co.id/news/poundsterling-dan-yen-tertekan-kondisi-ekonomi-domestik,Premium Content - Not Scraped,insight
BI: Ekspektasi Masyarakat Terhadap Kondisi Ekonomi Meningkat pada Januari 2024,2024-08-21T02:02:13.269Z,"Selasa, 13 Februari 2024 / 12:14 WIB",Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/bi-ekspektasi-masyarakat-terhadap-kondisi-ekonomi-meningkat-pada-januari-2024,"KONTAN.CO.ID – JAKARTA. Persepsi konsumen terhadap kondisi ekonomi saat ini pada Januari 2024 meningkat. Bank Indonesia (BI) mencatat, Indeks Kondisi Ekonomi (IKE) Saat Ini pada Januari 2024 sebesar 115,6 atau lebih rendah dari 113,6 pada bulan sebelumnya. Dalam laporan Survei Konsumen BI yang terbit hari ini, Selasa (13/2), meningkatnya IKE pada Januari 2024 terutama didorong oleh peningkatan di 2 komponen pembentuknya. Diantaranya, Indeks Ketersediaan Lapangan Kerja meningkat 5,7 poin menjadi 118,4, Indeks Penghasilan Saat Ini yang tercatat meningkat 1,3 poin menjadi 116,5 pada. Sementara itu, Indeks Pembelian Barang Tahan Lama (Durable Goods) tetap optimis dengan indeks sebesar 112,1 atau turun tipis 0,9 poin dari bulan sebelumnya. Secara spasial, sebagian besar kota mencatat peningkatan IKE, terbesar di Kota Medan mencapai 22,9 poin, disusul Surabaya 13,0 poin dan Padang 12,2 poin. Sementara itu, sebagian kota lainnya mencatat penurunan IKE, terutama di kota Palembang 13,4 poin, disusul Manado 10,2 poin dan Pangkal Pinang 5,2 poin. Baca Juga: Indeks Keyakinan Konsumen Meningkat Jadi 125 Pada Januari 2024 Lebih rinci, indeks ketersediaan lapangan kerja tercatat meningkat pada seluruh tingkat pendidikan. Berdasarkan kelompok usia, seluruhnya berada di area optimis, dengan peningkatan tertinggi pada kelompok usia 31-40 tahun. Sementara itu untuk optimisme responden terhadap penghasilan saat ini meningkat dibandingkan bulan sebelumnya, dengan peningkatan tertinggi pada responden dengan pengeluaran Rp2,1 juta - Rp 3 juta dan kelompok usia 31-40 tahun. Terakhir, keyakinan konsumen dalam melakukan pembelian barang tahan lama terpantau tetap kuat pada seluruh tingkat pengeluaran dengan peningkatan tertinggi pada responden dengan pengeluaran Rp 4,1 juta -Rp 5 juta. Berdasarkan kelompok usia, peningkatan Indeks Pembelian Barang Tahan Lama terutama terjadi pada kelompok usia 31-40 tahun. Cek Berita dan Artikel yang lain di Google News",nasional
"Dalam Forum Investasi, Gubernur BI Ungkapkan Optimisme Kondisi Ekonomi RI di 2024",2024-08-21T02:02:13.442Z,"Rabu, 31 Januari 2024 / 16:01 WIB",Reporter: Bidara Pink | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/dalam-forum-investasi-gubernur-bi-ungkapkan-optimisme-kondisi-ekonomi-ri-di-2024,"KONTAN.CO.ID - JAKARTA. Bank Indonesia (BI) optimistis terhadap prospek perekonomian Indonesia pada tahun 2024. Gubernur BI Perry Warjiyo mengungkapkan, setidaknya ada tiga hal yang mendorong optimismenya, sekalipun dunia sedang dilanda ketidakpastian. Pertama, Perry melihat kondisi ekonomi Indonesia berprogres meski dihantam badai, yang tercermin dari pertumbuhan ekonomi yang meningkat. Baca Juga: Pesan Bos BI Kepada Perbankan: SBN Jangan Dikekep, Lakukan Repo untuk Dorong Kredit “Tingkat inflasi Indonesia juga rendah, serta nilai tukar rupiah menguat,” terang Perry dalam keterangan resmi yang diterima Kontan.co.id, Rabu (31/1). Kedua, inovasi yang telah diluncurkan oleh BI serta program transformasi berbasis teknologi dan digitalisasi, telah disiapkan dalam menghadapi tekanan dunia. Terutama, adanya peningkatan tensi geopolitik yang berpotensi menahan proses disinflasi dan risiko perlambatan ekonomi global yang lebih tajam. Ketiga, penguatan kolaborasi dalam menghadapi tantangan, termasuk menghadapi volatilitas di tahun 2024. Adapun Perry mengungkapkan optimismenya dalam forum Investasi Tahunan, yang merupakan acara BI sebagai sarana antar bank sentral untuk bertukar pikiran dan diskusi kebijakan, terkait pengelolaan devisa. Baca Juga: Fundamental Kuat, BI Yakin Rupiah Lebih Solid di Semester II-2024 Pada tahun ini, forum investasi tersebut dilaksanakan di Komplek Perkantoran BI di Jakarta, dengan tema “Resiliency and Agility: Future-Proofing Forex Reserves.” Cek Berita dan Artikel yang lain di Google News",nasional
Dirut Trimegah Sekuritas: Investor Wajib Pahami Kondisi Politik dan Dampak Ekonomi,2024-08-21T02:02:13.610Z,"Rabu, 31 Januari 2024 / 13:42 WIB",Reporter: Yudho Winarto | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/dirut-trimegah-sekuritas-investor-wajib-pahami-kondisi-politik-dan-dampak-ekonomi,"KONTAN.CO.ID - JAKARTA. Direktur Utama PT Trimegah Sekuritas Indonesia Tbk (TRIM) Philmon Samuel Tanuri menyatakan, 2024 merupakan tahun penting bagi 64 negara di dunia, seperti Amerika Serikat (AS), India, Inggris, Rusia, Korea Selatan, dan termasuk Indonesia yang akan menyelenggarakan pemilihan umum (Pemilu). Sebab, hasil dari pemilu akan sangat menentukan arah negara dalam 4-5 tahun ke depan, termasuk memberikan kepastian bagi para investor di Indonesia. “Kita akan berpartisipasi dalam pemilihan kepala daerah dan pemilihan presiden serta wakil presiden. Sebagai investor, tentunya sebelum ambil investasi, kita wajib memahami kondisi politik ke depan serta dampak ekonomi terhadap pasar modal,” kata Philmon dalam keterangannya saa memberi sambutan di Trimegah Political and Economic Outlook 2024 “The Urgency to Ignite Growth”, Rabu (31/1).    Baca Juga: Trimegah Sekuritas (TRIM) Masih Kantongi 2 Perusahaan dalam Pipeline IPO Melalui Trimegah Political and Economic Outlook 2024, Philmon melanjutkan Trimegah ingin memberikan informasi sebagai bahan pertimbangan bagi para investor untuk mengambil keputusan investasi. Alasannya, saat ini masih banyak investor dalam posisi wait and see. “Trimegah berkomitmen untuk berbagi informasi dan pandangan terkini bagi nasabah. Semoga mendapatkan pencerahan untuk mengambil keputusan,” ujar Philmon. Dalam kesempatan yang sama, Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal (BKPM), Bahlil Lahadalia menambahkan kondisi geopolitik dan geoekonomi global masih mengkhawatirkan. Meski demikian, perekonomian Indonesia dinilai tetap stabil. Hal tersebut dikarenakan tercapainya target realisasi investasi dan kinerja ekspor yang baik meski harga komoditas dunia tengah turun. Pada tahun 2023, realisasi Penanaman Modal Asing (PMA) sebesar Rp 743 triliun atau sekitar 52,4%. Adapun realisasi Penanaman Modal Dalam Negeri (PMDN) sebesar Rp 674 triliun atau sekitar 48,5%. Baca Juga: Trimegah Sekuritas Kerek Target Harga Saham JSMR, Simak Alasannya “Pertumbuhan ekonomi di kuartal empat juga masih tumbuh di atas 5% dengan inflasi di bawah 3%. Angka inflasi tersebut masih lebih baik dibandingkan saat pandemi,” tegas Bahlil. Bahlil meneruskan Presiden Joko Widodo juga memerintahkan BKPM untuk mendorong pertumbuhan investasi di luar Jawa. Kebijakan tersebut berdampak positif terhadap pertumbuhan ekonomi Indonesia yang stabil. Berdasarkan data BKPM, realisasi investasi di luar Jawa pada 2023 mencapai Rp 730 triliun atau setara 51,5%, sementara di Jawa sebesar Rp 688 triliun atau sekitar 48,5%. “Market berbicara tentang kepastian. Pemimpin Indonesia butuh visi dan eksekusi yang bagus. Maka stabilitas ekonomi akan bagus, tergantung pada siapa presiden yang akan memimpin. Saya pikir kita akan bisa melihat dan berproses ke depan,” ucapnya. Baca Juga: Trimegah Sekuritas (TRIM) Terima Dividen Dari Anak Usaha Dalam Trimegah Political and Economic Outlook 2024 turut dihadiri Garibaldi Thohir, Mantan Menteri Perdagangan Muhammad Lutfi, Mantan Duta Besar Indonesia untuk Amerika Serikat Rosan Roeslani, dan Direktur Eksekutif Indikator Politik Indonesia Burhanuddin Muhtadi. Cek Berita dan Artikel yang lain di Google News",investasi
Persepsi Masyarakat pada Kondisi Ekonomi Indonesia Saat Ini Meningkat,2024-08-21T02:02:13.868Z,"Rabu, 10 Januari 2024 / 05:50 WIB",Reporter: Siti Masitoh | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/persepsi-masyarakat-pada-kondisi-ekonomi-indonesia-saat-ini-meningkat,"KONTAN.CO.ID – JAKARTA. Persepsi konsumen terhadap kondisi ekonomi pada Desember 2023 meningkat, bila dibandingkan dengan bulan sebelumnya. Berdasarkan hasil Survei Konsumen Bank Indonesia (BI) yang terbit Selasa (9/1) menunjukkan, Indeks Kondisi Ekonomi (IKE) saat Ini tercatat sebesar 113,6 atau meningkat 0,6 poin dari 113 pada November 2023. IKE tercatat meningkat terutama pada Indeks Pembelian Barang Tahan Lama  (Durable Goods) yang tercatat sebesar 113,0 meningkat 2,8 poin dari November 2023. Baca Juga: Ekonom: Kenaikan IKK Cerminkan Konsumsi Rumah Tangga di Kuartal IV 2023 Tumbuh 5% Secara spasial, sebagian kota mencatat peningkatan IKE, terbesar di Kota Manado 14,2 poin, disusul Makassar 11,8 poin dan Medan 9,4 poin. Sementara itu, sebagian kota lainnya mencatat penurunan IKE, terdalam di Kota Bandar Lampung 11,7 poin, disusul Mataram 7,5 poin dan Padang 7,2 poin. Pada Desember 2023 keyakinan konsumen dalam melakukan pembelian durable goods terpantau meningkat pada seluruh tingkat pengeluaran, terutama pada responden dengan tingkat pengeluaran Rp1 juta sampai Rp 2 juta. Berdasarkan kelompok usia, peningkatan Indeks Pembelian Durable Goods terjadi pada kelompok usia di atas 40 tahun. Meski demikian, Indeks Penghasilan Saat Ini dan Indeks Ketersediaan Lapangan Kerja tercatat menurun bila dibandingkan bulan sebelumnya. Baca Juga: Pendapatan untuk Konsumsi Turun, Tapi Pembayaran Cicilan dan Tabungan Meningkat Indeks Penghasilan Saat Ini tercatat sebesar 115,2 atau turun 0,4 poin. Penurunan terutama terlihat pada responden dengan tingkat pengeluaran Rp 4,1 juta sampai Rp 5 juta. Sedangkan berdasarkan kelompok usia, penurunan indeks terdalam terjadi pada kelompok responden di usia lebih dari 60 tahun turun 4,2 poin menjadi 120,7. Lebih lanjut, untuk Indeks Ketersediaan Lapangan Kerja tercatat sebesar 112,7 atau turun 0,5 poin. Jika dilihat berdasarkan Pendidikan, penurunan paling dalam ada responden per kelompok pascasarjana yakni menurun 24,1 poin menjadi 120,3. Namun, jika dilihat berdasarkan kelompok usia, penurunan paling dalam ada pada kelompok  usia 20 hingga 30 tahun dengan tingkat penurunan sebesar 2,7 poin menjadi 120. Cek Berita dan Artikel yang lain di Google News",nasional
Keyakinan Masyarakat Terhadap Kondisi Ekonomi Saat Ini Meningkat,2024-08-21T02:02:14.113Z,"Selasa, 09 Januari 2024 / 12:33 WIB",Reporter: Siti Masitoh | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/keyakinan-masyarakat-terhadap-kondisi-ekonomi-saat-ini-meningkat-1,"KONTAN.CO.ID – JAKARTA. Persepsi konsumen terhadap kondisi ekonomi pada Desember 2023 meningkat, bila dibandingkan dengan bulan sebelumnya. Berdasarkan hasil Survei Konsumen Bank Indonesia (BI) yang terbit Selasa (9/1) menunjukkan, Indeks Kondisi Ekonomi (IKE) saat Ini tercatat sebesar 113,6 atau meningkat 0,6 poin dari 113 pada November 2023. IKE tercatat meningkat terutama pada Indeks Pembelian Barang Tahan Lama  (Durable Goods) yang tercatat sebesar 113,0 meningkat 2,8 poin dari November 2023. Baca Juga: Naik Tipis Pekan Ini, Intip Prediksi Rupiah untuk Pekan Depan Secara spasial, sebagian kota mencatat peningkatan IKE, terbesar di Kota Manado 14,2 poin, disusul Makassar 11,8 poin dan Medan 9,4 poin. Sementara itu, sebagian kota lainnya mencatat penurunan IKE, terdalam di Kota Bandar Lampung 11,7 poin, disusul Mataram 7,5 poin dan Padang 7,2 poin. Pada Desember 2023 keyakinan konsumen dalam melakukan pembelian durable goods terpantau meningkat pada seluruh tingkat pengeluaran, terutama pada responden dengan tingkat pengeluaran Rp1 juta sampai Rp 2 juta. Berdasarkan kelompok usia, peningkatan Indeks Pembelian Durable Goods terjadi pada kelompok usia di atas 40 tahun. Meski demikian, Indeks Penghasilan Saat Ini dan Indeks Ketersediaan Lapangan Kerja tercatat menurun bila dibandingkan bulan sebelumnya. Baca Juga: BI Sebut Pemilu Jadi Salah Satu Pemicu Pertumbuhan Ekonomi pada Tahun Depan Indeks Penghasilan Saat Ini tercatat sebesar 115,2 atau turun 0,4 poin. Penurunan terutama terlihat pada responden dengan tingkat pengeluaran Rp 4,1 juta sampai Rp 5 juta. Sedangkan berdasarkan kelompok usia, penurunan indeks terdalam terjadi pada kelompok responden di usia lebih dari 60 tahun turun 4,2 poin menjadi 120,7. Lebih lanjut, untuk Indeks Ketersediaan Lapangan Kerja tercatat sebesar 112,7 atau turun 0,5 poin. Jika dilihat berdasarkan Pendidikan, penurunan paling dalam ada responden per kelompok pascasarjana yakni menurun 24,1 poin menjadi 120,3. Namun, jika dilihat berdasarkan kelompok usia, penurunan paling dalam ada pada kelompok  usia 20 hingga 30 tahun dengan tingkat penurunan sebesar 2,7 poin menjadi 120. Cek Berita dan Artikel yang lain di Google News",nasional
Jokowi: Kenaikan Gaji ASN Sesuai Kondisi Ekonomi Negara,2024-08-21T02:02:14.372Z,"Selasa, 09 Januari 2024 / 04:13 WIB",Reporter: Barratut Taqiyyah Rafie | Editor: Barratut Taqiyyah Rafie,https:////nasional.kontan.co.id/news/jokowi-kenaikan-gaji-asn-sesuai-kondisi-ekonomi-negara,"KONTAN.CO.ID - JAKARTA. Kebijakan kenaikan gaji bagi para aparatur sipil negara (ASN) dilakukan melalui perhitungan dan pertimbangan yang matang, sesuai dengan situasi perekonomian negara. Hal tersebut ditegaskan oleh Presiden Joko Widodo (Jokowi). “Ya situasi fiskal kita, situasi ekonomi kan berbeda-beda. Kita memutuskan menaikan atau tidak menaikan semuanya pasti dengan pertimbangan-pertimbangan yang matang,” ucap Presiden yang dikutip melalui siaran persnya usai meresmikan Jalan Tol Pamulang-Cinere-Raya Bogor di Gerbang Tol Limo Utama, Kota Depok, Provinsi Jawa Barat, pada Senin (8/1/2024). Mengutip laman Setkab.go.id, salah satu pertimbangan yang disebut Jokowi adalah pandemi COVID-19 yang menjadikan kondisi perekonomian negara tidak memungkinkan untuk melakukan kenaikan gaji. Oleh karenanya, pemerintah melakukan perhitungan dan kalkulasi yang baik sebelum memutuskan kebijakan kenaikan gaji tersebut. “Kalau fiskal kita dalam posisi tertekan oleh eksternal, misalnya kemarin oleh Covid, oleh perang dagang, kemudian oleh geopolitik yang tidak memungkinkan ya tidak mungkin kita lakukan. Semuanya dengan pertimbangan-pertimbangan dan kalkulasi-kalkulasi yang matang,” imbuhnya. Baca Juga: Tanggapi Pernyataan Anies Baswedan Soal Kenaikan Gaji PNS, Ini Kata Jokowi Kepala Negara pun berharap kebijakan kenaikan gaji ASN, TNI, dan Polri pada tahun ini dapat mendorong daya beli dan perekonomian masyarakat. Presiden juga menyebut bahwa peraturan terkait kenaikan gaji tersebut akan segera diterbitkan. “Ya secepatnya, secepatnya akan keluar. Saya harapkan bisa meningkatkan kesejahteraan, daya beli, dan juga berimbas kepada perekonomian,” jelasnya. Cek Berita dan Artikel yang lain di Google News",nasional
"Kondisi Ekonomi Mulai Pulih, HERO Optimis Kinerja Bisnis Tahun Ini Lebih Baik",2024-08-21T02:02:14.611Z,"Minggu, 07 Januari 2024 / 06:45 WIB",Reporter: Rashif Usman | Editor: Handoyo .,https:////industri.kontan.co.id/news/kondisi-ekonomi-mulai-pulih-hero-optimis-kinerja-bisnis-tahun-ini-lebih-baik,"KONTAN.CO.ID - JAKARTA. Emiten ritel, PT Hero Supermarket Tbk (HERO) yakin meraih pertumbuhan kinerja di tahun 2024. HERO menyatakan, optimisme ini tak lepas dari kondisi ekonomi dan jumlah kunjungan pelanggan yang sudah mulai memulih. Head of Corporate and Consumer Affairs Hero Supermarket Diky Risbianto mengatakan, melalui dukungan kinerja perseroan yang terus mengalami peningkatan, HERO melihat peluang positif dan meyakini peningkatan kinerja di tahun 2024. Kendati demikian, Diky tidak merinci berapa target pertumbuhan bisnis, baik secara pendapatan dan laba di tahun politik ini. ""Pencapaian positif selama sembilan bulan pertama 2023 menunjukkan bahwa kinerja HERO Group sudah berada pada jalur yang tepat, sehingga kami optimistis dapat mencapai target,"" kata Diky kepada Kontan, Rabu (3/1). Baca Juga: Hero Supermarket (HERO) Kejar Pertumbuhan Kinerja Hingga kuartal III-2023, HERO berhasil membukukan pendapatan bersih sebesar Rp 3,8 miliar atau naik 18% year-on-year dari periode sama tahun sebelumnya sebesar Rp 3,2 miliar. Diky menjelaskan, HERO telah memperoleh profitabilitas yang cukup baik dan memberikan kontribusi positif terhadap peningkatan posisi keuangan. HERO juga sudah memperhitungkan strategi bisnisnya dan akan terus melakukan penambahan sejumlah gerai dari merek-merek dagangnya di sepanjang tahun 2024. ""Ini merupakan bagian upaya dari HERO Group untuk terus meningkatkan aksesibilitas bagi pelanggan kami, serta terus berinovasi untuk mengoptimalkan pengalaman berbelanja yang menarik dan menyenangkan dalam memenuhi kebutuhan konsumen Indonesia yang terus berkembang,"" ucapnya. Diwartakan Kontan sebelumnya, HERO mencetak laba sebesar Rp 19 miliar hingga kuartal III-2023, dibandingkan dengan kerugian sebesar Rp 85 miliar yang dibukukan pada tahun 2022 terutama disebabkan oleh keuntungan dari divestasi properti non-inti.    Guardian Health and Beauty membukukan pertumbuhan penjualan like-for-like (LFL) sebesar lebih dari 20%, yang didukung oleh pemulihan jumlah kunjungan pelanggan ke toko-toko di mall premium dan area wisata. Guardian memperkuat proposisi nilainya dengan mengoptimalkan rangkaian produknya dan mengembangkan kehadiran omnichannel untuk meningkatkan aksesibilitas bagi pelanggan. Cek Berita dan Artikel yang lain di Google News",industri
Masyarakat Masih Optimistis dengan Kondisi Ekonomi ke Depan,2024-08-21T02:02:14.865Z,"Sabtu, 09 Desember 2023 / 05:21 WIB",Reporter: Bidara Pink | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/masyarakat-masih-optimistis-dengan-kondisi-ekonomi-ke-depan,"KONTAN.CO.ID - JAKARTA. Ekonomi Indonesia dalam enam bulan ke depan diperkirakan tetap stabil. Ini tercermin dari indeks ekspektasi konsumen terhadap kondisi ekonomi enam bulan ke depan pada November 2023 terpantau stabil, atau tak berubah bila dibandingkan dengan bulan sebelumnya. Hasil Survei Konsumen Bank Indonesia (BI) yang terbit Jumat (8/12) menunjukkan, Indeks Ekspektasi Konsumen (IEK) November 2023 sebesar 134,2.  IEK tersebut juga masih berada dalam zona optimistis, atau indeks di atas 100. Nah, bila meniliki komponen pembentuknya, ada dua komponen IEK yang terpantau meningkat pada November 2023, yaitu ekspektasi penghasilan dan ekspektasi kegiatan usaha. Indeks Ekspektasi Penghasilan pada November 2023 tercatat 138,0 atau naik dari 135,7 pada bulan sebelumnya. Baca Juga: Keyakinan Masyarakat Menurun Pada Bulan November 2023 Ekspektasi konsumen terhadap penghasilan ke depan terindikasi meningkat pada beberapa kelompok pengeluaran dan usia responden. Dengan peningkatan tertinggi pada kelompok pengeluaran Rp 3,1 juta hingga Rp 4 juta per bulan, juga kelompok usia 51 tahun hingga 60 tahun. Selanjutnya, Indeks Ekspektasi Kegiatan Usaha pada November 2023 tercatat 133,2 atau naik dari 132,8 pada bulan sebelumnya. Peningkatan terjadi pada beberapa kelompok pengeluaran, dengan peningkatan tertinggi pada responden dengan tingkat pengeluaran Rp 2,1 juta hingga Rp 3 juta per bulan. Sementara dari sisi usia, peningkatan ekspektasi kegiatan usaha terjadi pada beberapa kelompok, dengan peningkatan tertinggi pada kelompok usia 51 tahun hingga 60 tahun. Baca Juga: Optimisme Masyarakat Terhadap Kondisi Ekonomi Saat Ini Menurun Sebaliknya, Indeks Ekspektasi Ketersediaan Lapangan Kerja pada November 2023 tercatat 131,4 atau turun dari 134,0 pada Oktober 2023. Berdasarkan tingkat pendidikan, penurunan terdalam terjadi pada kelompok responden dengan tingkat pendidikan Akademi. Sedangkan dari sisi usia, ekspektasi terhadap ketersediaan lapangan kerja teirndikasi menurun pada seluruh kelompok usia, kecuali pada kelompok usia 20 tahun hingga 30 tahun. Cek Berita dan Artikel yang lain di Google News",nasional
