Title,Scrapping Date,Article Date,Author,Link,Content,Category
Yield Obligasi Pemerintah Indonesia Berpotensi Naik Berkat Aksi Beli US Treasury,2024-08-21T01:58:28.822Z,"Jumat, 10 November 2023 / 04:30 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/yield-obligasi-pemerintah-indonesia-berpotensi-naik-berkat-aksi-beli-us-treasury,"KONTAN.CO.ID - JAKARTA. Pidato Kepala Federal Reserve Jerome Powell yang tidak membahas suku bunga maupun proyeksi ekonomi mendatang menenangkan pasar global. Hal ini mendorong aksi beli, yang tercermin dari turunnya yield US Treasury tenor 10 tahun dan Bund masing-masing sebesar 7 bps dan 4 bps menjadi 4,49% dan 2,62%. Meskipun demikian, Macro Strategist Samuel Sekuritas melihat, koreksi di pasar surat berharga negara (SBN) domestik masih akan berlanjut. Pasalnya, jarak antara obligasi pemerintah Indonesia (INDOGB) tenor 10 tahun di 6,8% dengan batas bawah JIBOR 1M di 6,66% masih terlalu tipis bila dibandingkan dengan jarak antara yield INDOGB 5 tahun di 6,74% dan INDOGB 2 tahun di 6,86% dengan JIBOR 1W di 6,25%. Baca Juga: Dolar AS Merosot, Ini Deretan Mata Uang yang Menguat Tajam Sepekan Terakhir ""Kami memprediksi yield INDOGB tenke 10 tahun masih berpotensi terkoreksi ke level 6,9%-7,1% dalam beberapa hari ke depan,"" tutur Lionel dalam risetnya, Kamis (9/11). Untuk hari ini, Lionel memperkirakan yield INDOGB tenor 10 tahun akan bergerak naik ke rentang 6,8%-6,9%. Hal ini disertai dengan konsolidasi rupiah di rentang Rp 15.600-Rp 15.700 per USD. Dengan kata lain, Lionel memprediksi berakhirnya kondisi inverted yield curve INDOGB dengan pergerakan bearish. Hal ini didasarkan pada posisi suku bunga diskonto SRBI 12M di 7,01%. Cek Berita dan Artikel yang lain di Google News",investasi
"Aksi Beli US Treasury, Yield Obligasi Pemerintah Indonesia Berpotensi Naik Lagi",2024-08-21T01:58:28.953Z,"Kamis, 09 November 2023 / 13:05 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/aksi-beli-us-treasury-yield-obligasi-pemerintah-indonesia-berpotensi-naik-lagi,"KONTAN.CO.ID - JAKARTA. Pidato Kepala Federal Reserve Jerome Powell yang tidak membahas suku bunga maupun proyeksi ekonomi mendatang menenangkan pasar global. Hal ini mendorong aksi beli, yang tercermin dari turunnya yield US Treasury tenor 10 tahun dan Bund masing-masing sebesar 7 bps dan 4 bps menjadi 4,49% dan 2,62%. Meskipun demikian, Macro Strategist Samuel Sekuritas melihat, koreksi di pasar surat berharga negara (SBN) domestik masih akan berlanjut. Pasalnya, jarak antara obligasi pemerintah Indonesia (INDOGB) tenor 10 tahun di 6,8% dengan batas bawah JIBOR 1M di 6,66% masih terlalu tipis bila dibandingkan dengan jarak antara yield INDOGB 5 tahun di 6,74% dan INDOGB 2 tahun di 6,86% dengan JIBOR 1W di 6,25%. Baca Juga: Dolar AS Merosot, Ini Deretan Mata Uang yang Menguat Tajam Sepekan Terakhir ""Kami memprediksi yield INDOGB tenke 10 tahun masih berpotensi terkoreksi ke level 6,9%-7,1% dalam beberapa hari ke depan,"" tutur Lionel dalam risetnya, Kamis (9/11). Untuk hari ini, Lionel memperkirakan yield INDOGB tenor 10 tahun akan bergerak naik ke rentang 6,8%-6,9%. Hal ini disertai dengan konsolidasi rupiah di rentang Rp 15.600-Rp 15.700 per USD. Dengan kata lain, Lionel memprediksi berakhirnya kondisi inverted yield curve INDOGB dengan pergerakan bearish. Hal ini didasarkan pada posisi suku bunga diskonto SRBI 12M di 7,01%. Cek Berita dan Artikel yang lain di Google News",investasi
Kenaikan Suku Bunga BI dan Inflasi yang Stabil Kerek Real Yield Obligasi Indonesia,2024-08-21T01:58:29.199Z,"Rabu, 01 November 2023 / 21:30 WIB",Reporter: Nur Qolbi | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/kenaikan-suku-bunga-bi-dan-inflasi-yang-stabil-kerek-real-yield-obligasi-indonesia,"KONTAN.CO.ID - JAKARTA. Kenaikan suku bunga Bank Indonesia (BI) sebesar 25 bps menjadi 6,00% pada pertemuan Oktober 2023 membuat pasar obligasi dalam negeri kembali menarik. Hal ini didukung oleh terkendalinya inflasi Indonesia yang sebesar 2,56% secara tahunan atau year on year (yoy) pada Oktober 2023. Sejalan dengan peningkatan suku bunga acuan BI, yield obligasi pemerintah Indonesia tenor 10 tahun mencatatkan kenaikan dari 6,2% pada bulan Juli menjadi di atas 7% di bulan Oktober 2023. ""Kenaikan yield tersebut cenderung menghasilkan real yield yang cukup tinggi, yakni mencapai 4,5%,"" kata Analis Fixed Income Sucorinvest Asset Management Alvaro Ihsan saat dihubungi Kontan.co.id, Rabu (1/11). Baca Juga: Dua Reksadana Offshore BNP Paribas AM Catat Kinerja Dobel Digit Alvaro menjelaskan, real yield menunjukkan imbal hasil dari obligasi yang investor dapatkan setelah memperhitungkan inflasi. Menurutnya, dengan inflasi Indonesia yang terkendali, berinvestasi pada obligasi sudah semakin menarik. Fixed Income Research Mirae Asset Sekuritas Indonesia Karinska Salsabila menambahkan, BI menaikkan suku bunga acuannya untuk menstabilkan pasar. Pasalnya, penguatan dolar AS yang signifikan terjadi pada Oktober 2023 meningkatkan yield obligasi pemerintah AS alias US Treasury tenor 10 tahun ke kisaran 4,8%. Kenaikan yield UST tenor 10 tahun tersebut mempersempit spread dengan yield obligasi pemerintah Indonesia. Pelaku pasar lebih tertarik berinvestasi di AS sehingga menyebabkan arus dana keluar alias capital outflow yang signifikan sejak awal Oktober 2023. Oleh sebab itu, Karinska memprediksi, BI akan kembali menaikkan suku bunga acuannya sebesar 25 bps di sisa tahun ini demi membatasi tekanan pada rupiah dan membendung capital outflow. ""Dampak kenaikan suku bunga ini akan terasa di semester 1 2024,"" kata Karinska. Baca Juga: Yield US Treasury Naik, Bagaimana Prospek Pasar Obligasi Domestik? Meskipun begitu, Karinska melihat, obligasi pemerintah Indonesia tenor 10 tahun masih cukup menarik dibanding negara lain. Secara year to date (ytd), 10Y INDOGB  mencatatkan return 4%, cukup tinggi dibanding obligasi pemerintah China, Malaysia, dan Thailand. Return positif tersebut didukung oleh kondisi ekonomi Indonesia yang cenderung stabil, inflasi yang terkelola, pengetatan moneter yang terukur, dan kondisi fiskal yang solid.",investasi
"BoJ Relaksasi Kebijakan Kontrol Kurva Yield, Bagaimana Efeknya Bagi Pasar Obligasi?",2024-08-21T01:58:29.500Z,"Rabu, 01 November 2023 / 10:57 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/boj-relaksasi-kebijakan-kontrol-kurva-yield-bagaimana-efeknya-bagi-pasar-obligasi,"KONTAN.CO.ID - JAKARTA. Bank of Japan (BoJ) mengumumkan keputusan untuk merelaksasi kebijakan kontrol kurva yield (YCC) pada Selasa (31/10). Kebijakan ini memungkinkan imbal hasil obligasi pemerintah Jepang (JGB) tenor 10 tahun meningkat di atas 1%. Hal ini menyebabkan kenaikan yield JGB tenor 10 tahun sebesar 6 basis points (bps) menjadi 0,95%. Sejalan dengan itu, Yen Jepang terdepresiasi 1,7% menjadi JPY 151,7 per dolar AS. Macro Strategist Samuel Sekuritas Lionel Priyadi mengatakan, keputusan ini berdampak minimal terhadap pasar US Treasury (UST) maupun obligasi Eropa. Hal ini tercermin dari kenaikan yield UST tenor 10 tahun sebesar 4 bps menjadi 4,93% serta penurunan yield Bund tenor 10 tahun sebesar 2 bps menjadi 2,81%. Baca Juga: Yield US Treasury Naik, Bagaimana Prospek Pasar Obligasi Domestik? Penurunan yield Bund tenor 10 tahun lebih disebabkan oleh faktor domestik Eropa berupa turunnya inflasi umum CPI zona Euro yang melebihi konsensus menjadi 2,9% YoY (dari September 2023 sebesar 4,3% YoY dan konsensus 3,1% YoY) serta kontraksi PDB zona Euro di kuartal III-2023 sebesar -0,1% QoQ (dari kuartal II-2023 sebesar 0,2% QoQ dan konsensus 0% QoQ). ""Efek kebijakan BoJ terhadap pasar SBN juga minimal karena terjadinya euforia terhadap peningkatan permintaan lelang SUN yang cukup tajam menjadi Rp 35,9 triliun dari sebelumnya Rp 17 triliun,"" ucap Lionel dalam risetnya, Rabu (1/11). Lionel memprediksi yield obligasi pemerintah Indonesia (INDOGB) tenor 10 tahun masih akan bergerak stabil di rentang 7,1%-7,2% pada Rabu (1/11). Sementara rupiah berpotensi terdepresiasi menuju rentang Rp 15.900-Rp 16.000 per dolar AS akibat penguatan indeks dolar 0,5% menjadi 106,7 tadi malam. Cek Berita dan Artikel yang lain di Google News",investasi
"Yield US Treasury Naik, Bagaimana Prospek Pasar Obligasi Domestik?",2024-08-21T01:58:29.654Z,"Rabu, 01 November 2023 / 09:25 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/yield-us-treasury-naik-bagaimana-prospek-pasar-obligasi-domestik,"KONTAN.CO.ID - JAKARTA. Pasar obligasi domestik sempat memperlihatkan optimisme pada perdagangan Senin (30/10). Hal ini terlihat dari yield obligasi pemerintah Indonesia tenor 10 tahun (10Y INDOGB) yang turun 11 bps menjadi 7,12%. Meningkatnya optimisme pasar global tersebut didorong oleh kemungkinan Federal Reserve untuk mempertahankan suku bunga acuannya di 5,5% pada pertemuan bulan November maupun Desember 2023. Namun, Macro Strategist Samuel Sekuritas Lionel Priyadi melihat, optimisme ini mungkin hanya bersifat sementara. ""Pasalnya, yield 10Y US Treasury naik 6 bps menjadi 4,89% tadi malam,"" ucap Lionel dalam risetnya, Selasa (31/10). Baca Juga: Bunga Naik, Potensi Gagal Bayar Surat Utang Bakal Terkerek Kenaikan ini terjadi setelah Departemen Keuangan Amerika Serikat (AS) mengumumkan rencana pelaksanaan lelang US Treasury sebesar US$ 816 miliar pada kuartal I-2024. Jumlah tersebut lebih tinggi dari konsensus di kisaran US$ 700 miliar dan target lelang US Treasury di kuartal IV-2023 sebesar US$ 776 miliar. Rencana penerbitan ini didasarkan atas upaya menjaga keseimbangan kas sebesar US$ 750 miliar dan defisit anggaran pemerintah Federal AS 2024 sebesar US$ 1,85 triliun, dari tahun 2023 sebesar US$ 1,7 triliun. Lionel memperkirakan, yield 10Y INDOGB akan bergerak stabil di rentang 7,1%-7,2% pada Selasa (31/10). Pergerakan ini diikuti potensi apresiasi rupiah menuju rentang Rp 15.800-Rp 15.900 per dolar AS akibat melemahnya indeks dolar sebesar 0,4% menjadi 106,1 tadi malam. Untuk ke depannya, Lionel juga memperkirakan animo investor Jepang untuk berinvestasi di emerging market Asia, termasuk Indonesia berpotensi turun. Hal ini seiring dengan rencana Bank of Japan (BoJ) untuk menaikkan batas atas kebijakan kontrol kurva yield (YCC) obligasi pemerintah Jepang tenor 10 tahun (10Y JGB) di atas 1%. Saat ini, BoJ menetapkan batas atas YCC 10Y JGB di 1%. Menurut Lionel, rencana ini merupakan langkah awal dari upaya BoJ untuk mengakhiri kebijakan suku bunga negatif pada kuartal I-2024. Cek Berita dan Artikel yang lain di Google News",investasi
"Yield US Treasury Naik Usai Pengumuman Lelang, Begini Prospek Pasar Obligasi Domestik",2024-08-21T01:58:29.779Z,"Selasa, 31 Oktober 2023 / 11:39 WIB",Reporter: Nur Qolbi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/yield-us-treasury-naik-usai-pengumuman-lelang-begini-prospek-pasar-obligasi-domestik,"KONTAN.CO.ID - JAKARTA. Pasar obligasi domestik sempat memperlihatkan optimisme pada perdagangan Senin (30/10). Hal ini terlihat dari yield obligasi pemerintah Indonesia tenor 10 tahun (10Y INDOGB) yang turun 11 bps menjadi 7,12%. Meningkatnya optimisme pasar global tersebut didorong oleh kemungkinan Federal Reserve untuk mempertahankan suku bunga acuannya di 5,5% pada pertemuan bulan November maupun Desember 2023. Namun, Macro Strategist Samuel Sekuritas Lionel Priyadi melihat, optimisme ini mungkin hanya bersifat sementara. ""Pasalnya, yield 10Y US Treasury naik 6 bps menjadi 4,89% tadi malam,"" ucap Lionel dalam risetnya, Selasa (31/10). Baca Juga: Bunga Naik, Potensi Gagal Bayar Surat Utang Bakal Terkerek Kenaikan ini terjadi setelah Departemen Keuangan Amerika Serikat (AS) mengumumkan rencana pelaksanaan lelang US Treasury sebesar US$ 816 miliar pada kuartal I-2024. Jumlah tersebut lebih tinggi dari konsensus di kisaran US$ 700 miliar dan target lelang US Treasury di kuartal IV-2023 sebesar US$ 776 miliar. Rencana penerbitan ini didasarkan atas upaya menjaga keseimbangan kas sebesar US$ 750 miliar dan defisit anggaran pemerintah Federal AS 2024 sebesar US$ 1,85 triliun, dari tahun 2023 sebesar US$ 1,7 triliun. Lionel memperkirakan, yield 10Y INDOGB akan bergerak stabil di rentang 7,1%-7,2% pada Selasa (31/10). Pergerakan ini diikuti potensi apresiasi rupiah menuju rentang Rp 15.800-Rp 15.900 per dolar AS akibat melemahnya indeks dolar sebesar 0,4% menjadi 106,1 tadi malam. Untuk ke depannya, Lionel juga memperkirakan animo investor Jepang untuk berinvestasi di emerging market Asia, termasuk Indonesia berpotensi turun. Hal ini seiring dengan rencana Bank of Japan (BoJ) untuk menaikkan batas atas kebijakan kontrol kurva yield (YCC) obligasi pemerintah Jepang tenor 10 tahun (10Y JGB) di atas 1%. Saat ini, BoJ menetapkan batas atas YCC 10Y JGB di 1%. Menurut Lionel, rencana ini merupakan langkah awal dari upaya BoJ untuk mengakhiri kebijakan suku bunga negatif pada kuartal I-2024. Cek Berita dan Artikel yang lain di Google News",investasi
Menanti Yield Obligasi AS Turun biar Harga Emas Spot Naik,2024-08-21T01:58:30.357Z,"Selasa, 24 Oktober 2023 | 09:28 WIB","Danielisa Putriadita, Danielisa Putriadita",https:////momsmoney.kontan.co.id/news/menanti-yield-obligasi-as-turun-biar-harga-emas-spot-naik,"MOMSMONEY.ID - Imbal hasil obligasi Amerika Serikat (AS) tenor 10 tahun kembali naik. Kondisi ini membuat harga emas spot menurun di Senin (23/10) sebesar 0,43% jadi ke US$ 1.972 per ons troi. Namun, Selasa (24/10), harga emas berbalik naik 0,16% ke US$ 1.976 per ons troi. Berdasarkan riset Monex Investindo Futures, Selasa (24/10), harga emas spot kemarin menurun karena imbal hasil obligasi AS tenor 10 tahun naik tembus ke 5%. Hal ini membuat harga emas kesulitan untuk naik. Yield obligasi AS tersebut jadi yang tertinggi sejak 2007. Sekadar mengingatkan emas dan obligasi AS sama-sama dianggap sebagai aset safe haven. Ketika yield obligasi AS di level tertinggi, tentunya menarik bagi pelaku pasar, dibandingkan dengan emas yang tidak memberikan imbal hasil. Baca Juga: Harga Emas Antam Naik Rp 2.000 Hari Ini 24 Oktober Tapi, yield obligasi AS tenor 10 tahun berbalik turun ke 4,852% di akhir perdagangan Senin (24/10). Monex memproyeksikan, yield obligasi AS kembali turun maka bisa menjadi sentimen positif bagi emas. Berikut referensi teknikal perdagangan emas:  Di dalam grafik 1 jam, harga emas berpeluang bergerak naik di sesi perdagangan Asia (24/10) selama harga masih berada di dalam channel bullish dengan membidik resistance terdekat di area 1.981,81 sebelum menargetkan resistance kuat di 1.987,87. Potensi untuk kenaikan harga emas juga terlihat dari pergerakan indikator Stochastic Oscillators yang bergerak ke atas setelah garis-garisnya bersilangan di area jenuh jual (oversold). Cek Berita dan Artikel yang lain di Google News",momsmoney.id
Pasar Surat Utang Domestik Masih Tertekan Lonjakan Yield Obligasi AS,2024-08-21T01:58:30.682Z,"Kamis, 19 Oktober 2023 / 08:30 WIB",Reporter: Akmalal Hamdhi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/pasar-surat-utang-domestik-masih-tertekan-lonjakan-yield-obligasi-as,"KONTAN.CO.ID - JAKARTA. Ketidakpastian pasar telah mengurangi minat investor termasuk pada instrumen surat utang. Sebagian besar investor tanah air masih bersikap siaga dan menanti lebih lanjut arah suku bunga. Tekanan pasar surat utang domestik tercemin dari lonjakan imbal hasil dan terkoreksinya harga. Yield SUN Tenor 10 Tahun sebagai acuan pasar telah kembali merangkak naik pada hari ini ke level 6,84% dari level kemarin sekitar 6,80%. Aktivitas lelang Surat Utang Negara (SUN) pun mencatatkan hanya sedikit penawaran masuk sebesar Rp 16,99 triliun di Selasa (17/10) kemarin. Ini menjadikan penawaran masuk lelang SBN ataupun SBSN tercatat turun dalam tiga kali lelang yang dilaksanakan selama bulan Oktober. Head of Fixed Income Trimegah Asset Management Darma Yudha melihat, suku bunga tinggi The Fed masih menjadi penyebab utama tekanan bagi pasar SUN. Inflasi yang masih belum sesuai target The Fed menimbulkan ekspektasi bahwa suku bunga tinggi akan bertahan lebih lama. Baca Juga: Green Bond BRI Senilai Rp 6 Triliun Resmi Tercatat di Bursa Efek Indonesia Pasar menilai ekonomi Amerika Serikat (AS) cukup tangguh dengan data penjualan ritel meningkat lebih dari dua kali lipat dari perkiraan pasar sebesar 0,3% MoM menjadi 0,7% MoM di bulan September 2023. Serta, data produksi industri AS secara tak terduga meningkat 0,3% MoM di bulan September yang mematahkan perkiraan pasar data tersebut akan bergerak flat 0%. Alhasil, ketangguhan ekonomi Amerika dengan mempertahankan suku bunga tinggi berpengaruh pada naiknya yield obligasi AS. Mengutip tradingeconomics, yield US Treasury tenor 10 sempat menyentuh level 4,85% di hari ini, Rabu (18/10), yang merupakan level tertinggi sejak Agustus 2007. Terlebih lagi, Darma mengatakan, terdapat rencana penerbitan surat utang cukup besar di Amerika Serikat pada kuartal terakhir tahun ini. Hal tersebut karena hampir 25% dari total utang AS akan jatuh tempo kurang lebih 1 tahun lagi. “Dengan banyaknya ketersediaan obligasi, maka membuat koreksi pada harga dan meningkatkan yield US Treasury. Kenaikan yield obligasi AS akan mempengaruhi pergerakan yield obligasi Indonesia juga akibat spread yang semakin menipis,” jelas Darma kepada Kontan.co.id, Rabu (18/10). Seperti diketahui, Bank Indonesia (BI) diperkirakan masih akan menahan suku bunga di level 5,75% pada pertemuan Rapat Dewan Gubernur (RDG) bulan Oktober hari Kamis (19/10). Di sisi lain, The Fed kemungkinan besar akan mengerek suku bunga satu kali lagi sebesar 25 bps ke level 5,5% - 5,75% di awal November 2023. Darma menambahkan, inflasi domestik walaupun terjaga tetapi beberapa harga bahan pokok seperti beras terpantau naik yang cukup mengkhawatirkan pasar. Namun, faktor global memang lebih mempengaruhi yang telah menciptakan kondisi ketidakpastian di pasar. “Eskalasi konflik antara Israel – Hamas turut menambah sentimen ketidakpastian, salah satunya berdampak pada lonjakan harga komoditas. Alhasil, banyak orang yang flight to safety ke dolar AS untuk mencari perlindungan,” imbuhnya. Baca Juga: Lelang SUN Catat Penawaran Rp 16,98 Triliun, Pemerintah Menangkan Rp 10,2 Triliun Menurut Darma, yield SUN Tenor 10 tahun sebagai acuan berpotensi akan berada di kisaran 6,5% - 6,7% di akhir tahun ini. Investor akan bersikap wait and see atau lebih berhati-hati untuk mencerna keputusan lebih lanjut dari suku bunga dan inflasi AS. Oleh karena itu, Darma menyarankan strategi bagi investor surat utang untuk mencermati tenor-tenor pendek kurang dari tiga tahun, baik itu obligasi pemerintah ataupun obligasi korporasi. Sebab, kredit risiko semakin turun dan volatilitas obligasi tenor pendek cukup kecil dibandingkan tenor panjang. Cek Berita dan Artikel yang lain di Google News",investasi
Yield Obligasi Pemerintah Tenor 10 Tahun Berpotensi di Atas 7%,2024-08-21T01:58:30.830Z,"Selasa, 17 Oktober 2023 / 12:37 WIB",Reporter: Nur Qolbi | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/yield-obligasi-pemerintah-tenor-10-tahun-berpotensi-di-atas-7,"KONTAN.CO.ID - JAKARTA. Adu kuat sentimen bearish versus flight to safety di pasar obligasi global berlanjut tadi malam, Senin (16/10). Hal ini ditandai dengan aksi jual obligasi di pasar negara maju dan negara berkembang. Akibat aksi jual tersebut, indeks obligasi S&P untuk pasar negara maju dan EMBI untuk pasar negara berkembang masing-masing terkoreksi 0,3%. Lebih lanjut, yield 10Y UST dan Bund masing-masing naik 9 bps dan 5 bps menjadi 4,71% dan 2,79%. Macro Strategist Samuel Sekuritas Lionel Priyadi mengatakan, di tengah tingginya volatilitas pasar global, yield 10Y INDOGB bertahan di 6,77%. Menurutnya posisi yield 10Y INDOGB saat ini rentan terhadap koreksi. Baca Juga: Utang Luar Negeri Indonesia September 2023 Diproyeksi Melambat, Ini Alasannya Prediksi tersebut mempertimbangkan yield spread antara 10Y INDOGB versus UST yang menipis menjadi 207 bps dari posisi puncak 237 bps pada 4 Oktober 2023. Yield spread antara 10Y INDOGB dan 2Y INDOGB juga turun menjadi 26 bps dari posisi puncak 61 bps pada 3 Oktober 2023. Berdasarkan angka ini, Lionel melihat peluang koreksi yield 10Y INDOGB sebesar 30 bps-35 bps menjadi 7,13% pada masa mendatang. ""Kami merekomendasikan kembali kepada investor untuk memanfaatkan arah yang tidak menentu saat ini untuk memperkuat posisi defensif dengan melakukan overweight terhadap obligasi korporasi tenor pendek,"" ucap Lionel, Selasa (17/10). Baca Juga: Sepekan Ditawarkan, Penjualan ORI024 Mencapai Rp 3,8 Triliun Per Senin (16/10) Obligasi korporasi tenor pendek yang dimaksud adalah yang mempunyai jangka waktu satu tahun dan tiga tahun dengan rating AAA, AA, dan A. Sementara SBN yang direkomendasikan adalah yang bertenor dua tahun. ""Kami memprediksi yield 10Y INDOGB masih akan mengalami konsolidasi di rentang 6,75%-6,85% hari ini,"" kata Lionel. Sementara rupiah berpotensi terapresiasi menuju rentang Rp 15.600-Rp 15.700 per dolar AS hari ini. Cek Berita dan Artikel yang lain di Google News",investasi
"Yield Obligasi Lebih Tinggi, Asing Hengkang dari Saham",2024-08-21T01:58:31.304Z,,Premium User Only,https:////insight.kontan.co.id/news/yield-obligasi-lebih-tinggi-asing-hengkang-dari-saham,Premium Content - Not Scraped,insight
