Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Dapen BTN Catat Imbal Hasil Investasi Mencapai 13,78% di Semester I-2024",2024-08-21T01:49:19.985Z,"Selasa, 16 Juli 2024 / 15:06 WIB",Reporter: Nova Betriani Sinambela | Editor: Noverius Laoli,https:////keuangan.kontan.co.id/news/dapen-btn-catat-imbal-hasil-investasi-mencapai-1378-di-semester-i-2024,"KONTAN.CO.ID - JAKARTA. Dana Pensiun (Dapen) PT Bank Tabungan Negara Tbk (BTN) berhasil mencatatkan imbal hasil investasi atau return of investment (ROI) yang positif meskipun Indonesia tengah mengalami gejolak inflasi. Pada Juni 2024, Dapen BTN mencapai imbal hasil investasi sebesar 13,78%, jauh melebihi tingkat inflasi Indonesia yang berada pada kisaran 2,51% di periode yang sama. Direktur Utama Dapen BTN, Mas Guntur Dwi Sulistyanto, menyatakan bahwa pihaknya berkomitmen untuk melakukan tata kelola yang baik dalam penempatan dana investasi agar memperoleh imbal hasil yang positif. Baca Juga: Roadmap Dana Pensiun Baru Diluncurkan, Begini Tanggapan Dapen BTN Hal ini diharapkan dapat memberikan manfaat dan kesejahteraan bagi para peserta dana pensiun. Anak usaha Bank BTN ini mengalokasikan dana investasinya ke berbagai instrumen, termasuk Surat Berharga Negara (SBN), obligasi korporasi, dan penyertaan saham di anak usaha Dapen. ""Dapen BTN adalah Dapen PPMP (Program Pensiun Manfaat Pasti), sehingga kami memiliki amanah untuk memastikan manfaat pensiun dibayarkan tepat waktu dan dalam jumlah yang tepat,"" ujar Mas Guntur kepada KONTAN belum lama ini. Baca Juga: Dana Pensiun (Dapen) BTN Bukukan Aset Rp2, 392 triliun pada Kuartal I 2024 Selain mencetak imbal hasil positif, Dapen BTN juga memastikan kesehatan keuangan perusahaan. Hal ini dibuktikan dengan Rasio Kecukupan Dana (RKD) yang mencapai 106%. Kondisi ini menunjukkan bahwa keuangan Dapen BTN cukup sehat dan mampu menjalankan amanah sebagai Dapen PPMP.     Cek Berita dan Artikel yang lain di Google News",keuangan
"Melebihi Inflasi, Imbal Hasil Investasi Dapen BCA Mencapai 4,24%",2024-08-21T01:49:20.022Z,"Selasa, 16 Juli 2024 / 14:26 WIB",Reporter: Nova Betriani Sinambela | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/melebihi-inflasi-imbal-hasil-investasi-dapen-bca-mencapai-424,"KONTAN.CO.ID - JAKARTA. Dana Pensiun (Dapen) BCA melaporkan imbal hasil investasi atau return of investment (ROI) yang positif, bahkan melebihi inflasi pada Juni 2024 yang berada dalam kisaran 2,51%. Anak usaha Bank BCA ini mencatat bahwa pada semester pertama 2024, imbal hasil investasi secara year-to-date (YTD) sebesar 4,14%. Sementara itu, hasil usaha sebesar Rp 184,21 miliar, meningkat 4,24% dari hasil semester pertama 2023. Direktur Utama Dana Pensiun BCA, Budi Sutrisno, menyampaikan bahwa jumlah ROI tersebut menunjukkan hasil yang cukup positif di tengah berbagai tantangan ekonomi global saat ini. Hal ini juga didukung oleh strategi perusahaan dalam menempatkan dana investasinya. Diketahui bahwa perusahaan menerapkan diversifikasi portofolio untuk mengurangi risiko dari satu jenis investasi jika berkinerja buruk. Baca Juga: Hasil Investasi Dana Pensiun Masih Lampaui Inflasi ""Dalam kondisi pasar yang volatil, fokus pada instrumen pendapatan tetap seperti obligasi korporasi dan Surat Berharga Negara (SBN) menjadi pilihan yang lebih stabil. Instrumen ini menawarkan pendapatan yang lebih pasti dibandingkan dengan saham yang lebih fluktuatif,"" katanya kepada KONTAN, Senin (15/7). Dana investasi terbesar ditempatkan di SBN dengan porsi mencapai 36,45%. Kemudian dialokasikan juga di instrumen deposito dengan porsi sebesar 13,43%, lalu di Sertifikat Bank Indonesia (SBI) sebesar 7,26%, dan di obligasi korporasi sebesar 6,61%. Selain itu, Dapen BCA juga menempatkan dana investasi di saham dan reksadana dengan porsi sebesar 6,33%. Kemudian di instrumen penyertaan langsung dan tanah bangunan dengan porsi masing-masing yaitu 13,93% dan 15,99%. Baca Juga: Imbal Hasil Dana Pensiun Tumbuh Mengalahkan Inflasi Lebih lanjut, Budi mengungkapkan bahwa pihaknya rutin menganalisa portofolio investasi dan menyesuaikan alokasi dana berdasarkan kondisi pasar terbaru untuk mengoptimalkan hasil investasi. Strategi ini membantu Dapen BCA tetap adaptif terhadap perubahan pasar. ""Dapen BCA mengidentifikasi dan memitigasi risiko eksternal seperti kebijakan moneter global, ketidakstabilan geopolitik, dan inflasi adalah hal yang penting. Misalnya, kenaikan suku bunga bisa mempengaruhi harga obligasi, sehingga perlu dilakukan penyesuaian portofolio secara berkala,"" pungkasnya.     Cek Berita dan Artikel yang lain di Google News",keuangan
Reksadana Saham Raih Imbal Hasil Tertinggi dalam Sepekan,2024-08-21T01:49:20.182Z,"Selasa, 16 Juli 2024 / 09:30 WIB",Reporter: RR Putri Werdiningsih | Editor: Putri Werdiningsih,https:////investasi.kontan.co.id/news/reksadana-saham-raih-imbal-hasil-tertinggi-dalam-sepekan-1,"KONTAN.CO.ID - JAKARTA. Kinerja reksadana saham sepekan terakhir masih terlihat lebih unggul dibanding reksadana lainnya. Bahkan kenaikannya kali ini jauh lebih tinggi dari pekan sebelumnya. Data mingguan Infovesta menunjukkan, reksadana saham mencatatkan imbal hasil positif terbesar dalam pada periode 5 Juli - 12 Juli 2024 yaitu sekitar 1,63%. Kali ini, angkanya jauh lebih tinggi dibandingkan pekan sebelumnya yang hanya mencapai 1,45%. Walaupun berhasil mempertahankan kinerja dua pekan berturut-turut, tetapi secara tahunan kinerjanya masih minus. Indeks reksadana saham tercatat minus 7,07%. Peringkat kedua disusul reksadana campuran yang mencatatkan kenaikan 0,9%. Pekan sebelumnya kenaikannya hanya 0,87%. Meski bukan jawara pekan ini, tetapi kinerja reksadana campuran secara tahunan masih lebih baik. Indeksnya hanya minus 1,11%. Baca Juga: Jadi Jawara Sepekan, Ini 5 Reksadana Saham Imbal Hasil Tertinggi Posisi ketiga dilanjutkan reksadana pendapatan tetap yang naik 0,27%. Kalau dibandingkan pekan lalu di kisaran 0,9%, kenaikan kali ini melambat. Sejak awal tahun kinerjanya juga telah tumbuh 1,18%. Terakhir, ditutup oleh reksadana pasar uang yang hanya naik 0,09%. Sejak awal tahun reksadana berbasis deposito dan surat berharga ini sejak awal tahun malah mencatat kinerja paling apik. Indeks reksadana pasar uang tumbuh 2,44%. Menurut laporan mingguan Infovesta, kinerja reksadana sepekan terakhir disokong oleh berbagai sentimen. Misalnya saja Index Harga Saham Gabungan (IHSG) yang bulish, naik 102% menjadi 7.327,58. Keadaan ekonomi domestik masih dibayangi oleh era suku bunga tinggi, dimana Bank Indonesia hingga saat ini masih menahan suku bunga di level yang tinggi. Hal ini, tentu saja menjadi salah satu faktor masyarakat untuk lebih cermat memilah dalam pengeluaran konsumsi dan cenderung untuk menabung tercermin pada peningkatan dana pihak ketiga (DPK) periode terakhir. Cek Berita dan Artikel yang lain di Google News",investasi
MARKET GLOBAL - Saham dan Imbal Hasil Treasury Naik Seiring Peluang Kemenangan Trump,2024-08-21T01:49:20.345Z,"Selasa, 16 Juli 2024 / 07:24 WIB",Sumber: Reuters | Editor: Hasbi Maulana,https:////finansial.kontan.co.id/news/market-global-saham-dan-imbal-hasil-treasury-naik-seiring-peluang-kemenangan-trump,"KONTAN.CO.ID -  NEW YORK, 15 Juli (Reuters) - Indeks saham dunia dan imbal hasil Treasury naik pada hari Senin karena investor mempertimbangkan prospek kemenangan Donald Trump dari Partai Republik dalam pemilihan presiden AS setelah dia selamat dari upaya pembunuhan, sementara dolar turun setelah komentar dari Ketua Federal Reserve Jerome Powell. Imbal hasil obligasi AS berjangka panjang naik dengan asumsi bahwa kebijakan Trump akan menambah utang pemerintah dan inflasi, sementara saham kripto melonjak bersamaan dengan bitcoin. Trump telah menyatakan dirinya sebagai pendukung cryptocurrency. Investor memandang kemenangan Trump kemungkinan akan berarti lebih banyak pemotongan pajak dan lingkungan regulasi yang lebih longgar. Sektor energi S&P 500 naik 1,6%. Baca Juga: Jerome Powell Akan Bertahan di The Fed hingga Akhir Masa Jabatan Di situs taruhan online PredictIt, kontrak untuk kemenangan pemilu Trump diperdagangkan pada 68 sen, naik dari 60 sen pada hari Jumat, dengan potensi pembayaran sebesar $1. Kontrak untuk kemenangan Biden berada di 26 sen. Upaya pembunuhan di Pennsylvania pada hari Sabtu terhadap Trump tampaknya meningkatkan peluangnya untuk terpilih. Motif di balik upaya seorang pria bersenjata berusia 20 tahun untuk membunuh Trump tetap menjadi misteri, dengan tersangka telah terbunuh dan FBI tidak dapat menentukan ideologi yang mungkin ada di balik serangan tersebut. ""Publisitas seputar peristiwa ini memberikan semacam dorongan,"" kata Josh Wein, manajer portofolio di Hennessy Funds. Baca Juga: Bursa Saham AS: Optimisme Menguat, Dipicu Harapan Pemangkasan Suku Bunga The Fed Namun, dia menambahkan, ""empat, lima hari terakhir pasar (saham) telah reli... jadi ini adalah kelanjutan dari pergerakan kuat dari paruh akhir pekan lalu sejak kita menyadari bahwa mungkin ada alasan untuk merayakan gagasan bahwa mungkin ada satu dan sekarang kemungkinan dua pemotongan suku bunga pada akhir tahun."" Investor mencerna komentar dari Powell, yang mengatakan pada hari Senin bahwa tiga bacaan inflasi AS selama kuartal kedua tahun ini ""menambah sedikit keyakinan"" bahwa laju kenaikan harga kembali ke target Fed secara berkelanjutan. Pedagang juga memperkirakan pemotongan suku bunga kedua dan mungkin ketiga pada bulan Desember. Baca Juga: Grafik Harga Emas 24 Karat Antam Terbaru (15 Juli 2024) Sementara semua tiga indeks saham utama AS berakhir jauh di bawah tertinggi sesi, Dow Jones Industrial Average mencatat penutupan tertinggi sepanjang masa. Dow Jones Industrial Average naik 210,82 poin, atau 0,53%, menjadi 40.211,72, S&P 500 naik 15,87 poin, atau 0,28%, menjadi 5.631,22 dan Nasdaq Composite naik 74,12 poin, atau 0,40%, menjadi 18.472,57. Saham Goldman Sachs naik 2,6% setelah perusahaan melaporkan hasil kuartalan. Lebih banyak hasil diharapkan minggu ini untuk musim laporan keuangan kuartal kedua AS. Baca Juga: Sama-Sama Turun Harga, Market Cap BREN Kini Lebih Mini Daripada BBCA Indeks saham global MSCI naik 0,18 poin, atau 0,02%, menjadi 828,73. Indeks STOXX 600 turun 1,02%. Pembaruan suram dari grup mewah Inggris Burberry dan pembuat jam tangan Swatch Group menimbulkan pertanyaan tentang kepercayaan konsumen. Indeks dolar, yang mengukur greenback terhadap sekeranjang mata uang, terakhir turun 0,04% menjadi 104,25, dengan euro turun 0,01% pada $1,0893. Terhadap yen Jepang, dolar menguat 0,02% menjadi 158,04. Greenback jatuh ke 157,15 saat Powell berbicara, terendah sejak 17 Juni, sebelum rebound. Baca Juga: Tiongkok Masih Jadi Mitra Dagang Utama Indonesia, Segini Porsinya Bitcoin terakhir naik sedikit setelah mencapai tertinggi tiga minggu sebelumnya di $63.838,86. Imbal hasil 10-tahun patokan naik 4 basis poin menjadi 4,229%, sementara imbal hasil dua tahun turun setengah basis poin menjadi 4,4554%. Harga minyak turun sedikit, dengan kekhawatiran tentang permintaan di importir utama China menutupi dukungan dari pembatasan pasokan OPEC+ dan ketegangan yang sedang berlangsung di Timur Tengah. Minyak mentah AS turun 30 sen menjadi ditutup pada $81,91 per barel dan Brent turun 18 sen menjadi $84,85. Oleh Caroline Valetkevitch (Pelaporan tambahan oleh Isla Binnie di New York, Iain Withers di London dan oleh Lisa Mattackal dan Ankika Biswas di Bengaluru dan oleh Wayne Cole di Sydney; Penyuntingan oleh Christian Schmollinger, Jamie Freed, Arun Koyyur, Susan Fenton, Will Dunham, dan Tomasz Janowski) Cek Berita dan Artikel yang lain di Google News",finansial
Imbal Hasil Dana Pensiun Tumbuh Mengalahkan Inflasi,2024-08-21T01:49:20.384Z,"Senin, 15 Juli 2024 / 20:38 WIB",Reporter: Nova Betriani Sinambela | Editor: Putri Werdiningsih,https:////keuangan.kontan.co.id/news/imbal-hasil-dana-pensiun-tumbuh-mengalahkan-inflasi,"KONTAN.CO.ID - JAKARTA. Di tengah gejolak inflasi di Indonesia, sejumlah penyelenggara dana pensiun dinilai masih mampu memperoleh imbal hasil investasi yang bisa mengalahkan inflasi pada Juni 2024 yang berada dalam kisaran 2,51% Dana Pensiun BCA mencatat per semester pertama 2024, imbal hasil investasi secara YTD sebesar 4.14%. Sementara hasil usaha sebesar Rp 184,21 miliar, meningkat 4.24% dari hasil semester pertama 2023. Dengan demikian, anak usaha Bank BCA ini mampu mengalahkan inflasi di Juni 2024 walau persentasenya beda tipis. ""Dalam kondisi pasar yang volatil, fokus pada instrumen pendapatan tetap seperti obligasi korporasi dan SBN menjadi pilihan yang lebih stabil. Instrumen ini menawarkan pendapatan yang lebih pasti dibandingkan dengan saham yang lebih fluktuatif,"" ucap Direktur Utama Dana Pensiun BCA Budi Sutrisno Budi kepada KONTAN, Senin (15/7). Terkait instrumen investasi, perusahaan ini paling banyak menempatkan dana di Surat Berharga Negara (SBN) yaitu 36.45%, deposito 3.43%, SBI sebesar 7.26%, obligasi sejumlah 6.61%, kemudian saham dan reksadana dengan porsi 6.33%. Budi juga mengatakan perusahaan mengalokasikan dana investasi di Penyertaan Langsung sebesar 13.93%, dan Tanah Bangunant15.99%. Baca Juga: Sejumlah Dapen Optimis Imbal Hasil Positif di Tengah Kondisi Ekonomi yang Menantang Perusahaan Dana Pensiun yang imbal hasil investasi mampu mengalahkan inflasi adalah Dana Pensiun BTN. Direktur Utama Dapen BTN, Mas Guntur Dwi Sulistyanto, mengungkapkan Dapen BTN, sebagai Dapen PPMP (Program Pensiun Manfaat Pasti) akan menjamin pembayaran manfaat pensiun tepat waktu dan tepat jumlah. Sehingga pihaknya akan berusaha maksimal mengelola dana agar ditempatkan di instrumen dengan imbal hasil positif. Per Juni 2024, Dapen BTN mencatat imbal hasil investasi atau return of investment (ROI) sebesar 13,78%, dengan portofolio investasi terbesar di Surat Berharga Negara (SBN), obligasi korporasi, dan penyertaan saham. Rasio kecukupan dana (RKD) Dapen BTN juga mencapai 106%, yang mengindikasikan kondisi keuangan Dapen BTN cukup sehat dan mampu menjalankan amanah sebagai Dapen PPMP. “ROI Dapen BTN disetahunkan adalah 13,78%. Artinya kinerja Dapen BTN baik-baik saja dan tidak terdampak dengan kondisi inflasi,” kata Mas Guntur Di sisi lain, Direktur Investasi & Keuangan Dana Pensiun Bank Mandiri, Abdul Hadie, mengatakan pergerakan suku bunga global dan domestik serta perkembangan geopolitik masih sangat memengaruhi pencapaian hasil investasi tahun ini. Oleh karena itu, diperlukan strategi investasi yang agile, prudent, dan aman agar menghasilkan keuntungan yang positif serta mampu memenuhi dan menyejahterakan peserta. Baca Juga: Ini Alasan 6 Dana Pensiun Dibubarkan OJK Selama Semester I-2024 Hingga Juni 2024, Dapen Bank Mandiri mencatat hasil investasi mencapai Rp422 miliar, tumbuh 12,70% dibandingkan bulan yang sama pada tahun 2023. Sementara ROI dengan SPI sampai dengan akhir tahun 2024 diproyeksikan mencapai sekitar 7,30% atau sesuai anggaran tahun 2024. ""Pengelolaan investasi mengacu kepada investasi instrumen jangka menengah sampai panjang, dan investasi pada instrumen investasi berjangka maksimal 2 tahun. Sehingga pemenuhan kewajiban likuiditas saat peserta memasuki masa pension dapat terpenuhi dengan baik,"" katanya Abdul Hadir. Terkait Portfolio investasi, anak usaha Bank Mandiri ini mencatat per Juni 2024 didominasi oleh SBN dengan porsi 46,33%, lalu Obligasi Korporasi 31,25%, kemudian Instrumen Pasar Uang (Deposito, NCD dan SRBI) sebesar 8,67%. Selain itu dana investasi juga ditempatkan di penyertaan langsung sebesar 7,60%, dan instrument lainnya mencakup reksadana, saham, Sukuk Korprasi, MTN, Tanah Bangunan, dll sebesar 6,15%.  Cek Berita dan Artikel yang lain di Google News",keuangan
"Jadi Jawara Sepekan, Ini 5 Reksadana Saham Imbal Hasil Tertinggi",2024-08-21T01:49:20.533Z,"Senin, 15 Juli 2024 / 20:30 WIB",Reporter: RR Putri Werdiningsih | Editor: Putri Werdiningsih,https:////investasi.kontan.co.id/news/jadi-jawara-sepekan-ini-5-reksadana-saham-imbal-hasil-tertinggi,"KONTAN.CO.ID - JAKARTA. Kinerja reksadana saham atau equity fund dalam sepekan terakhir menunjukkan tren penguatan. Ini terjadi berkat pergerakan indeks harga saham gabungan (IHSG) yang juga bergerak bullish. Data mingguan Infovesta menunjukkan, reksadana saham mencatatkan imbal hasil positif terbesar dalam pada periode 5 Juli - 12 Juli 2024 yaitu sekitar 1,63%. Kali ini, angkanya jauh lebih tinggi dibandingkan pekan sebelumnya yang hanya mencapai 1,45%. Baca Juga: Bullish di Pasar Saham Angkat Pamor Reksadana Jika melihat kenaikannya, ini sejalan dengan kinerja IHSG yang juga menunjukkan tren positif. Dalam sepekan IHSG bergerak naik 1,02% ke level 7,327,58. Mayoritas saham big caps menunjukkan penguatan, serta asing yang melanjutkan aksi beli bersih hingga Rp 1,56 triliun. Saham penggerak IHSG sepekan lalu adalah PT Telekomunikasi Indonesia Tbk (TLKM) naik 6,62% , PT Bank Rakyat Indonesia (BBRI) naik 2,08% dan PT Bank Negara Indonesia Tbk (BBNI) naik 6,91%. Sayangnya, walaupun memimpin perolehan imbal hasil, tetapi jika dilihat secara tahunan, kinerjanya justru sebaliknya. Indeks reksadana saham masih tercatat melemah 7,07%. Nah, melihat kinerja ciamik reksadana saham sepekan ini, produk apa saja yang menjadi jawaranya : 1. HPMA Ekuitas Syariah Berkah Reksadana keluaran Henan Putih Rai Asset Management ini dirilis 12 Februari 2020. Per 28 Juni 2024, total AUM-nya sudah mencapai Rp 1,49 triliun. Kinerjanya memang selalu mengungguli Indeks Saham Syariah Indonesia. Secara ytd pertumbuhannya mencapai 16,68%. Adapun komposisi portofolionya, 81% terdiri dari saham, 17% deposito berjangka dan 2% uang dan setara kas. Secara sektoral saham pendukungnya adalah dari sektor perbankan 17%, konsumer 11,6%, keuangan 18,2%, industri 28,8% dan lainnya 23,3%. 2. HPMA Ultima Ekuitas 1 Produk reksadana saham Henan Putih Rai Asset Management ini juga masuk peringkat 2 reksadana saham pekan ini. Per 28 Juni 2024, HPMA Ultima Ekuitas 1 telah mencatatkan kinerja 3,48% dan AUM mencapai Rp 658,57 miliar. Komposisi portofolionya, 62% terdiri dari saham, 18% deposito berjangka dan 20% uang dan setara kas. Secara sektoral saham pendukungnya adalah dari sektor perbankan 19%, material dasar 11,9%, konsumer 6,8%, keuangan 25,2% dan lainnya 18,4%. Baca Juga: Dana Kelolaan Industri Reksadana Bertumbuh di Bulan Juni 2024 3. Simas Danamas Saham Produk Sinarmas Asset Management ini mulai ditawarkan sejak 5 Oktober 2007. Per Juni 2024, kinerjanya secara ytd telah tumbuh 4,81% dan AUM mencapai Rp 1,87 triliun. Alokasi asetnya saat ini sekitar 94,7% terdiri dari portofolio saham. Tiga saham terbesar yang banyak dikantonginya ada Bank Central Asia Tbk (BBCA), PT Bank Mandiri Tbk (BMRI) dan PT Elnusa Tbk (ELSA). 4. Maybank Dana Ekuitas Syariah Saham Reksadana saham keluaran Maybank Asset Management ini diluncurkan 23 April 2007. Walaupun tergolong kinerja terbaik, tetapi secara ytd kinerjanya masih melemah 6,2%. Alokasi portofolio terbesarnya masih berada pada saham sekitar 83,43%, deposito 13,82% dan sisanya kas 2,75%. Saham paling banyak yang dikoleksinya adalah PT Bank Central Asia Tbk (BBCA), Deposito Panin Dubai Syariah dan PT Bank Mandiri Tbk (BMRI). 5. BMI Indo Saham Andalan Reksadana saham ini dirilis oleh Berdikari Manajemen Investasi pada 3 Mei 2021. Walaupun sepekan terakhir membaik, tetapi per akhir Mei, kinerjanya masih melemah 4,15% terhadap IHSG. Portofolio investasinya sekitar 84,58% pada saham, 8,7% ke pasar uang dan 6,72% ke kas setara kas. Mayoritas saham yang masuk dalam portofolionya adalah PT Bank Central Asia Tbk (BBCA), PT Bank Rakyat Indonesia Tbk (BBRI) dan PT Prodia Widyahusada Tbk (PRDA). Cek Berita dan Artikel yang lain di Google News",investasi
Sejumlah Dapen Optimis Imbal Hasil Positif di Tengah Kondisi Ekonomi yang Menantang,2024-08-21T01:49:20.574Z,"Minggu, 14 Juli 2024 / 21:45 WIB",Reporter: Nova Betriani Sinambela | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/sejumlah-dapen-optimis-imbal-hasil-positif-di-tengah-kondisi-ekonomi-yang-menantang,"KONTAN.CO.ID - JAKARTA. Di tengah kondisi yang masih menantang, industri dana pensiun (dapen) harus lebih selektif dalam pengelolaan dana investasi untuk mencapai imbal hasil yang positif dan menyejahterakan pesertanya. Direktur Utama Dapen BTN, Mas Guntur Dwi Sulistyanto, menyatakan bahwa meskipun kondisi masih sulit, Dapen BTN, sebagai Dapen PPMP (Program Pensiun Manfaat Pasti), menjamin pembayaran manfaat pensiun tepat waktu dan tepat jumlah. Per Juni 2024, Dapen BTN mencatat imbal hasil (ROI) sebesar 13,78%, dengan portofolio investasi terbesar di Surat Berharga Negara (SBN), obligasi, dan penyertaan saham. Baca Juga: Ini Alasan 6 Dana Pensiun Dibubarkan OJK Selama Semester I-2024 Rasio kecukupan dana (RKD) Dapen BTN mencapai 106%, yang mengindikasikan kondisi keuangan Dapen BTN cukup sehat dan mampu menjalankan amanah sebagai Dapen PPMP. “ROI Dapen BTN disetahunkan adalah 13,78%. Artinya kinerja Dapen BTN baik-baik saja dan tidak terdampak dengan kondisi inflasi,” katanya kepada KONTAN, Minggu (14/7). Direktur Investasi & Keuangan Dana Pensiun Bank Mandiri, Abdul Hadie, menambahkan bahwa pergerakan suku bunga global dan domestik serta perkembangan geopolitik masih sangat memengaruhi pencapaian hasil investasi tahun ini. Oleh karena itu, diperlukan strategi investasi yang agile, prudent, dan aman agar menghasilkan keuntungan yang positif serta mampu memenuhi dan menyejahterakan peserta. Hingga Juni 2024, Dapen Bank Mandiri mencatat hasil investasi mencapai Rp422 miliar, tumbuh 12,70% dibandingkan bulan yang sama pada tahun 2023. ""Pengelolaan investasi mengacu kepada investasi instrument jangka menengah sampai panjang, dan investasi pada instrument investasi berjangka maksimal 2 tahun. Sehingga pemenuhan kewajiban likuiditas saat peserta memasuki masa pension dapat terpenuhi dengan baik,"" katanya kepada KONTAN. Baca Juga: Roadmap Dana Pensiun Baru Diluncurkan, Begini Tanggapan Dapen BTN Hadie optimistis imbal hasil tahun ini akan terus bertumbuh, dengan diversifikasi portofolio investasi dilakukan dengan memperhatikan tingkat risiko yang terukur dan volatilitas SPI yang manageable. Hingga akhir Mei 2024, aset kelolaan neto Dapen Bank Mandiri mencapai Rp10,44 triliun. Sementara itu, Asosiasi Dana Pensiun Indonesia (ADPI) menyatakan bahwa di tengah kondisi ekonomi yang menantang, rata-rata imbal hasil industri dana pensiun masih lebih besar dari inflasi. Dengan demikian, perusahaan dana pensiun mampu membayar Manfaat Pensiun sesuai dengan PhDP yang tertera pada Peraturan Dana Pensiunnya. “Imbal hasil industri dana pensiun lebih besar dari inflasi dikarenakan rata-rata imbal hasil Dana Pensiun mencapai 6,90%,” kata ADPI kepada KONTAN. Cek Berita dan Artikel yang lain di Google News",keuangan
Bank Sentral China Diprediksi Mempertahankan Imbal Hasil Obligasi & Perbaiki Risiko,2024-08-21T01:49:20.764Z,"Sabtu, 13 Juli 2024 / 06:25 WIB",Sumber: Reuters | Editor: Syamsul Azhar,https:////internasional.kontan.co.id/news/bank-sentral-china-diprediksi-mempertahankan-imbal-hasil-obligasi-perbaiki-risiko,"KONTAN.CO.ID - SHANGHAI, - Bank sentral China bertekad untuk mempertahankan kurva imbal hasil yang normal dan mengoreksi risiko pasar obligasi, Financial News yang didukung bank melaporkan pada Jumat malam, mengutip sumber dan pakar industri. Laporan ini merupakan peringatan terbaru terhadap pasar obligasi negara tersebut setelah Bank Rakyat China(PBOC) menyampaikan kekhawatirannya dan memperkenalkan rencana untuk menjual obligasi negara untuk meredam reli obligasi. “Pasar obligasi tidak akan naik selamanya, dan ada risiko pembalikan yang semakin besar di pasar saat ini,” surat kabar tersebut mengutip sumber industri yang tidak disebutkan namanya. Baca Juga: Market Global: Wall Street Lawan Kenaikan Global, Imbal Hasil Obligasi AS Naik Media resmi menambahkan bahwa beberapa bank komersial pedesaan, yang memiliki risiko lebih tinggi dibandingkan bank sejenis lainnya, memiliki posisi yang terlalu besar pada obligasi negara jangka menengah dan panjang. Memperpanjang jangka waktu investasi memungkinkan lembaga keuangan memperoleh keuntungan yang lebih tinggi. Namun kenaikan suku bunga yang tajam karena ketidaksesuaian jatuh tempo akan menyebabkan kerugian. “Menanggung kerugian besar (dari investasi obligasi) akan berdampak buruk pada modal dan memperbesar risiko suku bunga dan risiko kredit,” kata sumber industri tersebut.  Gubernur PBOC Pan Gongsheng mengatakan bulan lalu bahwa China harus mengatasi risiko yang menyebabkan runtuhnya Bank Silicon Valley AS tahun lalu. PBOC mengatakan kepada Reuters pekan lalu bahwa mereka memiliki obligasi senilai ratusan miliar yuan untuk dipinjamkan, dan akan menjualnya tergantung pada kondisi pasar, sebagai bagian dari rencana yang dilihat pasar sebagai upaya untuk mendinginkan reli obligasi yang kuat. ""Peminjaman dan penjualan obligasi negara akan membantu menyeimbangkan penawaran dan permintaan pasar serta mencegah risiko di pasar obligasi,"" kata surat kabar resmi tersebut, mengutip seorang pakar. “Pasar tidak perlu khawatir mengenai dampak penjualan obligasi negara terhadap likuiditas. Sikap bank sentral dalam mempertahankan kondisi likuiditas yang cukup tidak berubah.”",internasional
"Pemerintah Tarik Pinjaman Lebih Banyak, Ekonom: Mungkin untuk Jaga Imbal Hasil SBN",2024-08-21T01:49:20.947Z,"Jumat, 12 Juli 2024 / 14:43 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pemerintah-tarik-pinjaman-lebih-banyak-ekonom-mungkin-untuk-jaga-imbal-hasil-sbn,"KONTAN.CO.ID - JAKARTA. Pemerintah memutuskan untuk meningkatkan penarikan pinjaman dan mengurangi penerbitan surat berharga negara (SBN). Dalam APBN 2024, pinjaman hanya ditargetkan sebesar Rp 18,4 triliun, namun target tersebut naik menjadi Rp 101,3 triliun. Sementara itu, target penerbitan SBN justru turun, dari semula sebesar Rp 666,4 triliun menjadi Rp 451,9 triliun. Ekonom Bank Danamon Hosianna Evalia Situmorang menilai, pemerintah lebih memilih opsi menaikkan pinjaman dan menurunkan penerbitan SBN, kemungkinan karena bunga pinjaman lebih murah dibandingkan dengan pembayaran kupon ke investor pemegang SBN. Baca Juga: Pemerintah Pilih Opsi Tingkatkan Pinjaman dan Kurangi Penerbitkan Surat Utang Disamping itu, ia juga menilai kemungkinan keputusan tersebut dipilih lantaran pemerintah ingin menjaga kestabilan imbal hasil SBN. Sebab lanjutnya, jika penerbitan SBN naik, menjadi salah satu faktor yang menyebabkan imbal hasil SBN menjadi naik. Imbasnya bisa menyebabkan harga obligasi turun, dan akan merugikan para investor. “Jadi alasannya lebih ke oportunitas dan menjaga kestabilan yield SBN,” tutur Ana sapaan akrab Hosianna kepada Kontan, Jumat (12/7). Ia juga menyampaikan, dengan pengurangan penerbitan SBN, harapannya imbal hasil SBN bisa stabil. Hal tersebut juga berkaitan dengan antisipasi dari kenaikan imbal hasil SBN akibat imbal hasil dari Sekuritas Rupiah Bank Indonesia (SRBI) yang tinggi di kisaran 7,3% hingga 7,5%.     Cek Berita dan Artikel yang lain di Google News",nasional
"Bunga Akan Turun, Imbal Hasil SUN Bisa Melandai",2024-08-21T01:49:21.380Z,,Premium User Only,https:////insight.kontan.co.id/news/bunga-akan-turun-imbal-hasil-sun-bisa-melandai,Premium Content - Not Scraped,insight
