Title,Scrapping Date,Article Date,Author,Link,Content,Category
Penguatan Nilai Tukar Dollar Tak Pengaruhi Bisnis ACES,2024-08-21T01:36:33.823Z,"Jumat, 19 Juli 2024 / 16:04 WIB",Reporter: Leni Wandira | Editor: Tri Sulistiowati,https:////industri.kontan.co.id/news/penguatan-nilai-tukar-dollar-tak-pengaruhi-bisnis-aces,"KONTAN.CO.ID - JAKARTA. Penguatan nilai tukar dolar terhadap rupiah tidak mempengaruhi bisnis PT ACE Hardware Indonesia Tbk (ACES). Hal tersebut disampaikan oleh Rinekso Widyanto, Vice President sales & operations ACES Indonesia saat pembukaan gerai barunya di Tebet, Jakarta Selatan, Jumat (19/7). Rinekso mengatakan ACES masih mampu mempertahankan harga-harga produknya tanpa kenaikan yang signifikan meskipun nilai tukar Rupiah terhadap dolar melemah. ""Untuk kenaikan harga, sampai dengan saat ini kita tidak ada kenaikan harga. Harga-harga produk kita tetap sangat kompetitif, dan kami berusaha menanggung harga ini di dalam struktur biaya kami,"" ungkap Rinekso kepada wartawan. Rinekso juga menegaskan bahwa ACES belum merasakan dampak yang signifikan dari penguatan dolar terhadap impor bahan baku. Meskipun mayoritas bahan baku masih diimpor, hal ini tidak mempengaruhi strategi harga ACES dalam waktu dekat. Baca Juga: Genjot Kinerja, ACES Ekspansi Gerai Baru Ia mengakui bahwa porsi impor perusahaan masih tinggi yakni diangka 80 persen hingga 90 persen. ""Sampai dengan saat ini, kita masih belum merasakan dampak yang signifikan dari penguatan dolar terhadap penjualan kami,"" ungkapnya. Di samping itu, pelemahan rupiah juga tidak mempengaruhi rencana ekspansi perusahaan. Sebab, untuk rencana penambahan gerai baru ini anggarannya sudah ditentukan sejak awal tahun. ""Tidak berdampak (Terhadap rencana ekspansi toko) karena ini sudah dianggarkan sejak awal tahun. Kita terus evaluasi dan tidak ada penundaan terkait rencana ekspansi kami,"" tegasnya. Menyikapi prospek kedepan, Rinekso tetap optimis terhadap pertumbuhan ACES untuk mencatatkan pertumbuhan double digit di tahun 2024. ""Kita masih optimis untuk semester kedua tahun ini. Potensi pasar yang agresif dan rencana ekspansi toko masih menjadi fokus utama kami,"" pungkasnya. Baca Juga: Aspirasi Hidup (ACES) Targetkan Pembukaan 7 Toko Baru pada Semester II-2024     Cek Berita dan Artikel yang lain di Google News",industri
Nilai Tukar Rupiah Diperkirakan Menguat Tipis Hari Ini (11/7),2024-08-21T01:36:34.401Z,"Kamis, 11 Juli 2024 / 06:05 WIB",Reporter: Akmalal Hamdhi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/nilai-tukar-rupiah-diperkirakan-menguat-tipis-hari-ini-117,"KONTAN.CO.ID – JAKARTA. Kurs rupiah berpotensi melanjutkan penguatan pada hari ini, Kamis (11/7). Investor menantikan data inflasi Amerika Serikat (AS) yang dirilis Kamis (11/7) malam. Rabu (10/7), kurs rupiah di pasar spot ditutup menguat 0,06% ke Rp 16.240 per dolar AS. Sementara, rupiah Jisdor Bank Indonesia (BI) ditutup menguat 0,15% dari posisi kemarin ke level Rp 16.256 per dolar AS. Pengamat Komoditas dan Mata Uang Lukman Leong mengatakan, penguatan rupiah kemarin sejalan dengan mata uang regional yang pada umumnya menguat terhadap dolar AS. Data inflasi China yang lebih rendah dari perkiraan memicu ekspektasi stimulus dari pemerintah negeri tirai bambu tersebut. Menurut Lukman, rupiah diperkirakan akan berkonsolidasi di perdagangan Kamis (11/7). Sebab, investor masih menunggu data inflasi AS yang akan dirilis nanti malam. “Investor masih cenderung wait and see data inflasi AS,” imbuh Lukman kepada Kontan.co.id, Rabu (10/7). Baca Juga: Dolar AS Merosot Saat Ketua Fed Powell Bersiap Memberikan Kesaksian Hari Kedua Presiden Komisioner HFX International Berjangka Sutopo Widodo mengamati, rupiah terus berbalik menguat setelah mencapai level harga Rp 16.500 per dolar AS. Penguatan rupiah berlanjut setelah laporan data AS pekan lalu yang cenderung negatif pada pembayaran upah nonpertanian dan kenaikan tingkat pengangguran. Faktor tersebut membuka peningkatan persentase peluang penurunan suku bunga pada bulan September, sehingga menekan dolar dan imbal hasil obligasi. Meskipun demikian, ketidakstabilan geopolitik dapat mempengaruhi kepercayaan investor dan nilai tukar dolar masih mendapat dukungan. “Di dalam negeri tidak ada data ekonomi pekan ini, sehingga pergerakan rupiah lebih dipengaruhi oleh faktor luar,” kata Sutopo kepada Kontan.co.id, Rabu (10/7). Sutopo memproyeksi rupiah akan bergerak dalam kisaran Rp 16.200 per dolar AS–Rp 16.300 per dolar AS di perdagangan Kamis (11/7). Senada, Lukman juga memprediksi rupiah akan bergerak dalam kisaran Rp 16.200 per dolar AS–Rp 16.300 per dolar AS. Cek Berita dan Artikel yang lain di Google News",investasi
Asumsi Nilai Tukar Hingga Suku Bunga SBN 10 Tahun di APBN Meleset dari Proyeksi Awal,2024-08-21T01:36:34.619Z,"Senin, 08 Juli 2024 / 15:04 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/asumsi-nilai-tukar-hingga-suku-bunga-sbn-10-tahun-di-apbn-meleset-dari-proyeksi-awal,"KONTAN.CO.ID – JAKARTA. Sejumlah asumsi ekonomi makro Anggaran Pendapatan dan Belanja Negara (APBN) 2024 diperkirakan meleset dari rencana. Menteri Keuangan Sri Mulyani Indrawati menyebutkan, nilai tukar rupiah, semisal, diproyeksikan pada kisaran Rp 15.900 hingga Rp 16.100 per dollar Amerika Serikat (AS) pada akhir tahun 2024. Proyeksi ini jauh melemah dari asumsi ekonomi makro dalam APBN 2024 yang ditargetkan Rp 15.000 per dollar AS. “Realisasi pada semester I 2024 rupiah bergerak melemah Rp 15.901 per dollar AS di atas dari asumsi makro yakni Rp 15.000 per dollar AS,” tutur Sri Mulyani saat melakukan rapat kerja bersama Banggar DPR RI, Senin (8/7). Sementara itu, pada semester II 2024 proyeksi nilai tukar rupiah diperkirakan bergerak di kisaran Rp 16.000 hingga Rp 16.200 per dollar AS, dan pada akhir tahun diperkirakan mencapai Rp 15.900 hingga Rp 16.100 per dollar AS. Dalam bahan paparan Sri Mulyani, pergerakan nilai tukar rupiah yang jauh dari asumsi ekonomi makro dalam APBN 2024 ini sejalan dengan adanya volatilitas kebijakan suku bunga The Fed ke depan. Baca Juga: Ini Penyebab Penerimaan Negara Turun 6,2% di Semester I 2024 Adapun pertumbuhan ekonomi akhir tahun ini diperkirakan berada di kisaran 5% hingga 5,2%atau dalam batas atas sesuai dengan asumsi dalam APBN 2024 yakni 5,2%. Proyeksi pertumbuhan ekonomi ini sejalan dengan permintaan domestik yang masih cukup kuat untuk perekonomian nasional. Namun, Sri Mulyani mencatat, pemerintah perlu tetap waspada dengan berbagai risiko global. Kemudian, inflasi akhir tahun diproyeksikan di kisaran 2,7% hingga 3,2% atau naik jika dibandingkan dengan proyeksi batas atas, yang sebelumnya diproyeksikan 2,8% dalam asumsi ekonomi makro APBN 2024. Sri Mulyani menyampaikan, dinamika cuaca menjadi faktor risiko utama yang bisa mengerek inflasi pangan dan dapat mempengaruhi inflasi umum. Untuk suku bunga surat berharga negara (SBN) 10 tahun diproyeksikan mencapai 6,9% hingga 7,1% pada akhir tahun. Proyeksi suku bunga ini melonjak dari asumsi dalam APBN 2024 yang sebesar 6,7%. Peningkatan ini dipengaruhi dinamika pasar keuangan global dan likuiditas pasar domestik ke depan. Harga minyak mentah Indonesia diproyeksikan mencapai US$ 79 hingga US$ 85 per barel  pada akhir tahun 2024, ini meningkat dari asumsi dalam APBN 2024 yang sebesar US$ 81 per barel. Sri Mulyani menyampaikan, pergerakan harga minyak ini dipengaruhi oleh faktor geopolitik dan kebijakan produksi dan Organization of the Petroleum Exporting Countries (OPEC+) Lebih lanjut, terkait lifting minyak diperkirakan turun menjadi 565.000 hingga 609.000 barel per hari pada akhir tahun, turun dari asumsi APBN 2024 yang sebesar 635.000 barel per hari Baca Juga: Menkeu Waspadai Risiko Eksternal Bisa Gerus Pertumbuhan Ekonomi Semester II 2024 Terakhir, lifting gas diperkirakan mencapai 943.000 hingga 1,01 juta mph, atau turun dari asumsi APBN 2024 yang sebesar 1,03 juta mph. Lifting minyak dan gas ini dibawah asumsi karena optimalisasi sumur yang telah beroperasi melalui peningkatan kegiatan drilling dan facility maintenance. Cek Berita dan Artikel yang lain di Google News",nasional
"BPS Catat Nilai Tukar Petani pada Juni 2024 Naik 1,77% Menjadi 118,77",2024-08-21T01:36:34.741Z,"Senin, 01 Juli 2024 / 17:13 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/bps-catat-nilai-tukar-petani-pada-juni-2024-naik-177-menjadi-11877,"KONTAN.CO.ID - JAKARTA. Badan Pusat Statistik (BPS) mencatat nilai tukar petani (NTP) nasional pada Juni 2024 sebesar 118,77 atau naik 1,77% dibanding NTP bulan sebelumnya. Pelaksana Tugas (Plt) Sekretaris Utama BPS, Imam Machdi, mengatakan bahwa kenaikan NTP terjadi karena indeks harga yang diterima petani (lt) meningkat sebesar 1,85% atau menjadi 144,17. Ini lebih tinggi dari kenaikan Indeks Harga yang Dibayar Petani (lb) yang naik sebesar 0,08% menjadi 121,38. Baca Juga: BPS Catat Nilai Tukar Petani pada Mei 2024 Turun 0,06% Jadi 116,71 ""Kenaikan NTP terjadi karena indeks harga diterima petani naik sebesar 1,85% atau lebih tinggi dibandingkan indeks harga yang dibayar petani yaitu sebesar 0,08%,"" ujar Imam dalam Konferensi Pers di Jakarta, Senin (1/7). Imam menyebut, komoditas penyumbang yang mempengaruhi kenaikan indeks harga diterima petani adalah gabah, kakao, kopi dan karet. Kenaikan NTP Juni 2024 juga dipengaruhi oleh naiknya NTP di empat subsektor pertanian, yaitu subsektor tanaman pangan sebesar 1,50%, subsektor tanaman hortikultura sebesar 1,27%, subsektor tanaman perkebunan rakyat sebesar 2,68% dan subsektor peternakan sebesar 1,18%. Baca Juga: BPS Catat Nilai Tukar Petani pada April 2024 Turun 2,28% Jadi 116,99 Sementara itu, NTP subsektor perikanan mengalami penurunan sebesar 0,23%. Cek Berita dan Artikel yang lain di Google News",nasional
Pelemahan Nilai Tukar Rupiah dan Tawaran Gadget Baru,2024-08-21T01:36:35.123Z,"Sabtu, 29 Juni 2024 | 20:11 WIB","Jane Aprilyani, Jane Aprilyani",https:////momsmoney.kontan.co.id/news/pelemahan-nilai-tukar-rupiah-dan-tawaran-gadget-baru,"MOMSMONEY.ID - Pelemahan nilai tukar rupiah terhadap dollar Amerika Serikat (AS) dalam beberapa bulan terakhir yang mencapai titik terendah dalam 20 tahun. Hal ini menimbulkan kekhawatiran di berbagai sektor, termasuk industri smartphone. Di satu sisi, pelemahan ini dapat menekan daya beli konsumen dan mendorong kenaikan harga perangkat smartphone. Di sisi lain, hal juga ini turut membuka peta persaingan antar vendor smartphone untuk kembali menawarkan berbagai produk yang sesuai selera konsumen dan kondisi saat ini. Menurut data https://www.bi.go.id, hingga 21 Juni 2024, persentase pelemahan nilai tukar rupiah terhadap dollar AS dibandingkan dengan awal tahun 2024 cukup tinggi, sekitar 5,67%. Aryo Meidianto, Analis Pasar Smartphone & Senior Consultant di SEQARA Communications, memaparkan bahwa pelemahan rupiah dapat berdampak pada kenaikan harga smartphone, terutama pada beberapa komponen yang masih menggunakan skema impor. Menurutnya harga smartphone kemungkinan akan naik dalam beberapa bulan ke depan, seiring dengan kenaikan biaya komponen impor dan logistik. ""Menghadapi hal ini, strategi produsen diperkirakan tidak akan serta-merta menaikkan harga smartphone yang beredar, namun dapat dilihat melalui beberapa perangkat yang akan meluncur mendatang, kemungkinan beberapa perangkat baru terlihat sedikit tinggi harganya berbanding dengan spesifikasi yang ditawarkan,"" ujarnya dalam keterangan yang diterima Momsmoney. Baca Juga: Dukung Entrepreneur Muda, Bank Saqu Gelar Solopreneur Academy Namun, di sisi lain Aryo juga melihat peluang bagi beberapa vendor smartphone untuk memanfaatkan situasi ini. Para vendor smartphone tetap memiliki kesempatan untuk meningkatkan pangsa pasar mereka dengan menawarkan produk yang lebih kompetitif dalam segi harga dan fitur. Konsumen saat ini akan lebih berhati-hati dalam mengeluarkan uang mereka untuk membeli sebuah perangkat smartphone, tambahnya. Survei yang dilakukan oleh Reasense, divisi riset dari SEQARA Communications, terhadap perilaku konsumen di Indonesia menunjukkan bahwa 78,6% responden mengaku khawatir dengan kenaikan harga smartphone saat ini. Sementara itu, ketika ditanyakan mengenai kemungkinan responden untuk mengganti perangkat smartphone maka sebanyak 44% responden menyatakan berencana untuk membeli perangkat baru, 30% akan tetap menggunakan perangkat smartphone yang dimiliki sekarang, dan sisanya 26% tidak sama sekali memiliki rencana untuk membeli perangkat baru. Hasil survei Reasense ini bisa menjadi pertimbangan bagi para vendor smartphone untuk lebih memperkuat brand image melalui divisi atau agensi kehumasan mereka. Dari hasil 44% responden yang berniat membeli ponsel cerdas baru, bisa menjadi pijakan bagi sebuah vendor smartphone untuk terus melakukan engagement dengan konsumen loyal, sekaligus menggaet calon konsumen baru. Penguatan brand image perlu dilakukan melalui media sebagai sumber informasi yang meningkatkan kredibilitas dan kepercayaan masyarakat, bukan terbatas melalui Key Opinion Leader (KOL) semata–yang belakangan justru gencar dilakukan oleh sebagian besar brand smartphone. Kesimpulannya, dalam menyikapi keadaan ini vendor smartphone perlu lebih kreatif dalam memasarkan produknya. ""Tidak hanya berhenti pada peluncuran produk yang terkesan jor-joran namun harus tetap menawarkan promosi dan diskon yang menarik minat konsumen. Selain itu, vendor smartphone harus menyasar segmen pasar yang lebih luas dengan memanfaatkan berbagai saluran komunikasi, termasuk media,” tutur Aryo. Baca Juga: Pesan Investasi Robert Kiyosaki untuk Investor Pemula: Saham Bluechip Tak Aman Cek Berita dan Artikel yang lain di Google News",momsmoney.id
"Nilai Tukar Rupiah Melemah Hari Ini (26/6), Simak Sentimen yang Menyeretnya",2024-08-21T01:36:35.427Z,"Rabu, 26 Juni 2024 / 21:18 WIB",Reporter: Akmalal Hamdhi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/nilai-tukar-rupiah-melemah-hari-ini-266-simak-sentimen-yang-menyeretnya,"KONTAN.CO.ID – JAKARTA. Rupiah ditutup melemah di perdagangan Rabu (26/6). Mata uang garuda berbalik melemah seiring kekhawatiran meningkat terkait suku bunga bank sentral Amerika Serikat (AS). Direktur PT.Laba Forexindo Berjangka Ibrahim Assuaibi mengatakan, pelemahan rupiah tertekan indeks dolar Amerika Serikat (AS) yang menguat. Mata uang rupiah ditutup melemah di level Rp16.413 per dolar AS dari penutupan sebelumnya di level Rp16.375 per dolar AS. Ibrahim melihat, pelaku pasar menunggu data inflasi indeks harga PCE AS yang akan dirilis akhir pekan ini. Data yang menjadi ukuran inflasi pilihan Federal Reserve tersebut kemungkinan akan menjadi faktor dalam prospek bank sentral mengenai suku bunga. “Tanda-tanda ketahanan perekonomian AS baru-baru ini dari data indeks manajer pembelian yang kuat dan pembacaan kepercayaan konsumen memicu kekhawatiran bahwa The Fed akan memiliki cukup ruang untuk mempertahankan suku bunga tetap tinggi dalam jangka waktu yang lebih lama,” ungkap Ibrahim dalam riset harian, Rabu (26/6). Selain itu, beberapa pejabat The Fed menggemakan gagasan suku bunga di minggu ini. Revisi data produk domestik bruto (PDB) AS kuartal pertama juga akan memberikan lebih banyak petunjuk mengenai perekonomian Amerika. Baca Juga: Lesu, Rupiah Spot Ditutup Melemah ke Rp 16.413 Per Dolar AS di Hari Ini (26/6) Ibrahim menambahkan, pasar nilai tukar juga dipengaruhi ketegangan Tiongkok mengenai potensi perang dagang dengan negara-negara Barat, terutama setelah Beijing menandai kemungkinan tersebut dalam menghadapi tarif Eropa terhadap impor kendaraan listrik Tiongkok. “Kekhawatiran akan perang dagang membuat indeks Tiongkok mengalami penurunan tajam sepanjang bulan Juni, seiring dengan berkurangnya dukungan terhadap langkah-langkah stimulus yang lebih banyak di negara tersebut,” tuturnya. Namun demikian, Ibrahim mengamati, di tengah kekhawatiran masyarakat terhadap fluktuasi kurs rupiah dan kondisi ekonomi global yang tidak menentu, pemerintah masih optimisme bahwa kondisi fundamental makroekonomi Indonesia masih berada dalam kondisi baik-baik saja. Menurut Ibrahim, rupiah kemungkinan akan bergerak fluktuatif di perdagangan besok Kamis (27/6), kemudian ditutup melemah pada rentang Rp 16.400 per dolar AS – Rp 16.460 per dolar AS. Cek Berita dan Artikel yang lain di Google News",investasi
"Ada Risiko Nilai Tukar, BI Buka Peluang Kerek Rasio Pinjaman Luar Negeri Bank ke 35%",2024-08-21T01:36:35.845Z,,Premium User Only,https:////insight.kontan.co.id/news/ada-risiko-nilai-tukar-bi-buka-peluang-kerek-rasio-pinjaman-luar-negeri-bank-ke-35,Premium Content - Not Scraped,insight
ADHI Belum Terdampak Pelemahan Nilai Tukar Rupiah,2024-08-21T01:36:36.053Z,"Rabu, 19 Juni 2024 / 20:08 WIB",Reporter: Aurelia Lucretie | Editor: Putri Werdiningsih,https:////industri.kontan.co.id/news/adhi-belum-terdampak-pelemahan-nilai-tukar-rupiah,"KONTAN.CO.ID - JAKARTA. PT Adhi Karya (Persero) Tbk (ADHI) menyebut sejauh ini pelemahan nilai tukar rupiah terhadap dolar AS belum memberikan yang pengaruh signifikan bagi perusahaan. Hal tersebut disampaikan Corporate Secretary ADHI Rozi Sparta. Alasannya, Mayoritas vendor atau partner ADHI dalam menjalankan produksi sektor konstruksi lebih banyak yang berasal dari dalam negeri sehingga ditransaksikan dalam mata uang rupiah. ""Dengan kondisi ini risiko pelemahan kurs terhadap peningkatan biaya bahan baku dapat disimpulkan dalam level yang rendah. Selama pelemahan rupiah tidak berlangsung secara terus menerus dan signifikan dalam kurun waktu yang cukup lama,"" kata Rozi kepada Kontan, Rabu (19/6). Baca Juga: Gapmmi Sebut Tren Pelemahan Rupiah Berpotensi Menggerus Laba Perusahaan Dia mengaku, untuk saat ini pihaknya belum ada rencana untuk mengajukan ekskalasi nilai proyek kepada pemerintah dengan catatan kondisi saat ini terjaga dalam level yang wajar. ""Dengan minimalnya risiko yang diterima saat ini, dan mempertimbangkan unsur risiko yang telah dimasukan ke dalam harga jasa, kemungkinan eskalasi terhadap pemerintah minim,"" katanya. Selain itu, dia juga bilang kalau dampak pelemahan nilai tukar rupiah berada di taraf minimum terhadap kinerja perseroan. Namun dia tidak menampik bahwa perlu diantisipasi pula soal dinamika ekonomi lainnya yang timbul dan saling berkaitan dengan pelemahan nilai tukar rupiah, seperti peningkatan harga bahan bakar dan lain sebagainya. Cek Berita dan Artikel yang lain di Google News",industri
"Nilai Tukar Rupiah Melemah ke Level Rp 16.283, Begini Respons Jokowi",2024-08-21T01:36:36.240Z,"Senin, 10 Juni 2024 / 18:17 WIB",Reporter: Vendy Yhulia Susanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/nilai-tukar-rupiah-melemah-ke-level-rp-16283-begini-respons-jokowi,"KONTAN.CO.ID - JAKARTA. Nilai tukar rupiah melemah terhadap dolar Amerika Serikat (AS) pada perdagangan Senin (10/6). Mengutip Bloomberg, rupiah di pasar spot ditutup turun 0,54% ke posisi Rp 16.283 per dolar AS. Sedangkan di Jakarta Interbank Spot Dollar Rate (Jisdor) Bank Indonesia (BI), kurs rupiah juga melemah 0,44% ke level Rp 16.290 per dolar AS. Menanggapi hal tersebut, Presiden Joko Widodo mengatakan, semua negara ini mengalami hal yang sama, yakni mata uangnya tertekan terhadap kurs dollar AS. Baca Juga: Rupiah Melemah ke Level Rp 16.283, Simak Proyeksi Untuk Selasa (11/6) Menurutnya, ketidakpastian global memang menghantui semua negara. ""Tapi menurut saya kalau masih di angka Rp 16.200-Rp16.300 masih posisi yang baik,"" ujar Jokowi ditemui usai menghadiri acara HUT Hipmi ke-52 di Jakarta, Senin (10/6). Direktur Laba Forexindo Berjangka Ibrahim Assuaibi menyampaikan, pasar fokus pada pertemuan The Fed mendatang, dengan keputusan suku bunga yang akan dirilis pada Rabu (12/6). Bank sentral diperkirakan akan mempertahankan suku bunga tetap stabil. “Namun isyarat apa pun mengenai kebijakan di masa depan akan diawasi dengan ketat, terutama setelah tanda-tanda ketahanan inflasi AS, dan pasar tenaga kerja AS baru-baru ini,” kata Ibrahim, Senin (10/6). Baca Juga: Indeks Dolar Menguat, Begini Efeknya Ke Rupiah Ibrahim mengatakan, sejumlah pejabat The Fed telah memperingatkan bahwa bank sentral akan mempertahankan suku bunga tinggi lebih lama dalam menghadapi inflasi yang tinggi, dan kekuatan pasar tenaga kerja. Data nonfarm payrolls yang kuat pada Jumat (7/6), memperkuat gagasan ini. “Sebelum keputusan The Fed pada Rabu, data inflasi indeks harga konsumen utama juga tersedia pada minggu ini, dan diperkirakan menunjukkan inflasi tetap jauh di atas target tahunan sebesar 2% pada bulan Mei,” ucap Ibrahim. Cek Berita dan Artikel yang lain di Google News",nasional
"BPS Catat Nilai Tukar Petani pada Mei 2024 Turun 0,06% Jadi 116,71",2024-08-21T01:36:36.484Z,"Senin, 03 Juni 2024 / 17:40 WIB",Reporter: Rashif Usman | Editor: Tendi Mahadi,https:////nasional.kontan.co.id/news/bps-catat-nilai-tukar-petani-pada-mei-2024-turun-006-jadi-11671,"KONTAN.CO.ID - JAKARTA. Badan Pusat Statistik (BPS) mencatat, nilai tukar petani (NTP) pada Mei 2024 tercatat sebesar 116,71 atau turun 0,06% dibandingkan April 2024. Plt Kepala Badan Pusat Statistik (BPS) Amalia Adininggar Widyasanti mengatakan, penurunan NTP terjadi karena indeks harga yang diterima petani turun 0,16%. ""Lebih dalam dibandingkan penurunan indeks harga yang dibayar petani 0,10%,"" kata Amalia dalam konferensi pers, Senin (3/6). Amalia menerangkan komoditas yang dominan mempengaruhi indeks harga yang diterima petani nasional adalah kelapa sawit, gabah, jagung dan cabai rawit. Ia juga menyampaikan, peningkatan NTP tertinggi pada sub sektor hortikultura naik sebesar 1,26%. ""Kenaikan ini terjadi karena indeks harga yang diterima petani naik sebesar 1,13%, sedangkan indeks harga yang dibayar petani mengalami penurunan, 0,14%,"" jelasnya. Baca Juga: BPS Catat Beras Sumbang Andil Deflasi Terbesar pada Mei 2024 Komoditas yang dominan mempengaruhi kenaikan indeks harga yang diterima petani adalah sub sektor hortikultura, antara lain kol atau kubis, bawang merah, petai dan bawang daun. Di sisi lain, penurunan NTP terdalam terjadi pada sub sektor tanaman pangan yang turun sebesar 0,86%. Penurunan ini terjadi karena indeks harga yang diterima petani turun sebesar 0,99% atau lebih dalam dibandingkan indeks harga bayar petani yang sebesar 0,13%. ""Komoditas yang dominan memengaruhi penurunan indeks harga yang diterima petani adalah gabah, jagung dan ketela pohon,"" ujarnya. Cek Berita dan Artikel yang lain di Google News",nasional
