Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Inflasi Stabil, Imbal Hasil Obligasi Negara Menuju 6%",2024-08-21T01:57:41.559Z,,Premium User Only,https:////insight.kontan.co.id/news/inflasi-stabil-imbal-hasil-obligasi-negara-menuju-6,Premium Content - Not Scraped,insight
"Yield Obligasi Negara Bertahan di Bawah 7%, Simak Saran Analis Ini",2024-08-21T01:57:41.771Z,"Selasa, 13 Desember 2022 / 06:45 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////newssetup.kontan.co.id/news/yield-obligasi-negara-bertahan-di-bawah-7-simak-saran-analis-ini,"KONTAN.CO.ID - JAKARTA. Yield obligasi selama sepekan terakhir cenderung mengalami peningkatan. Kendati begitu, sudah tiga pekan yield obligasi masih bertahan di bawah 7%. Senior Vice President, Head of Retail, Product Research & Distribution Divion Henan Putihrai Asset Management Reza Fahmi Riawan mengatakan, hingga akhir tahun ini pihaknya melihat level government bond bertenor 10 tahun berada pada level 6,8%-7.1%. Angka itu lebih tinggi dibandingkan awal tahun 2022 di level 6,4%. ""Level 6,8%-7,1% adalah level yang cukup menarik bagi investor untuk berinvestasi di obligasi pemerintah melihat fundamental Indonesia yang lebih baik dibandingkan negara-negara di regional,"" ujarnya kepada Kontan.co.id, Jumat (9/12). Untuk tahun depan, Reza juga memperkirakan pergerakan indeks obligasi masih berpotensi memberi kinerja yang baik. Pihaknya melihat tingkat suku bunga masih akan mengalami kenaikan hingga kuartal I 2022, lalu akan berpotensi flat hingga kuartal III 2023. Baca Juga: Schroders Indonesia Rilis Studi tentang Cara Investor Hadapi Kondisi Sulit Adapun sentimen di tahun depan masih berputar di sekitar kebijakan Bank Indonesia atas kenaikan tingkat suku bunga. Sebab diperkirakan masih akan berlanjut hingga level 5,25%-5.50%. Selain itu, fluktuasi pada mata uang yang berflukutasi pada level US$ 15.400 – US$ 15.700. Dari eksternal, Reza melihat investor masih melihat tingkat inflasi AS yang walaupun dalam tren menurun, namun masih pada level yang cukup tinggi. ""Sehingga tindak lanjut dari the Fed yang masih akan menaikkan FFR masih akan menjadi perhatian pasar,"" paparnya. Dari berbagai hal tersebut, Reza menilai investor sebaiknya mulai mencicil beli pada instrumen obligasi. Sebab data Otoritas Jasa Keuangan (OJK) menunjukkan peningkatan AUM berbasis sukuk pada akhir November 2022 yang paling tinggi dibanding dengan instrumen investasi lainnya. ""Sehingga menjadi peluang yang baik untuk para investor jika ingin berinvestasi di obligasi tahun depan. Untuk melalui reksadana maupun secara langsung bisa di-spread kepada keduanya agar mendapatkan hasil yang maksimal dan melakukan diversifikasi investasi,"" tambahnya. Untuk jangka pendek sendiri, Reza berpandangan adanya kesempatan untuk melakukan trading pada level 7,1% - 7,4%, ataupun menyamakan durasi portfolio dengan benchmark. Hal-hal yang perlu dicermati adalah tingkat inflasi AS dan perkembangan kebijakan The Fed atas tingkat suku bunganya dan juga kondisi geopolitik antara Ukraina dan Rusia. ""Dari sisi domestik, tingkat inflasi domestik, kebijakan BI atas GWM, cadangan devisa, dan fluktuasi Rupiah ke depannya,"" jelasnya. Di sisi lain, analis DFCX Futures Lukman berpandangan bahwa yield obligasi Indonesia masih berpotensi naik hingga akhir tahun ini. Menurutnya, yield bisa naik di atas 7%, mengingat minggu ini The Fed AS akan kembali menaikkan suku bunga. Baca Juga: Volatilitas Pasar Modal Berpotensi Lanjut Pada 2023, Perhatikan Sentimen Ini Untuk tahun depan, yield obligasi negara akan tergantung BI. Lukman memaparkan, tahun depan diperkirakan inflasi akan mereda dan ekonomi akan lebih melamban. Hal tersebut bisa menahan BI dari menaikkan suku bunga lebih lanjut. Namun tekanan dolar AS pada Rupiah mungkin bisa memaksa BI untuk menaikkannya. Adapun sentimen utama masih dari dolar AS/tingkat suku bunga the Fed, perlambatan ekonomi global, harga energi, serta China zero Covid Policy. Sedangkan untuk internal, neraca perdagangan/harga komoditas batubara, investasi asing, dan kebijakan BI. ""Yield tahun depan diperkirakan akan di kisaran 9%, jadi belum saat yang tepat untuk masuk karena selama yield masih naik, harga obligasi masih akan turun,"" imbuhnya. Cek Berita dan Artikel yang lain di Google News",newssetup
"Yield Obligasi Negara Bertahan di Bawah 7%, Simak Proyeksi Pergerakannya",2024-08-21T01:57:41.936Z,"Senin, 12 Desember 2022 / 22:05 WIB",Reporter: Nur Qolbi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/yield-obligasi-negara-bertahan-di-bawah-7-simak-proyeksi-pergerakannya,"KONTAN.CO.ID - JAKARTA. Yield obligasi Indonesia dengan tenor 10 tahun bertahan di bawah level 7% hampir tiga minggu lamanya. Berdasarkan data tradingeconomics.com, yield Indonesia 10Y bond pada Senin, (12/12) berada di level 6,95%. Dengan turunnya yield obligasi tersebut, berarti harga obligasi saat ini cenderung naik. Sebagaimana diketahui, pergerakan harga obligasi berlawanan dengan pergerakan tingkat yield-nya. Research & Consulting Manager Infovesta Utama Nicodimus Kristiantoro memprediksi, sampai dengan akhir tahun 2022, yield obligasi domestik akan bergerak naik dengan rentang yang cukup terbatas. Pemicunya berasal dari berbagai faktor ketidakpastian, seperti volatilitas kurs rupiah dan potensi kenaikan yield US Treasury yang sewaktu-waktu bisa mendorong kenaikan yield obligasi domestik. Selain itu, pasar juga akan dihadapkan dengan kenaikan suku bunga acuan beberapa bank sentral. Mulai dari bank sentral Amerika Serikat (AS) The Fed, Bank Sentral Eropa, Bank of England, dan Bank Indonesia. Di sisi lain, jika The Fed bisa lebih bernada dovish pada pertemuan Federal Open Market Committee (FOMC) Kamis (15/12), maka bisa menjadi sentimen positif untuk pasar. ""Berdasarkan sentimen-sentimen tersebut, saya memproyeksi yield obligasi negara tenor sepuluh tahun bisa saja ke level 7,10%-7,15% di akhir tahun,"" kata Nicodimus saat dihubungi Kontan.co.id, Senin (12/12). Baca Juga: Yield Obligasi Negara Bertahan di Bawah 7%, Saat yang Tepat untuk Masuk? Direktur PT Panin Asset Management Rudiyanto memperkirakan, yield obligasi negara tenor sepuluh tahun kemungkinan berada di level 6,75%-7,25% pada pengujung tahun 2022. Prediksi tersebut sudah priced in potensi kenaikan suku bunga acuan pada Desember ini. Sementara untuk tahun 2023, Rudiyanto memprediksi yield obligasi akan turun lagi ke level 6%-6,5%. Penurunan yield ini akan menjadi sentimen positif untuk reksa dana pendapatan tetap. Akan tetapi, ada risiko apabila inflasi pada tahun depan masih belum terkendali. ""Yang dilihat orang sekarang itu bulan per bulan. Inflasi intinya apakah melanjutkan tren penurunan atau tidak,"" ucap Rudiyanto. Meskipun begitu, secara umum, inflasi diproyeksi turun pada 2023. Pelaku pasar bakal mencermati seberapa cepat inflasi dapat turun sehingga kenaikan suku bunga tinggi tidak diperlukan lagi. ""Jika inflasi turun dan resesi membuat penurunan suku bunga bisa lebih cepat, maka potensi kenaikan yield obligasi cukup besar,"" ungkap Rudiyanto. Bernada serupa, Nicodimus menyampaikan, pasar obligasi pada tahun 2023 akan dipengaruhi oleh tiga hal utama, yaitu inflasi, suku bunga, dan gerak nilai tukar rupiah. Inflasi diproyeksi akan melandai seiring pelonggaran kebijakan moneter bank sentral. Akan tetapi, pelaku pasar harus mewaspadai risiko ketidakpastian inflasi yang dapat saja terus meningkat seiring berlanjutnya krisis energi akibat konflik Rusia-Ukraina dan dampak dari re-opening China. Baca Juga: Volatilitas Pasar Modal Berpotensi Lanjut Pada 2023, Perhatikan Sentimen Ini Kemudian, gerak rupiah akan dibayangi ketidakpastian gerak indeks dolar AS. Apalagi tahun depan akan dibayangi perlambatan ekonomi global yang akan mendorong dolar AS semakin disasar pelaku pasar karena sifatnya yang safe haven sehingga berpotensi menekan kinerja rupiah dan pasar obligasi. Selanjutnya, pergerakan suku bunga bank sentral AS ke depannya akan dipengaruhi tingkat inflasi dan pergerakan mata uang itu sendiri. Namun, terlepas dari beberapa risiko tersebut, yield obligasi masih berpotensi untuk turun karena adanya perubahan arah kebijakan dari bank sentral. Jika inflasi sanggup melandai pada semester II-2023, maka beberapa bank sentral kemungkinan akan memberikan pandangan yang lebih dovish sehingga pasar obligasi juga akan berbalik arah mengalami penguatan. ""Jadi untuk menyikapi kondisi pasar obligasi tahun 2023, investor harus paham timing yang tepat kapan akan ada sentimen yang bullish atau bearish sehingga dapat memaksimalkan potensi return dan terhindar dari timing risk,"" tutur Nicodimus. Ketika tren kenaikan yield akan segera berakhir, investor bisa memanfaatkannya untuk mulai mengakumulasi pembelian seri obligasi. Saat itu, harga obligasi terdiskon sehingga investor bisa mendapatkan capital gain dari kenaikan harga ke depannya. Nicodimus memprediksi, tren kenaikan yield akan hampir selesai pada akhir kuartal II-2023. Dengan catatan, inflasi semakin melandai dan The Fed menahan kenaikan suku bunga lanjutan. Cek Berita dan Artikel yang lain di Google News",investasi
"Yield Obligasi Negara Bertahan di Bawah 7%, Saat yang Tepat untuk Masuk?",2024-08-21T01:57:42.193Z,"Senin, 12 Desember 2022 / 17:02 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/yield-obligasi-negara-bertahan-di-bawah-7-saat-yang-tepat-untuk-masuk,"KONTAN.CO.ID - JAKARTA. Yield obligasi selama sepekan terakhir cenderung mengalami peningkatan. Kendati begitu, sudah tiga pekan yield obligasi masih bertahan di bawah 7%. Senior Vice President, Head of Retail, Product Research & Distribution Divion Henan Putihrai Asset Management Reza Fahmi Riawan mengatakan, hingga akhir tahun ini pihaknya melihat level government bond bertenor 10 tahun berada pada level 6,8%-7.1%. Angka itu lebih tinggi dibandingkan awal tahun 2022 di level 6,4%. ""Level 6,8%-7,1% adalah level yang cukup menarik bagi investor untuk berinvestasi di obligasi pemerintah melihat fundamental Indonesia yang lebih baik dibandingkan negara-negara di regional,"" ujarnya kepada Kontan.co.id, Jumat (9/12). Untuk tahun depan, Reza juga memperkirakan pergerakan indeks obligasi masih berpotensi memberi kinerja yang baik. Pihaknya melihat tingkat suku bunga masih akan mengalami kenaikan hingga kuartal I 2022, lalu akan berpotensi flat hingga kuartal III 2023. Baca Juga: Schroders Indonesia Rilis Studi tentang Cara Investor Hadapi Kondisi Sulit Adapun sentimen di tahun depan masih berputar di sekitar kebijakan Bank Indonesia atas kenaikan tingkat suku bunga. Sebab diperkirakan masih akan berlanjut hingga level 5,25%-5.50%. Selain itu, fluktuasi pada mata uang yang berflukutasi pada level US$ 15.400 – US$ 15.700. Dari eksternal, Reza melihat investor masih melihat tingkat inflasi AS yang walaupun dalam tren menurun, namun masih pada level yang cukup tinggi. ""Sehingga tindak lanjut dari the Fed yang masih akan menaikkan FFR masih akan menjadi perhatian pasar,"" paparnya. Dari berbagai hal tersebut, Reza menilai investor sebaiknya mulai mencicil beli pada instrumen obligasi. Sebab data Otoritas Jasa Keuangan (OJK) menunjukkan peningkatan AUM berbasis sukuk pada akhir November 2022 yang paling tinggi dibanding dengan instrumen investasi lainnya. ""Sehingga menjadi peluang yang baik untuk para investor jika ingin berinvestasi di obligasi tahun depan. Untuk melalui reksadana maupun secara langsung bisa di-spread kepada keduanya agar mendapatkan hasil yang maksimal dan melakukan diversifikasi investasi,"" tambahnya. Untuk jangka pendek sendiri, Reza berpandangan adanya kesempatan untuk melakukan trading pada level 7,1% - 7,4%, ataupun menyamakan durasi portfolio dengan benchmark. Hal-hal yang perlu dicermati adalah tingkat inflasi AS dan perkembangan kebijakan The Fed atas tingkat suku bunganya dan juga kondisi geopolitik antara Ukraina dan Rusia. ""Dari sisi domestik, tingkat inflasi domestik, kebijakan BI atas GWM, cadangan devisa, dan fluktuasi Rupiah ke depannya,"" jelasnya. Di sisi lain, analis DFCX Futures Lukman berpandangan bahwa yield obligasi Indonesia masih berpotensi naik hingga akhir tahun ini. Menurutnya, yield bisa naik di atas 7%, mengingat minggu ini The Fed AS akan kembali menaikkan suku bunga. Baca Juga: Volatilitas Pasar Modal Berpotensi Lanjut Pada 2023, Perhatikan Sentimen Ini Untuk tahun depan, yield obligasi negara akan tergantung BI. Lukman memaparkan, tahun depan diperkirakan inflasi akan mereda dan ekonomi akan lebih melamban. Hal tersebut bisa menahan BI dari menaikkan suku bunga lebih lanjut. Namun tekanan dolar AS pada Rupiah mungkin bisa memaksa BI untuk menaikkannya. Adapun sentimen utama masih dari dolar AS/tingkat suku bunga the Fed, perlambatan ekonomi global, harga energi, serta China zero Covid Policy. Sedangkan untuk internal, neraca perdagangan/harga komoditas batubara, investasi asing, dan kebijakan BI. ""Yield tahun depan diperkirakan akan di kisaran 9%, jadi belum saat yang tepat untuk masuk karena selama yield masih naik, harga obligasi masih akan turun,"" imbuhnya. Cek Berita dan Artikel yang lain di Google News",investasi
"Kesempatan Beli Obligasi Negara, Mumpung Lagi Murah",2024-08-21T01:57:42.502Z,,Premium User Only,https:////insight.kontan.co.id/news/kesempatan-beli-obligasi-negara-mumpung-lagi-murah,Premium Content - Not Scraped,insight
"Akibat Tekanan Ekonomi Global, Banyak Negara Besar Alami Kenaikan Yield Obligasi",2024-08-21T01:57:42.781Z,"Selasa, 18 Oktober 2022 / 20:16 WIB",Reporter: Dendi Siswanto | Editor: Tendi Mahadi,https:////nasional.kontan.co.id/news/akibat-tekanan-ekonomi-global-banyak-negara-besar-alami-kenaikan-yield-obligasi,"KONTAN.CO.ID - JAKARTA. Perekonomian Indonesia masih menunjukkan pertumbuhan yang terus membaik jika dibandingkan dengan tahun sebelumnya. Walaupun International Monetary Fund (IMF) memangkas proyeksi pertumbuhan Indonesia tahun ini menjadi 5%, hal ini lebih baik jika dibandinkan dengan tahun 2021 yang sebesar 3,7%. Senior Vice President, Head of Retail, Product Research & Distribution Division Henan Putihrai Asset Management (HP Asset Management) Reza Fahmi Riawan mengatakan, tekanan global yang saat ini terjadi membuat yield obligasi di negara-negara besar mengalami kenaikan. Sebut saja negara Amerika Serikat (AS) yang mengalami kenaikan dari level 2% menjadi 4%, Singapura naik dari level 1,6% menjadi 3,5%, Malaysia naik dari 3,5% menjadi 4,4%, serta negara Thailand naik dari 1,9% menjadi 3,04%. Ini juga tidak terlepas dari tekanan geopolitik antara Rusia dan Ukrainan yang menyebabkan kenaikan harga minyak dunia yang diikuti oleh inflasi secara global. ""Yang terjadi saat ini merupakan tekanan dari global yang merupakan lanjutan dari tahun pandemi, dimana pada saat itu hampir seluruh negara melakukan quantitative easing, dan kemudian di-tapering, atau mengurangi likuiditas di pasar,"" ujar Reza kepada Kontan.co.id, Selasa (18/10). Baca Juga: Chatib Basri: Genjot Konsumsi Masyarakat, Jurus Tangkal Resesi Untuk itu, Reza mengatakan bahwa pemerintah tetap harus melawan inflasi dengan menaikkan tingkat suku bunga, dan menjaga kestabilan Rupiah, serta tidak terlambat dalam merubah kebijakan baik fiskal maupun moneter. Ekonom MNC Sekuritas Tirta Widi Gilang Citradi mengatakan, meski pencapaian ekonomi Indonesia masih relatif bagus hingga saat ini, hanya saja faktor ekonomi global masih mendominasi. ""Yield US Treasury tenor pendek saja sudah 4,5% yang dua tahun merespons proyeksi The Fed yang akan naikkan suku bunga sampai akhir tahun bisa 4,4% dan tahun depan naik lagi,"" katanya. Untuk itu, Tirta menyarankan pemerintah dalam hal ini Bank Indonesia (BI) untuk menjaga nilai tukar agar tetap terjaga buka hanya depresiasinya saja yang minim, tetapi juga tidak terlalu volatile. Cek Berita dan Artikel yang lain di Google News",nasional
"Ikuti Bunga, Yield Obligasi Negara Sentuh Level Tertinggi",2024-08-21T01:57:43.005Z,,Premium User Only,https:////insight.kontan.co.id/news/ikuti-bunga-yield-obligasi-negara-sentuh-level-tertinggi,Premium Content - Not Scraped,insight
"Dijual 26 September, Obligasi Negara Ritel (ORI) Seri ORI022 Tawarkan Kupon 5,95%",2024-08-21T01:57:43.175Z,"Kamis, 22 September 2022 / 18:02 WIB",Reporter: Aris Nurjani | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/dijual-26-september-obligasi-negara-ritel-ori-seri-ori022-tawarkan-kupon-595,"KONTAN.CO.ID - JAKARTA. Pemerintah segera menerbitkan instrumen Obligasi Negara Ritel (ORI) seri ORI022 setelah merampungkan pencatatan sukuk ritel seri SR017 pekan ini. Pemerintah menawarkan kupon 5,95% per tahun untuk surat berharga negara (SBN) ritel ini. Sekadar informasi, besaran kupon ORI022 ini hanya 5 basis points (bps) lebih tinggi ketimbang SR017 yang sebesar 5,90%. Kedua SBN ritel ini memiliki tenor tiga tahun. ORI022 akan jatuh tempo pada 15 Oktober 2025. Pemerintah akan membayar kupon ORI022 setiap tanggal 15 per bulan. Pembayaran kupon pertama pada 15 Desember 2022. ORI022 juta memiliki holding period satu periode pembayaran kupon. Setelah pembayaran kupon pertama, investor dapat menjual ORI022 di pasar sekunder mulai 15 Desember 2022. Baca Juga: Segera Terbit, Seri ORI022 Bisa Menjadi Alternatif Pilihan Investasi Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan akan membuka masa penawaran ORI seri ORI022 pada 26 September 2022 pukul 09.00 WIB. Penawaran ORI akan berlangsung hingga 20 Oktober 2022 pukul 10.00 WIB. ""Pemesanan ORI022 minimal adalah Rp 1 juta dan maksimal Rp 5 miliar,"" ungkap DJPPR dalam pengumuman, Kamis (22/9). Hasil penjualan akan ditetapkan pada 24 Oktober 2022. Sedangkan setelmen dilakukan pada 26 Oktober 2022. ORI ini ditawarkan kepada investor individu secara online (e-SBN). Proses pemesanan pembelian ORI022 secara online dilakukan melalui empat tahap yaitu registrasi/pendaftaran, pemesanan, pembayaran, dan setelmen. Pemesanan pembelian disampaikan melalui sistem elektronik yang disediakan mitra distribusi yang memiliki interface dengan sistem e-SBN. Baca Juga: Jumlah Investor Baru SR017 Mencapai Angka Terbesar Dalam Penerbitan SBSN Ritel Investor yang berminat untuk berinvestasi di ORI022 dapat menghubungi 30 mitra distribusi yang telah ditetapkan oleh pemerintah untuk melayani pemesanan pembelian secara langsung melalui sistem elektronik (layanan online). Bank yang menjadi mitra distribusi ORI022 adalah Bank Central Asia (BCA), Bank CIMB Niaga, Bank Commonwealth, Bank Danamon Indonesia, Bank DBS Indonesia, Bank HSBC Indonesia, Bank Mandiri, Bank Maybank Indonesia, Bank Mega, Bank Negara Indonesia (BNI), Bank OCBC NISP, Bank Panin, Bank Permata, Bank Tabungan Negara (BTN), Bank UOB Indonesia, Bank Rakyat Indonesia (BRI), Bank Victoria International, Standard Chartered Bank. Sedangkan perusahaan efek yang menjadi mitra distribusi adalah BRI Danareksa Sekuritas, BNI Sekuritas, Mandiri Sekuritas, Phillip Sekuritas Indonesia, dan Trimegah Sekuritas Indonesia. Perusahaan fintech yang turut menjual ORI022 terdiri dari Bareksa Portal Investasi, Nusantara Sejahtera Investama (FUNDtastic+), Star Mercato Capitale (Tanamduit), Investree Radhika Jaya, Lunaria Annua Teknologi (Koinworks), Mitrausaha Indonesia Grup (Modalku), dan Bibit Tumbuh Bersama. Cek Berita dan Artikel yang lain di Google News",investasi
"The Fed Bakal Perketat Suku Bunga, Investor Asing Buru Obligasi Negara Berkembang",2024-08-21T01:57:43.428Z,"Kamis, 25 Agustus 2022 / 14:32 WIB",Reporter: Maizal Walfajri | Editor: Tendi Mahadi,https:////internasional.kontan.co.id/news/the-fed-bakal-perketat-suku-bunga-investor-asing-buru-obligasi-negara-berkembang,"KONTAN.CO.ID - NEW YORK. Investor asing mulai masuk ke pasar obligasi di negara berkembang utama Asia untuk pertama kalinya dalam beberapa bulan terakhir. Investor asing berbalik arah dari AS karena ada potensi Federal Reserve melakukan pengetatan suku bunga. mengutip Bloomberg pada Kamis (25/8), pada bulan ini dana global telah menggelontorkan US$ 1,4 miliar ke dalam pasar obligasi Indonesia. Sementara India mencatat sebesar US$680 juta. Arus masuk ini menunjukkan dana asing bertaruh bahwa Fed akan berputar dan menjadi kurang hawkish di tengah tanda-tanda perlambatan ekonomi. Pidato Ketua Jerome Powell yang sangat dinanti pada hari Jumat di Jackson Hole akan membantu menunjukkan apakah taruhan itu terlalu dini. “Sepertinya kemampuan untuk mengelola soft landing tetap menjadi kunci kebangkitan minat investor yang cepat dan berkelanjutan untuk obligasi di negara berkembang Asia,” kata Wisnu Varathan, kepala ekonomi dan strategi di Mizuho Bank Ltd., di Singapura. Baca Juga: China Gelontorkan Stimulus US$ 146 miliar Demi Dongkrak Pertumbuhan Ekonomi Sebagian besar arus masuk pada bulan Agustus masuk selama paruh pertama, karena pasar menganggap komentar dari Powell di FOMC Juli kurang hawkish. Sementara pejabat Fed sejak itu mendorong kembali narasi dovish, dana global tidak sepenuhnya berbalik arah. Posisi mereka yang lebih ringan di pasar obligasi negara berkembang Asia mungkin telah membantu investor yang ingin meningkatkan eksposurnya. Kepemilikan asing di obligasi pemerintah Indonesia yang beredar tinggal 16% pada saat ini, turun dari posisi 39% pada awal tahun 2020. Kondisi serupa terjadi di Malaysia yang porsinya telah turun setiap bulan sejak Februari tahun ini dan sekarang berada di posisi 23,3%. Beberapa pembuat kebijakan di kawasan Asia Tenggara masih berusaha untuk menyeimbangkan inflasi dan tantangan pertumbuhan yang menambah daya pikat utang mereka. Bank-bank sentral di Indonesia, Malaysia, dan Thailand sejauh ini telah memulai jalur pengetatan yang lebih moderat, yang sangat kontras dengan pergerakan hawkish di Amerika Latin. Sejumlah faktor mungkin telah menguntungkan beberapa pihak. Investor akan didukung oleh rencana konsolidasi fiskal Indonesia, karena pemerintah menargetkan untuk mempersempit kesenjangan fiskal menjadi 2,85% dari produk domestik bruto pada tahun 2023. Baca Juga: Industri Game Melambat, Nvidia Proyeksikan Pendapatan Turun di kuartal III Namun, perubahan besar untuk kawasan ini akan menjadi tanda-tanda tekanan inflasi kian memuncak yang sejauh ini tidak terjadi di sebagian besar negara berkembang di Asia. Di India, ekspektasi hawkish telah mereda untuk bank sentral setelah inflasi aktual meleset dari perkiraan ekonom selama tiga bulan berturut-turut, yang merupakan rentang terpanjang di antara negara selevel.",internasional
"Asumsi Bunga Naik, Prospek Pasar Obligasi Negara Tetap Menarik",2024-08-21T01:57:43.664Z,"Senin, 22 Agustus 2022 / 23:47 WIB",Reporter: Avanty Nurdiana | Editor: Avanty Nurdiana,https:////investasi.kontan.co.id/news/asumsi-bunga-naik-prospek-pasar-obligasi-negara-tetap-menarik,"KONTAN.CO.ID - JAKARTA. Suku bunga acuan global naik lebih tinggi dari bunga acuan di dalam negeri. Meski begitu, Mirae Asset Sekuritas Indonesia menilai investasi di pasar obligasi Indonesia masih menarik meski suku bunga acuan dunia dan global sedang dalam tren naik. Sebab ada kemungkinan tercapainya perdamaian konflik antara Rusia dan Ukraina di tahun ini serta ketahanan kondisi makroekonomi domestik. Rully Wisnubroto, Ekonom Senior Mirae Asset Sekuritas menilai, meski tren suku bunga acuan global dan domestik meningkat, investasi di pasar obligasi saat ini cukup menarik. Dimana pertimbangan utamanya adalah terjaganya defisit fiskal APBN di tahun 2022 pada target yang ditetapkan pemerintah. ""Target pemerintah tersebut didasari Perpres 98/2022 sebesar 4,5%, seiring dengan peningkatan penerimaan pajak,"" ujar Rully dalam rilis, Senin, 22 Agustus 2022. Baca Juga: Imbal Hasil 5,9% Per Tahun, SR017 Jadi Pilihan Investasi Menarik Rully memproyeksikan, The Fed masih akan menaikkan suku bunga acuan sebesar 1% atau 100 bps hingga akhir tahun 2022. Dari besaran total tersebut, sebesar 50 bps akan dinaikkan pada FOMC September dan masing-masing 25 bps pada FOMC November-Desember. Sementara itu, di dalam negeri, Bank Indonesia akan menaikkan suku bunga acuan BI7DRRR sebesar 50 bps secara total hingga ke kisaran 4% pada akhir tahun 2022. Hikmahanto Juwana, Guru Besar Hukum Internasional Universitas Indonesia menjelaskan, inflasi tinggi dunia saat ini masih menjadi efek jangka panjang dari konflik Rusia-Ukraina. Dia menilai dampak panjang dari Rusia-Ukraina adalah pasokan komoditas yang terhambat terutama dari sisi produksi dan distribusi seperti pada komoditas pangan seperti gandum serta migas. Meskipun demikian, Hikmahanto meyakini, ke depannya kondisi akan berangsur pulih. ""Prospek perkembangan akan semakin mendekati perdamaian konflik antara Rusia dan Ukraina jika kekhawatiran Rusia atas ancaman dari Amerika Serikat (AS) semakin berkurang dan Ukraina tidak lagi melakukan serangan baik kepada Rusia maupun secara internal kepada masyarakatnya,"" ujar dia. Baca Juga: Pamor Reksadana Terproteksi Memudar, Dana Kelolaan di Juli Turun Rp 3 Triliun Hikmahanto menilai, perkembangan gencatan senjata juga perlu dukungan dari AS untuk menghentikan pasokan senjata kepada Ukraina serta mendukung upaya negara ketiga seperti Indonesia, Turki, dan PBB. Menurut dia, gencatan senjata tersebut sedapat mungkin dapat dilaksanakan sebelum KTT G-20 yang akan dilaksanakan pada November 2022. Nita Amalia, Head of Fixed Income Mirae Asset Sekuritas Indonesia, juga menyampaikan, optimistisme kondisi pasar obligasi akan berangsur pulih yang pada akhirnya bisa mendorong transaksi nasabah terutama yang difasilitasi oleh perusahaan. Menurut dia, dalam memfasilitasi transaksi efek utang nasabah, saat ini Mirae Asset Sekuritas Indonesia sudah menempati urutan keempat sekuritas terbesar untuk transaksi obligasi korporasi. Di pasar obligasi negara, Mirae Asset Sekuritas Indonesia menempati posisi delapan besar, keduanya sama-sama pada periode Juni-Juli 2022 yang didasari data Bursa Efek Indonesia. ""Di pasar modal, saat ini modal kerja bersih disesuaikan (MKBD) Mirae Asset Sekuritas Indonesia yang besar yaitu di Rp 1,5 triliun memungkinkan dilakukan transaksi besar melalui perusahaan, termasuk transaksi obligasi,"" ujar Nita. Nita menambahkan, di pasar obligasi, Mirae Asset Sekuritas Indonesia memiliki layanan yang komprehensif seperti kegiatan penjaminan emisi efek utang, update pasar rutin harian dan bulanan, update pasar insidental, webinar Youtube bulanan, kuotasi harga pasar, dan warehousing obligasi berperingkat AAA. Baca Juga: Dua Surat Utang Tercatat Pekan Ini, Nilai Emisi Obligasi 2022 Capai Rp 109,98 Triliun Cek Berita dan Artikel yang lain di Google News",investasi
