Title,Scrapping Date,Article Date,Author,Link,Content,Category
Pertamina International Shipping Intip Peluang Pasar LNG Global,2024-08-21T01:53:55.110Z,"Sabtu, 27 Juli 2024 / 21:15 WIB",Reporter: Filemon Agung | Editor: Handoyo .,https:////industri.kontan.co.id/news/pertamina-international-shipping-intip-peluang-pasar-lng-global,"KONTAN.CO.ID - JAKARTA. PT Pertamina International Shipping (PIS) menyatakan kesiapannya dalam mengakomodasi peluang permintaan global untuk gas alam cair (liquified natural gas/LNG). Direktur Gas, Petrochemical & New Business PIS, Arief Sukmara, mengungkapkan bahwa terdapat pertumbuhan signifikan dalam permintaan LNG di seluruh dunia, terutama di kawasan Asia Pasifik. “Diperkirakan terdapat kebutuhan tambahan sebanyak 193 kapal pengangkut gas untuk memenuhi pertumbuhan permintaan LNG sebesar 5% tiap tahun hingga 2033 nanti,"" kata Arief dalam siaran pers pada Sabtu (27/7). Baca Juga: Pertamina International Shipping (PIS) Terus Tambah Kargo untuk Tingkatkan Kinerja Kebutuhan Kapal Pengangkut LNG Arief menjelaskan, terjadi peningkatan dari 412 juta ton per tahun (mtpa) pada 2023 menjadi 666 mtpa pada 2033. Dengan demikian, industri akan memerlukan 27 hingga 28 unit kapal pengangkut LNG baru setiap tahun selama dekade mendatang. Menurut Arief, LNG telah terbukti menjadi sumber energi alternatif dengan emisi yang lebih rendah dibandingkan sumber energi lainnya. Selain itu, LNG juga memiliki peran penting dalam mendukung transisi energi. PIS bersiap memasuki pasar LNG dengan memiliki kapal pengangkut LNG, dan kapasitas serta portofolio PIS sebagai perusahaan maritim logistik di pasar internasional menjadi modal kuat untuk berkontribusi dalam penyediaan energi ramah lingkungan ini. Baca Juga: Pertamina International Shipping Targetkan Penurunan Emisi Karbon 33% pada 2030 Komitmen PIS dalam Penyediaan Energi Bersih “Sebagai perusahaan yang berkomitmen menjadi salah satu yang terdepan di dunia dan dengan estimasi pendapatan hingga US$ 6 miliar pada 2030, kami ingin berkontribusi dalam penyediaan energi bersih LNG di Asia Pasifik,” imbuh Arief. PIS juga terus membangun armada dan infrastruktur lain yang diperlukan untuk menjaga ketahanan energi nasional. Saat ini, PIS terus menambah armada kapal yang mendukung logistik energi ramah lingkungan. PIS kini memiliki 7 unit Very Large Gas Carrier (VLGC) yang dilengkapi teknologi dual-fuel sehingga lebih ramah lingkungan. Secara keseluruhan, armada PIS telah beroperasi di lebih dari 60 rute internasional.     Cek Berita dan Artikel yang lain di Google News",industri
"China Hentikan Ekspor Urea, Peluang Produsen Pupuk Indonesia Isi Ceruk Pasar Global",2024-08-21T01:53:56.461Z,,Premium User Only,https:////insight.kontan.co.id/news/china-hentikan-ekspor-urea-peluang-produsen-pupuk-indonesia-isi-ceruk-pasar-global,Premium Content - Not Scraped,insight
Ini Gambaran Kapasitas Retrosesi Pasar Global pada 2024-2025,2024-08-21T01:53:56.504Z,"Senin, 22 Juli 2024 / 16:23 WIB",Reporter: Yudho Winarto | Editor: Yudho Winarto,https:////keuangan.kontan.co.id/news/ini-gambaran-kapasitas-retrosesi-pasar-global-pada-2024-2025,"KONTAN.CO.ID - JAKARTA. Kapasitas retrosesi di pasar global pada 2024 dan 2025 diyakini akan kembali ke kondisi sebelum pandemi Covid-19 usai mengalami hardening market dalam beberapa tahun terakhir. Hal itu diungkapkan oleh Treaty Group Head PT Tugu Reasuransi Indonesia (Tugure) Magda Fadly dalam Sharing Session bertajuk Empowering Growth Through Partnership and Collaboration pada 18–21 Juli 2024 di Da Nang, Vietnam. Magda menjelaskan, hardening market yang berlangsung sejak 2019, hingga saat ini belum berakhir. Situasi ini menyebabkan kapasitas retrosesi susah dicari dan harga premi retrosesi meningkat. Baca Juga: Gelar Sharing Session, Tugure Kupas Dasar-Dasar Underwriting “Sampai sekarang belum berakhir. Pada 2022–2023 beruntung kalau dapat kapasitas 100% karena pada tahun tersebut harga kapasitas sangat terbatas,” jelasnya dalam keterangan pada Senin (22/7). Magda mengatakan, hardening market dipengaruhi oleh bencana katastropik berskala global atau global-scale catastrophic. Peristiwa bencana katastropik ini berdampak pada penetapan harga atau pricing premi retrosesi di Indonesia. “Hal ini merupakan domino effect karena harga market yang mahal. Pada tahun 2023–2024 kapitalnya membaik, tetapi sudah terjadi beberapa catastrophe global di kuartal I/2024, gempa di Jepang salah satunya,” jelasnya. Baca Juga: Masuki Usia ke-37, Tugure Optimistis Kian Sukses di Tahun 2024 Property & Engineering Group Head Tugure Aries Karyadi juga menambahkan, pasar retrosesi saat ini cenderung selektif dengan menimbang kenaikan retensi dan perbaikan ultimate net loss. “Apa yang akan terjadi di 2024/2025? Global Capital diprediksi akan kembali normal seperti sebelum Covid-19,” ujar Aries.     Cek Berita dan Artikel yang lain di Google News",keuangan
Wakil Perdana Menteri Rusia: Pasar Minyak Global akan Seimbang Mulai Semester II-2024,2024-08-21T01:53:56.747Z,"Senin, 15 Juli 2024 / 20:20 WIB",Sumber: Reuters | Editor: Herlina Kartika Dewi,https:////internasional.kontan.co.id/news/wakil-perdana-menteri-rusia-pasar-minyak-global-akan-seimbang-mulai-semester-ii-2024,"KONTAN.CO.ID - GROZNY. Wakil Perdana Menteri Rusia Alexander Novak mengatakan bahwa pasar minyak global akan seimbang pada paruh kedua tahun ini dan setelahnya, berkat kesepakatan OPEC+ mengenai pasokan produksi. Mengutip Reuters, Senin (15/7), OPEC+, yang merupakan kelompok Organisasi Negara-negara Pengekspor Minyak dan sekutunya seperti Rusia, telah menerapkan serangkaian pengurangan produksi sejak akhir tahun 2022 untuk mendukung pasar. Pada 2 Juni lalu, OPEC+ sepakat untuk memperpanjang pemotongan produksi minyak terbaru sebesar 2,2 juta barel per hari hingga akhir September dan secara bertahap menghapuskannya mulai bulan Oktober. Baca Juga: Harga Minyak Tertahan Kekhawatiran akan Penurunan Permintaan China Badan Informasi Energi (EIA) AS mengatakan pekan lalu bahwa permintaan minyak dunia akan kelebihan sekitar 750.000 barel per hari pada paruh kedua tahun 2024 karena lebih rendahnya produksi OPEC+. Laporan OPEC minggu lalu juga menunjukkan defisit pasokan minyak dalam beberapa bulan mendatang dan pada tahun 2025. Menanggapi pertanyaan tentang kondisi pasar minyak pada paruh kedua tahun ini sejak musim gugur, ketika OPEC+ akan mulai mengurangi sejumlah pengurangan produksinya, Novak mengatakan: ""Pasar akan selalu seimbang berkat tindakan kami.""    ",internasional
"Pasar Smartphone Global Tumbuh 6,5% pada Q2, Dipimpin Samsung dan Apple",2024-08-21T01:53:56.883Z,"Senin, 15 Juli 2024 / 18:17 WIB",Sumber: Reuters | Editor: Yudho Winarto,https:////internasional.kontan.co.id/news/pasar-smartphone-global-tumbuh-65-pada-q2-dipimpin-samsung-dan-apple,"KONTAN.CO.ID - Pengiriman smartphone secara global naik 6,5% pada kuartal kedua, didorong oleh Samsung Electronics dan Apple, menurut data awal dari IDC yang dirilis pada hari Senin (15/7). Namun, pemulihan permintaan belum sepenuhnya terjadi karena masih menghadapi tantangan di beberapa pasar. Nabila Popal, direktur riset dengan tim Worldwide Tracker IDC mengatakan bahwa ada ""banyak kegembiraan"" di pasar smartphone berkat harga jual rata-rata yang lebih tinggi dan buzz seputar smartphone gen AI. Baca Juga: Fitur Terbaik Samsung Galaxy Z Flip 6 yang Makin Canggih dan Keren Dia mengatakan, ""Smartphone gen AI diperkirakan akan merebut 19% pasar tahun ini."" Popal menjelaskan bahwa ""saat Apple dan Samsung terus mendorong pasar atas dan mendapatkan keuntungan paling banyak dari tren premiumisasi yang sedang berlangsung, banyak OEM China terkemuka meningkatkan pengiriman di segmen bawah dalam upaya untuk merebut pangsa volume di tengah permintaan yang lemah."" Dia menambahkan bahwa pangsa perangkat kelas menengah menghadapi tantangan sebagai akibatnya. Apple mengadakan konferensi pengembangnya bulan lalu, di mana mereka memamerkan fitur AI baru untuk iPhone yang didukung oleh ChatGPT dari OpenAI. Baca Juga: Generative AI Semakin Booming di Smartphone, AWS Siapkan Sistem Keamanan Cloud Samsung juga mengadakan acara Galaxy Unpacked minggu lalu, di mana mereka mengumumkan model baru untuk lipat dan flip Galaxy serta fitur AI baru. Menurut IDC, Samsung memegang posisi pertama dengan pangsa pengiriman 18,9% pada kuartal kedua, diikuti oleh Apple dengan pangsa 15,8% dan Xiaomi dengan 14,8%.",internasional
XL Axiata (EXCL) Memperkuat Ekspansi di Pasar Global,2024-08-21T01:53:57.096Z,"Sabtu, 13 Juli 2024 / 21:36 WIB",Reporter: Yuliana Hema | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/xl-axiata-excl-memperkuat-ekspansi-di-pasar-global,"KONTAN.CO.ID -  JAKARTA. PT XL Axiata Tbk (EXCL) bersama Axiata Enterprise Sdn Bhd menandatangani Sale and Purchase Agreement sehubungan dengan transaksi jual beli saham Axiata Global Services Pte Ltd. (AGS) pada 10 Juli 2024. Axiata Global Services merupakan perusahaan yang memiliki domisili di Singapura. Sekretaris Perusahaan XL Axiata, Ranty Astari Rachman, menjelaskan, EXCL membeli 100.000 saham atas 100% saham Axiata Global Services dengan nilai transaksi US$ 1. Baca Juga: Sah! XL Axiata (EXCL) Kuasai 100% Saham Axiata Global Services ""Transaksi ini akan memberikan dampak positif bagi EXCL karena memungkinkan kami untuk sepenuhnya memonetisasi aset yang dimiliki,"" jelasnya dalam keterbukaan informasi di Bursa Efek Indonesia (BEI), Jumat (12/7). EXCL dapat memanfaatkan kemampuannya bersama Grup XL Axiata untuk menggarap pasar internasional. ""Dengan begitu, EXCL dapat melakukan transaksi langsung dengan pelanggan global serta dapat menjadi penyedia layanan telekomunikasi internasional dengan tingkat kemampuan global,"" kata Ranty. Tak hanya itu, lanjut Ranty, XL Axiata juga akan mendapatkan kesempatan besar dalam menargetkan pasar telekomunikasi lintas batas negara. Di dalam negeri EXCL juga akan menambah kekuatan dalam persaingan di sektor telekomunikasi, dengan menggandeng PT Smartfren Telecom Tbk (FREN). Baca Juga: Simak Rekomendasi Saham Unggulan dan Prospek IHSG di Semester II-2024 Perusahaan hasil merger EXCL dan FREN diproyeksi menghasilkan entitas bernilai US$ 3,5 miliar, dengan sekitar 100 juta pelanggan. EXCL juga mengakuisisi pelanggan PT Link Net Tbk (LINK). Ini akan mendorong pelanggan fixed broadband hingga lebih dari 1 juta. Sehingga memperkuat posisi EXCL sebagai pemain fixed broadband terbesar kedua di industri domestik.     Cek Berita dan Artikel yang lain di Google News",investasi
"Pasar Global - Saham Memperpanjang Rekor, Pound Berhenti Saat Inggris Memilih",2024-08-21T01:53:57.536Z,"Kamis, 04 Juli 2024 / 21:18 WIB",Sumber: Reuters | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/pasar-global-saham-memperpanjang-rekor-pound-berhenti-saat-inggris-memilih,"KONTAN.CO.ID - Pasar saham global mencatat rekor tertinggi lagi pada hari Kamis (4/7). Setelah data Amerika Serikat (AS) mempersempit kemungkinan penurunan suku bunga The Fed pada bulan September. Sementara Eropa kembali memperhatikan politik saat para pemilih Inggris menuju ke tempat pemungutan suara dalam pemilihan nasional. Liburan 4 Juli di AS membuat perdagangan tipis, diperparah oleh investor yang menunggu untuk melihat seberapa besar mayoritas Partai Buruh ketika hasil exit poll dan hasil mulai keluar sekitar pukul 21.00 GMT. Pasar sudah siap untuk perubahan mengingat jajak pendapat opini selama berbulan-bulan menempatkan partai kiri-tengah pada jalur untuk kemenangan telak atas Konservatif, yang telah memegang kekuasaan selama 14 tahun melalui Brexit dan pandemi COVID-19. ""Setelah sangat negatif terhadap sterling untuk waktu yang lama, investor institusional sebenarnya memasuki pemilihan ini dengan cukup netral,"" kata Michael Metcalfe, head of macro strategy di State Street Global Markets. Baca Juga: Wall Street: S&P 500 dan Nasdaq Catat Rekor Penutupan Tertinggi, Dow Tergelincir Itu sebagian, katanya, karena risiko politik telah meningkat di negara-negara seperti Prancis, yang mengadakan putaran kedua pemilihan parlemen dalam tiga hari, dan di AS menjelang pemilihan Presiden pada bulan November. ""Inggris, anehnya, berakhir dengan posisi netral di tengah,"" kata Metcalfe. ""Juga, saya tidak berpikir pada titik mana pun hasilnya (pemilihan) diragukan."" Tempat pemungutan suara Inggris dibuka pada pukul 06.00 GMT dan pada waktu makan siang, kenaikan awal 0,6% FTSE 100 London diperpanjang menjadi hampir 1%. Sementara sterling merangkak naik menjadi US$1,2760 dan 84,6 pence per euro, membuatnya naik hampir 4% dan 2,2% terhadap mata uang masing-masing sejak April. Angin penarik tambahan untuk FTSE datang dari indeks global utama MSCI, yang mencatat rekor tertinggi terbaru setelah S&P 500 dan Nasdaq Wall Street melakukan hal yang sama menjelang perayaan 4 Juli. Di seberang Selat Inggris dari Inggris, jajak pendapat di Prancis menunjukkan Partai Nasional (RN) tidak akan memenangkan mayoritas kursi dalam putaran kedua pemilihan parlemen hari Minggu saat partai-partai arus utama bergerak untuk memblokir sayap kanan. Baca Juga: Banyak Tekanan untuk Mundur, Joe Biden Pastikan Akan Bertarung Sampai Akhir Hasil obligasi Prancis, yang bergerak terbalik terhadap harga dan merupakan proxy untuk biaya pinjaman pemerintah, masih sedikit meningkat meskipun negara tersebut menjual obligasi senilai 10,5 miliar euro ($11,3 miliar) ke pasar, meskipun ini adalah tanda yang disambut baik bahwa semuanya berjalan lancar. ""Penyebaran obligasi Prancis telah menyempit dan sentimen sedikit lebih positif,"" kata Jussi Hiljanen, head of rates strategy di pemberi pinjaman SEB. Parlemen yang tergantung tampaknya menjadi hasil yang paling mungkin dalam pemilihan Prancis, saat kelompok kiri dan sentris membuat kesepakatan untuk mencoba menjaga Partai Nasional Marine Le Pen dari kekuasaan. Hot Chip Saham mobil bergerak lagi saat Uni Eropa mengatakan berencana untuk memberlakukan tarif antara 17,4% dan 37,6% pada pembuat kendaraan listrik China seperti BYD, Geely, dan SAIC. Namun, ada jeda empat bulan di mana pembicaraan diharapkan berlanjut dengan Beijing, yang tidak mengejutkan mengancam akan membalas. Bulls masih bersemangat setelah pembuat chip Nvidia memulai perayaan 4 Juli Wall Street lebih awal, dengan menambahkan lagi 4,5% ke dalam apa yang sekarang merupakan lonjakan hampir 160% dalam sahamnya tahun ini. Baca Juga: Lembaga Antimonopoli Prancis Membidik Monopoli Nvidia Pasar Asia kemudian ditutup naik hampir 1% semalam untuk mencapai tertinggi sejak April 2022, saat Nikkei Jepang selesai dalam jarak dekat dengan puncak Maret dan indeks utama Taiwan juga mencatat rekor saat Taiwan Semiconductor Manufacturing Co (TSMC) melampaui T$1.000 untuk pertama kalinya. Ukuran aktivitas jasa ISM AS mengejutkan dengan meluncur ke level terendah sejak pertengahan 2020, dengan lapangan kerja yang lemah menjelang laporan payroll Juni yang akan dirilis pada hari Jumat. Analis memperingatkan seri tersebut bertentangan dengan kekuatan dalam survei PMI layanan, tetapi mencatat bahwa ukuran harga dalam kedua survei menunjukkan pelonggaran inflasi. Cek Berita dan Artikel yang lain di Google News",investasi
BSI Siap Fasilitasi UMKM Akses Pasar Global Melalui Business Matching,2024-08-21T01:53:57.574Z,"Rabu, 19 Juni 2024 / 18:01 WIB",Reporter: Selvi Mayasari | Editor: Putri Werdiningsih,https:////keuangan.kontan.co.id/news/bsi-siap-fasilitasi-umkm-akses-pasar-global-melalui-business-matching,"KONTAN.CO.ID-JAKARTA. PT Bank Syariah Indonesia Tbk (BSI)  mengaku siap memfasilitasi pelaku usaha mikro kecil dan menengah (UMKM) dalam negeri untuk mengakses pasar global melalui business matching dengan potential buyer dari negara-negara sahabat di acara BSI International Expo 2024. Secara total, sebanyak 37 buyers potensial dari 18 negara yang telah konfirmasi terlibat dalam business matching. BSI International Expo 2024 akan berlangsung selama 4 hari di Hall A & Hall B JCC, Jakarta. Pameran ini terbuka untuk umum mulai besok Kamis (20/6) pada pukul 16.00 WIB. SVP Marketing Communication BSI, Kemas Erwan Husainy, mengatakan melalui business matching BSI menghubungkan para pelaku UMKM dalam negeri untuk bertemu dan menjajaki kerja sama yang saling menguntungkan secara bisnis dengan para pembeli potensial dari luar negeri. Baca Juga: Wujudkan Komitmen Ekosistem Halal Indonesia, BSI Gelar International Expo 2024 “Tujuan business matching ini adalah mempermudah UMKM menemukan mitra bisnis mereka yang tepat sesuai kebutuhan mereka, meningkatkan peluang bisnis, memperluas jaringan, dan meningkatkan efisiensi serta visibilitas bisnis mereka. Dengan menghubungkan mitra yang cocok, business matching akan mendorong kolaborasi, inovasi, dan pertumbuhan bisnis secara keseluruhan,” kata Kemas dalam siaran pers, Rabu (19/6). BSI berharap kegiatan business matching di pameran BSI International Expo 2024 dapat membantu para pelaku UMKM nasional untuk bisa mengekspor produk ke pasar global. Dengan demikian, pelaku UMKM bisa naik kelas menjadi usaha yang lebih sustain, bersaing secara dan membangun jaringan bisnis yang luas. Adapun 18 negara yang memastikan ikut serta dalam business matching di BSI International Expo 2024 diantaranya Mesir, Inggris, Bangladesh & Nepal, Arab Saudi, Tunisia, UAE, Lithuania, Nigeria, Australia, Jepang, Malaysia, Azerbaijan, Vietnam, dan Filipina. Kemas juga mengatakan UMKM di Indonesia merupakan salah satu sektor yang menopang pertumbuhan ekonomi Indonesia. Berdasarkan data Kementerian Koperasi UKM, kontribusi UMKM terhadap PDB nasional mencapai 60,5%. Ini menunjukkan bahwa UMKM yang ada di Indonesia memiliki potensi tinggi untuk dikembangkan, sehingga dapat berkontribusi lebih besar terhadap perekonomian Indonesia. Baca Juga: BSI Targetkan Transaksi Capai Rp 1 Triliun Di BSI International Expo 2024 “Business matching ini merupakan upaya konkret BSI dalam mendukung UMKM Indonesia untuk memasuki pasar global dan membuka pintu bagi lebih banyak UMKM untuk bersaing secara global dan membangun jaringan bisnis yang luas,” kata Kemas. Terkait BSI International Expo 2024, BSI memproyeksikan pameran ekosistem keuangan syariah dan gaya hidup halal ini akan menarik sekitar 5.000 pengunjung per hari, dengan total 20.000 hingga 25.000 pengunjung selama empat hari acara. Dengan target transaksi yang diharapkan mencapai Rp1 triliun, BSI meyakini event ini dapat menjadi dorongan besar bagi pertumbuhan ekonomi halal di Indonesia, mempromosikan literasi dan inklusi ekonomi halal. Kemas menegaskan bahwa BSI International Expo 2024 memiliki tujuan jangka panjang untuk mendukung Indonesia menjadi pusat industri halal global. “Dengan dukungan luas dari berbagai pemangku kepentingan dan pelanggan, BSI yakin bahwa acara ini akan menjadi motor utama dalam mencapai visi tersebut, serta terus mendukung pertumbuhan UMKM dan memperkenalkan produk halal Indonesia ke pasar internasional. Expo ini diharapkan menjadi acara tahunan yang dinantikan, tidak hanya di dalam negeri tetapi juga oleh mitra bisnis dan pembeli di seluruh dunia,” tutup Kemas. Cek Berita dan Artikel yang lain di Google News",keuangan
POCO Pad Hadir di Pasar Global dengan Performa Ekstrem bagi Digital Mobile Lifestyler,2024-08-21T01:53:57.705Z,15 June 2024,Ignatia Maria Sri Sayekti,https:////pressrelease.kontan.co.id/news/poco-pad-hadir-di-pasar-global-dengan-performa-ekstrem-bagi-digital-mobile-lifestyler,"KONTAN.CO.ID - Belum lama ini, POCO telah merilis secara global lini terbaru pada segmen tablet, yaitu POCO Pad. Membawa ciri khas POCO, tablet pertama dari POCO ini kembali menghadirkan extreme performance dan extreme price, untuk anak muda yang aktif, memiliki mobilitas tinggi, yang membutuhkan perangkat terbaik dalam kegiatan sehari-hari seperti menikmati entertainment, dan produktivitas. Andi Renreng, Associate Director Marketing POCO Indonesia, mengungkapkan, “POCO melihat adanya peningkatan minat terhadap tablet, terutama di kalangan anak muda dan profesional yang membutuhkan perangkat performa ekstrem dengan layar yang lebih besar. Dan kehadiran POCO Pad, merupakan bukti dari komitmen POCO untuk tetap relevan dan mengikuti tren teknologi terkini. POCO Pad pas banget buat para digital mobile lifestyler yang membutuhkan perangkat dengan layar lebih besar dan fleksibilitas lebih tinggi untuk berbagai aktivitas, seperti menonton film, bermain game, bekerja, atau belajar”. Bung Andi melanjutkan, “Secara keseluruhan, POCO Pad adalah langkah berani POCO untuk memperluas portofolio produknya dan memenuhi kebutuhan pasar yang terus berkembang. Dengan berbagai kelebihan yang dimiliki, POCO Pad dapat memberikan pengalaman yang lebih lengkap dan terintegrasi bagi para penggunanya, baik untuk mengakses hiburan, maupun produktivitas.” Berikut ini beberapa kelebihan yang bikin POCO Pad layak diburu: Layar besar 12,1 inci dengan kombinasi quad speaker yang imersif Layar besar adalah salah satu daya tarik utama dari POCO Pad untuk  mendapatkan pengalaman visual yang memanjakan saat menikmati berbagai hiburan, maupun kegiatan produktivitas. Layar 12,1 inci yang tajam dan warna yang kaya, membuat gambar terlihat lebih hidup dan realistis, memudahkan saat membaca dokumen maupun saat browsing. Performa ngebut  berkat prosesor flagship Snapdragon 7s Gen 2 POCO Pad menjadi tablet pertama POCO yang mengusung prosesor flagship Snapdragon 7s Gen 2, yang diciptakan menggunakan proses fabrikasi 4nm. Kombinasi ini mampu meningkatkan kinerja sekaligus mereduksi konsumsi daya. Kerja-kerja multimedia maupun gaming sanggup ditangani secara simultan dan effortless, dengan stabilitas nonstop. Disamping performa yang responsif dan stabil, POCO Pad juga memiliki memori besar yang dapat ditingkatkan hingga 1.5TB dengan RAM 8GB. Sistem Operasi Xiaomi HyperOS Untuk bisa mengoptimalkan user experience pengguna, POCO Pad juga telah didukung Xiaomi HyperOS. Sistem operasi yang satu ini tentu sudah tidak asing, karena dikenal mampu menghasilkan pengalaman penggunaan yang smooth dengan berbagai fitur produktivitas yang menarik. Xiaomi HyperOS yang dioptimalkan untuk tablet semakin meningkatkan pengalaman pengguna POCO Pad. Perpindahan aplikasi dapat berjalan dengan mulus, membuka banyak tab di browser juga bebas lag, bahkan saat menjalankan game dengan grafis tinggi, semua bisa tanpa hambatan. Wah, POCO Pad keren banget buat jadi tablet andalan dengan performa yang ekstrem! Tentang POCO POCO adalah brand independen yang lahir dari Xiaomi Corporation. Saat ini, POCO telah memasuki 98 pasar global. Filosofi POCO – ""Everything You Need, Nothing You Don't"" – mendorong POCO untuk melakukan riset dan pengembangan sepenuhnya berdasarkan kebutuhan dan feedback dari para POCO fans. Komitmen POCO untuk menghadirkan teknologi terbaru yang benar-benar dibutuhkan oleh para POCO fans menjadi inti dari inovasi POCO untuk semakin cepat berevolusi dan mendobrak industri smartphone. Baca Juga: POCO Menghadirkan Segmen Pasar Flagship Baru melalui Seri F Generasi Terbaru Cek Berita dan Artikel yang lain di Google News",pressrelease
"Market Global: Pasar Global: Saham AS Sentuh Rekor Tertinggi, Dolar AS Melemah",2024-08-21T01:53:58.119Z,"Kamis, 13 Juni 2024 / 07:47 WIB",Sumber: Reuters | Editor: Hasbi Maulana,https:////finansial.kontan.co.id/news/market-global-pasar-global-saham-as-sentuh-rekor-tertinggi-dolar-as-melemah,"KONTAN.CO.ID - Pasar Saham AS melonjak ke level tertinggi baru untuk ketiga kalinya berturut-turut pada hari Rabu dan imbal hasil Treasury AS mengurangi penurunan sebelumnya. Investor tengah menimbang laporan inflasi yang menyenangkan pasar dengan ekspektasi penurunan suku bunga yang lebih rendah. Dolar AS melemah setelah Federal Reserve AS mengakhiri pertemuan kebijakan dua hari mereka dengan mempertahankan suku bunga tidak berubah, dan merilis pernyataan kebijakan serta Ringkasan Proyeksi Ekonomi (SEP). Indeks S&P 500 dan Nasdaq berakhir tajam lebih tinggi, sementara Dow Jones yang berisi saham-saham blue-chip sedikit negatif menjelang akhir sesi. Baca Juga: Bursa Saham AS: S&P 500 dan Nasdaq Cetak Rekor 3 Kali Beruntun! SEP yang ternyata lebih condong ke arah pengetatan kebijakan moneter (hawkish) tampaknya bertentangan dengan laporan CPI yang dirilis Departemen Tenaga Kerja AS sebelumnya pada hari itu, yang menunjukkan harga inti tumbuh pada kecepatan tahunan paling lambat dalam lebih dari tiga tahun. ""Agak mengecewakan melihat sikap hawkish yang terus berlanjut ini, terutama pada hari yang sama di mana Anda mendapatkan salah satu laporan inflasi terlemah mungkin dalam beberapa tahun,"" kata Ross Mayfield, analis strategi investasi di Baird di Louisville, Kentucky. ""Pasar akan sedikit kesulitan dengan sikap hawkish The Fed mengingat semua data tidak hanya pagi ini, tetapi juga minggu lalu."" Dalam konferensi persnya setelah keputusan tersebut, Ketua The Fed Jerome Powell mengakui bahwa inflasi telah berkurang secara substansial tetapi tetap terlalu tinggi dan ekspektasi penurunan suku bunga telah tertunda karena kemajuan yang lebih lambat dari yang diharapkan dalam menurunkan pertumbuhan harga ke target 2% bank sentral. Baca Juga: IHSG Turun, 10 dari 11 Indeks Sektoral Terseret Longsor (12 Juni 2024) ""Saya pikir takeaway utama adalah bahwa pasar mungkin mengharapkan The Fed untuk menggeser dot plot dari tiga pemangkasan menjadi dua pemangkasan,"" tambah Mayfield. ""Sebaliknya, itu digeser dari tiga pemangkasan menjadi satu pemangkasan, yang secara keseluruhan merupakan kejutan hawkish."" Meskipun demikian, pasar keuangan memperkirakan kemungkinan sebesar 61,5% untuk penurunan suku bunga 25 basis poin pada bulan September, naik dari 46,8% pada hari Selasa, menurut alat FedWatch CME. Indeks utama AS untuk saham adalah:  Baca Juga: Periksa Limit Transfer BCA Sesuai Jenis Transaksi, di ATM maupun Mobile Banking Pasar saham Eropa ditutup sharply higher setelah laporan CPI dan sebelum keputusan suku bunga The Fed. Indeks STOXX 600 pan-Eropa (.STOXX) naik 1,08% dan indeks MSCI untuk saham di seluruh dunia (.MIWD00000PUS) naik 0,86%. Imbal hasil Treasury AS turun setelah data, tetapi sedikit pulih setelah rilis SEP. Treasury AS 10-tahun (.US10YT=RR) terakhir naik 19/32 dalam harga menjadi yield 4,3277%, dari 4,402% pada Selasa sore. Dolar AS mengurangi kerugiannya terhadap sekeranjang mata uang dunia setelah bank sentral tersebut memangkas ekspektasi penurunan suku bunga 2024. Indeks dolar (.DXY) turun 0,46%, dengan euro (EUR=) naik 0,61% menjadi $1,0804. Harga minyak menetap lebih tinggi, didukung oleh ketegangan yang memanas di Timur Tengah, dan oleh perkiraan bahwa persediaan global akan turun pada paruh kedua tahun ini. Minyak mentah AS (CLcv1) naik 0,77% menjadi menetap di $78,50 per barel, sementara Brent (LCOcv1) menetap di $82,60, naik 0,83% hari ini. Baca Juga: Grafik Harga Emas 24 Karat Antam Terbaru (12 Juni 2024) Emas naik tetapi kehilangan sebagian kilaunya setelah perkiraan ekonomi terbaru The Fed. Emas spot (XAU=) naik 0,2% menjadi $2.320,76 per ounce. Cek Berita dan Artikel yang lain di Google News",finansial
