Title,Scrapping Date,Article Date,Author,Link,Content,Category
Manulife Aset Sebut Perekonomian Global Solid di Tengah Volatilitas Pasar Obligasi,2024-08-21T01:59:03.910Z,"Minggu, 26 Mei 2024 / 15:25 WIB",Reporter: Akmalal Hamdhi | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/manulife-aset-sebut-perekonomian-global-solid-di-tengah-volatilitas-pasar-obligasi,"KONTAN.CO.ID – JAKARTA. PT Manulife Aset Manajemen Indonesia (MAMI) melihat kondisi perekonomian global masih terjaga di tengah koreksi pasar saham ataupun surat utang. Fundamental kuat ini menjadi optimisme bagi peluang pelonggaran kebijakan moneter ke depan. Portfolio Manager Fixed Income MAMI Laras Febriany mencermati, pemicu utama pelemahan pasar obligasi di bulan April adalah data inflasi Amerika Serikat (AS) yang lebih tinggi dari ekspektasi. Di mana, inflasi umum AS cenderung meningkat di periode Januari hingga Maret 2024. Imbasnya, The Fed mengindikasikan masih butuh waktu lebih lama untuk lebih yakin lagi bahwa inflasi domestiknya sudah benar-benar dalam tren penurunan, sebelum melakukan pemangkasan. “Kondisi ini meningkatkan volatilitas di pasar saham, obligasi, dan mata uang secara global, Asia, hingga Indonesia, yang kemudian mendorong pasar untuk menyesuaikan kembali ekspektasinya terkait suku bunga,” ungkap Laras dalam siaran pers, Minggu (26/5). Baca Juga: Manulife Aset: Fundamental Perekonomian Indonesia Masih Terjaga Namun kabar baik terakhir, Ketua The Fed mengemukakan bahwa walaupun suku bunga belum akan turun secepat ekspektasi pasar sebelumnya, potensi kenaikan lebih lanjut pun sangat kecil. Sehingga, langkah berikutnya ke depan adalah pemotongan suku bunga. Laras bilang, kemungkinan pemotongan suku bunga itu dapat dipahami karena sebenarnya mayoritas komponen inflasi AS telah mereda, kecuali komponen shelter dan transportasi yang masih tinggi. Di tengah ekspektasi suku bunga acuan yang dinamis, kondisi perekonomian global juga diperkirakan masih solid. International Monetary Fund (IMF) memproyeksikan ekonomi global tahun ini tumbuh 3,2%. Penopang utama pertumbuhan ekonomi global adalah kawasan negara berkembang yang diproyeksikan tumbuh 4,2%, disusul oleh kawasan negara maju yang tumbuh 1,7%. Baca Juga: Manulife Aset Tetap Optimistis di Pasar Saham, Jagokan Sektor Teknologi dan EBT Menariknya, semua angka-angka ini lebih tinggi dari proyeksi sebelumnya yang dirilis bulan Januari lalu, sehingga kekhawatiran resesi sepertinya sudah tidak menjadi skenario di pasar. Menurut Laras, optimisme pertumbuhan ini didukung oleh tingkat permintaan yang kuat, tabungan era pandemi yang masih lebih dari cukup, dan juga dampak positif stimulus pemerintah.",investasi
Pasar Obligasi Mulai Unjuk Gigi Meski Masih Dibayangi Fluktuasi,2024-08-21T01:59:04.256Z,,Premium User Only,https:////insight.kontan.co.id/news/pasar-obligasi-mulai-unjuk-gigi-meski-masih-dibayangi-fluktuasi,Premium Content - Not Scraped,insight
"BOJ Pangkas Pembelian Obligasi Pemerintah, Beri Sinyal Hawkish ke Pasar",2024-08-21T01:59:04.587Z,"Senin, 13 Mei 2024 / 10:09 WIB",Sumber: Reuters | Editor: Herlina Kartika Dewi,https:////internasional.kontan.co.id/news/boj-pangkas-pembelian-obligasi-pemerintah-beri-sinyal-hawkish-ke-pasar,"KONTAN.CO.ID - TOKYO. Bank of Japan mengirimkan sinyal hawkish ke pasar dengan melakukan pemangkasan mendadak jumlah obligasi pemerintah Jepang (JGB) yang ditawarkan untuk dibeli dalam operasi pembelian reguler. Mengutip Reuters, Senin (13/5), bank sentral mengurangi jumlah penawaran obligasi dengan sisa jatuh tempo 5 tahun-10 tahun menjadi 425 miliar yen (US$ 2,73 miliar) dari 475 miliar yen pada operasi sebelumnya pada 24 April. BOJ melakukan operasi ini kira-kira setiap minggu. Ini adalah pertama kalinya pihaknya memotong tawaran pembelian sejak Desember. Berkurangnya tawaran pembelian obligasi sejalan dengan sikap BOJ yang jelas-jelas hawkish dalam beberapa hari terakhir, dimulai dengan rilis risalah pertemuan kebijakan terakhir pada bulan April pada hari Kamis. Baca Juga: Bank of Japan Bersikap Hawkish di April, Menilai Perlu Kenaikan Suku Bunga Lanjutan Beberapa anggota dewan melihat kemungkinan kenaikan suku bunga lebih cepat dari perkiraan pasar, terutama jika yen yang secara historis lemah memicu inflasi. Gubernur BOJ Kazuo Ueda mengisyaratkan kemungkinan kenaikan suku bunga beberapa kali ke depan, dengan mengatakan kepada parlemen pada hari Kamis bahwa jika volatilitas mata uang mempengaruhi, atau risiko mempengaruhi tren inflasi, BOJ harus merespons dengan kebijakan moneter. Imbal hasil JGB bertenor 10 tahun naik 3 basis poin (bps) menjadi 0,935%, tertinggi sejak 1 November. Imbal hasil JGB bertenor dua tahun bertambah 0,5 bp menjadi 0,32%, level yang belum pernah terlihat sejak Juli 2009. Yen pada awalnya menguat sebanyak 0,26% menjadi 155,50 per dolar, namun dengan cepat mundur ke 155,80, hanya sedikit lebih kuat dibandingkan sebelum pengumuman tersebut. Yen anjlok ke level terendah dalam 34 tahun di 160,245 per dolar pada akhir bulan lalu, sebelum rebound tajam yang diduga oleh para pedagang dan analis sebagai beberapa putaran intervensi pembelian yen oleh otoritas Jepang. BOJ menaikkan suku bunga pada bulan Maret untuk pertama kalinya sejak tahun 2007, dan awalnya menyarankan pendekatan hati-hati untuk melakukan pengetatan lebih lanjut. ""Targetnya adalah yen,"" kata Shoki Omori, kepala strategi Jepang di Mizuho Securities, mengenai pemotongan jumlah pembelian obligasi yang mengejutkan. Namun, ia mencatat bahwa dampaknya terhadap pasar telah teredam oleh perubahan sikap Ueda baru-baru ini, karena masyarakat sudah berhati-hati terhadap risiko pengurangan pembelian. Baca Juga: Pasar Saham Global Melonjak Pasca Sinyal Dovish Fed, Dolar AS Melemah Terhadap Yen Pengurangan awal ini bertujuan untuk mendorong pasar agar melakukan pengurangan tambahan, mungkin secepatnya pada bulan ini, kata Omori. Tawaran pembelian sebesar 425 miliar yen masih berada dalam kisaran 400-550 miliar yen yang diumumkan BOJ sebelumnya. Jumlah penawaran untuk JGB dengan jangka waktu 1-3 dan 10-25 tahun tidak berubah. Operasi pembelian obligasi reguler berikutnya terjadi pada hari Jumat. ($1 = 155,6200 yen)",internasional
"Pasar Menanti Petunjuk Kebijakan The Fed, Yield Obligasi Zona Eropa Turun",2024-08-21T01:59:04.926Z,"Senin, 29 April 2024 / 17:04 WIB",Reporter: Tendi Mahadi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/pasar-menanti-petunjuk-kebijakan-the-fed-yield-obligasi-zona-eropa-turun,"KONTAN.CO.ID - BERLIN. Imbal hasil obligasi di Eropa turun pada hari Senin setelah data inflasi dari Spanyol dan Jerman cukup memenuhi ekspektasi di pasar yang telah berhati-hati menjelang pertemuan kebijakan Federal Reserve. Sejak pertengahan April, pasar telah mengurangi spekulasi penurunan suku bunga Bank Sentral Eropa didukung oleh data ekonomi yang solid dari AS dan kini menunggu petunjuk lebih lanjut mengenai jalur kebijakan Federal Reserve. Pasar obligasi kawasan euro telah melacak pergerakan Treasury AS. Kesenjangan imbal hasil antara Bund dan Treasury bertenor 10 tahun melebar 2 bps menjadi 209 bps. Angka ini mencapai 220,92 pada pertengahan April, yang merupakan level tertinggi sejak akhir 2019. ""Pasar kemungkinan akan berada dalam ketidakpastian menjelang pertemuan Federal Reserve pada hari Rabu,"" kata Paul Donovan, kepala ekonom di UBS Global Wealth Management. Baca Juga: Rem Rilis Global Bond Saat Pasar Bergejolak “Dalam beberapa hal, inflasi AS dapat dianggap sudah berada dalam kisaran target. Dengan adanya disinflasi pada harga-harga yang didorong oleh pasar, tampak jelas bahwa kebijakan Fed telah berjalan seperti seharusnya,” tambahnya. Imbal hasil obligasi pemerintah Jerman bertenor 10 tahun, yang menjadi acuan di Eropa, turun 5,5 bps menjadi 2,52% setelah menyentuh 2,647% pada hari Kamis yang merupakan level tertinggi sejak akhir November. Data ekonomi Jerman menunjukkan bahwa inflasi negara tersebut dapat sedikit meningkat pada bulan ini, sehingga menghentikan tren penurunan yang sebelumnya terjadi. Ekonom yang disurvei oleh Reuters memperkirakan tingkat inflasi Jerman yang harmonis pada bulan April sebesar 2,3%, tidak berubah dari bulan Maret. Sementara itu, angka inflasi di Spanyol menunjukkan kenaikan sebesar 3,4%, sedikit di atas perkiraan para analis yang disurvei oleh Reuters sebesar 3,3%. Cek Berita dan Artikel yang lain di Google News",investasi
"Suku Bunga Naik, Bagaimana Dampaknya Bagi Pasar Obligasi?",2024-08-21T01:59:05.455Z,"Jumat, 26 April 2024 / 13:49 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/suku-bunga-naik-bagaimana-dampaknya-bagi-pasar-obligasi,"KONTAN.CO.ID - JAKARTA. Asing diperkirakan akan kembali masuk ke pasar obligasi Indonesia. Ini sejalan dengan upaya Bank Indonesia (BI) yang meningkatkan BI-Rate sebesar 25bps menjadi 6,25%. Analis Fixed Income Sucorinvest Asset Management Alvaro Ihsan mengatakan, dalam jangka pendek, efek kenaikan suku bunga BI akan mengerek yield SBN Indonesia. Sehingga dampaknya cenderung negatif. Meski begitu, Alvaro menilai kenaikan suku bunga oleh BI merupakan langkah yang ditujukan untuk menjaga nilai rupiah di tengah kuatnya dolar Amerika Serikat (AS). ""Dalam jangka menengah, pasar obligasi Indonesia berpotensi kembali menguat seiring dengan mata uang rupiah yang mulai terkendali,"" ujarnya kepada Kontan.co.id, Kamis (25/4). Baca Juga: BI Tingkatkan Suku Bunga, Begini Investasi di Pasar Obligasi Hal itu dinilai akan kembali memberikan dorongan bagi investor asing untuk kembali memasuki pasar obligasi Indonesia. ""Kuncinya, investor asing akan melihat rupiah yang kembali stabil serta langkah pengendalian moneter/fiskal sebelum kembali memasuki pasar obligasi Indonesia karena investor asing memiliki eksposur currency risk,"" sambungnya. Terlebih, kata Alvaro, kenaikan BI-rate mendorong pelebaran spread antara US Treasury dengan Surat berharga Negara (SBN). Dibandingkan dengan US Treasury tenor 2 tahun, SBN 2 tahun memiliki kenaikan spread hingga mencapai 200bps dari sebelumnya sekitar 150-180bps. Untuk SBN tenor 10 tahun juga mengalami kenaikan spread terhadap US treasury hingga di angka 240bps. ""Sehingga akan meningkatkan daya saing dari pasar obligasi Indonesia,"" imbuhnya. Cek Berita dan Artikel yang lain di Google News",investasi
"BI Rate Naik, Ada Peluang Asing Kembali ke Pasar Obligasi",2024-08-21T01:59:05.818Z,,Premium User Only,https:////insight.kontan.co.id/news/bi-rate-naik-ada-peluang-asing-kembali-ke-pasar-obligasi,Premium Content - Not Scraped,insight
"BI Kerek Suku Bunga, Begini Efeknya ke Pasar Obligasi",2024-08-21T01:59:06.385Z,"Kamis, 25 April 2024 / 20:24 WIB",Reporter: Sugeng Adji Soenarso | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/bi-kerek-suku-bunga-begini-efeknya-ke-pasar-obligasi,"KONTAN.CO.ID - JAKARTA. Asing diperkirakan akan kembali masuk ke pasar obligasi Indonesia. Ini sejalan dengan upaya Bank Indonesia (BI) yang meningkatkan BI-Rate sebesar 25bps menjadi 6,25%. Analis Fixed Income Sucorinvest Asset Management Alvaro Ihsan mengatakan, dalam jangka pendek, efek kenaikan suku bunga BI akan mengerek yield SBN Indonesia. Sehingga dampaknya cenderung negatif. Meski begitu, Alvaro menilai kenaikan suku bunga oleh BI merupakan langkah yang ditujukan untuk menjaga nilai rupiah di tengah kuatnya dolar Amerika Serikat (AS). ""Dalam jangka menengah, pasar obligasi Indonesia berpotensi kembali menguat seiring dengan mata uang rupiah yang mulai terkendali,"" ujarnya kepada Kontan.co.id, Kamis (25/4). Baca Juga: BI Tingkatkan Suku Bunga, Begini Investasi di Pasar Obligasi Hal itu dinilai akan kembali memberikan dorongan bagi investor asing untuk kembali memasuki pasar obligasi Indonesia. ""Kuncinya, investor asing akan melihat rupiah yang kembali stabil serta langkah pengendalian moneter/fiskal sebelum kembali memasuki pasar obligasi Indonesia karena investor asing memiliki eksposur currency risk,"" sambungnya. Terlebih, kata Alvaro, kenaikan BI-rate mendorong pelebaran spread antara US Treasury dengan Surat berharga Negara (SBN). Dibandingkan dengan US Treasury tenor 2 tahun, SBN 2 tahun memiliki kenaikan spread hingga mencapai 200bps dari sebelumnya sekitar 150-180bps. Untuk SBN tenor 10 tahun juga mengalami kenaikan spread terhadap US treasury hingga di angka 240bps. ""Sehingga akan meningkatkan daya saing dari pasar obligasi Indonesia,"" imbuhnya. Cek Berita dan Artikel yang lain di Google News",investasi
"BI Tingkatkan Suku Bunga, Begini Investasi di Pasar Obligasi",2024-08-21T01:59:06.784Z,"Kamis, 25 April 2024 / 19:59 WIB",Reporter: Sugeng Adji Soenarso | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/bi-tingkatkan-suku-bunga-begini-investasi-di-pasar-obligasi,"KONTAN.CO.ID - JAKARTA. Bank Indonesia (BI) memutuskan meningkatkan suku bunga sebesar 25bps menjadi 6,25% pada Rabu (24/6). Sejumlah investor pun mulai melirik ulang strategi investasi di pasar keuangan dalam negeri. Head of Business Development Division Henan Putihrai Asset Management (HPAM) Reza Fahmi mengatakan, kenaikan yield akan membuat penerbitan obligasi baru menjadi sangat menarik. Sebab akan menawarkan yield yang tinggi. Di sisi lain, memang kenaikan suku bunga ini akan membuat obligasi yang sudah ada kurang menarik. Sebab harganya di pasar sekunder akan turun. ""Untuk itu, investor bisa 'keep' terlebih dahulu menunggu stabilitas di pasar,"" ujarnya kepada Kontan.co.id, Kamis (25/4). Senior Economist KB Valbury Sekuritas Fikri C. Permana menambahkan, kenaikan suku bunga oleh BI berpotensi mendorong daya saing pasar obligasi Indonesia. Walaupun memang, untuk jangka pendek kenaikan BI-Rate akan berdampak negatif lantaran akan meningkatkan yield. Baca Juga: Kenaikan Suku Bunga Diprediksi Dapat Tarik Asing Kembali Masuk Ke Pasar Obligasi ""Saat ini yield naik 12,3bps,"" kata dia. Meski begitu, kebijakan BI lebih kepada mempertahankan stabilitas rupiah. Dengan demikian, untuk jangka menengah akan meningkatkan daya saing pasar obligasi Indonesia, khususnya aset portofolio dalam bentuk dolar Amerika Serikat (AS). Cek Berita dan Artikel yang lain di Google News",investasi
Kenaikan Suku Bunga Diprediksi Dapat Tarik Asing Kembali Masuk Ke Pasar Obligasi,2024-08-21T01:59:06.997Z,"Kamis, 25 April 2024 / 19:00 WIB",Reporter: Sugeng Adji Soenarso | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/kenaikan-suku-bunga-diprediksi-dapat-tarik-asing-kembali-masuk-ke-pasar-obligasi,"KONTAN.CO.ID - JAKARTA. Bank Indoensia (BI) meningkatkan BI-Rate sebesar 25bps menjadi 6,25%. Analis nilai kenaikan tersebut dapat memicu asing masuk kembali ke pasar obligasi dalam negeri. Chief Economist Pefindo Suhindarto mengatakan kenaikan suku bunga akan mendukung pasar dan lebih meringankan volatilitas dengan mengurangi laju arus keluar dana asing dari pasar modal. Meskipun demikian, dari sisi pricing, kenaikan suku bunga akan mendorong kenaikan yield. ""Namun demikian, yield yang lebih tinggi tersebut diperlukan untuk menjaga stabilitas dengan menahan kemungkinan berlanjutnya arus keluar ketika sentimen eksternal kembali memburuk,"" ujarnya kepada Kontan.co.id, Kamis (25/4). Setelah libur Lebaran, Selasa (15/4) hingga Rabu (24/4) asing telah melepas kepemilikan sebesar Rp 13,35 triliun di pasar surat utang pemerintah. Baca Juga: Cermati Reksadana Pilihan BRI Manajemen Investasi Saat Ekonomi Global Tertekan Menurut Darto, yield yang lebih tinggi membuka ruang bagi investor asing untuk masuk kembali. Secara fundamental, ia melihat Indonesia masih solid yang tercermin dari dipertahankannya peringkat sovereign Indonesia dengan outlook stabil oleh berbagai Lembaga pemeringkat internasional. Moody's kembali mempertahankan Sovereign Credit Rating Republik Indonesia pada peringkat Baa2 (satu tingkat di atas investment grade) dengan outlook stabil. Moody’s sendiri telah melihat bahwa ketahanan ekonomi Indonesia di tengah gejolak ekonomi global diperkirakan akan tetap solid. Kredibilitas kebijakan moneter dan fiskal yang ditempuh bank sentral dan pemerintah juga diyakini mendukung pencapaian tersebut. ""Sehingga, dari sudut pandang saya, investor asing keluar sebenarnya karena lebih memanfaatkan sentimen bukan karena perubahan pada sisi fundamental,"" sambungnya. Dipaparkan, keluarnya asing karena mengambil momen surplus Februari 2024 yang tipis, hawkish the Fed, tensi geopolitik memanas, dan inflasi domestik yang naik di bulan Maret. Situasi ini mirip dengan yang terjadi di Oktober 2023. Baca Juga: SMF Gandeng BRI Danareksa Sekuritas Hadirkan Produk EBA Ritel di Aplikasi BRIGHTS Suku bunga yang lebih tinggi, disebutnya menjaga spread suku bunga domestik dengan pasar AS menjadi lebih lebar daripada sebelumnya. Spread tersebut diproyeksikan akan menjadi faktor penarik bagi investor asing dan kemungkinan akan menarik mereka untuk masuk kembali sambil menunggu pasar cukup terdiskon. Selain itu, spread yang lebih lebar juga mendukung untuk menahan arus keluar lebih lanjut. Terakhir, suku bunga lebih tinggi memberi lebih banyak ruang untuk mendukung rupiah yang lebih kuat, dan kemudian berdampak pada menurunnya risiko translasi. Di bulan April 2024, yield curve membentuk pola bearish flattening. Tenor pendek naik lebih tajam daripada yield tenor yang lebih panjang. Pasar mengkhawatirkan lebih banyak risiko dalam jangka pendek. Karenanya, pasar mengantisipasi pengetatan moneter lebih lanjut (kenaikan suku bunga) di tengah sikap hawkish the Fed, kekakuan tingkat inflasi untuk turun, dan memburuknya tensi geopolitik. Selain itu juga risiko kenaikan harga minyak, serta volatiltas rupiah di tengah surplus dagang yang sempit. ""Peningkatan risiko tersebut terkonfirmasi dari tekanan rupiah baru-baru ini, yang mana surplus dagang yang sempit membuat rupiah rentan terhadap arus keluar modal di tengah spread suku bunga yang sempit antara pasar domestik dengan pasar AS,"" paparnya. Nah, kenaikan suku bunga mengerek yield surat utang pemerintah, baik tenor pendek maupun panjang. Dicontohkan, yield 2 tahun naik 59bps dari 6,45% paska lebaran menjadi 7,02%. Sementara itu, yield 10 tahun naik 41 bps dari 6,65% menjadi 7,06%. Kenaikan yield baru-baru ini telah meningkatkan spreadnya terhadap pasar AS. Untuk tenor 2 tahun, spreadnya melebar dari 151 bps menjadi 208bps. Sementara itu, spread tenor 10 tahun melebar dari 205bps menjadi 242bps untuk tanggal perbandingan tersebut. ""Spread yang lebar seharusnya membuat pasar lebih menarik bagi investor asing, berharap mereka akan masuk kembali ke depan,"" imbuh Darto. Cek Berita dan Artikel yang lain di Google News",investasi
Kepemilikan Asing di Pasar Obligasi China Kian Gemuk,2024-08-21T01:59:07.286Z,"Kamis, 18 April 2024 / 16:07 WIB",Sumber: Reuters | Editor: Tendi Mahadi,https:////internasional.kontan.co.id/news/kepemilikan-asing-di-pasar-obligasi-china-kian-gemuk,"KONTAN.CO.ID - SHANGHAI. Investor asing meningkatkan kepemilikan mereka pada obligasi dalam negeri China selama tujuh bulan berturut-turut pada bulan Maret meski lebih lambat dibandingkan bulan-bulan sebelumnya. Data bank sentral China mencatat lembaga-lembaga asing memiliki obligasi senilai 4,0 triliun yuan atau setara US$ 552,74 miliar yang diperdagangkan di pasar antar bank China pada akhir Maret, naik dari 3,95 triliun yuan pada bulan sebelumnya. Arus masuk yang sebesar 50 miliar yuan pada bulan Maret tercatat lebih kecil dibandingkan dengan empat bulan sebelumnya, dan juga disertai dengan penurunan kepemilikan obligasi pemerintah. Baca Juga: Kepulauan Solomon Menunggu Hasil Pemungutan Suara Pemilu yang Diawasi China dan AS Obligasi pemerintah China mengalami rekor reli yang memecahkan rekor sejak awal tahun ini, dengan imbal hasil obligasi jangka panjang mencapai rekor terendah. Sementara itu, kesenjangan imbal hasil (yield gap) yang semakin melebar antara AS dan China juga menambah tekanan pada arus masuk obligasi dan yuan China. Perbedaan imbal hasil antara obligasi pemerintah AS dan China bertenor 10 tahun melebar menjadi 238 basis poin pada minggu ini, alias jadi yang terbesar dalam hampir 22 tahun.",internasional
