Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Keuntungan di Pasar Sekunder Terbatas, ORI021 Lebih Baik Dipegang Sampai Jatuh Tempo",2024-08-21T01:57:27.052Z,"Selasa, 01 Maret 2022 / 11:12 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/keuntungan-di-pasar-sekunder-terbatas-ori021-lebih-baik-dipegang-sampai-jatuh-tempo,"KONTAN.CO.ID - JAKARTA. Instrumen Obligasi Ritel Indonesia seri ORI021 tercatat hanya memiliki holding period satu kali. Artinya, pada 15 April 2022 mendatang, ORI021 sudah dapat dijual di pasar sekunder. Dengan rencana The Fed yang menaikkan suku bunga acuan pada Maret ini, pergerakan harga obligasi diramal akan cukup fluktuatif. Belum lagi, adanya pertimbangan apakah Bank Indonesia (BI) memutuskan untuk ikut segera menaikkan suku bunga acuan atau tidak. Lantas seperti apa potensi menjual ORI021 di pasar sekunder? Head of Fixed Income Trimegah Asset Management Darma Yudha meyakini bahwa The Fed akan menaikkan suku bunga acuan mengingat inflasi Amerika Serikat (AS) yang sudah tinggi. Kendati begitu, ia menyangsikan BI akan mengikuti jejak The Fed. Baca Juga: Melihat Potensi Menjual ORI021 di Pasar Sekunder Menurut dia, saat ini angka inflasi Indonesia masih berada dalam rentang wajar dan belum ada tanda-tanda naik signifikan ke depannya. Selain itu, nilai tukar rupiah juga cenderung stabil. Ditambah lagi, pertumbuhan ekonomi Indonesia secara umum belum kembali ke level sebelum pandemi. “Jadi BI belum akan naikkan suku bunga acuan walaupun The Fed memutuskan menaikkan suku bunga. Kenaikan (suku bunga) mungkin baru akan terjadi di paruh kedua nanti,” kata Yudha kepada Kontan.co.id. Dengan alasan tersebut, Yudha meyakini menjual ORI021 di pasar sekunder cenderung kurang menguntungkan karena insentif upside yang terbatas. Apalagi, pergerakan harga ORI di pasar sekunder secara historis memang cenderung tidak signifikan. Baca Juga: Kupon SR016 Lebih Tinggi, Minat Investor Berpotensi Meningkat Ditambah lagi, dia melihat, besarnya jumlah pembelian ORI021 turut membuat pergerakan harganya di pasar sekunder semakin terbatas. Sebagai informasi, ORI021 berhasil terjual hingga Rp 25,07 triliun. Menurut Yudha, suplai ORI021 tergolong besar, sehingga membuat kenaikan harga berpotensi tidak seberapa. “Apalagi, secara karakteristik, investor obligasi ritel itu memang hold to maturity (dipegang sampai jatuh tempo). Lagipula, kalau dijual, investor juga belum tau mau menempatkan dana tersebut ke instrumen apa mengingat deposito bunganya juga masih rendah,” tutup Yudha. Oleh karena itu, Yudha meyakini, tidak akan banyak investor yang melakukan penjualan ORI021 di pasar sekunder. Terlebih menurutnya, jauh lebih menguntungkan untuk memegang ORI021 hingga jatuh tempo, alih-alih menjualnya di pasar sekunder. Cek Berita dan Artikel yang lain di Google News",investasi
Melihat Potensi Menjual ORI021 di Pasar Sekunder,2024-08-21T01:57:27.280Z,"Selasa, 01 Maret 2022 / 11:04 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/melihat-potensi-menjual-ori021-di-pasar-sekunder,"KONTAN.CO.ID - JAKARTA. Memasuki Maret, pelaku pasar bersiap menyambut keputusan The Fed soal kenaikan suku bunga acuan. Pasalnya, dengan inflasi Amerika Serikat yang tinggi, serta pemulihan ekonomi di sana, banyak yang memperkirakan The Fed akan menaikkan suku bunga acuan. Keputusan The Fed, umumnya akan mempengaruhi keputusan berbagai bank sentral lain, termasuk Bank Indonesia. Head of Fixed Income Bank Negara Indonesia (BNI) Fayadri memperkirakan, keputusan BI nanti akan dipengaruhi oleh seberapa agresif The Fed menaikkan suku bunga. Terkait suku bunga, instrumen obligasi adalah salah satu yang paling terkena imbasnya jika sampai ada kenaikan suku bunga. Salah satu yang menarik diperhatikan adalah ORI021 yang dapat diperdagangkan di pasar sekunder setelah melewati satu kali holding period. Artinya, ORI021 dapat dijual selepas 15 April mendatang, atau selepas kepastian soal sikap The Fed. Baca Juga: Keuntungan Menjual ORI021 di Pasar Sekunder akan Terbatas “Apabila ternyata kenaikan suku bunga yang diputuskan oleh The Fed tidak seagresif yang diperkirakan pasar, kemungkinan dampaknya terhadap harga ORI021 tidak akan signifikan,” kata Fayadri kepada Kontan.co.id. Terlebih lagi, ia meyakini imbal hasil di pasar saat ini sudah terlebih dahulu menyesuaikan atau priced in dengan prediksi kenaikan suku bunga. Sementara itu, secara historis, Fayadri menyebut bahwa harga ORI di pasar sekunder juga selalu di atas harga par (>100%). Oleh karena itu, ia melihat masih ada potensi kenaikan harga ORI021 di pasar sekunder, walau mungkin akan lebih terbatas dibanding ORI sebelumnya. Baca Juga: Kupon SR016 Lebih Tinggi, Minat Investor Berpotensi Meningkat Di satu sisi, menurutnya, memegang ORI021 hingga jatuh tempo, atau tiga tahun mendatang, juga masih jadi pilihan yang menarik. Dengan kupon ORI021 yang sebesar 4,90%, angka tersebut masih menarik jika dibandingkan dengan tingkat deposito yang ditawarkan oleh perbankan maupun SBN tenor 3 tahun yang saat ini ada di pasar sekunder. “Namun, dengan melihat terus meningkatnya pemahaman investor terhadap obligasi, sepertinya akan banyak yang akan memanfaatkan potensi keuntungan ORI021 dari pasar sekunder,” tutupnya. Cek Berita dan Artikel yang lain di Google News",investasi
Keuntungan Menjual ORI021 di Pasar Sekunder akan Terbatas,2024-08-21T01:57:27.657Z,,Premium User Only,https:////insight.kontan.co.id/news/keuntungan-menjual-ori021-di-pasar-sekunder-akan-terbatas,Premium Content - Not Scraped,insight
"Ingin Perluas Pasar, Nio Persiapkan Pencatatan Sekunder di Hong Kong dan SIngapura",2024-08-21T01:57:28.008Z,,Premium User Only,https:////insight.kontan.co.id/news/ingin-perluas-pasar-nio-persiapkan-pencatatan-sekunder-di-hong-kong-dan-singapura,Premium Content - Not Scraped,insight
Butuh Partisipasi Investor Ritel untuk Meningkatkan Transaksi ETF di Pasar Sekunder,2024-08-21T01:57:28.426Z,"Kamis, 13 Januari 2022 / 20:47 WIB",Reporter: Danielisa Putriadita | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/butuh-partisipasi-inevstor-ritel-untuk-meningkatkan-transaksi-etf-di-pasar-sekunder,"KONTAN.CO.ID - JAKARTA. Bursa Efek Indonesia (BEI) mencatat transaksi perdagangan reksadana exchange traded fund (ETF) di pasar sekunder menurun dalam tiga bulan terakhir di 2021. Namun, manajer investasi menilai perkembangan industri reksadana ETF berpotensi tetap tumbuh, terutama transaksi di pasar primer. Berdasarkan data BEI per Desember 2021 volume transaksi reksadana ETF mencapai 5.144 unit dengan nilai Rp 2,35 miliar. Angka ini menurun bila dibandingkan periode November dengan volume mencapai 8.031 unit dengan nilai Rp 3,65 miliar. Angka di November juga lebih rendah dari periode Oktober dengan volume di 12.172 unit dan nilai Rp 5,15 miliar. President dan CEO PT Pinnacle Persada Investama Guntur Putra menjelaskan transaksi yang BEI catat merupakan transaksi yang terjadi di pasar sekunder. Sedangkan, mekanisme transaksi reksadana ETF juga bisa dilakukan di pasar primer melalui diler partisipan yang ditunjuk penerbit reksadana ETF. ""Sepertinya, mayoritas transaksi reksadana ETF baik jual dan belinya terjadi di pasar primer,"" kata Guntur, Kamis (13/1). Baca Juga: Gelembung Aset Telah Pecah Bersamaan Dana kelolaan atawa asset under management (AUM) ETF juga cenderung menurun 8,66% yoy menjadi Rp 14,77 triliun di sepanjang 2021. Guntur mengatakan salah satu faktor yang membuat AUM reksadana ETF menurun adalah volatilitas pasar saham yang masih cukup tinggi di 2021. Guntur mengamati mayoritas AUM ETF berasal dari investor institusi. Alhasil dengan volatilitas pasar yang cukup tinggi, banyak investor institusi yang mengurangi kepemilikan aset di reksadana berbasis saham baik ETF maupun konvensional. Baca Juga: Terkerek Penguatan IHSG, Reksadana Saham Jadi Jawara pada Pekan Lalu Ke depan, Guntur optimistis prospek transaksi ETF dan juga potensi perkembangan AUM ETF akan tumbuh. Menurut guntur, reksadana ETF memiliki keunggulan dari reksadana konvensional dari sisi  transparansi, fleksibilitas, dan likuiditas. ""Seiring dengan tren yang terjadi di global, pertumbuhan AUM ETF juga sudah berkembang sangat pesat,"" kata Guntur. Untuk meningkatkan AUM, Guntur akan terus melakukan edukasi kepada investor ritel agar ETF tidak didominasi investor institusi. ""Kami yakin dengan memberikan edukasi kepada investor ritel dapat meningkatkan AUM ETF karena investor ritel memiliki potensi yang besar didukung dengan jumlah SID yang tumbuh signifikan selama pandemi,"" kata Guntur. Tentunya, juga dibutuhkan kerjasama  Self-Regulatory Organization (SRO) pasar modal Indonesia untuk mengembangkan ETF. Baca Juga: Dana Kelolaan Industri Reksadana Tumbuh 1,12% di 2021 Cek Berita dan Artikel yang lain di Google News",investasi
"Ada koreksi, Indonesia Property Watch: Pasar sekunder properti di Jakarta masih aman",2024-08-21T01:57:28.821Z,"Kamis, 08 Juli 2021 / 14:59 WIB",Reporter: Ridwan Nanda Mulyana | Editor: Khomarul Hidayat,https:////industri.kontan.co.id/news/ada-koreksi-indonesia-property-watch-pasar-sekunder-properti-di-jakarta-masih-aman,"KONTAN.CO.ID - JAKARTA. Pandemi Covid-19 yang masih melanda membuat banyak sektor usaha menjadi tak menentu dan sulit untuk diprediksi, termasuk properti. Pada sektor perumahan khususnya pasar sekunder, tekanan terhadap harga rumah lebih tinggi dibandingkan pasar perumahan primer. Bahkan ada informasi yang menyebutkan di sejumlah wilayah elit Jakarta beberapa rumah ditawarkan dibawah harga pasar, hingga anjlok sampai dengan 50% di pasar sekunder. Menanggapi hal tersebut, Indonesia Property Watch menyampaikan temuannya. Menurut CEO dan Founder Indonesia Property Watch  Ali Tranghanda, informasi di atas tidak sepenuhnya tepat. Kata dia, sekalipun dibeberapa titik lokasi terjadi tingkat penawaran harga rumah yang terkoreksi sampai 50% dari harga pasaran setempat, hal itu masih dalam skala yang terbatas. Berdasarkan riset dan tanggapan di lapangan dari para broker, sambung Ali, tidak semua rumah tersebut sudah terjadi transaksi. Baca Juga: Colliers: Tarif sewa perkantoran di Jakarta diproyeksikan terus turun pada tahun 2021 Kondisi bangunan yang tua diperkirakan lebih rentan terhadap koreksi harga yang terjadi saat ini. Namun, Ali menyebut, harga tersebut tidak dapat menjadi patokan koreksi harga pasar secara keseluruhan. Apalagi jika itu terjadi hanya di wilayah tertentu dibandingkan semua wilayah di DKI Jakarta. “Memang terjadi koreksi harga di beberapa titik dapat mencapai 30%-50%, namun masih dalam skala terbatas, artinya tidak semua rumah dalam satu wilayah harganya jatuh sampai 50%. Dari semua jumlah unit yang terjadi transaksi mungkin hanya 1 atau 2 unit yang terkoreksi cukup tinggi. Jadi bila ada 1 unit rumah yang terkoreksi 50% dibandingkan puluhan rumah yang terjual selama sebulan, maka tidak menjadikan harga rumah secara rata-rata jatuh 50%,"" kata Ali dalam keterangan tertulis yang disampaikan kepada Kontan.co.id, Kamis (8/7). Ali bilang, secara rata-rata koreksi harga yang terjadi masih aman di kisaran 2,85% untuk keseluruhan Jakarta. ""Jadi kita harus hati-hati memberikan pernyataan bahwa harga jatuh 50%. Kondisi saat ini relatif masih belum ke arah sana. Meskipun terkoreksi, pasar perumahan sekunder masih aman,” ujarnya. Merujuk survei dari Indonesia Property Watch, sepanjang tahun 2020 memang terjadi tekanan harga rumah yang terkontraksi rata-rata 2,85%, dengan wilayah Jakarta Selatan dan Jakarta Utara menjadi wilayah yang mengalami koreksi harga tertinggi. Bahkan tipe rumah segmen besar di wilayah ini diperkirakan terjadi koreksi rata-rata 5,55% dengan koreksi paling tinggi mencapai 27,99%.  Koreksi harga rata-rata ini paling tinggi selama 10 tahun terakhir. Hasil survei Indonesia Property Watch pada tahun 2020 menunjukkan tingkat kontraksi harga rumah di Jakarta Timur sebanyak 1,62%, Jakarta Pusat 2,8%, Jakarta Selatan 3,7%, Jakarta Utara 4,15%, dan Jakarta Barat 1,95%. Ali menyebut, koreksi harga tersebut banyak terjadi pada Semester II 2020. Sedangkan koreksi harga pasar sekunder terlihat mulai mereda dan tidak meluas dengan perkembangan di awal tahun 2021. ""Namun perlu diwaspadai kemungkinan adanya koreksi yang tinggi lagi pada Triwulan III-2021, karena adanya pengetatan PPKM dan ketidakpastian yang tinggi karena pandemi. Bila berkelanjutan masa daya beli masyarakat akan semakin terpuruk dan koreksi harga bisa lebih tinggi dibandingkan yang terjadi sebelumnya,” jelas Ali. Dia melanjutkan, tak sedikit pembeli yang memang menunggu untuk membeli harga rumah dengan harga yang terkoreksi. Namun perlu dicatat bahwa koreksi harga belum sepenuhnya menggambarkan bahwa harga rumah jatuh. Dari beberapa objek yang dianalisis memerlihatkan meskipun terjadi koreksi, namun harga tersebut sebenarnya kembali ke harga pasar 2-3 tahun sebelumnya. Artinya harga yang terbentuk memang sudah over value kembali ke harga normal dan membuat pasar mencapai keseimbangan baru. ""Pembeli akan merasakan koreksi harga ketika dia membeli rumah tersebut di harga yang sudah over value. Karenanya  investasi properti haruslah dalam konteks jangka panjang. Namun tetap hal ini perlu diwaspadai terkait kondisi terkini yang berpotensi pasar perumahan sekunder akan semakin tertekan bila kondisi pandemi terus berkelanjutan,"" imbuh Ali.  Cek Berita dan Artikel yang lain di Google News",industri
Platform equity crowdfunding Santara membuka pasar sekunder mulai hari ini,2024-08-21T01:57:29.101Z,"Jumat, 19 Maret 2021 / 08:25 WIB",Reporter: Achmad Jatnika | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/platform-equity-crowdfunding-santara-membuka-pasar-sekunder-mulai-hari-ini,"KONTAN.CO.ID - JAKARTA. PT Santara Daya Inspiratama resmi membuka pasar sekunder yang diperuntukan bagi jual beli saham bisnis UKM. Pembukaan transaksi ini berlangsung selama 10 hari kerja yang dimulai pada hari Jumat (19/3) sampai dengan Kamis (1/4). Platform layanan urun dana (equity crowdfunding) ini sebelumnya dikenal sebagai platform untuk membantu bisnis UKM untuk mendapatkan pendanaan dari masyarakat pemodal dengan menjual sebagian sahamnya. Proses tersebut dikenal sebagai penjualan dana saham di pasar perdana. Saham bisnis UKM yang sudah melewati masa satu tahun dan memenuhi syarat tertentu dapat diperjualbelikan di pasar sekunder. Investor dapat menjual saham yang sebelumnya sudah dimiliki. Sebaliknya, ini juga dapat menjadi kesempatan bagi investor jika belum sempat membeli saham di pasar perdana. “Pasar sekunder ini merupakan momentum besar bagi pengguna Santara, terlebih berdasarkan aturan POJK 57, pasar sekunder equity crowdfunding (ECF) hanya dapat dilakukan dua kali dalam setahun, sehingga ini merupakan kesempatan bagi para investor (pengguna) untuk exit ataupun memperkaya portofolio saham bisnis yang sudah terbukti survive,” ujar Avesena Reza, CEO Santara dalam siaran pers, Kamis (18/3). Baca Juga: Yuk Intip Perluasan Layanan Urun Dana, Kenali Pula Peluang dan Risikonya Dia pun menambahkan bahwa pasar sekunder Santara akan diisi oleh 13 bisnis atau penerbit saham. Ketigabelas UKM ini berasal dari berbagai industri, seperti peternakan, perikanan, food and beverage, kecantikan, dan sebagainya. Penerbit yang akan masuk dalam pasar sekunder adalah penerbit yang sudah memenuhi syarat berdasarkan aturan dan kebijakan dari OJK. Di antaranya, sudah listing di Santara selama minimal 1 tahun atau lebih, memenuhi syarat administrasi, dan sudah memasuki dua periode pembagian dividen. “Dengan jumlah penerbit yang ikut serta pada pasar sekunder ini membuat Santara memiliki pasar sekunder yang terbesar dalam industri ECF di Indonesia,” tambah Avesena. Transaksi saham UKM di pasar sekunder Santara ini akan dilakukan melalui aplikasi Santara, baik itu di Android maupun iOS. Nantinya, para pengguna yang sudah terverifikasi data dirinya dapat membeli saham UKM yang diminati. Pengguna juga dapat menjual dan membeli saham di pasar sekunder pada hari Senin sampai Jumat di jam operasional pukul 09.00-17.00 WIB. Baca Juga: Layanan Urun Dana Menggeliat, Dana Securities Crowdfunding Mencapai Rp 184 Miliar Cek Berita dan Artikel yang lain di Google News",investasi
"Investor lebih pilih pasar sekunder, penawaran lelang SUN (16/3) turun",2024-08-21T01:57:29.648Z,"Selasa, 16 Maret 2021 / 19:47 WIB",Reporter: Hikma Dirgantara | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/investor-lebih-pilih-pasar-sekunder-penawaran-lelang-sun-163-turun,"KONTAN.CO.ID - JAKARTA. Pemerintah melalui Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan kembali menggelar lelang surat utang negara (SUN) pada hari ini, Selasa (16/3). Lelang kali ini justru mencatatkan penurunan jumlah penawaran yang masuk, yakni hanya sebesar Rp 40,29 triliun. Jumlah tersebut turun jika dibandingkan lelang SUN sebelumnya (2/3) yang mencapai Rp Rp 49,73 triliun. Dari penawaran yang masuk, pemerintah memutuskan menyerap sebanyak Rp 18,9 triliun. Head of Economics Research Pefindo Fikri C Permana mengatakan, penurunan jumlah penawaran yang masuk salah satunya karena risiko nilai tukar yang meningkat. Rupiah belakangan terus melemah seiring rally kenaikan yield US Treasury. “Dengan kondisi tersebut, investor pun pada akhirnya menahan diri untuk tidak masuk ke pasar primer. Ditambah lagi, investor juga menahan diri karena dari sisi kupon pasar primer saat ini justru relatif lebih rendah dibanding pasar sekunder,” kata Fikri kepada Kontan.co.id, Selasa (16/3). Baca Juga: Penawaran masuk mencapai Rp 40 triliun pada lelang SUN, Selasa (16/3) Fikri menilai jumlah penawaran yang masuk kali ini juga menjadi pertanda yang kurang bagus. Pasalnya, dia melihat dari sisi yield SBN tenor 10 tahun saat ini yang berada di kisaran 6,75% bisa jadi momen bagi investor untuk masuk ke pasar SBN. Namun, sayangnya investor justru tertarik untuk masuk ke pasar sekunder. Sementara Direktur Surat Utang Negara Deni Ridwan dalam keterangan tertulisnya mengatakan, rendahnya penawaran yang masuk sebenarnya sudah diprediksi mengingat adanya faktor eksternal yang membuat investor masih wait and see. Faktor eksternal ini adalah kebijakan yang akan diambil oleh bank sentral AS dalam FOMC meeting tanggal terkait volatilitas yield US Treasury. “Dengan kondisi pasar saat ini, minat investor asing masih cukup besar. Dari keseluruhan penawaran yang masuk, proporsi investor asing sebesar 18,2% atau meningkat dari lelang sebelumnya yang hanya sebesar 11,1% dari total penawaran,” terang Deni. Baca Juga: Jelang rapat FOMC dan RDG BI, rupiah berpotensi konsolidasi pada Rabu (17/3) Fikri menganggap kenaikan investor asing tersebut sebenarnya tidak terlalu signifikan, mengingat jika dilihat secara nominal, pada akhirnya jumlahnya tidak banyak berbeda. Menurutnya, investor asing memang masih mengambil posisi wait and see, sehingga masih akan perlu waktu yang cukup lama agar investor asing punya porsi layaknya sebelum masa pandemi Covid-19. Dalam lelang SUN kali ini, seri FR0087 yang akan jatuh tempo pada 15 Februari 2031 menjadi seri yang paling banyak diburu investor dengan jumlah penawaran masuk hingga Rp 12,94 triliun. Seri FR0087 sekaligus menjadi seri yang paling banyak dimenangkan, yakni Rp 7,25 triliun dengan yield rata-rata yang dimenangkan sebesar 6,74%. “Investor dari sisi perbankan adalah salah satu yang dominan dan mengincar seri tersebut. Dengan kondisi saat ini, seri FR0087 sebagai seri yang paling likuid, tentu akhirnya menjadi incaran peserta lelang,” pungkas Fikri. Baca Juga: Masa penawaran SR014 berakhir besok pagi, penjualan sudah melewati target Cek Berita dan Artikel yang lain di Google News",investasi
"Harga murah dan pasar sekunder makin likuid, peminat reksadana ETF meningkat",2024-08-21T01:57:30.053Z,"Kamis, 10 Desember 2020 / 20:43 WIB",Reporter: Hikma Dirgantara | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/harga-murah-dan-pasar-sekunder-makin-likuid-peminat-reksadana-etf-meningkat,"KONTAN.CO.ID - JAKARTA. Industri reksadana Exchange Traded Fund (ETF) di Indonesia terus berkembang semakin baik. Maklum, reksadana ETF masih jadi salah satu produk investasi yang belum sepopuler jenis reksadana lainnya. Kendati demikian, Manajer Investasi maupun investor kini semakin melirik produk yang satu ini. Hal ini dapat dilihat dari pertumbuhan unit reksadana ETF secara year to date pada tahun ini. Mengutip Infovesta Utama, pertumbuhan unit ETF naik cukup signifikan dari 19,03 juta pada akhir tahun menjadi 21,87 juta per akhir November 2020 atau naik 14,95%. Dana kelolaan atau Asset Under Management (AUM) ETF per November 2020 juga tumbuh 9,51% menjadi Rp 15,55 triliun dibanding akhir tahun lalu. Head of Equity PT Insight Investments Management Camar Remoa mengatakan, faktor yang membuat minat terhadap ETF terus membaik adalah periode saat ini merupakan saat yang tepat bagi para investor untuk memulai investasi pada produk ETF setelah indeks terkoreksi cukup dalam. Bisa dilihat dari kenaikan unit penyertaan padahal pasar cukup bergejolak yang menunjukkan tingginya minat investor terhadap reksadana ETF. Baca Juga: Reksadana ETF makin diminati investor, dana kelolaan kian tumbuh subur “Produk ini sendiri memiliki keunggulan, mulai dari mudah dan fleksibel, karena dapat ditransaksikan selama jam perdagangan layaknya saham, biaya jasa pengelolaan yang rendah, cakupan sektor pilihan yang lebih terdiversifikasi, transparan dalam keterbukaan konstituen, hingga memiliki pengawasan berlapis dari regulator,” ujar Camar ketika dihubungi Kontan.co.id, Kamis (10/12) Camar menerangkan, dengan kinerja reksadana ETF yang mengikuti indeks, pada akhirnya kinerjanya pun berkorelasi positif dengan pergerakan IHSG. Setelah sempat terpuruk akibat pandemi Covid-19 hingga terkoreksi sebesar -37.49%, IHSG terus membaik belakangan ini. Jika dihitung dari titik terendahnya, yakni 26 Maret, hingga 30 November, IHSG telah naik 29.35%. Camar menilai, setiap IHSG kembali mengalami koreksi, hal tersebut bisa menjadi kesempatan yang menarik untuk investor kembali masuk ke reksadana ETF. Apalagi dengan aliran dana asing yang mulai mengalir, IHSG masih akan bergerak naik. Hitungan Camar, saat ini indikasi rentang pergerakan IHSG di sekitar 5.800-6.000. Sedangkan tahun depan sekitar 6.300-6.800 dengan asumsi EPS Growth +30% “Di tengah kondisi pasar baik domestik maupun global yang cenderung fluktuatif, kehadiran produk Reksadana Insight ETF FTSE Indonesia Low Volatility Factor Index bisa menjadi alternatif investasi bagi Investor,” tambah Camar. Indeks FTSE Indonesia – Low Volatility Factor sendiri dibentuk dengan pembobotan berdasarkan market cap yang merepresentasikan performa dari saham big cap dan mid cap di Indonesia yang memiliki faktor volatilitas lebih rendah dari FTSE Original Index. Camar bilang, hasil back-test selama lima tahun menghasilkan total return Indeks FTSE Indonesia – Low Volatility Factor mengungguli indeks lainnya seperti IHSG, IDX30, LQ45 dan MSCI Indonesia. Dalam 5 tahun terakhir (per 30 November 2020), total return FTSE Indonesia Low Volatility Factor mencatatkan kenaikan 60,81%. Sementara IHSG hanya naik 41,34% dan FTSE Indonesia (Original) pun hanya naik 49.47% dalam lima tahun terakhir.  Adapun kinerja MSCI Indonesia Index, IDX30 dan LQ45 dalam lima tahun terakhir masing-masing 38%, 39.07%, 33.73%. Secara rata-rata per tahun dalam lima tahun terakhir, FTSE Indonesia Low Volatility Factor berhasil membukukan total return 12,16%, jauh di atas FTSE Indonesia (Original) 9.89%, maupun IHSG 8.27% per tahun. Sedangkan total return rata-rata per tahun MSCI Indonesia Index, IDX30 dan LQ45 justru 7.6%%, 7.81% dan 6.75%. Tak hanya itu, Camar juga mengatakan bahwa NAB/UP Reksadana Insight ETF FTSE Low Volatility Factor Index termasuk salah satu yang termurah di industri, yakni mulai harga 100. Adapun rentang NAB/UP reksadana ETF sendiri saat ini 100 - 1.000. Dengan semakin bertambahnya investor pada ETF menyebabkan pasar sekunder akan lebih likuid. selain itu NAB/UP ETF trennya juga semakin murah. Jadi semakin murahnya harga di pasar sekunder, investor retail juga dapat ikut serta berinvestasi pada ETF ini. ""Dengan modal dana Rp 10.000, investor ritel dapat berinvestasi pada reksadana ETF yang di dalamnya merupakan kumpulan saham yang sudah terdiversifikasi,” ujar Camar.  Cek Berita dan Artikel yang lain di Google News",investasi
"Ada tanda pemulihan ekonomi, harga properti hunian di pasar sekunder bakal membaik",2024-08-21T01:57:30.256Z,"Rabu, 22 Juli 2020 / 16:08 WIB",Reporter: Muhammad Julian | Editor: Anna Suci Perwitasari,https:////industri.kontan.co.id/news/ada-tanda-pemulihan-ekonomi-harga-properti-hunian-di-pasar-sekunder-bakal-membaik,"KONTAN.CO.ID - JAKARTA. Tren harga properti hunian di pasar sekunder (secondary market) terlihat mulai membaik di paruh kedua tahun ini. Katalis positif diduga berasal dari angka permintaan yang diperkirakan berpotensi naik hingga sekitar 10% dibanding semester I-2020. Ketua Asosiasi Real Estate Broker Indonesia (AREBI) Lukas Bong mengatakan, pembukaan kembali aktivitas perekonomian di masa pembatasan sosial berskala besar (PSBB) transisi juga berpotensi meningkatkan daya beli masyarakat, sehingga angka transaksi jual beli properti hunian bisa ikut terangkat. Baca Juga: BI Memprediksi Okupansi Perkantoran Tahun Ini Minus 20% Dalam situasi yang demikian, harga rata-rata properti hunian di pasar sekunder bisa mengalami perbaikan dengan koreksi paling besar 20% di bawah angka permintaan normal. “Otomatis kalau demand sudah tinggi harga juga mungkin koreksinya tidak begitu tajam lagi,” kata Lukas saat dihubungi Kontan.co.id, Rabu (22/7). Sebagai gambaran, sebelumnya aktivitas perekonomian yang tersendat di tengah penerapan PSBB pada kuartal II 2020 sempat menyeret harga properti. Untuk hunian rumah tapak di pasar sekunder misalnya, harga angka penurunannya rata-rata bisa mencapai 10%-30% dari harga pada kondisi normal.",industri
