Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Penarikan Pinjaman Luar Negeri oleh Pemerintah Tembus Rp 47,3 Triliun",2024-08-21T00:56:06.835Z,,Premium User Only,https:////insight.kontan.co.id/news/penarikan-pinjaman-luar-negeri-oleh-pemerintah-tembus-rp-473-triliun,Premium Content - Not Scraped,insight
"Lindungi masyarakat dari pinjaman online ilegal, ini upaya yang dilakukan pemerintah",2024-08-21T00:56:07.011Z,"Jumat, 15 Oktober 2021 / 23:08 WIB",Reporter: Yudho Winarto | Editor: Yudho Winarto,https:////nasional.kontan.co.id/news/lindungi-masyarakat-dari-pinjaman-online-ilegal-ini-upaya-yang-dilakukan-pemerintah,"KONTAN.CO.ID - JAKARTA. Pemerintah melalui sejumlah kementerian dan lembaga melakukan upaya bersama untuk memberantas dan menindak tegas praktik-praktik pinjaman online (pinjol) ilegal yang dapat merugikan masyarakat. “Kita bersama Kapolri, Kementerian Kominfo, Gubernur Bank Indonesia, dan juga Menteri Koperasi dan UKM telah mempunyai perjanjian bersama, surat keputusan bersama, kesepakatan bersama untuk memberantas semua pinjol-pinjol yang ilegal,” ujar Ketua Dewan Komisioner Otoritas Jasa Keuangan (OJK) Wimboh Santoso, dalam keterangan pers usai mengikuti rapat yang dipimpin Presiden Joko Widodo (Jokowi), Jumat (15/10/2021), di Istana Kepresidenan Jakarta. Wimboh mengatakan, upaya pemberantasan juga dilakukan seraya memberikan efek jera kepada penyelenggara pinjol ilegal. “Harus ditutup platformnya dan juga diproses secara hukum, baik bentuknya apapun, mau koperasi, mau payment, mau peer to peer, semua sama. Pemberantasan segera dan masif ini menjadi agenda kita bersama, terutama OJK dan Pak Kapolri, dan juga Pak Kominfo,” ujarnya. Baca Juga: Seorang WNA masuk daftar DPO dalam kasus pinjaman online ilegal Wimboh menyampaikan, upaya bersama ini dilakukan agar masyarakat tidak terjebak oleh tawaran-tawaran dari pinjaman online yang tidak terdaftar di OJK. Diungkapkannya, OJK menerima banyak pengaduan dari masyarakat terkait pelanggaran yang dilakukan penyedia pinjaman online ilegal. “Kita tahu di lapangan, banyak sekali produk-produk pinjaman online yang ditawarkan oleh perusahaan-perusahaan yang tidak terdaftar di OJK. Kalau ini tidak terdaftar, eksesnya kami lihat banyak sekali laporan masyarakat bahwa suku bunganya tinggi dan juga penagihannya melanggar kaidah, melanggar aturan, melanggar etika,” ungkap Wimboh. Pembinaan Terhadap Pinjol Terdaftar dan Berizin Saat ini terdapat 107 pinjol terdaftar dan berizin OJK. Wimboh menegaskan, seluruh penyelenggara harus masuk ke dalam asosiasi  fintech. “Dalam asosiasi itu digarap bagaimana membina para pelaku ini bisa lebih efektif memberikan pinjaman yang murah, cepat, dan tidak menimbulkan ekses-ekses penagihan yang melanggar kaidah dan melanggar etika. Ada kesepakatan yang sudah dibuat seluruh pelaku ini yang difasilitasi oleh asosiasi,” terangnya. Ditambahkan Wimboh, pinjol juga dapat memberikan manfaat, dengan memberikan pinjaman kepada masyarakat secara cepat dan juga luas. Hal tersebut, imbuhnya, sudah berkembang cukup bagus. Baca Juga: Karyawan sindikat pinjol ilegal digaji Rp 15 juta-Rp 20 juta tiap bulan “Untuk yang sudah terdaftar, terus kami tingkatkan agar bisa memberikan pelayanan yang lebih baik, suku bunga yang lebih murah, dan juga penagihan-penagihan harus tetap ditingkatkan supaya bisa tidak menimbulkan ekses di lapangan,” ujarnya. Menutup keterangan persnya, Ketua Dewan Komisioner OJK menegaskan bahwa upaya terkait tata kelola pinjaman online akan dilakukan secara bersama oleh kementerian dan lembaga terkait. “Jadi kami akan lebih masif untuk melakukan penanganan pemberantasan dan meningkatkan efektivitas dan pemberian layanan yang lebih baik bagi pinjaman online yang sudah terdaftar di OJK,” tandasnya. Cek Berita dan Artikel yang lain di Google News",nasional
"ADB setujui pinjaman pemerintah Indonesia sebesar Rp 6,53 triliun untuk beli vaksin",2024-08-21T00:56:07.068Z,"Rabu, 31 Maret 2021 / 19:51 WIB",Reporter: Yusuf Imam Santoso | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/adb-setujui-pinjiman-pemerintah-indonesia-sebesar-rp-653-triliun-untuk-beli-vaksin,"KONTAN.CO.ID -  JAKARTA. Asian Development Bank (ADB) telah menyetujui pinjaman pemerintah Indonesia sebesar US$ 450 juta atau setara dengan Rp 6,53 triliun bila menggunakan kurs pada penutupan harga Rabu (31/3) yakni sebesar Rp 14.525 per dollar Amerika Serikat (AS). Adapun pinjaman tersebut untuk membiayai pengadaan vaksin virus corona. Pinjaman itu nantinya akan membantu PT Bio Farma mendapatkan dan menyalurkan vaksin virus corona. Presiden ADB Masatsugu Asakawa mengatakan pemberian pembiayaan itu dapat mendanai pembelian vaksin mencapai 65 juta dosis vaksin. Ia mengatakan pembiayaan vaksin kepada Indonesia masuk dalam program Responsive Covid-19 Vaccines for Recovery (Recover). “Pandemi Covid-19 sangat berdampak berat bagi masyarakat Indonesia, program Recover akan membantu pemerintah setempat untuk melindungi jiwa dan memulihkan mata pencaharian mereka,” kata Masatsugu dalam keterangan resminya, Rabu (31/3). Baca Juga: Utang BUMN Melambung, eh, Kinerja Malah Buntung Presiden ADB menyebutkan ada tiga kriteria yang salah satunya harus dipenuhi untuk memperoleh pembiayaan vaksin antara lain pengadaan vaksin harus melalui Covid-19 Vaccines Global Access Facility (Covax). Di sisi lain, Menteri Keuangan (Menkeu) Sri Mulyani Indrawati menyampaikan total anggaran penanganan Covid-19 hingga vaksinasi di tahun ini sebesar Rp 130.03 triliun. Secara rinci dari total anggaran tersebut, terbagi menjadi tiga jenis program. Pertama, anggaran pengadaan dan program vaksin Covid-19 sebesar Rp 58,18 triliun. Kedua, anggaran testing dan tracing sebesar Rp 9,91 triliun. Ketiga, anggaran perawatan dan insentif tenaga kesehatan yakni Rp 61,94 triliun. “Bisa dibayangkan? Anggaran Pendapatan dan Belanja Negara (APBN) bekerja sangat keras melindungi rakyat dan perekonomian menghadapi Covid-19,” kata Menkeu dalam akun sosial medianya @smiindrawati, Rabu (31/3).  Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah perlu tambah pinjaman luar negeri untuk penanganan Covid-19,2024-08-21T00:56:07.118Z,"Minggu, 20 Desember 2020 / 20:06 WIB",Reporter:  Venny Suryanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/pemerintah-perlu-tambah-pinjaman-luar-negeri-untuk-penanganan-covid-19,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) mengatakan pemerintah telah melakukan penarikan pinjaman program sebanyak ekuivalen Rp 80 triliun hingga Desember 2020 ini. “Secara total sampai Desember ini telah ditarik Rp 80 triliun ekuivalen,” jelas Yustinus Prastowo, Staff Khusus Kementerian Keuangan kepada KONTAN, Minggu (20/12). Ia mengatakan,  pinjaman program hingga semester II ini, berasal dari lima lembaga multilateral, yaitu World Bank (WB), Asian Development Bank (ADB), Kreditanstalt für Wiederaufbau (KfW), Agence Francaise de Developpement (AFD), dan Japan International Cooperation Agency (JICA) dan Australia. Sementara itu, di tahun 2021 pemerintah juga masih melihat adanya potensi untuk melakukan penarikan pinjaman hingga mencapai lebih dari US$ 5 miliar. Penarikan ini sebagai pelengkap dana diluar dari sumber utama penerbitan Surat  Berharga Negara (SBN). Baca Juga: Pemerintah Tambah Instrumen Investasi Untuk Mendapat Pembebasan Pajak Dividen Ekonom CORE, Piter Abdullah menilai untuk membiayai defisit pada tahun depan sekitar 5,7%, pemerintah tetap harus melakukan pembiayaan dengan cara berhutang atau meminjam. Namun, menurutnya bila tahun depan pemerintah masih berpotensi menarik pinjaman hingga US$ 5 miliar, Piter menilai utang baru tersebut akan meningkatkan rasio utang namun masih di bawah 60% “Dengan utang baru ini maka rasio utang pemerintah akan meningkat tetapi masih di bawah 60%. Artinya masih relatif aman,” jelas Piter saat dihubungi KONTAN, Minggu (20/12). Adapun menurutnya, penarikan pinjaman dalam program Covid-19 ini memang perlu dilakukan pemerintah dengan melakukan pinjaman dari luar negeri. Baca Juga: Ekonom CORE proyeksikan kondisi utang pemerintah 2 tahun mendatang masih relatif aman “Karena kewajiban dan kebutuhan pemerintah tidak hanya dalam bentuk rupiah misalnya saja untuk mengimpor vaksin, membayar cicilan pokok bunga utang luar negeri itu semua butuh valas. Itu sebabnya pemerintah melakukan pinjaman luar negeri, bisa dengan pinjaman bilateral atau penerbitan SBN global,” katanya. Sehingga meski dalam nilai pinjaman yang cukup signifikan, maka Piter menilai langkah pemerintah melanjutkan pinjaman multirateral dan bilateral dinilai sudah tepat. “Pemerintah memang seharusnya melakukan diversifikasi sumber pembiayaan. Menurut saya sudah tepat pemerintah menarik pinjaman bilateral multilateral,” tutupnya.  Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah telah memberikan relaksasi penyaluran pinjaman melalui PT SMI,2024-08-21T00:56:07.183Z,"Selasa, 01 Desember 2020 / 21:39 WIB",Reporter:  Venny Suryanto | Editor: Handoyo .,https:////nasional.kontan.co.id/news/pemerintah-telah-memberikan-relaksasi-penyaluran-pinjaman-melalui-pt-smi,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) menyebutkan pemerintah telah memberikan relaksasi penyaluran pinjaman melalui PT Sarana Multi Infrastruktur Persero (PT SMI) kepada pemerintah daerah dalam rangka Pemulihan Ekonomi Daerah (PEN). Direktur Jenderal Perimbangan Keuangan Kemenkeu Astera Primanto Bhakti mengatakan dampak pandemi Covid-19 terhadap total pendapatan daerah mencapai 16% PDB. Sementara itu, beban untuk penambahan belanja di daerah-daerah yang terdampak justru meningkat signifikan. Sehingga ini menjadi salah satu pendorong untuk memberikan pinjaman dalam rangka PEN melalui PT SMI bagi daerah yang terdampak. “Tak hanya pinjaman PEN melalui PT SMI saja, Dana Insentif Daerah juga kita tambah Rp 5 triliun kemudian, DAK Fisik yang kita buka kembali dengan besar Rp 8,7 triliun dan hibah pariwisata yang besarnya Rp 3,7 triliun. Ini langkah-langkah pemerintah pusat untuk mendukung pemda,” jelas Prima dalam diskusi via daring, Selasa (1/12). Baca Juga: Pemerintah akan tawarkan PSN di tahun depan, ini respons pengusaha Dirjen Kekayaan Negara, Kementerian Keuangan Isa Rachmatarwata juga mengatakan pinjaman PEN daerah melalui PT SMI telah dialokasikan sebesar Rp 15 triliun. Rinciannya, Rp 10 triliun berasal dari Kementerian Keuangan dan Rp 5 triliun berasal dari PT SMI. Isa mengatakan, sebagai penyalur pinjaman PEN daerah ke pemda, PT SMI juga turut mengikuti prosedur yang telah ditetapkan oleh pemerintah. “Pemerintah telah kerahkan PT SMI untuk memiliki tata kelola yang baik dalam proses penyaluran pinjaman PEN daerah. Dengan demikian kita bisa mengurangi timbulnya penyimpangan dan penyalahgunaan dana tersebut,” tutup Isa.  Cek Berita dan Artikel yang lain di Google News",nasional
"Ubah tenor dan bunga, pemerintah revisi aturan pinjaman PEN bagi pemda",2024-08-21T00:56:07.231Z,"Kamis, 19 November 2020 / 19:30 WIB",Reporter:  Venny Suryanto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/ubah-tenor-dan-bunga-pemerintah-revisi-aturan-pinjaman-pen-bagi-pemda,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan telah merevisi Peraturan Menteri Keuangan No. 105/2020 tentang pemberian pinjaman kepada pemerintah daerah (pemda) dalam program pemulihan ekonomi nasional (PEN). Revisi dilakukan melalui PMK No. 179/2020. PMK No. 179/2020 sudah diundangkan pada 12 November 2020 lalu. Dalam perubahan beleid tersebut, peraturan ini mengalami beberapa perubahan yang tercantum pada pasal-pasalnya. Perubahan ini dilakukan untuk mengoptimalkan penggunaan dana pengelolaan pinjaman PEN untuk pemda Beberapa perubahan dari PMK 105/2020 meliputi beberapa hal yakni ketentuan jangka waktu pinjaman, tingkat suku bunga pinjaman, program yang dapat diberikan pinjaman hingga biaya pengelolaan pinjaman per tahun. Baca Juga: Per 12 November 2020, realisasi anggaran PEN sudah mencapai 55,1% Dalam pasal 2 PMK 179/2020, pemerintah mengubah ketentuan jangka waktu pinjaman yang sebelumnya diatur paling lambat 10 tahun sekarang diperpendek menjadi paling lama 8 tahun. Adapun tingkat suku bunga yang sebelumnya ditetapkan 0% per tahun, kini ditetapkan sebesar 0% hanya untuk dana pinjaman yang bersumber dari APBN 2020. Sedangkan untuk dana pinjaman yang bersumber dari APBN Tahun Anggaran 2021 dan tahun-tahun berikutnya, tingkat suku bunga ditetapkan dengan Keputusan Menteri Keuangan. Berdasarkan beleid tersebut, nantinya kepala daerah dapat mengajukan surat permohonan pinjaman PEN daerah kepada Menteri Keuangan melalui Direktur Jenderal Perimbangan Keuangan (DJPK) dengan tembusan kepada Menteri Dalam Negeri dan Direktur Utama PT SMI.  Cek Berita dan Artikel yang lain di Google News",nasional
"Terdampak pandemi, Air New Zealand tarik US$ 72,20 dari fasilitas pinjaman pemerintah",2024-08-21T00:56:07.366Z,"Selasa, 29 September 2020 / 07:40 WIB",Sumber: Reuters | Editor: Anna Suci Perwitasari,https:////internasional.kontan.co.id/news/terdampak-pandemi-air-new-zealand-tarik-us-7220-dari-fasilitas-pinjaman-pemerintah,"KONTAN.CO.ID - SYDNEY. Pandemi virus corona benar-benar memukul industri maskapai global. Sejumlah maskapai global pun kini bergantung pada pinjaman yang diberikan pemerintahnya masing-masing. Terbaru, Air New Zealand Ltd yang akhirnya menarik NZ $ 110 juta setara US$ 72,20 juta dari fasilitas pinjaman yang diberikan pemerintah Selandia Baru sebesar NZ $ 900 juta. Dalam keterangan yang diberikan Selasa (29/9), dana tersebut akan digunakan untuk menopang likuiditas guna membantu mengatasi dampak pandemi virus corona. Maskapai tersebut menegaskan kembali bahwa mereka memperkirakan akan melaporkan kerugian tahunan kedua berturut-turut dalam laporan keuangan yang berakhir pada 30 Juni 2021. Selain itu, maskapai penerbangan ini tidak dapat memberikan panduan pendapatan untuk kinerja di tahun depan. ""Dengan prospek permintaan penumpang di masa depan yang jelas tidak pasti, dan sangat bergantung pada penghapusan pembatasan perjalanan baik di sini di Selandia Baru maupun secara global, kami tahu bahwa Air New Zealand akan terus menjadi bisnis yang lebih kecil untuk beberapa waktu mendatang,"" kata Chairman Therese Walsh pada pertemuan tahunan maskapai di Auckland. Baca Juga: Wall Street melesat di atas 1,5% ditopang reli saham sektor keuangan dan energi Sementara itu, Chief Executive Greg Foran mengatakan, rencana strategis maskapai termasuk menyegarkan program loyalitas dan meningkatkan teknologi dan alat digitalnya. Saat ini, Air New Zealand mengatakan memiliki sekitar NZ $ 1 miliar likuiditas, terdiri dari NZ $ 215 juta kas di tangan dan NZ $ 790 juta yang tersisa dari fasilitas pinjaman pemerintah. Maskapai tersebut memperkirakan akan menghabiskan NZ $ 65 juta hingga NZ $ 85 juta uang tunai sebulan dalam kondisi saat ini. Maskapai penerbangan tersebut pekan lalu mengatakan telah mulai menarik utang pemerintah, yang akan memberinya waktu untuk meninjau struktur modalnya dan menyelesaikan peningkatan modal pada Juni 2021. Sebelumnya, Air New Zealand mengatakan akan memangkas hingga 385 pekerjaan awak kabin karena kurangnya penerbangan internasional jarak jauh, yang akan membuat kehilangan pekerjaan terkait Covid-19 menjadi sekitar 37% dari angkatan kerjanya. Proporsi yang lebih tinggi daripada saingan Qantas Airways Ltd dan Singapore Airlines Ltd. ",internasional
"Pemerintah rencanakan penarikan pinjaman tunai US$ 1,5 miliar pada 2021",2024-08-21T00:56:07.430Z,"Senin, 17 Agustus 2020 / 13:26 WIB",Reporter:  Venny Suryanto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/pemerintah-rencanakan-penarikan-pinjaman-tunai-us-15-miliar-pada-2021,"KONTAN.CO.ID - JAKARTA. Pemerintah merencanakan penarikan pinjaman tunai dalam mata uang asing pada tahun 2021 sebesar US$ 1,5 miliar atau  setara Rp 21,9 triliun. Penarikan pinjaman di tahun 2021 tersebut direncanakan berupa pinjaman program dengan basis kebijakan yang disepakati antara pemerintah dengan pemberi pinjaman. “Pengadaan pinjaman tunai juga mempertimbangkan kapasitas pemberi pinjaman dari mitra pembangunan multilateral dan bilateral dengan melihat beban biaya dan risiko yang timbul, ketersediaan kebijakan yang menjadi basis pinjaman, dan mata uang yang dibutuhkan dalam rangka pengelolaan kas negara,” demikian dikutip dalam Nota Keuangan dan Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) 2021, Senin (17/8). Baca Juga: Defisit anggaran 2021 sebesar 5,5% PDB, bagaimana strategi pembiayaannya? Dengan skema fleksibilitas pembiayaan, pemerintah telah memanfaatkan sumber pembiayaan pinjaman program dengan bunga relatif rendah yang berasal dari lembaga bilateral dan multilateral antara lain Bank Dunia (World Bank), ADB, AFD (Perancis), KfW (Jerman), JICA (Jepang), EDCF (Korea Selatan) dan AIIB. Pinjaman  program yang akan digunakan di tahun 2020  berkisar US$ 7 miliar - US$ 8 miliar. Angka ini meningkat dari target semula dalam APBN 2020 yang sebesar US$ 1,5 miliar. Baca Juga: Masih dalam proses pemulihan, target pertumbuhan penerimaan pajak 2021 hanya 5,8% Cek Berita dan Artikel yang lain di Google News",nasional
"Pemerintah siapkan dua skema baru pemberian pinjaman untuk BUMN, apa saja?",2024-08-21T00:56:07.479Z,"Minggu, 09 Agustus 2020 / 20:21 WIB",Reporter:  Venny Suryanto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/pemerintah-siapkan-dua-skema-baru-pemberian-pinjaman-untuk-bumn-apa-saja,"KONTAN.CO.ID - JAKARTA. Pemerintah telah merevisi Peraturan Pemerintah (PP) No 23/2020 menjadi PP No 23/2020 tentang Pelaksanaan Program Pemulihan Ekonomi Nasional Dalam Rangka Mendukung Kebijakan Keuangan Negara untuk Penanganan Pandemi Covid-19. Dalam pasal 15 PP 43/2020, pemerintah dapat melakukan investasi dalam rangka pelaksanaan program PEN yang dapat berupa investasi langsung dalam bentuk pemberian pinjaman kepada BUMN, pemberian pinjaman kepada lembaga dan pinjaman PEN daerah. Adapun yang dimaksud pada pemberian pinjaman adalah untuk memberikan dukungan kepada BUMN dan lembaga guna memperkuat dan menumbuhkan kemampuan ekonomi BUMN dan lembaga yang bersangkutan. Dalam aturan tersebut, rupanya pemerintah telah menyiapkan skema baru pemberian pinjaman untuk BUMN. Yustinus Prastowo, Staf Khusus Menteri Keuangan menjelaskan, dalam PP 43/2020 itu nantinya bentuk pinjaman yang diberikan bermacam-macam. Misalnya melalui special mission vehicle (SMV) pemerintah dan mandatory exchangeable bond (MEB) atau penerbitan convertible bond. Baca Juga: Kabar baik bagi wajib pajak badan, diskon tarif PPh 25 ditambah menjadi 50% “Skema pinjamannya bermacam-macam, bisa dilakukan melalui SMV pemerintah dan dengan penerbitan convertible bond,” ujar Yustinus saat dihubungi KONTAN, Minggu (9/8). Ia menjelaskan, skema SMV merupakan salah satu sinergi di sektor penjaminan yang dilakukan untuk membantu pemerintah dalam melaksanakan program pemulihan ekonomi nasional (PEN). Sedangkan MEB sendiri merupakan jenis obligasi yang biasanya disebut juga sebagai obligasi hibrida, karena sewaktu-waktu dapat dikonversikan menjadi saham biasa (common stock) dari perusahaan penerbit obligasi. Sebagai informasi lebih lanjut, pemerintah telah mennyiapkan program PEN guna merespon dampak pelemahan ekonomi yang berlanjut akibat Covid-19. Salah satunya juga untuk pembiayaan korporasi dengan anggaran Rp 53,57 triliun dari total Rp 695,20 triliun untuk PEN. Anggaran APBN untuk pembiayaan korporasi juga telah memiliki porsi masing-masing. Di antaranya yang pertama adalah penempatan dana untuk restrukturisasi padat karya sebesar Rp 3,42 triliun. Lalu untuk penyertaan modal negara (PMN) dengan total Rp 20,50 triliun yang terbagi sebagai berikut PT Hutama Karya Rp 7,5 triliun, PT Bahana Pembinaan Usaha Indonesia (BPUI) Rp 6 triliun, PT Permodalan Nasional Madani (PNM) Rp 1,5 triliun, Indonesia Tourism Development Corporation (ITDC) Rp 0,5 triliun dan PT Perusahaan Pengelolaan Aset (PPA) Rp 5 triliun. Kemudian talangan investasi untuk modal kerja sebesar Rp 29,65 triliun. Baca Juga: Pemerintah kucurkan Rp 27 triliun dari APBN dukungan program PEN daerah 2020 Cek Berita dan Artikel yang lain di Google News",nasional
"Ada dugaan fraud, pinjaman Pemerintah AS ke Kodak US$ 765 juta ditunda",2024-08-21T00:56:07.520Z,"Minggu, 09 Agustus 2020 / 19:38 WIB",Reporter: Anggar Septiadi | Editor: Khomarul Hidayat,https:////internasional.kontan.co.id/news/ada-dugaan-fraud-pinjaman-pemerintah-as-ke-kodak-us-765-juta-ditunda,"KONTAN.CO.ID - NEW YORK. Perjanjian pinjaman Pemerintah Amerika Serikat (AS) kepada Eastman Kodak Co senilai US$ 765 juta untuk memproduksi bahan obat ditangguhkan. US International Development Finance Corp (DFC) menduga Kodak melakukan fraud di bursa saham. Saham Kodak pekan lalu meningkat hingga 1.000% setelah terbitnya pengumuman pinjaman dari pemerintah AS. Beberapa petinggi Kodak tercatat telah menerima opsi sehari sebelumnya. Awal pekan ini, otoritas hukum meminta pemerintah federal untuk menyelidiki transaksi saham Kodak terutama yang dilakukan oleh para petingginya menjelang pengumuman pinjaman. Baca Juga: Trump larang WeChat, kapitalisasi pasar Tencent merosot US$ 46 miliar “Dugaan yang muncul merupakan hal yang serius. Kami tidak akan memproses pencairan pinjaman hingga dugaan ini jelas,” kata DFC seperti dikutip Reuters, Minggu (9/8) Kamis lalu, Presiden Donald Trump mengatakan pihaknya memastikan bakal menggelar investigasi terkait pengumuman pinjaman kepada Kodak. Sementara otoritas hukum menduga adanya insider trading dalam transaksi tersebut. Dalam pernyataan resminya Kodak menyatakan telah membentuk komite independen untuk melkukan audit secara internal. “Audit internal akan dilakukan oleh komite yang dipimpin oleh Ain Strauss hauer & Feld LLP,” tulis Kodak. Baca Juga: Microsoft bakal beli layanan TikTok di AS, Australia, Kanada dan Selandia Baru",internasional
