Title,Scrapping Date,Article Date,Author,Link,Content,Category
Minat Pembelian Properti di Inggris Naik Pasca Penurunan Suku Bunga Bank of England,2024-08-21T02:03:13.483Z,"Senin, 19 Agustus 2024 / 07:59 WIB",Sumber: Reuters | Editor: Herlina Kartika Dewi,https:////internasional.kontan.co.id/news/minat-pembelian-properti-di-inggris-naik-pasca-penurunan-suku-bunga-bank-of-england,"KONTAN.CO.ID - LONDON. Agen properti Inggris melihat minat pembelian properti di Inggris meningkat pasca Bank of England (BoE) memutuskan untuk memangkas suku bunganya pada 2 Agustus lalu. Mengutip Reuters Senin (19/8), Situs properti Rightmove, yang mengiklankan properti untuk lebih dari sembilan dari setiap 10 agen properti di Inggris, mengatakan permintaan pembeli pada bulan Agustus naik 19% dibanding periode yang sama tahun sebelumnya. Kenaikan ini lebih tinggi dibanding Juli, dimana permintaan pembeli properti tumbuh 11% secara tahunan. “Meskipun suku bunga hipotek belum jauh lebih rendah sejak penurunan suku bunga, fakta bahwa pemotongan pertama yang telah lama diharapkan akhirnya tiba, dan suku bunga hipotek sedang menuju ke bawah, merupakan hal positif bagi sentimen orang yang pindah rumah,” kata Direktur Rightmove, Tim Bannister. Baca Juga: UK Economy Grows 0.6% in Q2 2024 Gubernur Bank of England Andrew Bailey mengatakan, setelah penurunan suku bunga bahwa suku bunga hipotek telah turun sebagai antisipasi tindakan tersebut, dan bahwa bank sentral akan berhati-hati untuk tidak menurunkan suku bunga terlalu cepat. Pasar keuangan pada hari Jumat memperkirakan setidaknya satu, dan mungkin dua kali penurunan suku bunga sebesar seperempat poin pada tahun ini. Saat ini, tingkat bunga rata-rata hipotek dengan suku bunga tetap lima tahun sebesar 4,80%, kata Rightmove, turun dari 5,82% tahun lalu ketika BoE baru saja menaikkan suku bunga ke puncaknya di 5,25%. Harga rata-rata yang diminta untuk properti yang baru diiklankan di Rightmove antara tanggal 7 Juli dan 10 Agustus adalah 1,5% lebih rendah dibandingkan bulan sebelumnya yaitu sebesar 367,785 pound (US$ 474,663), yang menurut Rightmove merupakan hal yang biasa terjadi pada bulan Agustus ketika biasanya ada jeda aktivitas. Baca Juga: Bank of England Cuts Rates From 16-Year High, Careful on Future Moves Harga yang diminta 0,8% lebih tinggi dibandingkan tahun sebelumnya, dibandingkan dengan kenaikan tahunan sebesar 0,4% pada bulan sebelumnya. Data resmi berdasarkan penjualan yang diselesaikan pada bulan Juni menunjukkan harga 2,7% lebih tinggi dibandingkan tahun sebelumnya, kenaikan terbesar sejak Maret 2023. ($1 = 0,7748 pound)    ",internasional
Suku Bunga KPR Jadi Salah Satu Alasan Perlambatan Penjualan Rumah Tapak di Kuartal II,2024-08-21T02:03:13.735Z,,Premium User Only,https:////insight.kontan.co.id/news/suku-bunga-kpr-jadi-salah-satu-alasan-perlambatan-penjualan-rumah-tapak-di-kuartal-ii,Premium Content - Not Scraped,insight
"Suku Bunga BI Bertahan di Level 6,25%, Simak Kondisi NIM Multifinance",2024-08-21T02:03:13.774Z,"Minggu, 18 Agustus 2024 / 17:50 WIB",Reporter: Nadya Zahira | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/suku-bungan-bi-bertahan-di-level-625-simak-kondisi-nim-multifinance,"KONTAN.CO.ID - JAKARTA. Pergerakan margin bunga bersih (net interest margin/NIM) perusahaan pembiayaan atau multifinance dipengaruhi oleh tren suku bunga acuan Bank Indonesia (BI) yang tetap di level 6,25% sejak April 2024. PT BNI Multifinance melaporkan bahwa NIM mereka mengalami peningkatan pada awal tahun 2024 menjadi 4,5%. Namun, NIM BNI Multifinance turun pada Juni 2024 menjadi 3,9%, penurunan ini dibandingkan dengan angka Maret 2023 yang mencapai 4,3%. Chief Financial Officer BNI Multifinance, Legendariah Rasuanto, mengungkapkan bahwa meskipun NIM menurun, dukungan dari induk perusahaan, PT Bank Negara Indonesia Tbk (BNI), membantu perusahaan menghemat biaya dana (cost of fund/COF) dan menawarkan tingkat penjualan yang lebih kompetitif kepada calon debitur. Baca Juga: Bidik Pembiayaan Modal Kerja Rp 1 Triliun, Ini Strategi Mandiri Utama Finance (MUF) Target pasar utama BNI Multifinance adalah pembiayaan mobil baru, sehingga memerlukan pricing yang kompetitif untuk meningkatkan pangsa pasar. “Jadi saat ini, hingga akhir tahun 2024, BNI FInance akan terus fokus untuk Pembiayaan Mobil Baru saja,” kata dia. Dia juga memperkirakan bahwa NIM BNI Multifinance akan tetap stabil di kisaran saat ini hingga akhir tahun, berkat COF yang rendah dari kreditur utama. Sementara itu, Direktur Utama Mandiri Utama Finance (MUF), Stanley Setia, menyampaikan bahwa biaya pendanaan MUF masih terjaga sesuai target meskipun suku bunga pendanaan tinggi. MUF dapat memberikan pricing yang terjangkau untuk konsumen berkat kerja sama dengan Bank Mandiri dan BSI melalui skema joint financing. Rata-rata NIM MUF berada di kisaran 7%, sesuai dengan imbauan Otoritas Jasa Keuangan (OJK) untuk tidak memberikan pembiayaan yang memberatkan konsumen. Baca Juga: BI Masih Menahan Suku Bunga 6,25%, Begini Kondisi NIM Multifinance ""Rata-rata NIM kami biasanya berada di kisaran 7% atau bahkan 8%,"" ujar Stanley. MUF juga akan fokus pada pembiayaan motor yang memberikan kontribusi lebih besar terhadap NIM. Perusahaan melakukan berbagai strategi seperti pengembangan jaringan kantor, event marketing, dan optimalisasi teknologi digital untuk menjaga NIM tetap stabil hingga akhir tahun. ""Strategi kami termasuk mendorong kinerja penyaluran pembiayaan untuk seluruh portofolio, termasuk pembiayaan motor yang menyumbangkan NIM lebih besar,"" tandasnya.     Cek Berita dan Artikel yang lain di Google News",keuangan
"BI Masih Menahan Suku Bunga 6,25%, Begini Kondisi NIM Multifinance",2024-08-21T02:03:13.814Z,"Minggu, 18 Agustus 2024 / 15:25 WIB",Reporter: Nadya Zahira | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/bi-masih-menahan-suku-bunga-625-begini-kondisi-nim-multifinance,"KONTAN.CO.ID - JAKARTA. Tren suku bunga acuan Bank Indonesia (BI) yang tetap di level 6,25% sejak April 2024 turut mempengaruhi kinerja margin bunga bersih (Net Interest Margin/NIM) di sektor perusahaan pembiayaan atau multifinance. PT Wahana Ottomitra Multiartha Tbk (WOM) atau WOM Finance mencatat peningkatan NIM sejak awal tahun, yang dipicu oleh diversifikasi sumber dana dari kreditur besar yang diperoleh sejak kuartal pertama 2024. Direktur Keuangan WOM Finance, Cincin Lisa, menyampaikan bahwa sejak Juni 2024, NIM perusahaan stabil dengan nilai NIM mencapai 24,5% pada Semester I-2024. “Pada awal tahun, NIM sempat naik, namun sejak Juni hingga sekarang tetap stabil,” ujar Cincin kepada Kontan.co.id, Jumat (16/8). Baca Juga: Industri Keuangan Non Bank Terapkan Strategi Antisipasi Terjadinya Fraud Ia memperkirakan bahwa NIM WOM Finance dapat mencapai 25,2% hingga akhir Desember 2024. Fokus perusahaan dalam mencapai target ini adalah pada peningkatan kualitas aset dan manajemen risiko kredit, untuk mengurangi kerugian dan meningkatkan pendapatan bunga bersih. Sementara itu, PT CIMB Niaga Auto Finance (CNAF) juga melaporkan NIM sebesar 11,08% hingga Juni 2024, yang didukung oleh pembiayaan baru sebesar Rp 4,62 triliun. Presiden Direktur CNAF, Ristiawan Suherman, menyatakan bahwa NIM rata-rata perusahaan berada di kisaran 10%-11%. CNAF berencana mempertahankan NIM di angka tersebut hingga akhir tahun 2024 melalui strategi memaksimalkan pendanaan murah, termasuk penerbitan Sukuk di kuartal IV-2024. Baca Juga: Kredit Macet Multifinance Naik Lagi CNAF menargetkan NIM sebesar 11,6% pada akhir tahun 2024, dengan strategi memprioritaskan sumber pendanaan yang murah untuk bersaing dalam suku bunga dan menurunkan Cost of Fund (COF). Ristiawan menekankan bahwa NIM dari segmen fasilitas dana masih menjadi yang terbesar di CNAF, dan perusahaan akan memanfaatkan setiap momentum hingga akhir tahun untuk menjaga stabilitas NIM.     Cek Berita dan Artikel yang lain di Google News",keuangan
"Rasio BOPO Mandiri Utama Finance Naik Per Juli 2024, Imbas Kenaikan Suku Bunga BI",2024-08-21T02:03:13.852Z,"Jumat, 16 Agustus 2024 / 20:19 WIB",Reporter: Nadya Zahira | Editor: Herlina Kartika Dewi,https:////keuangan.kontan.co.id/news/rasio-bopo-mandiri-utama-finance-naik-per-juli-2024-imbas-kenaikan-suku-bunga-bi,"KONTAN.CO.ID - JAKARTA. Perusahaan pembiayaan (multifinance) Mandiri Utama Finance atau MUF menyampaikan, rasio Beban Operasional Pendapatan Operasional (BOPO) sampai dengan Juli 2024 meningkat. Namun, pihaknya tidak bisa menyebutkan besaran kenaikan rasio BOPO tersebut. Direktur Keuangan dan Manajemen Risiko Mandiri Utama Finance Rully Setiawan menjelaskan, kenaikan BOPO di MUF karena perusahaan sedang menargetkan ekspansi bisnis di Indonesia melalui penambahan jaringan kantor, pengembangan organisasi, hingga berinvestasi untuk inovasi teknologi digital. “Maka dari itu, BOPO perusahaan  sampai dengan Juli 2024 meningkat sesuai dengan proyeksi yang sudah ditetapkan pada awal tahun,” kata Rully kepada Kontan.co.id, Jumat (16/8). Baca Juga: BOPO Perusahaan Pembiayaan Per Mei 2024 Naik Jadi 78,9%, Ini Pendorongnya Selain itu, ia mengatakan kenaikan BOPO juga didorong oleh naiknya suku bunga acuan Bank Indonesia (BI). “Kenaikan BOPO industri multifinance di semester I-2024 secara umum didorong oleh kenaikan beban bunga dan beban pencadangan akibat suku bunga BI naik,” kata dia. Asal tahu saja, Otorita Jasa Keuangan (OJK) mencatat, BOPO perusahaan pembiayaan per Mei 2024 capai 78,9%, naik dari Desember 2023 yang sebesar 76,89%. Kendati begitu, Rully mengatakan bahwa MUF masih membukukan performa yang baik hingga Juli 2024. Di mana, pendapatan MUF mencapai Rp 3,3 triliun. Angkat tersebut tumbuh 12,4% secara year on year (yoy) atau tahunan. Baca Juga: Penggunaan Teknologi Digital Menghemat Biaya Operasional Bank Di sisi penyaluran pembiayaan, Rully bilang, MUF juga berhasil menyalurkan pembiayaan baru sebesar Rp 12,5 triliun, angka itu tumbuh 7,8% yoy. Sementara piutang pembiayaan mencapai Rp 33,6 triliun atau naik 17,8% yoy. Lebih lanjut, dia mengatakan bahwa hingga akhir tahun 2024, MUF memproyeksikan BOPO sebesar 82,47% dengan tetap menjaga pertumbuhan indikator-indikator kinerja bisnis maupun kinerja keuangan.     Cek Berita dan Artikel yang lain di Google News",keuangan
Harga Emas Menguat Tipis di Tengah Potensi Pemangkasan Suku Bunga AS,2024-08-21T02:03:13.996Z,"Jumat, 16 Agustus 2024 / 18:02 WIB",Reporter: Anna Suci Perwitasari | Editor: Anna Suci Perwitasari,https:////internasional.kontan.co.id/news/harga-emas-menguat-tipis-di-tengah-potensi-pemangkasan-suku-bunga-as,"KONTAN.CO.ID - LONDON. Harga emas naik tipis pada hari Jumat dan bersiap untuk kenaikan mingguan karena meningkatnya optimisme tentang pemangkasan suku bunga Amerika Serikat (AS) pada bulan September. Jumat (16/8) pukul 17.30 WIB, harga emas spot naik 0,3% ke US$ 2.462,82 per ons troi. Ini membuat emas spot naik lebih dari 1% di sepanjang pekan ini. Sejalan, harga emas berjangka terlihat menguat 0,3% menjadi US$ 2.500,5 per ons troi. ""Pedagang emas berhati-hati minggu ini karena data AS telah sangat menurunkan peluang penurunan suku bunga sebesar 50 bps pada bulan September,"" kata Zain Vawda, analis pasar di MarketPulse by OANDA. Data inflasi AS menunjukkan bahwa emas mungkin memerlukan katalis tambahan untuk melampaui US$ 2.500 per ons troi, meskipun level ini pada akhirnya dapat dicapai, hal itu tidak mungkin terjadi dalam waktu dekat, dengan emas diperkirakan akan tetap berada dalam kisaran US$ 2.360 hingga US$ 2.480, Vawda menambahkan. Baca Juga: Harga Emas Spot Naik ke US$2.462,82 Jumat (16/8) Sore, Menuju Kenaikan Mingguan Data terbaru memulihkan kepercayaan yang telah terguncang oleh laporan ketenagakerjaan yang secara mengejutkan lemah awal bulan ini. Hal itu juga memperkuat optimisme mengenai perbaikan inflasi, sebagaimana dibuktikan oleh rilis indeks harga produsen dan indeks harga konsumen pada bulan Juli minggu ini. Investor yakin bahwa The Fed akan memangkas suku bunga pada tanggal 18 September, tetapi telah memperdebatkan besarnya penurunan tersebut. Peluang saat ini berada di 25% untuk pemotongan 50 basis poin, turun dari 36% sehari sebelumnya, menurut FedWatch Tool dari CME Group. Suku bunga rendah cenderung meningkatkan daya tarik emas batangan yang tidak memberikan imbal hasil. Risalah rapat kebijakan The Fed bulan Juli akan dirilis pada hari Rabu dan Powell akan berbicara tentang prospek ekonomi AS pada hari Jumat mendatang di simposium Jackson Hole.    ",internasional
Harga Emas Spot Menuju Kenaikan Mingguan di Tengah Harapan Pemotongan Suku Bunga AS,2024-08-21T02:03:14.282Z,"Jumat, 16 Agustus 2024 / 11:26 WIB",Sumber: Reuters | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/harga-emas-spot-menuju-kenaikan-mingguan-di-tengah-harapan-pemotongan-suku-bunga-as,"KONTAN.CO.ID - Harga emas stabil pada Jumat (16/8) dan diperkirakan akan mencatat kenaikan mingguan di tengah optimisme mengenai pemotongan suku bunga Amerika Serikat (AS). Sementara para pedagang menunggu pidato Ketua The Fed Jerome Powell yang dijadwalkan minggu depan untuk petunjuk mengenai besaran pemotongan tersebut. Harga emas spot turun 0,2% menjadi US$2.450,91 per ons troi pada pukul 0320 GMT, namun harga telah naik hampir 1% sepanjang minggu ini. Sedangkan, emas berjangka AS juga turun 0,2% menjadi US$2.488,50. Baca Juga: Emas Diprediksi Menguat, tetapi Perak Dibayangi Tekanan Industri Data ekonomi AS minggu ini menghilangkan kekhawatiran tentang resesi, tetapi para pedagang yakin bahwa Fed akan menurunkan suku bunga pada bulan September. Pasar melihat peluang 75% untuk pemotongan sebesar 25 basis poin bulan depan dan peluang 25% untuk pemotongan 50 basis poin, menurut CME FedWatch Tool. Pada awal minggu ini, para pedagang terbagi rata antara dua opsi pemotongan tersebut. ""Prospek bullish untuk emas tetap utuh mengingat perkiraan penurunan suku bunga global. Logam mulia ini masih berpeluang mencapai US$2.500,"" kata Tim Waterer, kepala analis pasar di KCM Trade. ""Tetapi jika permintaan untuk safe haven tidak meningkat, mungkin diperlukan penurunan nilai dolar dan imbal hasil obligasi agar emas dapat mencapai level US$2.500."" Lingkungan suku bunga rendah cenderung meningkatkan daya tarik emas yang tidak memberikan imbal hasil. Baca Juga: Harga Emas Antam Logam Mulia 0,5 Gram Turun Jadi Rp 752,000 Jumat 16 Agustus 2024 Risalah pertemuan kebijakan The Fed bulan Juli akan dirilis pada hari Rabu dan Powell akan berbicara tentang prospek ekonomi AS pada hari Jumat depan di simposium Jackson Hole. Di tempat lain, putaran baru pembicaraan gencatan senjata Gaza sedang berlangsung di Doha. Sementara otoritas kesehatan Palestina melaporkan lebih dari 40.000 kematian dan tekanan untuk mengakhiri perang semakin meningkat. Harga perak spot turun 0,8% menjadi US$28,16 per ons troi, platinum turun tipis 0,1% menjadi US$951,95, dan paladium melemah 0,2% menjadi US$942,64. Semua logam diperkirakan akan mencatat kenaikan mingguan.     Cek Berita dan Artikel yang lain di Google News",investasi
Update Suku Bunga Deposito Bank BNI Hari ini (16 Agustus 2024),2024-08-21T02:03:14.322Z,"Jumat, 16 Agustus 2024 / 08:00 WIB",Reporter: Tri Sulistiowati | Editor: Tri Sulistiowati,https:////keuangan.kontan.co.id/news/update-suku-bunga-deposito-bank-bni-hari-ini-16-agustus-2024,"KONTAN.CO.ID - JAKARTA - Deposito bisa jadi salah satu tempat untuk menyimpan kelebihan uang. Berikut suku bunga bank BNI yang berlaku hari ini, Jumat (16 Agustus 2024). Deposito salah satu produk perbankkan yang dianggap jadul oleh sebagian masyarakat. Di sisi lain, deposito masih menjadi salah satu pilihan sebagian masyarakat untuk menyimpan kelebihan dananya. Baca Juga:  Bank DKI Syariah Ditunjuk Sebagai Bank Penerima Setoran Haji Anda ingin mencoba menempatkan kelebihan dana di deposito? Produk deposito dari Bank Negara Indonesi (BNI) bisa jadi salah satu pertimbangan. Mengutip dari situs resmi Bank BNI, perseroan menawarkan suku bunga deposito yang cukup beragam disesuaikan dengan jangka waktu penempatannya. Bank BNI menawarkan suku bunga deposito mulai dari 2,5% per tahun untuk dana penempatan di bawah Rp 100 juta dengan waktu satu bulan. Suku bunga deposito terbesar yang ditawarkan BNI adalah 3% untuk dana penempatan di bawah Rp 100 juta dengan waktu simpan 24 bulan. Berikut tabel suku bunga deposito BNI yang dikutip langsung dari website resminya per tanggal 16 Agsutus 2024.  Baca Juga: Dukung Inklusi Keuangan Digital, Bank DKI Hadir di FEKDI 2024     Cek Berita dan Artikel yang lain di Google News",keuangan
Prospek Pergerakan Dolar AS di Tengah Peluang Pemangkasan Suku Bunga The Fed,2024-08-21T02:03:14.417Z,"Jumat, 16 Agustus 2024 / 07:15 WIB",Reporter: Akmalal Hamdhi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/prospek-pergerakan-dolar-as-di-tengah-peluang-pemangkasan-suku-bunga-the-fed,"KONTAN.CO.ID – JAKARTA. Dolar Amerika Serikat (AS) diprediksi terus longsor karena tanda-tanda pemangkasan suku bunga kian jelas. Investor sekarang bahkan lebih memperdebatkan besaran pemangkasan suku bunga Federal Reserve (The Fed). Research & Education Coordinator Valbury Asia Futures Nanang Wahyudin mencermati, dolar AS melemah terhadap rivalitas utama disebabkan oleh ekspektasi perlambatan ekonomi AS yang mencuat. Hal itu diawali kemunduran dari angka ketenagakerjaan Amerika, pada Non Farm Payroll (NFP) dan Unemployement Rate bulan Juli lalu. Ekonomi AS yang melambat tersebut menyiratkan segera akan adanya pemangkasan suku bunga the Fed di bulan September. Asumsi itu pun diperkuat data sektor manufaktur yang masih mengalami kontraksi, sehingga melemahkan dolar. “Inflasi konsumen dan produsen AS juga sudah menunjukkan perlambatan, makin menguatkan sinyal pemangkasan the Fed di bulan September,” kata Nanang kepada Kontan.co.id, Kamis (15/8). Adapun data inflasi Consumer Price Index (CPI) AS bulan Juli terpantau lebih rendah ketimbang prediksi pasar. Inflasi CPI Juli tercatat sebesar 0,2%, setelah pada Juni mencatat deflasi. Secara tahunan, inflasi CPI tercatat di angka 2,9%, lebih kecil dibanding bulan sebelumnya dan perkiraan pasar. Baca Juga: Arah Rupiah Menanti Data Penjualan Ritel dan Klaim Pengangguran AS Sementara itu, data Producer Price Index (PPI) AS menunjukkan kenaikan tipis 0,1% secara bulanan pada Juli, setelah meningkat 0,2% pada Juni. PPI tahunan AS hingga Juli tercatat naik 2,2%, lebih rendah daripada 2,7% di bulan sebelumnya. Alhasil indeks dolar AS kembali terpukul ke area 102. Sebelumnya, indeks dolar berdiri tangguh di level kisaran 105-106 selama tahun 2024. Di samping itu, Nanang mengamati, kuatnya potensi suku bunga bank sentral AS akan dipangkas itu semakin diperparah tekanan eskternal. Seperti sikap pengetatan moneter Bank Sentral Jepang (BoJ) yang menaikkan suku bunga acuan, kondisi ini menguntungkan Yen karena permintaan terhadap carry trade, sehingga berdampak pada pelemahan dolar. Nanang berujar, sekarang yang menjadi pertanyaan adalah berapa porsi pemangkasan suku bunga Fed, apakah 50 bps atau 25 bps. Keputusan ini semua akan tergantung bagaimana data terbaru nantinya, baik itu angka ketenagakerjaan di awal September dan inflasi sebelum rapat The Fed pada 18-19 September mendatang. Selain itu, pekan depan bakal ada pertemuan Symposiun Jackshon Hole. Dalam pertemuan tersebut, investor akan mencermati pidato ketua Fed Jerome Powell, apakah menyinggung soal kebijakan pelonggaran moneter. “Bila sinyal pelonggaran cukup kuat di sampaikan Powell maka tekanan dolar pun makin dalam,” imbuh Nanang. Selanjutnya, pergerakan dolar AS akan dipengaruhi oleh sentimen suku bunga dan data ekonomi sebagai tolak ukurnya, serta perkembangan geopolitik di Timur Tengah. Serta, faktor pemilu juga bisa menentukan nasib dolar AS kala berada di bawah pemerintahan baru. Baca Juga: Rupiah Spot Ditutup Melemah ke Rp 15.700 Per Dolar AS Pada Hari Ini (15/8) Chief Economist & Investment Strategist PT Manulife Aset Manajemen Indonesia (MAMI), Katarina Setiawan mengatakan, pelaku pasar memperkirakan BI Rate akan turun 100 bps dan suku bunga The Fed turun sebesar 150 bps hingga akhir 2025. Untuk sisa tahun ini, Bank Indonesia (BI) sendiri kemungkinan akan memangkas suku bunga dua kali di tahun ini dengan besaran masing-masing 25 basis poin (bps). Proyeksi itu sejalan dengan proyeksi Fed Funds Rate (FFR) di pangkas tiga kali tahun ini dan masih berpotensi dilanjutkan hingga tahun 2025. Sementara terkait waktu atau timing pemangkasan suku bunga Fed nantinya akan sangat bergantung pada data-data pertumbuhan ekonomi dan juga data inflasi. Sebab, bank sentral AS itu sangat berhati-hati untuk memutuskan kebijakan moneternya seperti yang telah terlihat berulang kali. Kapan waktu suku bunga dipangkas dan juga besaran pemangkasan suku bunga akan sangat ditentukan data inflasi terbaru yang dikombinasikan dengan data-data pertumbuhan ekonomi diantaranya Unemployment, PMI, hingga Retail Sales. “Yang perlu ditekankan saat ini adalah bahwa puncak suku bunga itu sudah tercapai dan sekarang era siklus baru pemotongan suku bunga,” ujar Katarina dalam market update MAMI yang digelar, Rabu (14/8). Katarina menyoroti, sebagian besar bank sentral utama dunia sudah melakukan pemotongan bunga acuan di tahun ini seperti Swiss, Swedia, Kanada hingga Bank Sentral Eropa (ECB). Sehingga, langkah pemangkasan suku bunga The Fed sebagai bank sentral terbesar dunia dinilai tinggal menunggu waktu saja. Perubahan ekspektasi The Fed yang santer terdengar mulai bulan Juli tersebut pun telah meredakan tekanan bagi rupiah. Hal itu terlihat dari investor asing mulai beli bersih di pasar saham dan obligasi pada Juli, setelah tiga bulan berturut-turut lakukan jual bersih. Selain itu, lanjut Katarina, tekanan Rupiah yang mereda juga diindikasikan oleh rata-rata imbal hasil lelang Sekuritas Rupiah Bank Indonesia (SRBI) yang menurun. Frekuensi lelang SRBI juga berkurang menjadi hanya satu kali dalam seminggu mulai bulan Agustus, dari sebelumnya seminggu dua kali lelang yang menunjukkan BI ingin menjaga rupiah stabil di posisi saat ini. Dari sisi tingkat inflasi domestik, MAMI memandang bahwa inflasi ke depan tetap akan berada di rentang yang ditargetkan Bank Indonesia. Sehingga ruang pemangkasan suku bunga acuan bagi BI cukup besar, walau mungkin tidak akan sebesar penurunan suku bunga The Fed. Baca Juga: Data Inflasi AS Makin Landai, Bitcoin Nantikan Pemangkasan Suku Bunga di September “Besaran pemangkasan suku bunga oleh BI diperkirakan lebih konservatif dibandingkan pemangkasan suku bunga The Fed. Hal tersebut dilakukan untuk memperlebar selisih suku bunga dengan AS demi menjaga stabilitas Rupiah,” jelas Katarina. Manulife Aset menilai, imbal hasil saat ini dianggap masih cukup menarik, di mana selisih imbal hasil SBN 10Y - UST 10Y berada di 288 bps (lebih tinggi dari rata-rata satu tahun sebesar 245 bps). MAMI pun memperkirakan imbal hasil SBN 10 tahun akan berada di kisaran 6,00% – 6,25% hingga akhir tahun ini. Namun demikian, Katarina menuturkan, investor tetap perlu mengantisipasi risiko negatif di antaranya adalah eskalasi mendadak konflik geopolitik dunia, potensi resesi AS, serta kebijakan fiskal domestik. Katarina memperkirakan, Rupiah hingga akhir tahun kemungkinan masih akan berada di kisaran Rp15.400 – 16.000 per dolar AS. Meredanya tekanan pada Rupiah dan kembalinya arus dana asing ke pasar domestik menjadi faktor pendukung. Sementara itu, Nanang melihat, arus masuk atau inflow yang masuk Indonesia bisa membawa rupiah menguat ke Rp 14.600 per dolar AS pada akhir 2024. Level di bawah Rp 15.000 per dolar AS dipandang merupakan nilai wajar bagi Rupiah. Nanang memproyeksi, pelemahan dolar dampak dari pemangkasan suku bunga acuan akan menguntungkan rupiah. Mata uang garuda bakal lebih kuat karena berpotensi lebih banyak arus masuk (inflow) ke Asia, termasuk Indonesia. Kepimpinan baru di Indonesia pada Oktober mendatang turut menjadi daya tarik bagi investor. Investor akan melihat bagaimana susunan kabinet dalam pimpinan presiden Prabowo nanti. Cek Berita dan Artikel yang lain di Google News",investasi
Pejabat The Fed Beri Sinyal Terbuka atas Rencana Penurunan Suku Bunga di September,2024-08-21T02:03:14.640Z,"Kamis, 15 Agustus 2024 / 21:33 WIB",Sumber: Reuters | Editor: Herlina Kartika Dewi,https:////internasional.kontan.co.id/news/pejabat-the-fed-beri-sinyal-terbuka-atas-rencana-penurunan-suku-bunga-di-september,"KONTAN.CO.ID - WASHINGTON. Dua pejabat Federal Reserve pada Kamis (15/8) mendukung kemungkinan penurunan suku bunga pada pertemuan kebijakan bank sentral AS bulan depan. Hal ini membalikkan skeptisisme mereka sebelumnya mengenai penurunan suku bunga yang terlalu cepat. “Sekarang, tampaknya keseimbangan risiko inflasi dan pengangguran telah bergeser… waktunya mungkin sudah dekat ketika penyesuaian terhadap kebijakan yang cukup ketat mungkin tepat,” kata Presiden Fed St. Louis Alberto Musalem dalam sebuah acara di Louisville, Kentucky seperti dikutip dari Reuters, Kamis (15/8). Musalem sebelumnya mengisyaratkan pendekatan yang lebih hati-hati dalam memangkas suku bunga dibandingkan rekan-rekannya. Baca Juga: Tanda-Tanda Suku Bunga Dipangkas Kian Jelas, Dolar AS Diprediksi Terus Longsor Pasar keuangan secara umum memperkirakan The Fed akan menurunkan suku bunga sebesar 0,25% pada pertemuan tanggal 17-18 September, yang akan menandai langkah pertama dalam siklus kebijakan ini. Bank sentral mulai menaikkan suku bunga acuan pinjaman semalam pada bulan Maret 2022, mendorongnya dari level mendekati nol ke kisaran saat ini 5,25%-5,50%. Suku bunga tak berubah dan tetap di level tersebut sejak Juli 2023. Pejabat Fed Atlanta Raphael Bostic, dalam sebuah wawancara yang dipublikasikan di Financial Times, juga mengatakan bahwa ia terbuka terhadap penurunan suku bunga pada pertemuan bulan September, sebuah perubahan dari ekspektasi sebelumnya untuk tahun ini yaitu penurunan suku bunga sebesar 0,25% di kuartal IV-2024. Baca Juga: Dolar AS Diprediksi Loyo, Begini Prediksi Rupiah pada Akhir Tahun “Sekarang inflasi sudah mencapai kisarannya, kita harus melihat sisi lain dari mandat tersebut, dan di sana, kita telah melihat tingkat pengangguran meningkat jauh dari titik terendahnya,” kata Bostic. “Tetapi hal ini membuat saya berpikir tentang waktu yang tepat, jadi saya terbuka untuk sesuatu yang terjadi jika kita bergerak sebelum kuartal keempat.”    ",internasional
