Title,Scrapping Date,Article Date,Author,Link,Content,Category
Catat Tanggalnya! Pemerintah Segera Menawarkan Sukuk Ritel Seri SR021,2024-08-21T01:07:07.895Z,"Jumat, 02 Agustus 2024 / 16:32 WIB",Reporter: Akmalal Hamdhi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/catat-tanggalnya-pemerintah-segera-menawarkan-sukuk-ritel-seri-sr021,"KONTAN.CO.ID – JAKARTA. Pemerintah akan segera menawarkan Sukuk RItel (SR) seri SR021 di bulan Agustus 2024. Minat penjualan terhadap produk Surat Berharga Negara (SBN) ritel diproyeksi tetap tinggi. Direktur Pembiayaan Syariah Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu Tony Prianto mengungkapkan, pemerintah tetap optimistis bahwa minat investor ritel domestik terhadap SR021 akan tetap tinggi. Hal itu berkaca dari penerbitan sebelumnya di tahun ini yang menunjukkan hasil positif di tengah kondisi market relatif belum stabil. Asal tahu saja, sukuk ritel seri sebelumnya yakni SR020 meraup penjualan Rp 21,36 triliun yang ditawarkan Maret 2024. Sementara SBN Ritel sebelumnya yang baru terbit pada awal Juli yaitu SBR013 mencatat penjualan sebesar Rp 19,45 triliun. “SR021 yang merupakan salah satu jenis SBN Ritel yang risikonya relatif sangat kecil dan memiliki karakteristik yang sangat menguntungkan bagi investor ritel,” ujar Tony kepada Kontan.co.id, Jumat (2/8). Baca Juga: Ini Kata Analis Anugerah Sekuritas Soal Potensi Penjualan dan Kupon Sukuk Ritel SR021 Tony menyebutkan, karakter pertama dari SR021 yaitu aman, karena pembayaran pokok dan imbalannya dijamin undang-undang. Kedua, sesuai dengan prinsip syariah, sehingga investor yang memperhatikan shariah compliance tidak perlu khawatir. Ketiga, SR021 mudah dan terjangkau karena minimum pembelian adalah Rp1 juta dan dapat dipesan dengan platform online (e-SBN) kapanpun dan di manapun. Keempat, SR021 dinilai dapat menguntungkan karena SR021 memberikan kupon secara reguler sehingga investor dapat menggunakan imbalan per bulan untuk memenuhi kebutuhan keuangannya secara terencana. Dan kelima, berinvestasi sukuk ritel artinya ikut serta dalam membangun negeri. “Selain itu, SR021 merupakan instrumen yang dapat diperdagangkan di pasar sekunder (tradable), sehingga risiko likuiditas juga dapat diminimalisir,” ujar Tony. Tony menuturkan, untuk masa penawaran SR021 rencananya akan berlangsung pada 23 Agustus hingga 18 September 2024. SR021 merupakan SBN Ritel keempat yang ditawarkan di sepanjang tahun ini, setelah ORI025, SR020, ST012 dan SBR013. Baca Juga: Segera Ditawarkan, Penjualan SR021 Diproyeksi Tembus Rp 24 Triliun Seperti halnya seri-seri SBN Ritel sebelumnya tahun ini, SR021 juga direncanakan terbit dalam dua tranches (tenor). Seri sukuk ritel sebelumnya yakni SR020 ditawarkan dalam dua tenor yakni 3 dan 5 tahun. Sementara itu, Tony menyebutkan, penentuan kupon SR021 akan mempertimbangkan kondisi pasar keuangan terkini, serta sesuai dengan strategi pengelolaan pembiayaan pemerintah dan diharapkan juga masih berada pada level yang masih menarik bagi investor. Sebagai perbandingan, SR020 menawarkan kupon sebesar 6,3% dan 6,4% untuk tenor 3 tahun dan tenor 5 tahun. Sementara, SBR013 yang baru sebelumnya terbit menawarkan kupon 6,45% dan 6,60% untuk masing-masing tenor 2 dan 4 tahun. “Dalam penentuan kupon SR021, seperti biasanya pemerintah akan mempertimbangkan kondisi market teraktual,” pungkas Tony.     Cek Berita dan Artikel yang lain di Google News",investasi
Ini Kata Analis Anugerah Sekuritas Soal Potensi Penjualan dan Kupon Sukuk Ritel SR021,2024-08-21T01:07:08.038Z,"Jumat, 02 Agustus 2024 / 07:10 WIB",Reporter: Akmalal Hamdhi | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/ini-kata-analis-anugerah-sekuritas-soal-potensi-penjualan-dan-kupon-sukuk-ritel-sr021,"KONTAN.CO.ID – JAKARTA. Sukuk Ritel (SR) seri SR021 akan segera diterbitkan pada 23 Agustus - 18 September 2024 (tentative). Penawaran produk Surat Berharga Negara (SBN) Ritel ini diproyeksi masih akan diterima baik oleh masyarakat. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto menilai, potensi penawaran SR021 masih akan baik diterima masyarakat. Hal itu karena pendalaman pasar Surat Berharga Negara (SBN) ritel terus lebih baik. “Dari sisi serapan, saya memperkirakan SR021 bisa mencapai sekitar Rp 15 triliun – Rp 20 triliun,” ujar Ramdhan kepada Kontan.co.id, Kamis (1/8). Baca Juga: Segera Ditawarkan, Penjualan SR021 Diproyeksi Bisa Mencapai Rp 24 Triliun Menurut Ramdhan, kemungkinan penjualan SR021 mencapai Rp 20 triliun sangat terbuka karena sifatnya dapat diperdagangkan (tradable). Ini artinya investor dapat mencairkan atau menjual kepemilikan SBN ritelnya, jika membutuhkan dana cepat. Dari sisi potensi imbal hasil (kupon) SR021, dia memperkirakan, besaran kupon bisa lebih kecil dari seri sebelumnya.  Kupon SR021 mungkin akan berkisar 6,2% - 6,4% per tahun untuk kedua tenor yang akan diterbitkan. Sebagai perbandingan, SR020 menawarkan kupon sebesar 6,3% dan 6,4% untuk tenor 3 tahun dan tenor 5 tahun. Sementara, SBR013 yang baru sebelumnya terbit menawarkan kupon 6,45% dan 6,60% untuk masing-masing tenor 2 dan 4 tahun. Ramdhan memandang, kondisi pasar surat utang terkini sudah cukup membaik yang tercemin dari turunnya yield obligasi. Baca Juga: SR021 Akan Terbit, Intip Perkiraan Kupon dari Analis Walau tidak begitu signifikan, pasar obligasi Indonesia dinilai merespon positif terkait arah suku bunga the Fed dan Bank Indonesia (BI) yang akan bergerak turun. Ramdhan memproyeksi, yield SBN 10 tahun sebagai acuan mungkin akan berkisar 6,7% - 6,8% di akhir 2024. Penguatan pasar obligasi kemungkinan agak terbatasi karena masih adanya ketidakpastian terkait pemilu di Amerika Serikat (AS) dan arah suku bunga Fed yang berubah dari proyeksi awal tahun. Cek Berita dan Artikel yang lain di Google News",investasi
"Segera Terbit di Agustus, Simak Potensi Penjualan dan Kupon Sukuk Ritel SR021",2024-08-21T01:07:08.246Z,"Kamis, 01 Agustus 2024 / 19:28 WIB",Reporter: Akmalal Hamdhi | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/segera-terbit-di-agustus-simak-potensi-penjualan-dan-kupon-sukuk-ritel-sr021,"KONTAN.CO.ID – JAKARTA. Sukuk Ritel (SR) seri SR021 akan segera diterbitkan pada 23 Agustus - 18 September 2024 (tentative). Penawaran produk Surat Berharga Negara (SBN) Ritel ini diproyeksi masih akan diterima baik oleh masyarakat. Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto menilai, potensi penawaran SR021 masih akan baik diterima masyarakat. Hal itu karena pendalaman pasar Surat Berharga Negara (SBN) ritel terus lebih baik. “Dari sisi serapan, saya memperkirakan SR021 bisa mencapai sekitar Rp 15 triliun – Rp 20 triliun,” ujar Ramdhan kepada Kontan.co.id, Kamis (1/8). Baca Juga: Segera Ditawarkan, Penjualan SR021 Diproyeksi Bisa Mencapai Rp 24 Triliun Menurut Ramdhan, kemungkinan penjualan SR021 mencapai Rp 20 triliun sangat terbuka karena sifatnya dapat diperdagangkan (tradable). Ini artinya investor dapat mencairkan atau menjual kepemilikan SBN ritelnya, jika membutuhkan dana cepat. Dari sisi potensi imbal hasil (kupon) SR021, dia memperkirakan, besaran kupon bisa lebih kecil dari seri sebelumnya.  Kupon SR021 mungkin akan berkisar 6,2% - 6,4% per tahun untuk kedua tenor yang akan diterbitkan. Sebagai perbandingan, SR020 menawarkan kupon sebesar 6,3% dan 6,4% untuk tenor 3 tahun dan tenor 5 tahun. Sementara, SBR013 yang baru sebelumnya terbit menawarkan kupon 6,45% dan 6,60% untuk masing-masing tenor 2 dan 4 tahun. Ramdhan memandang, kondisi pasar surat utang terkini sudah cukup membaik yang tercemin dari turunnya yield obligasi. Baca Juga: SR021 Akan Terbit, Intip Perkiraan Kupon dari Analis Walau tidak begitu signifikan, pasar obligasi Indonesia dinilai merespon positif terkait arah suku bunga the Fed dan Bank Indonesia (BI) yang akan bergerak turun. Ramdhan memproyeksi, yield SBN 10 tahun sebagai acuan mungkin akan berkisar 6,7% - 6,8% di akhir 2024. Penguatan pasar obligasi kemungkinan agak terbatasi karena masih adanya ketidakpastian terkait pemilu di Amerika Serikat (AS) dan arah suku bunga Fed yang berubah dari proyeksi awal tahun.     Cek Berita dan Artikel yang lain di Google News",investasi
Adira Finance Telah Terbitkan Obligasi dan Sukuk Senilai Rp 2 Triliun di 2024,2024-08-21T01:07:08.291Z,"Kamis, 01 Agustus 2024 / 10:27 WIB",Reporter: Ferry Saputra | Editor: Anna Suci Perwitasari,https:////keuangan.kontan.co.id/news/adira-finance-telah-terbitkan-obligasi-dan-sukuk-senilai-rp-2-triliun-di-2024,"KONTAN.CO.ID - JAKARTA. PT Adira Dinamika Multi Finance Tbk (Adira Finance) telah terbitkan obligasi dan sukuk dengan nilai total mencapai Rp 2 triliun sepanjang tahun berjalan 2024. Chief of Financial Officer Adira Finance Sylvanus Gani mengatakan, penerbitan surat utang itu sesuai dengan keterbukaan informasi yang telah disampaikan oleh perusahaan. Di mana, Adira Finance telah menerbitkan Obligasi Berkelanjutan VI Tahap III Tahun 2024 dengan jumlah pokok Rp 1,6 triliun. ""Selain itu, Sukuk Mudharabah Berkelanjutan V Tahap III Tahun 2024 dengan jumlah dana sebesar Rp 400 miliar,"" ujarnya kepada Kontan, Rabu (31/7). Terkait rencana penerbitan obligasi dan sukuk selanjutnya, Gani menyebut perusahaan akan terus mengamati kondisi bisnis terkini dan kebutuhan pendanaan ke depannya sebelum mengambil keputusan. Baca Juga: Laba Adira Finance (ADMF) Turun 6,5% di Semester I-2024 Sebelumnya, PT Pemeringkat Efek Indonesia (Pefindo) mengatakan, nilai penerbitan surat utang oleh industri multifinance mencapai Rp 13,24 triliun selama semester I-2024. Kepala Divisi Riset Ekonomi Pefindo Suhindarto menyebut, nilai tersebut menjadi yang terbesar dibandingkan dengan industri lainnya. Posisi berikutnya diisi industri pulp dan kertas senilai Rp 12,75 triliun, serta lembaga keuangan khusus sebesar Rp 7,68 triliun. Suhindarto menerangkan, sepanjang semester I-2024, terdapat 8 perusahaan multifinance yang melakukan penerbitan surat utang. Adapun penerbitan terbesar dilakukan oleh Indomobil Finance Indonesia yang menerbitkan surat utang korporasi sekitar Rp 2,83 triliun. Diikuti Astra Sedaya Finance sebesar Rp 2,5 triliun, serta Federal International Finance dan Adira Dinamika Multifinance yang masing-masing menerbitkan Rp 2 triliun. Pefindo memperkirakan penerbitan surat utang multifinance akan lebih semarak pada kuartal III-2024. Suhindarto menyebut hal itu berdasarkan pada surat utang jatuh tempo pada kuartal III dan kuartal IV-2024 yang lebih besar, dibandingkan dengan kuartal I dan kuartal II-2024. ""Adapun surat utang jatuh tempo berdasarkan industri multifinance pada kuartal III-2024 sebesar 6,79 triliun dan kuartal IV-2024 sebesar Rp 6,08 triliun,"" kata Suhindarto. Cek Berita dan Artikel yang lain di Google News",keuangan
"Pemerintah Terima Penawaran Masuk Rp 24,68 Triliun pada Lelang Sukuk, Selasa (30/7)",2024-08-21T01:07:08.487Z,"Selasa, 30 Juli 2024 / 17:31 WIB",Reporter: Akmalal Hamdhi | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/pemerintah-terima-penawaran-masuk-rp-2468-triliun-pada-lelang-sukuk-selasa-307,"KONTAN.CO.ID – JAKARTA. Pemerintah telah melaksanakan lelang Surat Berharga Syariah Negara (SBSN) atau Sukuk negara pada Selasa (30/7). Terdapat tujuh seri yang ditawarkan pada lelang sukuk tersebut yakni dua seri SPN-S (Surat Perbendaharaan Negara - Syariah) dan lima seri PBS (Project Based Sukuk). Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan mengungkapkan, total penawaran masuk pada lelang sukuk pekan keempat Juli ini sebesar Rp 24,68 triliun. Dari total penawaran masuk, pemerintah memenangkan penawaran sesuai target indikatif yakni sebesar Rp 8 triliun. Dari ketujuh seri SBSN yang ditawarkan, PBS032 merupakan seri yang paling laris diburu dengan total penawaran masuk tertinggi. Seri PBS032 sekaligus menjadi seri dengan nominal tertinggi yang dimenangkan oleh pemerintah. Baca Juga: Pemerintah Lelang 7 Seri Sukuk, Target Indikatif Rp 10 Triliun pada Selasa (16/7) Adapun berikut hasil lelang Surat Berharga Syariah Negara alias Sukuk Negara pada Selasa (30/7). Simak ulasannya. 1) SPNS02022025 catat penawaran masuk sebesar Rp 2,05 triliun, namun tidak ada penawaran yang dimenangkan untuk seri ini. SPNS02022025 akan jatuh tempo pada 2 Februari 2025 dengan tingkat imbalan diskonto. 2) SPNS29052025 catat penawaran masuk sebesar Rp 3.75 triliun dengan jumlah penawaran dimenangkan sebesar Rp 1 triliun.  Yield rata-rata tertimbang yang dimenangkan seri SPNS29052025 sebesar 6,70%. Seri ini akan jatuh tempo pada 29 mei 2025 dengan tingkat imbalan diskonto. 3) PBS032 mencatatkan penawaran masuk sebesar Rp 6,37 triliun dengan jumlah penawaran dimenangkan Rp 2,1 triliun untuk seri ini. Yield rata-rata tertimbang yang dimenangkan seri PBS032 sebesar 6,72%. PBS032 akan jatuh tempo pada 15 Juli 2026 dengan tingkat imbalan 4,87%. Baca Juga: Reksadana Pasar Uang dan Deposito Jadi Opsi Menarik Investasi Jangka Pendek 4) PBS030 mencatatkan penawaran masuk sebesar Rp 2,30 triliun dengan jumlah penawaran dimenangkan sebesar Rp 1,95 triliun. Yield rata-rata tertimbang yang dimenangkan seri PBS030 sebesar 6,73%. Seri ini akan jatuh tempo pada 15 Juli 2028 dengan tingkat imbalan sebesar 5,87%. 5) PBSG001 mencatatkan penawaran masuk sebesar Rp 4,09 triliun dengan nominal penawaran yang dimenangkan untuk seri ini Rp 1,25 triliun. Yield rata-rata tertimbang yang dimenangkan seri PBSG001 sebesar 6,74%. Seri PBSG001 akan jatuh tempo pada 15 September 2029 dengan tingkat imbalan sebesar 6,62%. 6) PBS004 mencatatkan penawaran masuk sebesar Rp 0,80 triliun dengan jumlah penawaran dimenangkan sebesar Rp 0,65 triliun. Yield rata-rata tertimbang yang dimenangkan seri PBS004 sebesar 6,95%. Seri ini akan jatuh tempo pada 15 Februari 2037 dengan tingkat imbalan sebesar 6,10%. 7) PBS038 mencatatkan penawaran masuk sebesar Rp 5,30 triliun dengan jumlah penawaran dimenangkan untuk seri ini sebesar Rp 1,05 triliun.  Yield rata-rata tertimbang yang dimenangkan seri PBS038 sebesar 7,09%. Seri ini akan jatuh tempo pada 15 Desember 2049 dengan tingkat imbalan sebesar 6,87%. Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah Lelang 7 Seri Sukuk pada Selasa (30/7), Target Indikatif Rp 8 Triliun",2024-08-21T01:07:08.782Z,"Senin, 29 Juli 2024 / 17:07 WIB",Reporter: Akmalal Hamdhi | Editor: Handoyo .,https:////nasional.kontan.co.id/news/pemerintah-lelang-7-seri-sukuk-pada-selasa-307-target-indikatif-rp-8-triliun,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Berharga Syariah Negara (SBSN) atau Sukuk Negara pada Selasa, 30 Juli 2024. Pemerintah menetapkan target indikatif sebesar Rp 8 triliun pada lelang sukuk kali ini. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat tujuh (7) seri sukuk yang akan dilelang, yakni dua seri SPN-S (Surat Perbendaharaan Negara - Syariah) dan lima seri PBS (Project Based Sukuk). Pada lelang ini kembali ditawarkan seri PBSG001 yang merupakan seri green sukuk yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri Green Sukuk melalui lelang ini melengkapi program penerbitan Green sukuk yang sudah dilakukan sebanyak 7 kali di pasar global sejak tahun 2018 dan 7 kali di pasar domestik melalui green sukuk ritel sejak tahun 2019. Baca Juga: Utang Pemerintah Naik Lagi, Per Juni 2024 Tembus Rp 8.444,87 Triliun Seri PBSG001 juga dapat digunakan untuk mendukung program RPIM (Rasio Pembiayaan Inlkusif Makropudensial) bagi Bank Umum Konvensional, Bank Umum Syariah, dan Unit Usaha Syariah. Lelang SBSN akan dibuka pada hari Selasa, 30 Juli 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 1 Agustus 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Adapun dana yang diperoleh dalam lelang sukuk ini nantinya akan digunakan pemerintah untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Baca Juga: Pasar Modal Syariah Bertumbuh, Bank Syariah Incar Dana Nasabah Kaya Berikut ketujuh seri sukuk yang akan dilelang pada Selasa (30/7).  Cek Berita dan Artikel yang lain di Google News",nasional
"PNM Hentikan PUB Sukuk Mudharabah Berkelanjutan I, Ini Alasannya",2024-08-21T01:07:08.829Z,"Selasa, 16 Juli 2024 / 15:12 WIB",Reporter: Adrianus Octaviano | Editor: Noverius Laoli,https:////keuangan.kontan.co.id/news/pnm-hentikan-pub-sukuk-mudharabah-berkelanjutan-i-ini-alasannya,"KONTAN.CO.ID - JAKARTA. PT Permodalan Nasional Madani (PNM) telah menghentikan Penawaran Umum Berkelanjutan (PUB) Sukuk Mudharabah Berkelanjutan I. Di mana, PUB tersebut telah dilakukan sejak 30 Juni 2021. Berdasarkan keterbukaan informasi (15/7), PNM melaporkan bahwa selama periode PUB I tersebut, perusahaan telah berhasil menerbitkan Sukuk Mudharabah Berkelanjutan tahap I sampai tahap III dengan jumlah dana yang dihimpun sebesar Rp 5,22 triliun. Seperti diketahui, target awal dari PUB milik anak usaha BRI Group ini bisa menghimpun dana mencapai Rp 6 triliun. Itu berarti, jumlah target dana yang tidak terhimpun dari PUB I ini senilai Rp 778,1 miliar. Baca Juga: PNM Dorong Nasabah Manfaatkan Hobi untuk Meraup Cuan Adapun, keterbukaan informasi tersebut mengungkapkan tidak tercapainya target dana yang akan dihimpun disebabkan oleh kondisi pasar modal Indonesia yang kurang kondusif serta penyesuaian kebutuhan sumber pendanaan perseroan. Sebelumnya, langkah penghentian PUB juga dilakukan oleh induk usaha PNM, yaitu PT Bank Rakyat Indonesia Tbk (BRI). Bank tersebut menghentikan penawaran umum obligasi berwawasan lingkungan berkelanjutan I tahun 2022 yang masih memiliki sisa plafon senilai Rp 1,5 triliun. Baca Juga: PNM Dukung Penyandang Disabilitas Mengembangkan Usaha Namun, alasan yang diberikan berbeda sebab BRI memilih menghentikan penerbitan obligasi lantaran akan mempengaruhi cost of fund penerbitan surat berharga. Oleh karena itu, penerbitan instrumen jangka panjang saat ini dinilai kurang optimal bagi BRI. Alasan lain BRI adalah pengelolaan aset treasury yang jatuh tempo di tahun 2024 akan difokuskan untuk memenuhi kebutuhan likuiditas kegiatan usaha BRI.     Cek Berita dan Artikel yang lain di Google News",keuangan
"Prospek Kupon Sukuk Ritel Seri 021 Bisa Sampai 6,7%",2024-08-21T01:07:09.156Z,,Premium User Only,https:////insight.kontan.co.id/news/prospek-kupon-sukuk-ritel-seri-021-bisa-sampai-67,Premium Content - Not Scraped,insight
Ini 7 Seri Sukuk yang Dilelang Pemerintah Selasa (16/7),2024-08-21T01:07:09.300Z,"Senin, 15 Juli 2024 / 10:05 WIB",Reporter: Akmalal Hamdhi | Editor: Handoyo .,https:////nasional.kontan.co.id/news/ini-7-seri-sukuk-yang-dilelang-pemerintah-selasa-167,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Berharga Syariah Negara (SBSN) atau Sukuk Negara pada Selasa, 16 Juli 2024, dengan target indikatif sebesar Rp 10 triliun. Menurut keterangan dari Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, lelang kali ini akan mencakup tujuh seri sukuk, yang terdiri dari dua seri SPN-S (Surat Perbendaharaan Negara - Syariah) dan lima seri PBS (Project Based Sukuk). Detail Lelang SBSN:  Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 Seri Sukuk yang Akan Dilelang:  Dana yang diperoleh dari lelang sukuk ini akan digunakan pemerintah untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024.     Cek Berita dan Artikel yang lain di Google News",nasional
"Pemerintah Lelang 7 Seri Sukuk, Target Indikatif Rp 10 Triliun pada Selasa (16/7)",2024-08-21T01:07:09.501Z,"Minggu, 14 Juli 2024 / 17:22 WIB",Reporter: Akmalal Hamdhi | Editor: Handoyo .,https:////investasi.kontan.co.id/news/pemerintah-lelang-7-seri-sukuk-target-indikatif-rp-10-triliun-pada-selasa-167,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Berharga Syariah Negara (SBSN) atau Sukuk Negara pada Selasa, 16 Juli 2024, dengan target indikatif sebesar Rp 10 triliun. Menurut keterangan dari Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, lelang kali ini akan mencakup tujuh seri sukuk, yang terdiri dari dua seri SPN-S (Surat Perbendaharaan Negara - Syariah) dan lima seri PBS (Project Based Sukuk). Detail Lelang SBSN:  Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.353,02 Triliun per Mei 2024 Seri Sukuk yang Akan Dilelang:  Dana yang diperoleh dari lelang sukuk ini akan digunakan pemerintah untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024.     Cek Berita dan Artikel yang lain di Google News",investasi
