Title,Scrapping Date,Article Date,Author,Link,Content
Bos BEI Ungkap Penyebab Volatilitas Pasar Modal: Bunga Tinggi hingga Komposisi Kabinet,2024-08-19T18:49:29.297Z,12 August 2024 20:50 WIB,Fahmi Ahmad Burhan,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20240812%2F7%2F1790312%2Fbos-bei-ungkap-penyebab-volatilitas-pasar-modal-bunga-tinggi-hingga-komposisi-kabinet,"Bisnis.com, JAKARTA – Direktur Utama PT Bursa Efek Indonesia (BEI) Iman Rachman mengungkapkan pasar modal RI masih terjadi volatilitas disebabkan sejumlah sentimen seperti tren suku bunga acuan yang tinggi hingga 'wait and see' komposisi kabinet pemerintahan baru Prabowo-Gibran. 
Menurutnya rata-rata nilai transaksi harian (RNTH) di pasar modal fluktuatif. Adapun, hingga 9 Agustus 2024, RNTH di pasar modal telah mencapai Rp11,8 triliun per hari. 
Indeks harga saham gabungan (IHSG) pun mencatatkan penurunan 0,22% sepanjang tahun berjalan (year to date/ytd).
""Hingga akhir 2024 kinerja pasar modal terpengaruh isu yang terjadi baik domestik maupun global,"" kata Iman dalam konferensi pers 47 tahun diaktifkannya kembali pasar modal Indonesia pada Senin (12/8/2024).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Sentimen yang memengaruhi di antaranya pelemahan nilai tikar rupiah terhadap dolar Amerika Serikat (AS) serta kebijakan suku bunga acuan yang ketat. ""Selain itu, wait and see para investor terkait komposisi kabinet,"" ujar Iman.
Sentimen global lainnya pun memengaruhi seperti kondisi geopolitik hingga Pilpres di AS. ""Bisa dibandingkan, ini sangat fluktuatif, tapi percaya bahwa sesuai masterplan, kebijakan kami diharapkan berdampak positif terhadap likuiditas di pasar,"" tutur Iman.Baca JugaIHSG Tembus 7.297 saat HUT ke-47 Pasar Modal, Saham DSSA - BREN Pesta CuanHUT ke-47 Pasar Modal, Bos OJK Dorong Pengembangan ESGKetua AEI Armand Hartono hingga Menko Airlangga Ungkap Harapan untuk Pasar Modal Indonesia
BEI sendiri menargetkan untuk meraup 2 juta investor di pasar modal pada tahun ini dengan RNTH mencapai Rp12,25 triliun per hari. 
""Sekarang masih di bawah target. Perlu waktu, kami menerbitkan beberapa instrumen. Ini bisa dicapai sampai akhir tahun dan perlu ekosistem,"" kata Iman.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Mengintip Isi Portofolio Reksa Dana Saham Paling Cuan,2024-08-19T18:49:29.646Z,05 July 2024 10:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20240705%2F92%2F1779666%2Fmengintip-isi-portofolio-reksa-dana-saham-paling-cuan,"Bisnis.com, JAKARTA — Tingginya volatilitas di pasar saham membuat kinerja reksa dana dengan underlying asset saham mayoritas ikut memerah. Meski begitu, Infovesta Utama mencatat ada dua produk reksa dana saham yang mencetak return dobel digit sepanjang semeter I/2024. Pada Januari—Juni 2024, indeks harga saham gabungan (IHSG) melemah 2,88%. Pada saat yang sama, Infovesta 90 Equity Fund Index yang menggambarkan kinerja reksa dana saham pilihan terpuruk lebih dalam."
TRANSAKSI SAHAM : Manuver Taktis Investor Strategis,2024-08-19T18:49:30.028Z,27 June 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240627%2F244%2F1777432%2Ftransaksi-saham-manuver-taktis-investor-strategis,
DINAMIKA PASAR SAHAM : Sinyal Waspada dari Sekuritas Global,2024-08-19T18:49:30.314Z,13 June 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240613%2F244%2F1773867%2Fdinamika-pasar-saham-sinyal-waspada-dari-sekuritas-global,
"Kebijakan Suku Bunga dan Leasing Bikin Pasar Otomotif Loyo, Begini Penjelasan Suzuki",2024-08-19T18:49:30.722Z,28 May 2024 18:11 WIB,Nuhansa Mikrefin Yoedo Putra,https://search.bisnis.com/link?url=https%3A%2F%2Fotomotif.bisnis.com%2Fread%2F20240528%2F46%2F1769088%2Fkebijakan-suku-bunga-dan-leasing-bikin-pasar-otomotif-loyo-begini-penjelasan-suzuki,"Bisnis.com, JAKARTA — Volatilitas dari pergerakan suku bunga acuan dinilai menjadi salah satu biang kerok lesunya pasar otomotif pada awal 2024. Sebagai solusi, Suzuki menilai agar kebijakan moneter setidaknya bisa dijaga agar tetap stabil.
4W Marketing Director Suzuki Indomobil Sales, Harold Donnel menjelaskan kunci dari pasar otomotif bukanlah meningkatkan penjualan, tetapi menjaga keseimbangan antara permintaan, dan pasokan secara beriringan.
Beberapa faktor yang membuat pasar otomotif lesu pada awal tahun ini adalah perubahan teknis dari NIK 2023 menjadi 2024, komposisi, BBNKB, hingga efek Pemilu 2024.
Menurutnya, Pemilu 2024 membuat konsumen cenderung menahan pembelian mobil, plus imbas kebijakan suku bunga kredit untuk kendaraan.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Di sisi lain, suku bunga acuan dari Bank Indonesia atau BI terkait kondisi perekonomian saat ini terbilang volatil terlebih adanya pengaruh dari Federal Reserve atau the Fed.
Sementara banyak lembaga keuangan termasuk perbankan juga harus menentukan suku bunga untuk kredit kendaraan bermotor dengan melakukan profiling terhadap nasabah melalui metode 5C (character, capacity, capital, collateral, dan condition).Baca JugaBegini Siasat Suzuki Layani Penjualan Mobil di Indonesia TimurJejak Suzuki di RI, dari Mesin Tenun Majalaya hingga Motor 'Pak Pos'Ekspor Mobil Suzuki ke Asean Melemah, Ini Biang Keroknya
Hal ini juga memiliki hubungan erat dengan lembaga keuangan yang harus menjaga non-performing finance/loan (NPF/NPL) untuk keberlangsungan perusahaan masing-masing.
“Kunci mengembangkan kesehatan industri otomotif adalah suku bunga BI yang stabil. Kenaikan hanya 10 atau 15 basis poin itu sangat berpengaruh,” katanya saat melakukan kunjungan di Bisnis Indonesia, Selasa (28/5/2024).
Sementara itu, agen pemegang merek atau APM akan menerapkan strategi dengan menggencarkan inovasi, teknologi, hingga program menarik untuk memacu minat masyarakat dalam membeli mobil baru.
Momentum lain yang diharapkan dapat mengerek industri otomotif Tanah Air adalah pameran Gaikindo Indonesia International Auto Show atau GIIAS 2024, dan juga Gaikindo Jakarta Auto Week atau GJAW.
Berdasarkan data Gabungan Industri Kendaraan Bermotor Indonesia atau Gaikindo, penjualan mobil Suzuki secara wholesales mencapai 22.785 unit pada Januari-April 2024, turun 15,9% dari 27.104 unit dibandingkan April 2023.
Merek Suzuki juga menduduki peringkat keenam penjualan terbanyak sepanjang Januari-April 2024 dengan pangsa pasar sekitar 8,6%.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
PENGGALANGAN DANA : Dilema Aksi Korporasi Kala Pasar Koreksi,2024-08-19T18:49:31.014Z,14 May 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240514%2F244%2F1765329%2Fpenggalangan-dana-dilema-aksi-korporasi-kala-pasar-koreksi,
"Kondisi Kredit, NPL, hingga NIM Bank Terbaru saat Volatilitas Global Membayangi",2024-08-19T18:49:31.376Z,13 May 2024 15:45 WIB,Arlina Laras,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240513%2F90%2F1764947%2Fkondisi-kredit-npl-hingga-nim-bank-terbaru-saat-volatilitas-global-membayangi,"Bisnis.com, JAKARTA -- Otoritas Jasa Keuangan (OJK) menyebut kredit per Maret 2024 tumbuh dobel digit, sebesar 12,4% secara tahunan menjadi Rp7.245 triliun secara tahunan. Angka ini naik secara bulanan, dari Februari 2024 yang mencapai 11,28%. 
Kepala Eksekutif Pengawas Perbankan OJK Dian Ediana Rae mengatakan di tengah volatilitas pasar keuangan global, kinerja industri perbankan menunjukkan kondisi resilien dan stabil. 
“Profitabilitas perbankan yang tercermin dari return on asset [ROA] berada di level 2,62% per Maret 2024, naik 2,52% dari bulan sebelumnya. Lalu net interest margin [NIM] mejadi 4,59% dari bulan sebelumnya 4,49%,” ujarnya dalam paparan RDKB, Senin (13/5/2024)
Lebih lanjut, permodalan atau capital adequacy ratio (CAR) perbankan berada pada level 26% per Maret 2024, dari 27,72% pada Februari 2024. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
“Bantalan mitigasi risiko [perbankan] cukup solid di tengah kondisi ketidakpastian global saat ini,” ucapnya. 
Adapun, Dana Pihak Ketiga (DPK) juga secara bulanan tumbuh positif. Pada Maret 2024 DPK tercatat mencapai 1,9% (month to month/Mtm) dari sebelumnya 0,3%. Adapun, secara tahunan DPK tumbuh 7,44% menjadi Rp8.601 triliun dari sebelumnya Rp8.006 triliun. Baca JugaNPL Perbankan Naik Februari 2024, OJK: Masih ManageableKredit Perbankan Kuartal II/2024 Diproyeksi Seret, Ada Apa?Adu Tebal Transaksi Perbankan Kuartal I/2024, Digital Vs Kartu ATM
Likuiditas industri perbankan pada Maret 2024 memadai dengan rasio-rasio likuiditas yang masih jauh di atas level kebutuhan pengawasan.
Rasio Alat Likuid/Non-Core Deposit (AL/NCD) dan Alat Likuid/Dana Pihak Ketiga (AL/DPK) masing-masing menjadi 121,05% dan 27,18% atau jauh di atas threshold masing-masing sebesar 50% dan 10%.
Rasio kredit bermasalah atau nonperforming loan (NPL) gross 2,25% per Maret 2024, turun dibandingkan dengan Februari 2024 2,35%. Kemudian NPL net 0,77% per Maret 2024 dari bulan sebelumnya 0,82%.
“Adapun, kondisi volatilitas nilai tukar tupiah secara relatif tidak langsung memberikan pengaruh signifikan pada permodalan bank, mengingat posisi devisa neto perbankan [PDN] pada level 1,66%,” ucapnya. 


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"OJK Ungkap Pasar Pesimistis The Fed Pangkas Bunga Acuan dalam Waktu Dekat, Minta Bank Cs Lakukan Stress Test",2024-08-19T18:49:31.712Z,13 May 2024 14:32 WIB,Anggara Pernando,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240513%2F11%2F1764926%2Fojk-ungkap-pasar-pesimistis-the-fed-pangkas-bunga-acuan-dalam-waktu-dekat-minta-bank-cs-lakukan-stress-test,"Bisnis.com, JAKARTA -- Otoritas Jasa Keuangan (OJK) menyebut pasar keuangan pesimis bank sentral Amerika Serikat, The Fed, akan melakukan pemangkasan suku bunga acuan dalam waktu dekat. Sementara kekuatan ekonomi dunia lainnya, yakni Inggris dan daratan Eropa akan bertindak sebaliknya akibat masih lemahnya ekonomi dan tingginya inflasi.
Mahendra Siregar, Ketua Dewan Komisioner Otoritas Jasa Keuangan (OJK) menyatakan ekspektasi terhadap pemotongan suku bunga oleh Federal Reserve (The Fed) Amerika Serikat telah berkurang. Hal ini menyebabkan dampak signifikan terhadap pasar global, termasuk Bank Sentral Eropa dan Inggris yang kini berada dalam dilema karena masih mengalami pertumbuhan ekonomi yang rendah dan inflasi yang tinggi.
""[Tapi pelaku] pasar mengekespektasikan bank sentral ini [Inggris dan Eropa] akan menurunkan suku bunga untuk memacu ekonomi masing-masing,"" kata Mahendra dalam Konferensi Pers RDK Bulanan (RDKB) April 2024, Senin (13/5/2024). 
Mahendra menyebutkan pasar pun mulai mengantisipasi langkah-langkah dari bank sentral tersebut
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
.
Sementara itu di sisi domestik, terjadi peningkatan inflasi inti yang mengindikasikan adanya peningkatan permintaan. Sebagai contoh, sektor manufaktur mencatat peningkatan kinerja yang menggembirakan.Baca JugaCara Melunasi Jeratan Utang Pinjol, Anti Gagal Bayar (Galbay)!Crazy Rich Chairul Tanjung Kendalikan 5 Bank (Mega, Allo Bank, Hingga Sulutgo), Intip Laba pada Awal 2024Bunga Deposito Bank Digital Tembus 9%, Intip Proyeksinya Setelah BI Rate Naik
Namun, dengan berbagai faktor yang mempengaruhi seperti Pemilu 2024 dan Ramadan, Mahendra mengingatkan pelaku pasar perlu mencermati potensi normalisasi pertumbuhan ekonomi serta dampaknya terhadap harga komoditas.
Dalam menghadapi dinamika global dan tantangan ekonomi Tanah Air ini, Mahendra mengklaim OJK telah mengambil langkah-langkah proaktif dengan menerapkan kebijakan uji ketahanan terhadap industri jasa keuangan. Langkah ini diharapkan dapat mengurangi risiko finansial yang mungkin timbul.
OJK juga terus meminta sektor keuangan untuk melakukan mitigasi dan pemantauan kondisi secara berkala. Selain itu, koordinasi yang erat dengan Kementerian Koordinator bidang Perekonomian diharapkan dapat melahirkan kebijakan yang tepat guna dan tepat waktu, sesuai dengan dinamika ekonomi global yang terus berubah.
""OJK mengambil kebijakan uji ketahanan (stress test) terhadap industri jasa keuangan [bank, multifinance, dan lembaga keuangan lainnya], agar semua risiko keuangan dapat termitigasi dengan baik,"" katanya.



                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Rupiah Dekati Rp16.000, AMRO Sebut BI Perlu Pertahankan Kebijakan Moneter Ketat",2024-08-19T18:49:32.056Z,04 April 2024 12:54 WIB,Maria Elena,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240404%2F11%2F1755507%2Frupiah-dekati-rp16000-amro-sebut-bi-perlu-pertahankan-kebijakan-moneter-ketat,"Bisnis.com, JAKARTA – ASEAN+3 Macroeconomic Research Office (AMRO) memperkirakan volatilitas arus modal masih akan berlanjut di pasar negara berkembang, termasuk Indonesia. Di pasar spot, kondisi ini telah menekan nilai tukar rupiah ke level Rp15.898,5 per dolar AS pada Kamis (4/4/2024) pada pukul 12.46 WIB.
Sebagai pembanding, APBN 2024 mematok nilai tukar rupiah Rp15.000 per dolar.
“Seperti negara-negara lain di kawasan, pasar keuangan Indonesia mungkin akan terkena dampak negatif dari kampanye pemilihan presiden AS,” sebut AMRO dalam Laporan Konsultasi Tahunan 2023, dikutip Kamis (4/4/2024).
Menurutnya arah kebijakan moneter ketat di Amerika Serikat (AS) masih akan berkepanjangan, meski risiko telah menurun dengan berakhirnya kenaikan suku bunga oleh Federal Reserve.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
AMRO menilai, bauran kebijakan Bank Indonesia saat ini perlu terus dilanjutkan mempertimbangkan ketidakpastian global yang sedang berlangsung. 
Selain itu, Bank Indonesia (BI) juga dinilai perlu mempertahankan kebijakan moneter ketat, terutama dengan adanya risiko lonjakan pada harga pangan dan bahan bakar global, serta arus modal keluar yang berlanjut.Baca JugaJadwal Penukaran Uang di Bank Indonesia Jelang Lebaran 2024 di Jateng, Jatim, Hingga JabarQRIS Segera Bisa Digunakan di Brunei Darussalam hingga Laos, Selamat Tinggal Kurs DolarBank Indonesia Rombak Satuan Kerja, Hilman Tisnawan dan Budiyono Promosi Menjadi Kepala Departemen
“Karena risiko lonjakan harga pangan dan bahan bakar global, serta volatilitas aliran modal di negara-negara berkembang masih terus berlanjut, mempertahankan sikap kebijakan moneter ketat saat ini mungkin diperlukan untuk beberapa waktu ke depan,” sebut AMRO.
Dengan skenario perlambatan ekonomi global secara tajam, para pembuat kebijakan dinilai harus tetap mencermati risiko terkait stabilitas makro-keuangan, sembari bersiap memberikan dukungan untuk menopang pemulihan ekonomi.
Di sisi fiskal, AMRO juga menilai, pemerintah perlu mendorong peningkatan pendapatan negara untuk memenuhi kebutuhan belanja yang lebih tinggi dengan tetap menerapkan disiplin fiskal. 
Terkait pengelolaan utang, upaya untuk memperdalam pasar obligasi pemerintah dan memperluas basis investor juga dinilai sangat penting guna meningkatkan akses pembiayaan dan menurunkan biaya pinjaman.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
STRATEGI INVESTASI : Celah Akumulasi Blue Chips,2024-08-19T18:49:32.391Z,03 April 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240403%2F244%2F1755170%2Fstrategi-investasi-celah-akumulasi-blue-chips,
