Title,Scrapping Date,Article Date,Author,Link,Content
INSTRUMEN INVESTASI  : Menilik Anomali Pasar Obligasi,2024-08-19T15:14:53.425Z,11 July 2024 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20240711%2F244%2F1781237%2Finstrumen-investasi-menilik-anomali-pasar-obligasi,
"Yield Obligasi Naik, MSIG Life (LIFE) Lirik Investasi ke SBN",2024-08-19T15:14:53.836Z,30 May 2024 19:55 WIB,Pernita Hestin Untari,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240530%2F215%2F1769854%2Fyield-obligasi-naik-msig-life-life-lirik-investasi-ke-sbn,"Bisnis.com, JAKARTA — Perusahaan asuransi jiwa PT MSIG Life Insurance Indonesia Tbk. (LIFE) akan meningkatkan alokasi investasi pada instrumen Surat Berharga Negara (SBN) seiring naiknya imbal hasil atau yield obligasi pemerintah di tengah kenaikan suku bunga acuan. 
Head of Customer and Marketing MSIG Life Lukman Auliadi mengungkap yield SBN dengan tenor 10 tahun saat ini berada pada kisaran level 6,80%—6,90%. 
“Ini dapat menjadi peluang bagi perusahaan untuk rebalancing di tengah valuasi yang atraktif,” kata Lukman saat dihubungi Bisnis pada Kamis (30/5/2024). 
Lukman mengatakan perseroan melihat kenaikan suku bunga di Indonesia sejak Oktober 2023 merupakan langkah Bank Indonesia (BI) dalam stabilitas nilai tukar rupiah terhadap dolar Amerika, di tengah tingginya arus keluar dari Indonesia. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Menurutnya, tingginya arus keluar investor asing merupakan akibat meningkatnya kekhawatiran investor pasca ketidakpastian pemangkasan suku bunga dan tone dari The Fed untuk menahan suku bunga di level lebih tinggi lebih lama “higher for longer”. 
Faktor lainnya, lanjutnya, tak lepas dari eskalasi konflik di Timur Tengah antara Israel dan Hamas.Baca JugaBNI Life Ungkap Kenaikan Suku Bunga Pengaruhi Yield ObligasiMSIG Life Gandeng Bank BJB Sasar Market Asuransi Jiwa bagi Milenial
Akibatnya, lanjut dia yield obligasi naik dan harga-harga saham turun secara umum. Dia memberi contoh yield obligasi SBN 10 tahun naik dari 6.6% menjadi 7.0% pada akhir April 2024, kenaikan yield tersebut menandakan turunnya harga obligasi. 
“IHSG juga turun dari level 7.200 ke level terendahnya di 7.036 pada bulan April 2024,” kata Lukman.
Dikutip dari laporan keuangan MSIG Life pada April 2024 pada laman resminya, jumlah aset investasi MSIG mencapai Rp12,17 triliun. 
Adapun, penempatan investasi paling banyak mencapai Rp6,2 triliun pada SBN, obligasi korporasi sebanyak Rp2,23 triliun, serta saham Rp1,96 triliun. Sementara itu, hasil investasi yang dibukukan mencapai Rp183 miliar pada April 2024


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
BNI Life Ungkap Kenaikan Suku Bunga Pengaruhi Yield Obligasi,2024-08-19T15:14:54.215Z,28 May 2024 22:25 WIB,Pernita Hestin Untari,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20240528%2F215%2F1769128%2Fbni-life-ungkap-kenaikan-suku-bunga-pengaruhi-yield-obligasi,"Bisnis.com, JAKARTA— Perusahaan asuransi jiwa PT BNI Life Insurance (BNI Life) mengungkap kenaikan suku bunga acuan Bank Indonesia (BI) sejak Oktober 2023 turut mempengaruhi yield instrumen investasi obligasi. 
Diketahui, Bank Indonesia memutuskan untuk menahan suku bunga acuan di level 6,25% pada Rapat Dewan Gubernur (RDG) Mei 2024.  
Plt. Direktur Utama BNI Life Eben Eser Nainggolan mengungkapkan kenaikan suku bunga acuan atau BI Rate pada Oktober 2023 yang berada di level 6% telah memengaruhi kenaikan yield obligasi. 
“Pada Oktober 2023, yield obligasi naik 34 bps secara MTD [month-to-date],” kata Eben saat dihubungi Bisnis, Selasa (28/5/2024). 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Namun demikian, Eben mengungkap kenaikan tersebut tidak berlangsung lama karena pada November 2023, yield obligasi kembali turun menjadi 6,75%. 
Dia menambahkan yield obligasi cenderung stabil sampai dengan Maret 2023. Namun pada April 2024, yield naik signifikan sering dengan kenaikan BI Rate sebesar 25 bps menjadi 6,25% pada bulan tersebut. Baca JugaBNI Life Bayar Klaim Rp967 Miliar pada Kuartal I/2024Asuransi BNI Life Bukukan Premi Rp1,331 Triliun pada Kuartal I/2024
“Kenaikan yield obligasi inilah yang paling mempengaruhi pendapatan investasi karena mayoritas aset ditempatkan pada instrumen fixed income,” ungkap Eben. 
Tercatat hasil investasi BNI Life sampai dengan April 2024 baru memenuhi 26% target secara full year atau sekitar Rp282 miliar. Eben mengatakan bahwa untuk saat ini instrumen pendapatan tetap masih memberikan yield yang paling tinggi.
“Pengelolaan hasil investasi pun berperan penting dalam mendukung kenaikan pendapatan dan berdampak positif terhadap laba perusahaan,” tandasnya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"The Fed Tahan Suku Bunga, Yield Obligasi Treasury AS Melorot",2024-08-19T15:14:54.660Z,14 December 2023 06:10 WIB,Aprianto Cahyo Nugroho,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20231214%2F620%2F1723773%2Fthe-fed-tahan-suku-bunga-yield-obligasi-treasury-as-melorot,"Bisnis.com, JAKARTA – Imbal hasil (yield) obligasi pemerintah AS atau Treasury turun dengan laju terbesar dalam satu hari pada Rabu karena pelaku pasar menanggapi sinyal bahwa Federal Reserve akan mulai memangkas suku bunga dengan lebih agresif pada tahun 2024.
Melansir Bloomberg, Kamis (14/12/2023), imbal hasil Treasury AS di seluruh tenor melemah, dipimpin oleh tenor pendek yang paling sensitif terhadap perubahan kebijakan moneter.
Obligasi AS tenor dua tahun turun 31 basis poin menjadi 4,42%, sementara obligasi dengan tenor lima tahun turun di bawah 4%, menjadi surat utang negara pertama yang membayar suku bunga serendah itu sejak Agustus.
Imbal hasil dengan tenor lebih panjang turun sedikitnya 14 basis poin.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Pada akhir pertemuan kebijakan, Federal Open Market Committee (FOMC) memutuskan dengan suara bulat untuk mempertahankan suku bunga acuan federal fund rate (FFR) di kisaran 5,25% - 5,5%, tertinggi sejak 2001.
Para pembuat kebijakan tidak memperkirakan kenaikan suku bunga lebih lanjut dalam proyeksi mereka untuk pertama kalinya sejak Maret 2021, berdasarkan estimasi median.Baca JugaRekomendasi Saham dan Pergerakan IHSG kala The Fed Tahan Suku Bunga ASThe Fed Tahan Suku Bunga, Bakal Mulai Pangkas Tahun Depan!Bos The Fed Jerome Powell Rem Suku Bunga AS, Tren Kenaikan Berakhir
Ketua Dewan Gubernur The Fed Jerome Powell mengatakan para pejabat siap untuk menaikkan suku bunga lagi jika tekanan harga kembali. Namun, dia mengindikasikan the Fed sekarang mengalihkan fokus ke kapan waktu yang tepat untuk memangkas suku bunga karena inflasi terus turun menuju target 2%.
Dalam proyeksi kuartalan The Fed, proyeksi median suku bunga untuk akhir tahun 2024 turun menjadi 4,625% dari 5,125% pada bulan September.
Suku bunga swap The Fed yang mengantisipasi perubahan kebijakan diubah harganya ke tingkat yang konsisten dengan pelonggaran lebih dari 140 basis poin, naik dari sekitar 113 basis poin sebelum pertemuan.
Manajer portofolio BlackRock Inc Jeffrey Rosenberg mengatakan keputusan The Fed dan proyeksi tahun depan adalah lampu hijau bagi para investor.
”The Fed sangat senang dengan apa yang telah mereka lihat dan Anda tidak dapat benar-benar melawan hal ini sampai ada semacam data fundamental dari sisi ekonomi yang mendorong kembali,” ungkap Rosenberg kepada Bloomberg.
Pasar obligasi yang telah tertekan selama tiga tahun terakhir oleh lonjakan inflasi konsumen dan kenaikan suku bunga The Fed sekarang memperkirakan pembalikan arah yang akan meningkatkan nilai utang yang dijual ketika imbal hasil lebih tinggi.
Hal ini dimungkinkan karena inflasi mereda lebih cepat daripada yang diperkirakan banyak investor, bahkan ketika ekonomi terus menunjukkan ketahanan.
Imbal hasil memperpanjang penurunannya selama konferensi pers Ketua Dewan Gubernur The Fed Jerome Powell di mana ia membahas pertimbangannya. Sementara itu, indeks dolar AS Bloomberg turun sebanyak 0,8%, penurunan harian terbesar dalam hampir satu bulan.
Ekspektasi untuk penurunan suku bunga Fed pada tahun 2024 telah meningkat, dan melonjak pada 1 Desember setelah laporan manufaktur ISM untuk bulan November lebih lemah dari yang diharapkan.
Pengumuman pada hari Rabu mengikuti rilis data indeks harga produsen untuk November yang menunjukkan inflasi lebih rendah dari yang diharapkan, yang menyebabkan para pedagang memperkirakan pelonggaran yang lebih besar pada tahun 2024.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
ASET BERISIKO : Mata Uang Pasar Berkembang Terbang,2024-08-19T15:14:55.174Z,22 November 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231122%2F443%2F1716723%2Faset-berisiko-mata-uang-pasar-berkembang-terbang,
Ekonom Sebut Kenaikan Bunga Acuan BI7DRR Berdampak ke Yield Surat Utang,2024-08-19T15:14:55.500Z,14 November 2023 19:38 WIB,Arlina Laras,https://search.bisnis.com/link?url=https%3A%2F%2Ffinansial.bisnis.com%2Fread%2F20231114%2F90%2F1714282%2Fekonom-sebut-kenaikan-bunga-acuan-bi7drr-berdampak-ke-yield-surat-utang,"Bisnis.com, JAKARTA -- Chief Economist Citi Indonesi Helmi Arman menyampaikan naiknya suku bunga acuan Bank Indonesia ke level 6% dapat memulihkan diferensial imbal hasil obligasi alias surat utang.""Dalam hemat kami ini tujuannya [BI naikkan BI7DRR] untuk merestorasi diferensial (perbedaan) imbal hasil obligasi yang sudah turun relatif tajam dalam beberapa waktu terakhir akibat kenaikan imbal hasil US treasury,"" ujarnya dalam paparan kinerja kuartal III/2023, Senin (13/11/2023)Menurutnya, sumber dari tekanan neraca pembayaran yang harus diperhatikan adalah arus modal keluar dari investor asing. Dirinya menilai dalam beberapa bulan terakhir, peningkatan imbal hasil bunga obligasi Amerika memberikan pengaruh pada Indonesia yang membuat investor asing memindahkan penempatan uangnya. ""Sebagaimana kita sudah lihat dalam beberapa bulan terkahir terutama terjadi imbal hasil bunga obligasi Amerika ini meningkat dan peningkatan imbal hasil Amerika ini mengakibatkan diferensial dengan obligasi Indonesia,""  katanya. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Helmi menuturkan, dari platform Citi secara global pihaknya mencatat secara tahun berjalan (year-to-date/ytd) terjadi arus modal keluar atau capital outflow dari keseluruhan emerging market (negara berkembang). Bahkan capital outflow dari Asia cukup tajam dibandingkan dengan region lain seperti di Amerika Latin.Capital outflow yang lebih besar di Asia ini karena inflasi yang terjadi di Asia justru relatif terkendali pada 2022, akibat kenaikan harga komoditas dunia. Sehingga,  kala inflasi terkendali,  membuat kenaikan suku bunga di Asia tidak sebesar di kawasan lain seperti Amerika Latin, yang pada akhirnya, ketika inflasi sudah mulai menurun, maka diferensial suku bunga di Asia dengan Amerika rendah, dibanding diferensial kawasan lain. Baca JugaCatat, Layanan Citibank Indonesia Bakal Berhenti per 18 November 2023Citibank Indonesia Raup Laba Bersih Rp1,66 Triliun, Naik 45,6% pada Kuartal III/2023Bank Indonesia di Ibu Kota Negara Nusantara (IKN), Tahap I Selesai Tahun DepanSebagai informasi Bank Indonesia (BI) menaikkan suku bunga acuan atau BI-7 Day Repo Rate (BI7DRR) 25 basis poin ke level 6%, pada Rapat Dewan Gubernur (RDG) periode 18-19 Oktober 2023. Kenaikan suku bunga ini merupakan yang pertama kali sejak BI menaikkan suku bunga ke level 5.75% pada Januari 2023 dan mempertahankan di level tersebut hingga September 2023


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Penguatan Imbal Hasil Obligasi AS, Menjegal Pergerakan Wall Street",2024-08-19T15:14:56.285Z,10 November 2023 07:15 WIB,Pandu Gumilar,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20231110%2F7%2F1713040%2Fpenguatan-imbal-hasil-obligasi-as-menjegal-pergerakan-wall-street,"Bisnis.com, JAKARTA - Wall Street turun pada akhir perdagangan Jumat pagi WIB dipicu yield atau imbal hasil obligasi Pemerintah AS yang naik setelah lelang obligasi 30 tahun yang mengecewakan dan komentar dari Ketua Federal Reserve Jerome Powell.
Indeks Dow Jones Industrial Average terkoreksi 220,33 poin atau 0,65 persen ke 33.891,94, indeks S&P 500 turun 35,43 poin atau 0,81 persen ke 4.347,35, dan Indeks Komposit Nasdaq melemah 128,97 poin atau 0,94 persen ke 13.521,45.
Powell mengatakan para pejabat bank sentral tidak yakin suku bunga cukup tinggi untuk mengendalikan inflasi dan mungkin tidak mendapatkan lebih banyak bantuan dari perbaikan pasokan barang, jasa dan tenaga kerja.
Saham-saham bergerak sedikit lebih turun sebelum komentar Powell karena imbal hasil naik setelah lemahnya lelang obligasi pemerintah AS tenor 30 tahun senilai 24 miliar dolar AS dengan permintaan utang sebesar 2,24 kali lipat dari penjualan obligasi.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Imbal hasil obligasi pemerintah AS tenor 10 tahun terakhir naik 12,8 basis poin menjadi 4,636 persen setelah naik setinggi 4,654 persen pada hari itu.
Kepala Ekonom Pasar Spartan Capital Securities Peter Cardillo di New York mengatakan, Powell mengambil sudut pandang hawkish lagi.Baca JugaWall Street Beragam Jelang Pidato Bos The Fed, Pasar Tak Cemas LagiWall Street Ditutup Melejit, Saham Microsoft Cetak Rekor BaruWall Street Ditutup Naik, Investor Menanti Sabda Jerome Powell
""Dia meyakinkan pasar bahwa perjuangan melawan inflasi belum dimenangkan dan jika kondisi perekonomian memungkinkan, mereka tidak akan ragu untuk menaikkan suku bunga lagi,"" ujar Cardillo.
Menurut Cardillo, Powell mengatakan kepada pasar untuk tidak terlalu berpuas diri dan hal itu memberikan tekanan pada saham.
Penurunan tersebut menandai persentase penurunan satu hari terbesar bagi S&P dan Nasdaq sejak 26 Oktober dan terbesar bagi Dow Jones sejak 27 Oktober.
Ekuitas menguat karena melemahnya data ekonomi, termasuk laporan gaji bulanan, dan karena imbal hasil obligasi pemerintah AS turun dari level tertinggi dalam beberapa tahun di tengah pandangan bahwa pertemuan kebijakan terbaru The Fed mengisyaratkan bank sentral telah selesai dengan siklus kenaikan suku bunganya.
Setelah reli kuat di Wall Street minggu lalu, laju kenaikan saham melambat, dan penurunan pada Kamis (9/11) mengakhiri kenaikan delapan sesi berturut-turut untuk S&P 500 dan sembilan sesi kenaikan berturut-turut untuk Nasdaq, yang terpanjang untuk masing-masing kenaikan sejak November 2021.
Sebagian besar pedagang bertaruh bahwa Fed akan mempertahankan suku bunga tahun ini bahkan setelah komentar Powell, tetapi sekarang diperkirakan penurunan suku bunga akan dimulai pada 2024, menurut FedWatch Tool dari CME Group.
Beberapa pengambil kebijakan telah mengambil sikap hawkish pada minggu ini untuk menghalangi ekspektasi penurunan suku bunga, dan beberapa di antaranya menekankan pendekatan kebijakan yang bergantung pada data.
Sementara itu, laporan Departemen Tenaga Kerja AS menunjukkan klaim pengangguran turun tipis pada minggu lalu menjadi 217.000 klaim, mengindikasikan PHK belum meningkat meskipun ada tanda-tanda pasar tenaga kerja yang melemah.
Saham Walt Disney melonjak 6,9 persen karena laba kuartalannya dan ketika para aktor Hollywood mencapai kesepakatan tentatif dengan studio-studio besar.
Kesebelas sektor utama S&P melemah, dipimpin oleh penurunan sektor kesehatan dan sektor diskresioner konsumen dengan penurunan masing-masing sekitar 2 persen.
Sementara saham perusahaan semikonduktor Arm Holdings turun 5,2 persen karena perkiraan penjualan kuartal ketiga yang suram.
Volume perdagangan di bursa AS mencapai 11,36 miliar saham dibandingkan dengan rata-rata 10,97 miliar saham untuk sesi penuh selama 20 hari perdagangan terakhir.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Yield Obligasi AS Turun, Wall Street Langsung Dibanjiri Aliran Dana",2024-08-19T15:14:56.673Z,04 November 2023 06:04 WIB,Pandu Gumilar,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20231104%2F7%2F1711028%2Fyield-obligasi-as-turun-wall-street-langsung-dibanjiri-aliran-dana,"Bisnis.com, JAKARTA - Indeks saham utama Wall Street menguat pada hari Jumat (4/11/2023) karena imbal hasil obligasi turun tajam setelah data menunjukkan tanda-tanda melambatnya pertumbuhan lapangan kerja AS dan peningkatan pengangguran, meningkatkan harapan bahwa Federal Reserve telah menyelesaikan kampanye kenaikan suku bunganya.
Laporan Departemen Tenaga Kerja menunjukkan upah nonpertanian (nonfarm payrolls) meningkat sebesar 50.000 pekerjaan pada bulan Oktober, jauh lebih kecil dari perkiraan kenaikan sebesar 180.000, sebagian disebabkan oleh pemogokan di tiga besar produsen mobil di Detroit.
Data bulan lalu direvisi lebih rendah untuk menunjukkan peningkatan sebesar 297.000 dari sebelumnya 336.000, sementara tingkat pengangguran naik tipis menjadi 3,9%.
Angka tersebut memperkuat pandangan bahwa The Fed telah mencapai akhir kenaikan suku bunganya. Imbal hasil Treasury AS turun untuk sesi keempat berturut-turut, dengan benchmark imbal hasil Treasury 10-tahun mencapai level terendah dalam lebih dari lima minggu sebelum terakhir diperdagangkan pada 4,5538%.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
“Penurunan suku bunga mungkin merupakan katalis utama minggu ini,” kata Tony Welch, CIO SignatureFD, Atlanta Georgia, seraya menambahkan bahwa laporan pekerjaan mendukung tren ini.
“The Fed mengalami kesulitan dalam membuat kebijakan moneternya untuk benar-benar melonggarkan pasar tenaga kerja,” katanya dikutip dari Reuters, seraya mencatat bahwa data pada hari Jumat menunjukkan pasar lebih longgar, yang mengarah pada interpretasi investor bahwa The Fed mungkin akan melakukan siklus pengetatan. ""Baca JugaWall Street Melonjak Berkat The Fed, IHSG Ikut CuanThe Fed Diprediksi Tahan Suku Bunga, Wall Street MenguatWall Street Melonjak 1% Lebih, Kabar Baik bagi IHSG
Welch juga mencatat bahwa laporan pendapatan yang solid membantu saham karena perusahaan telah memperluas margin keuntungan.
Ketiga indeks utama Wall Street berada di jalur kenaikan persentase mingguan terbesarnya dalam waktu sekitar satu tahun. Indeks Russell 2000 (.RUT) perusahaan-perusahaan berkapitalisasi kecil berada di jalur kenaikan mingguan terbesarnya sejak Februari 2021.
Dow Jones Industrial Average (.DJI) naik 269,53 poin, atau 0,8%, menjadi 34.108,61, S&P 500 (.SPX) bertambah 47,62 poin, atau 1,10%, menjadi 4.365,4 dan Nasdaq Composite (.IXIC) bertambah 191,77 poin, atau 1,44% menjadi 13.485,96.
Nasdaq (.IXIC) yang padat teknologi berada di jalur untuk hari keenam berturut-turut di zona hijau sementara S&P 500 dan Dow tampaknya siap untuk kenaikan sesi kelima berturut-turut.
Sebagian besar sektor utama S&P 500 diperdagangkan di zona hijau, dipimpin oleh real estate (.SPLRCR), naik 3%, setelah mencapai level tertinggi sejak akhir September. Hanya sektor energi (.SPNY) yang melemah, terakhir turun lebih dari 1%.
Namun para analis memperkirakan pertumbuhan pendapatan sebesar 5,7% untuk perusahaan-perusahaan S&P 500 pada kuartal ketiga, dengan lebih dari 81% dari 403 perusahaan dalam indeks acuan yang telah melaporkan laba sejauh ini melampaui perkiraan, menurut data LSEG.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Menimbang Prospek Pasar Obligasi RI di Tengah Lonjakan Yield Obligasi AS,2024-08-19T15:14:57.051Z,25 October 2023 02:50 WIB,Szalma Fatimarahma,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20231025%2F92%2F1707587%2Fmenimbang-prospek-pasar-obligasi-ri-di-tengah-lonjakan-yield-obligasi-as,"Bisnis.com, JAKARTA - Pasar obligasi Indonesia diprediksi tertekan seiring dengan melonjaknya imbal hasil atau yield obligasi pemerintah Amerika Serikat (AS) 10 tahun. 
Sebagaimana diketahui, tingkat imbal hasil US Treasury tenor 10 tahun sempat menembus level 5,02% pada Senin (23/10/2023) malam. Angka tersebut menjadi yang tertinggi sejak 2007 silam. 
Head of Fixed Income Anugerah Sekuritas Indonesia Ramdhan Ario Maruto mengatakan, kondisi ini memicu investor asing untuk melakukan aksi jual di pasar obligasi RI. Berdasarkan data Bank Indonesia (BI) pun, aksi jual investor di pasar obligasi RI mencapai Rp3,45 triliun pada periode 16-19 Oktober 2023. 
Menurut Ramdhan, tertekannya pasar obligasi RI juga diperparah dengan sikap agresif Federal Reserve (The Fed) yang diperkirakan masih akan menaikkan suku bunga acuannya sekali lagi pada 2023. 
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
""Kenaikan suku bunga The Fed ini juga mengakibatkan tekanan di pasar obligasi kita karena likuiditas menurun dan investor akan hati-hati untuk ke dalam market,"" ujarnya ketika dihubungi Bisnis, Selasa (24/10/2023). 
Berkaca pada kondisi tersebut, Ramdhan menilai keputusan Bank Indonesia (BI) untuk mengerek suku bunga acuan atau BI 7-Day Reverse Repo Rate (BI7DRR) ke level 6% memang menjadi keputusan yang tepat untuk kembali menarik minat investor ke pasar obligasi RI. Baca JugaRupiah Menguat ke Rp15.849 per Dolar AS, Berkat Penurunan Yield Obligasi ASMedco (MEDC) Terbitkan Obligasi Global Rp7,92 Triliun untuk RefinancingBukan Hanya Saham, Obligasi & Rupiah Terimbas Kenaikan Suku Bunga BI
Sebab, langkah BI untuk menaikkan suku bunga acuan ke 6% dinilai dapat menjadi salah satu sentimen positif untuk menggenjot aksi borong di pasar obligasi Tanah Air. 
Selain itu, faktor lain yang dapat menarik investor lokal maupun asing untuk berinvestasi di Indonesia ialah terjaganya stabilitas makro ekonomi domestik. Menurutnya, hal ini dapat mendorong pasar untuk kembali likuid dan menandakan telah meningkatnya jumlah surat utang yang beredar di masyarakat.  
“Likuiditas yang tinggi ini memang perlu kebijakan, kemarin perbankan masuk ke pasar surat berharga dan terbuka kerannya. Bahkan BI sekalipun masuk ke secondary market yang akhirnya membuat likuiditas bertambah dan menekan yield obligasi RI,” sambung Ramdhan.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"OBLIGASI NEGARA : Yield Kurang Kompetitif, Asing Masih Terus Jual SBN",2024-08-19T15:14:57.344Z,25 October 2023 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20231025%2F442%2F1707590%2Fobligasi-negara-yield-kurang-kompetitif-asing-masih-terus-jual-sbn,
