Title,Scrapping Date,Article Date,Author,Link,Content
"Jika AS Terbitkan Surat Utang Massif, Investor Asing di Indonesia Bakal Kabur?",2024-08-19T12:48:34.423Z,13 June 2023 20:27 WIB,Annasa Rizki Kamalina,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20230613%2F620%2F1665174%2Fjika-as-terbitkan-surat-utang-massif-investor-asing-di-indonesia-bakal-kabur,"Bisnis.com, JAKARTA – Pasar keuangan Indonesia dan fiskal negara akan menghadapi risiko jika AS merespon kenaikan plafon utang dengan penerbitan US treasury (UST) secara massif dan imbal hasil yang tinggi.  Kondisi tersebut memunculkan potensi pelarian arus modal dari emerging market, seperti Indonesia, ke Negeri Paman Sam. Kondisi ini dapat berdampak pada SBN yang diterbitkan pemerintah Indonesia berisiko tidak terserap pasar secara maksimal yang pada akhirnya Anggaran Pendapatan dan Belanja Negara (APBN) 2024 berpotensi terganggu. Meski terdapat risiko ini, Kepala Ekonom Bank Permata Josua Pardede melihat arus modal keluar dari Indonesia tidak akan terjadi. Saat ini investor asing belum memilih antara Indonesia ataupun AS untuk memarkir dananya, karena mempertimbangkan real yield dan rates antara Indonesia dan AS. “Oleh karenanya, risiko keluarnya investor asing masih didominasi oleh sentimen dari arah kebijakan The Fed,” jelasnya, Selasa (13/6/2023). Adapun, The Fed akan menggelar pertemuan pada 13—14 Juni 2023. Pertemuan itu diperkirakan akan memutuskan tingkat kenaikan suku bunga acuan sebesar 25 bps dengan mempertimbangkan tingkat inflasi Mei 2023 yang lebih rendah dibandingkan dengan April 2023, baik inflasi umum maupun inflasi inti.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Oleh sebab jika tidak ada sentimen risk off global yang berkembang dan meningkat kedepannya, pasar keuangan negara berkembang cenderung preferable bagi investor asing,” tambah Josua. Direktur Eksekutif Segara Institut Piter Abdullah Redjalam menyampaikan gonjang-ganjing terkait pagu utang AS tidak berdampak pada ekonomi Indonesia. Rencana AS tersebut juga tidak membuat investor berbondong-bondong untuk beralih dari negara berkembang ke AS. Baca JugaStrategi Investor Obligasi Jelang Keputusan The Fed, Bermain Aman!Banjir Likuiditas! LPS Catat Simpanan Nasabah di Bank Capai Rp8.057 TriliunJelang Rapat The Fed, China Pangkas Suku Bunga AcuanPiter menyampaikan bahwa bila melihat dari perhitungan besaran imbal hasil, bila Amerika lebih tinggi maka investor tentu memilih AS. Sebaliknya, bila imbal hasil di Indonesia lebih menarik, investor pun tidak akan pindah. “Sekarang ini kalau saya melihat, yield kita [Indonesia] masih jauh lebih tinggi, RAR Indonesia lebih bagus dibandingkan AS, jadi ngga ada faktor atau dorongan untuk investor keluar, saya meyakini itu,” ujarnya. Terlebih, prospek ekonomi Indonesia saat ini jauh lebih berkembang dan lebih baik ketimbang AS di era pascapandemi Covid-19.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Teknologi UST Pangkas Biaya Proyek MRT Fase 3 Cibitung - Balaraja,2024-08-19T12:48:34.778Z,29 October 2022 03:00 WIB,Anitana Widya Puspa,https://search.bisnis.com/link?url=https%3A%2F%2Fekonomi.bisnis.com%2Fread%2F20221029%2F98%2F1592680%2Fteknologi-ust-pangkas-biaya-proyek-mrt-fase-3-cibitung-balaraja,"Bisnis com, JAKARTA - Penggunaan teknologi UST pada jalur dan panjang rute MRT Fase 3 Cibitung - Balaraja dapat memangkas biaya hingga 1/4 dari perkiraan investasi senilai Rp160 triliun.
Representative Manager uScovery DMCC Indonesia Sammy Soru menilai teknologi tersebut lebih terjangkau secara komersial karena kombinasi karakteristik dan struktur prestressed memungkinkan untuk mengurangi konsumsi material dan biaya.
Dia pun mencontohkan dengan mengambil komparasi dengan rencana pembangunan fase 3 MRT Cibitung-Balaraja dengan panjang rute 87 km, yang diperkirakan membutuhkan anggaran sebesar Rp160 triliun bisa ditekan hingga seperempatnya.
""Secara garis besar, penggunaan teknologi UST pada jalur dan panjang rute yang sama mampu ditekan hingga 1/4 dari biaya MRT,"" ujarnya melalui keterangan resmi, Jumat (28/11/2022).
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Pengembangan teknik dan pengetahuan Unitsky String Technologies yang merupakan dasar dari pengaplikasian Kompleks Transportasi dan Infrastruktur uST tidak memerlukan pembuatan tanggul tanah, galian, jembatan, simpang susun dan gorong-gorong. Struktur lintasan hanya membutuhkan alokasi lahan minimal untuk konstruksi dan sedikit pekerjaan tanah.
Selain itu, struktur kompleks transportasi dan infrastruktur uST siap menjamin pengangkutan penumpang dengan jumlah maksimum (hingga 50.000 orang per jam) dengan biaya minimal pada kecepatan hingga 150 km/jam dengan interval lalu lintas minimum 20-30 detik.Baca JugaTuhiyat Dirut PT MRT Jakarta, Begini Komentar Anggota DPRD DKIPemprov DKI Sebut Pergantian Dirut PT MRT Hal BiasaProfil Tuhiyat, Dirut Baru MRT Jakarta
Perihal safety atau keamanan, Sammy menjelaskan, Kompleks Transportasi dan Infrastruktur uST dibedakan oleh tingkat keamanan yang tinggi. Elemen-elemennya yang dibuat dengan sistem multi-level mampu mengeliminasi insiden dan kecelakaan apa pun selama pengoperasian kompleks. Suspended String Light-Rail yang terletak di atas tanah membuat tabrakan dengan kendaraan lain (bus, mobil), pejalan kaki atau hewan tidak mungkin terjadi.
Selain itu, struktur lintasan prestressed memungkinkan kompleks uST untuk tetap beroperasi bahkan jika satu atau lebih penyangga perantara rusak ketika terjadi bencana alam atau keadaan force majeure lainnya.
""Sistem kontrol otomatis membuat string transport tahan bahkan terhadap kondisi cuaca yang paling sulit seperti hujan salju, hujan lebat, badai debu dan pasir, dan lain-lain. Keamanan Kompleks Transportasi dan Infrastruktur uST telah dikonfirmasi oleh organisasi independen internasional TUV SW,"" tekannya.
Kompleks transportasi dan infrastruktur UST juga memiliki tingkat kemampuan beradaptasi yang tinggi. Dapat dibangun di daerah dengan medan yang kompleks dan kondisi alam dan iklim yang sulit.
Dengan demikian masalah kemacetan lalu lintas di jalan-jalan di kota dapat diselesaikan. Struktur rel dirancang sedemikian rupa agar dapat digunakan baik untuk angkutan penumpang maupun angkutan barang. Lebih mudah untuk mengintegrasikan Suspended String Light-Rail ke dalam lingkungan perkotaan yang sudah terbentuk daripada membangun kereta bawah tanah, kereta api atau jalan raya di sana.
Selain itu, teknologi UST sangat ramah lingkungan karena konsumsi bahan yang rendah dari elemen struktural jembatan layang dan rolling stock rel tali, pembebasan lahan, pengoperasian listrik dan konsumsinya yang rendah, serta karena pergerakan kendaraan di atas tanah. Kendaraan rel listrik di atas roda baja menggunakan jenis bahan bakar yang paling ramah lingkungan – listrik.
Tak hanya itu, karena pergerakan roda baja pada rel baja dengan efisiensi 99,8 persen, dan desain transportasi yang aerodinamis, mampu menghasilkan efisiensi energi yang tinggi.

                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Penyebab Bitcoin dan Aset Kripto Turun, Kapan Bangkit?",2024-08-19T12:48:35.132Z,30 June 2022 09:55 WIB,Dewi Fadhilah Soemanagara,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220630%2F94%2F1549701%2Fpenyebab-bitcoin-dan-aset-kripto-turun-kapan-bangkit,"Bisnis.com, JAKARTA — Aset kripto bitcoin kembali mengalami penurunan pekan ini yang disebabkan situasi ketidakstabilan pasar.Country Manager Luno Indonesia, Jay Jayawijayaningtiyas mengatakan, kinerja bitcoin yang menurun ini kemungkinan besar disebabkan karena kejatuhan UST dan 3AC (Three Arrows Capital), sehingga banyak pemberi pinjaman berpotensi mengalami kebangkrutan dan bank lari dari pasar.“Pasar kini sedang memperhatikan bagaimana ketidakseimbangan ini akan diatasi, sehingga pemulihan bitcoin tampaknya tidak akan terjadi dalam waktu dekat,” ujarnya dalam riset yang dikutip, Kamis (30/6/2022).Merujuk data CoinMarketCap, hari ini bitcoin turun 1,22 persen ke posisi US$20.076 setelah sempat berada di titik terbawah US$19.939 pada hari sebelumnya.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Jay melanjutkan, bitcoin terkena dampak dari likuiditas asetnya, di mana para pelaku pasar kini terpaksa menjual aset yang lebih likuid.Selama Juni 2022, nilai bitcoin telah merosot sebesar 35 persen, di tengah penurunan sejumlah aset kriptoin lainnya seperti ETH yang merosot sebanyak 20 persen.Baca JugaBitcoin Bisa Kembali ke US$28.000 di Akhir Tahun? Ini AlasannyaHarga Bitcoin Mandek di US$20.000, Sinyal Jatuh ke Titik Terendah?Minim Sentimen Positif, Bitcoin Betah Uji Level US$20.000Menurut Jay, bitcoin belum menunjukkan pergerakan harga yang signifikan di pekan ini. Saat riset diterbitkan, bitcoin masih bergerak di level support US$20.000 dengan rata-rata pergerakan 200-week Moving Average di angka US$22.500 yang juga merupakan titik resistensi terpenting.“Jika Bitcoin mampu melewati kondisi saat ini, level selanjutnya yang perlu diperhatikan berada di kisaran US$30.000,” imbuh Jay.Namun, jika bitcoin tidak dapat bertahan di level support US$20.000, maka investor perlu memperhatikan level support mingguan terdekat yaitu di kisaran US$16.000.Apabila kejatuhan pasar kripto terus berlanjut, maka kemungkinan besar para pelaku pasar akan mulai mencairkan kepemilikan altcoin mereka. Hal ini berpotensi menimbulkan kejatuhan harga besar-besaran, khususnya bagi altcoin kecil.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Ini Penyebab Binance Digugat, Class Action 2.000 Investor Terra Luna",2024-08-19T12:48:35.496Z,14 June 2022 14:26 WIB,Farid Firdaus,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220614%2F94%2F1543525%2Fini-penyebab-binance-digugat-class-action-2000-investor-terra-luna,"Bisnis.com, JAKARTA – Lebih dari 2.000 orang yang berinvestasi pada stablecoin algoritmik TerraUSD melayangkan gugatan class action terhadap platform perdagangan kripto Binance.US.Mengutip Coindesk, Selasa (14/6/2022), dalam gugatan class action yang diajukan pada Senin (13/6/2022) di Pengadilan Distrik Amerika Serikat untuk Distrik Utara California, Binance telah dituduh menyesatkan investor di sekitar ekosistem blockchain Terra.Gugatan tersebut menandai pengajuan pengadilan besar pertama yang berbasis di AS terkait dengan Terra, saat kasus token UST dan Luna menghapus sekitar US$40 miliar dana investor ketika mereka jatuh bulan lalu.Gugatan tersebut, yang diajukan oleh firma hukum Roche Freedman LLP yang berbasis di AS, menuduh bahwa Binance.US memasarkan UST Terra yang berbasis dolar lebih stabil daripada yang sebenarnya.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Menurut gugatan itu, ketika UST dan rekannya token luna classic (LUNC) jatuh ke nol pada Mei 2022, ribuan investor ritel yang tidak menaruh curiga benar-benar lengah. Iklan yang menyesatkan dari promosi UST menjadi dasar gugatan tersebut.Gugatan tersebut juga menuduh bahwa Binance.US tidak terdaftar sebagai broker-deal atau platform pertukaran, yang mungkin melanggar undang-undang sekuritas.Gugatan itu juga ditujukan kepada CEO Binance.US Brian Shroder.Baca JugaBitcoin Merosot di Bawah US$21.000, Binance Setop Penarikan selama 3 JamPlatform Kripto Binance Terima Izin Operasional di ItaliaKyle Roche, salah satu mitra pendiri Roche Freedman, mengatakan Binance A.S. secara sembrono mendaftarkan dan mempromosikan UST sebagai stablecoin aman bagi mereka yang ingin menghindari volatilitas cryptocurrency lainnya.“Mereka, serta bursa lain yang mencantumkan UST, harus bertanggung jawab,” kata Kyle Roche kepada Coindesk.Binance.US membantah tuduhan yang dibuat dalam gugatan tersebut.“Binance.US terdaftar oleh FinCEN dan mematuhi semua peraturan yang berlaku. Pernyataan ini tidak berdasar dan kami akan membela diri dengan penuh semangat,"" kata manajemen Binance.Sebagai catatan, keruntuhan Terra menguras dompet ribuan investor ritel yang tidak menaruh curiga. Pada hari-hari setelah penurunan Terra, forum Reddit dipenuhi dengan laporan bunuh diri.Forum tersebut juga menampilkan kritik terhadap co-founder Terra yang sangat vokal, Do Kwon.Kwon, menurut beberapa pengamat Terra, harus disalahkan karena mengingkari janji bahwa UST akan selalu parkir dengan aman di US$1. Saat dia berjanji seputar keamanan UST, Kwon sedang membangun sistem yang menurut sejumlah pengamat dibangun untuk gagal.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Simak Perbedaan Stablecoin Terra Luna dengan USDT dan USDC,2024-08-19T12:48:35.847Z,03 June 2022 18:04 WIB,Rinaldi Mohammad Azka,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220603%2F94%2F1539704%2Fsimak-perbedaan-stablecoin-terra-luna-dengan-usdt-dan-usdc,"Bisnis.com, JAKARTA - Belakangan ini ramai diperbincangkan stablecoin Terra USD (UST) yang merupakan algorithmic stablecoin, dijamin oleh aset kripto Terra (LUNA). Namun, jenis stablecoin ini berbeda dengan jenis lain seperti USDT dan USDC.Mengutip PintuAcademy, stablecoin UST yang dimiliki oleh LUNA memiliki fundamental berbeda dengan USDT dan USDC. Untuk menjaga harga Terra USD (UST) tetap berada pada US$1, dilakukan dengan cara membakar token LUNA untuk mencetak token UST baru.Sementara itu, Tether (USDT) dan USD Coin (USDC) adalah fiat-collateralized stablecoins atau stablecoin yang dijamin dengan uang fiat, yaitu dolar AS. Dalam hal ini, USDT/C dijamin dengan jumlah reserve dolar AS yang sama.Diluncurkan pada 2014, USDT menjadi stablecoin paling populer berdasarkan kapitalisasi pasar. Sementara USDC yang diluncurkan pada 2018 menempati posisi kedua sebagai stablecoin terbesar berdasarkan kapitalisasi pasar.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            “Melihat apa yang terjadi dengan UST dan LUNA token, pengguna Pintu tidak perlu khawatir aset pengguna di Pintu Earn dipastikan tidak memiliki exposure ke UST. Pintu Earn menawarkan bonus reward 15 persen per tahun untuk pengguna yang menyimpan aset stablecoin USDT dan USDC, yang nilainya dipatok dengan perbandingan 1:1 kepada mata uang dolar AS,"" kata Chief Marketing Officer Pintu Timothius Martin, Jumat (3/6/2022).Kedua aset stablecoin tersebut ditopang oleh fiat cash-reserves sehingga berbeda dengan mekanisme UST yang tidak ditopang oleh cash reserves.Baca JugaHikmah Dibalik Stablecoin Terra Luna, Ini yang Harus Dilakukan InvestorAlasan Artis Ramai-Ramai Terjun ke NFT, Ada BTS hingga Justin BieberPlatform jual beli aset kripto, PT Pintu Kemana Saja atau Pintu memperpanjang program imbalan hingga 15 persen Annual Percentage Yield (APY) yang terdapat di fitur Pintu Earn hingga 30 Juni 2022.Perpanjangan program ini bagi pengguna Pintu yang menyimpan aset kripto stablecoin USDT (Tether) atau USDC di fitur Pintu Earn. Timo menjelaskan telah mendapatkan respons positif dari masyarakat yang telah memanfaatkan dan mendapatkan benefit dari fitur ini sejak diluncurkan pada awal 2022 lalu.""Guna meningkatkan kepuasan pelanggan maka kami memperpanjang hingga 30 Juni 2022. Program ini juga merupakan upaya kami dalam mengenalkan aset kripto yang bernilai stabil kepada masyarakat sekaligus memberikan edukasi terkait investasi aset kripto khususnya pada stablecoin seperti USDT maupun USDC,” jelasnya, Kamis (2/6/2022).Sebagai catatan, stablecoin adalah aset kripto yang secara khusus dipatok dengan sebuah aset tertentu seperti, mata uang dolar AS atau komoditas lain seperti emas dengan perbandingan 1:1.Akan tetapi setelah nilai tukar ini ditetapkan dengan suatu aset tertentu, nilai dari aset kripto tersebut dapat berfluktuasi dan secara teknis nilai dari aset tersebut dapat berselisih dengan aset yang dipatok.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
Waspada! Modus Penipuan Ganti Rugi Investasi Terra Luna,2024-08-19T12:48:36.173Z,20 May 2022 15:24 WIB,Dewi Fadhilah Soemanagara,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220520%2F94%2F1535167%2Fwaspada-modus-penipuan-ganti-rugi-investasi-terra-luna,"Bisnis.com, JAKARTA – Investor aset kripto Terra Luna dan UST kini harus lebih berhati-hati. Pasalnya, merebak modus penipuan yang mengklaim dapat memberikan ganti rugi investasi setlah stablecoin algoritmik tersebut runtuh. Mengutip keterangan The Coin Republic, Jumat (20/5/2022) adanya scammer atau penipu memanfaatkan kondisi Terra Luna dan UST yang anjlok akhir-akhir ini berdasarkan hasil riset SlowMist.Para penipu tersebut diduga membuat janji palsu untuk mengembalikan dana investasi Terra Luna dan UST.Perusahaan keamanan blockchain mengungkapkan, penipu bekerja dengan cara mengarahkan anggota komunitas Terra Luna dan UST ke situs yang dirancang untuk merampok uang dan NFT mereka.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            Para peretas tersebut bahkan telah berhasil merampok 2,13 ETH di jaringan Ethereum, atau setara dengan US$4.400.Mengutip informasi dari situs Bitcoinist, selama kuartal I/2022 ekosistem Ethereum telah diretas setidaknya 18 kali dengan kerugian mencapai US$636 juta.Baca JugaHikmah Dibalik Stablecoin Terra Luna, Ini yang Harus Dilakukan InvestorTerra Luna Jadi Abu, Do Kwon Mau Bikin Blockchain BaruSementara itu, ekosistem Solana juga diretas sebanyak 5 kali dengan kerugian US$397 juta. Bahkan, Binance Smart Chain juga diserang peretas dengan kerugian mencapai US$100 juta.Dalam 11 tahun terakhir, setidaknya dunia kripto telah mengalami kerugian hingga US$12 miliar akibat aksi peretas.Tim Terra Labs telah mengumumkan melalui akun twitter resmi mereka @terra_money agar investor tidak mudah terjerat bujuk rayu penipu, karena informasi penting yang resmi disampaikan perseroan hanyalah melalui akun media sosial Terra Labs.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
ASET KRIPTO : Jejak Pendiri Terra LUNA,2024-08-19T12:48:36.489Z,19 May 2022 02:00 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fkoran.bisnis.com%2Fread%2F20220519%2F443%2F1534567%2Faset-kripto-jejak-pendiri-terra-luna,
"Terra Luna Anjlok, Aplikasi Pintu Yakinkan Aset Investornya Aman",2024-08-19T12:48:36.851Z,14 May 2022 06:19 WIB,Rinaldi Mohammad Azka,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220514%2F94%2F1533117%2Fterra-luna-anjlok-aplikasi-pintu-yakinkan-aset-investornya-aman,"Bisnis.com, JAKARTA - Di tengah anjloknya salah satu proyek cryptocurrency Terra Luna, aplikasi perdagangan aset kripto, Pintu memastikan aset investornya terutama stablecoin tetap tersimpan dengan aman.
Founder dan CEO Pintu Jeth Soetoyo mengungkapkan aset pengguna di Pintu Earn dipastikan aman dan tidak ada dampak dari UST ataupun LUNA.
""Pintu Earn menawarkan bonus reward 15 persen untuk pengguna yang menyimpan aset stablecoins USDT dan USDC, yang nilainya dipatok dengan perbandingan 1:1 kepada mata uang dolar AS, di dompet Earn,"" paparnya kepada Bisnis, Sabtu (14/5/2022).
Kedua aset stablecoins tersebut ditopang oleh FIAT cash-reserves sehingga berbeda dengan mekanisme UST yang tidak ditopang oleh cash reserves. Dengan demikian, nilai asetnya cenderung tetap jika dibandingkan dengan UST dan LUNA yang tengah anjlok.
                            
                                
                                    
                                        
                                            
                                                
                                                
                                                    
                                                        googletag.cmd.push(function() { googletag.display(""div-gpt-ad-parallax""); });
                                                    
                                                
                                                
                                            
                                        
                                    
                                
                            
                            
Mengutip The Verge, nilai Terra Luna babak belur pada 9 Mei 2022 ketika harga stablecoin TerraUSD (UST) mulai merosot.
Hingga berita ini diturunkan, UST diperdagangkan dengan nilai $0.1556, jauh merosot dari patokan US$1. Sementara itu, Luna kini hanya seharga $0.00017351, berdasarkan data coinmarketcap.com.Baca JugaDampak Crypto Terra Luna Turun, Bitcoin Cs Masih Sekarat?Ini Penyebab Crypto Terra Luna Anjlok, Death Spiral HipotesisTerra Luna Anjlok, Ini Tips dari Aplikasi Pintu Agar Investor Kripto Tenang
Lalu, apa sebenarnya Luna itu, dan bagaimana cara kerjanya?
Terra Luna pada dasarnya merupakan salah satu jenis token kripto yang ditransaksikan dalam sistem blockchain, teknologi penyimpanan digital atau bank data yang menggunakan fitur enkripsi (kriptografi).
Terra Luna adalah aset kripto buatan Terraform Labs yang berbasis di Korea Selatan. Terra merupakan nama aset kripto, sedangkan Luna merupakan kode perdagangannya.
Mengutip Investopedia, Terraform Labs didirikan oleh Do Kwon dan Daniel Shin pada 2018. Do Kwon sebelumnya pernah bekerja untuk Microsoft dan Apple dan mendirikan startup jaringan mesh nirkabel bernama Anyfi.
Sedangkan Daniel Shin adalah pendiri dan CEO perusahaan teknologi Asia Chai, mitra Terra, sekaligus pendiri perusahaan e-commerce ternama di Korea yaitu Ticket Monster atau TMON.
Tercatat ada 114 project di dunia kripto yang menjadi ekosistem Terra Luna, diantaranya Anchor Protocol, Chai, LoTerra, Talis Protocol, dan Vega Protocol.
Mengutip situs resmi Terra Money, Luna merupakan token staking buatan Terra yang digunakan untuk menyerap volatilitas harga Terra.
Cara kerjanya, investor mengunci atau menyimpan aset kripto melalui wallet dalam rentang waktu tertentu untuk mendapat keuntungan. Mekanisme ini disebut juga dengan staking.
Transaksi aset kripto berbentuk Luna ini kemudian diverifikasi oleh validator blockchain agar investor memperoleh keuntungan.
Semakin banyak Terra yang digunakan atau ditransaksikan, maka harga Luna juga akan semakin mahal, begitupun sebaliknya.
Uniknya, sistem Terra Luna ini memang jauh lebih kompleks dibandingkan aset kripto lainnya, karena menggunakan coding yang lebih rumit dan token Luna untuk menstabilkan harganya.


                    
                
    Cek Berita dan Artikel yang lain di Google
            News dan WA Channel"
"Jejak Do Kwon: Jebolan Stanford, Perintis Terra LUNA dan UST",2024-08-19T12:48:37.386Z,13 May 2022 13:02 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220513%2F94%2F1532857%2Fjejak-do-kwon-jebolan-stanford-perintis-terra-luna-dan-ust,"Bisnis.com, JAKARTA – Do Kwon, cofounder Terraform Labs yang merupakan entitas di balik pengembang koin kripto Terra alias LUNA dan stablecoin TerraUSD (UST) menjadi orang paling dicari di dunia pekan ini. Semua tidak lepas dari pergerakan harga LUNA dan UST yang sedang terjun ke jurang dan bikin puluhan bahkan ratusan juta orang geleng-geleng kepala.Seturut data Coinmarketcap, hingga Jumat (13/5/2022) siang pukul 12.20 WIB, LUNA hanya memiliki nilai tukar US$0,00004066 atau setara Rp0,59 per keping (kurs Rp14.620 per US$). Nilai ini merefleksikan penurunan hampir 100 persen dari posisi US$80,79 atau Rp1.181.149 per keping secara mingguan."
Duka dan Paradoks di Balik Krisis Harga Terra (LUNA) hingga UST,2024-08-19T12:48:37.997Z,12 May 2022 12:52 WIB,,https://search.bisnis.com/link?url=https%3A%2F%2Fmarket.bisnis.com%2Fread%2F20220512%2F94%2F1532460%2Fduka-dan-paradoks-di-balik-krisis-harga-terra-luna-hingga-ust,"Bisnis.com, JAKARTA – Nasib Dimas (28) sedang tidak begitu baik. Amblasnya harga kripto Terra alias LUNA dalam beberapa hari terakhir bikin jam tidur trader asal Yogyakarta itu sedikit terganggu.Dimas banyak pikiran. Namun, dia juga bersyukur karena sempat melakukan konversi Luna miliknya ke aset kripto lain ketika posisi penurunan koin tersebut berada di kisaran 30 persen dari harga normal."
