Title;Scrapping Date;Article Date;Author;Link;Content
Utang Pemerintah Tembus Rp7.807,35 Triliun per Agustus 2023;2024-08-21T14:36:08.058Z;;;https://businessnews.co.id/2023/10/26/utang-pemerintah-tembus-rp7-80735-triliun-per-agustus-2023/;
Pemerintah Gencar Dorong UMKM Daftarkan Izin Usaha Secara Digital;2024-08-21T14:36:08.062Z;;;https://businessnews.co.id/2023/01/03/pemerintah-gencar-dorong-umkm-daftarkan-izin-usaha-secara-digital/;
Lelang SBN Terakhir di 2022, Pemerintah Serap Rp15,5 Triliun;2024-08-21T14:36:08.064Z;;;https://businessnews.co.id/2022/12/06/lelang-sbn-terakhir-di-2022-pemerintah-serap-rp155-triliun/;
Ini Alasan Garuda Indonesia Tak Dapat Pinjaman Dari PPI!;2024-08-21T14:36:08.066Z;;;https://businessnews.co.id/2021/12/30/ini-alasan-garuda-indonesia-tak-dapat-pinjaman-dari-ppi/;
Bank Mandiri Beri Pinjaman Kapuas Prima Coal 96 juta dolar AS;2024-08-21T14:36:08.068Z;;;https://businessnews.co.id/2021/06/30/bank-mandiri-beri-pinjaman-kapuas-prima-coal-96-juta-dolar-as/;
Utang Pemerintah Bertambah, Para Pakar Buka Suara;2024-08-21T14:36:08.070Z;;;https://businessnews.co.id/2021/03/24/utang-pemerintah-bertambah-para-pakar-buka-suara/;
Menakar Strategi Pemerintah Tangani COVID-19 Melalui Bantuan Sosial;2024-08-21T14:36:08.073Z;;;https://businessnews.co.id/2020/10/21/menakar-strategi-pemerintah-tangani-covid-19-melalui-bantuan-sosial/;
Terdampak Covid-19, Presiden Jokowi: Pemerintah Telah Keluarkan Semua Jurus Bantu Masyarakat;2024-08-21T14:36:08.076Z;;;https://businessnews.co.id/2020/08/28/terdampak-covid-19-presiden-jokowi-pemerintah-telah-keluarkan-semua-jurus-bantu-masyarakat/;
Adaptasi Kebiasaan Baru, BNI Bersama Pemerintah Berikan Dorongan Agar UMKM Dapat Bergeliat Lagi;2024-08-21T14:36:08.078Z;;;https://businessnews.co.id/2020/08/23/adaptasi-kebiasaan-baru-bni-bersama-pemerintah-berikan-dorongan-agar-umkm-dapat-bergeliat-lagi/;
Setelah 18 Lembaga, Pemerintah akan Membubarkan 13 Lembaga Lagi Akhir Agustus Ini;2024-08-21T14:36:08.079Z;;;https://businessnews.co.id/2020/08/11/setelah-18-lembaga-pemerintah-akan-membubarkan-13-lembaga-lagi-akhir-agustus-ini/;
Darurat Covid-19, Sri Mulyani: Bank IsDBSiap Kasih Pinjaman Dana 200-250 Juta Dollar;2024-08-21T14:36:08.080Z;;;https://businessnews.co.id/2020/04/27/darusat-covid-19-sri-mulyani-bank-isdbsiap-kasih-pinjaman-dana-200-250-juta-dollar/;
Ikut Arahan Pemerintah, BNI Siapkan Kebijakan Relaksasi Bagi Debitur Terdampak Covid-19;2024-08-21T14:36:08.081Z;;;https://businessnews.co.id/2020/03/27/ikut-arahan-pemerintah-bni-siapkan-kebijakan-relaksasi-bagi-debitur-terdampak-covid-19/;
Empat Mitra Swasta Ini Bantu MRT Danai Pembangunan Proyek Fase 3 Rp160 T;2024-08-21T14:36:08.081Z;;;https://businessnews.co.id/2022/05/24/empat-mitra-swasta-ini-bantu-mrt-danai-pembangunan-proyek-fase-3-rp160-t/;
Covid-19 Semakin Membuat Ekonomi Inggris Terpuruk;2024-08-21T14:36:08.083Z;;;https://businessnews.co.id/2020/04/24/covid-19-semakin-membuat-ekonomi-inggris-terpuruk/;
NPI Kuartal III-2023 Tetap Solid, Apa Dampaknya ke Investasi?;2024-08-21T14:36:08.085Z;;;https://businessnews.co.id/2024/04/22/npi-kuartal-iii-2023-tetap-solid-apa-dampaknya-ke-investasi/;
Meningkat Sebesar 82%, Citi Indonesia Cetak Laba Bersih Rp2.5 T Tahun 2023;2024-08-21T14:36:08.086Z;;;https://businessnews.co.id/2024/04/03/meningkat-sebesar-82-citi-indonesia-cetak-laba-bersih-rp2-5-t-tahun-2023/;
Bank DBS Indonesia Berikan Rp.1T untuk PNM Dukung Kemajuan UMKM Garapan Wanita Indonesia;2024-08-21T14:36:08.089Z;;;https://businessnews.co.id/2024/03/22/bank-dbs-indonesia-berikan-rp-1t-untuk-pnm-dukung-kemajuan-umkm-garapan-wanita-indonesia/;
Dorong Pemulihan Ekonomi Nasional Lewat Transformasi Digital;2024-08-21T14:36:08.090Z;;;https://businessnews.co.id/2024/03/02/dorong-pemulihan-ekonomi-nasional-lewat-transformasi-digital/;
