Title,Scrapping Date,Article Date,Author,Link,Content
Jokowi Pamer 5 Prestasi Ekonomi di Pidato Kenegaraan 2024,2024-08-19T12:38:47.927Z,"Jumat, 16 Agu 2024 11:01 WIB",(skt/agt),https://www.cnnindonesia.com/ekonomi/20240816083959-532-1133662/jokowi-pamer-5-prestasi-ekonomi-di-pidato-kenegaraan-2024,"Jakarta, CNN Indonesia -- Presiden Jokowi memamerkan 5 prestasi yang ditorehkannya selama 10 tahun menjabat sebagai Kepala Negara dalam Pidato Kenegaraan dalam rangka HUT RI ke-79.
Pertama, Jokowi memamerkan pertumbuhan ekonomi Indonesia yang stabil di atas 5 persen. Ia menyebut ini dicapai Indonesia di saat perekonomian negara lain banyak yang tak tumbuh.
""Wilayah Indonesia Timur, seperti Papua dan Maluku justru mampu tumbuh di atas 6 persen dan Maluku Utara mampu tumbuh di atas 20 persen,"" ucapnya dalam Pidato Kenegaraan Presiden di Sidang Tahunan MPR RI 2024, Jakarta Pusat, Jumat (16/8).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));


Kedua, ia menegaskan inflasi di Indonesia terus terkendali. Jokowi mengklaim inflasi tetap bisa dijaga di kisaran 2 persen-3 persen.





Lihat Juga :



Cisco Umumkan PHK Massal Lagi, Sasar Ribuan Karyawan






Jokowi membandingkan dengan kondisi negara lain. Menurutnya, bahkan ada negara yang inflasinya mencapai lebih dari 200 persen. 
""(Ketiga), angka kemiskinan ekstrem mampu kita turunkan dari sebelumnya 6,1 persen menjadi 0,8 persen di 2024,"" tegasnya.
Keempat, Jokowi menegaskan sanggup menurunkan angka stunting di Indonesia. Ia mencatat sebelumnya angka stunting 37,2 persen, lalu hanya 21,5 persen berdasarkan data 2023.
""(Kelima) tingkat pengangguran juga mampu kita tekan dari sebelumnya 5,7 persen menjadi 4,8 persen di 2024,"" tandasnya.
[Gambas:Video CNN]
 (skt/agt)"
"TPID Papua Kunjungi Semarang, Ikuti Kesuksesan Kendalikan Inflasi",2024-08-19T12:38:52.065Z,"Selasa, 13 Agu 2024 17:37 WIB",(rea/rir),https://www.cnnindonesia.com/nasional/20240813165233-25-1132556/tpid-papua-kunjungi-semarang-ikuti-kesuksesan-kendalikan-inflasi,"Jakarta, CNN Indonesia -- Pemerintah Kota (Pemkot) Semarang menerima kunjungan dari Tim Pengendalian Inflasi Daerah (TPID) Provinsi Papua Barat dan Papua Barat Daya terkait studi lapangan di Badan Usaha Milik Petani (BUMP) PT Lumpang Semar Sejahtera (LSS) yang berlokasi di Kelurahan Purwosari, Mijen.
Kunjungan itu dilaksanakan karena keberhasilan Semarang mengendalikan inflasi di bawah kepemimpinan Wali Kota Hevearita Gunaryanti Rahayu. BUMP PT Lumpang Semar Sejahtera dinilai berperan besar dalam penyediaan stok pangan dengan harga stabil.
Mbak Ita, panggilan Hevearita, menyambut hangat kunjungan tersebut. Dirinya mengatakan, kesuksesan mengendalikan inflasi pangan di Semarang tak terlepas dari komitmen bersama masyarakat.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



    ADVERTISEMENT


    
        
            
                
                


  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1589439603493-0'); });
  


                
            
        
    



    SCROLL TO CONTINUE WITH CONTENT


    function paraA(e) {
        var p = $(e);
        $(e + "" .para_fix"").width(p.width());
    }
    $("".paraA iframe"").on(""load"", paraA("".paraA""));


""Lumpang Semar Sejahtera ini adalah contoh komitmen bersama, bagaimana kami terus berupaya menjaga keseimbangan antara kesejahteraan petani dan akses pangan yang terjangkau bagi masyarakat,"" kata Mbak Ita.
Tujuan utama BUMP adalah mendukung kesejahteraan bagi petani, sekaligus memberi perlindungan pada konsumen dengan harga murah.
Mbak Ita menegaskan, penguatan ekonomi masyarakat, terutama petani mampu menekan laju inflasi dengan memperpendek rantai distribusi.
""BUMP merupakan kelembagaan usaha masyarakat. BUMP menampung hasil pertanian dan komoditas pangan di Kota Semarang dan mendistribusikan komoditas pangan tersebut. Dengan adanya BUMP, distribusi pangan lebih terpantau dan terkendali,"" ujarnya.
Mbak Ita juga menyatakan pihaknya terbuka untuk berbagi pengalaman dengan daerah lain, termasuk berkolaborasi dengan Papua Barat dan Papua Barat Daya.
""Kami siap mendukung dan berbagi pengetahuan untuk kepentingan bersama,"" kata Mbak Ita.
Sementara itu, Direktur Utama BUMP PT Lumpang Semar Sejahtera, Yunus Marzuqi, menyampaikan bahwa sinergi berbagai stakeholder sangat penting untuk mengendalikan inflasi.
""Kolaborasi antara pemerintah, petani, dan pihak terkait lainnya menjadi kekuatan utama dalam menjaga kestabilan harga pangan,"" ujar Marzuqi.
Menilik peran vital BUMP, Marzuqi mengaku siap berkoordinasi dengan Sekretariat Nasional Badan Usaha Milik Petani Indonesia (Seknas BUMP-Indonesia), menyusul keinginan Papua Barat membentuk BUMP serupa.
BUMP LSS yang didirikan oleh Pemkot Semarang tidak hanya berperan menekan harga pangan agar tetap terjangkau, namun juga meningkatkan kesejahteraan petani dengan memotong rantai distribusi yang panjang.
Keberhasilan itu diakui pula oleh TPID Papua Barat Daya, Yance Ambaho dari Biro Perekonomian dan Administrasi Pembangunan Provinsi Papua Barat Daya yang memberikan apresiasi atas program ini.
Senada, Sekretariat Daerah Kabupaten Fakfak, Peter M Liem, menilai bahwa BUMP memiliki pengaruh besar, di mana pihaknya siap mengunjungi Semarang lagi untuk memperdalam kelembagaan BUMP. (rea/rir)
                    

                    
                    





  
    googletag.cmd.push(function() { googletag.display('div-gpt-ad-1621402367069-0'); });
  

                    

                                                
    [Gambas:Video CNN]
    
        var relatedVideos = JSON.parse('{""pageUrl"":""https:\/\/cnnindonesia.com\/tv\/20240730130344-407-1127125\/video-suami-walkot-semarang-diperiksa-kpk-akui-terima-spdp"",""embedUrl"":""https:\/\/www.cnnindonesia.com\/embed\/video\/1127125"",""imageUrl"":""https:\/\/akcdn.detik.net.id\/visual\/2024\/07\/30\/thumbnail-1_169.jpeg"",""time"":98,""title"":""VIDEO: Suami Walkot Semarang Diperiksa KPK, Akui Terima SPDP"",""animatedUrl"":""""}');"
Pemerintah Beri Sinyal PPN Tetap Naik Jadi 12 Persen pada 2025,2024-08-19T12:38:52.737Z,"Jumat, 09 Agu 2024 07:40 WIB",(pta/pta),https://www.cnnindonesia.com/ekonomi/20240809070940-532-1131028/pemerintah-beri-sinyal-ppn-tetap-naik-jadi-12-persen-pada-2025,"Jakarta, CNN Indonesia -- Menteri Koordinator Bidang Perekonomian Airlangga Hartarto memberikan sinyal pajak pertambahan nilai (PPN) akan tetap naik dari 11 persen menjadi 12 persen pada 2025.Menurutnya, kenaikan PPN ini sejalan dengan UU Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan (HPP), di mana PPN menjadi 12 persen mulai 2025.""Kan Undang-undangnya sudah jelas ya. Kecuali ada hal yang terkait dengan Undang-undang (yang menunda kenaikan PPN), kan tidak ada,"" kata Airlangga di kantornya, Jakarta, Kamis (8/8) dikutip CNBC Indonesia.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Meski begitu, Airlangga menekankan masuk tidaknya keputusan kenaikan PPN menjadi 12 persen dalam APBN 2025 harus menunggu keputusan Presiden Joko Widodo (Jokowi) saat membacakan nota keuangan dan RUU APBN 2025.Lihat Juga :Tanda-tanda Daya Beli Masyarakat Menengah Turun ""Jadi kita monitor saja catatan nota keuangan nanti. Nanti kita dengar saja nota keuangan,"" tegas Airlangga.Ekonom sebelumnya sudah mewanti-wanti dampak kenaikan PPN 12 persen pada tahun depan jika tidak ada penundaan. Kepala Ekonom Bank Permata Josua Pardede menilai masyarakat kelas menengah bawah jadi kelompok yang paling terdampak kenaikan pajak ini.""Ini pengaruhnya ke masyarakat kelas menengah bawah, kelompok kelas menengah atas sih enggak terpengaruh sama sekali,"" kata Josua kepada CNNIndonesia.com, Selasa (12/3).Menurutnya, kenaikan PPN bakal berdampak pada lonjakan inflasi. Meski tidak besar, kenaikan harga akan menambah tekanan ke kelas menengah dan bawah.
                                Apalagi, kelas menengah ini tidak mendapatkan bantuan dari pemerintah, berbeda dengan kelas bawah atau masyarakat miskin. Kelas menengah dianggap tidak layak menerima bantuan, tetapi pendapatan mereka pun tak bisa mengiringi kenaikan harga bahan pokok.""Kelas menengah ini bukan penerima bansos, karena hanya 40 persen terbawah dapat bansos. Desil 1-4 jadi kewajiban pemerintah support melalui bansos. Nah, desil 5-6 ini yang harus kita pertimbangkan. Mereka enggak dapat bansos tapi biaya hidup, dampak dari inflasi berpengaruh ke mereka dan pendapatannya enggak naik banyak,"" jelasnya.Namun, kata dia, jika kenaikan PPN tak diiringi dengan kenaikan bahan pokok dan listrik, kemungkinan tekanan untuk masyarakat kelas menengah bawah tidak terlalu besar.""Seandainya hanya kenaikan PPN dan nggak ada kenaikan lain seperti listrik tetap, LPG tetap, harga bahan pokok stabil, ya mungkin dampak ke konsumsi secara keseluruhan tidak se signifikan itu. Mungkin terpengaruh ke kelas menengah rentan miskin cuma sedikit,"" imbuh dia.[Gambas:Video CNN] (pta/pta)"
"Produksi Kurang, Harga Beras di 25 Provinsi Naik",2024-08-19T12:38:57.484Z,"Jumat, 02 Agu 2024 14:45 WIB",(fby/agt),https://www.cnnindonesia.com/ekonomi/20240802132252-92-1128449/produksi-kurang-harga-beras-di-25-provinsi-naik,"Jakarta, CNN Indonesia -- Badan Pusat Statistik (BPS) mencatat harga beras kembali naik. Hal ini tercermin dari makanan pokok tersebut kembali menjadi penyumbang inflasi.Pada Juli 2024, beras tercatat mengalami inflasi 0,94 persen dengan andil 0,04 persen. Penyebabnya, karena produksi beras berkurang setelah masa panen lewat.""Setelah mengalami deflasi pada April dan Mei 2024, komoditas beras perlahan alami inflasi dalam 2 bulan terakhir. Hal ini sejalan dengan jumlah produksi beras yang berkurang setelah masa puncak raya panen,"" ujar Plt Kepala BPS Amalia Adininggar Widyasanti dalam konferensi pers, Kamis (1/8).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Menurutnya, kenaikan harga beras terjadi di 25 provinsi yang tersebar di Tanah Air. Sedangkan, di 12 provinsi mengalami deflasi dan 1 provinsi stabil harganya.Lihat Juga :Intel PHK Massal 17 Ribu Karyawan ""Pada Juli 2024, inflasi beras di 25 provinsi. Ini menunjukkan inflasi beras tidak terbatas pada satu wilayah tapi di berbagai wilayah Indonesia,"" jelasnya.Secara umum, inflasi pada Juli 2024 tercatat sebesar 2,13 persen (year on year/yoy). Turun dibandingkan Juni yang sebesar 2,51 persen (yoy).Komoditas yang memberikan andil inflasi pada Juli 2024 di antaranya adalah emas perhiasan, gula pasir, kopi bubuk, nasi dengan lauk, dan biaya sewa rumah.Sementara, secara bulanan (mtm) tercatat terjadi deflasi 0,18 persen pada Juli 2024. Komoditas penyumbang utama deflasi adalah bawang merah, cabai merah, tomat, dan daging ayam ras.[Gambas:Video CNN] (fby/agt)"
BI Ungkap Alasan Belum Turunkan Suku Bunga Meski Inflasi Rendah,2024-08-19T12:39:00.556Z,"Jumat, 02 Agu 2024 12:34 WIB",(fby/pta),https://www.cnnindonesia.com/ekonomi/20240802121710-78-1128428/bi-ungkap-alasan-belum-turunkan-suku-bunga-meski-inflasi-rendah,"Jakarta, CNN Indonesia -- Gubernur Bank Indonesia (BI) Perry Warjiyo mengungkapkan alasan pihaknya belum menurunkan suku bunga acuan (BI Rate) meski tingkat inflasi terjaga. Adapun BI Rate saat ini ditetapkan sebesar 6,25 persen.Perry mengatakan BI seharusnya menurunkan suku bunga karena inflasi tahun ini dan tahun depan diproyeksikan terjaga di target 1,5 persen - 3,5 persen.""Mestinya BI-Rate turun karena ditentukan bagaimana proyeksi inflasi ke depan dan inflasi tahun ini rendah dan tahun depan juga rendah,"" katanya dalam konferensi pers Komite Stabilitas Sistem Keuangan (KSSK) di Jakarta, Jumat (2/8).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Perry mengatakan inflasi pada Juni masih terjaga di 2,51 persen karena harga-harga pangan mulai turun. Namun, BI tetap tidak menurunkan suku bunga karena mengantisipasi kondisi global yang tidak stabil.Lihat Juga :Daftar Harga BBM di Seluruh SPBU Pertamina Usai Naik Mulai Hari Ini ""Karena inflasi rendah mestinya BI-Rate turun tetapi belum bisa turun karena kami fokus memitigasi risiko global,"" katanya.Perry mengatakan ke depan BI berpeluang untuk menurunkan suku bunga acuan. Namun hal itu akan dilakukan usai BI memastikan terlebih dahulu risiko global terkendali.Dalam kesempatan yang sama, Menteri Keuangan Sri Mulyani mengatakan berbagai risiko global perlu sangat diwaspadai, di antaranya perang di Ukraina dan eskalasi geopolitik di Israel-Iran yang membuat ketidakpastian pasar keuangan global masih tinggi.Selain itu, meski pertumbuhan ekonomi dunia diperkirakan tetap stabil, namun tetap rendah dibandingkan tahun-tahun sebelumnya.
                                ""Tahun 2024, kita semua melihat dan memahami semua outlook yang dilakukan lembaga internasional menunjukkan pertumbuhan ekonomi stabil, tetapi di level yang lemah,"" jelasnya.Laporan terbaru IMF pada Juli 2024, memperkirakan ekonomi global hanya mampu tumbuh 3,2 persen pada tahun ini atau lebih lemah dari 2023 yang sebesar 3,3 persen.""Mungkin anda ingat, Managing Director IMF Kristalina menganggap tahun lalu jadi tahun yang tetap gelap. Kalau 2024 outlook 3,2 persen, ini berarti pertumbuhan ekonomi dunia masih stagnan lemah dan bahkan lebih lemah dari tahun lalu yang sudah dianggap sebagai tahun yang stagnan dan lemah,"" katanya.[Gambas:Video CNN] (fby/pta)"
Emas Sudah 11 Bulan Berturut-turut Alami Inflasi,2024-08-19T12:39:04.748Z,"Jumat, 02 Agu 2024 09:50 WIB",(ldy/pta),https://www.cnnindonesia.com/ekonomi/20240801063011-532-1127866/emas-sudah-11-bulan-berturut-turut-alami-inflasi,"Jakarta, CNN Indonesia -- Badan Pusat Statistik (BPS) mencatat harga emas terus naik dalam setahun terakhir. Hal ini tercermin dari inflasi selama 11 bulan berturut-turut.Plt Kepala BPS Amalia Adininggar Widyasanti mengatakan emas, perhiasan dan cabai rawit bahkan menjadi komoditas penyumbang utama inflasi Juli 2024.""Emas perhiasan inflasi 11 bulan berturut-turut hingga Juli 2024 karena meningkatnya harga emas di pasar global,"" kata Amalia dalam konferensi pers, Kamis (1/8).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Berdasarkan catatan BPS, tingkat inflasi emas, perhiasan sebesar 1,21 persen dan cabai rawit 14,28 persen. Kondisi ini lebih tinggi dibandingkan bulan sebelumnya.Lihat Juga :Pratikno Minta Maaf Bandara IKN Belum Siap untuk HUT RI ke-79 ""Meskipun persentase lebih kecil dari cabai rawit, inflasi emas perhiasan tetap berdampak dengan andil 0,01 persen,"" terangnya.Secara umum, BPS mencatat sepanjang Juli 2024 terjadi deflasi sebesar 0,18 persen dibandingkan bulan sebelumnya (month to month). Sedangkan secara tahunan tercatat inflasi 2,13 persen (year on year/yoy).""Ini deflasi ketiga pada 2024,"" kata Amalia.Deflasi ditopang oleh bahan pangan atau bergejolak seperti bawang merah, cabai merah, tomat, daging ayam ras, bawang putih dan telur ayam ras yang harganya turun sepanjang Juli 2024.[Gambas:Video CNN] (ldy/pta)"
RI Deflasi 3 Bulan Berturut-turut,2024-08-19T12:39:06.845Z,"Jumat, 02 Agu 2024 08:10 WIB",(ldy/pta),https://www.cnnindonesia.com/ekonomi/20240802075737-532-1128304/ri-deflasi-3-bulan-berturut-turut,"Jakarta, CNN Indonesia -- Indonesia mengalami deflasi selama tiga bulan berturut-turut pada tahun ini. Badan Pusat Statistik (BPS) mencatat deflasi sebesar 0,18 persen pada Juli 2024 dibandingkan bulan sebelumnya (month to month/mtm).Sedangkan secara tahunan tercatat inflasi 2,13 persen (year on year/yoy).Plt Kepala BPS Amalia Adininggar Widyasanti mengatakan deflasi pada Juli 2024 ini lebih dalam dibanding Juni lalu yang minus 0,08 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Ini deflasi ketiga pada 2024,"" ujarnya dalam konferensi pers di kantornya, Kamis (1/8).Lihat Juga :ANALISISBahaya Mengintai Ekonomi RI di Balik 'Gemuk' Pekerja Informal Deflasi ditopang oleh penurunan harga bahan pangan atau bergejolak seperti bawang merah, cabai merah, tomat, daging ayam ras, bawang putih dan telur ayam ras.Kelompok penyumbang deflasi terbesar adalah makanan, minuman, tembakau sebesar 0,97 persen dengan andil 0,28 persen.Sedangkan yang menyumbang inflasi adalah cabai rawit dan beras dengan andil masing-masing 0,04 persen.""Barang andil inflasi lain adalah emas, perhiasan, kopi bubuk, kentang, sigaret kretek mesin dan tangan dengan andil inflasi masing-masing 0,01 persen,"" kata Amalia.Selain itu, kelompok Pendidikan juga tercatat inflasi 0,69 persen dengan andil 0,04 persen. Hal ini dikarenakan kenaikan biaya sekolah.
                                ""Andil ke inflasi adalah biaya sekolah dasar, SMP, SMA,"" jelasnya.Indonesia mengalami deflasi secara bulanan (month to month/mtm) pada Mei dan Juni 2024.Sebelumnya, BPS mencatat deflasi pada Mei sebesar 0,03 persen (mtm). Kelompok penyumbang deflasi terbesar adalah makanan, minuman, dan tembakau dengan deflasi 0,29 persen dan andil 0,08 persen.Sementara itu, deflasi Juni tercatat 0,08 persen (mtm). Kelompok pengeluaran penyumbang deflasi bulanan terbesar adalah makanan minuman dan tembakau dengan deflasi sebesar 0,49 persen dan memberikan andil deflasi sebesar 0,14 persen.[Gambas:Video CNN] (ldy/pta)"
"VIDEO: Perum Bulog Ungkap Penyebab Harga Beras Naik 0,27%",2024-08-19T12:39:07.918Z,"Jumat, 26 Jul 2024 18:00 WIB",Tidak Diketahui,https://www.cnnindonesia.com/tv/20240726145715-407-1125875/video-perum-bulog-ungkap-penyebab-harga-beras-naik-027,
Harga Beras Naik di 116 Daerah di Akhir Juli Ini,2024-08-19T12:39:11.584Z,"Rabu, 24 Jul 2024 10:52 WIB",(del/pta),https://www.cnnindonesia.com/ekonomi/20240724101305-92-1124880/harga-beras-naik-di-116-daerah-di-akhir-juli-ini,"Jakarta, CNN Indonesia -- Harga beras naik di 116 kabupaten/kota pada pekan ketiga Juli 2024.Deputi Bidang Statistik Produksi Badan Pusat Statistik (BPS) M Habibullah mencatat harga beras naik 0,27 persen pada pekan ketiga Juli 2024 dibandingkan pekan sebelumnya menjadi Rp15.078 per kilogram (kg).""Untuk komoditas beras ini naik 0,27 persen,"" kata dia dalam Rapat Koordinasi Pengendalian Inflasi Daerah Tahun 2024, Senin (22/7).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Fenomena ini terjadi setiap pekan sejak Juni 2024. Rinciannya, Juni minggu ketiga jumlah kabupaten/kota yang mengalami kenaikan beras hanya 52 wilayah.Lihat Juga :Intip Gaji Komisaris PLN yang Diterima Andi Arief Lalu, pada pekan keempat naik menjadi 72 wilayah. Pekan pertama Juli naik 109 wilayah. Kemudian bertambah menjadi 113 daerah di pekan berikutnya. Dan, pekan ketiga Juli ada 116 kabupaten/kota yang mengalami kenaikan harga beras.Hal ini bisa terlihat dari jumlah produksi beras yang terus turun di periode Juni-Juli. Habibullah mengatakan luas panen posisi periode tersebut dibandingkan tahun lalu mengalami penurunan dari sebelumnya 830 ratus hektare (ha) menjadi 750 ratus ha.Produksi beras Juni untuk gabah kering giling (GKG) hanya 3,58 juta ton. Angka itu lebih rendah dari Mei menjadi 6,26 juta ton.
                                Kemudian produksi GKG Juli disebut hanya mencapai 3,78 juta ton. Kendati, kondisi luasan panen bulan depan diperkirakan akan meningkat.BPS memprediksi akan terjadi kenaikan produksi GKG pada Agustus menjadi 4,62 juta ton dan September 5,14 juta ton.""Namun di Agustus, September, ada potensi luas panen yang besar,"" ucap Habibullah.[Gambas:Video CNN] (del/pta)"
Bos BI Beri Sinyal Turunkan Suku Bunga di Kuartal IV 2024,2024-08-19T12:39:16.514Z,"Rabu, 17 Jul 2024 16:20 WIB",(mrh/pta),https://www.cnnindonesia.com/ekonomi/20240717154601-78-1122381/bos-bi-beri-sinyal-turunkan-suku-bunga-di-kuartal-iv-2024,"Jakarta, CNN Indonesia -- Gubernur Bank Indonesia (BI) Perry Warjiyo memberi sinyal bakal menurunkan suku bunga acuan atau BI rate pada kuartal IV 2024.Hal ini seiring dengan inflasi RI yang terkendali dan pertumbuhan ekonomi yang terjaga.Tercatat inflasi RI mencapai 2,51 persen pada Juni 2024. Angka ini turun dibandingkan bulan sebelumnya yang mencapai 2,84 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Sementara, pertumbuhan ekonomi Indonesia mencapai 5,11 persen pada kuartal pertama tahun ini. Angka ini pun terbilang lebih baik dibanding negara-negara lain.Lihat Juga :Mobil dan Motor Wajib Asuransi Mulai Januari 2025 ""Kami masih melihat ruang untuk arah suku bunga BI rate akan turun, kemungkinan masih sama ya, yaitu pada triwulan empat,"" kata Perry dalam konferensi pers, Rabu (17/7).Selain itu, Perry menjelaskan pihaknya juga bakal tetap mencermati kebijakan suku bunga bank sentral AS (the Fed). Untuk sementara waktu, ia memproyeksi suku bunga The fed mulai turun pada November.Tak hanya itu, BI juga bakal tetap mencermati nilai tukar rupiah dan yield obligasi AS.BI kembali menahan suku bunga acuan di level 6,25 persen dalam Rapat Dewan Gubernur (RDG) yang berlangsung pada 16-17 Juli 2024. Suku bunga deposit facility juga tetap 5,5 persen dan suku bunga lending facility tetap sebesar 7 persen.
                                Menurut Perry, keputusan ini konsisten dengan kebijakan moneter pro-stability yaitu sebagai langkah preemptive dan forward looking untuk memastikan inflasi tetap terkendali dalam sasaran 2,5 persen pada 2024 dan 2025.""Fokus kebijakan moneter dalam jangka pendek diarahkan untuk memperkuat efektivitas stabilisasi nilai tukar rupiah dan menarik aliran masuk portofolio asing,"" imbuhnya.Sementara itu, kebijakan makroprudensial dan sistem pembayaran tetap pro-growth untuk mendukung pertumbuhan ekonomi yang berkelanjutan. Kebijakan makroprudensial longgar terus ditempuh untuk mendorong kredit pembiayaan perbankan kepada dunia usaha dan rumah tangga.""Bank Indonesia terus memperkuat bauran kebijakan moneter makroprudensial dan sistem pembayaran untuk menjaga stabilitas dan mendukung pertumbuhan ekonomi yang berkelanjutan di tengah masih tingginya tidak pasien pasar keuangan global,"" pungkasnya.[Gambas:Video CNN] (mrh/pta)"
