Title,Scrapping Date,Article Date,Author,Link,Content
VIDEO: KPP Mampang Prapatan Dorong UMKM Go Global,2024-08-19T09:34:28.725Z,"Senin, 20 Nov 2023 15:32 WIB",,https://www.cnnindonesia.com/tv/20231120152836-400-1026646/video-kpp-mampang-prapatan-dorong-umkm-go-global,
VIDEO: Kerja Sama Industri Kreatif Indonesia-Korsel,2024-08-19T09:34:28.864Z,"Kamis, 26 Agu 2021 23:00 WIB",,https://www.cnnindonesia.com/tv/20210826192940-409-685983/video-kerja-sama-industri-kreatif-indonesia-korsel,
"Potensi Pasar Dunia US$22 M, RI Lirik Ekspor Tanaman Hias",2024-08-19T09:34:32.062Z,"Jumat, 07 Mei 2021 20:38 WIB",,https://www.cnnindonesia.com/ekonomi/20210507135139-92-639970/potensi-pasar-dunia-us-22-m-ri-lirik-ekspor-tanaman-hias,"Jakarta, CNN Indonesia -- Pemerintah mulai melirik ekspor tanaman hias (florikultura), mengingat potensi pasar global mencapai US$22,32 miliar. Potensi pasar tanaman hias di dunia ini bahkan melampaui pasar kopi dan teh.Menteri Koordinator Bidang Perekonomian Airlangga Hartarto mengatakan Indonesia memiliki potensi pasar ekspor tanaman hias karena keanekaragaman hayati. Tetapi saat ini, Indonesia baru memenuhi pasar tanaman hias global sebesar 0,1 persen.Yang tak kalah menarik juga potensi ekspor benih sayuran ke mancanegara. Menurut Airlangga, hampir semua sayur-sayuran di Indonesia memiliki potensi pasar di luar negeri, terutama di Asia Tenggara, seperti Malaysia dan Thailand.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:Masih Resesi Ekonomi, Menko Airlangga Lihat PemulihanBeberapa komoditas yang cukup banyak peminatnya, antara lain kangkung, tomat, buncis, labu, dan kacang panjang.""Ke depan untuk peningkatan ekspor benih bisa ditingkatkan kerja sama beberapa perusahaan benih untuk membuka pasar ekspor dan promosi bersama ke luar negeri dengan fasilitas pemerintah,"" imbuh Airlangga dalam keterangan resmi, Jumat (7/5). Ia menuturkan bisnis tanaman hias dan benih sayuran tersebut diharapkan bisa menumbuhkan lapangan pekerjaan baru. Namun begitu, keduanya membutuhkan peningkatan inovasi teknologi, pengembangan lahan produksi, standardisasi, dan sertifikasi produk.Lihat juga:RI Pepet China, Calon Pembeli Sarang Burung Walet Rp16 TSecara umum, sektor pertanian berkontribusi 2,15 persen pada ekspor Indonesia di Maret 2021. Ekspor pertanian secara kumulatif pada Januari - Maret 2021 sebesar US$1,05 miliar, naik 14,29 persen dibandingkan periode yang sama tahun lalu.Khusus untuk nilai ekspor florikultura, tercatat meningkat dalam tiga tahun terakhir. Pada 2018 nilai ekspornya sebesar US$12,07 juta. Lalu, naik 12,1 persen jadi US$13,53 juta di 2019. Kemudian, pada 2020 nilai ekspornya naik cukup signifikan menjadi US$19,98 juta.Guna mendorong ekspor, pemerintah memberikan dukungan melalui Lembaga Pembiayaan Ekspor Indonesia (LPEI) atau Eximbank. Bentuk dukungan itu berupa pembiayaan Kredit Usaha Rakyat (KUR) berorientasi ekspor dengan maksimal omzet Rp50 miliar.[Gambas:Video CNN] (ulf/bir)"
Geliat Pasar Global Topang Ekspor RI pada November,2024-08-19T09:34:32.931Z,"Selasa, 15 Des 2020 17:39 WIB",,https://www.cnnindonesia.com/ekonomi/20201215145124-92-582389/geliat-pasar-global-topang-ekspor-ri-pada-november,"Jakarta, CNN Indonesia -- Badan Pusat Statistik (BPS) menyatakan geliat permintaan pasar dunia menopang kinerja ekspor Indonesia pada November 2020. Ekspor juga didukung oleh naiknya harga sejumlah komoditas dunia.""Permintaan dari negara-negara tujuan ekspor utama meningkat, volumenya meningkat juga, misalnya lemak hewani/nabati dan minyak kelapa sawit,"" ujar Kepala BPS Suhariyanto saat konferensi pers virtual, Selasa (15/12).Permintaan ekspor mulai meningkat lagi usai tertekan pandemi virus corona yang mewabah sejak awal tahun ini. Peningkatan permintaan, katanya, turut menumbuhkan harga sejumlah komoditas.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:BPS Catat Pendapatan Per Kapita Masyarakat Turun Rp286 RibuKhususnya, komoditas nonmigas, seperti minyak kernel, minyak kelapa sawit, seng, aluminium, batu bara, karet, dan tembaga. BPS mencatat harga minyak kelapa sawit (CPO) naik 12,03 persen secara bulanan.Sementara secara tahunan, harga naik hingga 33,93 persen. Sedangkan harga komoditas batu bara naik 7,57 persen secara bulanan, meski secara tahunan masih turun 6,22 persen. ""Bahan bakar mineral juga meningkat ke China, begitu juga dengan batu bara. Bijih perak misalnya permintaan volumenya meningkat 28,9 persen. Jadi ini semua bukan seasonal,"" katanya.Lihat juga:Produk China Banjiri Impor RI per November 2020Suhariyanto menduga tingginya permintaan pasar dunia terhadap komoditas ekspor Indonesia muncul karena negara-negara di dunia sudah mulai menggerakkan lagi roda industri dan bisnisnya. Hal ini tercermin pula dengan peningkatan indeks PMI ke atas kisaran 50.""PMI manufaktur sudah di atas 50, jadi mereka perlu banyak barang dari Indonesia,"" terangnya.Secara bulanan, BPS mencatat nilai ekspor mencapai US$15,28 miliar atau naik 6,36 persen dari US$14,36 miliar pada Oktober 2020. Sedangkan secara kumulatif, ekspor Januari-November 2020 sebesar US$146,78 miliar.Berdasarkan negara tujuan ekspor, peningkatan nilai ekspor nonmigas terjadi ke China sebesar US$451,8 juta, Malaysia US$158,1 juta, Pakistan US$128,9 juta, Jepang US$124,2 juta, dan India US$87,9 juta.[Gambas:Video CNN] (uli/age)"
Ekonom UGM Sorot Peran Minim Ekspor RI di Pasar Global,2024-08-19T09:34:34.133Z,"Jumat, 13 Nov 2020 13:21 WIB",,https://www.cnnindonesia.com/ekonomi/20201113121735-532-569383/ekonom-ugm-sorot-peran-minim-ekspor-ri-di-pasar-global,"Jakarta, CNN Indonesia -- Ekonom dan akademisi Universitas Gadjah Mada (UGM) Poppy Ismalina menyorot lambatnya kinerja perdagangan internasional di era kepemimpinan Joko Widodo (Jokowi).Rendahnya aktivitas perdagangan internasional yang hanya 20 persen dari dinamika ekonomi Indonesia itu dinilai menjadi alasan rendahnya penetrasi produk dalam negeri di pasar global. Ujung-ujungnya, Indonesia kalah bersaing dalam perdagangan dunia.Poppy menyebutkan persentase total ekspor Indonesia hanya 0,8 persen dari transaksi global. Sementara, 0,5 persen di antaranya disumbangkan dari ekspor produk manufaktur yang merupakan andalan Indonesia.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:KPPU Endus Aroma Monopoli Ekspor Benih LobsterSaat pandemi covid-19 hal ini menjadi 'berkah' karena perekonomian Indonesia tidak tergantung kepada pasar global. Namun, setelah pandemi berakhir ia melihat permasalahan serius ini harus segera dibenahi.""Penetrasi produk, persentase total ekspor hanya 0,8 persen dari seluruh transaksi produk global. Tidak sampai 1 persen, sangat rendah,"" katanya pada diskusi daring Greenpeace bertajuk Evaluasi Setahun Jokowi Bidang Ekonomi dan Lingkungan: Tranformasi atau Kemunduran? pada Jumat (13/11). Selain itu, dia juga menyoroti soal rendahnya variasi produk ekspor, kalah dari negara tetangga seperti Vietnam, Thailand, Malaysia, dan Singapura.Dia bilang sejak 1996-2017, diversifikasi produk ekspor Indonesia tidak berkembang. Padahal, secara global telah terjadi pergeseran dari tumpuan ekspor sektor primer menjadi sektor jasa.Lihat juga:Pameran Dagang RI Tarik Transaksi Rp1,02 T dari MesirSektor primer adalah ekspor yang memanfaatkan sumber daya alam secara langsung, mencakup pertanian, kehutanan, perikanan, dan pertambangan.""Variasi produk juga sangat rendah, di bawah Malaysia, Singapura sudah biasa. Tapi kalah dari Vietnam, Thailand ini suatu kecemasan bagi saya,"" imbuhnya.Di sisi lain, ia juga mencatatkan prestasi di era kepemimpinan Jokowi. Salah satunya, status naik kelas Indonesia menjadi negara berpendapatan menengah atas (upper-middle income).Status yang disematkan kepada Indonesia sejak Juli 2020 ini disebutnya tak mudah didapatkan dan perlu kerja keras dari seluruh lini pemerintah. Oleh karena itu, ia menilai masyarakat perlu ikut mengapresiasi hal ini.[Gambas:Video CNN]Lalu, juga perbaikan kemudahan berbisnis di Indonesia. Survei Bank Dunia terhadap 18 ribu investor global ini menyatakan RI secara signifikan berhasil memudahkan investor dalam berbisnis.Pada 2014 Indonesia menempati posisi ke-120, namun melonjak menjadi rangking 73 pada 2019 lalu. Prestasi ini disebutnya sejalan dengan keinginan pemerintah untuk menciptakan lapangan pekerjaan yang masif dengan meluncurnya Omnibus Law Undang-undang Cipta Kerja.""Ini mendapat pengakuan internasional dan ini mesti kita anggap sebagai prestasi meski sekalipun ada kontroversi,"" tutupnya.Lihat juga:Mendag Jamin RCEP Tak Akan Buat RI Kebanjiran Impor (wel/sfr)"
Pasar Saham Global Respons Positif Progres Vaksin Pfizer,2024-08-19T09:34:36.876Z,"Rabu, 11 Nov 2020 10:50 WIB",,https://www.cnnindonesia.com/ekonomi/20201111101219-92-568399/pasar-saham-global-respons-positif-progres-vaksin-pfizer,"Jakarta, CNN Indonesia -- Danareksa Research Institute (DRI) menyatakan pasar saham global merespons positif perkembangan vaksin Pfizer dan BioNTech yang diklaim 90 persen efektif melawan covid-19 atau virus corona. Pergerakan indeks saham dunia langsung menguat, tepatnya pada Senin (9/11) dan Selasa (10/11) lalu.Mengutip riset DRI, Rabu (11/11), indeks saham Dow Jones langsung naik 2,95 persen pada awal pekan ini. Lalu, indeks Nikkei225 naik 0,26 persen.Hal yang sama terjadi pada indeks Hang Seng yang naik sebesar 1,1 persen, Indeks Harga Saham Gabungan (IHSG) naik 1,99 persen, STI naik 3,4 persen, FTSE100 naik 4,47 persen, dan CAC 40 naik 7,57 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:Dirikan Cucu Usaha, Gudang Garam Garap Bisnis Jalan TolSementara, IHSG pagi ini sudah berada di level 5.482. Pasar saham domestik naik tipis sebesar 0,46 persen.Mayoritas saham atau 198 saham bergerak menguat. Sementara, 154 saham turun dan 188 saham bergerak stagnan. DRI menjelaskan pelaksanaan vaksin Pfizer dan BioNTech tahap 1 dan 2 dilakukan secara paralel pada Mei 2020. Saat itu, keduanya terbukti membentuk antibodi di tubuh subjek.Kemudian, uji klinis tahap 2 dan 3 dilanjutkan secara paralel pada Juli-Oktober 2020. Uji klinis ini melibatkan 43 ribu subjek.[Gambas:Video CNN]Ribuan subjek itu berasal dari beberapa negara, seperti Amerika Serikat (AS), Brazil, Argentina, dan Jerman. Uji klinis ini diklaim mendapatkan izin untuk tes kepada anak usia minimal 12 tahun.Selanjutnya, uji klinis 2 dan 3 vaksin Pfizer dan BioNTech menunjukkan hasil positif. Keduanya dianggap 90 persen efektif untuk mencegah covid-19.Menteri Koordinator Bidang Perekonomian Airlangga Hartarto memberi sinyal pemerintah Indonesia akan ikut membeli vaksin Pfizer yang tengah viral karena diklaim mampu melawan covid-19. Namun, ia belum memberi estimasi kapan sekiranya Indonesia akan membeli vaksin tersebut.Lihat juga:Vaksin Pfizer Diprediksi Topang Gerak IHSG (aud/sfr)"
Pasar Khawatir Penyebaran Wabah Virus Corona dari China,2024-08-19T09:34:40.855Z,"Senin, 27 Jan 2020 09:54 WIB",,https://www.cnnindonesia.com/ekonomi/20200126171555-96-468828/pasar-khawatir-penyebaran-wabah-virus-corona-dari-china,"Jakarta, CNN Indonesia --
                    Nilai kapitalisasi pasar turun 0,65 persen dari Rp7.262 triliun menjadi Rp7.214 triliun. Pekan ini, pasar diwarnai kekhawatiran penyebaran wabah virus Corona dari China, sehingga pasar Asia dan global sempat tertekan."
IHSG Diramal Menguat Pekan Ini,2024-08-19T09:34:42.778Z,"Senin, 25 Nov 2019 06:28 WIB",,https://www.cnnindonesia.com/ekonomi/20191124185434-96-451069/ihsg-diramal-menguat-pekan-ini,"Jakarta, CNN Indonesia --
                    IHSG diperkirakan akan menguat  pada perdagangan sepanjang pekan ini. Tapi penguatan masih dibayangi antisipasi pasar atas perkembangan kabar perang dagang antara AS dengan China.Pergerakan juga akan dibayangi antisipasi pasar atas perkembangan pemakzulan Presiden AS Donald Trump."
"Ekonomi Lesu, Jokowi Sodorkan Produk Kreatif ke Pasar Global",2024-08-19T09:34:46.653Z,"Jumat, 12 Jul 2019 12:17 WIB",,https://www.cnnindonesia.com/ekonomi/20190712110534-92-411520/ekonomi-lesu-jokowi-sodorkan-produk-kreatif-ke-pasar-global,"Jakarta, CNN Indonesia -- Presiden Joko Widodo (Jokowi) mengaku bakal giat menyodorkan produk kreatif Usaha Mikro, Kecil, dan Menengah (UMKM) ke pasar global di tengah kondisi ekonomi yang lesu. Hal ini dilakukan agar Indonesia tetap bisa mengambil keuntungan dari sisi ekspor.Kepala Negara menjelaskan kondisi ekonomi dan pasar global memang sedang tidak baik. Hal itu membuat kinerja perdagangan bagi sejumlah negara melambat, termasuk Indonesia. Khususnya bagi produk-produk yang diproduksi secara massal oleh industri arus utama (mainstream).Meski begitu, ia mengatakan peluang bagi Indonesia untuk merebut keuntungan ekspor di tengah perlambatan ekonomi global sejatinya masih ada. Asalkan Indonesia masuk ke pasar internasional melalui produk-produk ekonomi kreatif, seperti yang dilahirkan oleh UMKM.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Sebetulnya pasar-pasar tertentu itu masih banyak peluang tapi jangan masuk ke pasar yang bergerak massal, yang mass product dengan negara-negara yang sudah memproduksi secara massal. Yang benar ya seperti produk dengan keterampilan tangan ini, kekuatan kita (Indonesia) di situ,"" ungkap Jokowi usai membuka pameran Karya Kreatif Indonesia (KKI) di JCC, Senayan, Jakarta, Jumat (12/7).Lihat juga:BPN Siapkan Rekomendasi Khusus demi Muluskan InvestasiUntuk itu, ia ingin agar setiap pihak mampu meningkatkan daya saing dari produk-produk UMKM Indonesia. Misalnya, dengan mendukung pengembangan kemasan dan merek, akses pembiayaan, pemasaran, hingga akses ke pasar global itu sendiri, baik secara konvensional maupun digital. ""Kalau UMKM kita masukkannya ke produk massal, kalah kita dengan barang-barang dari negara lain,"" ujarnya.Ia mengatakan salah satu hal yang coba diupayakan pemerintah untuk membantu para UMKM adalah dengan membangun jaringan internet agar pemasaran digital berkembang.Sebelumnya, pemerintah juga sudah memberikan keringanan pajak bagi UMKM dengan tarif hanya sebesar 0,5 persen secara final.""Paling tidak di seluruh Tanah Air ini sudah dihubungkan semuanya. Memang belum secepat yang kita inginkan, tapi paling tidak seluruh Tanah Air sudah tersambungkan semuanya,"" katanya.Lihat juga:Penyaluran KUR Tembus Rp65 Triliun per Mei 2019UMKM Binaan BI Sumbang Ekspor Rp1,4 TriliunGubernur BI Perry Warjiyo mengklaim para UMKM binaan bank sentral nasional sudah menyumbang ekspor ke ekonomi Tanah Air dengan nilai mencapai Rp1,4 triliun sepanjang tahun lalu. Nilai ekspor tersebut diberikan oleh 91 dari 898 UMKM yang dibina oleh 46 kantor cabang BI di seluruh Indonesia.Perry mengatakan sumbangan ekspor sudah bisa diberikan para UMKM binaan karena telah mendapat sokongan akses perbankan di Tanah Air. Setidaknya, ada 183 UMKM yang mendapat layanan pembiayaan alias kredit dari bank negara, swasta, hingga Bank Pembangunan Daerah (BPD).Tak hanya menyumbang ekspor, Perry mengklaim bahwa para UMKM binaan juga sudah memberi kontribusi bagi ekonomi digital dengan perdagangan secara elektronik (e-commerce). Data BI mencatat kontribusi ekonomi digital dari UMKM mencapai Rp32 miliar dari 355 UMKM.""Jadi UMKM kita (binaan BI) sudah go ekspor, go digital,"" ucapnya pada kesempatan yang sama.Lihat juga:DPR Minta Pemilihan Pejabat BI Jangan Calon Tunggal LagiPada pameran KKI, BI menampilkan 388 dari 898 UMKM binaannya. UMKM itu terdiri dari 120 usaha di bidang kain dan pakaian, 88 usaha kerajinan, dan 180 usaha makanan siap jadi, seperti kopi dan keripik.Lebih lanjut, KKI tak hanya menjadi pameran bagi UMKM, namun juga momentum kerja sama antara UMKM dengan perbankan dan distributor ekspor di sejumlah negara. ""Akan ada 28 UMKM yang melakukan business matching dengan bank dan 33 UMKM dengan eksportir dari dalam maupun luar negeri melalui e-commerce dan lainnya,"" tuturnya.Di sisi lain, pameran ini turut menjadi uji coba implementasi sistem QR Code versi BI. ""Tahun ini tidak hanya kartu debit dan kredit, tapi juga pembayaran digital lainnya, termasuk QR version,"" tandasnya.[Gambas:Video CNN] (uli/lav)"
Rupiah Menguat Tipis Pagi Ini Meski Dibayangi Risiko Global,2024-08-19T09:34:49.758Z,"Jumat, 18 Jan 2019 09:09 WIB",,https://www.cnnindonesia.com/ekonomi/20190118085859-78-361842/rupiah-menguat-tipis-pagi-ini-meski-dibayangi-risiko-global,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di posisi Rp14.180 per dolar Amerika Serikat (AS) pada perdagangan pasar spot Jumat pagi (18/1). Posisi ini menguat tipis 11,5 poin atau 0,08 persen dari penutupan kemarin di posisi Rp14.191 per dolar AS.Di kawasan Asia, sejumlah mata uang bersandar di zona hijau bersama rupiah, seperti baht Thailand menguat 0,15 persen, won Korea Selatan 0,1 persen, dan dolar Singaprua 0,03 persen.Namun, beberapa diantaranya berlabuh ke zona merah, seperti peso Filipina melemah 0,93 persen, yen Jepang minus 0,04 persen, dan dolar Hong Kong minus 0,02 persen. Sementara ringgit Malaysia stagnan.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:Menjawab Tudingan Prabowo soal BUMN BangkrutDi kalangan negara maju, mata uang utama juga bergerak variasi. Beberapa mata uang kompak menguat 0,03 persen dari dolar AS, seperti dolar Kanada, euro Eropa, dan franc Swiss.Sedangkan beberapa diantaranya melemah dari mata uang Negeri Paman Sam. Mulai dari rubel Rusia yang melemah 16,86 persen, poundsterling Inggris minus 0,1 persen, dan dolar Australia minus 0,01 persen. Analis Asia Trade Point Futures Andri Hardianto memperkirakan rupiah akan bergerak di kisaran Rp14.100-14.200 per dolar AS sepanjang hari ini dengan kecenderungan menguat.Lihat juga:IHSG Diramal Tutup Pekan Kian PerkasaMeski begitu, ada sentimen yang masih perlu diwaspadai bagi laju mata uang Garuda, khususnya berupa sentimen eksternal. Misalnya, sikap pelaku pasar yang menghindari aset berisiko, seperti mata uang Asia.""Selain itu ada potensi sentimen negatif yang datang dari zona Eropa, di mana ada ancaman perlambatan (ekonomi) dan perkembangan Brexit,"" ujarnya kepada CNNIndonesia.com, Jumat (18/1). (uli/agi)"
